Market Capitalisation Categorisation,Purchase Price Categorisation,File Date,Ticker,Sector,Market,Stock Name,Market Capitalisation,Purchase Price,Rank
Huge,Large,01/10/2023,UL,Basic Industries,NYSE,Unilever PLC,157690000000.00,62997.49,2
Large,Very Large,01/10/2023,RLI,Finance,NYSE,RLI Corp.,2500000000.00,98812.27,4
Medium,Very Large,01/10/2023,MUI,n/a,NYSE,Blackrock Muni Intermediate Duration Fund Inc,539980000.00,98860.88,4
Small,Medium,01/10/2023,CHEK,Health Care,NASDAQ,Check-Cap Ltd.,29390000.00,46787.55,4
Small,Small,01/10/2023,ZSAN,Health Care,NASDAQ,Zosano Pharma Corporation,52530000.00,23682.55,4
Large,Medium,01/10/2023,HSNI,Consumer Services,NASDAQ,"HSN, Inc.",1680000000.00,49985.48,1
Huge,Small,01/10/2023,CMCSA,Consumer Services,NASDAQ,Comcast Corporation,195790000000.00,7696.13,2
Medium,Medium,01/10/2023,ITCI,Health Care,NASDAQ,Intra-Cellular Therapies Inc.,471110000.00,49809.34,1
Huge,Small,01/10/2023,ORCL,Technology,NYSE,Oracle Corporation,185530000000.00,10090.53,1
Huge,Medium,01/10/2023,MSFT,Technology,NASDAQ,Microsoft Corporation,540440000000.00,46645.14,1
Small,Very Large,01/10/2023,ALOT,Technology,NASDAQ,"AstroNova, Inc.",90180000.00,99256.95,2
Huge,Very Large,01/10/2023,BAC,Finance,NYSE,Bank of America Corporation,233170000000.00,88453.19,1
Large,Large,01/10/2023,Y,Finance,NYSE,Alleghany Corporation,9370000000.00,74064.16,3
Small,Medium,01/10/2023,TPIV,Health Care,NASDAQ,TapImmune Inc.,33540000.00,47228.81,3
Small,Large,01/10/2023,OASM,Health Care,NASDAQ,Oasmia Pharmaceutical AB,38240000.00,72922.81,1
Medium,Medium,01/10/2023,FISI,Finance,NASDAQ,"Financial Institutions, Inc.",443540000.00,49483.65,3
Medium,Small,01/10/2023,CHMG,Finance,NASDAQ,Chemung Financial Corp,185560000.00,24214.36,3
Medium,Small,01/10/2023,MACK,Health Care,NASDAQ,"Merrimack Pharmaceuticals, Inc.",153620000.00,24118.01,4
Medium,Large,01/10/2023,RRGB,Consumer Services,NASDAQ,"Red Robin Gourmet Burgers, Inc.",828170000.00,74844.45,1
Small,Very Large,01/10/2023,SYNL,Basic Industries,NASDAQ,Synalloy Corporation,96770000.00,99576.99,1
Large,Medium,01/10/2023,PBR,Energy,NYSE,Petroleo Brasileiro S.A.- Petrobras,52700000000.00,49733.13,2
Small,Medium,01/10/2023,PNBK,Finance,NASDAQ,Patriot National Bancorp Inc.,60360000.00,45652.92,5
Small,Small,01/10/2023,INOD,Technology,NASDAQ,Innodata Inc.,41400000.00,24206.09,2
Medium,Medium,01/10/2023,ESCA,Consumer Non-Durables,NASDAQ,"Escalade, Incorporated",182920000.00,49304.34,5
Small,Medium,01/10/2023,FFHL,Capital Goods,NASDAQ,"Fuwei Films (Holdings) Co., Ltd.",10060000.00,48363.57,2
Small,Small,01/10/2023,PANL,Transportation,NASDAQ,Pangaea Logistics Solutions Ltd.,99120000.00,24824.84,1
Medium,Large,01/10/2023,GASS,Transportation,NASDAQ,"StealthGas, Inc.",122370000.00,74354.60,3
Medium,Small,01/10/2023,SPXX,n/a,NYSE,Nuveen S&P 500 Dynamic Overwrite Fund,250200000.00,24563.52,2
Huge,Small,01/10/2023,JPM,Finance,NYSE,J P Morgan Chase & Co,306180000000.00,5294.73,3
Small,Very Large,01/10/2023,NWY,Consumer Services,NYSE,"New York & Company, Inc.",86050000.00,98710.89,4
Small,Large,01/10/2023,PLXP,Health Care,NASDAQ,PLx Pharma Inc.,1040000.00,69627.59,4
Large,Very Large,01/10/2023,ITCB,Finance,NYSE,Ita? CorpBanca,4740000000.00,98729.30,5
Small,Small,01/10/2023,SOHO,Consumer Services,NASDAQ,Sotherly Hotels Inc.,91070000.00,23897.84,3
Large,Small,01/10/2023,GOL,Transportation,NYSE,Gol Linhas Aereas Inteligentes S.A.,6060000000.00,24236.50,2
Small,Medium,01/10/2023,APDN,Consumer Services,NASDAQ,Applied DNA Sciences Inc,26320000.00,48801.46,1
Small,Large,01/10/2023,PEZ,n/a,NASDAQ,PowerShares DWA Consumer Cyclicals Momentum Portfolio,58530000.00,72378.59,3
Medium,Medium,01/10/2023,TRNC,Consumer Services,NASDAQ,"tronc, Inc.",422690000.00,49502.60,2
Large,Large,01/10/2023,ENB,Energy,NYSE,Enbridge Inc,63730000000.00,73764.73,5
Large,Very Large,01/10/2023,BBVA,Finance,NYSE,Banco Bilbao Viscaya Argentaria S.A.,53980000000.00,99027.34,3
Small,Very Large,01/10/2023,IROQ,Finance,NASDAQ,"IF Bancorp, Inc.",77630000.00,98433.17,5
Medium,Very Large,01/10/2023,IMOS,Technology,NASDAQ,ChipMOS TECHNOLOGIES INC.,899860000.00,98999.48,3
Large,Large,01/10/2023,ARRS,Technology,NASDAQ,ARRIS International plc,5440000000.00,74179.13,2
Large,Very Large,01/10/2023,AAL,Transportation,NASDAQ,"American Airlines Group, Inc.",24030000000.00,99340.47,1
Small,Small,01/10/2023,CPHC,Consumer Services,NASDAQ,Canterbury Park Holding Corporation,47650000.00,23553.00,5
Medium,Very Large,01/11/2023,PGTI,Capital Goods,NASDAQ,"PGT Innovations, Inc.",610360000.00,99504.15,4
Large,Small,01/11/2023,ZBRA,Technology,NASDAQ,Zebra Technologies Corporation,5500000000.00,24991.86,1
Medium,Small,01/11/2023,JOF,n/a,NYSE,Japan Smaller Capitalization Fund Inc,327820000.00,24483.34,3
Huge,Large,01/11/2023,CMCSA,Consumer Services,NASDAQ,Comcast Corporation,195790000000.00,51843.86,5
Large,Small,01/11/2023,SLCA,Basic Industries,NYSE,"U.S. Silica Holdings, Inc.",2750000000.00,24610.74,2
Small,Very Large,01/11/2023,JSYN,Finance,NASDAQ,Jensyn Acquistion Corp.,52880000.00,97741.45,4
Medium,Large,01/11/2023,MBFIP,Finance,NASDAQ,MB Financial Inc.,104920000.00,72881.21,5
Large,Large,01/11/2023,FCN,Consumer Services,NYSE,"FTI Consulting, Inc.",1340000000.00,73375.47,3
Medium,Small,01/11/2023,NVTR,Health Care,NASDAQ,Nuvectra Corporation,132490000.00,24963.74,2
Small,Medium,01/11/2023,OCRX,Health Care,NASDAQ,"Ocera Therapeutics, Inc.",25450000.00,48633.57,3
Small,Small,01/11/2023,MSDI,Technology,NASDAQ,"Monster Digital, Inc.",4110000.00,20964.05,5
Medium,Medium,01/11/2023,ICFI,Consumer Services,NASDAQ,"ICF International, Inc.",882650000.00,48226.04,4
Medium,Medium,01/11/2023,IDRA,Health Care,NASDAQ,"Idera Pharmaceuticals, Inc.",237150000.00,49278.33,1
Small,Medium,01/11/2023,PN,Finance,NYSE,"Patriot National, Inc.",64460000.00,49231.68,2
Medium,Large,01/11/2023,MRTN,Transportation,NASDAQ,"Marten Transport, Ltd.",905460000.00,73840.42,1
Huge,Large,01/11/2023,PG,Basic Industries,NYSE,Procter & Gamble Company (The),229320000000.00,68764.33,2
Small,Very Large,01/11/2023,RELY,Consumer Non-Durables,NASDAQ,"Real Industry, Inc.",90880000.00,99981.80,1
Small,Small,01/11/2023,CALI,Consumer Services,NASDAQ,China Auto Logistics Inc.,8190000.00,21765.54,2
Huge,Medium,01/11/2023,INTC,Technology,NASDAQ,Intel Corporation,165800000000.00,39922.37,2
Large,Small,01/11/2023,SQM,Basic Industries,NYSE,Sociedad Quimica y Minera S.A.,9060000000.00,23658.39,4
Small,Small,01/11/2023,WILC,Consumer Non-Durables,NASDAQ,"G. Willi-Food International,  Ltd.",92420000.00,21023.50,4
Small,Large,01/11/2023,FMY,n/a,NYSE,First Trust,59410000.00,73973.29,3
Huge,Medium,01/11/2023,CHL,Public Utilities,NYSE,China Mobile (Hong Kong) Ltd.,220680000000.00,29071.16,3
Medium,Very Large,01/11/2023,SNDX,Health Care,NASDAQ,"Syndax Pharmaceuticals, Inc.",204470000.00,99626.29,2
Small,Small,01/11/2023,RWLK,Health Care,NASDAQ,ReWalk Robotics Ltd,20840000.00,21107.40,3
Large,Medium,01/11/2023,R,Consumer Services,NYSE,"Ryder System, Inc.",3600000000.00,49457.52,2
Small,Large,01/11/2023,AGND,n/a,NASDAQ,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,12990000.00,74862.48,1
Medium,Large,01/11/2023,DHX,Miscellaneous,NYSE,"DHI Group, Inc.",128990000.00,72988.63,4
Medium,Small,01/11/2023,WMC,Consumer Services,NYSE,Western Asset Mortgage Capital Corporation,442250000.00,24390.99,4
Large,Small,01/11/2023,OLLI,Consumer Services,NASDAQ,"Ollie's Bargain Outlet Holdings, Inc.",2500000000.00,23577.20,5
Huge,Large,01/11/2023,MO,Consumer Non-Durables,NYSE,Altria Group,149280000000.00,64346.84,3
Small,Medium,01/11/2023,IFEU,n/a,NASDAQ,iShares FTSE EPRA/NAREIT Europe Index Fund,42370000.00,47671.06,4
Medium,Very Large,01/11/2023,KANG,Health Care,NASDAQ,"iKang Healthcare Group, Inc.",980680000.00,99531.82,3
Small,Very Large,01/11/2023,CHFS,Health Care,NASDAQ,"CHF Solutions, Inc.",5220000.00,97660.22,5
Large,Large,01/11/2023,VGSH,n/a,NASDAQ,Vanguard Short-Term Government ETF,1460000000.00,73877.62,2
Large,Large,01/11/2023,VXUS,n/a,NASDAQ,Vanguard Total International Stock ETF,8570000000.00,73332.32,4
Medium,Small,01/11/2023,NCV,n/a,NYSE,AllianzGI Convertible & Income Fund,618690000.00,23671.20,5
Medium,Medium,01/11/2023,RUTH,Consumer Services,NASDAQ,"Ruth's Hospitality Group, Inc.",708870000.00,48069.14,5
Small,Very Large,01/11/2023,LKOR,n/a,NASDAQ,FlexShares Credit-Scored US Long Corporate Bond Index Fund,13340000.00,98672.32,3
Large,Large,01/11/2023,TIF,Consumer Services,NYSE,Tiffany & Co.,11480000000.00,73225.24,5
Medium,Very Large,01/11/2023,CHSCN,Consumer Services,NASDAQ,CHS Inc,497620000.00,99252.74,5
Large,Large,01/11/2023,TEP,Public Utilities,NYSE,"Tallgrass Energy Partners, LP",3400000000.00,74452.16,1
Medium,Very Large,01/11/2023,JCE,n/a,NYSE,Nuveen Core Equity Alpha Fund,234720000.00,99835.42,1
Medium,Large,01/11/2023,PSCF,n/a,NASDAQ,PowerShares S&P SmallCap Financials Portfolio,243510000.00,73297.71,3
Huge,Medium,01/11/2023,INTC,Technology,NASDAQ,Intel Corporation,165800000000.00,27192.54,4
Huge,Large,01/11/2023,CMCSA,Consumer Services,NASDAQ,Comcast Corporation,195790000000.00,71159.65,1
Small,Large,01/11/2023,TNDM,Health Care,NASDAQ,"Tandem Diabetes Care, Inc.",44420000.00,72231.68,4
Large,Very Large,01/11/2023,LOPE,Consumer Services,NASDAQ,"Grand Canyon Education, Inc.",3900000000.00,98706.05,3
Large,Very Large,01/11/2023,QCP,Consumer Services,NYSE,"Quality Care Properties, Inc.",1650000000.00,99802.33,1
Small,Large,01/11/2023,UBOH,Finance,NASDAQ,"United Bancshares, Inc.",69910000.00,74385.30,2
Medium,Medium,01/11/2023,ALJJ,Miscellaneous,NASDAQ,"ALJ Regional Holdings, Inc.",113530000.00,48353.48,3
Small,Medium,01/11/2023,OLD,n/a,NASDAQ,The Long-Term Care ETF,2700000.00,49686.71,1
Small,Very Large,01/11/2023,GALE,Health Care,NASDAQ,"Galena Biopharma, Inc.",20660000.00,99001.84,2
Large,Very Large,01/11/2023,EVT,n/a,NYSE,Eaton Vance Tax Advantaged Dividend Income Fund,1600000000.00,98601.19,4
Large,Medium,01/11/2023,IPG,Technology,NYSE,"Interpublic Group of Companies, Inc. (The)",9640000000.00,48191.92,5
Medium,Medium,01/11/2023,PLOW,Capital Goods,NYSE,"Douglas Dynamics, Inc.",689020000.00,48873.06,2
Large,Small,01/11/2023,FIVE,Consumer Services,NASDAQ,"Five Below, Inc.",2650000000.00,23819.39,3
Small,Medium,01/11/2023,SOHO,Consumer Services,NASDAQ,Sotherly Hotels Inc.,91070000.00,47631.42,5
Huge,Large,01/11/2023,VZ,Public Utilities,NYSE,Verizon Communications Inc.,190220000000.00,61608.85,4
Large,Medium,01/11/2023,IXUS,n/a,NASDAQ,iShares Core MSCI Total International Stock ETF,6260000000.00,49060.11,3
Large,Very Large,01/11/2023,L,Finance,NYSE,Loews Corporation,16210000000.00,98278.82,5
Small,Small,01/11/2023,FNCX,Technology,NASDAQ,Function(x) Inc.,14240000.00,23591.52,1
Large,Medium,01/11/2023,FAST,Consumer Services,NASDAQ,Fastenal Company,12840000000.00,48670.86,4
Medium,Large,01/11/2023,BFK,n/a,NYSE,BlackRock Municipal Income Trust,638920000.00,73646.68,2
Small,Large,01/11/2023,PXS,Transportation,NASDAQ,Pyxis Tankers Inc.,26870000.00,71717.35,5
Large,Very Large,01/11/2023,SBS,Public Utilities,NYSE,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,6550000000.00,98817.08,2
Large,Medium,01/11/2023,LAMR,Consumer Services,NASDAQ,Lamar Advertising Company,7220000000.00,49863.44,1
Huge,Medium,01/11/2023,BP,Energy,NYSE,BP p.l.c.,117990000000.00,48834.11,1
Medium,Small,01/11/2023,EARN,Consumer Services,NYSE,Ellington Residential Mortgage REIT,140160000.00,24999.72,1
Large,Very Large,01/12/2023,HRL,Consumer Non-Durables,NYSE,Hormel Foods Corporation,17940000000.00,99994.59,1
Large,Medium,01/12/2023,TDC,Technology,NYSE,Teradata Corporation,3660000000.00,49255.48,3
Medium,Very Large,01/12/2023,PTGX,Health Care,NASDAQ,"Protagonist Therapeutics, Inc.",177840000.00,98986.78,5
Huge,Very Large,01/12/2023,HSBC,Finance,NYSE,HSBC Holdings plc,176430000000.00,99014.84,1
Small,Very Large,01/12/2023,QAT,n/a,NASDAQ,iShares MSCI Qatar Capped ETF,38960000.00,99349.08,2
Small,Small,01/12/2023,SBOT,Health Care,NASDAQ,"Stellar Biotechnologies, Inc.",11350000.00,24673.59,1
Large,Small,01/12/2023,DATA,Technology,NYSE,"Tableau Software, Inc.",4840000000.00,24498.64,1
Large,Small,01/12/2023,MNST,Consumer Non-Durables,NASDAQ,Monster Beverage Corporation,28570000000.00,23825.81,2
Medium,Small,01/12/2023,FTGC,n/a,NASDAQ,First Trust Global Tactical Commodity Strategy Fund,148400000.00,23467.21,5
Small,Large,01/12/2023,CUBA,n/a,NASDAQ,"The Herzfeld Caribbean Basin Fund, Inc.",43730000.00,73570.80,1
Small,Small,01/12/2023,CREG,Miscellaneous,NASDAQ,China Recycling Energy Corporation,11630000.00,22532.76,3
Small,Large,01/12/2023,PRKR,Technology,NASDAQ,"ParkerVision, Inc.",41590000.00,70305.45,4
Huge,Large,01/12/2023,TSM,Technology,NYSE,Taiwan Semiconductor Manufacturing Company Ltd.,186020000000.00,69056.61,1
Huge,Medium,01/12/2023,SNY,Health Care,NYSE,Sanofi,123340000000.00,46333.18,1
Large,Medium,01/12/2023,WDR,Finance,NYSE,"Waddell & Reed Financial, Inc.",1560000000.00,49925.01,1
Small,Large,01/12/2023,NXN,n/a,NYSE,Nuveen Insured New York Select Tax-Free Income Portfolio,54360000.00,71672.12,2
Medium,Large,01/12/2023,PDLI,Health Care,NASDAQ,"PDL BioPharma, Inc.",367040000.00,73471.57,4
Medium,Small,01/12/2023,BSD,n/a,NYSE,BlackRock Strategic Municipal Trust Inc. (The),101120000.00,23639.18,3
Large,Medium,01/12/2023,ENBL,Public Utilities,NYSE,"Enable Midstream Partners, LP",6430000000.00,49489.54,2
Small,Medium,01/12/2023,LBF,n/a,NYSE,"Scudder Global High Income Fund, Inc.",56460000.00,46592.33,4
Large,Very Large,01/12/2023,FISV,Technology,NASDAQ,"Fiserv, Inc.",26470000000.00,99492.37,3
Large,Medium,01/12/2023,PNFP,Finance,NASDAQ,"Pinnacle Financial Partners, Inc.",3270000000.00,49019.57,5
Small,Medium,01/12/2023,LINC,Consumer Services,NASDAQ,Lincoln Educational Services Corporation,80580000.00,49548.70,1
Small,Small,01/12/2023,SSNT,Miscellaneous,NASDAQ,"SilverSun Technologies, Inc.",16120000.00,21532.20,5
Large,Large,01/12/2023,AEL,Finance,NYSE,American Equity Investment Life Holding Company,2220000000.00,74402.16,4
Medium,Large,01/12/2023,CMRE,Transportation,NYSE,Costamare Inc.,710190000.00,74049.76,1
Medium,Medium,01/12/2023,SA,Basic Industries,NYSE,"Seabridge Gold, Inc.",559330000.00,48821.28,4
Huge,Medium,01/12/2023,KO,Consumer Non-Durables,NYSE,Coca-Cola Company (The),193590000000.00,31850.90,3
Small,Very Large,01/12/2023,ORMP,Health Care,NASDAQ,Oramed Pharmaceuticals Inc.,98910000.00,99965.64,1
Small,Large,01/12/2023,MZF,n/a,NYSE,Managed Duration Investment Grade Municipal Fund,94050000.00,69346.35,5
Small,Very Large,01/12/2023,ARTW,Capital Goods,NASDAQ,"Art's-Way Manufacturing Co., Inc.",12260000.00,98615.62,5
Medium,Large,01/12/2023,PFSW,Miscellaneous,NASDAQ,"PFSweb, Inc.",136890000.00,73540.05,3
Medium,Very Large,01/12/2023,DEA,Consumer Services,NYSE,"Easterly Government Properties, Inc.",779290000.00,99234.00,4
Medium,Small,01/12/2023,ATLO,Finance,NASDAQ,Ames National Corporation,283980000.00,24834.62,1
Small,Medium,01/12/2023,CNTF,n/a,NASDAQ,China TechFaith Wireless Communication Technology Limited,33670000.00,47599.22,3
Large,Large,01/12/2023,CHS,Consumer Services,NYSE,"Chico's FAS, Inc.",1200000000.00,74981.51,1
Small,Small,01/12/2023,FKU,n/a,NASDAQ,First Trust United Kingdom AlphaDEX Fund,27490000.00,23513.72,2
Huge,Small,01/12/2023,MO,Consumer Non-Durables,NYSE,Altria Group,149280000000.00,24269.42,1
Huge,Very Large,01/12/2023,CMCSA,Consumer Services,NASDAQ,Comcast Corporation,195790000000.00,97671.88,2
Small,Medium,01/12/2023,SGBX,n/a,NASDAQ,"SG Blocks, Inc.",87854.20,48687.87,2
Medium,Small,01/12/2023,JTA,n/a,NYSE,Nuveen Tax-Advantaged Total Return Strategy Fund,174980000.00,24389.27,2
Medium,Medium,01/12/2023,FVC,n/a,NASDAQ,First Trust Dorsey Wright Dynamic Focus 5 ETF,318660000.00,49366.63,2
Large,Large,01/12/2023,KYO,Technology,NYSE,Kyocera Corporation,21430000000.00,74724.46,3
Medium,Very Large,01/12/2023,KFRC,Technology,NASDAQ,"Kforce, Inc.",498130000.00,99243.80,3
Medium,Large,01/12/2023,REGI,Basic Industries,NASDAQ,"Renewable Energy Group, Inc.",477600000.00,73563.20,2
Large,Large,01/12/2023,AWK,Public Utilities,NYSE,American Water Works,14720000000.00,74877.80,2
Large,Large,01/12/2023,PEGI,Public Utilities,NASDAQ,Pattern Energy Group Inc.,2080000000.00,74286.29,5
Large,Small,01/12/2023,PXD,Energy,NYSE,Pioneer Natural Resources Company,27010000000.00,23512.60,3
Medium,Very Large,01/12/2023,NEWT,n/a,NASDAQ,Newtek Business Services Corp.,283590000.00,99497.72,2
Small,Very Large,01/12/2023,APEN,Health Care,NASDAQ,"Apollo Endosurgery, Inc.",72330000.00,98709.71,3
Large,Very Large,01/12/2023,BKH,Public Utilities,NYSE,Black Hills Corporation,3840000000.00,99041.03,4
Small,Small,01/12/2023,MTR,Energy,NYSE,Mesa Royalty Trust,22460000.00,21851.41,4
Large,Small,01/12/2023,HYLS,n/a,NASDAQ,First Trust High Yield Long/Short ETF,1230000000.00,23434.90,4
Large,Medium,01/12/2023,QVCB,Consumer Services,NASDAQ,Liberty Interactive Corporation,10920000000.00,49186.90,4
Medium,Medium,01/12/2023,PTSI,Transportation,NASDAQ,"P.A.M. Transportation Services, Inc.",129340000.00,48733.10,5
Medium,Very Large,01/12/2023,CTT,Consumer Services,NYSE,"CatchMark Timber Trust, Inc.",452920000.00,99520.02,1
Medium,Large,01/12/2023,RIC,Basic Industries,NYSE,"Richmont Mines, Inc.",458830000.00,73447.04,5
Small,Large,01/12/2023,AVNW,Technology,NASDAQ,"Aviat Networks, Inc.",93710000.00,70596.71,3
Large,Very Large,01/12/2023,CNHI,Capital Goods,NYSE,CNH Industrial N.V.,15850000000.00,99977.70,2
Medium,Medium,01/12/2023,IEUS,n/a,NASDAQ,iShares MSCI Europe Small-Cap ETF,126720000.00,49564.15,1
Small,Medium,01/12/2023,MTBC,Technology,NASDAQ,"Medical Transcription Billing, Corp.",19070000.00,46529.94,5
Medium,Small,01/12/2023,OCIP,Basic Industries,NYSE,OCI Partners LP,782980000.00,23499.88,4
Large,Very Large,01/12/2023,KR,Consumer Services,NYSE,Kroger Company (The),20340000000.00,98708.29,5
Large,Small,01/12/2023,WNS,Miscellaneous,NYSE,WNS (Holdings) Limited,1630000000.00,22965.18,5
Huge,Medium,01/12/2023,V,Miscellaneous,NYSE,Visa Inc.,217120000000.00,33472.83,2
Huge,Very Large,01/12/2023,SAP,Technology,NYSE,SAP SE,126800000000.00,78869.76,3
Huge,Large,01/12/2023,T,Public Utilities,NYSE,AT&T Inc.,239530000000.00,57536.21,2
Small,Very Large,01/12/2023,PTIE,Health Care,NASDAQ,"Pain Therapeutics, Inc.",27030000.00,98696.95,4
Medium,Medium,01/12/2023,TTI,Energy,NYSE,"Tetra Technologies, Inc.",364090000.00,48925.34,3
Large,Medium,01/02/2023,TRP,Public Utilities,NYSE,TransCanada Corporation,41810000000.00,47659.42,5
Huge,Very Large,01/02/2023,TM,Capital Goods,NYSE,Toyota Motor Corp Ltd Ord,156020000000.00,87493.53,1
Small,Very Large,01/02/2023,MTGEP,Consumer Services,NASDAQ,MTGE Investment Corp.,52000000.00,97624.85,4
Medium,Very Large,01/02/2023,MPB,Finance,NASDAQ,Mid Penn Bancorp,114750000.00,99994.68,1
Large,Large,01/02/2023,HAS,Consumer Non-Durables,NASDAQ,"Hasbro, Inc.",13710000000.00,74026.09,5
Small,Medium,01/02/2023,CVO,Consumer Durables,NYSE,Cenveo Inc,52170000.00,48871.85,4
Medium,Small,01/02/2023,OIA,n/a,NYSE,Invesco Municipal Income Opportunities Trust,376320000.00,23736.81,4
Small,Medium,01/02/2023,MNI,Consumer Services,NYSE,McClatchy Company (The),85510000.00,48567.77,5
Medium,Very Large,01/02/2023,THQ,n/a,NYSE,Tekla Healthcare Opportunies Fund,772410000.00,99728.24,2
Small,Large,01/02/2023,AXAR,Finance,NASDAQ,Axar Acquisition Corp.,83790000.00,74010.12,3
Huge,Medium,01/02/2023,VZ,Public Utilities,NYSE,Verizon Communications Inc.,190220000000.00,39428.93,3
Small,Small,01/02/2023,LKOR,n/a,NASDAQ,FlexShares Credit-Scored US Long Corporate Bond Index Fund,13340000.00,24667.34,2
Large,Large,01/02/2023,SRCE,Finance,NASDAQ,1st Source Corporation,1270000000.00,74668.62,1
Medium,Small,01/02/2023,DHIL,Finance,NASDAQ,"Diamond Hill Investment Group, Inc.",701480000.00,24715.57,1
Large,Small,01/02/2023,LSI,Consumer Services,NYSE,"Life Storage, Inc.",3500000000.00,24608.82,2
Small,Very Large,01/02/2023,LGCYP,Energy,NASDAQ,Legacy Reserves LP,13080000.00,95959.91,5
Medium,Large,01/02/2023,FORR,Consumer Services,NASDAQ,"Forrester Research, Inc.",700650000.00,73792.28,3
Large,Very Large,01/02/2023,BEDU,Consumer Services,NYSE,Bright Scholar Education Holdings Limited,1380000000.00,98879.69,4
Small,Very Large,01/02/2023,FLGT,Health Care,NASDAQ,"Fulgent Genetics, Inc.",92710000.00,98714.61,3
Medium,Small,01/02/2023,DVAX,Health Care,NASDAQ,Dynavax Technologies Corporation,383030000.00,24430.22,2
Medium,Medium,01/02/2023,LDR,Capital Goods,NYSE,"Landauer, Inc.",513320000.00,47205.61,4
Small,Medium,01/02/2023,ARCI,Consumer Services,NASDAQ,"Appliance Recycling Centers of America, Inc.",4390000.00,49738.01,1
Small,Very Large,01/02/2023,OBCI,Consumer Durables,NASDAQ,"Ocean Bio-Chem, Inc.",37260000.00,99288.11,1
Medium,Large,01/02/2023,KND,Health Care,NYSE,"Kindred Healthcare, Inc.",907720000.00,74171.85,2
Medium,Small,01/02/2023,ESTE,Energy,NYSE,"Earthstone Energy, Inc.",608380000.00,23362.83,5
Medium,Large,01/02/2023,GSOL,Consumer Services,NASDAQ,Global Sources Ltd.,488080000.00,73554.57,4
Small,Small,01/02/2023,SYMX,Basic Industries,NASDAQ,"Synthesis Energy Systems, Inc.",61120000.00,22782.41,4
Large,Very Large,01/02/2023,ROIC,Consumer Services,NASDAQ,Retail Opportunity Investments Corp.,2150000000.00,99797.16,2
Large,Small,01/02/2023,AF,Finance,NYSE,Astoria Financial Corporation,2060000000.00,24701.47,1
Medium,Small,01/02/2023,QQEW,n/a,NASDAQ,First Trust NASDAQ-100 Equal Weighted Index Fund,556300000.00,23828.72,3
