,Category,Function/Method/Concept,year,week,_merge
185,Pandas - Selection/slicing,slicing a DataFrame,2020.0,8.0,both
186,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2020.0,8.0,both
187,String Functions,Count matches,2020.0,8.0,in regex match
188,String Functions,```replace```,2020.0,8.0,both
189,String Functions,String slicing,2020.0,8.0,both
190,numpy,"aggregate functions (e.g. ```sum```, ```max```)",2020.0,8.0,both
191,Charts,```Bokeh```,2020.0,9.0,both
192,Other,list/dict comprehension,2020.0,9.0,in regex match
193,Other,Loops,2020.0,9.0,in regex match
194,Other,Mapping values with dictionary,2020.0,9.0,both
195,Pandas - Aggregation,```rank```,2020.0,9.0,both
196,Pandas - Aggregation,```transform```,2020.0,9.0,both
197,Pandas - Dates,"```DateOffset```, ```offsets```",2020.0,9.0,both
198,Pandas - Dates,```to_datetime```,2020.0,9.0,both
199,Pandas - Other,```astype```,2020.0,9.0,both
200,Pandas - Other,```sort_values```,2020.0,9.0,in regex match
201,Pandas - Reshaping,```extract```,2020.0,9.0,both
202,Pandas - Reshaping,```melt```,2020.0,9.0,both
203,Pandas - Reshaping,"```transpose```, ```T```",2020.0,9.0,in regex match
204,Pandas - Selection/slicing,```dropna```,2020.0,9.0,both
205,Pandas - Selection/slicing,```query```,2020.0,9.0,both
206,Pandas - Selection/slicing,slicing a DataFrame,2020.0,9.0,in regex match
207,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2020.0,9.0,in regex match
208,String Functions,"```contains```, ```startswith```, ```endswith```",2020.0,9.0,in regex match
209,String Functions,Count matches,2020.0,9.0,in regex match
210,String Functions,```replace```,2020.0,9.0,in regex match
211,String Functions,String slicing,2020.0,9.0,in regex match
212,numpy,```where```,2020.0,9.0,both
213,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2020.0,10.0,in regex match
214,Pandas - Reshaping,"```transpose```, ```T```",2020.0,10.0,in regex match
215,String Functions,Count matches,2020.0,10.0,in regex match
216,Other,Function,2020.0,11.0,in regex match
217,Other,Function (recursive),2020.0,11.0,in regex match
218,Other,"list methods (```sort```, ```reverse```, ```append```, ```union```, etc.)",2020.0,11.0,in regex match
219,Other,list/dict comprehension,2020.0,11.0,in regex match
220,Other,Loops,2020.0,11.0,in regex match
221,Pandas - Aggregation,"Cumulative aggregation(```cumcount```, ```cumsum```, etc.)",2020.0,11.0,in regex match
222,Pandas - Aggregation,```transform```,2020.0,11.0,in regex match
223,Pandas - File I/O,Read Excel files,2020.0,11.0,in regex match
224,Pandas - File I/O,Read Excel files (dynamic sheets),2020.0,11.0,in regex match
225,Pandas - Joining,```concat```,2020.0,11.0,in regex match
226,Pandas - Other,```assign```,2020.0,11.0,in regex match
227,Pandas - Other,```astype```,2020.0,11.0,in regex match
228,Pandas - Reshaping,```explode```,2020.0,11.0,in regex match
229,Pandas - Reshaping,```melt```,2020.0,11.0,in regex match
230,Pandas - Reshaping,"```transpose```, ```T```",2020.0,11.0,in regex match
231,Pandas - Selection/slicing,```drop```,2020.0,11.0,in regex match
232,Pandas - Selection/slicing,```dropna```,2020.0,11.0,in regex match
233,String Functions,Count matches,2020.0,11.0,in regex match
234,String Functions,```replace```,2020.0,11.0,in regex match
235,String Functions,String slicing,2020.0,11.0,in regex match
236,numpy,"```ceil```, ```floor```",2020.0,11.0,in regex match
237,numpy,```where```,2020.0,11.0,in regex match
238,Other,Function,2020.0,12.0,in regex match
239,Other,Function (recursive),2020.0,12.0,in regex match
240,Other,list/dict comprehension,2020.0,12.0,in regex match
241,Other,user input,2020.0,12.0,in regex match
242,Pandas - File I/O,Read Excel files,2020.0,12.0,in regex match
243,Pandas - File I/O,Read Excel files (dynamic sheets),2020.0,12.0,in regex match
244,Pandas - Joining,```merge```,2020.0,12.0,in regex match
245,Pandas - Reshaping,"```transpose```, ```T```",2020.0,12.0,in regex match
246,Pandas - Selection/slicing,slicing a DataFrame,2020.0,12.0,in regex match
247,Rounding,Basic,2020.0,12.0,in regex match
248,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2020.0,12.0,in regex match
249,String Functions,Count matches,2020.0,12.0,in regex match
250,String Functions,```replace```,2020.0,12.0,in regex match
251,String Functions,String slicing,2020.0,12.0,in regex match
252,Pandas - File I/O,Read Excel files,2020.0,17.0,in regex match
253,Pandas - File I/O,Read Excel files (dynamic sheets),2020.0,17.0,in regex match
254,Pandas - Selection/slicing,```drop_duplicates```,2020.0,17.0,in regex match
255,String Functions,Count matches,2020.0,17.0,in regex match
256,String Functions,```match```,2020.0,17.0,in regex match
257,String Functions,String slicing,2020.0,17.0,in regex match
258,numpy,```where```,2020.0,17.0,in regex match
259,Pandas - File I/O,Read Excel files,2020.0,32.0,in regex match
260,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2020.0,32.0,in regex match
261,Pandas - Reshaping,"```transpose```, ```T```",2020.0,32.0,in regex match
262,String Functions,Count matches,2020.0,32.0,in regex match
263,String Functions,String slicing,2020.0,32.0,in regex match
264,Charts,```Seaborn```,2021.0,1.0,both
265,Other,Mapping values with dictionary,2021.0,1.0,both
266,Pandas - Aggregation,"Cumulative aggregation(```cumcount```, ```cumsum```, etc.)",2021.0,1.0,in regex match
267,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2021.0,1.0,in regex match
268,Pandas - Joining,```merge```,2021.0,1.0,both
269,Pandas - Other,"```apply```, ```map```",2021.0,1.0,in regex match
270,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2021.0,1.0,both
271,Pandas - Other,```sort_values```,2021.0,1.0,both
272,Pandas - Reshaping,"```transpose```, ```T```",2021.0,1.0,in regex match
273,Pandas - Selection/slicing,slicing a DataFrame,2021.0,1.0,both
274,String Functions,Count matches,2021.0,1.0,in regex match
275,String Functions,```replace```,2021.0,1.0,both
276,String Functions,```split```,2021.0,1.0,both
277,String Functions,String slicing,2021.0,1.0,in regex match
278,Charts,```Seaborn```,2021.0,2.0,in regex match
279,Pandas - Aggregation,Named Aggregation,2021.0,2.0,both
280,Pandas - Dates,"Dateparts (```dt.month```, ```dt.quarter```, etc.)",2021.0,2.0,in regex match
281,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2021.0,2.0,both
282,Pandas - Dates,```to_datetime```,2021.0,2.0,in regex match
283,Pandas - Dates,```to_period```,2021.0,2.0,in regex match
284,Pandas - Reshaping,"```transpose```, ```T```",2021.0,2.0,in regex match
285,Rounding,Basic,2021.0,2.0,both
286,String Functions,Count matches,2021.0,2.0,in regex match
287,String Functions,```replace```,2021.0,2.0,both
288,String Functions,String slicing,2021.0,2.0,in regex match
289,Other,Loops,2021.0,3.0,in regex match
290,Pandas - File I/O,Read Excel files,2021.0,3.0,both
291,Pandas - Reshaping,"```transpose```, ```T```",2021.0,3.0,in regex match
292,String Functions,Count matches,2021.0,3.0,in regex match
293,String Functions,```split```,2021.0,3.0,both
294,String Functions,String slicing,2021.0,3.0,in regex match
295,Other,list/dict comprehension,2021.0,4.0,both
296,Other,Loops,2021.0,4.0,in regex match
297,Pandas - Aggregation,```rank```,2021.0,4.0,both
298,Pandas - File I/O,Read Excel files,2021.0,4.0,both
299,Pandas - Joining,```merge```,2021.0,4.0,both
300,Pandas - Reshaping,"```transpose```, ```T```",2021.0,4.0,in regex match
301,String Functions,Count matches,2021.0,4.0,in regex match
302,String Functions,```split```,2021.0,4.0,both
303,String Functions,String slicing,2021.0,4.0,in regex match
304,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2021.0,5.0,both
305,Pandas - Joining,```merge```,2021.0,5.0,both
306,Pandas - Other,```sort_values```,2021.0,5.0,both
307,Pandas - Reshaping,"```transpose```, ```T```",2021.0,5.0,in regex match
308,Pandas - Selection/slicing,```drop_duplicates```,2021.0,5.0,both
309,String Functions,Count matches,2021.0,5.0,in regex match
310,Pandas - Aggregation,Named Aggregation,2021.0,6.0,both
311,Pandas - Aggregation,```rank```,2021.0,6.0,both
312,Pandas - File I/O,Read Excel files,2021.0,6.0,both
313,Pandas - Joining,```merge```,2021.0,6.0,both
314,Pandas - Other,```astype```,2021.0,6.0,both
315,Pandas - Reshaping,"```pivot```, ```pivot_table```",2021.0,6.0,both
316,Pandas - Reshaping,"```transpose```, ```T```",2021.0,6.0,in regex match
317,Rounding,Basic,2021.0,6.0,both
318,String Functions,Count matches,2021.0,6.0,in regex match
319,String Functions,```replace```,2021.0,6.0,both
320,String Functions,String slicing,2021.0,6.0,in regex match
321,Other,list/dict comprehension,2021.0,7.0,both
322,Other,Loops,2021.0,7.0,in regex match
323,Other,```zip```,2021.0,7.0,both
324,Pandas - Aggregation,Named Aggregation,2021.0,7.0,both
325,Pandas - File I/O,Read Excel files,2021.0,7.0,both
326,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,7.0,in regex match
327,Pandas - Joining,```merge```,2021.0,7.0,both
328,Pandas - Reshaping,```explode```,2021.0,7.0,both
329,Pandas - Reshaping,```stack```,2021.0,7.0,both
330,Pandas - Reshaping,"```transpose```, ```T```",2021.0,7.0,in regex match
331,Pandas - Selection/slicing,```drop_duplicates```,2021.0,7.0,both
332,Pandas - Selection/slicing,slicing a DataFrame,2021.0,7.0,in regex match
333,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2021.0,7.0,in regex match
334,String Functions,Count matches,2021.0,7.0,in regex match
335,String Functions,```join```,2021.0,7.0,in regex match
336,String Functions,```split```,2021.0,7.0,both
337,String Functions,String slicing,2021.0,7.0,in regex match
338,Other,Function,2021.0,8.0,both
339,Other,Function (recursive),2021.0,8.0,in regex match
340,Other,list/dict comprehension,2021.0,8.0,both
341,Pandas - Aggregation,"Cumulative aggregation(```cumcount```, ```cumsum```, etc.)",2021.0,8.0,in regex match
342,Pandas - Aggregation,```rank```,2021.0,8.0,both
343,Pandas - Dates,"Dateparts (```dt.month```, ```dt.quarter```, etc.)",2021.0,8.0,in regex match
344,Pandas - Dates,"```timedelta```, ```to_timedelta```, ```relativedelta```",2021.0,8.0,in regex match
345,Pandas - File I/O,Read Excel files,2021.0,8.0,both
346,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,8.0,in regex match
347,Pandas - Other,```astype```,2021.0,8.0,both
348,Pandas - Other,"```shift```, ```diff```",2021.0,8.0,both
349,Pandas - Other,```sort_values```,2021.0,8.0,both
350,Pandas - Reshaping,"```transpose```, ```T```",2021.0,8.0,in regex match
351,Pandas - Selection/slicing,```drop```,2021.0,8.0,both
352,Pandas - Selection/slicing,```dropna```,2021.0,8.0,both
353,Pandas - Selection/slicing,slicing a DataFrame,2021.0,8.0,both
354,Rounding,Basic,2021.0,8.0,both
355,String Functions,Count matches,2021.0,8.0,in regex match
356,String Functions,String slicing,2021.0,8.0,in regex match
357,Other,Function,2021.0,9.0,both
358,Other,Function (recursive),2021.0,9.0,in regex match
359,Pandas - Aggregation,```rank```,2021.0,9.0,both
360,Pandas - Aggregation,```transform```,2021.0,9.0,both
361,Pandas - File I/O,Read Excel files,2021.0,9.0,both
362,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,9.0,in regex match
363,Pandas - Joining,```merge```,2021.0,9.0,both
364,Pandas - Other,```astype```,2021.0,9.0,both
365,Pandas - Reshaping,```explode```,2021.0,9.0,both
366,Pandas - Reshaping,```extract```,2021.0,9.0,both
367,Pandas - Reshaping,"```transpose```, ```T```",2021.0,9.0,in regex match
368,Rounding,Round Half Up,2021.0,9.0,both
369,String Functions,Count matches,2021.0,9.0,in regex match
370,String Functions,```split```,2021.0,9.0,both
371,String Functions,```strip```,2021.0,9.0,both
372,numpy,"```ceil```, ```floor```",2021.0,9.0,in regex match
373,Other,Function,2021.0,10.0,both
374,Other,Function (recursive),2021.0,10.0,both
375,Other,"list methods (```sort```, ```reverse```, ```append```, ```union```, etc.)",2021.0,10.0,in regex match
376,Other,list/dict comprehension,2021.0,10.0,both
377,Other,Loops,2021.0,10.0,in regex match
378,Other,```zip```,2021.0,10.0,both
379,Pandas - File I/O,Read Excel files,2021.0,10.0,both
380,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,10.0,in regex match
381,Pandas - Joining,```merge```,2021.0,10.0,both
382,Pandas - Other,"```apply```, ```map```",2021.0,10.0,both
383,Pandas - Other,```astype```,2021.0,10.0,both
384,Pandas - Reshaping,"```transpose```, ```T```",2021.0,10.0,in regex match
385,Pandas - Selection/slicing,```drop```,2021.0,10.0,both
386,Pandas - Selection/slicing,```drop_duplicates```,2021.0,10.0,both
387,String Functions,Count matches,2021.0,10.0,in regex match
388,String Functions,String slicing,2021.0,10.0,both
389,Other,list/dict comprehension,2021.0,11.0,both
390,Other,```zip```,2021.0,11.0,both
391,Pandas - File I/O,Read Excel files,2021.0,11.0,both
392,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,11.0,in regex match
393,Pandas - Joining,```merge```,2021.0,11.0,both
394,Pandas - Other,"```apply```, ```map```",2021.0,11.0,both
395,Pandas - Reshaping,```explode```,2021.0,11.0,both
396,Pandas - Reshaping,```extract```,2021.0,11.0,both
397,Pandas - Reshaping,"```transpose```, ```T```",2021.0,11.0,in regex match
398,Rounding,Basic,2021.0,11.0,both
399,String Functions,Count matches,2021.0,11.0,in regex match
400,String Functions,```split```,2021.0,11.0,both
401,String Functions,String slicing,2021.0,11.0,in regex match
402,Charts,```matplotlib```,2021.0,12.0,in regex match
403,Charts,```Seaborn```,2021.0,12.0,both
404,Other,list/dict comprehension,2021.0,12.0,both
405,Other,Loops,2021.0,12.0,in regex match
406,Other,sets,2021.0,12.0,in regex match
407,Pandas - Dates,```dt.strftime```,2021.0,12.0,both
408,Pandas - Dates,```to_datetime```,2021.0,12.0,both
409,Pandas - Joining,```merge```,2021.0,12.0,both
410,Pandas - Other,```astype```,2021.0,12.0,both
411,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2021.0,12.0,both
412,Pandas - Reshaping,```melt```,2021.0,12.0,both
413,Pandas - Reshaping,"```transpose```, ```T```",2021.0,12.0,in regex match
414,Pandas - Selection/slicing,```drop```,2021.0,12.0,both
415,Pandas - Selection/slicing,slicing a DataFrame,2021.0,12.0,both
416,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2021.0,12.0,in regex match
417,String Functions,"```contains```, ```startswith```, ```endswith```",2021.0,12.0,both
418,String Functions,Count matches,2021.0,12.0,in regex match
419,String Functions,```match```,2021.0,12.0,both
420,String Functions,```replace```,2021.0,12.0,both
421,String Functions,String slicing,2021.0,12.0,in regex match
422,numpy,```where```,2021.0,12.0,both
423,Other,list/dict comprehension,2021.0,13.0,both
424,Pandas - Aggregation,```rank```,2021.0,13.0,both
425,Pandas - Other,```astype```,2021.0,13.0,both
426,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2021.0,13.0,both
427,Pandas - Other,```sort_values```,2021.0,13.0,both
428,Pandas - Reshaping,"```transpose```, ```T```",2021.0,13.0,in regex match
429,Pandas - Selection/slicing,slicing a DataFrame,2021.0,13.0,both
430,Rounding,Basic,2021.0,13.0,both
431,String Functions,Count matches,2021.0,13.0,in regex match
432,String Functions,String slicing,2021.0,13.0,in regex match
433,String Functions,```strip```,2021.0,13.0,both
434,Other,list/dict comprehension,2021.0,14.0,both
435,Pandas - Aggregation,```rank```,2021.0,14.0,both
436,Pandas - File I/O,Read Excel files,2021.0,14.0,both
437,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,14.0,in regex match
438,Pandas - File I/O,Write multiple tabs to Excel file,2021.0,14.0,both
439,Pandas - Joining,```merge```,2021.0,14.0,both
440,Pandas - Other,"```apply```, ```map```",2021.0,14.0,in regex match
441,Pandas - Other,```astype```,2021.0,14.0,both
442,Pandas - Other,```sort_values```,2021.0,14.0,both
443,Pandas - Reshaping,```melt```,2021.0,14.0,both
444,Pandas - Reshaping,"```transpose```, ```T```",2021.0,14.0,in regex match
445,Pandas - Selection/slicing,```drop```,2021.0,14.0,both
446,Pandas - Selection/slicing,slicing a DataFrame,2021.0,14.0,both
447,Rounding,Basic,2021.0,14.0,both
448,String Functions,Count matches,2021.0,14.0,in regex match
449,String Functions,```replace```,2021.0,14.0,both
450,String Functions,```split```,2021.0,14.0,both
451,String Functions,String slicing,2021.0,14.0,in regex match
452,numpy,```where```,2021.0,14.0,both
453,Pandas - Dates,"Dateparts (```dt.month```, ```dt.quarter```, etc.)",2021.0,15.0,both
454,Pandas - File I/O,Read Excel files,2021.0,15.0,both
455,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,15.0,in regex match
456,Pandas - Joining,```merge```,2021.0,15.0,both
457,Pandas - Other,```astype```,2021.0,15.0,both
458,Pandas - Other,```sort_values```,2021.0,15.0,both
459,Pandas - Reshaping,```explode```,2021.0,15.0,both
460,Pandas - Reshaping,```extract```,2021.0,15.0,both
461,Pandas - Reshaping,```melt```,2021.0,15.0,both
462,Pandas - Reshaping,"```pivot```, ```pivot_table```",2021.0,15.0,both
463,Pandas - Reshaping,"```transpose```, ```T```",2021.0,15.0,in regex match
464,Pandas - Selection/slicing,```drop```,2021.0,15.0,both
