Team,Result,For,Aga,Diff,HTf,HTa,Opposition,Venue,Date
England,lost,0,13,-13,0,5,v France,Colombes,24/2/1962
England,won,6,5,1,3,5,v France,Twickenham,23/2/1963
England,won,6,3,3,3,3,v France,Colombes,22/2/1964
England,won,9,6,3,3,3,v France,Twickenham,27/2/1965
England,lost,0,13,-13,0,5,v France,Colombes,26/2/1966
England,lost,12,16,-4,9,13,v France,Twickenham,25/2/1967
England,lost,9,14,-5,6,3,v France,Colombes,24/2/1968
England,won,22,8,14,11,5,v France,Twickenham,22/2/1969
England,lost,13,35,-22,0,14,v France,Colombes,18/4/1970
England,draw,14,14,0,14,6,v France,Twickenham,27/2/1971
England,lost,12,37,-25,6,15,v France,Colombes,26/2/1972
England,won,14,6,8,7,0,v France,Twickenham,24/2/1973
England,draw,12,12,0,0,6,v France,Parc des Princes,2/3/1974
England,lost,20,27,-7,10,12,v France,Twickenham,1/2/1975
England,lost,9,30,-21,3,10,v France,Parc des Princes,20/3/1976
England,lost,3,4,-1,-,-,v France,Twickenham,19/2/1977
England,lost,6,15,-9,6,3,v France,Parc des Princes,21/1/1978
England,won,7,6,1,3,0,v France,Twickenham,3/3/1979
England,won,17,13,4,14,7,v France,Parc des Princes,2/2/1980
England,lost,12,16,-4,0,16,v France,Twickenham,21/3/1981
England,won,27,15,12,12,6,v France,Parc des Princes,20/2/1982
England,lost,15,19,-4,9,3,v France,Twickenham,15/1/1983
England,lost,18,32,-14,6,9,v France,Parc des Princes,3/3/1984
England,draw,9,9,0,3,6,v France,Twickenham,2/2/1985
England,lost,10,29,-19,0,10,v France,Parc des Princes,15/3/1986
England,lost,15,19,-4,12,3,v France,Twickenham,21/2/1987
England,lost,9,10,-1,3,3,v France,Parc des Princes,16/1/1988
England,won,11,0,11,4,0,v France,Twickenham,4/3/1989
England,won,26,7,19,13,0,v France,Parc des Princes,3/2/1990
England,won,21,19,2,18,9,v France,Twickenham,16/3/1991
England,won,19,10,9,10,6,v France,Parc des Princes,19/10/1991
England,won,31,13,18,15,4,v France,Parc des Princes,15/2/1992
England,won,16,15,1,13,12,v France,Twickenham,16/1/1993
England,won,18,14,4,9,0,v France,Parc des Princes,5/3/1994
England,won,31,10,21,13,3,v France,Twickenham,4/2/1995
England,lost,9,19,-10,3,3,v France,Pretoria,22/6/1995
England,lost,12,15,-3,6,3,v France,Parc des Princes,20/1/1996
England,lost,20,23,-3,14,6,v France,Twickenham,1/3/1997
England,lost,17,24,-7,3,15,v France,Stade de France,7/2/1998
England,won,21,10,11,9,0,v France,Twickenham,20/3/1999
England,won,15,9,6,9,0,v France,Stade de France,19/2/2000
England,won,48,19,29,13,16,v France,Twickenham,7/4/2001
England,lost,15,20,-5,7,17,v France,Stade de France,2/3/2002
England,won,25,17,8,12,7,v France,Twickenham,15/2/2003
England,lost,16,17,-1,13,14,v France,Marseille,30/8/2003
England,won,45,14,31,33,3,v France,Twickenham,6/9/2003
England,won,24,7,17,12,7,v France,Sydney,16/11/2003
England,lost,21,24,-3,3,21,v France,Stade de France,27/3/2004
England,lost,17,18,-1,17,6,v France,Twickenham,13/2/2005
England,lost,6,31,-25,3,16,v France,Stade de France,12/3/2006
England,won,26,18,8,9,12,v France,Twickenham,11/3/2007
England,lost,15,21,-6,12,11,v France,Twickenham,11/8/2007
England,lost,9,22,-13,3,12,v France,Marseille,18/8/2007
England,won,14,9,5,5,6,v France,Stade de France,13/10/2007
England,won,24,13,11,13,7,v France,Stade de France,23/2/2008
England,won,34,10,24,29,0,v France,Twickenham,15/3/2009
England,lost,10,12,-2,7,12,v France,Stade de France,20/3/2010
England,won,17,9,8,9,9,v France,Twickenham,26/2/2011
England,lost,12,19,-7,0,16,v France,Auckland,8/10/2011
England,won,24,22,2,14,9,v France,Stade de France,11/3/2012
England,won,23,13,10,9,10,v France,Twickenham,23/2/2013
England,lost,24,26,-2,8,16,v France,Stade de France,1/2/2014
England,won,55,35,20,27,15,v France,Twickenham,21/3/2015
England,won,19,14,5,12,9,v France,Twickenham,15/8/2015
England,lost,20,25,-5,6,15,v France,Stade de France,22/8/2015
England,won,31,21,10,17,12,v France,Stade de France,19/3/2016
England,won,19,16,3,9,9,v France,Twickenham,4/2/2017
England,lost,16,22,-6,9,9,v France,Stade de France,10/3/2018
England,won,44,8,36,30,8,v France,Twickenham,10/2/2019
