Flag,Player,Session,Score,Session Date
Carried over,Player 1,Cardio,8,10/03/2022
Actual,Player 1,Cardio,8,09/03/2022
Carried over,Player 1,Cardio,9,14/03/2022
Actual,Player 1,Cardio,9,11/03/2022
Carried over,Player 1,Cardio,5,16/03/2022
Actual,Player 1,Cardio,5,15/03/2022
Actual,Player 1,Cardio,9,17/03/2022
Actual,Player 1,Cardio,10,18/03/2022
Carried over,Player 1,Cardio,3,25/03/2022
Carried over,Player 1,Cardio,3,24/03/2022
Carried over,Player 1,Cardio,3,23/03/2022
Carried over,Player 1,Cardio,3,22/03/2022
Actual,Player 1,Cardio,3,21/03/2022
Actual,Player 1,Cardio,5,28/03/2022
Actual,Player 1,Cardio,8,29/03/2022
Actual,Player 1,Cardio,3,30/03/2022
Actual,Player 1,Cardio,6,31/03/2022
Actual,Player 1,Cardio,7,01/04/2022
Actual,Player 1,Cardio,8,04/04/2022
Actual,Player 1,Cardio,4,05/04/2022
Actual,Player 1,Cardio,9,06/04/2022
Actual,Player 1,Cardio,10,07/04/2022
Carried over,Player 1,Cardio,5,14/04/2022
Carried over,Player 1,Cardio,5,13/04/2022
Carried over,Player 1,Cardio,5,12/04/2022
Carried over,Player 1,Cardio,5,11/04/2022
Actual,Player 1,Cardio,5,08/04/2022
Actual,Player 1,Cardio,3,15/04/2022
Carried over,Player 1,Cardio,3,19/04/2022
Actual,Player 1,Cardio,3,18/04/2022
Actual,Player 1,Cardio,6,20/04/2022
Actual,Player 1,Cardio,6,21/04/2022
Actual,Player 1,Cardio,3,22/04/2022
Carried over,Player 1,Cardio,4,28/04/2022
Carried over,Player 1,Cardio,4,27/04/2022
Carried over,Player 1,Cardio,4,26/04/2022
Actual,Player 1,Cardio,4,25/04/2022
Carried over,Player 1,Cardio,9,02/05/2022
Actual,Player 1,Cardio,9,29/04/2022
Carried over,Player 1,Cardio,6,05/05/2022
Carried over,Player 1,Cardio,6,04/05/2022
Actual,Player 1,Cardio,6,03/05/2022
Actual,Player 1,Cardio,7,06/05/2022
Carried over,Player 1,Cardio,7,11/05/2022
Carried over,Player 1,Cardio,7,10/05/2022
Actual,Player 1,Cardio,7,09/05/2022
Actual,Player 1,Cardio,8,12/05/2022
Actual,Player 1,Cardio,9,13/05/2022
Actual,Player 1,Cardio,10,16/05/2022
Carried over,Player 1,Cardio,3,19/05/2022
Carried over,Player 1,Cardio,3,18/05/2022
Actual,Player 1,Cardio,3,17/05/2022
Actual,Player 1,Cardio,4,20/05/2022
Actual,Player 1,Cardio,9,23/05/2022
Carried over,Player 1,Cardio,7,25/05/2022
Actual,Player 1,Cardio,7,24/05/2022
Carried over,Player 1,Cardio,8,30/05/2022
Carried over,Player 1,Cardio,8,27/05/2022
Actual,Player 1,Cardio,8,26/05/2022
Actual,Player 1,Cardio,10,31/05/2022
Actual,Player 1,Cardio,3,01/06/2022
Actual,Player 1,Cardio,6,02/06/2022
Actual,Player 1,Cardio,3,03/06/2022
Actual,Player 1,Cardio,6,06/06/2022
Actual,Player 1,Cardio,4,07/06/2022
Actual,Player 1,Cardio,10,08/06/2022
Carried over,Player 1,Cardio,4,10/06/2022
Actual,Player 1,Cardio,4,09/06/2022
Actual,Player 1,Cardio,9,13/06/2022
Carried over,Player 1,Cardio,6,20/06/2022
Carried over,Player 1,Cardio,6,17/06/2022
Carried over,Player 1,Cardio,6,16/06/2022
Carried over,Player 1,Cardio,6,15/06/2022
Actual,Player 1,Cardio,6,14/06/2022
Actual,Player 1,Cardio,7,21/06/2022
Actual,Player 1,Cardio,4,22/06/2022
Actual,Player 1,Cardio,10,23/06/2022
Actual,Player 1,Cardio,6,24/06/2022
Actual,Player 1,Cardio,7,27/06/2022
Actual,Player 1,Cardio,9,28/06/2022
Carried over,Player 1,Cardio,8,30/06/2022
Actual,Player 1,Cardio,8,29/06/2022
Carried over,Player 1,Cardio,6,04/07/2022
Actual,Player 1,Cardio,6,01/07/2022
Actual,Player 1,Cardio,8,05/07/2022
Carried over,Player 1,Cardio,8,07/07/2022
Actual,Player 1,Cardio,8,06/07/2022
Actual,Player 1,Cardio,10,08/07/2022
Carried over,Player 1,Cardio,5,12/07/2022
Actual,Player 1,Cardio,5,11/07/2022
Actual,Player 1,Cardio,9,13/07/2022
Carried over,Player 1,Cardio,7,15/07/2022
Actual,Player 1,Cardio,7,14/07/2022
Actual,Player 1,Cardio,3,18/07/2022
Actual,Player 1,Cardio,8,19/07/2022
Actual,Player 1,Cardio,6,20/07/2022
Actual,Player 1,Cardio,9,21/07/2022
Actual,Player 1,Cardio,8,22/07/2022
Carried over,Player 1,Cardio,8,27/07/2022
Carried over,Player 1,Cardio,8,26/07/2022
Actual,Player 1,Cardio,8,25/07/2022
Actual,Player 11,Agility,10,03/01/2022
Actual,Player 11,Agility,6,04/01/2022
Carried over,Player 11,Agility,9,06/01/2022
Actual,Player 11,Agility,9,05/01/2022
Actual,Player 11,Agility,9,07/01/2022
Actual,Player 11,Agility,3,10/01/2022
Carried over,Player 11,Agility,6,12/01/2022
Actual,Player 11,Agility,6,11/01/2022
Carried over,Player 11,Agility,9,14/01/2022
Actual,Player 11,Agility,9,13/01/2022
Actual,Player 11,Agility,5,17/01/2022
Carried over,Player 11,Agility,5,19/01/2022
Actual,Player 11,Agility,5,18/01/2022
Carried over,Player 11,Agility,7,21/01/2022
Actual,Player 11,Agility,7,20/01/2022
Carried over,Player 11,Agility,7,25/01/2022
Actual,Player 11,Agility,7,24/01/2022
Carried over,Player 11,Agility,3,27/01/2022
Actual,Player 11,Agility,3,26/01/2022
Carried over,Player 11,Agility,8,31/01/2022
Actual,Player 11,Agility,8,28/01/2022
Carried over,Player 11,Agility,9,04/02/2022
Carried over,Player 11,Agility,9,03/02/2022
Carried over,Player 11,Agility,9,02/02/2022
Actual,Player 11,Agility,9,01/02/2022
Carried over,Player 11,Agility,5,08/02/2022
Actual,Player 11,Agility,5,07/02/2022
Actual,Player 11,Agility,8,09/02/2022
Actual,Player 11,Agility,5,10/02/2022
Actual,Player 11,Agility,9,11/02/2022
Actual,Player 11,Agility,6,14/02/2022
Carried over,Player 11,Agility,9,16/02/2022
Actual,Player 11,Agility,9,15/02/2022
Actual,Player 11,Agility,6,17/02/2022
Actual,Player 11,Agility,3,18/02/2022
Carried over,Player 11,Agility,4,23/02/2022
Carried over,Player 11,Agility,4,22/02/2022
Actual,Player 11,Agility,4,21/02/2022
Actual,Player 11,Agility,7,24/02/2022
Actual,Player 11,Agility,7,25/02/2022
Actual,Player 11,Agility,3,28/02/2022
Actual,Player 11,Agility,4,01/03/2022
Carried over,Player 11,Agility,9,03/03/2022
Actual,Player 11,Agility,9,02/03/2022
Actual,Player 11,Agility,8,04/03/2022
Carried over,Player 11,Agility,9,08/03/2022
Actual,Player 11,Agility,9,07/03/2022
Actual,Player 11,Agility,3,09/03/2022
Actual,Player 11,Agility,7,10/03/2022
Actual,Player 11,Agility,8,11/03/2022
Actual,Player 11,Agility,6,14/03/2022
Carried over,Player 11,Agility,7,16/03/2022
Actual,Player 11,Agility,7,15/03/2022
Actual,Player 11,Agility,5,17/03/2022
Actual,Player 11,Agility,7,18/03/2022
Carried over,Player 11,Agility,6,22/03/2022
Actual,Player 11,Agility,6,21/03/2022
Actual,Player 11,Agility,7,23/03/2022
Actual,Player 11,Agility,9,24/03/2022
Actual,Player 11,Agility,5,25/03/2022
Actual,Player 11,Agility,7,28/03/2022
Carried over,Player 11,Agility,10,31/03/2022
Carried over,Player 11,Agility,10,30/03/2022
Actual,Player 11,Agility,10,29/03/2022
Actual,Player 11,Agility,8,01/04/2022
Actual,Player 11,Agility,5,04/04/2022
Carried over,Player 11,Agility,7,06/04/2022
Actual,Player 11,Agility,7,05/04/2022
Actual,Player 11,Agility,3,07/04/2022
Actual,Player 11,Agility,10,08/04/2022
Actual,Player 11,Agility,8,11/04/2022
Actual,Player 11,Agility,7,12/04/2022
Carried over,Player 11,Agility,6,14/04/2022
Actual,Player 11,Agility,6,13/04/2022
Actual,Player 11,Agility,8,15/04/2022
Actual,Player 11,Agility,8,18/04/2022
Actual,Player 11,Agility,4,19/04/2022
Actual,Player 11,Agility,9,20/04/2022
Actual,Player 11,Agility,10,21/04/2022
Actual,Player 11,Agility,8,22/04/2022
Actual,Player 11,Agility,8,25/04/2022
Carried over,Player 11,Agility,9,27/04/2022
Actual,Player 11,Agility,9,26/04/2022
Actual,Player 11,Agility,3,28/04/2022
Actual,Player 11,Agility,4,29/04/2022
Actual,Player 11,Agility,8,02/05/2022
Actual,Player 11,Agility,9,03/05/2022
Actual,Player 11,Agility,5,04/05/2022
Carried over,Player 11,Agility,4,06/05/2022
Actual,Player 11,Agility,4,05/05/2022
Actual,Player 11,Agility,4,09/05/2022
Carried over,Player 11,Agility,6,11/05/2022
Actual,Player 11,Agility,6,10/05/2022
Actual,Player 11,Agility,3,12/05/2022
Actual,Player 11,Agility,8,13/05/2022
Actual,Player 11,Agility,3,16/05/2022
Actual,Player 11,Agility,10,17/05/2022
Actual,Player 11,Agility,10,18/05/2022
Actual,Player 11,Agility,3,19/05/2022
Actual,Player 11,Agility,9,20/05/2022
Actual,Player 11,Agility,6,23/05/2022
Actual,Player 11,Agility,9,24/05/2022
Actual,Player 11,Agility,10,25/05/2022
Carried over,Player 11,Agility,4,30/05/2022
Carried over,Player 11,Agility,4,27/05/2022
Actual,Player 11,Agility,4,26/05/2022
Actual,Player 11,Agility,6,31/05/2022
Actual,Player 11,Agility,4,01/06/2022
Carried over,Player 11,Agility,8,03/06/2022
Actual,Player 11,Agility,8,02/06/2022
Actual,Player 11,Agility,9,06/06/2022
Actual,Player 11,Agility,5,07/06/2022
Carried over,Player 11,Agility,9,09/06/2022
Actual,Player 11,Agility,9,08/06/2022
Actual,Player 11,Agility,7,10/06/2022
Actual,Player 11,Agility,3,13/06/2022
Actual,Player 11,Agility,6,14/06/2022
Carried over,Player 11,Agility,3,16/06/2022
Actual,Player 11,Agility,3,15/06/2022
Carried over,Player 11,Agility,3,20/06/2022
Actual,Player 11,Agility,3,17/06/2022
Carried over,Player 11,Agility,5,22/06/2022
Actual,Player 11,Agility,5,21/06/2022
Actual,Player 11,Agility,4,23/06/2022
Carried over,Player 11,Agility,10,27/06/2022
Actual,Player 11,Agility,10,24/06/2022
Actual,Player 11,Agility,3,28/06/2022
Carried over,Player 11,Agility,4,01/07/2022
Carried over,Player 11,Agility,4,30/06/2022
Actual,Player 11,Agility,4,29/06/2022
Actual,Player 11,Agility,10,04/07/2022
Carried over,Player 11,Agility,10,06/07/2022
Actual,Player 11,Agility,10,05/07/2022
Actual,Player 11,Agility,4,07/07/2022
Actual,Player 11,Agility,5,08/07/2022
Actual,Player 11,Agility,5,11/07/2022
Carried over,Player 11,Agility,8,13/07/2022
Actual,Player 11,Agility,8,12/07/2022
Actual,Player 11,Agility,4,14/07/2022
Actual,Player 11,Agility,7,15/07/2022
Carried over,Player 11,Agility,4,19/07/2022
Actual,Player 11,Agility,4,18/07/2022
Carried over,Player 11,Agility,6,22/07/2022
Carried over,Player 11,Agility,6,21/07/2022
Actual,Player 11,Agility,6,20/07/2022
Carried over,Player 11,Agility,8,28/07/2022
Carried over,Player 11,Agility,8,27/07/2022
Carried over,Player 11,Agility,8,26/07/2022
Actual,Player 11,Agility,8,25/07/2022
Carried over,Player 14,Agility,5,04/01/2022
Actual,Player 14,Agility,5,03/01/2022
Carried over,Player 14,Agility,8,11/01/2022
Carried over,Player 14,Agility,8,10/01/2022
Carried over,Player 14,Agility,8,07/01/2022
Carried over,Player 14,Agility,8,06/01/2022
Actual,Player 14,Agility,8,05/01/2022
Actual,Player 14,Agility,10,12/01/2022
Actual,Player 14,Agility,8,13/01/2022
Carried over,Player 14,Agility,8,18/01/2022
Carried over,Player 14,Agility,8,17/01/2022
Actual,Player 14,Agility,8,14/01/2022
Actual,Player 14,Agility,10,19/01/2022
Carried over,Player 14,Agility,4,21/01/2022
Actual,Player 14,Agility,4,20/01/2022
Actual,Player 14,Agility,8,24/01/2022
Actual,Player 14,Agility,8,25/01/2022
Actual,Player 14,Agility,7,26/01/2022
Actual,Player 14,Agility,9,27/01/2022
Actual,Player 14,Agility,5,28/01/2022
Carried over,Player 14,Agility,5,01/02/2022
Actual,Player 9,Strength Building,4,03/01/2022
Carried over,Player 9,Strength Building,9,05/01/2022
Actual,Player 9,Strength Building,9,04/01/2022
Actual,Player 9,Strength Building,10,06/01/2022
Carried over,Player 9,Strength Building,3,13/01/2022
Carried over,Player 9,Strength Building,3,12/01/2022
Carried over,Player 9,Strength Building,3,11/01/2022
Carried over,Player 9,Strength Building,3,10/01/2022
Actual,Player 9,Strength Building,3,07/01/2022
Actual,Player 9,Strength Building,10,14/01/2022
Actual,Player 9,Strength Building,3,17/01/2022
Actual,Player 9,Strength Building,10,18/01/2022
Actual,Player 9,Strength Building,3,19/01/2022
Actual,Player 9,Strength Building,6,20/01/2022
Carried over,Player 9,Strength Building,7,24/01/2022
Actual,Player 9,Strength Building,7,21/01/2022
Actual,Player 9,Strength Building,8,25/01/2022
Actual,Player 9,Strength Building,6,26/01/2022
Actual,Player 9,Strength Building,6,27/01/2022
Actual,Player 9,Strength Building,3,28/01/2022
Actual,Player 9,Strength Building,7,31/01/2022
Carried over,Player 9,Strength Building,6,02/02/2022
Actual,Player 9,Strength Building,6,01/02/2022
Actual,Player 9,Strength Building,7,03/02/2022
Actual,Player 9,Strength Building,10,04/02/2022
Actual,Player 9,Strength Building,7,07/02/2022
Actual,Player 9,Strength Building,9,08/02/2022
Actual,Player 9,Strength Building,4,09/02/2022
Actual,Player 9,Strength Building,3,10/02/2022
Carried over,Player 9,Strength Building,9,15/02/2022
Carried over,Player 9,Strength Building,9,14/02/2022
Actual,Player 9,Strength Building,9,11/02/2022
Actual,Player 9,Strength Building,8,16/02/2022
Carried over,Player 9,Strength Building,8,18/02/2022
Actual,Player 9,Strength Building,8,17/02/2022
Actual,Player 9,Strength Building,3,21/02/2022
Actual,Player 9,Strength Building,8,22/02/2022
Actual,Player 9,Strength Building,8,23/02/2022
Carried over,Player 9,Strength Building,7,28/02/2022
Carried over,Player 9,Strength Building,7,25/02/2022
Actual,Player 9,Strength Building,7,24/02/2022
Actual,Player 9,Strength Building,5,01/03/2022
Carried over,Player 9,Strength Building,7,04/03/2022
Carried over,Player 9,Strength Building,7,03/03/2022
Actual,Player 9,Strength Building,7,02/03/2022
Carried over,Player 9,Strength Building,9,08/03/2022
Actual,Player 9,Strength Building,9,07/03/2022
Actual,Player 9,Strength Building,7,09/03/2022
Actual,Player 9,Strength Building,3,10/03/2022
Actual,Player 9,Strength Building,10,11/03/2022
Carried over,Player 9,Strength Building,6,15/03/2022
Actual,Player 9,Strength Building,6,14/03/2022
Carried over,Player 9,Strength Building,4,17/03/2022
Actual,Player 9,Strength Building,4,16/03/2022
Actual,Player 9,Strength Building,7,18/03/2022
Actual,Player 9,Strength Building,7,21/03/2022
Actual,Player 9,Strength Building,4,22/03/2022
Carried over,Player 9,Strength Building,5,24/03/2022
Actual,Player 9,Strength Building,5,23/03/2022
Carried over,Player 9,Strength Building,6,28/03/2022
Actual,Player 9,Strength Building,6,25/03/2022
Carried over,Player 9,Strength Building,10,31/03/2022
Carried over,Player 9,Strength Building,10,30/03/2022
Actual,Player 9,Strength Building,10,29/03/2022
Actual,Player 9,Strength Building,9,01/04/2022
Actual,Player 9,Strength Building,8,04/04/2022
Actual,Player 9,Strength Building,9,05/04/2022
Carried over,Player 9,Strength Building,5,07/04/2022
Actual,Player 9,Strength Building,5,06/04/2022
Actual,Player 9,Strength Building,5,08/04/2022
Actual,Player 9,Strength Building,4,11/04/2022
Actual,Player 9,Strength Building,6,12/04/2022
Carried over,Player 9,Strength Building,5,14/04/2022
Actual,Player 9,Strength Building,5,13/04/2022
Carried over,Player 9,Strength Building,5,18/04/2022
Actual,Player 9,Strength Building,5,15/04/2022
Actual,Player 9,Strength Building,6,19/04/2022
Carried over,Player 9,Strength Building,6,21/04/2022
Actual,Player 9,Strength Building,6,20/04/2022
Actual,Player 9,Strength Building,8,22/04/2022
Actual,Player 9,Strength Building,4,25/04/2022
Carried over,Player 9,Strength Building,6,02/05/2022
Carried over,Player 9,Strength Building,6,29/04/2022
Carried over,Player 9,Strength Building,6,28/04/2022
Carried over,Player 9,Strength Building,6,27/04/2022
Actual,Player 9,Strength Building,6,26/04/2022
Actual,Player 9,Strength Building,9,03/05/2022
Actual,Player 9,Strength Building,5,04/05/2022
Actual,Player 9,Strength Building,10,05/05/2022
Actual,Player 9,Strength Building,6,06/05/2022
Actual,Player 9,Strength Building,8,09/05/2022
Actual,Player 9,Strength Building,4,10/05/2022
Actual,Player 9,Strength Building,9,11/05/2022
Carried over,Player 9,Strength Building,7,13/05/2022
Actual,Player 9,Strength Building,7,12/05/2022
Carried over,Player 9,Strength Building,4,17/05/2022
Actual,Player 9,Strength Building,4,16/05/2022
Actual,Player 9,Strength Building,9,18/05/2022
Actual,Player 9,Strength Building,7,19/05/2022
Actual,Player 9,Strength Building,8,20/05/2022
Actual,Player 9,Strength Building,7,23/05/2022
Actual,Player 9,Strength Building,7,24/05/2022
Actual,Player 9,Strength Building,3,25/05/2022
Carried over,Player 9,Strength Building,7,27/05/2022
Actual,Player 9,Strength Building,7,26/05/2022
Carried over,Player 9,Strength Building,7,31/05/2022
Actual,Player 9,Strength Building,7,30/05/2022
Carried over,Player 9,Strength Building,9,02/06/2022
Actual,Player 9,Strength Building,9,01/06/2022
Carried over,Player 9,Strength Building,6,06/06/2022
Actual,Player 9,Strength Building,6,03/06/2022
Actual,Player 9,Strength Building,7,07/06/2022
Carried over,Player 9,Strength Building,7,09/06/2022
Actual,Player 9,Strength Building,7,08/06/2022
Actual,Player 9,Strength Building,5,10/06/2022
Actual,Player 9,Strength Building,4,13/06/2022
Actual,Player 9,Strength Building,6,14/06/2022
Actual,Player 9,Strength Building,7,15/06/2022
Actual,Player 9,Strength Building,5,16/06/2022
Actual,Player 9,Strength Building,10,17/06/2022
Actual,Player 9,Strength Building,4,20/06/2022
Actual,Player 9,Strength Building,3,21/06/2022
Actual,Player 9,Strength Building,4,22/06/2022
Actual,Player 9,Strength Building,8,23/06/2022
Carried over,Player 9,Strength Building,5,27/06/2022
Actual,Player 9,Strength Building,5,24/06/2022
Carried over,Player 9,Strength Building,5,01/07/2022
Carried over,Player 9,Strength Building,5,30/06/2022
Carried over,Player 9,Strength Building,5,29/06/2022
Actual,Player 9,Strength Building,5,28/06/2022
Actual,Player 9,Strength Building,6,04/07/2022
Actual,Player 9,Strength Building,6,05/07/2022
Actual,Player 9,Strength Building,10,06/07/2022
Actual,Player 9,Strength Building,6,07/07/2022
Carried over,Player 9,Strength Building,3,11/07/2022
Actual,Player 9,Strength Building,3,08/07/2022
Actual,Player 9,Strength Building,6,12/07/2022
Actual,Player 9,Strength Building,7,13/07/2022
Actual,Player 9,Strength Building,6,14/07/2022
Carried over,Player 9,Strength Building,4,21/07/2022
Carried over,Player 9,Strength Building,4,20/07/2022
Carried over,Player 9,Strength Building,4,19/07/2022
Carried over,Player 9,Strength Building,4,18/07/2022
Actual,Player 9,Strength Building,4,15/07/2022
Actual,Player 9,Strength Building,7,22/07/2022
Carried over,Player 9,Strength Building,7,26/07/2022
Actual,Player 9,Strength Building,7,25/07/2022
Actual,Player 9,Strength Building,5,27/07/2022
Actual,Player 9,Strength Building,8,28/07/2022
Actual,Player 5,Agility,5,03/01/2022
Actual,Player 5,Agility,7,04/01/2022
Carried over,Player 5,Agility,4,06/01/2022
Actual,Player 5,Agility,4,05/01/2022
Carried over,Player 5,Agility,8,11/01/2022
Carried over,Player 5,Agility,8,10/01/2022
Actual,Player 5,Agility,8,07/01/2022
Carried over,Player 5,Agility,7,13/01/2022
Actual,Player 5,Agility,7,12/01/2022
Actual,Player 5,Agility,10,14/01/2022
Carried over,Player 5,Agility,9,18/01/2022
Actual,Player 5,Agility,9,17/01/2022
Actual,Player 5,Agility,6,19/01/2022
Actual,Player 5,Agility,7,20/01/2022
Actual,Player 5,Agility,10,21/01/2022
Carried over,Player 5,Agility,5,25/01/2022
Actual,Player 5,Agility,5,24/01/2022
Carried over,Player 5,Agility,4,27/01/2022
Actual,Player 5,Agility,4,26/01/2022
Actual,Player 5,Agility,10,28/01/2022
Actual,Player 5,Agility,7,31/01/2022
Actual,Player 5,Agility,8,01/02/2022
Actual,Player 5,Agility,4,02/02/2022
Actual,Player 5,Agility,3,03/02/2022
Actual,Player 5,Agility,8,04/02/2022
Actual,Player 5,Agility,5,07/02/2022
Carried over,Player 5,Agility,3,09/02/2022
Actual,Player 5,Agility,3,08/02/2022
Actual,Player 5,Agility,4,10/02/2022
Actual,Player 5,Agility,8,11/02/2022
Actual,Player 5,Agility,6,14/02/2022
Actual,Player 5,Agility,8,15/02/2022
Carried over,Player 5,Agility,8,18/02/2022
Carried over,Player 5,Agility,8,17/02/2022
Actual,Player 5,Agility,8,16/02/2022
Actual,Player 5,Agility,3,21/02/2022
Carried over,Player 5,Agility,8,23/02/2022
Actual,Player 5,Agility,8,22/02/2022
Actual,Player 5,Agility,8,24/02/2022
Actual,Player 5,Agility,3,25/02/2022
Actual,Player 5,Agility,9,28/02/2022
Actual,Player 5,Agility,3,01/03/2022
Carried over,Player 5,Agility,10,03/03/2022
Actual,Player 5,Agility,10,02/03/2022
Carried over,Player 5,Agility,7,07/03/2022
Actual,Player 5,Agility,7,04/03/2022
Carried over,Player 5,Agility,3,10/03/2022
Carried over,Player 5,Agility,3,09/03/2022
Actual,Player 5,Agility,3,08/03/2022
Actual,Player 5,Agility,4,11/03/2022
Carried over,Player 5,Agility,3,15/03/2022
Actual,Player 5,Agility,3,14/03/2022
Actual,Player 5,Agility,9,16/03/2022
Actual,Player 5,Agility,7,17/03/2022
Carried over,Player 5,Agility,10,21/03/2022
Actual,Player 5,Agility,10,18/03/2022
Actual,Player 5,Agility,7,22/03/2022
Actual,Player 5,Agility,5,23/03/2022
Actual,Player 5,Agility,8,24/03/2022
Actual,Player 5,Agility,10,25/03/2022
Actual,Player 5,Agility,8,28/03/2022
Actual,Player 5,Agility,9,29/03/2022
Carried over,Player 5,Agility,6,31/03/2022
Actual,Player 5,Agility,6,30/03/2022
Actual,Player 5,Agility,10,01/04/2022
Carried over,Player 5,Agility,9,07/04/2022
Carried over,Player 5,Agility,9,06/04/2022
Carried over,Player 5,Agility,9,05/04/2022
Actual,Player 5,Agility,9,04/04/2022
Actual,Player 5,Agility,4,08/04/2022
Actual,Player 5,Agility,9,11/04/2022
Actual,Player 5,Agility,10,12/04/2022
Actual,Player 5,Agility,9,13/04/2022
Actual,Player 5,Agility,10,14/04/2022
Actual,Player 5,Agility,10,15/04/2022
Actual,Player 5,Agility,8,18/04/2022
Actual,Player 5,Agility,10,19/04/2022
Actual,Player 5,Agility,8,20/04/2022
Actual,Player 5,Agility,10,21/04/2022
Actual,Player 5,Agility,6,22/04/2022
Actual,Player 5,Agility,9,25/04/2022
Carried over,Player 5,Agility,7,27/04/2022
Actual,Player 5,Agility,7,26/04/2022
Actual,Player 5,Agility,10,28/04/2022
Actual,Player 5,Agility,7,29/04/2022
Actual,Player 5,Agility,10,02/05/2022
Carried over,Player 5,Agility,9,05/05/2022
Carried over,Player 5,Agility,9,04/05/2022
Actual,Player 5,Agility,9,03/05/2022
Carried over,Player 5,Agility,8,10/05/2022
Carried over,Player 5,Agility,8,09/05/2022
Actual,Player 5,Agility,8,06/05/2022
Actual,Player 5,Agility,3,11/05/2022
Actual,Player 5,Agility,3,12/05/2022
Carried over,Player 5,Agility,4,16/05/2022
Actual,Player 5,Agility,4,13/05/2022
Actual,Player 5,Agility,10,17/05/2022
Actual,Player 5,Agility,9,18/05/2022
Carried over,Player 5,Agility,8,23/05/2022
Carried over,Player 5,Agility,8,20/05/2022
Actual,Player 5,Agility,8,19/05/2022
Carried over,Player 5,Agility,8,25/05/2022
Actual,Player 5,Agility,8,24/05/2022
Carried over,Player 5,Agility,9,27/05/2022
Actual,Player 5,Agility,9,26/05/2022
Actual,Player 5,Agility,9,30/05/2022
Actual,Player 5,Agility,8,31/05/2022
Actual,Player 5,Agility,5,01/06/2022
Actual,Player 5,Agility,4,02/06/2022
Carried over,Player 5,Agility,5,06/06/2022
Actual,Player 5,Agility,5,03/06/2022
Carried over,Player 5,Agility,10,08/06/2022
Actual,Player 5,Agility,10,07/06/2022
Carried over,Player 5,Agility,7,10/06/2022
Actual,Player 5,Agility,7,09/06/2022
Actual,Player 5,Agility,5,13/06/2022
Actual,Player 5,Agility,10,14/06/2022
Actual,Player 5,Agility,3,15/06/2022
Actual,Player 5,Agility,3,16/06/2022
Actual,Player 5,Agility,8,17/06/2022
Carried over,Player 5,Agility,6,21/06/2022
Actual,Player 5,Agility,6,20/06/2022
Actual,Player 5,Agility,9,22/06/2022
Carried over,Player 5,Agility,7,28/06/2022
Carried over,Player 5,Agility,7,27/06/2022
Carried over,Player 5,Agility,7,24/06/2022
Actual,Player 5,Agility,7,23/06/2022
Actual,Player 5,Agility,4,29/06/2022
Actual,Player 5,Agility,8,30/06/2022
Actual,Player 5,Agility,5,01/07/2022
Carried over,Player 5,Agility,5,06/07/2022
Carried over,Player 5,Agility,5,05/07/2022
Actual,Player 5,Agility,5,04/07/2022
Carried over,Player 5,Agility,9,08/07/2022
Actual,Player 5,Agility,9,07/07/2022
Carried over,Player 5,Agility,5,12/07/2022
Actual,Player 5,Agility,5,11/07/2022
Carried over,Player 5,Agility,3,14/07/2022
