Breakdown,Number of Tourists,Month,Country
Europe,9042,01/12/2017,Germany
Europe,8329,01/01/2018,Germany
Europe,9785,01/02/2018,Germany
Europe,14692,01/03/2018,Germany
Europe,9070,01/04/2018,Germany
Europe,10668,01/05/2018,Germany
Europe,5283,01/06/2018,Germany
Europe,6932,01/07/2018,Germany
Europe,6382,01/08/2018,Germany
Europe,9112,01/09/2018,Germany
Europe,13364,01/10/2018,Germany
Europe,13043,01/11/2018,Germany
Europe,10872,01/12/2018,Germany
Europe,9819,01/01/2019,Germany
Europe,11140,01/02/2019,Germany
Europe,16320,01/03/2019,Germany
Europe,17583,01/04/2019,Germany
Europe,7545,01/05/2019,Germany
Europe,6830,01/06/2019,Germany
Europe,8266,01/07/2019,Germany
Europe,7242,01/08/2019,Germany
Europe,8982,01/09/2019,Germany
Europe,13625,01/10/2019,Germany
Europe,12816,01/11/2019,Germany
Europe,11393,01/12/2019,Germany
Europe,9859,01/01/2020,Germany
Europe,11698,01/02/2020,Germany
Europe,6671,01/03/2020,Germany
Europe,0,01/04/2020,Germany
Europe,11,01/05/2020,Germany
Europe,0,01/06/2020,Germany
Europe,133,01/07/2020,Germany
Europe,306,01/08/2020,Germany
Europe,362,01/09/2020,Germany
Europe,949,01/10/2020,Germany
Europe,2083,01/11/2020,Germany
Europe,4363,01/12/2020,Germany
Europe,12276,01/01/2010,Italy
Europe,12003,01/02/2010,Italy
Europe,13153,01/03/2010,Italy
Europe,7577,01/04/2010,Italy
Europe,3213,01/05/2010,Italy
Europe,3495,01/06/2010,Italy
Europe,3882,01/07/2010,Italy
Europe,8351,01/08/2010,Italy
Europe,4167,01/09/2010,Italy
Europe,5153,01/10/2010,Italy
Europe,6506,01/11/2010,Italy
Europe,9845,01/12/2010,Italy
Europe,12828,01/01/2011,Italy
Europe,11499,01/02/2011,Italy
Europe,12143,01/03/2011,Italy
Europe,8398,01/04/2011,Italy
Europe,3077,01/05/2011,Italy
Europe,2347,01/06/2011,Italy
Europe,3208,01/07/2011,Italy
Europe,7267,01/08/2011,Italy
Europe,3479,01/09/2011,Italy
Europe,4610,01/10/2011,Italy
Europe,5543,01/11/2011,Italy
Europe,8929,01/12/2011,Italy
Europe,10451,01/01/2012,Italy
Europe,8910,01/02/2012,Italy
Europe,7578,01/03/2012,Italy
Europe,6130,01/04/2012,Italy
Europe,1874,01/05/2012,Italy
Europe,1578,01/06/2012,Italy
Europe,2853,01/07/2012,Italy
Europe,5225,01/08/2012,Italy
Europe,2749,01/09/2012,Italy
Europe,3679,01/10/2012,Italy
Europe,3551,01/11/2012,Italy
Europe,8204,01/12/2012,Italy
Europe,7050,01/01/2013,Italy
Europe,7832,01/02/2013,Italy
Europe,8365,01/03/2013,Italy
Europe,5542,01/04/2013,Italy
Europe,1813,01/05/2013,Italy
Europe,1579,01/06/2013,Italy
Europe,2683,01/07/2013,Italy
Europe,5424,01/08/2013,Italy
Europe,2722,01/09/2013,Italy
Europe,3128,01/10/2013,Italy
Europe,3686,01/11/2013,Italy
Europe,8030,01/12/2013,Italy
Europe,6879,01/01/2014,Italy
Europe,7455,01/02/2014,Italy
Europe,7953,01/03/2014,Italy
Europe,6994,01/04/2014,Italy
Europe,1847,01/05/2014,Italy
Europe,1793,01/06/2014,Italy
Europe,2742,01/07/2014,Italy
Europe,4717,01/08/2014,Italy
Europe,2819,01/09/2014,Italy
Europe,2694,01/10/2014,Italy
Europe,3583,01/11/2014,Italy
Europe,8386,01/12/2014,Italy
Europe,8039,01/01/2015,Italy
Europe,8224,01/02/2015,Italy
Europe,9725,01/03/2015,Italy
Europe,5686,01/04/2015,Italy
Europe,2163,01/05/2015,Italy
Europe,2017,01/06/2015,Italy
Europe,2538,01/07/2015,Italy
Europe,5603,01/08/2015,Italy
Europe,2828,01/09/2015,Italy
Europe,3084,01/10/2015,Italy
Europe,4429,01/11/2015,Italy
Europe,11280,01/12/2015,Italy
Europe,8828,01/01/2016,Italy
Europe,9253,01/02/2016,Italy
Europe,9086,01/03/2016,Italy
Europe,5490,01/04/2016,Italy
Europe,2746,01/05/2016,Italy
Europe,2583,01/06/2016,Italy
Europe,3257,01/07/2016,Italy
Europe,6507,01/08/2016,Italy
Europe,3172,01/09/2016,Italy
Europe,4122,01/10/2016,Italy
Europe,4987,01/11/2016,Italy
Europe,11171,01/12/2016,Italy
Europe,12079,01/01/2017,Italy
Europe,11215,01/02/2017,Italy
Europe,9900,01/03/2017,Italy
Europe,8601,01/04/2017,Italy
Europe,3131,01/05/2017,Italy
Europe,2768,01/06/2017,Italy
Europe,3698,01/07/2017,Italy
Europe,7227,01/08/2017,Italy
Europe,3577,01/09/2017,Italy
Europe,4898,01/10/2017,Italy
Europe,7017,01/11/2017,Italy
Europe,14756,01/12/2017,Italy
Europe,14329,01/01/2018,Italy
Europe,13962,01/02/2018,Italy
Europe,13198,01/03/2018,Italy
Europe,8389,01/04/2018,Italy
Europe,3258,01/05/2018,Italy
Europe,3236,01/06/2018,Italy
Europe,4644,01/07/2018,Italy
Europe,8771,01/08/2018,Italy
Europe,4133,01/09/2018,Italy
Europe,5663,01/10/2018,Italy
Europe,7927,01/11/2018,Italy
Europe,17787,01/12/2018,Italy
Europe,16768,01/01/2019,Italy
Europe,17795,01/02/2019,Italy
Europe,18285,01/03/2019,Italy
Europe,15043,01/04/2019,Italy
Europe,3443,01/05/2019,Italy
Europe,4042,01/06/2019,Italy
Europe,5337,01/07/2019,Italy
Europe,11449,01/08/2019,Italy
Europe,5213,01/09/2019,Italy
Europe,6560,01/10/2019,Italy
Europe,11114,01/11/2019,Italy
Europe,21294,01/12/2019,Italy
Europe,20766,01/01/2020,Italy
Europe,19849,01/02/2020,Italy
Europe,3996,01/03/2020,Italy
Europe,0,01/04/2020,Italy
Europe,1,01/05/2020,Italy
Europe,0,01/06/2020,Italy
Europe,44,01/07/2020,Italy
Europe,513,01/08/2020,Italy
Europe,72,01/09/2020,Italy
Europe,137,01/10/2020,Italy
Europe,267,01/11/2020,Italy
Europe,1045,01/12/2020,Italy
Europe,5873,01/01/2010,Russia
Europe,3285,01/02/2010,Russia
Europe,4301,01/03/2010,Russia
Europe,3899,01/04/2010,Russia
Europe,3704,01/05/2010,Russia
Europe,2569,01/06/2010,Russia
Europe,3098,01/07/2010,Russia
Europe,4176,01/08/2010,Russia
Europe,3488,01/09/2010,Russia
Europe,4482,01/10/2010,Russia
Europe,4750,01/11/2010,Russia
Europe,5486,01/12/2010,Russia
Europe,6256,01/01/2011,Russia
Europe,4347,01/02/2011,Russia
Europe,6043,01/03/2011,Russia
Europe,5205,01/04/2011,Russia
Europe,4793,01/05/2011,Russia
Europe,3812,01/06/2011,Russia
Europe,4565,01/07/2011,Russia
Europe,5214,01/08/2011,Russia
Europe,4594,01/09/2011,Russia
Europe,5887,01/10/2011,Russia
Europe,6008,01/11/2011,Russia
Europe,7212,01/12/2011,Russia
Europe,7418,01/01/2012,Russia
Europe,5370,01/02/2012,Russia
Europe,7131,01/03/2012,Russia
Europe,6462,01/04/2012,Russia
Europe,3960,01/05/2012,Russia
Europe,3345,01/06/2012,Russia
Europe,3918,01/07/2012,Russia
Europe,4562,01/08/2012,Russia
Europe,4274,01/09/2012,Russia
Europe,5622,01/10/2012,Russia
Europe,6860,01/11/2012,Russia
Europe,7456,01/12/2012,Russia
Europe,9061,01/01/2013,Russia
Europe,6737,01/02/2013,Russia
Europe,8457,01/03/2013,Russia
Europe,6241,01/04/2013,Russia
Europe,5230,01/05/2013,Russia
Europe,4063,01/06/2013,Russia
Europe,4612,01/07/2013,Russia
Europe,5188,01/08/2013,Russia
Europe,4833,01/09/2013,Russia
Europe,6277,01/10/2013,Russia
Europe,7675,01/11/2013,Russia
Europe,8105,01/12/2013,Russia
Europe,9289,01/01/2014,Russia
Europe,6182,01/02/2014,Russia
Europe,7121,01/03/2014,Russia
Europe,5568,01/04/2014,Russia
Europe,4878,01/05/2014,Russia
Europe,4312,01/06/2014,Russia
Europe,4624,01/07/2014,Russia
Europe,4896,01/08/2014,Russia
Europe,4047,01/09/2014,Russia
Europe,5632,01/10/2014,Russia
Europe,5273,01/11/2014,Russia
Europe,4486,01/12/2014,Russia
Europe,5790,01/01/2015,Russia
Europe,2882,01/02/2015,Russia
Europe,4048,01/03/2015,Russia
Europe,3855,01/04/2015,Russia
Europe,3053,01/05/2015,Russia
Europe,2500,01/06/2015,Russia
Europe,3180,01/07/2015,Russia
Europe,3347,01/08/2015,Russia
Europe,2309,01/09/2015,Russia
Europe,3860,01/10/2015,Russia
Europe,3702,01/11/2015,Russia
Europe,5797,01/12/2015,Russia
Europe,5272,01/01/2016,Russia
Europe,3274,01/02/2016,Russia
Europe,4461,01/03/2016,Russia
Europe,3363,01/04/2016,Russia
Europe,3077,01/05/2016,Russia
Europe,2939,01/06/2016,Russia
Europe,3415,01/07/2016,Russia
Europe,3034,01/08/2016,Russia
Europe,2990,01/09/2016,Russia
Europe,4387,01/10/2016,Russia
Europe,4750,01/11/2016,Russia
Europe,5560,01/12/2016,Russia
Europe,6874,01/01/2017,Russia
Europe,5113,01/02/2017,Russia
Europe,6413,01/03/2017,Russia
Europe,5400,01/04/2017,Russia
Europe,3564,01/05/2017,Russia
Europe,3262,01/06/2017,Russia
Europe,4144,01/07/2017,Russia
Europe,4166,01/08/2017,Russia
Europe,3522,01/09/2017,Russia
Europe,5485,01/10/2017,Russia
Europe,6421,01/11/2017,Russia
Europe,7567,01/12/2017,Russia
Europe,9595,01/01/2018,Russia
Europe,6953,01/02/2018,Russia
Europe,7867,01/03/2018,Russia
Europe,6433,01/04/2018,Russia
Europe,3903,01/05/2018,Russia
Europe,3646,01/06/2018,Russia
Europe,4370,01/07/2018,Russia
Europe,4525,01/08/2018,Russia
Europe,3790,01/09/2018,Russia
Europe,5800,01/10/2018,Russia
Europe,6901,01/11/2018,Russia
Europe,7152,01/12/2018,Russia
Europe,9668,01/01/2019,Russia
Europe,7334,01/02/2019,Russia
Europe,9282,01/03/2019,Russia
Europe,6475,01/04/2019,Russia
Europe,5397,01/05/2019,Russia
Europe,4793,01/06/2019,Russia
Europe,5345,01/07/2019,Russia
Europe,5175,01/08/2019,Russia
Europe,4837,01/09/2019,Russia
Europe,7855,01/10/2019,Russia
Europe,8171,01/11/2019,Russia
Europe,9037,01/12/2019,Russia
Europe,12531,01/01/2020,Russia
Europe,9690,01/02/2020,Russia
Europe,6728,01/03/2020,Russia
Europe,0,01/04/2020,Russia
Europe,0,01/05/2020,Russia
Europe,0,01/06/2020,Russia
Europe,52,01/07/2020,Russia
Europe,423,01/08/2020,Russia
Europe,2065,01/09/2020,Russia
Europe,5995,01/10/2020,Russia
Europe,8580,01/11/2020,Russia
Europe,15323,01/12/2020,Russia
Europe,8405,01/01/2010,United Kingdom
Europe,10422,01/02/2010,United Kingdom
Europe,11394,01/03/2010,United Kingdom
Europe,9529,01/04/2010,United Kingdom
Europe,9460,01/05/2010,United Kingdom
Europe,6728,01/06/2010,United Kingdom
Europe,9053,01/07/2010,United Kingdom
Europe,10259,01/08/2010,United Kingdom
Europe,9917,01/09/2010,United Kingdom
Europe,10419,01/10/2010,United Kingdom
Europe,9614,01/11/2010,United Kingdom
Europe,8958,01/12/2010,United Kingdom
Europe,8435,01/01/2011,United Kingdom
Europe,9661,01/02/2011,United Kingdom
Europe,9637,01/03/2011,United Kingdom
Europe,11167,01/04/2011,United Kingdom
Europe,7988,01/05/2011,United Kingdom
Europe,6338,01/06/2011,United Kingdom
Europe,7795,01/07/2011,United Kingdom
Europe,8855,01/08/2011,United Kingdom
Europe,8896,01/09/2011,United Kingdom
Europe,9537,01/10/2011,United Kingdom
Europe,8310,01/11/2011,United Kingdom
Europe,7889,01/12/2011,United Kingdom
Europe,7001,01/01/2012,United Kingdom
Europe,9006,01/02/2012,United Kingdom
Europe,8388,01/03/2012,United Kingdom
Europe,8934,01/04/2012,United Kingdom
Europe,6670,01/05/2012,United Kingdom
Europe,6146,01/06/2012,United Kingdom
Europe,7286,01/07/2012,United Kingdom
Europe,7450,01/08/2012,United Kingdom
Europe,7106,01/09/2012,United Kingdom
Europe,8666,01/10/2012,United Kingdom
Europe,7164,01/11/2012,United Kingdom
Europe,7959,01/12/2012,United Kingdom
Europe,6367,01/01/2013,United Kingdom
Europe,7745,01/02/2013,United Kingdom
Europe,8438,01/03/2013,United Kingdom
Europe,8654,01/04/2013,United Kingdom
Europe,6886,01/05/2013,United Kingdom
Europe,5100,01/06/2013,United Kingdom
Europe,6945,01/07/2013,United Kingdom
Europe,7409,01/08/2013,United Kingdom
Europe,6688,01/09/2013,United Kingdom
Europe,7714,01/10/2013,United Kingdom
Europe,6694,01/11/2013,United Kingdom
Europe,7229,01/12/2013,United Kingdom
Europe,6710,01/01/2014,United Kingdom
Europe,7913,01/02/2014,United Kingdom
Europe,8674,01/03/2014,United Kingdom
Europe,9462,01/04/2014,United Kingdom
Europe,7081,01/05/2014,United Kingdom
Europe,5415,01/06/2014,United Kingdom
Europe,6567,01/07/2014,United Kingdom
Europe,7742,01/08/2014,United Kingdom
Europe,7038,01/09/2014,United Kingdom
Europe,8017,01/10/2014,United Kingdom
Europe,6442,01/11/2014,United Kingdom
Europe,7643,01/12/2014,United Kingdom
Europe,7150,01/01/2015,United Kingdom
Europe,8752,01/02/2015,United Kingdom
Europe,9256,01/03/2015,United Kingdom
Europe,8793,01/04/2015,United Kingdom
Europe,6867,01/05/2015,United Kingdom
Europe,5923,01/06/2015,United Kingdom
Europe,7174,01/07/2015,United Kingdom
Europe,7805,01/08/2015,United Kingdom
Europe,6799,01/09/2015,United Kingdom
Europe,7724,01/10/2015,United Kingdom
Europe,7001,01/11/2015,United Kingdom
Europe,9531,01/12/2015,United Kingdom
Europe,7728,01/01/2016,United Kingdom
Europe,10603,01/02/2016,United Kingdom
Europe,11095,01/03/2016,United Kingdom
Europe,8964,01/04/2016,United Kingdom
Europe,7253,01/05/2016,United Kingdom
Europe,5893,01/06/2016,United Kingdom
Europe,7898,01/07/2016,United Kingdom
Europe,8852,01/08/2016,United Kingdom
Europe,7797,01/09/2016,United Kingdom
Europe,9111,01/10/2016,United Kingdom
Europe,8073,01/11/2016,United Kingdom
Europe,8576,01/12/2016,United Kingdom
Europe,8630,01/01/2017,United Kingdom
Europe,10395,01/02/2017,United Kingdom
Europe,10063,01/03/2017,United Kingdom
Europe,9417,01/04/2017,United Kingdom
Europe,7151,01/05/2017,United Kingdom
Europe,6081,01/06/2017,United Kingdom
Europe,7705,01/07/2017,United Kingdom
Europe,8565,01/08/2017,United Kingdom
Europe,7499,01/09/2017,United Kingdom
Europe,9173,01/10/2017,United Kingdom
Europe,9579,01/11/2017,United Kingdom
Europe,9719,01/12/2017,United Kingdom
Europe,9442,01/01/2018,United Kingdom
Europe,11362,01/02/2018,United Kingdom
Europe,11829,01/03/2018,United Kingdom
Europe,10866,01/04/2018,United Kingdom
Europe,7577,01/05/2018,United Kingdom
Europe,6459,01/06/2018,United Kingdom
Europe,8421,01/07/2018,United Kingdom
Europe,9249,01/08/2018,United Kingdom
Europe,8106,01/09/2018,United Kingdom
Europe,9989,01/10/2018,United Kingdom
Europe,10518,01/11/2018,United Kingdom
Europe,10784,01/12/2018,United Kingdom
Europe,10175,01/01/2019,United Kingdom
Europe,13564,01/02/2019,United Kingdom
Europe,12377,01/03/2019,United Kingdom
Europe,12876,01/04/2019,United Kingdom
Europe,8655,01/05/2019,United Kingdom
Europe,7145,01/06/2019,United Kingdom
Europe,8470,01/07/2019,United Kingdom
Europe,9827,01/08/2019,United Kingdom
Europe,7876,01/09/2019,United Kingdom
Europe,11321,01/10/2019,United Kingdom
Europe,11936,01/11/2019,United Kingdom
Europe,11977,01/12/2019,United Kingdom
Europe,10734,01/01/2020,United Kingdom
Europe,14796,01/02/2020,United Kingdom
Europe,7288,01/03/2020,United Kingdom
Europe,0,01/04/2020,United Kingdom
Europe,0,01/05/2020,United Kingdom
Europe,1,01/06/2020,United Kingdom
Europe,256,01/07/2020,United Kingdom
Europe,715,01/08/2020,United Kingdom
Europe,628,01/09/2020,United Kingdom
Europe,1780,01/10/2020,United Kingdom
Europe,2091,01/11/2020,United Kingdom
Europe,14431,01/12/2020,United Kingdom
Asia,6069,01/01/2010,China
Asia,13345,01/02/2010,China
Asia,6144,01/03/2010,China
Asia,7060,01/04/2010,China
Asia,8964,01/05/2010,China
Asia,8615,01/06/2010,China
Asia,12449,01/07/2010,China
Asia,14998,01/08/2010,China
Asia,13028,01/09/2010,China
Asia,13476,01/10/2010,China
Asia,8313,01/11/2010,China
Asia,6500,01/12/2010,China
Asia,12367,01/01/2011,China
Asia,18759,01/02/2011,China
Asia,8968,01/03/2011,China
Asia,10165,01/04/2011,China
Asia,14889,01/05/2011,China
Asia,15410,01/06/2011,China
Asia,23176,01/07/2011,China
Asia,22827,01/08/2011,China
Asia,20107,01/09/2011,China
Asia,22595,01/10/2011,China
Asia,16897,01/11/2011,China
Asia,12495,01/12/2011,China
Asia,28008,01/01/2012,China
Asia,12237,01/02/2012,China
Asia,6417,01/03/2012,China
Asia,10523,01/04/2012,China
Asia,16154,01/05/2012,China
Asia,17809,01/06/2012,China
Asia,27653,01/07/2012,China
Asia,25138,01/08/2012,China
Asia,25178,01/09/2012,China
Asia,26301,01/10/2012,China
Asia,18450,01/11/2012,China
Asia,15683,01/12/2012,China
Asia,19208,01/01/2013,China
Asia,33592,01/02/2013,China
Asia,17770,01/03/2013,China
Asia,20329,01/04/2013,China
Asia,23613,01/05/2013,China
Asia,28007,01/06/2013,China
Asia,36551,01/07/2013,China
Asia,35814,01/08/2013,China
Asia,35026,01/09/2013,China
Asia,35041,01/10/2013,China
Asia,26008,01/11/2013,China
Asia,20760,01/12/2013,China
Asia,30612,01/01/2014,China
Asia,33213,01/02/2014,China
Asia,23705,01/03/2014,China
Asia,24034,01/04/2014,China
Asia,29685,01/05/2014,China
Asia,30000,01/06/2014,China
Asia,43269,01/07/2014,China
Asia,37895,01/08/2014,China
Asia,34425,01/09/2014,China
Asia,33828,01/10/2014,China
Asia,24729,01/11/2014,China
Asia,18231,01/12/2014,China
Asia,20469,01/01/2015,China
Asia,43349,01/02/2015,China
Asia,25069,01/03/2015,China
Asia,26398,01/04/2015,China
Asia,30864,01/05/2015,China
Asia,31965,01/06/2015,China
Asia,41527,01/07/2015,China
Asia,40850,01/08/2015,China
Asia,32198,01/09/2015,China
Asia,30714,01/10/2015,China
Asia,19856,01/11/2015,China
Asia,16255,01/12/2015,China
Asia,23241,01/01/2016,China
Asia,34330,01/02/2016,China
Asia,21741,01/03/2016,China
Asia,24794,01/04/2016,China
Asia,25005,01/05/2016,China
Asia,28653,01/06/2016,China
Asia,36456,01/07/2016,China
Asia,36217,01/08/2016,China
Asia,29242,01/09/2016,China
Asia,29444,01/10/2016,China
Asia,18954,01/11/2016,China
Asia,16249,01/12/2016,China
Asia,30669,01/01/2017,China
Asia,24263,01/02/2017,China
Asia,18203,01/03/2017,China
Asia,20975,01/04/2017,China
Asia,23225,01/05/2017,China
Asia,24160,01/06/2017,China
Asia,34276,01/07/2017,China
Asia,33743,01/08/2017,China
Asia,27214,01/09/2017,China
Asia,28689,01/10/2017,China
Asia,21195,01/11/2017,China
Asia,19918,01/12/2017,China
Asia,25830,01/01/2018,China
Asia,33506,01/02/2018,China
Asia,13203,01/03/2018,China
Asia,15093,01/04/2018,China
Asia,16927,01/05/2018,China
Asia,22853,01/06/2018,China
Asia,33227,01/07/2018,China
Asia,33472,01/08/2018,China
Asia,27997,01/09/2018,China
Asia,25803,01/10/2018,China
Asia,18465,01/11/2018,China
Asia,16740,01/12/2018,China
Asia,25804,01/01/2019,China
Asia,31285,01/02/2019,China
Asia,19479,01/03/2019,China
Asia,18704,01/04/2019,China
Asia,21010,01/05/2019,China
Asia,23983,01/06/2019,China
Asia,32569,01/07/2019,China
Asia,32757,01/08/2019,China
Asia,24758,01/09/2019,China
Asia,21926,01/10/2019,China
Asia,15600,01/11/2019,China
Asia,16154,01/12/2019,China
Asia,31744,01/01/2020,China
Asia,1647,01/02/2020,China
Asia,498,01/03/2020,China
Asia,0,01/04/2020,China
Asia,0,01/05/2020,China
Asia,0,01/06/2020,China
Asia,16,01/07/2020,China
Asia,34,01/08/2020,China
Asia,33,01/09/2020,China
Asia,41,01/10/2020,China
Asia,61,01/11/2020,China
Asia,171,01/12/2020,China
Asia,1742,01/01/2010,India
Asia,1594,01/02/2010,India
Asia,1385,01/03/2010,India
Asia,1802,01/04/2010,India
Asia,2400,01/05/2010,India
Asia,1999,01/06/2010,India
Asia,1871,01/07/2010,India
Asia,1419,01/08/2010,India
Asia,1838,01/09/2010,India
Asia,2387,01/10/2010,India
Asia,3110,01/11/2010,India
Asia,4209,01/12/2010,India
Asia,2786,01/01/2011,India
Asia,2078,01/02/2011,India
Asia,2030,01/03/2011,India
Asia,2109,01/04/2011,India
Asia,2813,01/05/2011,India
Asia,2659,01/06/2011,India
Asia,2359,01/07/2011,India
Asia,1963,01/08/2011,India
Asia,1820,01/09/2011,India
Asia,3007,01/10/2011,India
Asia,3232,01/11/2011,India
Asia,4122,01/12/2011,India
Asia,2303,01/01/2012,India
Asia,2219,01/02/2012,India
Asia,1657,01/03/2012,India
Asia,1877,01/04/2012,India
Asia,2766,01/05/2012,India
Asia,2495,01/06/2012,India
Asia,2039,01/07/2012,India
Asia,2264,01/08/2012,India
Asia,2103,01/09/2012,India
Asia,2546,01/10/2012,India
Asia,3930,01/11/2012,India
Asia,5522,01/12/2012,India
Asia,3483,01/01/2013,India
Asia,3493,01/02/2013,India
Asia,2769,01/03/2013,India
Asia,2521,01/04/2013,India
Asia,3951,01/05/2013,India
Asia,3214,01/06/2013,India
Asia,2335,01/07/2013,India
Asia,2576,01/08/2013,India
Asia,2179,01/09/2013,India
Asia,2703,01/10/2013,India
Asia,3588,01/11/2013,India
Asia,5202,01/12/2013,India
Asia,3426,01/01/2014,India
Asia,3596,01/02/2014,India
Asia,3080,01/03/2014,India
Asia,3622,01/04/2014,India
Asia,4612,01/05/2014,India
Asia,3847,01/06/2014,India
Asia,3222,01/07/2014,India
Asia,3119,01/08/2014,India
Asia,3258,01/09/2014,India
Asia,4646,01/10/2014,India
Asia,3117,01/11/2014,India
Asia,6042,01/12/2014,India
Asia,3922,01/01/2015,India
Asia,4235,01/02/2015,India
Asia,3654,01/03/2015,India
Asia,3750,01/04/2015,India
Asia,5387,01/05/2015,India
Asia,4390,01/06/2015,India
Asia,3376,01/07/2015,India
Asia,3467,01/08/2015,India
Asia,3323,01/09/2015,India
Asia,4344,01/10/2015,India
Asia,4857,01/11/2015,India
Asia,7663,01/12/2015,India
Asia,5182,01/01/2016,India
Asia,4650,01/02/2016,India
Asia,4339,01/03/2016,India
Asia,4619,01/04/2016,India
Asia,6651,01/05/2016,India
Asia,4660,01/06/2016,India
Asia,4783,01/07/2016,India
Asia,4175,01/08/2016,India
Asia,5009,01/09/2016,India
Asia,6301,01/10/2016,India
Asia,6895,01/11/2016,India
Asia,9691,01/12/2016,India
Asia,6043,01/01/2017,India
Asia,6105,01/02/2017,India
Asia,5008,01/03/2017,India
Asia,5362,01/04/2017,India
Asia,8092,01/05/2017,India
Asia,6919,01/06/2017,India
Asia,5386,01/07/2017,India
Asia,6024,01/08/2017,India
Asia,6788,01/09/2017,India
Asia,7414,01/10/2017,India
Asia,7231,01/11/2017,India
Asia,12647,01/12/2017,India
Asia,8481,01/01/2018,India
Asia,6038,01/02/2018,India
Asia,4916,01/03/2018,India
Asia,5588,01/04/2018,India
Asia,8711,01/05/2018,India
Asia,7348,01/06/2018,India
Asia,5694,01/07/2018,India
Asia,4299,01/08/2018,India
Asia,5244,01/09/2018,India
Asia,7905,01/10/2018,India
Asia,11590,01/11/2018,India
Asia,14660,01/12/2018,India
Asia,11633,01/01/2019,India
Asia,12584,01/02/2019,India
Asia,11836,01/03/2019,India
Asia,12823,01/04/2019,India
Asia,17389,01/05/2019,India
Asia,15875,01/06/2019,India
Asia,11035,01/07/2019,India
Asia,11067,01/08/2019,India
Asia,11265,01/09/2019,India
Asia,15110,01/10/2019,India
Asia,14430,01/11/2019,India
Asia,20983,01/12/2019,India
Asia,13845,01/01/2020,India
Asia,15521,01/02/2020,India
Asia,5496,01/03/2020,India
Asia,1,01/04/2020,India
