Shop,Date,% Orders Shipped in 3 days,Target - % Orders Shipped in 3 days,% Orders Shipped in 5 days,Target - % Orders Shipped in 5 days,% Returns Processed in 3 days,Target - % Returns Processed in 3 days,% Returns Processed in 5 days,Target - % Returns Processed in 5 days,# Complaints Received,Target - # Complaints Received
Plymouth,01/02/2022,0.84,0.95,0.94,0.99,0.86,0.8,0.89,0.95,40,0
Hastings,01/04/2022,0.8,0.95,0.85,0.99,0.91,0.8,0.96,0.95,24,0
Reading,01/10/2021,0.85,0.95,0.88,0.99,0.67,0.8,0.67,0.95,11,0
Bristol,01/07/2021,0.88,0.95,0.91,0.99,0.8,0.8,0.85,0.95,9,0
Bath,01/11/2021,0.86,0.95,0.91,0.99,0.77,0.8,0.79,0.95,11,0
Hastings,01/01/2022,0.8,0.95,0.84,0.99,0.73,0.8,0.75,0.95,18,0
Torquay,01/08/2021,0.84,0.95,0.89,0.99,1,0.8,1,0.95,8,0
Portsmouth,01/10/2021,0.85,0.95,0.88,0.99,0.98,0.8,1,0.95,45,0
Leicester,01/10/2021,0.95,0.95,1,0.99,0.65,0.8,0.65,0.95,2,0
Bristol,01/09/2021,1,0.95,1,0.99,0.99,0.8,1,0.95,11,0
Hastings,01/07/2021,0.83,0.95,0.85,0.99,0.89,0.8,0.93,0.95,40,0
Plymouth,01/11/2021,0.86,0.95,0.93,0.99,0.84,0.8,0.93,0.95,10,0
Reading,01/08/2021,0.89,0.95,0.94,0.99,0.7,0.8,0.76,0.95,18,0
Southampton,01/02/2022,0.84,0.95,0.88,0.99,0.73,0.8,0.82,0.95,32,0
Bath,01/09/2021,0.85,0.95,0.95,0.99,0.89,0.8,0.91,0.95,10,0
Nottingham,01/11/2021,0.86,0.95,0.92,0.99,0.73,0.8,0.76,0.95,12,0
Exmouth,01/07/2021,0.85,0.95,0.89,0.99,0.76,0.8,0.78,0.95,63,0
Portsmouth,01/08/2021,0.92,0.95,1,0.99,0.76,0.8,0.84,0.95,36,0
Bristol,01/04/2022,1,0.95,1,0.99,0.9,0.8,0.99,0.95,6,0
Exmouth,01/04/2022,0.82,0.95,0.83,0.99,0.94,0.8,1,0.95,21,0
Bristol,01/11/2021,0.94,0.95,0.99,0.99,0.88,0.8,0.93,0.95,4,0
Plymouth,01/09/2021,0.83,0.95,0.91,0.99,0.79,0.8,0.84,0.95,57,0
Plymouth,01/08/2021,0.83,0.95,0.84,0.99,0.99,0.8,1,0.95,39,0
Southampton,01/11/2021,0.88,0.95,0.88,0.99,0.67,0.8,0.75,0.95,30,0
Southampton,01/07/2021,0.86,0.95,0.98,0.99,0.91,0.8,0.82,0.95,11,0
Hastings,01/12/2021,0.86,0.95,0.92,0.99,0.73,0.8,0.76,0.95,10,0
Hastings,01/10/2021,0.96,0.95,1,0.99,0.88,0.8,0.97,0.95,14,0
Southampton,01/12/2021,0.89,0.95,0.9,0.99,0.82,0.8,0.87,0.95,19,0
Nottingham,01/09/2021,0.97,0.95,0.97,0.99,0.96,0.8,1,0.95,27,0
Southampton,01/09/2021,0.86,0.95,0.93,0.99,0.77,0.8,0.85,0.95,19,0
Hastings,01/09/2021,0.99,0.95,1,0.99,0.65,0.8,0.71,0.95,15,0
Nottingham,01/01/2022,0.8,0.95,0.86,0.99,0.88,0.8,0.93,0.95,51,0
Southampton,01/01/2022,0.88,0.95,1,0.99,0.73,0.8,0.76,0.95,2,0
Reading,01/11/2021,0.86,0.95,0.89,0.99,0.68,0.8,0.72,0.95,25,0
Bath,01/07/2021,0.91,0.95,0.99,0.99,0.88,0.8,0.91,0.95,25,0
Nottingham,01/08/2021,0.84,0.95,0.94,0.99,0.93,0.8,0.99,0.95,43,0
Reading,01/04/2022,0.96,0.95,0.99,0.99,0.73,0.8,0.75,0.95,29,0
Plymouth,01/07/2021,0.81,0.95,0.88,0.99,0.68,0.8,0.73,0.95,22,0
Portsmouth,01/09/2021,0.95,0.95,1,0.99,0.91,0.8,0.96,0.95,13,0
Portsmouth,01/02/2022,0.92,0.95,0.98,0.99,0.79,0.8,0.82,0.95,10,0
Leicester,01/03/2022,0.96,0.95,0.99,0.99,0.92,0.8,0.97,0.95,19,0
Bath,01/08/2021,0.88,0.95,0.94,0.99,0.83,0.8,0.85,0.95,6,0
Bath,01/02/2022,0.8,0.95,0.8,0.99,0.67,0.8,0.76,0.95,3,0
Torquay,01/10/2021,0.84,0.95,0.85,0.99,0.78,0.8,0.84,0.95,39,0
Southampton,01/08/2021,0.94,0.95,0.87,0.99,0.89,0.8,0.98,0.95,43,0
Southampton,01/03/2022,0.97,0.95,1,0.99,0.8,0.8,0.9,0.95,4,0
Torquay,01/02/2022,0.83,0.95,0.93,0.99,0.86,0.8,0.9,0.95,55,0
Plymouth,01/03/2022,0.94,0.95,1,0.99,0.93,0.8,1,0.95,56,0
Bath,01/12/2021,0.86,0.95,0.86,0.99,0.84,0.8,0.91,0.95,13,0
Newcastle,01/08/2021,0.8,0.95,0.88,0.99,0.84,0.8,0.92,0.95,5,0
Reading,01/03/2022,0.89,0.95,0.93,0.99,0.96,0.8,0.96,0.95,6,0
Exmouth,01/08/2021,0.91,0.95,0.93,0.99,0.87,0.8,0.89,0.95,13,0
Reading,01/07/2021,0.83,0.95,0.88,0.99,0.75,0.8,0.81,0.95,11,0
Leicester,01/09/2021,0.93,0.95,0.97,0.99,0.74,0.8,0.82,0.95,23,0
Southampton,01/04/2022,0.92,0.95,0.95,0.99,0.68,0.8,1,0.95,9,0
Newcastle,01/04/2022,0.91,0.95,0.93,0.99,0.79,0.8,0.87,0.95,4,0
Torquay,01/09/2021,0.96,0.95,0.98,0.99,0.92,0.8,0.96,0.95,60,0
Newcastle,01/09/2021,0.83,0.95,0.91,0.99,0.65,0.8,0.74,0.95,13,0
Nottingham,01/10/2021,0.81,0.95,0.91,0.99,0.7,0.8,0.7,0.95,6,0
Newcastle,01/10/2021,0.99,0.95,1,0.99,0.77,0.8,0.83,0.95,15,0
Newcastle,01/03/2022,1,0.95,1,0.99,0.94,0.8,0.97,0.95,12,0
Newcastle,01/01/2022,0.98,0.95,1,0.99,0.86,0.8,0.91,0.95,9,0
Nottingham,01/04/2022,0.9,0.95,0.91,0.99,0.88,0.8,0.9,0.95,10,0
Bristol,01/08/2021,0.83,0.95,0.84,0.99,0.74,0.8,0.79,0.95,14,0
Plymouth,01/10/2021,0.93,0.95,1,0.99,0.7,0.8,0.75,0.95,51,0
Portsmouth,01/07/2021,0.92,0.95,1,0.99,0.9,0.8,0.98,0.95,12,0
Leicester,01/01/2022,0.97,0.95,1,0.99,0.71,0.8,0.79,0.95,51,0
Reading,01/02/2022,0.84,0.95,0.87,0.99,0.96,0.8,1,0.95,6,0
Nottingham,01/07/2021,0.9,0.95,0.98,0.99,0.87,0.8,0.93,0.95,15,0
Portsmouth,01/03/2022,0.9,0.95,1,0.99,0.91,0.8,0.95,0.95,17,0
Torquay,01/01/2022,0.9,0.95,0.92,0.99,0.76,0.8,0.84,0.95,11,0
Bristol,01/01/2022,0.91,0.95,0.97,0.99,0.94,0.8,1,0.95,18,0
Torquay,01/04/2022,0.8,0.95,0.8,0.99,0.73,0.8,0.76,0.95,8,0
Exmouth,01/09/2021,0.91,0.95,0.91,0.99,0.83,0.8,0.87,0.95,2,0
Plymouth,01/04/2022,0.82,0.95,0.9,0.99,1,0.8,1,0.95,31,0
Bath,01/10/2021,0.87,0.95,0.89,0.99,0.75,0.8,0.85,0.95,28,0
Portsmouth,01/01/2022,0.9,0.95,0.97,0.99,0.87,0.8,0.9,0.95,10,0
Exmouth,01/02/2022,0.87,0.95,0.92,0.99,0.76,0.8,0.8,0.95,16,0
Reading,01/09/2021,0.95,0.95,1,0.99,0.94,0.8,1,0.95,4,0
Bristol,01/02/2022,0.81,0.95,0.81,0.99,0.88,0.8,0.94,0.95,83,0
Plymouth,01/01/2022,0.97,0.95,1,0.99,0.9,0.8,0.93,0.95,55,0
Newcastle,01/12/2021,0.82,0.95,0.89,0.99,0.68,0.8,0.78,0.95,3,0
Hastings,01/02/2022,0.95,0.95,1,0.99,0.97,0.8,0.99,0.95,30,0
Leicester,01/08/2021,0.87,0.95,0.94,0.99,0.74,0.8,0.8,0.95,23,0
Hastings,01/08/2021,0.96,0.95,1,0.99,0.86,0.8,0.95,0.95,4,0
Hastings,01/03/2022,0.91,0.95,0.91,0.99,0.8,0.8,0.89,0.95,29,0
Southampton,01/10/2021,0.83,0.95,0.86,0.99,0.84,0.8,0.99,0.95,4,0
Leicester,01/04/2022,0.8,0.95,0.82,0.99,0.72,0.8,0.81,0.95,29,0
Bath,01/03/2022,0.92,0.95,0.94,0.99,0.99,0.8,1,0.95,14,0
Portsmouth,01/11/2021,0.95,0.95,1,0.99,0.92,0.8,1,0.95,8,0
Bristol,01/03/2022,0.83,0.95,0.91,0.99,0.92,0.8,1,0.95,20,0
Bath,01/04/2022,0.94,0.95,1,0.99,0.97,0.8,1,0.95,33,0
Torquay,01/03/2022,0.8,0.95,0.9,0.99,0.76,0.8,0.83,0.95,3,0
Reading,01/01/2022,0.86,0.95,0.86,0.99,0.93,0.8,0.96,0.95,25,0
Bristol,01/10/2021,0.88,0.95,0.91,0.99,1,0.8,1,0.95,3,0
Plymouth,01/12/2021,0.97,0.95,0.99,0.99,0.72,0.8,0.74,0.95,0,0
