SEASON    LEAGUE     P    W    D    L    F    A    P      POS
1960-61   FL-3      46   14   11   21   60   76   39     20/24
1961-62   FL-3      46   13   16   17   57   69   42     16/24
1962-63   FL-3      46   19   12   15   75   77   50      8/24
1963-64   FL-3      46   15   15   16   77   78   45     14/24
1964-65   FL-3      46   19    8   19   78   71   46     12/24
1965-66   FL-3      46   16    4   26   54   83   36     21/24
1966-67   FL-4      46   22    9   15   70   49   53      6/24
1967-68   FL-4      46   20   14   12   77   58   54      6/24
1968-69   FL-4      46   19   13   14   78   61   51      7/24
1969-70   FL-4      46   15   10   21   59   85   40     17/24
1970-71   FL-4      46   14   15   17   53   66   43     18/24
1971-72   FL-4      46   24   12   10   81   55   60      2/24
1972-73   FL-3      46   17   10   19   61   54   44     14/24
1973-74   FL-3      46   16   14   16   62   62   46     12/24
1974-75   FL-3      46   13   16   17   46   51   42     18/24
1975-76   FL-3      46   12   13   21   65   75   37     23/24
1976-77   FL-4      46   15   19   12   52   45   49     10/24
1977-78   FL-4      46   25   10   11   66   39   60      2/24
1978-79   FL-3      46   15   15   16   51   49   45     13/24
1979-80   FL-3      46   14   10   22   47   58   38     22/24
1980-81   FL-4      46   30    7    9   79   31   67      1/24
1981-82   FL-3      46   18   15   13   63   51   69      7/24
1982-83   FL-3      46   15   14   17   66   65   59     15/24
1983-84   FL-3      46   10   14   22   55   76   44     22/24
1984-85   FL-4      46   13   11   22   58   83   50     20/24
1985-86   FL-4      46   18   10   18   69   67   64      9/24
1986-87   FL-4      46   25    5   16   68   55   80      3/24
1987-88   FL-3      46   14   13   19   65   83   55     17/24
1988-89   FL-3      46   13   15   18   56   75   54     21/24
1989-90   FL-4      46   22    9   15   61   48   75      3/24
1990-91   FL-3      46   26    7   13   67   51   85      2/24
1991-92   FL-2      46   17   11   18   63   63   62     12/24
1992-93   FL-1      46   13   13   20   54   64   52     18/24
1993-94   FL-1      46   17    8   21   63   67   59     15/24
1994-95   FL-1      46   18    8   20   54   73   62     13/24
1995-96   FL-1      46   15   14   17   52   61   59     14/24
1996-97   FL-1      46    8   15   23   42   86   39     24/24
1997-98   FL-2      46   11   10   25   47   79   43     24/24
1998-99   FL-3      46   14   12   20   52   58   54     18/24
1999-00   FL-3      46   15   11   20   53   61   56     16/24
2000-01   FL-3      46   15   18   13   55   53   63     11/24
2001-02   FL-3      46   15   13   18   51   54   58     12/24
2002-03   FL-3      46   17    3   26   47   59   54     17/24
2003-04   FL-3      46   14   12   20   51   63   54     17/24
2004-05   FL-2      46   22   12   12   65   46   78      4/24
2005-06   FL-1      46   23   13   10   72   43   82      1/24
2006-07   FL-CH     46   10   12   24   47   80   42     22/24
2007-08   FL-1      46   22   10   14   70   55   76      6/24
2008-09   FL-1      46   21    8   17   58   61   71      8/24
2009-10   FL-1      46   10   13   23   51   72   43     23/24
2010-11   FL-2      46   16   13   17   62   56   61     13/24
2011-12   FL-2      46   25    8   13   77   48   83      4/24
2012-13   FL-2      46   16   13   17   61   55   61     11/24
2013-14   FL-2      46   19   15   12   56   39   72      5/24
2014-15   FL-2      46   24   12   10   54   38   84      5/24
2015-16   FL-1      46   16   11   19   58   64   59     14/24
2016-17   EFL-1     46   20   12   14   70   53   72      7/24
2017-18   EFL-1     46   17   12   17   58   62   63     10/24
2018-19   EFL-1     46   14    8   24   55   68   50     19/24
2019-20   EFL-1     35    4    7   24   39   85   19     22/23
2020-21   EFL-2     46   10   15   21   29   58   45     23/24
2021-22   NAT-P
