Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,Segment__c
0018d00000Ggwv2AAB,False,,Rivera395 Inc,Customer,,,,ND,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggwv2AAB,74100,Engineering,2000000,8000,,,,,0058d000004QHajAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Seminar - Internal,,,,,,,,,,,,,,,SMB
0018d00000Ggwv3AAB,False,,Cook396 Inc,Partner,,,,,,Singapore,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggwv3AAB,47710,Finance,2000000,8000,,,,,0058d000004QHajAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Advertisement,,,,,,,,,,,,,,,SMB
0018d00000Ggwv4AAB,False,,Warren397 Inc,Customer,,,,SC,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggwv4AAB,47721,Education,2000000,8000,,,,,0058d000004QHaeAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,09/09/2029,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,SMB
0018d00000Ggwv5AAB,False,,Brewer398 Inc,Customer,,,,DC,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggwv5AAB,47722,Media,2000000,8000,,,,,0058d000004QHaeAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Word of mouth,,,,,,,,,,,,,,,ENT
0018d00000Ggwv6AAB,False,,Pittman399 Inc,Customer,,,,ME,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggwv6AAB,74100,Manufacturing,2000000,8000,,,,,0058d000004QHaqAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,SMB
0018d00000GgwvFAAR,False,,Myers408 Inc,Partner,,,,MO,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwvFAAR,64191,Technology,2000000,8000,,,,,0058d000004QHahAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,ESMB
0018d00000Ggwv7AAB,False,,Owens400 Inc,Customer,,,,IA,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggwv7AAB,47710,Telecommunications,2000000,8000,,,,,0058d000004QHaeAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Advertisement,,,,,,,,,,,,,,,ENT
0018d00000Ggwv8AAB,False,,Tucker401 Inc,Customer,,,,,,Japan,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggwv8AAB,47721,Communications,2000000,8000,,,,,0058d000004QHafAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,02/09/2029,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,SMB
0018d00000Ggwv9AAB,False,,Briggs402 Inc,Customer,,,,,,Taiwan,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggwv9AAB,47722,Finance,2000000,8000,,,,,0058d000004QHaoAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,11/09/2029,,,,,Pending,Seminar - Internal,,,,,,,,,,,,,,,SMB
0018d00000GgwvAAAR,False,,Scott403 Inc,Partner,,,,CT,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwvAAAR,74100,Agriculture,2000000,8000,,,,,0058d000004QHaoAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Web,,,,,,,,,,,,,,,ESMB
0018d00000GgwvBAAR,False,,Watson404 Inc,Customer,,,,,,Brazil,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwvBAAR,47710,Agriculture,2000000,8000,,,,,0058d000004QHamAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Web,,,,,,,,,,,,,,,GB
0018d00000GgwvCAAR,False,,Henry405 Inc,Customer,,,,,,United Kingdom,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwvCAAR,47721,Energy,2000000,8000,,,,,0058d000004QHaiAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,06/08/2029,,,,,Pending,Advertisement,,,,,,,,,,,,,,,SMB
0018d00000GgwvDAAR,False,,Gordon406 Inc,Customer,,,,,,Denmark,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwvDAAR,47722,Engineering,2000000,8000,,,,,0058d000004QHajAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,26/09/2029,,,,,Pending,Advertisement,,,,,,,,,,,,,,,COMM
0018d00000GgwvEAAR,False,,Oliver407 Inc,Customer,,,,,,Brazil,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwvEAAR,74100,Utilities,2000000,8000,,,,,0058d000004QHaaAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Word of mouth,,,,,,,,,,,,,,,ENT
0018d00000GgwvGAAR,False,,Gonzales409 Inc,Customer,,,,,,Denmark,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwvGAAR,64192,Engineering,2000000,8000,,,,,0058d000004QHabAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Web,,,,,,,,,,,,,,,GB
0018d00000GgwxGAAR,False,,Jefferson9 Inc,Customer,,,,,,Switzerland,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxGAAR,61900,Agriculture,2000000,4000,,,,,0058d000004QHaeAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Advertisement,,,,,,,,,,,,,,,COMM
0018d00000GgwxHAAR,False,,Mendez10 Inc,Customer,,,,MT,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxHAAR,47429,Biotechnology,2000000,4000,,,,,0058d000004QHajAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Web,,,,,,,,,,,,,,,SMB
0018d00000GgwxIAAR,False,,Graham11 Inc,Customer,,,,,,Turkey,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxIAAR,61900,Healthcare,2000000,4000,,,,,0058d000004QHapAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Web,,,,,,,,,,,,,,,MM
0018d00000GgwxJAAR,False,,Hardy12 Inc,Partner,,,,AR,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxJAAR,47429,Manufacturing,2000000,4000,,,,,0058d000004QHajAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Seminar - Internal,,,,,,,,,,,,,,,ESMB
0018d00000GgwxKAAR,False,,Harris13 Inc,Customer,,,,,,Normway,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxKAAR,61900,Banking,2000000,4000,,,,,0058d000004QHaZAAW,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,18/08/2029,,,,,Pending,Trade Show,,,,,,,,,,,,,,,MM
0018d00000GgwxLAAR,False,,Crawford14 Inc,Customer,,,,,,Belgium,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxLAAR,47429,Telecommunications,2000000,4000,,,,,0058d000004QHadAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,COMM
0018d00000GgwxMAAR,False,,Hampton15 Inc,Customer,,,,,,United Kingdom,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxMAAR,61900,Utilities,2000000,4000,,,,,0058d000004QHaqAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,09/07/2029,,,,,Pending,Word of mouth,,,,,,,,,,,,,,,ENT
0018d00000GgwxNAAR,False,,Parker16 Inc,Partner,,,,NC,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxNAAR,47429,Energy,2000000,4000,,,,,0058d000004QHaYAAW,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,02/08/2029,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,COMM
0018d00000GgwxOAAR,False,,Garza17 Inc,Partner,,,,IN,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxOAAR,61900,Energy,2000000,4000,,,,,0058d000004QHahAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Trade Show,,,,,,,,,,,,,,,MM
0018d00000GgwxPAAR,False,,Ferguson18 Inc,Partner,,,,NE,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxPAAR,47429,Transportation,2000000,4000,,,,,0058d000004QHajAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Trade Show,,,,,,,,,,,,,,,MM
0018d00000GgwxQAAR,False,,Bailey19 Inc,Customer,,,,MT,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxQAAR,61900,Biotechnology,2000000,4000,,,,,0058d000004QHanAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Word of mouth,,,,,,,,,,,,,,,SMB
0018d00000GgwxRAAR,False,,Vega20 Inc,Customer,,,,,,Korea,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxRAAR,47429,Utilities,2000000,4000,,,,,0058d000004QHalAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Web,,,,,,,,,,,,,,,GB
0018d00000GgwxSAAR,False,,Goodman21 Inc,Customer,,,,,,Germany,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxSAAR,61900,Apparel,2000000,4000,,,,,0058d000004QHacAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Partner,,,,,,,,,,,,,,,COMM
0018d00000GgwxTAAR,False,,Austin22 Inc,Customer,,,,MD,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxTAAR,47429,Media,2000000,4000,,,,,0058d000004QHafAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Trade Show,,,,,,,,,,,,,,,MM
0018d00000GgwxUAAR,False,,Byrd23 Inc,Customer,,,,MT,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxUAAR,61900,Education,2000000,4000,,,,,0058d000004QHafAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,ENT
0018d00000GgwxVAAR,False,,Lindsey24 Inc,Customer,,,,,,Italy,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwxVAAR,47429,Energy,2000000,4000,,,,,0058d000004QHapAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Word of mouth,,,,,,,,,,,,,,,SMB
0018d00000GgwzyAAB,False,,Rivera251 Inc,Customer,,,,MN,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwzyAAB,35714,Finance,800000,500,,,,,0058d000004QHamAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Web,,,,,,,,,,,,,,,COMM
0018d00000GgwzzAAB,False,,Meyer252 Inc,Customer,,,,,,Denmark,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwzzAAB,35736,Finance,800000,500,,,,,0058d000004QHahAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Partner,,,,,,,,,,,,,,,GB
0018d00000Ggx00AAB,False,,Phillips253 Inc,Customer,,,,,,Turkey,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx00AAB,35758,Telecommunications,800000,500,,,,,0058d000004QHafAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,03/09/2029,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,SMB
0018d00000Ggx01AAB,False,,Glover254 Inc,Partner,,,,,,Normway,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx01AAB,35780,Banking,800000,500,,,,,0058d000004QHajAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Advertisement,,,,,,,,,,,,,,,GB
0018d00000Ggx02AAB,False,,Ortega255 Inc,Customer,,,,NY,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx02AAB,35802,Retail,800000,500,,,,,0058d000004QHadAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,MM
0018d00000Ggx03AAB,False,,Love256 Inc,Customer,,,,OR,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx03AAB,35824,Energy,800000,500,,,,,0058d000004QHanAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Partner,,,,,,,,,,,,,,,COMM
0018d00000Ggx04AAB,False,,Salazar257 Inc,Customer,,,,,,Germany,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx04AAB,35846,Manufacturing,800000,500,,,,,0058d000004QHafAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Partner,,,,,,,,,,,,,,,COMM
0018d00000Ggx05AAB,False,,Patrick258 Inc,Customer,,,,MN,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx05AAB,35868,Biotechnology,800000,500,,,,,0058d000004QHadAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Trade Show,,,,,,,,,,,,,,,MM
0018d00000Ggx06AAB,False,,Wells259 Inc,Customer,,,,RI,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx06AAB,35890,Engineering,800000,500,,,,,0058d000004QHaZAAW,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Trade Show,,,,,,,,,,,,,,,MM
0018d00000Ggx07AAB,False,,Dawson260 Inc,Customer,,,,PA,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx07AAB,35912,Media,800000,500,,,,,0058d000004QHaiAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Public Relations,,,,,,,,,,,,,,,GB
0018d00000Ggx08AAB,False,,Holloway261 Inc,Customer,,,,,,China,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx08AAB,35934,Apparel,800000,500,,,,,0058d000004QHapAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,ESMB
0018d00000Ggx09AAB,False,,Estrada262 Inc,Customer,,,,AK,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx09AAB,35956,Insurance,800000,500,,,,,0058d000004QHafAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Partner,,,,,,,,,,,,,,,MM
0018d00000Ggx0AAAR,False,,Beck462 Inc,Customer,,,,WV,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx0AAAR,35978,Biotechnology,800000,500,,,,,0058d000004QHapAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Web,,,,,,,,,,,,,,,ESMB
0018d00000Ggx0BAAR,False,,Hill463 Inc,Customer,,,,MI,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx0BAAR,36000,Telecommunications,800000,500,,,,,0058d000004QHahAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,22/07/2029,,,,,Pending,Partner,,,,,,,,,,,,,,,SMB
0018d00000Ggx0CAAR,False,,Maldonado464 Inc,Customer,,,,HI,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx0CAAR,36022,Technology,800000,500,,,,,0058d000004QHahAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,24/08/2029,,,,,Pending,Partner,,,,,,,,,,,,,,,ESMB
0018d00000Ggx0DAAR,False,,Figueroa465 Inc,Customer,,,,,,Singapore,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx0DAAR,36044,Transportation,800000,500,,,,,0058d000004QHapAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,ESMB
0018d00000Ggx0EAAR,False,,Porter466 Inc,Partner,,,,MT,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx0EAAR,36066,Biotechnology,800000,500,,,,,0058d000004QHagAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,SMB
0018d00000Ggx0FAAR,False,,McDaniel467 Inc,Customer,,,,,,Japan,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx0FAAR,36088,Biotechnology,800000,500,,,,,0058d000004QHabAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Advertisement,,,,,,,,,,,,,,,SMB
0018d00000Ggx0GAAR,False,,Edwards468 Inc,Partner,,,,KS,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx0GAAR,36110,Biotechnology,800000,500,,,,,0058d000004QHamAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Advertisement,,,,,,,,,,,,,,,ESMB
0018d00000Ggx0HAAR,False,,Cobb469 Inc,Customer,,,,MS,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx0HAAR,36132,Transportation,800000,500,,,,,0058d000004QHapAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Partner,,,,,,,,,,,,,,,MM
0018d00000GgwvHAAR,False,,Myers581 Inc,Customer,,,,FL,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwvHAAR,64205,Consulting,2000000,8000,,,,,0058d000004QHapAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,29/07/2029,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,ESMB
0018d00000GgwvIAAR,False,,Flores582 Inc,Partner,,,,CA,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwvIAAR,64929,Technology,2000000,8000,,,,,0058d000004QHabAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Partner,,,,,,,,,,,,,,,MM
