Candidate,Poll Results,Spread from 1st to 2nd Place,Rank,End Date,Sample Type,Poll
Warren,12,12,4,16/02/2020,Registered Voter,NPR/PBS/Marist
Biden,18,6,2,18/02/2020,Likely Voter,Economist/YouGov
Sanders,21,7,2,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl
Steyer,2,13,7,29/12/2019,Registered Voter,Harvard-Harris
Sanders,26,10,1,09/02/2020,Registered Voter,Monmouth
Buttigieg,6,7,5,20/01/2020,Registered Voter,Monmouth
Buttigieg,7,7,5,30/01/2020,Registered Voter,IBD/TIPP
Bloomberg,17,3,3,09/02/2020,Registered Voter,Politico/Morning Consult
Gabbard,0,3,8,15/02/2020,Registered Voter,The Hill/HarrisX
Klobuchar,2,7,8,17/12/2019,Registered Voter,Emerson
Gabbard,1,6,8,11/01/2020,Registered Voter,IBD/TIPP
Bloomberg,4,7,6,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl
Buttigieg,6,12,5,28/12/2019,Registered Voter,The Hill/HarrisX
Bloomberg,14,4,4,02/02/2020,Registered Voter,Politico/Morning Consult
Biden,26,2,1,28/01/2020,Registered Voter,Economist/YouGov
Steyer,1,4,8,11/02/2020,Likely Voter,Economist/YouGov
Gabbard,2,1,8,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl
Warren,14,11,3,16/01/2020,Likely Voter,SurveyUSA
Sanders,19,6,2,12/01/2020,Registered Voter,Quinnipiac
Warren,16,16,3,28/01/2020,Likely Voter,LA Times/USC
Buttigieg,7,6,5,26/01/2020,Registered Voter,Politico/Morning Consult
Sanders,27,3,1,19/01/2020,Registered Voter,CNN
Gabbard,1,16,8,28/01/2020,Likely Voter,LA Times/USC
Steyer,2,10,8,17/12/2019,Likely Voter,Economist/YouGov
Warren,19,9,2,22/02/2020,Likely Voter,CBS News/YouGov
Sanders,17,11,3,24/12/2019,Likely Voter,Economist/YouGov
Klobuchar,5,11,5,24/12/2019,Likely Voter,Economist/YouGov
Bloomberg,9,11,5,16/01/2020,Likely Voter,SurveyUSA
Sanders,17,13,2,29/12/2019,Registered Voter,Harvard-Harris
Steyer,3,11,6,16/01/2020,Likely Voter,SurveyUSA
Sanders,20,11,2,29/01/2020,Registered Voter,Harvard-Harris
Sanders,29,11,1,17/02/2020,Likely Voter,SurveyUSA
Warren,19,7,3,14/01/2020,Registered Voter,Economist/YouGov
Biden,32,11,1,16/01/2020,Likely Voter,SurveyUSA
Warren,13,7,3,30/01/2020,Registered Voter,IBD/TIPP
Sanders,20,7,2,14/01/2020,Registered Voter,Economist/YouGov
Steyer,3,8,7,17/02/2020,Registered Voter,Morning Consult
Steyer,3,7,8,18/02/2020,Likely Voter,Emerson
Buttigieg,11,3,5,09/02/2020,Registered Voter,Politico/Morning Consult
Gabbard,1,3,8,23/01/2020,Likely Voter,Emerson
Klobuchar,3,5,7,19/01/2020,Likely Voter,Politico/Morning Consult
Buttigieg,13,10,4,09/02/2020,Registered Voter,Monmouth
Sanders,23,7,2,20/01/2020,Registered Voter,Monmouth
Buttigieg,8,10,4,31/12/2019,Registered Voter,Economist/YouGov
Sanders,20,3,2,10/02/2020,Registered Voter,The Hill/HarrisX
Sanders,23,6,2,26/01/2020,Registered Voter,Politico/Morning Consult
Gabbard,2,6,8,12/01/2020,Registered Voter,Politico/Morning Consult
Biden,32,7,1,17/12/2019,Registered Voter,Emerson
Bloomberg,8,6,5,12/01/2020,Registered Voter,Politico/Morning Consult
Biden,15,12,2,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl
Warren,12,3,4,15/02/2020,Registered Voter,The Hill/HarrisX
Bloomberg,11,12,3,22/01/2020,Registered Voter,The Hill/HarrisX
Gabbard,0,12,8,16/02/2020,Registered Voter,NPR/PBS/Marist
Klobuchar,5,9,6,22/02/2020,Likely Voter,CBS News/YouGov
Sanders,20,5,3,07/01/2020,Registered Voter,Economist/YouGov
Klobuchar,3,3,7,10/02/2020,Registered Voter,The Hill/HarrisX
Bloomberg,20,8,2,17/02/2020,Registered Voter,Morning Consult
Biden,26,5,1,27/01/2020,Registered Voter,Quinnipiac
Sanders,17,12,2,22/01/2020,Registered Voter,The Hill/HarrisX
Steyer,3,10,7,22/12/2019,Registered Voter,Politico/Morning Consult
Sanders,31,12,1,16/02/2020,Registered Voter,NPR/PBS/Marist
Warren,22,5,2,07/01/2020,Registered Voter,Economist/YouGov
Buttigieg,7,11,4,24/12/2019,Likely Voter,Economist/YouGov
Bloomberg,8,7,4,30/01/2020,Registered Voter,IBD/TIPP
Klobuchar,4,10,5,31/12/2019,Registered Voter,Economist/YouGov
Biden,28,12,1,28/12/2019,Registered Voter,The Hill/HarrisX
Buttigieg,7,2,4,28/01/2020,Registered Voter,Economist/YouGov
Biden,30,3,1,23/01/2020,Likely Voter,Emerson
Biden,28,4,1,02/02/2020,Registered Voter,Politico/Morning Consult
Klobuchar,5,1,6,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl
Sanders,19,5,2,04/02/2020,Registered Voter,Economist/YouGov
Buttigieg,4,10,5,14/01/2020,Registered Voter,The Hill/HarrisX
Gabbard,0,3,8,22/01/2020,Likely Voter,FOX News
Warren,21,7,2,21/01/2020,Likely Voter,Economist/YouGov
Bloomberg,9,5,5,04/02/2020,Registered Voter,Economist/YouGov
Gabbard,1,10,8,09/02/2020,Registered Voter,Monmouth
Steyer,4,6,6,12/01/2020,Registered Voter,Politico/Morning Consult
Bloomberg,3,5,7,07/01/2020,Registered Voter,Economist/YouGov
Bloomberg,7,3,4,23/01/2020,Likely Voter,Emerson
Sanders,24,2,2,28/01/2020,Registered Voter,Economist/YouGov
Bloomberg,7,10,4,14/01/2020,Registered Voter,The Hill/HarrisX
Biden,19,8,3,17/02/2020,Registered Voter,Morning Consult
Bloomberg,7,8,5,05/01/2020,Registered Voter,Politico/Morning Consult
Sanders,24,6,1,18/02/2020,Likely Voter,Economist/YouGov
Gabbard,3,7,7,21/01/2020,Likely Voter,Economist/YouGov
Sanders,25,3,1,09/02/2020,Registered Voter,Politico/Morning Consult
Gabbard,1,16,8,17/02/2020,Registered Voter,ABC News/Wash Post
Warren,20,2,3,28/01/2020,Registered Voter,Economist/YouGov
Steyer,2,5,7,27/01/2020,Registered Voter,Quinnipiac
Warren,15,10,3,22/12/2019,Registered Voter,Politico/Morning Consult
Steyer,1,11,8,24/12/2019,Likely Voter,Economist/YouGov
Warren,20,6,2,11/01/2020,Registered Voter,IBD/TIPP
Bloomberg,10,3,4,22/01/2020,Likely Voter,FOX News
Klobuchar,3,10,7,22/12/2019,Registered Voter,Politico/Morning Consult
Biden,18,11,3,17/02/2020,Likely Voter,SurveyUSA
Gabbard,1,5,8,27/01/2020,Registered Voter,Quinnipiac
Biden,29,10,1,14/01/2020,Registered Voter,The Hill/HarrisX
Buttigieg,7,3,5,22/01/2020,Likely Voter,FOX News
Biden,22,3,2,09/02/2020,Registered Voter,Politico/Morning Consult
Bloomberg,7,12,4,23/01/2020,Likely Voter,ABC News/Wash Post
Bloomberg,11,10,5,09/02/2020,Registered Voter,Monmouth
Gabbard,2,5,8,19/01/2020,Likely Voter,Politico/Morning Consult
Gabbard,4,4,7,11/02/2020,Likely Voter,Economist/YouGov
Warren,18,10,3,31/12/2019,Registered Voter,Economist/YouGov
Buttigieg,8,5,5,19/01/2020,Likely Voter,Politico/Morning Consult
Buttigieg,9,3,5,10/02/2020,Registered Voter,The Hill/HarrisX
Warren,14,8,4,09/02/2020,Registered Voter,Quinnipiac
Klobuchar,3,16,6,28/01/2020,Likely Voter,LA Times/USC
Biden,30,7,1,20/01/2020,Registered Voter,Monmouth
Klobuchar,3,11,6,29/01/2020,Registered Voter,Harvard-Harris
Gabbard,1,12,8,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl
Steyer,3,4,7,02/02/2020,Registered Voter,Politico/Morning Consult
Buttigieg,10,8,5,09/02/2020,Registered Voter,Quinnipiac
Buttigieg,8,11,4,29/12/2019,Registered Voter,Politico/Morning Consult
Steyer,2,1,8,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl
Warren,14,3,3,19/01/2020,Registered Voter,CNN
Warren,9,12,4,22/01/2020,Registered Voter,The Hill/HarrisX
Buttigieg,5,12,5,22/01/2020,Registered Voter,The Hill/HarrisX
Gabbard,1,6,8,26/01/2020,Registered Voter,Politico/Morning Consult
Biden,29,12,1,22/01/2020,Registered Voter,The Hill/HarrisX
Buttigieg,9,5,5,04/02/2020,Registered Voter,Economist/YouGov
Biden,32,11,1,29/12/2019,Registered Voter,Politico/Morning Consult
Gabbard,3,5,7,04/02/2020,Registered Voter,Economist/YouGov
Buttigieg,8,7,4,21/01/2020,Likely Voter,Economist/YouGov
Biden,26,6,1,11/01/2020,Registered Voter,IBD/TIPP
Biden,22,7,2,18/02/2020,Likely Voter,Emerson
Bloomberg,18,11,3,17/02/2020,Likely Voter,SurveyUSA
Gabbard,0,3,8,19/01/2020,Registered Voter,CNN
Steyer,3,5,7,19/01/2020,Likely Voter,Politico/Morning Consult
Klobuchar,6,5,6,04/02/2020,Registered Voter,Economist/YouGov
Warren,16,6,3,18/02/2020,Likely Voter,Economist/YouGov
Biden,29,6,1,26/01/2020,Registered Voter,Politico/Morning Consult
Klobuchar,6,10,6,09/02/2020,Registered Voter,Monmouth
Biden,27,5,1,07/01/2020,Registered Voter,Economist/YouGov
Steyer,1,2,8,28/01/2020,Registered Voter,Economist/YouGov
Sanders,24,4,2,02/02/2020,Registered Voter,Politico/Morning Consult
Biden,31,8,1,05/01/2020,Registered Voter,Politico/Morning Consult
Warren,14,12,3,23/01/2020,Likely Voter,ABC News/Wash Post
Steyer,1,7,8,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl
Steyer,2,12,8,28/12/2019,Registered Voter,The Hill/HarrisX
Sanders,16,12,2,28/12/2019,Registered Voter,The Hill/HarrisX
Warren,18,7,3,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl
Bloomberg,7,13,5,29/12/2019,Registered Voter,Harvard-Harris
Klobuchar,3,4,7,02/02/2020,Registered Voter,Politico/Morning Consult
Gabbard,2,11,7,24/12/2019,Likely Voter,Economist/YouGov
Buttigieg,7,5,4,07/01/2020,Registered Voter,Economist/YouGov
Gabbard,2,10,8,22/12/2019,Registered Voter,Politico/Morning Consult
Steyer,2,7,8,17/12/2019,Registered Voter,Emerson
Buttigieg,9,10,4,22/12/2019,Registered Voter,Politico/Morning Consult
Gabbard,1,3,8,09/02/2020,Registered Voter,Politico/Morning Consult
Buttigieg,9,6,4,11/01/2020,Registered Voter,IBD/TIPP
Biden,15,12,3,16/02/2020,Registered Voter,NPR/PBS/Marist
Steyer,1,7,8,20/01/2020,Registered Voter,Monmouth
Sanders,25,8,1,09/02/2020,Registered Voter,Quinnipiac
Sanders,21,11,2,29/12/2019,Registered Voter,Politico/Morning Consult
Biden,24,3,2,19/01/2020,Registered Voter,CNN
Bloomberg,8,5,4,27/01/2020,Registered Voter,Quinnipiac
Sanders,21,5,2,27/01/2020,Registered Voter,Quinnipiac
Sanders,19,7,2,30/01/2020,Registered Voter,IBD/TIPP
Steyer,2,16,7,28/01/2020,Likely Voter,LA Times/USC
Steyer,3,3,7,09/02/2020,Registered Voter,Politico/Morning Consult
Steyer,2,7,8,21/01/2020,Likely Voter,Economist/YouGov
Sanders,22,4,1,11/02/2020,Likely Voter,Economist/YouGov
Klobuchar,4,12,6,23/01/2020,Likely Voter,ABC News/Wash Post
Biden,19,3,2,15/02/2020,Registered Voter,The Hill/HarrisX
Steyer,1,10,8,09/02/2020,Registered Voter,Monmouth
Bloomberg,13,9,4,22/02/2020,Likely Voter,CBS News/YouGov
Warren,19,11,2,24/12/2019,Likely Voter,Economist/YouGov
Klobuchar,3,10,7,14/01/2020,Registered Voter,The Hill/HarrisX
Steyer,4,12,6,22/01/2020,Registered Voter,The Hill/HarrisX
Bloomberg,11,12,4,28/12/2019,Registered Voter,The Hill/HarrisX
Steyer,2,11,7,29/01/2020,Registered Voter,Harvard-Harris
Sanders,18,16,2,28/01/2020,Likely Voter,LA Times/USC
Sanders,27,1,1,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl
Bloomberg,12,6,4,26/01/2020,Registered Voter,Politico/Morning Consult
Sanders,25,7,2,17/12/2019,Registered Voter,Emerson
Bloomberg,4,11,6,24/12/2019,Likely Voter,Economist/YouGov
Bloomberg,9,16,5,28/01/2020,Likely Voter,LA Times/USC
Bloomberg,18,3,3,15/02/2020,Registered Voter,The Hill/HarrisX
Biden,30,13,1,29/12/2019,Registered Voter,Harvard-Harris
Warren,14,3,3,22/01/2020,Likely Voter,FOX News
Gabbard,2,8,8,05/01/2020,Registered Voter,Politico/Morning Consult
Biden,30,11,1,24/12/2019,Likely Voter,Economist/YouGov
Steyer,2,6,7,11/01/2020,Registered Voter,IBD/TIPP
Klobuchar,3,3,7,09/02/2020,Registered Voter,Politico/Morning Consult
Klobuchar,4,3,6,23/01/2020,Likely Voter,Emerson
Steyer,2,5,8,04/02/2020,Registered Voter,Economist/YouGov
Biden,25,6,1,12/01/2020,Registered Voter,Quinnipiac
Gabbard,1,6,8,12/01/2020,Registered Voter,Quinnipiac
Biden,34,12,1,23/01/2020,Likely Voter,ABC News/Wash Post
Bloomberg,3,10,7,31/12/2019,Registered Voter,Economist/YouGov
Klobuchar,6,7,6,18/02/2020,Likely Voter,Emerson
Sanders,18,7,3,21/01/2020,Likely Voter,Economist/YouGov
Bloomberg,9,1,4,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl
Warren,11,12,4,28/12/2019,Registered Voter,The Hill/HarrisX
Klobuchar,5,7,6,20/01/2020,Registered Voter,Monmouth
Biden,29,10,1,17/12/2019,Likely Voter,Economist/YouGov
Warren,14,6,3,12/01/2020,Registered Voter,Politico/Morning Consult
Biden,24,5,1,04/02/2020,Registered Voter,Economist/YouGov
Gabbard,2,6,8,18/02/2020,Likely Voter,Economist/YouGov
Steyer,2,10,8,31/12/2019,Registered Voter,Economist/YouGov
Warren,11,3,5,09/02/2020,Registered Voter,Politico/Morning Consult
Bloomberg,14,16,3,17/02/2020,Registered Voter,ABC News/Wash Post
Gabbard,3,2,7,28/01/2020,Registered Voter,Economist/YouGov
Steyer,3,6,7,26/01/2020,Registered Voter,Politico/Morning Consult
Buttigieg,13,12,5,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl
Klobuchar,7,6,6,18/02/2020,Likely Voter,Economist/YouGov
Sanders,28,9,1,22/02/2020,Likely Voter,CBS News/YouGov
Bloomberg,7,6,5,11/01/2020,Registered Voter,IBD/TIPP
Sanders,19,10,2,17/12/2019,Likely Voter,Economist/YouGov
Gabbard,2,11,8,16/01/2020,Likely Voter,SurveyUSA
Biden,29,6,1,12/01/2020,Registered Voter,Politico/Morning Consult
Sanders,28,8,1,17/02/2020,Registered Voter,Morning Consult
Klobuchar,6,8,6,17/02/2020,Registered Voter,Morning Consult
Klobuchar,4,2,6,28/01/2020,Registered Voter,Economist/YouGov
Buttigieg,12,8,4,17/02/2020,Registered Voter,Morning Consult
Warren,18,5,3,04/02/2020,Registered Voter,Economist/YouGov
Steyer,2,12,7,16/02/2020,Registered Voter,NPR/PBS/Marist
Buttigieg,9,16,5,28/01/2020,Likely Voter,LA Times/USC
Klobuchar,3,7,6,14/01/2020,Registered Voter,Economist/YouGov
Bloomberg,15,8,3,09/02/2020,Registered Voter,Quinnipiac
Steyer,1,7,8,14/01/2020,Registered Voter,Economist/YouGov
Buttigieg,11,6,5,18/02/2020,Likely Voter,Economist/YouGov
Warren,16,6,3,12/01/2020,Registered Voter,Quinnipiac
Klobuchar,5,7,5,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl
Biden,29,10,1,31/12/2019,Registered Voter,Economist/YouGov
Buttigieg,10,9,5,22/02/2020,Likely Voter,CBS News/YouGov
Steyer,3,3,7,10/02/2020,Registered Voter,The Hill/HarrisX
Biden,18,4,2,11/02/2020,Likely Voter,Economist/YouGov
Warren,15,1,3,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl
Bloomberg,9,7,4,20/01/2020,Registered Voter,Monmouth
Buttigieg,6,11,5,29/01/2020,Registered Voter,Harvard-Harris
Bloomberg,6,10,5,22/12/2019,Registered Voter,Politico/Morning Consult
Gabbard,3,10,7,31/12/2019,Registered Voter,Economist/YouGov
Klobuchar,9,12,5,16/02/2020,Registered Voter,NPR/PBS/Marist
Steyer,3,11,7,29/12/2019,Registered Voter,Politico/Morning Consult
Buttigieg,6,3,5,23/01/2020,Likely Voter,Emerson
Buttigieg,8,6,5,12/01/2020,Registered Voter,Politico/Morning Consult
Buttigieg,10,3,5,15/02/2020,Registered Voter,The Hill/HarrisX
Buttigieg,8,7,5,18/02/2020,Likely Voter,Emerson
Gabbard,2,4,8,02/02/2020,Registered Voter,Politico/Morning Consult
Bloomberg,12,6,4,18/02/2020,Likely Voter,Economist/YouGov
Sanders,23,3,2,22/01/2020,Likely Voter,FOX News
Steyer,2,7,7,30/01/2020,Registered Voter,IBD/TIPP
Warren,12,11,4,29/01/2020,Registered Voter,Harvard-Harris
Gabbard,4,7,5,17/12/2019,Registered Voter,Emerson
Buttigieg,7,1,5,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl
Klobuchar,4,11,6,17/02/2020,Likely Voter,SurveyUSA
Biden,31,11,1,29/01/2020,Registered Voter,Harvard-Harris
Buttigieg,6,4,5,02/02/2020,Registered Voter,Politico/Morning Consult
Buttigieg,7,10,4,17/12/2019,Likely Voter,Economist/YouGov
Buttigieg,9,7,4,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl
Warren,9,3,5,10/02/2020,Registered Voter,The Hill/HarrisX
Warren,17,10,3,17/12/2019,Likely Voter,Economist/YouGov
Gabbard,2,12,8,28/12/2019,Registered Voter,The Hill/HarrisX
Warren,14,12,4,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl
Klobuchar,2,13,7,29/12/2019,Registered Voter,Harvard-Harris
Warren,12,13,3,29/12/2019,Registered Voter,Harvard-Harris
Sanders,23,6,2,12/01/2020,Registered Voter,Politico/Morning Consult
Warren,10,11,5,17/02/2020,Likely Voter,SurveyUSA
Warren,10,8,5,17/02/2020,Registered Voter,Morning Consult
Bloomberg,13,11,3,29/01/2020,Registered Voter,Harvard-Harris
Klobuchar,3,8,7,05/01/2020,Registered Voter,Politico/Morning Consult
Gabbard,3,10,7,17/12/2019,Likely Voter,Economist/YouGov
Sanders,27,12,1,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl
Bloomberg,5,3,5,19/01/2020,Registered Voter,CNN
Gabbard,0,12,8,23/01/2020,Likely Voter,ABC News/Wash Post
Bloomberg,6,6,5,12/01/2020,Registered Voter,Quinnipiac
Biden,28,7,1,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl
Buttigieg,8,16,5,17/02/2020,Registered Voter,ABC News/Wash Post
Sanders,21,11,2,16/01/2020,Likely Voter,SurveyUSA
Steyer,2,16,7,17/02/2020,Registered Voter,ABC News/Wash Post
Gabbard,3,5,7,07/01/2020,Registered Voter,Economist/YouGov
Klobuchar,4,6,6,12/01/2020,Registered Voter,Quinnipiac
Warren,13,3,3,23/01/2020,Likely Voter,Emerson
Steyer,1,8,8,09/02/2020,Registered Voter,Quinnipiac
Sanders,19,10,2,14/01/2020,Registered Voter,The Hill/HarrisX
Biden,31,10,1,22/12/2019,Registered Voter,Politico/Morning Consult
Steyer,1,3,8,23/01/2020,Likely Voter,Emerson
Klobuchar,7,4,6,11/02/2020,Likely Voter,Economist/YouGov
Steyer,1,12,7,23/01/2020,Likely Voter,ABC News/Wash Post
Klobuchar,2,12,8,28/12/2019,Registered Voter,The Hill/HarrisX
Gabbard,4,7,7,18/02/2020,Likely Voter,Emerson
Warren,15,4,3,11/02/2020,Likely Voter,Economist/YouGov
Warren,13,10,4,09/02/2020,Registered Voter,Monmouth
Buttigieg,8,12,6,16/02/2020,Registered Voter,NPR/PBS/Marist
Bloomberg,19,12,2,16/02/2020,Registered Voter,NPR/PBS/Marist
Buttigieg,11,3,4,19/01/2020,Registered Voter,CNN
Klobuchar,4,7,6,21/01/2020,Likely Voter,Economist/YouGov
Sanders,15,6,3,11/01/2020,Registered Voter,IBD/TIPP
Biden,23,3,1,10/02/2020,Registered Voter,The Hill/HarrisX
Bloomberg,12,4,4,11/02/2020,Likely Voter,Economist/YouGov
Steyer,2,6,8,18/02/2020,Likely Voter,Economist/YouGov
Klobuchar,3,11,7,29/12/2019,Registered Voter,Politico/Morning Consult
Biden,16,10,2,09/02/2020,Registered Voter,Monmouth
Bloomberg,14,12,4,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl
Klobuchar,3,5,7,07/01/2020,Registered Voter,Economist/YouGov
Steyer,3,3,7,22/01/2020,Likely Voter,FOX News
Bloomberg,4,10,6,17/12/2019,Likely Voter,Economist/YouGov
Biden,26,7,1,30/01/2020,Registered Voter,IBD/TIPP
Warren,12,7,4,18/02/2020,Likely Voter,Emerson
Klobuchar,5,3,6,15/02/2020,Registered Voter,The Hill/HarrisX
Klobuchar,7,5,5,27/01/2020,Registered Voter,Quinnipiac
Bloomberg,10,5,4,19/01/2020,Likely Voter,Politico/Morning Consult
Steyer,3,10,7,14/01/2020,Registered Voter,The Hill/HarrisX
Steyer,2,12,7,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl
Bloomberg,14,7,3,18/02/2020,Likely Voter,Emerson
Gabbard,2,7,7,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl
Steyer,2,9,7,22/02/2020,Likely Voter,CBS News/YouGov
Klobuchar,4,3,6,19/01/2020,Registered Voter,CNN
Sanders,22,12,2,23/01/2020,Likely Voter,ABC News/Wash Post
Bloomberg,4,2,6,28/01/2020,Registered Voter,Economist/YouGov
Gabbard,2,8,8,17/02/2020,Registered Voter,Morning Consult
Gabbard,1,13,8,29/12/2019,Registered Voter,Harvard-Harris
Bloomberg,16,3,3,10/02/2020,Registered Voter,The Hill/HarrisX
Gabbard,1,10,8,14/01/2020,Registered Voter,The Hill/HarrisX
Warren,12,7,3,17/12/2019,Registered Voter,Emerson
Warren,14,7,3,20/01/2020,Registered Voter,Monmouth
Bloomberg,3,7,6,17/12/2019,Registered Voter,Emerson
Gabbard,1,11,8,29/01/2020,Registered Voter,Harvard-Harris
Steyer,2,5,8,07/01/2020,Registered Voter,Economist/YouGov
Klobuchar,3,6,7,12/01/2020,Registered Voter,Politico/Morning Consult
Klobuchar,2,12,8,22/01/2020,Registered Voter,The Hill/HarrisX
Sanders,23,8,2,05/01/2020,Registered Voter,Politico/Morning Consult
Buttigieg,4,12,6,23/01/2020,Likely Voter,ABC News/Wash Post
Buttigieg,8,8,4,05/01/2020,Registered Voter,Politico/Morning Consult
Biden,17,8,2,09/02/2020,Registered Voter,Quinnipiac
Gabbard,1,11,8,29/12/2019,Registered Voter,Politico/Morning Consult
Warren,14,8,3,05/01/2020,Registered Voter,Politico/Morning Consult
Steyer,1,6,8,12/01/2020,Registered Voter,Quinnipiac
Steyer,2,11,7,17/02/2020,Likely Voter,SurveyUSA
Klobuchar,3,3,7,22/01/2020,Likely Voter,FOX News
Bloomberg,6,7,5,21/01/2020,Likely Voter,Economist/YouGov
Sanders,21,10,2,22/12/2019,Registered Voter,Politico/Morning Consult
Bloomberg,6,11,5,29/12/2019,Registered Voter,Politico/Morning Consult
Biden,26,3,1,22/01/2020,Likely Voter,FOX News
Steyer,3,3,7,15/02/2020,Registered Voter,The Hill/HarrisX
Buttigieg,6,5,6,27/01/2020,Registered Voter,Quinnipiac
Steyer,2,3,7,19/01/2020,Registered Voter,CNN
Gabbard,1,7,8,30/01/2020,Registered Voter,IBD/TIPP
Steyer,4,8,6,05/01/2020,Registered Voter,Politico/Morning Consult
Klobuchar,3,7,6,30/01/2020,Registered Voter,IBD/TIPP
Warren,14,11,3,29/12/2019,Registered Voter,Politico/Morning Consult
Klobuchar,2,11,8,16/01/2020,Likely Voter,SurveyUSA
Buttigieg,8,7,4,17/12/2019,Registered Voter,Emerson
