Candidate,Spread from 1st to 2nd Place,Rank,End Date,Sample Type,Poll,Poll Results
Bloomberg,7,4,30/01/2020,Registered Voter,IBD/TIPP,8
Warren,7,3,30/01/2020,Registered Voter,IBD/TIPP,13
Sanders,7,2,30/01/2020,Registered Voter,IBD/TIPP,19
Biden,7,1,30/01/2020,Registered Voter,IBD/TIPP,26
Gabbard,16,8,28/01/2020,Likely Voter,LA Times/USC,1
Steyer,16,7,28/01/2020,Likely Voter,LA Times/USC,2
Klobuchar,16,6,28/01/2020,Likely Voter,LA Times/USC,3
Bloomberg,16,5,28/01/2020,Likely Voter,LA Times/USC,9
Buttigieg,16,5,28/01/2020,Likely Voter,LA Times/USC,9
Warren,16,3,28/01/2020,Likely Voter,LA Times/USC,16
Sanders,16,2,28/01/2020,Likely Voter,LA Times/USC,18
Biden,16,1,28/01/2020,Likely Voter,LA Times/USC,34
Steyer,7,8,20/01/2020,Registered Voter,Monmouth,1
Gabbard,7,8,20/01/2020,Registered Voter,Monmouth,1
Klobuchar,7,6,20/01/2020,Registered Voter,Monmouth,5
Buttigieg,7,5,20/01/2020,Registered Voter,Monmouth,6
Bloomberg,7,4,20/01/2020,Registered Voter,Monmouth,9
Warren,7,3,20/01/2020,Registered Voter,Monmouth,14
Sanders,7,2,20/01/2020,Registered Voter,Monmouth,23
Biden,7,1,20/01/2020,Registered Voter,Monmouth,30
Steyer,10,8,09/02/2020,Registered Voter,Monmouth,1
Gabbard,10,8,09/02/2020,Registered Voter,Monmouth,1
Klobuchar,10,6,09/02/2020,Registered Voter,Monmouth,6
Bloomberg,10,5,09/02/2020,Registered Voter,Monmouth,11
Warren,10,4,09/02/2020,Registered Voter,Monmouth,13
Buttigieg,10,4,09/02/2020,Registered Voter,Monmouth,13
Biden,10,2,09/02/2020,Registered Voter,Monmouth,16
Sanders,10,1,09/02/2020,Registered Voter,Monmouth,26
Gabbard,8,8,17/02/2020,Registered Voter,Morning Consult,2
Steyer,8,7,17/02/2020,Registered Voter,Morning Consult,3
Klobuchar,8,6,17/02/2020,Registered Voter,Morning Consult,6
Warren,8,5,17/02/2020,Registered Voter,Morning Consult,10
Buttigieg,8,4,17/02/2020,Registered Voter,Morning Consult,12
Biden,8,3,17/02/2020,Registered Voter,Morning Consult,19
Bloomberg,8,2,17/02/2020,Registered Voter,Morning Consult,20
Sanders,8,1,17/02/2020,Registered Voter,Morning Consult,28
Steyer,7,8,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl,1
Gabbard,7,7,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl,2
Bloomberg,7,6,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl,4
Klobuchar,7,5,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl,5
Buttigieg,7,4,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl,9
Warren,7,3,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl,18
Sanders,7,2,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl,21
Biden,7,1,17/12/2019,Likely Voter,NBC News/Wall St. Jrnl,28
Steyer,1,8,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl,2
Gabbard,1,8,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl,2
Klobuchar,1,6,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl,5
Buttigieg,1,5,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl,7
Bloomberg,1,4,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl,9
Warren,1,3,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl,15
Biden,1,2,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl,26
Sanders,1,1,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl,27
Gabbard,12,8,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl,1
Steyer,12,7,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl,2
Klobuchar,12,6,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl,7
Buttigieg,12,5,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl,13
Bloomberg,12,4,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl,14
Warren,12,4,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl,14
Biden,12,2,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl,15
Sanders,12,1,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl,27
Gabbard,12,8,16/02/2020,Registered Voter,NPR/PBS/Marist,0
Steyer,12,7,16/02/2020,Registered Voter,NPR/PBS/Marist,2
Buttigieg,12,6,16/02/2020,Registered Voter,NPR/PBS/Marist,8
Klobuchar,12,5,16/02/2020,Registered Voter,NPR/PBS/Marist,9
Warren,12,4,16/02/2020,Registered Voter,NPR/PBS/Marist,12
Biden,12,3,16/02/2020,Registered Voter,NPR/PBS/Marist,15
Bloomberg,12,2,16/02/2020,Registered Voter,NPR/PBS/Marist,19
Sanders,12,1,16/02/2020,Registered Voter,NPR/PBS/Marist,31
Gabbard,10,8,22/12/2019,Registered Voter,Politico/Morning Consult,2
Klobuchar,10,7,22/12/2019,Registered Voter,Politico/Morning Consult,3
Steyer,10,7,22/12/2019,Registered Voter,Politico/Morning Consult,3
Bloomberg,10,5,22/12/2019,Registered Voter,Politico/Morning Consult,6
Buttigieg,10,4,22/12/2019,Registered Voter,Politico/Morning Consult,9
Warren,10,3,22/12/2019,Registered Voter,Politico/Morning Consult,15
Sanders,10,2,22/12/2019,Registered Voter,Politico/Morning Consult,21
Biden,10,1,22/12/2019,Registered Voter,Politico/Morning Consult,31
Gabbard,11,8,29/12/2019,Registered Voter,Politico/Morning Consult,1
Klobuchar,11,7,29/12/2019,Registered Voter,Politico/Morning Consult,3
Steyer,11,7,29/12/2019,Registered Voter,Politico/Morning Consult,3
Bloomberg,11,5,29/12/2019,Registered Voter,Politico/Morning Consult,6
Buttigieg,11,4,29/12/2019,Registered Voter,Politico/Morning Consult,8
Warren,11,3,29/12/2019,Registered Voter,Politico/Morning Consult,14
Sanders,11,2,29/12/2019,Registered Voter,Politico/Morning Consult,21
Biden,11,1,29/12/2019,Registered Voter,Politico/Morning Consult,32
Gabbard,8,8,05/01/2020,Registered Voter,Politico/Morning Consult,2
Klobuchar,8,7,05/01/2020,Registered Voter,Politico/Morning Consult,3
Steyer,8,6,05/01/2020,Registered Voter,Politico/Morning Consult,4
Bloomberg,8,5,05/01/2020,Registered Voter,Politico/Morning Consult,7
Buttigieg,8,4,05/01/2020,Registered Voter,Politico/Morning Consult,8
Warren,8,3,05/01/2020,Registered Voter,Politico/Morning Consult,14
Sanders,8,2,05/01/2020,Registered Voter,Politico/Morning Consult,23
Biden,8,1,05/01/2020,Registered Voter,Politico/Morning Consult,31
Gabbard,6,8,12/01/2020,Registered Voter,Politico/Morning Consult,2
Klobuchar,6,7,12/01/2020,Registered Voter,Politico/Morning Consult,3
Steyer,6,6,12/01/2020,Registered Voter,Politico/Morning Consult,4
Bloomberg,6,5,12/01/2020,Registered Voter,Politico/Morning Consult,8
Buttigieg,6,5,12/01/2020,Registered Voter,Politico/Morning Consult,8
Warren,6,3,12/01/2020,Registered Voter,Politico/Morning Consult,14
Sanders,6,2,12/01/2020,Registered Voter,Politico/Morning Consult,23
Biden,6,1,12/01/2020,Registered Voter,Politico/Morning Consult,29
Gabbard,5,8,19/01/2020,Likely Voter,Politico/Morning Consult,2
Klobuchar,5,7,19/01/2020,Likely Voter,Politico/Morning Consult,3
Steyer,5,7,19/01/2020,Likely Voter,Politico/Morning Consult,3
Buttigieg,5,5,19/01/2020,Likely Voter,Politico/Morning Consult,8
Bloomberg,5,4,19/01/2020,Likely Voter,Politico/Morning Consult,10
Warren,5,3,19/01/2020,Likely Voter,Politico/Morning Consult,15
Sanders,5,2,19/01/2020,Likely Voter,Politico/Morning Consult,24
Biden,5,1,19/01/2020,Likely Voter,Politico/Morning Consult,29
Gabbard,6,8,26/01/2020,Registered Voter,Politico/Morning Consult,1
Klobuchar,6,7,26/01/2020,Registered Voter,Politico/Morning Consult,3
Steyer,6,7,26/01/2020,Registered Voter,Politico/Morning Consult,3
Buttigieg,6,5,26/01/2020,Registered Voter,Politico/Morning Consult,7
Bloomberg,6,4,26/01/2020,Registered Voter,Politico/Morning Consult,12
Warren,6,3,26/01/2020,Registered Voter,Politico/Morning Consult,14
Sanders,6,2,26/01/2020,Registered Voter,Politico/Morning Consult,23
Biden,6,1,26/01/2020,Registered Voter,Politico/Morning Consult,29
Gabbard,4,8,02/02/2020,Registered Voter,Politico/Morning Consult,2
Klobuchar,4,7,02/02/2020,Registered Voter,Politico/Morning Consult,3
Steyer,4,7,02/02/2020,Registered Voter,Politico/Morning Consult,3
Buttigieg,4,5,02/02/2020,Registered Voter,Politico/Morning Consult,6
Bloomberg,4,4,02/02/2020,Registered Voter,Politico/Morning Consult,14
Warren,4,4,02/02/2020,Registered Voter,Politico/Morning Consult,14
Sanders,4,2,02/02/2020,Registered Voter,Politico/Morning Consult,24
Biden,4,1,02/02/2020,Registered Voter,Politico/Morning Consult,28
Gabbard,3,8,09/02/2020,Registered Voter,Politico/Morning Consult,1
Klobuchar,3,7,09/02/2020,Registered Voter,Politico/Morning Consult,3
Steyer,3,7,09/02/2020,Registered Voter,Politico/Morning Consult,3
Warren,3,5,09/02/2020,Registered Voter,Politico/Morning Consult,11
Buttigieg,3,5,09/02/2020,Registered Voter,Politico/Morning Consult,11
Bloomberg,3,3,09/02/2020,Registered Voter,Politico/Morning Consult,17
Biden,3,2,09/02/2020,Registered Voter,Politico/Morning Consult,22
Sanders,3,1,09/02/2020,Registered Voter,Politico/Morning Consult,25
Steyer,6,8,12/01/2020,Registered Voter,Quinnipiac,1
Gabbard,6,8,12/01/2020,Registered Voter,Quinnipiac,1
Klobuchar,6,6,12/01/2020,Registered Voter,Quinnipiac,4
Bloomberg,6,5,12/01/2020,Registered Voter,Quinnipiac,6
Buttigieg,6,4,12/01/2020,Registered Voter,Quinnipiac,8
Warren,6,3,12/01/2020,Registered Voter,Quinnipiac,16
Sanders,6,2,12/01/2020,Registered Voter,Quinnipiac,19
Biden,6,1,12/01/2020,Registered Voter,Quinnipiac,25
Gabbard,5,8,27/01/2020,Registered Voter,Quinnipiac,1
Steyer,5,7,27/01/2020,Registered Voter,Quinnipiac,2
Buttigieg,5,6,27/01/2020,Registered Voter,Quinnipiac,6
Klobuchar,5,5,27/01/2020,Registered Voter,Quinnipiac,7
Bloomberg,5,4,27/01/2020,Registered Voter,Quinnipiac,8
Warren,5,3,27/01/2020,Registered Voter,Quinnipiac,15
Sanders,5,2,27/01/2020,Registered Voter,Quinnipiac,21
Biden,5,1,27/01/2020,Registered Voter,Quinnipiac,26
Steyer,8,8,09/02/2020,Registered Voter,Quinnipiac,1
Gabbard,8,8,09/02/2020,Registered Voter,Quinnipiac,1
Klobuchar,8,6,09/02/2020,Registered Voter,Quinnipiac,4
Buttigieg,8,5,09/02/2020,Registered Voter,Quinnipiac,10
Warren,8,4,09/02/2020,Registered Voter,Quinnipiac,14
Bloomberg,8,3,09/02/2020,Registered Voter,Quinnipiac,15
Biden,8,2,09/02/2020,Registered Voter,Quinnipiac,17
Sanders,8,1,09/02/2020,Registered Voter,Quinnipiac,25
Klobuchar,11,8,16/01/2020,Likely Voter,SurveyUSA,2
Gabbard,11,8,16/01/2020,Likely Voter,SurveyUSA,2
Steyer,11,6,16/01/2020,Likely Voter,SurveyUSA,3
Bloomberg,11,5,16/01/2020,Likely Voter,SurveyUSA,9
Buttigieg,11,5,16/01/2020,Likely Voter,SurveyUSA,9
Warren,11,3,16/01/2020,Likely Voter,SurveyUSA,14
Sanders,11,2,16/01/2020,Likely Voter,SurveyUSA,21
Biden,11,1,16/01/2020,Likely Voter,SurveyUSA,32
Steyer,11,7,17/02/2020,Likely Voter,SurveyUSA,2
Klobuchar,11,6,17/02/2020,Likely Voter,SurveyUSA,4
Warren,11,5,17/02/2020,Likely Voter,SurveyUSA,10
Buttigieg,11,4,17/02/2020,Likely Voter,SurveyUSA,12
Biden,11,3,17/02/2020,Likely Voter,SurveyUSA,18
Bloomberg,11,3,17/02/2020,Likely Voter,SurveyUSA,18
Sanders,11,1,17/02/2020,Likely Voter,SurveyUSA,29
Klobuchar,12,8,28/12/2019,Registered Voter,The Hill/HarrisX,2
Steyer,12,8,28/12/2019,Registered Voter,The Hill/HarrisX,2
Gabbard,12,8,28/12/2019,Registered Voter,The Hill/HarrisX,2
Buttigieg,12,5,28/12/2019,Registered Voter,The Hill/HarrisX,6
Bloomberg,12,4,28/12/2019,Registered Voter,The Hill/HarrisX,11
Warren,12,4,28/12/2019,Registered Voter,The Hill/HarrisX,11
Sanders,12,2,28/12/2019,Registered Voter,The Hill/HarrisX,16
Biden,12,1,28/12/2019,Registered Voter,The Hill/HarrisX,28
Gabbard,10,8,14/01/2020,Registered Voter,The Hill/HarrisX,1
Klobuchar,10,7,14/01/2020,Registered Voter,The Hill/HarrisX,3
Steyer,10,7,14/01/2020,Registered Voter,The Hill/HarrisX,3
Buttigieg,10,5,14/01/2020,Registered Voter,The Hill/HarrisX,4
Bloomberg,10,4,14/01/2020,Registered Voter,The Hill/HarrisX,7
Warren,10,3,14/01/2020,Registered Voter,The Hill/HarrisX,11
Sanders,10,2,14/01/2020,Registered Voter,The Hill/HarrisX,19
Biden,10,1,14/01/2020,Registered Voter,The Hill/HarrisX,29
Klobuchar,12,8,22/01/2020,Registered Voter,The Hill/HarrisX,2
Gabbard,12,8,22/01/2020,Registered Voter,The Hill/HarrisX,2
Steyer,12,6,22/01/2020,Registered Voter,The Hill/HarrisX,4
Buttigieg,12,5,22/01/2020,Registered Voter,The Hill/HarrisX,5
Warren,12,4,22/01/2020,Registered Voter,The Hill/HarrisX,9
Bloomberg,12,3,22/01/2020,Registered Voter,The Hill/HarrisX,11
Sanders,12,2,22/01/2020,Registered Voter,The Hill/HarrisX,17
Biden,12,1,22/01/2020,Registered Voter,The Hill/HarrisX,29
Gabbard,3,8,10/02/2020,Registered Voter,The Hill/HarrisX,1
Klobuchar,3,7,10/02/2020,Registered Voter,The Hill/HarrisX,3
Steyer,3,7,10/02/2020,Registered Voter,The Hill/HarrisX,3
Warren,3,5,10/02/2020,Registered Voter,The Hill/HarrisX,9
Buttigieg,3,5,10/02/2020,Registered Voter,The Hill/HarrisX,9
Bloomberg,3,3,10/02/2020,Registered Voter,The Hill/HarrisX,16
Sanders,3,2,10/02/2020,Registered Voter,The Hill/HarrisX,20
Biden,3,1,10/02/2020,Registered Voter,The Hill/HarrisX,23
Gabbard,3,8,15/02/2020,Registered Voter,The Hill/HarrisX,0
Steyer,3,7,15/02/2020,Registered Voter,The Hill/HarrisX,3
Klobuchar,3,6,15/02/2020,Registered Voter,The Hill/HarrisX,5
Buttigieg,3,5,15/02/2020,Registered Voter,The Hill/HarrisX,10
Warren,3,4,15/02/2020,Registered Voter,The Hill/HarrisX,12
Bloomberg,3,3,15/02/2020,Registered Voter,The Hill/HarrisX,18
Biden,3,2,15/02/2020,Registered Voter,The Hill/HarrisX,19
Sanders,3,1,15/02/2020,Registered Voter,The Hill/HarrisX,22
