Hour,Minute,From,To
14,7,10,G
14,8,G,11
14,8,G,9
14,9,4,1
14,9,G,6
14,10,G,11
14,10,1,G
14,11,G,3
14,11,10,G
14,12,1,G
14,13,G,11
14,13,G,4
14,14,11,G
14,15,11,G
14,16,G,8
14,17,G,7
14,18,G,6
14,21,8,4
14,21,G,9
14,22,4,G
14,22,2,G
14,23,1,G
14,23,G,8
14,24,G,8
14,24,G,1
14,25,G,9
14,26,7,10
14,26,4,11
14,27,B,1
14,28,4,8
14,28,3,5
14,29,G,9
14,32,8,6
14,33,G,7
14,34,1,G
14,34,2,1
14,37,8,G
14,38,7,4
14,39,6,G
14,40,G,11
14,40,8,G
14,42,8,G
14,42,6,G
14,42,G,4
14,43,G,7
14,43,B,G
14,45,G,8
14,46,8,G
14,47,G,10
14,47,11,10
14,48,8,G
14,49,G,2
14,50,G,4
14,52,G,11
14,52,8,G
14,52,G,8
14,53,G,9
14,54,9,8
14,55,6,1
14,55,10,6
14,56,6,8
14,57,B,6
14,58,G,3
14,58,G,11
15,3,G,8
15,3,5,9
15,4,B,3
15,5,G,1
15,6,10,G
15,6,G,4
15,7,2,G
15,7,G,9
15,8,1,G
15,10,B,2
15,10,7,G
15,11,5,1
15,12,7,3
15,13,7,G
15,13,B,G
15,13,G,10
15,14,9,10
15,14,G,3
15,15,3,6
15,15,10,4
15,16,5,6
15,17,G,5
15,18,G,10
15,18,G,5
15,19,B,11
15,19,3,G
15,20,G,8
15,20,G,9
15,21,6,5
15,22,2,10
15,22,G,8
15,22,7,6
15,24,4,G
15,25,4,G
15,26,11,5
15,27,11,G
15,27,B,G
15,28,G,9
15,29,5,G
15,29,G,9
15,30,10,9
15,31,G,6
15,32,G,1
15,32,10,8
15,34,5,G
15,34,6,4
15,35,7,G
15,35,G,B
15,36,G,8
15,37,11,G
15,38,9,4
15,38,9,B
15,39,7,G
15,40,11,G
15,40,9,4
15,41,7,G
15,41,2,G
15,42,11,G
15,43,G,5
15,44,G,B
15,44,7,G
15,45,11,G
15,47,G,5
15,48,10,5
15,48,6,G
15,49,G,3
15,50,B,G
15,50,1,G
15,51,G,6
15,52,5,B
15,52,8,6
15,53,G,10
15,53,2,5
15,53,G,10
15,54,11,10
15,54,11,G
15,55,11,2
15,55,2,1
15,56,1,11
15,57,11,G
15,58,5,10
15,59,1,G
15,59,3,G
16,1,6,G
16,1,G,6
16,3,3,G
16,4,G,1
16,5,B,4
16,5,8,G
16,6,10,G
16,6,8,G
16,8,4,9
16,9,6,G
16,9,4,7
16,10,11,4
16,10,4,G
16,11,8,B
16,12,9,G
16,13,G,11
16,13,G,10
16,13,G,5
16,14,G,B
16,15,8,G
16,16,3,10
16,16,G,B
16,17,7,G
16,18,G,5
16,18,8,G
16,20,11,1
16,20,G,B
16,20,8,B
16,21,B,G
16,21,4,5
16,21,5,3
16,22,G,8
16,22,1,G
16,23,8,G
16,23,6,G
16,24,B,G
16,24,2,G
16,25,G,8
16,25,6,G
16,26,G,4
16,27,1,G
16,27,2,9
16,29,B,G
16,32,8,3
16,32,G,3
16,32,11,2
16,33,G,11
16,33,G,7
16,33,5,1
16,34,4,9
16,35,G,5
16,35,3,G
16,36,G,3
16,37,7,G
16,37,G,B
16,38,7,G
16,38,G,5
16,39,6,G
16,39,10,4
16,40,1,G
16,41,G,4
16,42,3,1
16,42,1,G
16,43,G,3
16,43,4,G
16,44,G,B
16,45,11,2
16,46,9,4
16,46,G,10
16,47,G,9
16,48,10,7
16,49,2,G
16,49,G,7
16,49,6,3
16,51,G,10
16,52,B,5
16,52,G,3
16,54,G,9
16,55,9,2
16,55,9,1
16,56,G,6
16,58,1,4
16,59,G,8
16,59,10,G
17,1,6,G
17,1,9,G
17,1,7,11
17,3,4,G
17,3,G,4
17,4,6,2
17,4,B,3
17,5,7,9
17,7,G,4
17,8,8,7
17,9,4,3
17,9,3,G
17,11,8,G
17,11,4,11
17,11,B,G
17,12,G,B
17,12,G,6
17,12,1,G
17,13,B,G
17,13,11,6
17,15,7,B
17,15,2,B
17,16,6,G
17,17,G,10
17,18,7,G
17,18,G,2
17,19,G,9
17,20,1,G
17,21,7,3
17,22,8,7
17,22,G,5
17,24,8,7
17,24,11,G
17,25,6,3
17,25,B,11
17,26,G,3
17,27,G,4
17,27,1,G
17,27,1,11
17,28,G,4
17,29,3,G
17,31,2,G
17,31,8,G
17,32,7,2
17,32,1,7
17,32,5,6
17,33,8,G
17,33,9,G
17,34,1,G
17,35,10,G
17,36,6,G
17,36,G,2
17,36,B,G
17,37,G,3
17,37,10,2
17,38,5,G
17,38,11,G
17,40,8,6
17,41,9,G
17,41,G,6
17,42,2,6
17,42,8,G
17,43,4,1
17,43,7,G
17,43,G,6
17,44,10,G
17,45,2,8
17,45,11,G
17,45,6,10
17,47,5,4
17,47,1,G
17,47,G,2
17,48,G,8
17,48,B,8
17,49,10,G
17,50,G,11
17,51,G,4
17,51,2,G
17,52,G,B
17,52,3,G
17,52,10,11
17,53,B,G
17,54,8,2
17,55,G,5
17,55,G,B
17,55,G,3
17,58,11,9
17,58,6,11
17,58,11,G
17,59,G,6
18,2,11,2
18,2,4,3
18,3,G,7
18,4,9,G
18,4,11,B
18,5,8,4
18,5,8,G
18,6,1,8
18,6,G,7
18,7,1,G
18,7,7,10
18,7,G,10
18,8,G,1
18,8,11,G
18,9,4,3
18,9,B,1
18,9,10,G
18,10,G,11
18,10,10,G
18,11,G,9
18,11,10,2
18,12,3,G
18,12,B,G
18,13,G,8
18,13,G,3
18,15,8,5
18,15,10,5
18,17,5,G
18,17,11,G
18,18,11,6
18,18,10,7
18,19,G,3
18,20,G,9
18,20,1,11
18,21,7,4
18,22,7,G
18,22,G,1
18,23,G,2
18,23,G,11
18,24,G,11
18,25,5,G
18,26,8,10
18,27,B,4
18,28,9,4
18,29,G,9
18,29,8,G
18,30,6,9
18,31,1,10
18,32,2,4
18,32,6,G
18,33,1,2
18,34,6,1
18,35,9,11
18,36,9,G
18,38,2,G
18,38,1,B
18,38,1,3
18,39,5,7
18,40,8,G
18,40,4,G
18,41,G,9
18,43,1,G
18,44,B,G
18,44,B,4
18,45,11,G
18,45,7,G
18,46,G,6
18,47,1,11
18,47,2,B
18,49,8,3
18,49,8,5
18,52,6,G
18,52,1,B
18,53,4,G
18,55,8,G
18,56,9,6
18,56,5,3
18,57,B,11
18,58,8,G
18,58,G,6
18,58,10,8
18,59,4,1
19,1,1,9
19,1,5,G
19,2,G,11
19,2,G,11
19,2,G,4
19,3,9,3
19,4,8,G
19,5,5,G
19,6,4,G
19,6,G,2
19,9,11,G
19,9,B,G
19,9,G,11
19,11,G,7
19,13,8,G
19,13,1,G
19,14,10,7
19,14,2,G
19,14,9,10
19,17,G,4
19,18,6,G
19,18,B,5
19,19,B,7
19,19,5,4
19,20,G,5
19,20,11,5
19,21,G,7
19,21,8,7
19,22,B,G
19,23,4,G
19,24,G,2
19,25,B,5
19,25,G,4
19,26,G,10
19,26,8,3
19,27,4,G
19,27,6,4
19,28,G,5
19,28,2,G
19,30,G,7
19,30,2,4
19,31,G,10
19,33,G,3
19,35,G,1
19,36,G,5
19,37,1,G
19,38,1,7
19,40,3,G
19,40,1,G
19,41,1,G
19,41,9,7
19,42,8,G
19,43,10,G
19,44,G,9
19,44,G,3
19,46,7,G
19,46,9,G
19,47,10,G
19,47,8,4
19,48,G,6
19,50,8,2
19,50,9,7
19,51,B,6
19,52,B,9
19,52,6,5
19,53,G,7
19,53,G,1
19,54,G,6
19,55,1,G
19,55,G,7
19,55,8,G
19,56,G,11
19,57,B,G
19,58,10,G
19,59,G,7
19,59,3,G
20,1,1,6
20,2,3,G
20,3,6,G
20,3,11,8
20,4,5,G
20,5,G,2
20,6,G,6
20,7,5,G
20,7,5,G
20,8,10,G
20,8,G,2
20,8,7,1
20,11,9,7
20,11,2,G
20,12,G,9
20,13,8,G
20,14,G,7
20,15,11,8
20,15,8,6
20,16,G,2
20,16,7,G
20,17,G,10
20,17,G,7
20,18,11,G
20,19,5,B
20,20,G,5
20,22,G,11
20,22,6,G
20,23,G,10
20,24,8,G
20,24,G,B
20,25,3,4
20,28,7,10
20,29,6,10
20,30,G,1
20,30,7,G
20,31,5,G
20,31,B,5
20,32,B,8
20,32,9,1
20,33,B,1
20,34,11,6
20,36,10,2
20,38,1,G
20,39,G,11
20,39,G,1
20,40,B,G
20,41,G,9
20,42,G,B
20,44,4,G
20,44,9,3
20,46,G,11
20,47,10,G
20,47,G,4
20,48,9,B
20,49,4,7
20,49,10,5
20,50,G,B
20,50,B,G
20,52,11,8
20,53,1,G
20,53,G,11
20,54,9,G
20,55,11,5
20,56,G,B
20,57,5,11
20,57,4,G
20,59,9,6
21,2,B,G
21,2,7,11
21,4,9,G
21,5,G,9
21,5,9,5
21,6,4,G
21,7,11,G
21,8,8,G
21,9,G,9
21,9,11,G
21,9,G,10
21,10,6,G
21,10,11,G
21,13,3,G
21,14,2,G
21,14,9,7
