Bike Type,Region,Month,Sales,Profit
Hybrid,East,01/06/2022,4279.501,1005.5657
Road,North,01/07/2021,2700.996,541.9933
Mountain,South,01/02/2021,1594.214,309.129
Road,South,01/06/2022,4134.178,514.8484
Mountain,South,01/10/2021,828.696,182.7558
Mountain,North,01/01/2022,2230.009,-256.1772
Road,West,01/07/2022,13870.854,3177.5937
Hybrid,North,01/11/2022,6016.676,-1839.8231
Hybrid,South,01/11/2021,4230.192,717.7393
Hybrid,West,01/12/2022,9225.140000000,2141.6239
Mountain,South,01/10/2022,7142.368,-1510.1113
Hybrid,North,01/12/2021,11256.023,5344.9111
Mountain,North,01/06/2021,2419.783,-460.6923
Road,South,01/01/2021,1635.408,208.3408
Road,East,01/07/2021,3198.109,45.5897
Hybrid,West,01/08/2021,1451.786,442.3997
Hybrid,East,01/04/2021,3995.272,386.9161
Hybrid,North,01/01/2022,12704.288,1724.8842
Hybrid,East,01/02/2021,1564.584,364.5387
Mountain,East,01/02/2022,1773.896,-84.543600000
Hybrid,South,01/01/2022,578.2,9.705300000
Road,North,01/03/2022,4981.566,1065.6241
Hybrid,East,01/03/2021,3807.414,770.5529
Hybrid,East,01/10/2022,3576.604,710.7662
Road,South,01/08/2021,822.308,90.148600000
Mountain,West,01/06/2021,6621.247,337.0086
Road,South,01/10/2022,1120.776,130.4628
Mountain,South,01/12/2021,2683.944,656.7716
Road,East,01/01/2021,1170.03,267.9601
Hybrid,West,01/12/2021,9663.086,2187.3507
Road,South,01/03/2021,1483.936,67.2511
Road,North,01/05/2022,1473.104,284.3367
Hybrid,South,01/05/2021,3273.603,748.7224
Hybrid,North,01/06/2022,4775.696,649.8401
Mountain,East,01/01/2022,1213.661,-30.2911
Hybrid,North,01/02/2022,1391.346,-608.0694
Road,South,01/06/2021,1471.749,222.1003
Mountain,East,01/03/2021,4515.019,-139.0219
Mountain,South,01/03/2021,643.652,31.5981
Road,West,01/01/2021,998.02,293.9957
Mountain,West,01/06/2022,6533.2815,592.3337
Road,West,01/06/2022,4027.45,888.7471
Hybrid,West,01/09/2021,4458.554,1281.8822
Mountain,West,01/03/2021,2622.91,74.635400000
Road,North,01/04/2022,682.892,132.6421
Mountain,West,01/07/2022,4686.863,224.1663
Road,East,01/06/2022,6049.172,2085.3002
Hybrid,East,01/09/2022,8761.802,-376.7033
Hybrid,South,01/02/2022,1365.038,399.065
Mountain,West,01/05/2021,4920.546,626.0698
Road,East,01/12/2022,4897.24,1073.8339
Hybrid,North,01/07/2021,4242.706,543.2458
Road,East,01/03/2021,8442.424,1812.6565
Road,North,01/12/2021,3597.58,555.8216
Mountain,East,01/07/2022,2821.529,128.656
Hybrid,West,01/04/2022,2668.756,896.9505
Hybrid,West,01/04/2021,2224.709,440.4533
Mountain,West,01/01/2022,2038.506,290.6769
Road,South,01/05/2022,1802.81,364.5579
Mountain,South,01/07/2022,2002.886,295.2547
Mountain,South,01/06/2022,2301.988,192.574
Road,North,01/06/2021,2713.647,366.9489
Hybrid,South,01/06/2021,717.276,172.9593
Hybrid,North,01/04/2021,3377.474,-1977.2265
Hybrid,South,01/08/2022,3298.146,-736.272
Hybrid,South,01/07/2022,651.858,129.996
Hybrid,South,01/03/2022,2059.42,479.5158
Road,East,01/01/2022,1197.408,64.2604
Hybrid,West,01/03/2022,6998.08,1219.8984
Road,East,01/10/2022,22939.794,6759.8615
Road,North,01/10/2022,4143.286,624.9371
Mountain,North,01/07/2022,2301.744,-323.4526
Road,West,01/03/2021,8537.846,780.2307
Road,East,01/04/2022,1157.292,-95.975
Hybrid,East,01/06/2021,6492.164,1230.0823
Hybrid,West,01/09/2022,11170.549,3515.0448
Hybrid,North,01/01/2021,317.642,119.8491
Hybrid,South,01/09/2021,2793.581,504.5621
Road,West,01/10/2021,3214.608,-534.2463
Road,South,01/12/2022,4515.764,1197.4727
Mountain,East,01/06/2022,4832.552,10.893900000
Hybrid,South,01/09/2022,7391.076,2022.3802
Road,West,01/12/2021,9066.662,1082.0727
Road,East,01/02/2022,1679.814,264.2632
Road,East,01/11/2022,22584.223,6188.9111
Hybrid,North,01/10/2022,4628.352,694.1562
Road,South,01/09/2022,1500.244,307.6314
Mountain,East,01/08/2022,8848.094,-544.115
Hybrid,West,01/11/2021,7407.128,2580.1186
Road,South,01/11/2022,15456.584,-2445.5428
Mountain,South,01/08/2021,1083.9285,-145.9031
Mountain,South,01/11/2022,6950.546,-119.1716
Hybrid,North,01/09/2021,4310.474,-284.3088
Road,North,01/02/2021,69.93,0.699300000
Mountain,East,01/01/2021,1108.189,8.401700000
Road,North,01/08/2021,3244.254,317.5291
Mountain,North,01/10/2021,825.774,-110.977
Hybrid,East,01/09/2021,11701.129,2211.9062
Road,South,01/07/2021,1194.415,-34.516800000
Mountain,West,01/02/2021,572.096,10.9228
Mountain,West,01/12/2022,12362.431,1.853200000
Mountain,West,01/05/2022,2921.568,-437.0459
Mountain,East,01/06/2021,2762.682,-273.9606
Mountain,South,01/06/2021,1266.86,291.3778
Mountain,West,01/10/2021,4870.426,-392.6698
Mountain,East,01/05/2022,2419.448,-71.5198
Hybrid,North,01/08/2021,1829.908,-146.0471
Mountain,South,01/04/2021,963.524,219.6006
Mountain,West,01/01/2021,1925.464,119.2215
Hybrid,West,01/02/2022,3136.576,848.0962
Hybrid,North,01/05/2022,5555.784,1082.3155
Road,West,01/04/2022,8496.319,-2910.6197
Hybrid,South,01/07/2021,1690.964,360.2331
Road,East,01/04/2021,10747.332,2701.899
Mountain,South,01/08/2022,1485.956,304.0524
Road,South,01/07/2022,647.354,152.7017
Road,West,01/06/2021,9704.196,1157.6737
Mountain,North,01/04/2022,1179.1316,30.9971
Road,North,01/10/2021,20370.318,9307.7443
Hybrid,West,01/01/2022,5019.586,1203.9571
Hybrid,North,01/03/2022,3236.214,347.2945
Mountain,East,01/05/2021,1606.324,315.5893
Road,South,01/02/2022,29.16,8.4564
Road,North,01/11/2022,4069.806,839.548
Road,East,01/12/2021,6747.766,1354.9369
Mountain,South,01/11/2021,5835.253,29.479500000
Hybrid,East,01/10/2021,2868.656,693.2389
Road,North,01/07/2022,2418.284,576.6015
Mountain,West,01/03/2022,1674.334,128.5815
Road,West,01/11/2021,5367.131,896.6356
Mountain,East,01/09/2021,6028.317,640.6925
Mountain,South,01/07/2021,3677.04,646.0774
Road,East,01/08/2022,2353.898,577.0186
Road,West,01/10/2022,4651.807,246.1593
Road,West,01/08/2022,6230.788,1283.5003
Road,West,01/05/2022,8809.336,2208.3973
Road,North,01/09/2022,7736.274,1996.9054
Hybrid,East,01/03/2022,2256.572,669.2537
Hybrid,East,01/07/2022,3226.86,831.6523
Hybrid,North,01/03/2021,5030.656,-529.2528
Hybrid,South,01/12/2021,5302.324,494.9754
Mountain,North,01/12/2022,6504.8868,318.0389
Mountain,South,01/05/2021,3982.04,444.2456
Road,South,01/02/2021,10567.606,3102.2466
Road,West,01/05/2021,4659.04,536.6933
Hybrid,West,01/07/2022,2209.822,826.9948
Road,West,01/01/2022,5023.752,1713.6989
Road,South,01/03/2022,4231.2,1830.5183
Hybrid,North,01/04/2022,1521.1,-39.055000000
Mountain,West,01/12/2021,14391.752,57.856400000
Mountain,North,01/04/2021,2233.828,202.2254
Hybrid,West,01/06/2022,5359.088,1298.4366
Road,North,01/12/2022,4507.382,1265.1244
Mountain,North,01/02/2022,1204.4604,-327.3723
Mountain,North,01/09/2022,5034.307,-553.4614
Hybrid,South,01/05/2022,2084.355,681.0355
Hybrid,West,01/06/2021,2272.652,780.774
Road,South,01/09/2021,4648.764,1429.9847
Road,South,01/08/2022,5587.432,613.3575
Hybrid,East,01/05/2022,2218.583,510.9861
Mountain,East,01/04/2022,2745.156,225.7766
Road,East,01/10/2021,6849.128,2812.1405
Hybrid,North,01/09/2022,4572.416,-312.9779
Hybrid,West,01/10/2021,7539.66,2344.4597
Hybrid,East,01/12/2021,11776.133,3439.4314
Mountain,North,01/02/2021,394.434,-87.053
Hybrid,East,01/11/2022,12166.422,2937.9453
Hybrid,South,01/06/2022,2497.754,425.1397
Mountain,South,01/09/2022,1309.2,153.8498
Mountain,West,01/04/2022,2294.678,266.2144
Hybrid,West,01/07/2021,3287.39,632.0807
Hybrid,West,01/05/2022,3878.242,879.3889
Mountain,South,01/03/2022,353.1,84.04
Mountain,North,01/05/2022,4559.9662,398.5394
Hybrid,West,01/05/2021,1114.661,321.5384
Road,West,01/09/2022,5045.44,841.7798
Mountain,North,01/10/2022,3350.6982,-721.5726
Mountain,East,01/11/2022,10882.994,263.4004
Road,West,01/11/2022,7808.16,1092.0208
Hybrid,East,01/12/2022,8232.31,1603.6967
Road,South,01/10/2021,1099.32,122.109
Hybrid,South,01/04/2022,4553.877,1442.9978
Mountain,West,01/11/2022,14154.679,780.1552
Road,West,01/12/2022,8064.524,2025.8478
Hybrid,North,01/07/2022,4152.928,774.6414
Road,East,01/08/2021,1530.836,30.1792
Hybrid,South,01/03/2021,2110.586,464.7531
Hybrid,West,01/11/2022,6978.948,1571.0737
Road,East,01/09/2022,12660.645,1448.8115
Mountain,North,01/03/2021,5019.511,-522.4796
Mountain,South,01/02/2022,788.674,62.8532
Road,East,01/07/2022,6273.434,157.8154
Hybrid,North,01/05/2021,4327.498,718.810600000
Hybrid,South,01/11/2022,6310.291,939.907
Hybrid,North,01/06/2021,1419.718,283.6738
Road,North,01/11/2021,4330.556,841.9849
Mountain,West,01/02/2022,3099.307,150.0206
Road,East,01/09/2021,2533.046,315.6023
Mountain,South,01/05/2022,7056.576,37.143400000
Hybrid,West,01/03/2021,6398.275,355.3524
Mountain,North,01/05/2021,4610.925,438.5692
