Region,Bike Type,Month,Profit,Sales
East,Road,01/07/2021,45.5897,3198.109
East,Road,01/07/2022,157.8154,6273.434
East,Road,01/06/2021,642.4323,2482.56
East,Road,01/06/2022,2085.3002,6049.172
East,Road,01/03/2021,1812.6565,8442.424
East,Road,01/03/2022,372.3681,3864.172
East,Road,01/05/2021,2607.8923,16663.519
East,Road,01/05/2022,404.4478,1481.338
East,Road,01/11/2021,-5427.0061,11912.262
East,Road,01/11/2022,6188.9111,22584.223
East,Road,01/10/2021,2812.1405,6849.128
East,Road,01/10/2022,6759.8615,22939.794
East,Road,01/09/2021,315.6023,2533.046
East,Road,01/09/2022,1448.8115,12660.645
North,Hybrid,01/04/2021,-1977.2265,3377.474
North,Hybrid,01/04/2022,-39.0550000000002,1521.1
North,Hybrid,01/08/2021,-146.0471,1829.908
North,Hybrid,01/08/2022,433.8099,2344.942
North,Hybrid,01/12/2021,5344.9111,11256.023
North,Hybrid,01/12/2022,-2821.5387,7870.802
North,Hybrid,01/02/2021,-56.2116,651.364
North,Hybrid,01/02/2022,-608.0694,1391.346
North,Hybrid,01/01/2021,119.8491,317.642
North,Hybrid,01/01/2022,1724.8842,12704.288
North,Hybrid,01/07/2021,543.2458,4242.706
North,Hybrid,01/07/2022,774.6414,4152.928
North,Hybrid,01/06/2021,283.6738,1419.718
North,Hybrid,01/06/2022,649.8401,4775.696
North,Hybrid,01/03/2021,-529.2528,5030.656
North,Hybrid,01/03/2022,347.2945,3236.214
North,Hybrid,01/05/2021,718.810599999999,4327.498
North,Hybrid,01/05/2022,1082.3155,5555.784
North,Hybrid,01/11/2021,810.6147,4393.066
North,Hybrid,01/11/2022,-1839.8231,6016.676
North,Hybrid,01/10/2021,1564.0937,4636.26
North,Hybrid,01/10/2022,694.1562,4628.352
North,Hybrid,01/09/2021,-284.3088,4310.474
North,Hybrid,01/09/2022,-312.9779,4572.416
North,Mountain,01/04/2021,202.2254,2233.828
North,Mountain,01/04/2022,30.9971,1179.1316
North,Mountain,01/08/2021,24.4204000000001,1908.3928
North,Mountain,01/08/2022,-79.4194,461.008
North,Mountain,01/12/2021,1380.4944,10481.718
North,Mountain,01/12/2022,318.0389,6504.8868
North,Mountain,01/02/2021,-87.053,394.434
North,Mountain,01/02/2022,-327.3723,1204.4604
North,Mountain,01/01/2021,208.1487,3807.906
North,Mountain,01/01/2022,-256.1772,2230.009
North,Mountain,01/07/2021,-279.223,1950.762
North,Mountain,01/07/2022,-323.4526,2301.744
North,Mountain,01/06/2021,-460.6923,2419.783
North,Mountain,01/06/2022,109.194,5340.7652
North,Mountain,01/03/2021,-522.4796,5019.511
North,Mountain,01/03/2022,641.7256,7286.7988
North,Mountain,01/05/2021,438.5692,4610.925
North,Mountain,01/05/2022,398.5394,4559.9662
North,Mountain,01/11/2021,-181.8532,8186.6948
North,Mountain,01/11/2022,-518.3203,5068.496
North,Mountain,01/10/2021,-110.977,825.774
North,Mountain,01/10/2022,-721.5726,3350.6982
North,Mountain,01/09/2021,-865.0872,8933.4534
North,Mountain,01/09/2022,-553.4614,5034.307
North,Road,01/04/2021,430.7351,1851.05
North,Road,01/04/2022,132.6421,682.892
North,Road,01/08/2021,317.5291,3244.254
North,Road,01/08/2022,176.9821,3447.044
North,Road,01/12/2021,555.8216,3597.58
North,Road,01/12/2022,1265.1244,4507.382
North,Road,01/02/2021,0.699299999999999,69.93
North,Road,01/02/2022,-63.7439000000001,739.016
North,Road,01/01/2021,146.0948,1816.608
North,Road,01/01/2022,1397.2275,6756.359
North,Road,01/07/2021,541.9933,2700.996
North,Road,01/07/2022,576.6015,2418.284
North,Road,01/06/2021,366.9489,2713.647
North,Road,01/06/2022,450.4623,2850.3
North,Road,01/03/2021,445.6921,3103.646
North,Road,01/03/2022,1065.6241,4981.566
North,Road,01/05/2021,219.4683,2805.542
North,Road,01/05/2022,284.3367,1473.104
North,Road,01/11/2021,841.9849,4330.556
North,Road,01/11/2022,839.548,4069.806
North,Road,01/10/2021,9307.7443,20370.318
North,Road,01/10/2022,624.9371,4143.286
North,Road,01/09/2021,585.8064,4259.278
North,Road,01/09/2022,1996.9054,7736.274
South,Hybrid,01/04/2021,49.375,1049.992
South,Hybrid,01/04/2022,1442.9978,4553.877
South,Hybrid,01/08/2021,228.364,1143.774
South,Hybrid,01/08/2022,-736.272,3298.146
South,Hybrid,01/12/2021,494.9754,5302.324
South,Hybrid,01/12/2022,850.5313,5108.69
South,Hybrid,01/02/2021,773.6854,3451.284
South,Hybrid,01/02/2022,399.065,1365.038
South,Hybrid,01/01/2021,730.929,1665.834
South,Hybrid,01/01/2022,9.70530000000002,578.2
South,Hybrid,01/07/2021,360.2331,1690.964
South,Hybrid,01/07/2022,129.996,651.858
South,Hybrid,01/06/2021,172.9593,717.276
South,Hybrid,01/06/2022,425.1397,2497.754
South,Hybrid,01/03/2021,464.7531,2110.586
South,Hybrid,01/03/2022,479.5158,2059.42
South,Hybrid,01/05/2021,748.7224,3273.603
South,Hybrid,01/05/2022,681.0355,2084.355
South,Hybrid,01/11/2021,717.7393,4230.192
South,Hybrid,01/11/2022,939.907,6310.291
South,Hybrid,01/10/2021,78.2626999999999,1237.218
South,Hybrid,01/10/2022,-863.5865,3873.807
South,Hybrid,01/09/2021,504.5621,2793.581
South,Hybrid,01/09/2022,2022.3802,7391.076
South,Mountain,01/04/2021,219.6006,963.524
South,Mountain,01/04/2022,-320.5257,2846.9925
South,Mountain,01/08/2021,-145.9031,1083.9285
South,Mountain,01/08/2022,304.0524,1485.956
South,Mountain,01/12/2021,656.7716,2683.944
South,Mountain,01/12/2022,279.2939,5585.283
South,Mountain,01/02/2021,309.129,1594.214
South,Mountain,01/02/2022,62.8532,788.674
South,Mountain,01/01/2021,-31.8112,781.184
South,Mountain,01/01/2022,-43.6488,481.856
South,Mountain,01/07/2021,646.0774,3677.04
South,Mountain,01/07/2022,295.2547,2002.886
South,Mountain,01/06/2021,291.3778,1266.86
South,Mountain,01/06/2022,192.574,2301.988
South,Mountain,01/03/2021,31.5981,643.652
South,Mountain,01/03/2022,84.04,353.1
South,Mountain,01/05/2021,444.2456,3982.04
South,Mountain,01/05/2022,37.1433999999999,7056.576
South,Mountain,01/11/2021,29.4794999999997,5835.253
South,Mountain,01/11/2022,-119.1716,6950.546
South,Mountain,01/10/2021,182.7558,828.696
South,Mountain,01/10/2022,-1510.1113,7142.368
South,Mountain,01/09/2021,513.0952,4581.106
South,Mountain,01/09/2022,153.8498,1309.2
South,Road,01/04/2021,157.8535,952.194
South,Road,01/04/2022,234.1787,2046.884
South,Road,01/08/2021,90.1486000000001,822.308
South,Road,01/08/2022,613.3575,5587.432
South,Road,01/12/2021,597.138,2910.754
South,Road,01/12/2022,1197.4727,4515.764
South,Road,01/02/2021,3102.2466,10567.606
South,Road,01/02/2022,8.4564,29.16
South,Road,01/01/2021,208.3408,1635.408
South,Road,01/01/2022,744.2458,3755.534
South,Road,01/07/2021,-34.5168000000001,1194.415
South,Road,01/07/2022,152.7017,647.354
South,Road,01/06/2021,222.1003,1471.749
South,Road,01/06/2022,514.8484,4134.178
South,Road,01/03/2021,67.2511,1483.936
South,Road,01/03/2022,1830.5183,4231.2
South,Road,01/05/2021,1076.1162,4704.59
South,Road,01/05/2022,364.5579,1802.81
South,Road,01/11/2021,2193.0593,5531.11
South,Road,01/11/2022,-2445.5428,15456.584
South,Road,01/10/2021,122.109,1099.32
South,Road,01/10/2022,130.4628,1120.776
South,Road,01/09/2021,1429.9847,4648.764
South,Road,01/09/2022,307.6314,1500.244
West,Hybrid,01/04/2021,440.4533,2224.709
West,Hybrid,01/04/2022,896.9505,2668.756
West,Hybrid,01/08/2021,442.3997,1451.786
West,Hybrid,01/08/2022,4220.3045,14860.29
West,Hybrid,01/12/2021,2187.3507,9663.086
West,Hybrid,01/12/2022,2141.6239,9225.13999999999
West,Hybrid,01/02/2021,247.9884,1127.118
West,Hybrid,01/02/2022,848.0962,3136.576
West,Hybrid,01/01/2021,231.0282,734.338
West,Hybrid,01/01/2022,1203.9571,5019.586
West,Hybrid,01/07/2021,632.0807,3287.39
West,Hybrid,01/07/2022,826.9948,2209.822
West,Hybrid,01/06/2021,780.774,2272.652
West,Hybrid,01/06/2022,1298.4366,5359.088
West,Hybrid,01/03/2021,355.3524,6398.275
West,Hybrid,01/03/2022,1219.8984,6998.08
West,Hybrid,01/05/2021,321.5384,1114.661
West,Hybrid,01/05/2022,879.3889,3878.242
West,Hybrid,01/11/2021,2580.1186,7407.128
West,Hybrid,01/11/2022,1571.0737,6978.948
West,Hybrid,01/10/2021,2344.4597,7539.66
West,Hybrid,01/10/2022,3499.4392,10958.429
West,Hybrid,01/09/2021,1281.8822,4458.554
West,Hybrid,01/09/2022,3515.0448,11170.549
West,Mountain,01/04/2021,-506.6712,6917.374
West,Mountain,01/04/2022,266.2144,2294.678
West,Mountain,01/08/2021,350.4686,6291.062
West,Mountain,01/08/2022,641.721,4646.816
West,Mountain,01/12/2021,57.8563999999997,14391.752
West,Mountain,01/12/2022,1.85319999999972,12362.431
West,Mountain,01/02/2021,10.9228,572.096
West,Mountain,01/02/2022,150.0206,3099.307
West,Mountain,01/01/2021,119.2215,1925.464
West,Mountain,01/01/2022,290.6769,2038.506
West,Mountain,01/07/2021,597.3165,5818.013
West,Mountain,01/07/2022,224.1663,4686.863
West,Mountain,01/06/2021,337.0086,6621.247
West,Mountain,01/06/2022,592.3337,6533.2815
West,Mountain,01/03/2021,74.6353999999999,2622.91
West,Mountain,01/03/2022,128.5815,1674.334
West,Mountain,01/05/2021,626.0698,4920.546
West,Mountain,01/05/2022,-437.0459,2921.568
West,Mountain,01/11/2021,965.870699999999,11148.746
West,Mountain,01/11/2022,780.1552,14154.679
West,Mountain,01/10/2021,-392.6698,4870.426
West,Mountain,01/10/2022,-462.4904,5602.2
West,Mountain,01/09/2021,413.902,7720.0045
West,Mountain,01/09/2022,527.7572,11691.048
West,Road,01/04/2021,422.976,1339.926
West,Road,01/04/2022,-2910.6197,8496.319
West,Road,01/08/2021,489.1668,4075.004
West,Road,01/08/2022,1283.5003,6230.788
West,Road,01/12/2021,1082.0727,9066.662
West,Road,01/12/2022,2025.8478,8064.524
West,Road,01/02/2021,129.4869,1400.948
West,Road,01/02/2022,650.1131,3579.034
West,Road,01/01/2021,293.9957,998.02
West,Road,01/01/2022,1713.6989,5023.752
West,Road,01/07/2021,1716.9442,6175.48
West,Road,01/07/2022,3177.5937,13870.854
West,Road,01/06/2021,1157.6737,9704.196
West,Road,01/06/2022,888.7471,4027.45
West,Road,01/03/2021,780.2307,8537.846
West,Road,01/03/2022,7766.5654,20351.684
West,Road,01/05/2021,536.6933,4659.04
West,Road,01/05/2022,2208.3973,8809.336
West,Road,01/11/2021,896.6356,5367.131
West,Road,01/11/2022,1092.0208,7808.16
West,Road,01/10/2021,-534.2463,3214.608
West,Road,01/10/2022,246.1593,4651.807
West,Road,01/09/2021,2580.62,11442.318
West,Road,01/09/2022,841.7798,5045.44
