Customer,Address Long,Address Lat,Branch,Branch Long,Branch Lat,Distance,Customer Priority
105,-0.461426,53.865486,Nottingham,-1.142578,52.948638,69.36,30
66,-0.439453,52.961875,Nottingham,-1.142578,52.948638,29.31,9
117,-0.450439,51.517289,London,-0.109863,51.481383,14.87,19
79,-2.768555,51.930718,Oxford,-1.252441,51.727028,66.32,18
109,-0.140076,51.595842,London,-0.109863,51.481383,8.02,7
2,0.406494,51.957807,London,-0.109863,51.481383,39.69,42
17,-1.867676,50.708634,Oxford,-1.252441,51.727028,75.31,20
47,-2.373047,51.508742,Oxford,-1.252441,51.727028,50.44,15
72,-1.362305,53.67068,Nottingham,-1.142578,52.948638,50.76,20
116,-0.365295,51.47283,London,-0.109863,51.481383,11.02,14
50,-0.944824,51.055207,London,-0.109863,51.481383,46.63,44
121,-0.063171,51.559997,London,-0.109863,51.481383,5.8,4
35,-2.526855,54.826008,Newcastle,-1.604004,54.965002,37.95,6
7,-1.933594,52.106505,Oxford,-1.252441,51.727028,39.16,11
111,0.016479,51.390637,London,-0.109863,51.481383,8.31,8
3,-0.142822,50.833698,London,-0.109863,51.481383,44.82,43
1,0.74707,51.549751,London,-0.109863,51.481383,37.19,40
55,-0.32959,51.508742,London,-0.109863,51.481383,9.65,10
103,-0.32959,51.138001,London,-0.109863,51.481383,25.58,32
34,-3.208008,54.393352,Newcastle,-1.604004,54.965002,75.35,15
24,-2.06543,55.229023,Newcastle,-1.604004,54.965002,25.83,3
11,-2.944336,54.72462,Newcastle,-1.604004,54.965002,55.91,10
39,-2.548828,53.14677,Nottingham,-1.142578,52.948638,60.06,23
21,-0.791016,51.876491,Oxford,-1.252441,51.727028,22.28,8
26,1.494141,52.308479,London,-0.109863,51.481383,89.22,49
44,-4.130859,50.833698,Oxford,-1.252441,51.727028,139.01,24
84,-1.274414,52.509535,Nottingham,-1.142578,52.948638,30.87,12
23,-1.867676,54.213861,Newcastle,-1.604004,54.965002,53.02,9
94,0.571289,51.138001,London,-0.109863,51.481383,37.83,41
40,-2.592773,52.86913,Nottingham,-1.142578,52.948638,60.74,25
67,-0.703125,52.922151,Nottingham,-1.142578,52.948638,18.41,5
97,-2.043457,53.159947,Nottingham,-1.142578,52.948638,40.2,15
90,-1.054688,51.522416,Oxford,-1.252441,51.727028,16.5,5
78,-1.647949,52.375599,Nottingham,-1.142578,52.948638,44.95,17
41,-2.658691,52.509535,Nottingham,-1.142578,52.948638,70.39,31
112,0.20874,51.703204,London,-0.109863,51.481383,20.56,25
88,0.351563,51.604372,London,-0.109863,51.481383,21.6,27
13,-1.428223,54.622978,Newcastle,-1.604004,54.965002,24.67,2
74,-0.065918,51.658927,London,-0.109863,51.481383,12.42,17
61,-0.263672,51.522416,London,-0.109863,51.481383,7.2,5
53,-0.549316,51.76784,London,-0.109863,51.481383,27.36,34
98,-1.73584,52.908902,Nottingham,-1.142578,52.948638,24.89,7
102,-1.186523,52.348763,Nottingham,-1.142578,52.948638,41.53,16
119,-0.123596,51.404346,London,-0.109863,51.481383,5.36,3
118,-0.392761,51.595842,London,-0.109863,51.481383,14.52,18
82,0.043945,51.193115,London,-0.109863,51.481383,21.02,26
30,-0.527344,54.02068,Newcastle,-1.604004,54.965002,78.34,17
60,-0.637207,51.440313,London,-0.109863,51.481383,22.9,28
5,-1.593018,51.289406,Oxford,-1.252441,51.727028,33.63,9
4,-4.64035,50.335819,Oxford,-1.252441,51.727028,175.98,25
64,-0.944824,52.988337,Nottingham,-1.142578,52.948638,8.68,2
36,-2.39502,53.683695,Nottingham,-1.142578,52.948638,72.55,32
25,-1.779785,54.952386,Newcastle,-1.604004,54.965002,7.04,1
