Flight Details,Flow Card?,Bags Checked,Meal Type
2024-01-06//PA008//Perth-New York//Premium Economy//820,0,3,None
2024-06-01//PA006//Tokyo-London//First Class//416,0,2,Vegan
2024-11-21//PA006//Tokyo-London//Economy//2270,1,2,Dairy Free
2024-07-28//PA010//Tokyo-New York//Premium Economy//1020,1,0,Nut Free
2024-11-06//PA001//London-New York//Business Class//546,0,1,Dairy Free
2024-03-16//PA011//Perth-Tokyo//Economy//3210,0,0,Nut Free
2024-08-16//PA007//New York-Perth//Premium Economy//1665,1,3,Egg Free
2024-03-18//PA003//London-Perth//Business Class//615.60000000000002,1,3,Nut Free
2024-09-21//PA002//New York-London//Premium Economy//1175,1,0,Vegan
2024-07-05//PA001//London-New York//Premium Economy//850,1,0,Egg Free
2024-05-16//PA009//New York-Tokyo//Economy//1540,0,3,Vegan
2024-08-20//PA010//Tokyo-New York//Premium Economy//1365,1,0,Egg Free
2024-10-15//PA008//Perth-New York//Business Class//386.39999999999998,1,3,Egg Free
2024-12-12//PA010//Tokyo-New York//Business Class//793.19999999999993,1,1,None
2024-02-14//PA006//Tokyo-London//Business Class//270,1,0,Dairy Free
2024-11-23//PA003//London-Perth//Business Class//538.79999999999995,1,1,Vegetarian
2024-05-09//PA012//Tokyo-Perth//Economy//3325,0,1,Egg Free
2024-02-14//PA002//New York-London//First Class//296,1,0,Vegetarian
2024-05-17//PA003//London-Perth//Business Class//379.19999999999999,1,3,Nut Free
2024-05-23//PA004//Perth-London//Economy//3375,0,2,Vegan
2024-12-18//PA002//New York-London//Economy//2910,0,2,Egg Free
2024-06-02//PA007//New York-Perth//First Class//612,1,0,Nut Free
2024-02-02//PA012//Tokyo-Perth//Economy//3155,0,2,Egg Free
2024-07-23//PA005//London-Tokyo//Premium Economy//1015,1,3,Nut Free
2024-08-21//PA012//Tokyo-Perth//Business Class//572.39999999999998,1,0,None
2024-10-20//PA002//New York-London//Premium Economy//1547.5,0,3,Egg Free
2024-11-26//PA006//Tokyo-London//Economy//1550,0,1,Egg Free
2024-03-17//PA005//London-Tokyo//Economy//2380,1,1,Egg Free
2024-11-04//PA008//Perth-New York//Business Class//764.39999999999998,0,0,Vegan
2024-09-14//PA003//London-Perth//Business Class//654,0,0,Vegan
2024-11-27//PA007//New York-Perth//Premium Economy//692.5,1,0,Nut Free
2024-07-25//PA009//New York-Tokyo//Business Class//734.39999999999998,1,2,Vegetarian
2024-05-13//PA006//Tokyo-London//Premium Economy//1520,1,3,Vegetarian
2024-03-17//PA004//Perth-London//Premium Economy//1230,0,0,Dairy Free
2024-12-31//PA006//Tokyo-London//Business Class//783.60000000000002,0,1,Nut Free
2024-05-13//PA010//Tokyo-New York//First Class//493,0,3,Vegetarian
2024-08-07//PA004//Perth-London//Economy//2025,0,3,Vegan
2024-12-05//PA007//New York-Perth//First Class//523,0,3,None
2024-09-28//PA011//Perth-Tokyo//Premium Economy//1397.5,1,2,Dairy Free
2024-06-14//PA009//New York-Tokyo//First Class//383,1,0,Dairy Free
2024-06-08//PA007//New York-Perth//Economy//2825,1,2,Vegetarian
2024-11-29//PA010//Tokyo-New York//Business Class//325.19999999999999,0,0,Vegan
2024-05-30//PA003//London-Perth//Business Class//828,0,0,Vegetarian
2024-01-09//PA002//New York-London//First Class//342,1,2,Dairy Free
2024-11-22//PA003//London-Perth//Economy//2245,1,1,None
2024-03-06//PA010//Tokyo-New York//First Class//563,0,3,Dairy Free
2024-09-04//PA002//New York-London//Premium Economy//1387.5,1,2,Vegetarian
2024-09-19//PA009//New York-Tokyo//Premium Economy//675,1,2,Egg Free
2024-02-27//PA004//Perth-London//First Class//535,1,3,Dairy Free
2024-10-19//PA001//London-New York//Premium Economy//545,1,0,Nut Free
2024-04-21//PA001//London-New York//First Class//202,0,2,Nut Free
2024-03-26//PA012//Tokyo-Perth//First Class//566,1,0,Dairy Free
2024-08-07//PA006//Tokyo-London//First Class//468,0,3,Egg Free
2024-05-05//PA002//New York-London//Premium Economy//850,0,3,Vegan
2024-09-27//PA002//New York-London//Premium Economy//625,1,2,Dairy Free
2024-05-11//PA006//Tokyo-London//First Class//208,1,0,None
2024-06-25//PA012//Tokyo-Perth//Economy//2080,1,0,Vegetarian
2024-08-03//PA002//New York-London//First Class//284,1,0,None
2024-06-10//PA004//Perth-London//Economy//1710,0,0,Vegetarian
2024-05-11//PA009//New York-Tokyo//Premium Economy//1497.5,0,3,Vegan
2024-11-21//PA007//New York-Perth//Business Class//715.19999999999993,0,3,Egg Free
2024-04-27//PA011//Perth-Tokyo//Economy//3245,1,3,Vegetarian
2024-04-09//PA006//Tokyo-London//Premium Economy//710,1,2,Egg Free
2024-11-19//PA003//London-Perth//Premium Economy//1357.5,1,3,Vegan
2024-06-24//PA006//Tokyo-London//First Class//245,1,1,Nut Free
2024-02-12//PA011//Perth-Tokyo//Business Class//505.19999999999999,1,1,Vegetarian
2024-03-04//PA008//Perth-New York//Business Class//538.79999999999995,1,0,Egg Free
2024-12-15//PA009//New York-Tokyo//Economy//1310,1,0,Egg Free
2024-06-12//PA007//New York-Perth//Premium Economy//817.5,0,3,Dairy Free
2024-10-14//PA005//London-Tokyo//Economy//1490,0,1,Vegan
2024-09-25//PA008//Perth-New York//First Class//642,1,3,Vegan
2024-03-31//PA010//Tokyo-New York//Premium Economy//1282.5,0,3,Nut Free
2024-02-23//PA002//New York-London//Premium Economy//547.5,1,2,Nut Free
2024-02-14//PA009//New York-Tokyo//First Class//473,0,1,Egg Free
2024-09-04//PA012//Tokyo-Perth//Premium Economy//1177.5,0,1,Dairy Free
2024-01-27//PA004//Perth-London//Premium Economy//1147.5,1,2,Nut Free
2024-06-29//PA005//London-Tokyo//Business Class//639.60000000000002,0,3,Egg Free
2024-06-20//PA008//Perth-New York//First Class//217,1,2,Egg Free
2024-10-14//PA011//Perth-Tokyo//Economy//2180,1,1,Nut Free
2024-04-01//PA004//Perth-London//Business Class//261.59999999999997,1,0,Dairy Free
2024-06-18//PA004//Perth-London//First Class//443,0,0,Dairy Free
2024-08-04//PA006//Tokyo-London//Business Class//832.79999999999995,0,2,Nut Free
2024-08-03//PA005//London-Tokyo//First Class//590,0,0,Nut Free
2024-03-02//PA003//London-Perth//Business Class//439.19999999999999,0,1,Dairy Free
2024-07-07//PA004//Perth-London//Business Class//242.39999999999998,0,0,Nut Free
2024-10-18//PA010//Tokyo-New York//Premium Economy//1642.5,0,0,Nut Free
2024-08-04//PA011//Perth-Tokyo//Economy//1005,1,1,Dairy Free
2024-07-10//PA012//Tokyo-Perth//First Class//287,0,1,Nut Free
2024-06-15//PA009//New York-Tokyo//First Class//500,0,3,Vegetarian
2024-03-02//PA006//Tokyo-London//Economy//3070,0,3,Egg Free
2024-04-09//PA007//New York-Perth//Premium Economy//842.5,1,3,Egg Free
2024-03-17//PA012//Tokyo-Perth//Premium Economy//587.5,0,3,Vegetarian
2024-10-28//PA012//Tokyo-Perth//Economy//1235,0,1,Nut Free
2024-11-06//PA001//London-New York//Premium Economy//1270,0,1,None
2024-08-18//PA002//New York-London//Premium Economy//1360,1,0,None
2024-08-13//PA004//Perth-London//Premium Economy//735,0,2,Nut Free
2024-04-17//PA002//New York-London//Economy//1630,1,1,Vegan
2024-01-15//PA004//Perth-London//Premium Economy//1472.5,1,0,Nut Free
2024-02-10//PA009//New York-Tokyo//First Class//368,1,3,Vegan
2024-05-22//PA007//New York-Perth//Economy//2645,0,3,Dairy Free
2024-06-02//PA006//Tokyo-London//Premium Economy//1735,1,3,Vegan
2024-05-18//PA008//Perth-New York//Business Class//271.19999999999999,0,3,Egg Free
2024-10-06//PA010//Tokyo-New York//Premium Economy//992.5,1,3,Vegan
2024-04-01//PA005//London-Tokyo//Premium Economy//1597.5,0,3,Egg Free
2024-07-20//PA006//Tokyo-London//First Class//215,0,3,None
2024-02-15//PA012//Tokyo-Perth//First Class//208,0,0,Vegan
2024-02-08//PA009//New York-Tokyo//Premium Economy//610,0,3,Nut Free
2024-06-03//PA011//Perth-Tokyo//First Class//201,1,1,Vegetarian
2024-03-05//PA001//London-New York//Economy//2685,0,3,Dairy Free
2024-06-17//PA004//Perth-London//Premium Economy//1487.5,0,0,Dairy Free
2024-09-08//PA005//London-Tokyo//Business Class//422.39999999999998,0,0,Dairy Free
2024-12-10//PA002//New York-London//Economy//3030,1,2,Dairy Free
2024-12-21//PA001//London-New York//Business Class//655.19999999999993,1,2,None
2024-10-01//PA005//London-Tokyo//Economy//1225,0,0,Vegetarian
2024-09-10//PA011//Perth-Tokyo//Business Class//306,1,0,Dairy Free
2024-09-10//PA006//Tokyo-London//First Class//670,0,1,Dairy Free
2024-03-12//PA006//Tokyo-London//Economy//3010,1,3,Egg Free
2024-10-17//PA005//London-Tokyo//First Class//228,1,1,None
2024-08-24//PA003//London-Perth//Economy//1780,1,3,Dairy Free
2024-12-11//PA004//Perth-London//First Class//595,1,2,Vegan
2024-05-25//PA001//London-New York//Economy//1745,0,1,Dairy Free
2024-09-27//PA008//Perth-New York//Economy//1770,0,0,Nut Free
2024-10-08//PA008//Perth-New York//Economy//3090,0,0,Dairy Free
2024-08-01//PA003//London-Perth//Economy//2170,1,3,Nut Free
2024-07-31//PA010//Tokyo-New York//Premium Economy//1412.5,1,0,Vegan
2024-11-15//PA003//London-Perth//Premium Economy//735,0,0,Vegan
2024-01-29//PA004//Perth-London//Business Class//435.59999999999997,0,2,Egg Free
2024-01-26//PA001//London-New York//First Class//381,0,2,Vegan
2024-04-20//PA003//London-Perth//Business Class//688.79999999999995,0,2,Egg Free
2024-08-12//PA005//London-Tokyo//Economy//1050,0,1,None
2024-10-08//PA008//Perth-New York//Business Class//249.59999999999999,1,2,Nut Free
2024-07-04//PA003//London-Perth//Premium Economy//1307.5,0,0,Vegetarian
2024-04-01//PA001//London-New York//Business Class//512.39999999999998,0,1,Egg Free
2024-04-21//PA004//Perth-London//Business Class//679.19999999999993,0,3,Nut Free
2024-01-30//PA004//Perth-London//Business Class//246,0,0,Vegetarian
2024-12-12//PA010//Tokyo-New York//Premium Economy//1437.5,1,1,Egg Free
2024-10-14//PA009//New York-Tokyo//Economy//1360,1,1,Dairy Free
2024-02-11//PA005//London-Tokyo//Premium Economy//1567.5,0,1,Dairy Free
2024-11-17//PA009//New York-Tokyo//First Class//340,0,1,Nut Free
2024-08-08//PA012//Tokyo-Perth//First Class//426,0,1,Vegetarian
2024-10-25//PA008//Perth-New York//First Class//575,1,0,Nut Free
2024-12-20//PA002//New York-London//Business Class//574.79999999999995,0,3,Dairy Free
2024-07-02//PA006//Tokyo-London//First Class//522,0,3,Dairy Free
2024-08-07//PA002//New York-London//Premium Economy//832.5,1,0,None
2024-12-04//PA004//Perth-London//Economy//2540,1,3,Vegan
2024-07-28//PA005//London-Tokyo//First Class//263,1,2,None
2024-10-25//PA010//Tokyo-New York//Economy//1170,0,3,Egg Free
2024-03-12//PA007//New York-Perth//Economy//2640,1,0,Vegan
2024-05-11//PA003//London-Perth//Economy//2885,1,3,Vegetarian
2024-11-18//PA005//London-Tokyo//Economy//3305,0,0,Vegetarian
2024-12-05//PA008//Perth-New York//Economy//2200,1,1,Nut Free
2024-06-02//PA011//Perth-Tokyo//Premium Economy//1177.5,0,3,Dairy Free
2024-08-09//PA009//New York-Tokyo//First Class//612,0,3,Nut Free
2024-03-13//PA001//London-New York//Premium Economy//1422.5,1,0,Dairy Free
2024-08-24//PA010//Tokyo-New York//Economy//2145,0,2,None
2024-12-05//PA012//Tokyo-Perth//Economy//2230,1,3,None
2024-11-11//PA008//Perth-New York//Economy//2980,0,1,Vegetarian
2024-11-02//PA011//Perth-Tokyo//First Class//441,0,1,Vegan
2024-08-21//PA008//Perth-New York//First Class//300,1,0,Vegan
2024-04-06//PA011//Perth-Tokyo//Premium Economy//960,0,2,Dairy Free
2024-10-31//PA010//Tokyo-New York//Premium Economy//780,1,2,None
2024-01-03//PA007//New York-Perth//Economy//3300,0,1,None
2024-11-01//PA009//New York-Tokyo//Premium Economy//1585,1,1,Dairy Free
2024-06-04//PA010//Tokyo-New York//First Class//389,1,1,Egg Free
2024-01-02//PA009//New York-Tokyo//Business Class//793.19999999999993,0,0,Vegetarian
2024-06-12//PA012//Tokyo-Perth//Business Class//318,1,1,Nut Free
2024-08-13//PA011//Perth-Tokyo//Economy//1165,1,0,None
2024-02-03//PA003//London-Perth//Premium Economy//1095,1,3,None
2024-09-17//PA006//Tokyo-London//Business Class//543.60000000000002,0,0,None
2024-03-11//PA009//New York-Tokyo//Business Class//446.39999999999998,0,2,None
2024-08-20//PA005//London-Tokyo//Premium Economy//1632.5,1,2,Vegan
2024-01-20//PA004//Perth-London//First Class//440,1,3,Dairy Free
2024-05-04//PA007//New York-Perth//Premium Economy//1680,1,1,Nut Free
2024-10-11//PA002//New York-London//Business Class//602.39999999999998,0,2,Egg Free
2024-10-31//PA011//Perth-Tokyo//Economy//2915,0,2,Nut Free
2024-08-25//PA001//London-New York//First Class//673,0,2,Vegan
2024-01-03//PA006//Tokyo-London//Economy//1280,1,1,Dairy Free
2024-08-15//PA003//London-Perth//Premium Economy//555,0,0,Dairy Free
2024-04-11//PA008//Perth-New York//First Class//676,1,1,Egg Free
2024-03-21//PA004//Perth-London//Business Class//836.39999999999998,1,1,Egg Free
2024-10-18//PA009//New York-Tokyo//Premium Economy//1372.5,0,1,None
2024-10-09//PA011//Perth-Tokyo//Economy//3065,1,3,Dairy Free
2024-03-20//PA008//Perth-New York//First Class//357,0,2,Nut Free
2024-01-12//PA008//Perth-New York//Business Class//601.19999999999993,0,3,Vegetarian
2024-05-31//PA007//New York-Perth//Premium Economy//725,1,3,Dairy Free
2024-05-19//PA005//London-Tokyo//Business Class//424.80000000000001,1,2,Nut Free
2024-06-13//PA003//London-Perth//Premium Economy//1382.5,0,1,Vegan
2024-04-01//PA007//New York-Perth//First Class//359,0,2,Nut Free
2024-01-25//PA012//Tokyo-Perth//Business Class//358.80000000000001,1,0,None
2024-01-02//PA003//London-Perth//Premium Economy//1200,1,3,Dairy Free
2024-03-22//PA010//Tokyo-New York//Premium Economy//1135,0,0,Dairy Free
2024-05-15//PA008//Perth-New York//Business Class//427.19999999999999,1,0,Vegan
2024-01-18//PA010//Tokyo-New York//First Class//415,0,2,Vegetarian
2024-04-24//PA010//Tokyo-New York//Economy//2130,1,0,Dairy Free
2024-12-12//PA006//Tokyo-London//Economy//1640,0,0,Egg Free
2024-12-07//PA009//New York-Tokyo//First Class//662,0,1,Egg Free
2024-11-03//PA012//Tokyo-Perth//First Class//242,0,2,None
2024-09-22//PA009//New York-Tokyo//Economy//1690,0,1,Dairy Free
2024-04-28//PA002//New York-London//Business Class//241.19999999999999,1,2,Vegetarian
2024-12-13//PA003//London-Perth//Premium Economy//505,1,2,None
2024-06-07//PA007//New York-Perth//Premium Economy//570,0,3,Egg Free
2024-06-24//PA012//Tokyo-Perth//Premium Economy//1597.5,0,3,Vegetarian
2024-10-20//PA011//Perth-Tokyo//First Class//385,1,2,Dairy Free
2024-04-06//PA005//London-Tokyo//Economy//2465,0,2,Vegan
2024-08-27//PA002//New York-London//First Class//573,1,1,Vegan
2024-11-12//PA003//London-Perth//Economy//2190,1,3,Vegetarian
2024-09-11//PA007//New York-Perth//Business Class//602.39999999999998,0,2,Vegetarian
2024-07-23//PA009//New York-Tokyo//Business Class//339.59999999999997,1,1,Vegetarian
2024-02-22//PA005//London-Tokyo//Business Class//468,1,1,None
2024-08-30//PA002//New York-London//Economy//3095,0,0,Egg Free
2024-09-18//PA001//London-New York//Economy//1020,1,0,Vegetarian
2024-12-06//PA011//Perth-Tokyo//Business Class//601.19999999999993,1,3,Dairy Free
2024-10-10//PA001//London-New York//Economy//3035,1,3,Vegetarian
2024-12-14//PA007//New York-Perth//Premium Economy//1305,1,2,Nut Free
2024-11-07//PA006//Tokyo-London//First Class//252,1,0,None
2024-11-05//PA002//New York-London//First Class//652,0,1,Vegan
2024-03-21//PA003//London-Perth//Business Class//272.39999999999998,1,2,Nut Free
2024-08-07//PA010//Tokyo-New York//Business Class//392.39999999999998,0,2,Nut Free
2024-02-26//PA009//New York-Tokyo//Premium Economy//1085,1,2,Vegan
2024-06-03//PA007//New York-Perth//Premium Economy//1390,0,1,Vegan
2024-11-21//PA003//London-Perth//First Class//599,0,2,Vegetarian
2024-07-31//PA012//Tokyo-Perth//Premium Economy//817.5,1,1,Egg Free
2024-01-20//PA008//Perth-New York//Economy//2330,1,1,Egg Free
2024-02-16//PA009//New York-Tokyo//Premium Economy//675,0,1,None
2024-08-26//PA007//New York-Perth//Economy//2235,1,1,None
2024-05-30//PA007//New York-Perth//Business Class//417.59999999999997,0,2,None
2024-12-27//PA012//Tokyo-Perth//First Class//606,0,2,Vegan
2024-04-05//PA005//London-Tokyo//Economy//3005,1,0,None
2024-01-05//PA010//Tokyo-New York//First Class//681,1,0,None
2024-03-02//PA006//Tokyo-London//Business Class//558,1,2,Vegetarian
2024-03-06//PA009//New York-Tokyo//Economy//1840,1,3,Vegetarian
2024-04-16//PA012//Tokyo-Perth//First Class//506,1,2,Nut Free
2024-05-29//PA007//New York-Perth//Business Class//240,1,1,Vegetarian
2024-01-04//PA002//New York-London//Premium Economy//1635,1,2,Egg Free
2024-10-31//PA008//Perth-New York//Economy//1785,0,0,Egg Free
2024-07-07//PA011//Perth-Tokyo//Economy//2590,1,1,Vegetarian
2024-10-06//PA003//London-Perth//Business Class//783.60000000000002,1,2,Vegan
2024-05-03//PA001//London-New York//Economy//3160,1,2,None
2024-08-09//PA011//Perth-Tokyo//First Class//512,1,0,Egg Free
2024-10-27//PA010//Tokyo-New York//Economy//1715,1,0,Nut Free
2024-06-10//PA009//New York-Tokyo//First Class//517,1,2,Vegan
2024-12-20//PA006//Tokyo-London//Economy//2725,1,0,Vegetarian
2024-02-14//PA007//New York-Perth//Business Class//408,0,2,Vegetarian
2024-11-27//PA012//Tokyo-Perth//Economy//2500,1,1,Dairy Free
2024-03-23//PA009//New York-Tokyo//Economy//2300,1,1,Dairy Free
2024-07-06//PA003//London-Perth//First Class//305,1,1,Egg Free
2024-12-05//PA002//New York-London//Business Class//499.19999999999999,1,0,Vegetarian
2024-08-24//PA003//London-Perth//First Class//294,0,3,Vegan
2024-11-22//PA012//Tokyo-Perth//Business Class//598.79999999999995,0,2,Dairy Free
2024-03-27//PA003//London-Perth//Business Class//756,0,3,Egg Free
2024-04-30//PA012//Tokyo-Perth//Economy//1600,0,1,Nut Free
2024-09-06//PA006//Tokyo-London//First Class//489,0,0,Vegetarian
2024-02-01//PA005//London-Tokyo//Premium Economy//1480,0,2,Vegetarian
2024-07-09//PA012//Tokyo-Perth//Economy//1420,1,0,Nut Free
2024-11-25//PA012//Tokyo-Perth//Premium Economy//1432.5,0,3,Egg Free
2024-03-31//PA006//Tokyo-London//First Class//300,1,0,None
2024-05-12//PA012//Tokyo-Perth//Business Class//744,0,2,Dairy Free
2024-05-06//PA004//Perth-London//First Class//591,1,3,None
2024-04-10//PA001//London-New York//Premium Economy//1042.5,1,0,None
2024-07-16//PA010//Tokyo-New York//Economy//1460,0,1,Vegetarian
2024-05-16//PA003//London-Perth//Economy//2925,1,1,Vegan
2024-12-01//PA008//Perth-New York//First Class//340,1,1,Egg Free
2024-06-26//PA003//London-Perth//Business Class//463.19999999999999,1,1,Vegan
2024-12-21//PA001//London-New York//Business Class//325.19999999999999,1,3,Vegetarian
2024-08-19//PA006//Tokyo-London//Economy//2000,0,3,Vegetarian
2024-07-10//PA007//New York-Perth//Economy//1600,1,1,Vegetarian
2024-08-01//PA011//Perth-Tokyo//Business Class//452.39999999999998,0,3,None
2024-12-28//PA001//London-New York//Economy//1105,0,2,Vegan
2024-11-02//PA006//Tokyo-London//Economy//2225,0,2,Egg Free
2024-12-16//PA006//Tokyo-London//Premium Economy//1582.5,1,0,Nut Free
2024-05-23//PA003//London-Perth//Economy//2045,1,2,None
2024-08-14//PA004//Perth-London//Premium Economy//742.5,1,2,Vegan
2024-09-19//PA011//Perth-Tokyo//Business Class//332.39999999999998,1,2,Dairy Free
2024-07-06//PA004//Perth-London//Premium Economy//595,1,2,Vegan
2024-01-23//PA001//London-New York//Premium Economy//1290,1,3,Vegan
2024-07-07//PA008//Perth-New York//First Class//348,1,2,Vegetarian
2024-09-25//PA007//New York-Perth//Premium Economy//522.5,0,0,Nut Free
2024-11-06//PA001//London-New York//Economy//1245,1,2,None
2024-08-19//PA005//London-Tokyo//Business Class//421.19999999999999,1,0,Nut Free
2024-05-06//PA002//New York-London//Premium Economy//912.5,1,0,Dairy Free
2024-12-17//PA011//Perth-Tokyo//First Class//511,1,1,Dairy Free
2024-07-29//PA011//Perth-Tokyo//Business Class//337.19999999999999,1,1,Vegan
2024-01-08//PA008//Perth-New York//Economy//3065,1,1,Vegan
2024-07-01//PA012//Tokyo-Perth//Business Class//655.19999999999993,0,3,Nut Free
2024-12-20//PA004//Perth-London//Business Class//760.79999999999995,0,0,Nut Free
2024-12-29//PA003//London-Perth//Premium Economy//1107.5,1,1,None
2024-07-24//PA005//London-Tokyo//Business Class//246,0,1,Nut Free
2024-08-29//PA006//Tokyo-London//First Class//476,1,2,Vegan
2024-04-04//PA012//Tokyo-Perth//Business Class//818.39999999999998,1,1,Egg Free
2024-08-09//PA010//Tokyo-New York//First Class//665,1,3,Dairy Free
2024-12-25//PA002//New York-London//Economy//2905,0,3,None
2024-04-03//PA004//Perth-London//First Class//427,1,1,None
2024-08-18//PA005//London-Tokyo//Economy//1975,0,1,Vegan
2024-01-12//PA011//Perth-Tokyo//Business Class//780,0,1,Dairy Free
2024-12-03//PA011//Perth-Tokyo//Premium Economy//945,0,1,Egg Free
2024-12-30//PA011//Perth-Tokyo//Premium Economy//745,0,2,Dairy Free
2024-10-06//PA009//New York-Tokyo//Economy//3165,1,1,None
2024-07-14//PA006//Tokyo-London//First Class//630,1,1,Egg Free
2024-05-06//PA004//Perth-London//First Class//318,0,1,Vegan
2024-01-05//PA012//Tokyo-Perth//First Class//436,1,3,Nut Free
2024-10-09//PA007//New York-Perth//Premium Economy//875,0,1,Vegetarian
2024-03-22//PA007//New York-Perth//Economy//2240,1,0,Dairy Free
2024-02-17//PA008//Perth-New York//Economy//1340,0,3,Vegetarian
2024-10-27//PA005//London-Tokyo//First Class//683,0,0,Egg Free
2024-06-18//PA001//London-New York//Business Class//280.80000000000001,0,0,None
2024-05-25//PA010//Tokyo-New York//Business Class//674.39999999999998,1,3,None
2024-03-20//PA007//New York-Perth//Economy//1170,1,0,None
2024-12-05//PA009//New York-Tokyo//Business Class//799.19999999999993,0,2,None
2024-12-31//PA010//Tokyo-New York//Premium Economy//690,0,3,Vegetarian
2024-02-08//PA006//Tokyo-London//Business Class//534,0,3,Vegetarian
