ID,Joining Date,Account Type,Date of Birth,Ethnicity
263796,24/02/2023,Gold,10/02/1952,White
139746,19/01/2023,Gold,27/02/1948,Black
808972,05/09/2023,Platinum,19/02/2006,Other
203783,24/02/2023,Platinum,10/07/1975,Black
890532,16/06/2023,Gold,15/04/1988,White
126580,07/02/2023,Platinum,17/07/1945,Black
993112,30/06/2023,Platinum,02/10/1942,Asian
725355,19/03/2023,Gold,22/09/1975,Asian
340036,25/08/2023,Gold,16/10/1952,Other
388013,27/10/2023,Gold,13/07/2018,Black
165263,26/10/2023,Platinum,15/10/1970,Other
700950,10/03/2023,Basic,18/06/1940,Black
814161,03/07/2023,Gold,02/12/1999,Black
949651,25/11/2023,Platinum,13/09/1940,Other
352584,16/05/2023,Basic,13/06/2000,Black
691430,11/10/2023,Platinum,25/04/1988,Black
111490,02/07/2023,Basic,01/03/1946,Black
995456,17/02/2023,Basic,05/03/1975,Other
730864,24/05/2023,Gold,26/04/2015,Other
871764,02/01/2023,Gold,29/10/1967,White
488622,31/08/2023,Gold,19/02/1945,Black
619806,17/07/2023,Platinum,11/02/1974,Asian
682562,25/05/2023,Basic,16/04/1984,Black
610633,08/06/2023,Gold,13/07/1993,Black
145928,23/11/2023,Basic,16/08/1941,Other
762476,23/03/2023,Basic,03/06/1956,Other
311054,26/11/2023,Gold,21/11/1956,Black
697757,30/08/2023,Gold,03/02/1989,Other
604078,02/08/2023,Basic,18/09/1997,Asian
268478,31/08/2023,Gold,14/06/1952,Black
293881,29/10/2023,Basic,10/03/1963,Black
604893,04/01/2023,Platinum,10/11/1959,White
339282,16/09/2023,Basic,31/10/1968,Other
664737,19/11/2023,Gold,07/07/2000,Black
150853,05/02/2023,Basic,09/07/1991,Other
181477,12/04/2023,Gold,22/08/1984,Black
731015,10/06/2023,Basic,02/12/1955,Other
228495,08/09/2023,Basic,07/04/2006,Other
942174,10/05/2023,Gold,11/06/1984,White
101744,29/08/2023,Basic,21/01/1945,Asian
957074,28/06/2023,Gold,18/09/1964,Other
937520,30/10/2023,Gold,08/02/1964,Other
835234,13/03/2023,Basic,04/06/1948,Other
850891,11/06/2023,Basic,14/04/1941,Black
918029,28/10/2023,Gold,21/11/1969,Black
523380,21/02/2023,Platinum,23/12/1994,Asian
828504,10/02/2023,Basic,21/09/2013,Other
134047,08/04/2023,Basic,06/04/1959,Black
159537,26/09/2023,Gold,30/07/2012,Asian
210727,25/07/2023,Platinum,06/04/1968,White
142608,21/07/2023,Gold,16/08/1994,Black
501352,22/12/2023,Basic,29/06/1971,Black
143337,17/05/2023,Gold,21/06/1980,Other
631634,29/05/2023,Basic,01/01/1940,Asian
280225,14/05/2023,Platinum,25/08/1996,Asian
194739,15/12/2023,Basic,29/03/2002,Other
212028,08/09/2023,Basic,19/02/2008,White
649840,11/06/2023,Basic,28/02/1947,Asian
500890,12/05/2023,Basic,15/10/1958,White
188536,09/09/2023,Basic,25/12/1946,Other
315439,09/02/2023,Basic,23/05/1999,White
107924,02/08/2023,Gold,02/09/1975,Black
527503,15/08/2023,Gold,08/01/1967,White
918911,04/11/2023,Gold,05/03/1954,Black
465769,14/07/2023,Platinum,10/02/1979,White
339084,27/06/2023,Platinum,06/10/1963,Asian
838883,29/05/2023,Basic,10/12/1980,White
512194,13/03/2023,Gold,09/04/1985,White
535509,10/03/2023,Platinum,11/09/2019,Other
504043,05/11/2023,Basic,01/04/1986,Asian
344685,10/03/2023,Gold,06/01/1990,Asian
209144,02/05/2023,Basic,22/11/1948,Black
633342,08/02/2023,Basic,25/03/1972,Asian
548861,24/03/2023,Platinum,03/05/1962,Other
711747,30/01/2023,Gold,28/09/1940,White
850734,19/12/2023,Platinum,20/02/1968,White
618456,06/08/2023,Basic,13/03/2009,Asian
112311,09/05/2023,Gold,11/08/1990,Other
236432,20/02/2023,Basic,13/10/1957,White
366334,05/02/2023,Platinum,15/10/1996,Other
125311,01/10/2023,Basic,01/05/2008,Black
339687,09/04/2023,Basic,29/11/1946,White
484119,08/04/2023,Gold,30/09/1974,Other
494955,17/07/2023,Platinum,02/07/1985,Other
234458,27/06/2023,Basic,29/05/2010,White
422091,20/08/2023,Gold,09/03/2001,Asian
779629,13/04/2023,Platinum,30/06/1993,White
806648,29/01/2023,Platinum,20/08/1986,Other
823045,12/07/2023,Basic,23/01/1990,Black
755287,24/03/2023,Platinum,27/08/1997,Black
499227,03/08/2023,Gold,12/09/1978,Other
732882,18/08/2023,Platinum,15/06/1950,White
848904,14/11/2023,Basic,06/01/1962,White
506007,23/03/2023,Basic,01/12/1979,Asian
845293,02/01/2023,Platinum,28/05/1946,Black
100185,20/05/2023,Basic,29/07/1952,Asian
879426,31/07/2023,Gold,28/09/1996,Other
594866,07/04/2023,Gold,19/08/2004,White
201221,06/08/2023,Gold,10/11/1941,Black
777515,31/01/2023,Basic,03/04/1989,White
621556,18/06/2023,Basic,12/12/2010,White
563716,11/07/2023,Platinum,03/02/1989,Asian
141861,10/12/2023,Gold,13/06/2005,Other
189566,14/04/2023,Basic,08/09/1962,Other
367467,30/04/2023,Platinum,24/01/2019,Asian
604416,24/04/2023,Gold,29/06/2004,Other
168221,17/08/2023,Gold,26/02/2003,Other
664810,10/03/2023,Gold,02/07/1947,Black
942724,09/10/2023,Platinum,23/05/1979,Black
719232,17/09/2023,Platinum,06/03/1983,White
458440,04/06/2023,Gold,21/07/1989,White
607350,22/12/2023,Gold,12/05/1972,Other
560440,24/06/2023,Basic,30/05/1979,Asian
516450,17/07/2023,Gold,12/01/1986,Black
973596,16/12/2023,Platinum,22/02/1971,Other
490910,03/01/2023,Basic,23/05/1981,White
933040,16/01/2023,Gold,12/12/1991,Asian
415762,20/10/2023,Basic,03/11/1949,Black
405909,13/04/2023,Platinum,27/08/1979,Asian
512023,16/11/2023,Gold,05/04/1957,Black
932133,25/03/2023,Basic,22/09/1944,Black
716137,15/08/2023,Basic,06/01/1987,Other
957631,29/01/2023,Basic,19/06/1956,Black
312324,28/08/2023,Gold,13/08/2016,White
375824,10/02/2023,Platinum,05/07/1978,Other
881325,21/06/2023,Basic,11/07/1981,Other
166090,01/04/2023,Platinum,04/02/2016,Black
798734,20/07/2023,Gold,05/11/1957,Black
721246,13/12/2023,Gold,24/06/2002,Asian
287144,23/03/2023,Platinum,25/09/1976,White
592566,30/12/2023,Basic,08/05/1989,Asian
893948,01/01/2023,Gold,01/09/2013,White
725517,09/09/2023,Basic,29/11/1943,White
256547,30/08/2023,Gold,21/08/2013,Black
704040,06/12/2023,Basic,01/08/1993,Asian
714000,28/12/2023,Platinum,08/11/1999,White
202400,13/08/2023,Basic,28/06/1962,White
303669,18/02/2023,Basic,03/01/2016,Black
832052,12/03/2023,Basic,21/08/1981,Black
461508,02/12/2023,Gold,12/07/1996,Other
742364,02/02/2023,Gold,09/09/1978,Black
511264,27/10/2023,Platinum,07/07/1957,Other
783242,18/07/2023,Basic,12/02/1952,Other
429752,02/03/2023,Platinum,15/11/1945,Asian
115702,14/03/2023,Platinum,17/02/1977,Black
268700,04/12/2023,Gold,05/10/2008,White
496679,08/06/2023,Basic,19/10/1951,Black
973755,10/10/2023,Platinum,12/01/1998,Black
591539,26/07/2023,Basic,07/11/1986,White
536823,11/12/2023,Gold,17/06/1985,Black
374944,25/08/2023,Basic,20/03/1965,Black
142674,27/10/2023,Basic,02/09/1987,Other
436544,11/02/2023,Basic,10/04/2013,Black
806804,28/01/2023,Basic,05/10/1948,Other
190312,03/11/2023,Gold,21/01/2014,White
586258,30/05/2023,Platinum,12/12/2018,Black
525493,21/05/2023,Platinum,28/03/1976,Other
366251,22/05/2023,Gold,28/08/1963,Other
473692,20/02/2023,Basic,23/03/2012,White
856901,02/04/2023,Basic,21/10/1941,Other
394262,06/04/2023,Basic,29/08/1961,Other
858519,01/07/2023,Gold,27/01/2000,White
202010,09/06/2023,Gold,23/11/1988,Black
167376,26/03/2023,Basic,25/06/2004,Black
428393,14/07/2023,Basic,12/05/2008,Black
223660,28/06/2023,Gold,20/10/1986,White
509391,27/05/2023,Platinum,06/11/1947,Other
663205,08/12/2023,Platinum,30/03/1981,Black
444025,28/05/2023,Platinum,08/04/1997,Black
182986,23/10/2023,Basic,01/01/2006,Other
786474,19/08/2023,Gold,05/04/1992,Other
506688,29/04/2023,Gold,29/09/2015,Asian
813986,20/08/2023,Gold,02/05/1979,Other
669663,20/04/2023,Gold,02/06/1994,White
548577,23/01/2023,Basic,09/05/1962,White
874417,09/11/2023,Platinum,12/08/1985,Other
624601,18/02/2023,Gold,20/04/1991,Other
582245,20/02/2023,Platinum,17/02/2012,Other
716354,10/01/2023,Gold,18/12/1997,Black
507932,29/10/2023,Platinum,15/08/2005,Asian
402150,19/04/2023,Platinum,14/10/1970,Other
778767,12/05/2023,Basic,05/06/1991,White
692114,22/08/2023,Platinum,10/09/1973,Asian
771442,22/02/2023,Basic,07/05/1974,White
713519,04/06/2023,Gold,25/02/1964,White
548663,04/12/2023,Basic,31/05/1949,Asian
829902,11/02/2023,Platinum,14/04/1968,Other
440691,16/02/2023,Basic,02/07/2013,White
785906,22/06/2023,Basic,20/06/1967,Asian
656164,02/04/2023,Basic,22/07/1956,Asian
829567,19/12/2023,Gold,17/05/2019,Asian
759289,30/10/2023,Platinum,09/08/1965,Asian
531040,03/11/2023,Gold,17/07/1978,White
369221,18/01/2023,Platinum,04/03/2019,Black
792923,25/07/2023,Basic,16/10/1958,White
429112,08/02/2023,Basic,20/11/1993,Black
433632,01/05/2023,Platinum,27/09/1992,White
703312,25/07/2023,Gold,18/12/2012,Other
423637,30/10/2023,Basic,30/01/1941,Other
706102,15/04/2023,Platinum,19/06/1958,White
343987,25/06/2023,Gold,31/07/2010,Other
140062,22/11/2023,Platinum,07/06/2012,Black
994289,16/06/2023,Gold,09/05/1990,White
765987,22/12/2023,Platinum,25/06/1989,Black
259388,15/10/2023,Platinum,29/08/1984,Black
219792,12/05/2023,Gold,21/04/2003,Black
606785,16/03/2023,Basic,11/08/1968,White
675627,18/04/2023,Gold,17/08/1968,Other
662171,05/05/2023,Platinum,22/10/1943,Black
960401,09/09/2023,Gold,26/02/1991,Black
790504,04/10/2023,Platinum,13/06/1955,White
788351,14/07/2023,Platinum,07/05/1985,White
900582,29/08/2023,Gold,09/12/1963,Asian
547679,11/01/2023,Basic,07/02/1949,White
832494,16/10/2023,Gold,23/06/1964,White
385445,19/04/2023,Basic,29/01/1957,Black
511565,07/12/2023,Platinum,17/03/1995,Black
549509,02/04/2023,Gold,13/04/1970,White
721471,31/01/2023,Platinum,17/08/1985,Other
610159,09/05/2023,Gold,05/12/2005,Black
430823,27/02/2023,Gold,22/11/1986,White
829132,20/11/2023,Gold,19/05/1991,Other
673141,19/01/2023,Gold,30/12/1955,White
894124,18/08/2023,Gold,20/10/1981,Asian
253467,05/02/2023,Basic,29/07/1984,Asian
481921,19/07/2023,Gold,05/05/1970,Asian
527712,02/01/2023,Platinum,27/09/1996,White
611859,18/01/2023,Platinum,02/12/1977,Other
657908,19/12/2023,Platinum,21/08/1973,Asian
467914,25/01/2023,Gold,25/02/1990,Asian
176117,28/11/2023,Gold,19/04/1966,Asian
598899,19/09/2023,Basic,10/01/1999,Black
350952,10/09/2023,Basic,14/05/1997,Black
990258,16/07/2023,Gold,03/12/1998,Black
895152,28/03/2023,Basic,04/08/1941,Asian
742071,19/01/2023,Platinum,22/09/1968,White
131132,29/06/2023,Platinum,06/08/1949,White
451570,04/09/2023,Gold,21/04/1974,Other
890720,07/07/2023,Gold,20/09/1967,White
784685,29/01/2023,Platinum,17/06/1968,White
471554,02/01/2023,Basic,22/04/1990,White
459470,10/05/2023,Platinum,13/09/1987,Black
900970,07/10/2023,Basic,27/02/1985,Asian
683051,13/01/2023,Basic,08/07/1957,Black
125458,25/03/2023,Basic,23/06/1960,Other
177159,11/01/2023,Basic,10/11/1953,White
654273,16/06/2023,Gold,10/10/1942,Black
611755,28/09/2023,Platinum,11/02/1949,Other
421991,17/12/2023,Gold,09/09/1942,Other
189930,05/05/2023,Gold,09/01/1983,White
762634,19/10/2023,Platinum,14/01/1980,White
500741,23/03/2023,Basic,26/12/1955,Other
667164,31/03/2023,Gold,29/03/1977,Other
748215,25/04/2023,Gold,01/05/2013,Black
490418,02/05/2023,Basic,29/09/1950,White
973103,19/03/2023,Platinum,29/03/1942,Asian
849187,08/07/2023,Platinum,27/10/1951,Other
922365,13/04/2023,Basic,11/08/2011,Asian
667559,14/02/2023,Basic,16/05/1985,Other
285733,16/10/2023,Gold,19/05/2000,Black
383716,27/09/2023,Platinum,22/06/2000,Asian
892110,27/09/2023,Gold,27/05/1955,Asian
704346,13/07/2023,Gold,04/11/1978,Other
242782,03/07/2023,Platinum,04/11/1942,Other
637797,01/06/2023,Platinum,11/09/1956,Asian
352431,31/10/2023,Basic,02/12/1970,Asian
858465,25/12/2023,Basic,02/07/1957,Black
503844,25/06/2023,Basic,02/10/1981,Asian
187833,20/12/2023,Basic,08/04/1992,Other
246208,04/01/2023,Platinum,11/09/1996,White
269274,28/08/2023,Platinum,08/01/2000,White
115578,29/07/2023,Gold,02/09/1961,Black
747682,21/05/2023,Platinum,04/12/1985,Black
192752,12/07/2023,Basic,29/08/1981,Asian
356495,20/09/2023,Platinum,02/02/1981,White
424911,16/07/2023,Platinum,21/03/1947,Asian
863998,24/02/2023,Platinum,23/11/2006,Asian
935038,28/08/2023,Platinum,24/01/2007,Black
806735,11/01/2023,Platinum,15/04/1945,Asian
273251,09/08/2023,Basic,23/03/1963,Asian
428431,09/12/2023,Basic,27/04/1993,Other
431328,27/04/2023,Platinum,30/05/1970,Black
217393,24/07/2023,Platinum,29/10/1947,Asian
255988,24/03/2023,Basic,07/06/2017,Asian
442375,16/09/2023,Platinum,15/06/1985,White
649104,17/12/2023,Platinum,05/03/1946,Other
738405,02/05/2023,Basic,12/10/1952,Asian
189787,20/01/2023,Basic,12/05/1986,Black
311336,22/06/2023,Platinum,12/11/2018,Black
302454,19/06/2023,Platinum,25/07/2018,Asian
213378,15/09/2023,Basic,03/07/1987,Black
215044,09/05/2023,Basic,11/09/2011,White
985783,06/05/2023,Basic,28/03/1951,Asian
701314,24/10/2023,Platinum,27/03/1981,White
140408,23/12/2023,Gold,17/03/1955,Black
766091,03/07/2023,Basic,24/10/2013,White
213994,29/10/2023,Gold,16/04/1961,White
226852,14/04/2023,Platinum,24/02/2017,Black
223982,04/01/2023,Gold,12/08/1956,White
521080,27/12/2023,Platinum,26/04/1999,Black
984067,22/04/2023,Basic,09/04/1958,Black
900289,16/06/2023,Basic,29/01/1987,Other
119237,15/01/2023,Platinum,18/09/2012,Other
537959,12/12/2023,Gold,23/10/2017,Black
588390,16/03/2023,Basic,22/03/1950,Black
976803,14/04/2023,Platinum,11/07/1940,Black
159526,09/05/2023,Basic,22/12/1986,Asian
656794,10/04/2023,Basic,21/10/1951,Other
367979,18/05/2023,Basic,15/09/1983,Black
253699,23/08/2023,Gold,31/12/1954,Other
119168,15/12/2023,Basic,15/04/2015,Asian
793000,12/02/2023,Basic,29/04/1951,Asian
487923,22/03/2023,Platinum,28/06/1990,White
762315,22/10/2023,Gold,26/01/1940,White
569923,04/12/2023,Gold,30/12/1975,Other
700604,30/06/2023,Gold,24/08/1969,White
654694,30/04/2023,Platinum,13/08/1985,Other
194837,12/07/2023,Platinum,28/06/1962,Other
939708,30/09/2023,Basic,01/04/1971,White
415942,22/07/2023,Basic,16/09/1947,Asian
861565,30/09/2023,Basic,19/05/1996,Black
287844,08/04/2023,Basic,15/02/1952,Other
155713,12/01/2023,Platinum,03/07/2009,White
448076,20/02/2023,Platinum,07/10/1995,White
128635,12/12/2023,Basic,16/06/2012,Asian
943375,24/01/2023,Platinum,26/07/1958,Other
656301,07/07/2023,Gold,31/01/1994,Asian
660162,16/09/2023,Platinum,02/12/2001,White
350315,31/08/2023,Gold,11/04/2014,Black
319379,15/09/2023,Gold,06/05/1974,Other
840464,06/01/2023,Gold,18/07/1968,Asian
822881,17/07/2023,Gold,26/03/2012,Other
238622,20/10/2023,Gold,27/10/1995,Asian
765708,21/12/2023,Basic,27/06/1982,Black
562722,25/10/2023,Platinum,09/08/2007,Asian
512509,22/05/2023,Gold,16/04/1991,White
232108,10/12/2023,Gold,24/01/2009,Asian
375840,17/09/2023,Gold,08/03/1963,Asian
141574,09/02/2023,Platinum,18/12/2012,Other
615502,12/09/2023,Basic,01/10/1973,Asian
229517,20/10/2023,Platinum,26/05/1969,Asian
378506,26/08/2023,Basic,08/07/1968,Other
428406,02/09/2023,Basic,08/08/1972,Asian
284005,05/04/2023,Basic,02/07/1992,Asian
560261,15/12/2023,Platinum,04/03/1949,Black
450210,24/11/2023,Basic,24/08/2018,Other
906500,14/12/2023,Platinum,31/05/2007,Other
647719,01/08/2023,Gold,20/07/2000,Black
513032,26/03/2023,Basic,12/01/1973,White
609432,13/04/2023,Platinum,28/05/2009,Other
127539,27/08/2023,Platinum,02/10/2001,Other
754172,24/07/2023,Basic,21/07/2011,White
740085,11/09/2023,Platinum,08/10/2002,Other
669652,28/11/2023,Platinum,28/05/2009,Other
689247,04/11/2023,Gold,16/11/1985,Black
293767,07/10/2023,Platinum,16/01/2018,Asian
775261,03/05/2023,Gold,23/02/1952,White
203942,28/12/2023,Gold,27/08/2016,Asian
306044,28/07/2023,Platinum,13/05/1993,Asian
111501,12/10/2023,Gold,03/05/1999,Black
901811,18/09/2023,Basic,28/08/1968,White
522270,01/05/2023,Basic,21/11/1940,Black
683299,05/06/2023,Basic,12/09/2000,Asian
919938,31/10/2023,Gold,06/12/1995,White
801185,29/09/2023,Basic,17/03/1975,Other
759970,08/12/2023,Gold,22/08/1969,White
610368,22/08/2023,Basic,15/07/1965,Other
713378,13/11/2023,Basic,28/09/1977,Black
102704,23/01/2023,Basic,09/03/2000,Black
791769,04/11/2023,Gold,02/11/1968,Black
569939,15/06/2023,Gold,11/12/2015,Black
639573,03/02/2023,Gold,07/10/1943,Other
827538,02/09/2023,Gold,21/12/1982,White
747974,10/02/2023,Gold,14/08/1966,Asian
426503,26/02/2023,Platinum,03/09/2009,Other
842913,29/03/2023,Gold,22/04/1945,Other
645286,15/02/2023,Basic,07/05/2006,Other
848661,08/10/2023,Platinum,02/12/1957,Black
385704,24/04/2023,Basic,01/01/1987,White
256154,12/07/2023,Gold,30/03/1957,Asian
116248,02/07/2023,Basic,04/02/2004,White
898177,28/02/2023,Platinum,13/10/1975,Asian
261886,13/10/2023,Basic,23/05/1974,Asian
938610,14/02/2023,Platinum,18/11/2006,Other
344841,30/07/2023,Basic,09/12/2002,White
650842,28/03/2023,Gold,06/06/1953,Other
751067,20/07/2023,Platinum,06/09/2000,Black
466462,19/06/2023,Platinum,08/05/1942,Black
983979,27/12/2023,Basic,04/05/1954,White
451936,10/06/2023,Basic,22/10/1958,Asian
698848,28/08/2023,Platinum,08/05/1970,White
546645,24/05/2023,Gold,06/09/1971,Asian
316875,31/03/2023,Basic,07/03/1992,Other
859391,15/03/2023,Platinum,11/04/1999,Black
261620,07/05/2023,Gold,30/07/1990,Black
864964,16/12/2023,Platinum,08/01/1973,Black
235138,15/11/2023,Platinum,23/04/1967,Asian
435013,18/10/2023,Basic,01/09/1998,Black
754791,03/01/2023,Basic,17/07/1952,Other
681753,07/07/2023,Basic,01/09/2019,Black
813344,20/01/2023,Gold,04/11/1966,White
222860,23/05/2023,Basic,11/02/2012,Black
867196,08/04/2023,Basic,18/06/1953,Other
230685,21/12/2023,Platinum,17/02/1961,Other
847929,16/06/2023,Basic,14/10/1951,Asian
915339,28/04/2023,Gold,07/05/1997,White
163670,17/09/2023,Platinum,07/09/1970,White
282672,09/04/2023,Platinum,20/07/1991,Black
986393,02/09/2023,Basic,14/12/2003,Black
147410,08/12/2023,Platinum,02/10/2008,White
307727,20/09/2023,Basic,06/01/1972,Other
828717,04/05/2023,Basic,08/10/1978,White
785116,24/01/2023,Gold,25/11/1957,White
150648,02/02/2023,Basic,04/06/1950,Black
174699,02/12/2023,Gold,13/03/1989,Asian
335173,11/11/2023,Gold,28/01/1942,White
245830,06/07/2023,Basic,02/09/1972,Asian
979311,08/06/2023,Platinum,08/12/2010,White
695485,12/02/2023,Gold,26/11/1954,White
488809,23/08/2023,Platinum,24/07/2004,Black
963473,13/11/2023,Platinum,01/10/2014,White
754452,04/10/2023,Basic,13/11/1955,Other
514598,28/12/2023,Platinum,10/10/1971,Other
274486,11/09/2023,Gold,11/04/2010,White
950849,08/11/2023,Gold,30/07/1990,Black
247253,21/02/2023,Gold,26/09/1987,Asian
488942,03/05/2023,Basic,02/12/1958,Other
800314,12/05/2023,Basic,20/07/1963,Other
497542,22/08/2023,Gold,19/05/2005,White
327751,27/04/2023,Platinum,26/04/1984,Asian
217539,29/10/2023,Basic,03/07/1954,White
636423,20/05/2023,Platinum,04/07/1983,Asian
593905,27/10/2023,Basic,05/12/1961,Black
425443,04/08/2023,Platinum,17/07/1977,Black
968654,12/03/2023,Gold,26/01/1981,White
272178,28/09/2023,Gold,03/03/1985,White
549280,30/06/2023,Platinum,03/12/1971,Black
307769,16/02/2023,Gold,26/07/1981,White
188081,26/02/2023,Basic,29/05/1969,Other
639158,28/10/2023,Platinum,29/09/1989,White
539530,20/06/2023,Basic,02/03/1983,Other
492316,13/06/2023,Platinum,28/05/1964,Other
664103,23/03/2023,Gold,29/06/2014,Black
855858,15/12/2023,Platinum,20/11/1959,White
471152,15/12/2023,Platinum,29/09/1990,Asian
773841,19/05/2023,Platinum,18/03/1990,Other
534626,05/09/2023,Platinum,25/06/1944,White
673773,26/08/2023,Gold,22/09/1951,White
343327,05/12/2023,Gold,12/06/1949,Asian
431391,02/02/2023,Basic,25/04/1980,Other
737345,14/02/2023,Gold,27/01/1971,Other
862571,07/02/2023,Gold,10/03/1962,Black
644707,03/10/2023,Platinum,05/07/1995,White
373223,29/03/2023,Basic,12/11/1985,Asian
435231,11/02/2023,Gold,02/01/2012,Black
620952,30/08/2023,Platinum,05/09/1979,White
441581,01/12/2023,Gold,06/07/2018,White
843274,22/05/2023,Basic,11/08/1941,Other
699074,04/08/2023,Basic,13/08/1972,Other
597131,24/05/2023,Gold,17/05/1954,White
825555,29/10/2023,Platinum,10/11/2019,Asian
914893,18/07/2023,Basic,03/01/1969,White
460383,29/06/2023,Basic,16/08/1994,Black
512357,25/09/2023,Basic,19/11/2009,White
805246,16/04/2023,Gold,20/07/1971,Asian
124765,17/07/2023,Basic,15/10/1965,Black
675810,12/03/2023,Gold,12/12/1968,Other
745654,08/12/2023,Gold,25/11/1996,Other
494925,17/10/2023,Platinum,29/11/1957,Asian
499108,11/04/2023,Platinum,21/11/1949,White
541236,12/09/2023,Gold,13/04/1964,White
