Quarter,Store,Bike,Order ID,Customer Age,Bike Value,Existing Customer?,Day of Month
3,York,Road,101,35,896,No,29
4,York,Road,102,24,602,No,26
3,York,Road,103,22,993,Yes,24
2,York,Road,104,18,1973,Yes,4
1,York,Mountain,105,39,789,Yes,19
2,London,Mountain,106,28,1283,No,6
4,London,Mountain,107,43,1246,No,18
2,London,Mountain,108,44,1163,No,11
1,London,Gravel,109,29,564,No,8
1,Leeds,Gravel,110,18,792,Yes,19
4,York,Road,111,45,1749,Yes,24
4,York,Road,112,47,883,Yes,8
3,York,Road,113,40,1877,No,4
3,York,Road,114,17,420,No,8
3,York,Mountain,115,47,1018,No,17
3,London,Mountain,116,27,480,No,12
1,London,Mountain,117,26,678,Yes,25
3,London,Mountain,118,30,1830,Yes,6
3,London,Gravel,119,39,1722,Yes,9
2,Leeds,Gravel,120,39,891,No,31
2,Birmingham,Road,121,46,1404,No,28
2,Leeds,Road,122,44,1767,No,25
3,Birmingham,Road,123,54,470,No,15
1,Manchester,Road,124,37,1572,Yes,7
1,Manchester,Mountain,125,20,1898,Yes,10
1,York,Mountain,126,18,1158,Yes,16
4,York,Mountain,127,37,654,No,21
2,York,Mountain,128,41,955,No,7
2,York,Gravel,129,39,1786,No,2
3,York,Gravel,130,26,1387,No,28
2,London,Road,131,58,432,Yes,8
4,London,Road,132,58,658,Yes,22
1,London,Road,133,40,1006,Yes,20
1,London,Road,134,49,971,No,12
2,Leeds,Mountain,135,60,1175,No,16
1,Birmingham,Mountain,136,59,1224,No,22
2,Leeds,Mountain,137,57,1994,No,30
1,Birmingham,Mountain,138,44,1434,Yes,23
3,Manchester,Gravel,139,41,472,Yes,14
3,Manchester,Gravel,140,27,1625,Yes,7
2,York,Road,141,48,638,No,29
4,York,Road,142,35,1183,No,17
2,York,Road,143,30,1415,No,23
3,York,Road,144,36,718,No,19
1,York,Mountain,145,59,1108,Yes,26
4,London,Mountain,146,25,1399,Yes,1
3,London,Mountain,147,21,1442,Yes,26
2,London,Mountain,148,40,874,No,29
2,London,Gravel,149,36,461,No,28
3,Leeds,Gravel,150,34,1947,No,16
1,Birmingham,Road,151,40,1283,No,5
2,Leeds,Road,152,57,1567,Yes,18
4,Birmingham,Road,153,49,1333,Yes,8
4,Manchester,Road,154,31,905,Yes,2
2,Manchester,Mountain,155,28,1277,No,3
3,York,Mountain,156,36,1548,No,9
1,York,Mountain,157,18,1020,No,16
1,York,Mountain,158,59,534,No,21
1,York,Gravel,159,29,795,Yes,3
3,York,Gravel,160,27,1400,Yes,4
1,London,Road,161,54,1663,Yes,28
1,London,Road,162,17,471,No,24
3,London,Road,163,32,857,No,18
4,London,Road,164,17,1889,No,4
1,Leeds,Mountain,165,52,1830,No,25
2,York,Mountain,166,15,975,Yes,1
2,York,Mountain,167,39,861,Yes,1
3,York,Mountain,168,41,1898,Yes,6
1,York,Gravel,169,15,611,No,20
3,York,Gravel,170,36,1021,No,30
1,London,Road,171,37,1520,No,2
4,London,Road,172,22,1778,No,26
2,London,Road,173,59,933,Yes,16
2,London,Road,174,57,443,Yes,16
1,Leeds,Mountain,175,37,923,Yes,12
4,Birmingham,Mountain,176,48,696,No,18
2,Leeds,Mountain,177,41,789,No,30
2,Birmingham,Mountain,178,47,1352,No,28
3,Manchester,Gravel,179,30,1426,No,22
2,Manchester,Gravel,180,36,1011,Yes,12
1,York,Road,181,44,1506,Yes,27
4,York,Road,182,31,1205,Yes,28
4,York,Road,183,36,660,No,13
3,York,Road,184,38,1052,No,9
4,York,Mountain,185,50,1742,No,28
2,London,Mountain,186,47,765,No,10
4,London,Mountain,187,29,1195,Yes,2
3,London,Mountain,188,31,1343,Yes,24
2,London,Gravel,189,42,725,Yes,21
1,Leeds,Gravel,190,44,928,No,25
1,Birmingham,Road,191,28,1736,No,8
2,Leeds,Road,192,26,1653,No,26
1,Birmingham,Road,193,34,1045,No,26
2,Manchester,Road,194,35,1245,Yes,14
1,Manchester,Mountain,195,47,1980,Yes,20
4,York,Mountain,196,43,1881,Yes,18
4,York,Mountain,197,49,1691,No,5
3,York,Mountain,198,37,535,No,18
3,York,Gravel,199,25,816,No,6
4,York,Gravel,200,30,999,No,7
1,London,Road,201,34,1255,Yes,26
2,London,Road,202,41,1998,Yes,6
3,London,Road,203,37,1610,Yes,14
2,London,Road,204,25,1438,No,19
2,Leeds,Mountain,205,27,1203,No,24
2,Birmingham,Mountain,206,29,1626,No,5
3,Leeds,Mountain,207,32,1833,No,29
2,Birmingham,Mountain,208,46,1133,Yes,18
1,Manchester,Gravel,209,30,1113,Yes,4
1,Manchester,Gravel,210,34,1544,Yes,2
2,York,Road,211,41,787,No,19
4,York,Road,212,38,641,No,30
1,York,Road,213,30,596,No,21
2,York,Road,214,49,645,No,7
2,York,Mountain,215,50,1906,Yes,14
2,London,Mountain,216,33,1923,Yes,13
4,London,Mountain,217,44,607,Yes,4
1,London,Mountain,218,36,1773,No,26
2,London,Gravel,219,34,936,No,2
2,Leeds,Gravel,220,33,1399,No,4
3,York,Road,221,48,433,No,18
2,York,Road,222,29,1415,Yes,13
2,York,Road,223,30,1327,Yes,26
2,York,Road,224,35,1105,Yes,15
2,York,Mountain,225,39,1496,No,30
3,London,Mountain,226,35,1949,No,9
1,London,Mountain,227,43,910,No,10
3,London,Mountain,228,36,1317,No,27
1,London,Gravel,229,27,646,Yes,16
4,Leeds,Gravel,230,27,419,Yes,29
1,Birmingham,Road,231,25,1593,Yes,21
2,Leeds,Road,232,37,889,No,4
4,Birmingham,Road,233,29,877,No,23
2,Manchester,Road,234,46,1073,No,1
3,Manchester,Mountain,235,35,1360,No,2
3,York,Mountain,236,40,1482,Yes,12
4,York,Mountain,237,40,545,Yes,16
2,York,Mountain,238,34,1644,Yes,20
4,York,Gravel,239,34,1899,No,28
1,York,Gravel,240,36,1108,No,19
4,London,Road,241,37,1024,No,22
2,London,Road,242,28,1404,No,11
1,London,Road,243,29,1549,Yes,26
2,London,Road,244,36,1189,Yes,15
4,Leeds,Mountain,245,42,1076,Yes,5
4,Birmingham,Mountain,246,43,976,No,15
1,Leeds,Mountain,247,31,1284,No,1
2,Birmingham,Mountain,248,48,532,No,19
1,Manchester,Gravel,249,25,1070,No,13
1,Manchester,Gravel,250,38,1132,Yes,8
3,York,Road,251,33,633,Yes,18
4,York,Road,252,40,1237,Yes,12
2,York,Road,253,31,533,No,9
3,York,Road,254,32,1758,No,3
4,York,Mountain,255,33,843,No,3
3,London,Mountain,256,48,736,No,30
1,London,Mountain,257,49,1755,Yes,26
4,London,Mountain,258,42,1014,Yes,14
3,London,Gravel,259,35,995,Yes,11
3,Leeds,Gravel,260,41,572,No,28
2,Birmingham,Road,261,31,537,No,27
3,Leeds,Road,262,47,1493,No,3
2,Birmingham,Road,263,25,1979,No,23
2,Manchester,Road,264,45,525,Yes,22
1,Manchester,Mountain,265,25,1620,Yes,30
2,York,Mountain,266,45,1761,Yes,10
2,York,Mountain,267,29,1628,No,15
3,York,Mountain,268,35,1490,No,26
2,York,Gravel,269,34,656,No,16
1,York,Gravel,270,25,1721,No,15
1,London,Road,271,50,1526,Yes,24
3,London,Road,272,32,913,Yes,7
2,London,Road,273,26,1472,Yes,26
2,London,Road,274,26,979,No,2
3,Leeds,Mountain,275,43,1587,No,27
4,York,Mountain,276,47,1794,No,8
4,York,Mountain,277,40,1697,No,26
2,York,Mountain,278,48,1833,Yes,3
2,York,Gravel,279,35,520,Yes,3
2,York,Gravel,280,33,659,Yes,29
3,London,Road,281,44,1888,No,28
4,London,Road,282,43,1677,No,9
3,London,Road,283,48,1486,No,18
1,London,Road,284,40,1913,No,4
3,Leeds,Mountain,285,37,839,Yes,23
1,Birmingham,Mountain,286,45,1652,Yes,15
2,Leeds,Mountain,287,46,1833,Yes,29
2,Birmingham,Mountain,288,29,765,No,11
1,Manchester,Gravel,289,33,990,No,25
1,Manchester,Gravel,290,37,1116,No,16
4,York,Road,291,34,657,No,22
3,York,Road,292,36,567,Yes,4
4,York,Road,293,42,1839,Yes,6
2,York,Road,294,33,770,Yes,9
2,York,Mountain,295,45,649,No,5
1,London,Mountain,296,34,1120,No,27
1,London,Mountain,297,49,1266,No,12
1,London,Mountain,298,41,828,No,8
2,London,Gravel,299,35,1968,Yes,6
3,Leeds,Gravel,300,49,602,Yes,26
4,Birmingham,Road,301,33,1076,Yes,12
2,Leeds,Road,302,48,1840,No,29
1,Birmingham,Road,303,39,620,No,24
4,Manchester,Road,304,40,1305,No,8
1,Manchester,Mountain,305,50,655,No,13
2,York,Mountain,306,29,1785,Yes,2
4,York,Mountain,307,43,1086,Yes,10
1,York,Mountain,308,26,1769,Yes,20
4,York,Gravel,309,33,1468,No,4
2,York,Gravel,310,35,1020,No,12
2,London,Road,311,29,453,No,18
4,London,Road,312,50,1560,No,29
1,London,Road,313,39,680,Yes,28
2,London,Road,314,38,1520,Yes,12
2,Leeds,Mountain,315,38,1010,Yes,15
1,Birmingham,Mountain,316,33,460,No,2
3,Leeds,Mountain,317,41,631,No,7
2,Birmingham,Mountain,318,40,1581,No,23
2,Manchester,Gravel,319,40,1370,No,14
1,Manchester,Gravel,320,35,1499,Yes,10
3,York,Road,321,26,446,Yes,8
4,York,Road,322,28,417,Yes,27
2,York,Road,323,50,1452,No,31
1,York,Road,324,40,416,No,5
1,York,Mountain,325,50,508,No,6
4,London,Mountain,326,47,1863,No,15
3,London,Mountain,327,40,1018,Yes,12
3,London,Mountain,328,37,583,Yes,14
3,London,Gravel,329,38,1288,Yes,11
3,Leeds,Gravel,330,35,1945,No,19
4,York,Road,331,26,673,No,2
3,York,Road,332,50,1566,No,30
2,York,Road,333,47,841,No,6
1,York,Road,334,33,1595,Yes,5
1,York,Mountain,335,31,1837,Yes,7
1,London,Mountain,336,40,1153,Yes,21
3,London,Mountain,337,47,477,No,19
4,London,Mountain,338,41,1248,No,4
3,London,Gravel,339,46,984,No,17
2,Leeds,Gravel,340,33,1444,No,7
1,Birmingham,Road,341,40,1309,Yes,3
1,Leeds,Road,342,31,1769,Yes,17
3,Birmingham,Road,343,33,1081,Yes,1
2,Manchester,Road,344,34,413,No,18
4,Manchester,Mountain,345,35,1985,No,19
4,York,Mountain,346,76,1304,No,29
1,York,Mountain,347,46,1093,No,29
3,York,Mountain,348,29,1952,Yes,23
3,York,Gravel,349,37,1915,Yes,17
1,York,Gravel,350,47,461,Yes,6
3,London,Road,351,36,1702,No,26
3,London,Road,352,40,981,No,29
1,London,Road,353,47,1898,No,12
1,London,Road,354,35,1428,No,18
1,Leeds,Mountain,355,45,1715,Yes,2
3,Birmingham,Mountain,356,44,1479,Yes,13
2,Leeds,Mountain,357,47,839,Yes,5
4,Birmingham,Mountain,358,39,1429,No,3
2,Manchester,Gravel,359,28,1682,No,20
2,Manchester,Gravel,360,45,778,No,4
1,York,Road,361,38,498,No,24
2,York,Road,362,25,536,Yes,17
4,York,Road,363,43,1234,Yes,10
4,York,Road,364,26,1983,Yes,2
4,York,Mountain,365,44,1737,No,24
1,London,Mountain,366,47,1040,No,23
2,London,Mountain,367,28,1027,No,13
2,London,Mountain,368,36,1490,No,11
3,London,Gravel,369,30,1794,Yes,26
2,Leeds,Gravel,370,45,1566,Yes,5
1,Birmingham,Road,371,41,1427,Yes,20
4,Leeds,Road,372,27,1420,No,13
1,Birmingham,Road,373,28,897,No,26
3,Manchester,Road,374,32,778,No,24
1,Manchester,Mountain,375,35,1615,No,12
1,York,Mountain,376,50,1177,Yes,11
3,York,Mountain,377,25,1301,Yes,4
3,York,Mountain,378,25,1848,Yes,7
2,York,Gravel,379,27,1638,No,17
4,York,Gravel,380,26,1134,No,10
1,London,Road,381,43,1465,No,20
2,London,Road,382,29,1298,No,27
4,London,Road,383,43,701,Yes,3
4,London,Road,384,50,646,Yes,20
2,Leeds,Mountain,385,42,1293,Yes,29
3,York,Mountain,386,35,644,No,29
2,York,Mountain,387,27,1411,No,3
2,York,Mountain,388,28,1810,No,5
2,York,Gravel,389,46,1107,No,4
2,York,Gravel,390,48,1226,Yes,13
3,London,Road,391,27,1278,Yes,12
4,London,Road,392,50,1968,Yes,18
3,London,Road,393,38,1499,No,5
2,London,Road,394,35,632,No,21
4,Leeds,Mountain,395,44,1180,No,14
1,Birmingham,Mountain,396,34,1565,No,2
4,Leeds,Mountain,397,36,1941,Yes,15
3,Birmingham,Mountain,398,46,1539,Yes,11
1,Manchester,Gravel,399,34,1695,Yes,16
4,Manchester,Gravel,400,25,1562,No,10
4,York,Road,401,49,1262,No,27
2,York,Road,402,44,951,No,6
3,York,Road,403,25,1814,No,10
4,York,Road,404,49,1817,Yes,6
3,York,Mountain,405,43,1921,Yes,31
4,London,Mountain,406,39,1877,Yes,6
3,London,Mountain,407,47,528,No,19
2,London,Mountain,408,42,1033,No,15
3,London,Gravel,409,47,1145,No,10
3,Leeds,Gravel,410,34,1803,No,6
1,Birmingham,Road,411,36,616,Yes,3
3,Leeds,Road,412,49,893,Yes,22
4,Birmingham,Road,413,25,478,Yes,1
2,Manchester,Road,414,43,827,No,8
2,Manchester,Mountain,415,27,1513,No,12
2,York,Mountain,416,37,1365,No,6
1,York,Mountain,417,46,1610,No,13
1,York,Mountain,418,40,606,Yes,1
1,York,Gravel,419,41,588,Yes,21
1,York,Gravel,420,25,1807,Yes,8
2,London,Road,421,36,1621,No,11
1,London,Road,422,37,959,No,31
3,London,Road,423,44,1730,No,5
3,London,Road,424,44,465,No,31
4,Leeds,Mountain,425,50,1133,Yes,7
2,Birmingham,Mountain,426,47,1315,Yes,14
4,Leeds,Mountain,427,50,1738,Yes,5
2,Birmingham,Mountain,428,45,1378,No,11
2,Manchester,Gravel,429,34,879,No,14
4,Manchester,Gravel,430,39,1816,No,29
2,York,Road,431,37,643,No,14
2,York,Road,432,32,1279,Yes,13
1,York,Road,433,31,991,Yes,3
3,York,Road,434,26,884,Yes,21
3,York,Mountain,435,34,850,No,15
2,London,Mountain,436,25,1524,No,27
2,London,Mountain,437,30,1723,No,4
4,London,Mountain,438,35,858,No,23
2,London,Gravel,439,31,405,Yes,20
1,Leeds,Gravel,440,31,839,Yes,13
4,York,Road,441,26,1500,Yes,2
2,York,Road,442,35,1697,No,15
1,York,Road,443,45,518,No,16
1,York,Road,444,39,1893,No,4
3,York,Mountain,445,48,1422,No,13
3,London,Mountain,446,29,1573,Yes,11
3,London,Mountain,447,46,1409,Yes,11
4,London,Mountain,448,41,1097,Yes,7
1,London,Gravel,449,38,1704,No,15
2,Leeds,Gravel,450,32,1145,No,30
1,Birmingham,Road,451,40,1023,No,26
4,Leeds,Road,452,26,1864,No,4
2,Birmingham,Road,453,35,1574,Yes,1
2,Manchester,Road,454,45,731,Yes,19
4,Manchester,Mountain,455,47,1895,Yes,4
3,York,Mountain,456,49,687,No,16
2,York,Mountain,457,33,1731,No,23
2,York,Mountain,458,39,771,No,3
1,York,Gravel,459,33,1473,No,14
3,York,Gravel,460,34,1499,Yes,8
2,London,Road,461,36,874,Yes,10
4,London,Road,462,40,406,Yes,4
3,London,Road,463,34,822,No,20
3,London,Road,464,43,463,No,17
3,Leeds,Mountain,465,38,594,No,12
2,Birmingham,Mountain,466,36,559,No,26
3,Leeds,Mountain,467,30,1397,Yes,7
3,Birmingham,Mountain,468,41,651,Yes,28
2,Manchester,Gravel,469,33,1357,Yes,16
4,Manchester,Gravel,470,27,744,No,22
1,York,Road,471,46,1595,No,31
4,York,Road,472,31,1180,No,15
2,York,Road,473,30,1459,No,5
3,York,Road,474,38,1588,Yes,8
1,York,Mountain,475,37,401,Yes,23
3,London,Mountain,476,32,1830,Yes,5
3,London,Mountain,477,28,1685,No,8
2,London,Mountain,478,39,1494,No,27
2,London,Gravel,479,47,1434,No,13
4,Leeds,Gravel,480,45,542,No,8
4,Birmingham,Road,481,38,1158,Yes,11
1,Leeds,Road,482,47,1835,Yes,23
4,Birmingham,Road,483,48,1474,Yes,30
4,Manchester,Road,484,31,1619,No,8
2,Manchester,Mountain,485,35,693,No,30
2,York,Mountain,486,41,1892,No,17
4,York,Mountain,487,46,820,No,13
1,York,Mountain,488,25,1599,Yes,17
2,York,Gravel,489,44,1567,Yes,24
1,York,Gravel,490,41,1944,Yes,6
2,London,Road,491,28,1147,No,25
4,London,Road,492,42,1859,No,23
4,London,Road,493,31,794,No,21
4,London,Road,494,27,1306,No,7
4,Leeds,Mountain,495,27,1784,Yes,28
4,York,Mountain,496,25,1302,Yes,30
2,York,Mountain,497,44,437,Yes,23
4,York,Mountain,498,33,940,No,10
3,York,Gravel,499,30,921,No,30
1,York,Gravel,500,31,1378,No,12
2,London,Road,501,25,838,No,11
4,London,Road,502,45,1428,Yes,6
2,London,Road,503,32,652,Yes,6
3,London,Road,504,48,1616,Yes,1
3,Leeds,Mountain,505,34,885,No,15
3,Birmingham,Mountain,506,31,1913,No,2
1,Leeds,Mountain,507,46,742,No,12
2,Birmingham,Mountain,508,34,1083,No,17
1,Manchester,Gravel,509,26,1628,Yes,14
1,Manchester,Gravel,510,32,1234,Yes,8
3,York,Road,511,43,1656,Yes,14
4,York,Road,512,33,786,No,12
2,York,Road,513,50,1931,No,30
3,York,Road,514,49,1238,No,23
2,York,Mountain,515,41,927,No,2
2,London,Mountain,516,43,804,Yes,25
2,London,Mountain,517,44,889,Yes,11
2,London,Mountain,518,38,1489,Yes,3
3,London,Gravel,519,29,989,No,28
1,Leeds,Gravel,520,40,767,No,13
2,Birmingham,Road,521,41,1301,No,4
2,Leeds,Road,522,27,574,No,16
3,Birmingham,Road,523,33,563,Yes,11
4,Manchester,Road,524,44,1497,Yes,15
4,Manchester,Mountain,525,25,903,Yes,9
2,York,Mountain,526,48,417,No,30
2,York,Mountain,527,29,1327,No,26
3,York,Mountain,528,28,1195,No,7
2,York,Gravel,529,26,1687,No,8
2,York,Gravel,530,49,805,Yes,30
2,London,Road,531,29,1146,Yes,15
3,London,Road,532,37,803,Yes,5
1,London,Road,533,40,785,No,20
4,London,Road,534,38,524,No,19
3,Leeds,Mountain,535,48,1599,No,12
1,Birmingham,Mountain,536,38,1532,No,14
4,Leeds,Mountain,537,37,453,Yes,22
2,Birmingham,Mountain,538,30,1137,Yes,14
4,Manchester,Gravel,539,31,1884,Yes,23
1,Manchester,Gravel,540,35,1966,No,17
4,York,Road,541,39,1430,No,19
3,York,Road,542,42,1772,No,28
2,York,Road,543,50,1219,No,8
3,York,Road,544,32,955,Yes,12
2,York,Mountain,545,43,410,Yes,9
2,London,Mountain,546,28,961,Yes,27
3,London,Mountain,547,82,1854,No,2
3,London,Mountain,548,31,1697,No,7
1,London,Gravel,549,40,1507,No,25
4,Leeds,Gravel,550,33,1119,No,5
1,York,Road,551,28,1972,Yes,12
1,York,Road,552,39,1609,Yes,25
3,York,Road,553,41,836,Yes,13
2,York,Road,554,35,464,No,21
4,York,Mountain,555,48,1820,No,18
3,London,Mountain,556,28,1008,No,30
4,London,Mountain,557,50,1312,No,21
1,London,Mountain,558,31,809,Yes,10
1,London,Gravel,559,50,1953,Yes,24
3,Leeds,Gravel,560,38,1605,Yes,11
1,Birmingham,Road,561,40,1562,No,21
3,Leeds,Road,562,29,798,No,13
3,Birmingham,Road,563,38,1699,No,5
2,Manchester,Road,564,40,1394,No,25
3,Manchester,Mountain,565,50,879,Yes,4
2,York,Mountain,566,37,622,Yes,3
3,York,Mountain,567,41,1568,Yes,8
4,York,Mountain,568,25,990,No,4
1,York,Gravel,569,27,1704,No,9
4,York,Gravel,570,25,1406,No,17
4,London,Road,571,29,888,No,18
2,London,Road,572,25,1570,Yes,7
4,London,Road,573,48,1146,Yes,21
3,London,Road,574,39,472,Yes,18
1,Leeds,Mountain,575,45,1593,No,9
3,Birmingham,Mountain,576,34,662,No,10
4,Leeds,Mountain,577,38,1861,No,22
3,Birmingham,Mountain,578,40,1703,No,10
1,Manchester,Gravel,579,50,652,Yes,28
2,Manchester,Gravel,580,36,1970,Yes,27
4,York,Road,581,27,974,Yes,7
2,York,Road,582,33,1375,No,7
4,York,Road,583,41,474,No,29
2,York,Road,584,25,1442,No,7
3,York,Mountain,585,25,965,No,23
4,London,Mountain,586,46,1517,Yes,10
4,London,Mountain,587,25,1355,Yes,10
3,London,Mountain,588,31,1799,Yes,12
2,London,Gravel,589,26,427,No,17
3,Leeds,Gravel,590,31,756,No,2
2,Birmingham,Road,591,40,1308,No,23
3,Leeds,Road,592,38,908,No,11
4,Birmingham,Road,593,33,1386,Yes,11
1,Manchester,Road,594,38,1083,Yes,9
1,Manchester,Mountain,595,47,1762,Yes,20
3,York,Mountain,596,28,639,No,6
1,York,Mountain,597,25,1509,No,30
2,York,Mountain,598,46,532,No,3
1,York,Gravel,599,45,1131,No,28
3,York,Gravel,600,42,3946,Yes,5
2,London,Road,601,25,1731,Yes,4
3,London,Road,602,38,3480,Yes,22
1,London,Road,603,44,2968,No,2
2,London,Road,604,46,1554,No,1
3,Leeds,Mountain,605,31,1870,No,18
3,York,Mountain,606,30,3839,No,25
3,York,Mountain,607,47,4542,Yes,7
2,York,Mountain,608,44,2146,Yes,22
3,York,Gravel,609,50,3189,Yes,29
2,York,Gravel,610,35,2248,No,11
3,London,Road,611,25,1256,No,12
3,London,Road,612,49,4847,No,22
2,London,Road,613,33,4128,No,11
3,London,Road,614,35,2743,Yes,27
1,Leeds,Mountain,615,33,3978,Yes,10
4,Birmingham,Mountain,616,49,4844,Yes,6
4,Leeds,Mountain,617,27,4548,No,26
2,Birmingham,Mountain,618,41,1468,No,11
4,Manchester,Gravel,619,44,3008,No,7
1,Manchester,Gravel,620,49,1314,No,2
2,York,Road,621,47,3504,Yes,21
1,York,Road,622,35,2483,Yes,5
2,York,Road,623,41,4604,Yes,10
4,York,Road,624,29,4111,No,8
1,York,Mountain,625,40,4582,No,23
4,London,Mountain,626,29,1466,No,19
1,London,Mountain,627,47,4315,No,10
3,London,Mountain,628,42,3741,Yes,25
4,London,Gravel,629,31,1550,Yes,7
2,Leeds,Gravel,630,33,2348,Yes,29
3,Birmingham,Road,631,46,2395,No,30
3,Leeds,Road,632,31,2150,No,19
1,Birmingham,Road,633,41,2102,No,19
4,Manchester,Road,634,32,4873,No,23
1,Manchester,Mountain,635,37,3568,Yes,4
2,York,Mountain,636,39,2822,Yes,5
2,York,Mountain,637,47,4454,Yes,30
4,York,Mountain,638,37,2113,No,18
1,York,Gravel,639,34,4398,No,23
4,York,Gravel,640,46,3714,No,6
4,London,Road,641,34,2559,No,22
2,London,Road,642,38,3956,Yes,25
2,London,Road,643,28,4538,Yes,27
3,London,Road,644,50,1536,Yes,9
3,Leeds,Mountain,645,40,4713,No,8
4,Birmingham,Mountain,646,36,3565,No,21
2,Leeds,Mountain,647,30,3130,No,11
4,Birmingham,Mountain,648,42,4912,No,7
4,Manchester,Gravel,649,47,3299,Yes,30
1,Manchester,Gravel,650,49,4845,Yes,31
1,York,Road,651,40,2597,Yes,29
1,York,Road,652,32,2898,No,5
3,York,Road,653,43,2461,No,21
2,York,Road,654,29,1918,No,29
4,York,Mountain,655,41,3129,No,9
1,London,Mountain,656,29,4420,Yes,13
1,London,Mountain,657,41,3450,Yes,7
2,London,Mountain,658,39,2635,Yes,8
2,London,Gravel,659,36,4086,No,28
3,Leeds,Gravel,660,29,1105,No,15
3,York,Road,661,50,4425,No,17
3,York,Road,662,36,1122,No,28
2,York,Road,663,34,1631,Yes,12
3,York,Road,664,28,3062,Yes,13
4,York,Mountain,665,29,4459,Yes,10
1,London,Mountain,666,33,1396,No,22
2,London,Mountain,667,25,4814,No,1
4,London,Mountain,668,42,2078,No,21
3,London,Gravel,669,28,2529,No,21
4,Leeds,Gravel,670,28,3056,Yes,2
3,Birmingham,Road,671,38,1399,Yes,25
2,Leeds,Road,672,36,1802,Yes,11
2,Birmingham,Road,673,43,3255,No,6
4,Manchester,Road,674,43,1060,No,9
2,Manchester,Mountain,675,48,1703,No,3
2,York,Mountain,676,50,3384,No,16
