Transaction Code,Value,Customer Code,Online or In-Person,Transaction Date
DS-927-701-335,7630,100010,2,15/08/2023 00:00:00
DS-370-476-555,5449,100008,2,28/08/2023 00:00:00
DS-355-542-864,7427,100008,1,30/10/2023 00:00:00
DS-212-505-641,5010,100004,1,20/01/2023 00:00:00
DS-844-497-425,203,100006,1,30/06/2023 00:00:00
DTB-510-431-441,3581,100000,2,12/09/2023 00:00:00
DTB-241-697-487,6357,100007,1,12/12/2023 00:00:00
DS-791-640-399,9644,100007,1,14/09/2023 00:00:00
DTB-467-201-973,4994,100009,1,25/07/2023 00:00:00
DS-397-219-926,3855,100000,1,03/04/2023 00:00:00
DSB-383-954-224,4482,100006,1,02/05/2023 00:00:00
DS-565-291-205,1804,100008,1,22/06/2023 00:00:00
DTB-246-670-752,5804,100002,1,25/04/2023 00:00:00
DTB-426-206-427,3763,100004,2,15/07/2023 00:00:00
DTB-472-169-553,5861,100009,2,17/03/2023 00:00:00
DS-965-495-114,2461,100004,2,26/02/2023 00:00:00
DTB-749-397-836,7378,100004,2,26/08/2023 00:00:00
DSB-944-891-977,7295,100006,1,26/10/2023 00:00:00
DS-945-974-199,6413,100000,2,01/02/2023 00:00:00
DSB-960-872-814,7234,100009,1,04/03/2023 00:00:00
DS-209-852-108,1114,100007,2,06/01/2023 00:00:00
DS-347-632-441,6321,100009,1,07/04/2023 00:00:00
DS-111-517-449,3007,100002,2,10/03/2023 00:00:00
DSB-958-959-319,453,100001,2,25/11/2023 00:00:00
DTB-386-766-694,7411,100006,1,08/07/2023 00:00:00
DTB-577-974-609,4899,100003,2,21/12/2023 00:00:00
DS-218-748-617,3252,100002,1,13/01/2023 00:00:00
DTB-862-308-123,738,100001,1,20/06/2023 00:00:00
DTB-274-779-444,6335,100004,1,31/12/2023 00:00:00
DTB-252-774-498,9460,100000,1,22/10/2023 00:00:00
DS-502-285-516,8758,100002,1,30/09/2023 00:00:00
DS-365-629-722,6859,100010,1,08/07/2023 00:00:00
DSB-387-682-854,1509,100000,2,12/12/2023 00:00:00
DS-258-197-667,6102,100008,1,29/04/2023 00:00:00
DSB-950-437-523,6107,100001,2,14/01/2023 00:00:00
DTB-586-583-900,436,100008,2,20/07/2023 00:00:00
DTB-553-704-541,4289,100003,1,26/07/2023 00:00:00
DTB-428-277-419,6015,100005,2,13/01/2023 00:00:00
DTB-944-219-439,5271,100001,2,23/02/2023 00:00:00
DTB-291-474-210,6395,100009,1,09/10/2023 00:00:00
DS-789-775-614,6646,100004,1,16/08/2023 00:00:00
DS-734-725-118,1447,100000,1,12/12/2023 00:00:00
DS-665-549-588,4793,100008,2,16/11/2023 00:00:00
DSB-717-342-793,2943,100008,2,23/04/2023 00:00:00
DS-679-253-456,1525,100000,2,02/05/2023 00:00:00
DSB-316-692-428,7570,100009,1,18/01/2023 00:00:00
DS-171-879-826,6720,100007,1,28/04/2023 00:00:00
DS-235-302-587,408,100007,2,15/09/2023 00:00:00
DS-955-235-250,8863,100001,1,03/04/2023 00:00:00
DTB-978-405-870,71,100005,2,08/10/2023 00:00:00
DS-866-694-363,1943,100003,2,02/03/2023 00:00:00
DS-687-299-953,2185,100003,2,20/06/2023 00:00:00
DSB-941-314-836,3919,100000,2,12/01/2023 00:00:00
DS-798-477-435,4419,100000,2,06/03/2023 00:00:00
DTB-747-347-342,8397,100000,1,17/03/2023 00:00:00
DSB-144-777-889,1747,100006,1,16/03/2023 00:00:00
DS-593-205-168,2185,100006,2,27/11/2023 00:00:00
DTB-278-276-131,310,100006,2,04/10/2023 00:00:00
DTB-403-626-859,375,100008,2,08/04/2023 00:00:00
DSB-947-805-863,6772,100006,2,16/08/2023 00:00:00
DSB-939-176-839,1661,100001,1,05/02/2023 00:00:00
DTB-940-583-541,4057,100003,2,09/02/2023 00:00:00
DS-526-540-759,7144,100001,2,30/10/2023 00:00:00
DTB-497-482-165,5156,100005,2,25/03/2023 00:00:00
DSB-585-219-171,9038,100010,2,01/07/2023 00:00:00
DTB-488-152-871,2377,100005,1,01/12/2023 00:00:00
DSB-479-502-581,2952,100005,2,12/07/2023 00:00:00
DSB-810-110-106,8010,100001,2,19/01/2023 00:00:00
DTB-372-398-449,1018,100000,2,31/08/2023 00:00:00
DTB-216-877-118,3399,100007,2,20/10/2023 00:00:00
DTB-576-237-983,8591,100010,2,02/02/2023 00:00:00
DS-710-262-749,1535,100001,1,20/03/2023 00:00:00
DS-198-943-233,5817,100001,1,07/10/2023 00:00:00
DSB-687-427-946,4548,100008,1,21/05/2023 00:00:00
DSB-398-171-429,6707,100005,2,12/06/2023 00:00:00
DS-467-273-977,3109,100000,1,23/05/2023 00:00:00
DSB-449-495-555,2749,100004,2,21/11/2023 00:00:00
DS-360-220-260,2426,100006,2,04/03/2023 00:00:00
DS-693-880-973,9231,100005,1,05/07/2023 00:00:00
DSB-863-337-664,6877,100008,1,04/06/2023 00:00:00
DTB-138-656-773,9742,100010,1,28/03/2023 00:00:00
DTB-100-567-899,6812,100000,1,18/03/2023 00:00:00
DTB-301-268-659,5489,100008,1,27/07/2023 00:00:00
DS-588-880-706,670,100001,2,15/08/2023 00:00:00
DSB-178-545-735,9556,100001,1,22/09/2023 00:00:00
DS-341-725-207,9446,100007,1,30/08/2023 00:00:00
DSB-640-103-666,3823,100008,1,22/04/2023 00:00:00
DS-288-137-909,9190,100006,1,17/02/2023 00:00:00
DTB-364-959-676,5625,100004,1,29/11/2023 00:00:00
DS-192-294-442,8423,100009,2,04/08/2023 00:00:00
DTB-328-895-365,7883,100000,2,21/03/2023 00:00:00
DSB-361-585-971,8013,100005,1,31/10/2023 00:00:00
DSB-889-783-271,7446,100010,2,22/07/2023 00:00:00
DTB-643-666-175,674,100004,1,02/03/2023 00:00:00
DTB-283-416-862,1143,100004,1,11/08/2023 00:00:00
DTB-281-301-536,9250,100001,1,03/01/2023 00:00:00
DTB-764-607-507,3688,100003,2,01/10/2023 00:00:00
DS-627-665-678,8305,100002,1,20/08/2023 00:00:00
DS-306-192-215,9662,100003,2,23/05/2023 00:00:00
DTB-449-596-494,2418,100010,2,16/10/2023 00:00:00
DTB-176-628-986,8413,100008,1,02/05/2023 00:00:00
DSB-897-391-762,9324,100009,1,09/12/2023 00:00:00
DS-125-329-654,3584,100000,2,01/09/2023 00:00:00
DTB-420-160-332,3479,100007,2,07/02/2023 00:00:00
DTB-369-603-601,2061,100009,2,09/03/2023 00:00:00
DS-254-703-528,9745,100006,2,07/12/2023 00:00:00
DTB-649-747-460,2534,100004,2,16/05/2023 00:00:00
DTB-441-852-659,858,100007,2,17/04/2023 00:00:00
DSB-780-635-767,4289,100001,2,07/02/2023 00:00:00
DTB-307-788-998,1892,100004,1,22/06/2023 00:00:00
DTB-341-297-581,8609,100001,1,10/05/2023 00:00:00
DSB-694-477-136,9787,100001,2,12/03/2023 00:00:00
DTB-959-794-142,87,100000,1,13/03/2023 00:00:00
DSB-973-745-368,3335,100010,1,06/07/2023 00:00:00
DTB-924-481-806,3445,100001,2,11/12/2023 00:00:00
DSB-445-567-300,5275,100006,2,30/09/2023 00:00:00
DS-737-300-225,4166,100006,1,28/01/2023 00:00:00
DS-655-186-971,1861,100009,1,24/06/2023 00:00:00
DTB-281-239-256,2583,100008,2,05/05/2023 00:00:00
DS-281-725-261,9687,100005,2,27/06/2023 00:00:00
DSB-381-770-854,1085,100004,2,23/09/2023 00:00:00
DS-878-496-891,4593,100004,2,08/12/2023 00:00:00
DSB-826-723-896,1172,100000,1,01/04/2023 00:00:00
DSB-453-650-136,2991,100006,1,26/07/2023 00:00:00
DS-670-149-112,271,100000,2,14/08/2023 00:00:00
DTB-186-299-741,3482,100008,1,22/05/2023 00:00:00
DS-586-726-999,9967,100007,2,20/09/2023 00:00:00
DTB-248-224-631,2515,100010,2,29/11/2023 00:00:00
DTB-774-131-267,5684,100009,1,05/06/2023 00:00:00
DS-187-721-748,5218,100000,2,31/08/2023 00:00:00
DTB-438-458-368,9504,100002,1,15/08/2023 00:00:00
DSB-351-311-669,4310,100001,1,28/03/2023 00:00:00
DS-404-581-678,9678,100004,2,04/11/2023 00:00:00
DSB-198-543-119,860,100000,2,06/02/2023 00:00:00
DTB-429-384-856,3396,100003,2,16/12/2023 00:00:00
DS-529-962-408,58,100000,1,02/07/2023 00:00:00
DS-404-603-233,9371,100004,2,12/01/2023 00:00:00
DS-511-603-331,9422,100000,2,24/11/2023 00:00:00
DTB-505-902-367,8724,100000,2,05/01/2023 00:00:00
DS-982-223-953,1889,100010,1,09/03/2023 00:00:00
DTB-510-953-856,1718,100004,1,27/08/2023 00:00:00
DSB-500-785-486,19,100005,1,07/11/2023 00:00:00
DS-592-224-216,2659,100001,2,28/06/2023 00:00:00
DTB-717-282-297,2429,100001,1,31/07/2023 00:00:00
DSB-111-998-812,383,100005,2,19/11/2023 00:00:00
DTB-719-148-403,9278,100005,2,04/07/2023 00:00:00
DSB-929-643-537,9695,100010,2,21/10/2023 00:00:00
DS-575-495-505,8939,100009,1,14/10/2023 00:00:00
DS-333-826-793,3517,100006,2,31/05/2023 00:00:00
DS-606-398-163,4151,100004,1,27/05/2023 00:00:00
DSB-826-702-433,3056,100007,2,09/04/2023 00:00:00
DSB-898-497-860,8495,100009,1,05/10/2023 00:00:00
DS-752-559-243,6584,100010,2,03/05/2023 00:00:00
DSB-986-129-701,5547,100010,2,05/11/2023 00:00:00
DS-455-564-114,7266,100006,2,04/02/2023 00:00:00
DSB-888-871-528,5835,100005,2,26/02/2023 00:00:00
DTB-457-113-683,8488,100003,2,16/08/2023 00:00:00
DS-375-648-276,4743,100002,1,20/12/2023 00:00:00
DTB-860-889-613,6177,100010,2,21/02/2023 00:00:00
DS-773-677-347,6688,100010,2,28/12/2023 00:00:00
DSB-578-322-363,2436,100007,1,15/02/2023 00:00:00
DS-755-385-242,2902,100008,1,24/06/2023 00:00:00
DS-732-121-304,2282,100003,2,30/10/2023 00:00:00
DSB-746-875-854,7212,100007,2,30/07/2023 00:00:00
DS-684-493-749,5201,100003,1,04/04/2023 00:00:00
DSB-322-517-459,3771,100006,1,01/08/2023 00:00:00
DTB-258-384-644,8588,100003,1,09/11/2023 00:00:00
DTB-974-818-255,4513,100003,1,14/02/2023 00:00:00
DS-886-508-866,9737,100010,2,23/11/2023 00:00:00
DTB-842-214-428,1023,100009,2,17/02/2023 00:00:00
DTB-141-142-814,3955,100002,1,16/04/2023 00:00:00
DS-751-551-926,4090,100010,2,27/08/2023 00:00:00
DS-172-783-290,6501,100007,2,28/08/2023 00:00:00
DS-259-641-898,4676,100009,1,10/10/2023 00:00:00
DS-634-302-762,6436,100000,2,07/01/2023 00:00:00
DS-769-269-955,7577,100007,2,05/10/2023 00:00:00
DS-531-203-189,8205,100009,1,20/06/2023 00:00:00
DTB-351-352-522,5483,100009,1,03/06/2023 00:00:00
DS-841-484-761,6833,100010,2,11/11/2023 00:00:00
DS-919-877-792,8132,100001,2,06/08/2023 00:00:00
DS-225-784-204,1248,100007,2,07/02/2023 00:00:00
DS-536-538-408,2281,100009,2,18/10/2023 00:00:00
DSB-486-829-786,6490,100004,2,24/05/2023 00:00:00
DTB-996-407-559,1457,100001,1,14/05/2023 00:00:00
DSB-682-505-375,4605,100005,2,07/08/2023 00:00:00
DSB-897-798-544,4894,100000,1,04/03/2023 00:00:00
DS-474-951-890,9153,100010,1,20/01/2023 00:00:00
DSB-151-451-963,7580,100002,2,13/03/2023 00:00:00
DSB-645-441-121,3580,100010,2,27/06/2023 00:00:00
DTB-494-624-292,4388,100005,2,11/10/2023 00:00:00
DSB-999-223-566,6610,100004,2,15/04/2023 00:00:00
DS-581-170-509,2228,100002,2,11/11/2023 00:00:00
DS-873-743-860,1486,100005,2,23/03/2023 00:00:00
DTB-240-732-707,3234,100003,2,02/05/2023 00:00:00
DTB-518-568-674,1813,100004,1,23/03/2023 00:00:00
DSB-449-576-263,6957,100002,1,07/06/2023 00:00:00
DTB-494-288-438,7061,100004,2,20/09/2023 00:00:00
DTB-652-964-540,213,100003,2,07/07/2023 00:00:00
DTB-921-399-721,1163,100009,2,14/12/2023 00:00:00
DTB-441-276-913,3974,100007,1,19/03/2023 00:00:00
DSB-966-187-561,9218,100003,2,26/06/2023 00:00:00
DS-894-660-291,8828,100008,1,08/11/2023 00:00:00
DS-495-454-269,9740,100007,2,21/06/2023 00:00:00
DS-943-492-887,5088,100002,2,25/09/2023 00:00:00
DTB-907-361-823,3616,100001,2,08/10/2023 00:00:00
DTB-987-599-339,3379,100001,1,13/10/2023 00:00:00
DSB-233-131-273,9402,100005,2,24/03/2023 00:00:00
DS-851-713-360,4095,100004,1,29/09/2023 00:00:00
DS-441-725-888,7417,100008,1,25/01/2023 00:00:00
DTB-943-852-828,3896,100000,1,04/01/2023 00:00:00
DTB-560-455-449,9885,100008,1,17/08/2023 00:00:00
DTB-379-731-417,8529,100003,2,27/04/2023 00:00:00
DSB-576-399-534,9624,100010,1,17/06/2023 00:00:00
DTB-477-648-723,9651,100006,2,31/05/2023 00:00:00
DSB-151-356-589,7282,100008,2,15/11/2023 00:00:00
DTB-245-565-791,9741,100008,2,02/03/2023 00:00:00
DS-170-847-698,4421,100006,2,30/07/2023 00:00:00
DSB-295-272-744,1143,100010,2,15/01/2023 00:00:00
DS-132-609-155,2637,100001,2,18/05/2023 00:00:00
DS-782-399-288,9957,100002,1,26/03/2023 00:00:00
DSB-879-779-671,4052,100008,1,12/06/2023 00:00:00
DTB-626-173-186,2104,100009,1,21/06/2023 00:00:00
DSB-737-365-104,5769,100004,2,20/04/2023 00:00:00
DSB-887-499-205,1183,100005,1,15/07/2023 00:00:00
DSB-346-293-547,5941,100010,1,06/01/2023 00:00:00
DSB-850-418-283,6323,100010,1,30/01/2023 00:00:00
DS-258-775-522,5888,100010,2,02/11/2023 00:00:00
DTB-805-505-997,3603,100002,2,12/11/2023 00:00:00
DSB-935-237-653,6023,100003,2,05/01/2023 00:00:00
DTB-581-151-417,8942,100002,2,15/04/2023 00:00:00
DTB-298-815-470,1109,100003,2,31/08/2023 00:00:00
DS-101-351-324,452,100004,1,09/09/2023 00:00:00
DTB-168-731-532,6505,100007,2,12/08/2023 00:00:00
DSB-958-715-703,8209,100010,2,07/10/2023 00:00:00
DS-487-940-164,3513,100002,1,15/03/2023 00:00:00
DS-731-491-480,2296,100008,1,13/03/2023 00:00:00
DTB-902-189-299,1686,100001,1,22/07/2023 00:00:00
DTB-507-506-852,1626,100003,2,29/03/2023 00:00:00
DTB-116-899-961,5084,100010,1,09/07/2023 00:00:00
DTB-878-671-757,6051,100002,2,25/10/2023 00:00:00
DSB-611-683-521,9856,100000,1,06/07/2023 00:00:00
DSB-909-233-831,9952,100010,1,18/12/2023 00:00:00
DTB-225-470-945,2528,100006,2,09/04/2023 00:00:00
DTB-859-538-629,3182,100004,1,27/12/2023 00:00:00
DTB-554-437-242,2786,100003,1,06/12/2023 00:00:00
DS-393-585-539,3547,100007,2,16/06/2023 00:00:00
DS-230-659-443,5763,100005,1,24/06/2023 00:00:00
DSB-287-213-929,7072,100001,1,22/03/2023 00:00:00
DSB-126-213-107,6907,100003,1,14/02/2023 00:00:00
DS-456-917-602,8227,100004,2,21/07/2023 00:00:00
DTB-299-201-461,5686,100000,2,08/12/2023 00:00:00
DS-429-847-104,1699,100002,2,28/08/2023 00:00:00
DTB-202-133-809,1801,100006,1,18/01/2023 00:00:00
DTB-599-178-862,1906,100003,1,09/11/2023 00:00:00
DS-148-720-355,1745,100006,2,20/08/2023 00:00:00
DTB-752-489-658,2546,100001,2,28/06/2023 00:00:00
DS-350-547-335,2416,100006,1,14/02/2023 00:00:00
DSB-185-559-734,9155,100001,2,06/03/2023 00:00:00
DTB-717-659-801,8751,100002,2,30/12/2023 00:00:00
DTB-852-120-462,5865,100003,2,02/08/2023 00:00:00
DS-442-947-647,1044,100010,2,11/05/2023 00:00:00
DSB-761-223-182,8019,100004,1,29/03/2023 00:00:00
DSB-595-986-597,5421,100003,2,14/08/2023 00:00:00
DTB-381-815-411,4326,100008,1,09/07/2023 00:00:00
DSB-425-190-500,3983,100003,2,20/05/2023 00:00:00
DSB-777-850-495,2406,100005,2,17/05/2023 00:00:00
DTB-744-765-370,4230,100003,2,24/10/2023 00:00:00
DSB-137-197-617,5466,100002,2,07/02/2023 00:00:00
DTB-146-629-185,5605,100001,2,06/02/2023 00:00:00
DS-219-743-467,3723,100005,1,28/04/2023 00:00:00
DTB-789-942-203,3235,100008,2,08/08/2023 00:00:00
DS-653-826-671,4328,100006,1,24/03/2023 00:00:00
DSB-150-144-605,9525,100007,1,13/05/2023 00:00:00
DSB-720-273-289,7473,100007,1,28/07/2023 00:00:00
DSB-408-665-602,5814,100005,2,14/09/2023 00:00:00
DSB-749-609-804,3197,100003,1,17/05/2023 00:00:00
DS-442-498-850,2509,100002,1,11/07/2023 00:00:00
DSB-644-104-345,4107,100009,2,22/11/2023 00:00:00
DSB-420-815-535,3479,100010,1,08/08/2023 00:00:00
DTB-706-634-972,9473,100008,2,28/10/2023 00:00:00
DSB-915-466-516,1849,100003,2,17/09/2023 00:00:00
DS-469-351-647,8511,100009,1,07/10/2023 00:00:00
DSB-104-892-177,268,100005,1,20/02/2023 00:00:00
DS-238-377-498,7338,100010,2,24/11/2023 00:00:00
DTB-124-179-182,997,100004,2,23/05/2023 00:00:00
DSB-955-801-490,9224,100010,1,17/07/2023 00:00:00
DTB-375-423-851,4618,100007,1,13/11/2023 00:00:00
DTB-770-753-319,118,100007,2,29/12/2023 00:00:00
DS-801-311-579,1474,100008,1,12/02/2023 00:00:00
DS-568-852-306,6736,100005,1,15/12/2023 00:00:00
DTB-574-145-927,6062,100010,2,16/01/2023 00:00:00
DSB-805-241-218,8032,100003,2,15/06/2023 00:00:00
DSB-608-872-315,1276,100004,1,20/06/2023 00:00:00
DTB-980-195-716,13,100010,2,09/08/2023 00:00:00
DTB-124-811-619,9644,100006,1,11/04/2023 00:00:00
DTB-653-516-880,320,100004,1,17/05/2023 00:00:00
DTB-232-340-571,1296,100010,2,29/08/2023 00:00:00
DSB-371-302-712,1793,100003,1,02/08/2023 00:00:00
DTB-369-539-306,464,100010,2,29/10/2023 00:00:00
DS-426-614-231,1733,100005,2,09/08/2023 00:00:00
DTB-922-825-725,1658,100006,1,20/11/2023 00:00:00
DSB-785-665-762,6114,100004,2,08/04/2023 00:00:00
DTB-667-521-670,4488,100001,1,10/12/2023 00:00:00
DS-966-264-908,736,100000,1,27/02/2023 00:00:00
DSB-618-298-395,9280,100008,1,10/03/2023 00:00:00
DSB-637-369-281,6060,100002,2,09/08/2023 00:00:00
DTB-726-578-442,9386,100009,2,10/12/2023 00:00:00
DSB-322-596-206,900,100001,1,04/02/2023 00:00:00
DSB-384-247-358,6446,100003,1,28/06/2023 00:00:00
DTB-875-958-765,5762,100010,1,01/01/2024 00:00:00
DS-602-190-930,979,100002,2,30/06/2023 00:00:00
DTB-640-177-859,7500,100005,1,28/09/2023 00:00:00
DS-236-990-748,7767,100001,1,11/07/2023 00:00:00
DSB-879-328-611,8316,100008,1,25/11/2023 00:00:00
DTB-116-439-102,6708,100001,1,29/01/2023 00:00:00
DS-849-981-514,8500,100000,2,29/10/2023 00:00:00
DS-726-686-279,9455,100006,2,10/08/2023 00:00:00
DS-551-937-380,475,100002,1,11/10/2023 00:00:00
DS-976-542-770,7364,100009,1,09/10/2023 00:00:00
