Misalignment Flag,Reporting Month,Reporting Day,Reporting Date,New Customers,ROI New Customers,ROI Reporting Month
,September-2022,2,01/09/2022,4,2,Sept-22
,October-2023,6,06/10/2023,7,4,Oct-23
,January-2023,13,18/01/2023,10,7,Jan-23
,August-2023,14,17/08/2023,7,5,Aug-23
,September-2022,7,08/09/2022,9,6,Sept-22
,January-2023,16,23/01/2023,16,10,Jan-23
,March-2023,10,13/03/2023,15,9,Mar-23
X,August-2023,6,07/08/2023,12,0,
,January-2022,17,25/01/2022,4,2,Jan-22
,February-2022,10,11/02/2022,7,4,Feb-22
,June-2022,15,22/06/2022,4,2,Jun-22
,June-2023,16,21/06/2023,4,2,Jun-23
,October-2023,8,10/10/2023,6,4,Oct-23
X,October-2022,21,28/10/2022,2,1,Nov-22
,April-2022,8,11/04/2022,15,9,Apr-22
,June-2023,13,16/06/2023,4,2,Jun-23
,December-2023,11,14/12/2023,7,4,Dec-23
,August-2022,7,08/08/2022,16,10,Aug-22
,January-2022,15,21/01/2022,3,2,Jan-22
,June-2022,19,28/06/2022,8,5,Jun-22
,October-2023,10,12/10/2023,6,4,Oct-23
,May-2022,12,17/05/2022,5,3,May-22
,January-2022,6,10/01/2022,11,6,Jan-22
,July-2022,16,21/07/2022,5,3,Jul-22
,March-2023,16,21/03/2023,4,2,Mar-23
,August-2022,22,30/08/2022,22,13,Aug-22
,July-2023,10,13/07/2023,7,5,Jul-23
,October-2023,17,23/10/2023,19,11,Oct-23
,December-2022,10,13/12/2022,3,1,Dec-22
,June-2023,8,09/06/2023,8,6,Jun-23
,December-2022,16,21/12/2022,4,2,Dec-22
,February-2023,18,23/02/2023,7,5,Feb-23
,July-2022,11,14/07/2022,5,3,Jul-22
,September-2023,18,25/09/2023,15,9,Sept-23
,April-2023,14,21/04/2023,7,5,Apr-23
,May-2022,17,24/05/2022,6,4,May-22
,June-2023,5,06/06/2023,4,14,Jun-23
,October-2022,13,18/10/2022,3,1,Oct-22
,August-2023,3,02/08/2023,6,4,Aug-23
,December-2023,14,19/12/2023,4,2,Dec-23
,June-2023,17,22/06/2023,3,1,Jun-23
,November-2023,6,07/11/2023,4,2,Nov-23
,January-2023,2,03/01/2023,21,14,Jan-23
,December-2023,18,27/12/2023,28,18,Dec-23
,November-2022,12,15/11/2022,6,3,Nov-22
,July-2022,10,13/07/2022,4,2,Jul-22
,March-2023,13,16/03/2023,2,0,Mar-23
,April-2022,15,22/04/2022,4,2,Apr-22
,October-2022,15,20/10/2022,4,2,Oct-22
,August-2023,19,24/08/2023,8,6,Aug-23
,August-2023,13,16/08/2023,6,4,Aug-23
,February-2023,9,10/02/2023,4,2,Feb-23
,July-2023,17,24/07/2023,16,9,Jul-23
,September-2023,21,28/09/2023,2,1,Sept-23
,October-2023,3,03/10/2023,4,2,Oct-23
,October-2023,12,16/10/2023,13,7,Oct-23
,April-2023,9,14/04/2023,6,4,Apr-23
,September-2022,6,07/09/2022,6,4,Sept-22
,July-2023,6,07/07/2023,8,5,Jul-23
,April-2022,12,19/04/2022,24,15,Apr-22
,November-2022,4,03/11/2022,7,4,Nov-22
,June-2023,6,07/06/2023,3,1,Jun-23
,May-2022,11,16/05/2022,18,12,May-22
,December-2023,13,18/12/2023,8,4,Dec-23
,December-2023,15,20/12/2023,7,4,Dec-23
,March-2022,19,24/03/2022,4,2,Mar-22
,May-2023,3,03/05/2023,8,5,May-23
,May-2022,14,19/05/2022,5,3,May-22
,August-2023,11,14/08/2023,14,9,Aug-23
,September-2023,12,15/09/2023,3,1,Sept-23
,February-2022,12,15/02/2022,1,0,Feb-22
,July-2022,12,15/07/2022,2,1,Jul-22
,June-2022,2,01/06/2022,4,2,Jun-22
,October-2023,18,24/10/2023,2,1,Oct-23
,October-2023,13,17/10/2023,2,1,Oct-23
,January-2023,11,16/01/2023,14,9,Jan-23
,June-2022,12,17/06/2022,6,4,Jun-22
,October-2022,16,21/10/2022,5,3,Oct-22
,July-2023,19,26/07/2023,3,2,Jul-23
,September-2023,4,05/09/2023,5,3,Sept-23
,January-2022,10,14/01/2022,7,4,Jan-22
,September-2022,10,13/09/2022,3,2,Sept-22
,December-2022,20,29/12/2022,4,2,Dec-22
,October-2022,10,13/10/2022,4,2,Oct-22
,July-2023,18,25/07/2023,4,2,Jul-23
,May-2022,19,26/05/2022,3,1,May-22
,March-2022,13,16/03/2022,8,5,Mar-22
,June-2023,7,08/06/2023,4,2,Jun-23
,September-2022,8,09/09/2022,5,3,Sept-22
,March-2022,11,14/03/2022,15,9,Mar-22
,July-2023,5,06/07/2023,1,0,Jul-23
,December-2023,9,12/12/2023,5,3,Dec-23
,June-2023,19,26/06/2023,19,12,Jun-23
,November-2023,17,22/11/2023,5,3,Nov-23
,August-2022,13,16/08/2022,4,2,Aug-22
,October-2023,1,29/09/2023,2,1,Oct-23
,June-2023,10,13/06/2023,11,8,Jun-23
,March-2023,8,09/03/2023,5,3,Mar-23
,February-2023,7,08/02/2023,9,6,Feb-23
,November-2023,16,21/11/2023,2,1,Nov-23
,December-2023,5,06/12/2023,2,1,Dec-23
,April-2023,6,11/04/2023,23,15,Apr-23
,May-2023,20,30/05/2023,16,9,May-23
,October-2023,9,11/10/2023,9,6,Oct-23
,June-2023,3,02/06/2023,4,2,Jun-23
,September-2022,18,26/09/2022,15,8,Sept-22
,May-2022,21,30/05/2022,14,9,May-22
,September-2022,11,14/09/2022,5,3,Sept-22
,November-2023,18,23/11/2023,7,5,Nov-23
,December-2022,1,30/11/2022,2,1,Dec-22
,December-2022,9,12/12/2022,15,9,Dec-22
,August-2022,19,24/08/2022,6,4,Aug-22
,July-2023,2,03/07/2023,15,9,Jul-23
,October-2023,7,09/10/2023,11,7,Oct-23
,September-2023,7,08/09/2023,3,1,Sept-23
,September-2022,16,22/09/2022,3,1,Sept-22
,November-2022,21,28/11/2022,19,11,Nov-22
,December-2023,16,21/12/2023,0,0,Dec-23
,September-2023,6,07/09/2023,4,2,Sept-23
,December-2022,3,02/12/2022,5,3,Dec-22
,September-2022,21,29/09/2022,4,2,Sept-22
,September-2022,5,06/09/2022,9,6,Sept-22
,November-2022,2,01/11/2022,11,16,Nov-22
,April-2022,3,04/04/2022,21,12,Apr-22
,September-2022,19,27/09/2022,2,1,Sept-22
,May-2022,8,11/05/2022,2,1,May-22
,March-2023,7,08/03/2023,4,2,Mar-23
,September-2022,3,02/09/2022,3,2,Sept-22
,October-2023,19,25/10/2023,6,3,Oct-23
,January-2023,19,26/01/2023,3,1,Jan-23
,September-2023,5,06/09/2023,6,4,Sept-23
,February-2023,14,17/02/2023,7,4,Feb-23
,August-2023,4,03/08/2023,4,2,Aug-23
,May-2022,18,25/05/2022,5,3,May-22
,June-2022,3,06/06/2022,20,6,Jun-22
,January-2022,19,27/01/2022,4,2,Jan-22
,March-2022,3,02/03/2022,4,2,Mar-22
,January-2023,20,27/01/2023,8,6,Jan-23
,November-2022,19,24/11/2022,4,2,Nov-22
,January-2023,8,11/01/2023,4,2,Jan-23
X,March-2022,15,18/03/2022,4,0,
,October-2022,20,27/10/2022,6,4,Oct-22
,May-2022,3,04/05/2022,6,4,May-22
,November-2023,5,06/11/2023,14,8,Nov-23
,July-2022,14,19/07/2022,4,2,Jul-22
,January-2022,9,13/01/2022,4,2,Jan-22
,July-2022,4,05/07/2022,6,4,Jul-22
,April-2022,5,06/04/2022,5,3,Apr-22
,June-2023,21,28/06/2023,3,1,Jun-23
,February-2023,4,03/02/2023,3,1,Feb-23
,January-2023,17,24/01/2023,9,6,Jan-23
,March-2022,23,30/03/2022,3,1,Mar-22
,January-2022,5,07/01/2022,6,4,Jan-22
,August-2023,7,08/08/2023,4,8,Aug-23
,June-2023,20,27/06/2023,4,2,Jun-23
,June-2022,11,16/06/2022,4,2,Jun-22
,February-2023,8,09/02/2023,6,4,Feb-23
,May-2022,9,12/05/2022,1,0,May-22
,April-2022,6,07/04/2022,4,2,Apr-22
,February-2022,11,14/02/2022,17,10,Feb-22
,July-2023,13,18/07/2023,8,5,Jul-23
,February-2022,5,04/02/2022,6,4,Feb-22
,November-2022,20,25/11/2022,6,4,Nov-22
,September-2022,20,28/09/2022,2,1,Sept-22
,March-2022,20,25/03/2022,6,4,Mar-22
,November-2023,10,13/11/2023,17,9,Nov-23
,August-2023,16,21/08/2023,14,8,Aug-23
,March-2022,10,11/03/2022,4,2,Mar-22
,March-2023,17,22/03/2023,4,2,Mar-23
,April-2022,16,25/04/2022,8,4,Apr-22
,August-2023,21,29/08/2023,30,20,Aug-23
,April-2022,17,26/04/2022,6,4,Apr-22
,November-2022,13,16/11/2022,6,4,Nov-22
,June-2022,17,24/06/2022,8,5,Jun-22
,December-2023,10,13/12/2023,2,1,Dec-23
,March-2022,7,08/03/2022,7,4,Mar-22
,February-2023,3,02/02/2023,4,2,Feb-23
,February-2023,1,31/01/2023,6,4,Feb-23
,December-2022,13,16/12/2022,5,3,Dec-22
,July-2023,8,11/07/2023,2,0,Jul-23
,December-2023,8,11/12/2023,21,14,Dec-23
,February-2022,16,21/02/2022,16,11,Feb-22
,June-2022,14,21/06/2022,7,5,Jun-22
,September-2023,19,26/09/2023,5,3,Sept-23
,October-2022,4,05/10/2022,5,3,Oct-22
,July-2022,21,28/07/2022,6,4,Jul-22
,October-2022,1,30/09/2022,3,1,Oct-22
,July-2022,20,27/07/2022,3,2,Jul-22
,March-2022,17,22/03/2022,6,4,Mar-22
,August-2023,1,31/07/2023,15,9,Aug-23
,October-2023,2,02/10/2023,20,13,Oct-23
,March-2023,6,07/03/2023,2,1,Mar-23
,October-2022,2,03/10/2022,10,5,Oct-22
,February-2022,7,08/02/2022,4,2,Feb-22
,October-2023,11,13/10/2023,7,5,Oct-23
,September-2023,3,04/09/2023,18,11,Sept-23
,February-2022,3,02/02/2022,3,1,Feb-22
,November-2022,9,10/11/2022,4,2,Nov-22
,July-2023,14,19/07/2023,6,4,Jul-23
,November-2022,15,18/11/2022,4,2,Nov-22
,November-2022,5,04/11/2022,2,1,Nov-22
,May-2023,7,10/05/2023,5,3,May-23
,February-2022,14,17/02/2022,6,4,Feb-22
,October-2022,18,25/10/2022,2,1,Oct-22
,July-2022,5,06/07/2022,6,4,Jul-22
,February-2023,15,20/02/2023,16,10,Feb-23
,February-2023,6,07/02/2023,8,16,Feb-23
,April-2022,1,31/03/2022,3,2,Apr-22
,June-2022,7,10/06/2022,8,5,Jun-22
,March-2022,18,23/03/2022,4,2,Mar-22
,September-2022,17,23/09/2022,2,1,Sept-22
,November-2023,7,08/11/2023,2,1,Nov-23
,January-2022,3,05/01/2022,8,5,Jan-22
,August-2023,18,23/08/2023,7,4,Aug-23
,February-2023,11,14/02/2023,11,8,Feb-23
,February-2022,18,23/02/2022,2,1,Feb-22
,November-2023,14,17/11/2023,4,2,Nov-23
,August-2022,9,10/08/2022,4,2,Aug-22
,November-2023,22,29/11/2023,10,7,Nov-23
,March-2022,4,03/03/2022,5,3,Mar-22
,October-2023,16,20/10/2023,6,4,Oct-23
,June-2023,22,29/06/2023,2,1,Jun-23
,February-2022,13,16/02/2022,5,3,Feb-22
,March-2023,23,30/03/2023,2,1,Mar-23
,December-2023,6,07/12/2023,4,3,Dec-23
,April-2022,10,13/04/2022,11,8,Apr-22
,June-2023,9,12/06/2023,22,14,Jun-23
,December-2022,8,09/12/2022,4,2,Dec-22
X,August-2022,2,01/08/2022,18,0,
,February-2023,2,01/02/2023,4,2,Feb-23
,February-2022,17,22/02/2022,3,2,Feb-22
,January-2022,14,20/01/2022,9,6,Jan-22
,January-2022,1,31/12/2021,4,2,Jan-22
,February-2022,8,09/02/2022,7,5,Feb-22
,March-2022,12,15/03/2022,5,3,Mar-22
,December-2022,4,05/12/2022,18,11,Dec-22
,April-2023,13,20/04/2023,3,2,Apr-23
,October-2022,5,06/10/2022,7,4,Oct-22
,April-2022,4,05/04/2022,7,4,Apr-22
,May-2022,1,29/04/2022,6,3,May-22
,October-2023,21,27/10/2023,5,3,Oct-23
,September-2022,4,05/09/2022,12,7,Sept-22
,December-2023,19,28/12/2023,5,3,Dec-23
,July-2022,13,18/07/2022,18,11,Jul-22
,January-2022,12,18/01/2022,4,2,Jan-22
,January-2022,20,28/01/2022,8,5,Jan-22
,January-2023,21,30/01/2023,12,6,Jan-23
,August-2023,22,30/08/2023,4,2,Aug-23
,June-2022,18,27/06/2022,17,10,Jun-22
,February-2023,17,22/02/2023,6,4,Feb-23
,January-2022,7,11/01/2022,3,1,Jan-22
,May-2023,8,11/05/2023,4,3,May-23
,November-2022,8,09/11/2022,6,4,Nov-22
,June-2022,20,29/06/2022,4,2,Jun-22
,November-2022,14,17/11/2022,4,2,Nov-22
,August-2022,5,04/08/2022,6,4,Aug-22
X,March-2022,14,17/03/2022,7,0,
,May-2023,14,19/05/2023,5,3,May-23
,December-2023,1,30/11/2023,5,3,Dec-23
,April-2023,4,05/04/2023,3,1,Apr-23
,June-2023,11,14/06/2023,5,3,Jun-23
,November-2023,8,09/11/2023,4,2,Nov-23
X,October-2023,22,30/10/2023,15,0,
,October-2022,14,19/10/2022,10,7,Oct-22
,August-2023,10,11/08/2023,9,6,Aug-23
,December-2023,2,01/12/2023,8,6,Dec-23
,May-2023,10,15/05/2023,14,9,May-23
,December-2022,5,06/12/2022,11,8,Dec-22
,April-2022,19,28/04/2022,5,3,Apr-22
,March-2022,16,21/03/2022,20,20,Mar-22
,January-2023,1,30/12/2022,5,3,Jan-23
,March-2022,9,10/03/2022,8,5,Mar-22
,June-2022,1,31/05/2022,5,3,Jun-22
,March-2023,15,20/03/2023,13,10,Mar-23
,August-2022,18,23/08/2022,6,4,Aug-22
,May-2022,16,23/05/2022,11,7,May-22
,May-2023,11,16/05/2023,6,4,May-23
,June-2022,4,07/06/2022,4,7,Jun-22
,September-2023,16,21/09/2023,9,6,Sept-23
,September-2023,8,11/09/2023,12,6,Sept-23
,January-2022,18,26/01/2022,1,0,Jan-22
,July-2022,6,07/07/2022,9,6,Jul-22
,June-2022,16,23/06/2022,4,2,Jun-22
,March-2023,21,28/03/2023,4,2,Mar-23
,August-2023,9,10/08/2023,5,3,Aug-23
,March-2023,19,24/03/2023,2,1,Mar-23
,December-2022,2,01/12/2022,4,2,Dec-22
,August-2022,3,02/08/2022,7,16,Aug-22
,April-2022,7,08/04/2022,7,4,Apr-22
,December-2022,14,19/12/2022,13,7,Dec-22
,September-2022,9,12/09/2022,12,7,Sept-22
,February-2022,15,18/02/2022,6,4,Feb-22
,April-2023,12,19/04/2023,2,1,Apr-23
,September-2023,1,31/08/2023,9,6,Sept-23
,December-2022,19,28/12/2022,26,16,Dec-22
,March-2022,22,29/03/2022,3,2,Mar-22
,November-2023,19,24/11/2023,5,3,Nov-23
,July-2023,9,12/07/2023,7,5,Jul-23
,July-2023,11,14/07/2023,6,4,Jul-23
,May-2022,20,27/05/2022,6,4,May-22
,June-2023,2,01/06/2023,5,3,Jun-23
,February-2023,19,24/02/2023,4,3,Feb-23
,November-2022,17,22/11/2022,7,4,Nov-22
,June-2023,1,31/05/2023,6,3,Jun-23
,January-2022,13,19/01/2022,7,4,Jan-22
,May-2022,2,03/05/2022,24,15,May-22
,December-2022,6,07/12/2022,3,1,Dec-22
,July-2022,19,26/07/2022,3,1,Jul-22
,July-2023,3,04/07/2023,8,5,Jul-23
,June-2022,5,08/06/2022,3,2,Jun-22
,September-2023,10,13/09/2023,3,2,Sept-23
,November-2023,11,14/11/2023,5,3,Nov-23
,December-2022,15,20/12/2022,10,7,Dec-22
,February-2022,6,07/02/2022,15,9,Feb-22
,March-2023,5,06/03/2023,24,16,Mar-23
,May-2023,18,25/05/2023,8,5,May-23
,January-2023,4,05/01/2023,4,3,Jan-23
,July-2022,17,22/07/2022,4,2,Jul-22
,February-2022,19,24/02/2022,2,1,Feb-22
,April-2023,7,12/04/2023,3,1,Apr-23
,October-2022,19,26/10/2022,8,6,Oct-22
,December-2022,7,08/12/2022,5,3,Dec-22
,November-2023,21,28/11/2023,3,1,Nov-23
,August-2022,16,19/08/2022,3,1,Aug-22
,January-2022,11,17/01/2022,22,15,Jan-22
,December-2022,12,15/12/2022,6,4,Dec-22
,February-2022,4,03/02/2022,7,5,Feb-22
,August-2022,20,25/08/2022,5,3,Aug-22
,January-2023,15,20/01/2023,3,2,Jan-23
,August-2022,15,18/08/2022,4,2,Aug-22
,June-2022,13,20/06/2022,17,10,Jun-22
,October-2023,4,04/10/2023,9,6,Oct-23
X,February-2023,5,06/02/2023,18,0,
,October-2022,8,11/10/2022,2,0,Oct-22
,November-2022,10,11/11/2022,5,3,Nov-22
,August-2022,1,29/07/2022,9,6,Aug-22
,October-2023,15,19/10/2023,5,3,Oct-23
,December-2023,7,08/12/2023,5,3,Dec-23
,October-2022,17,24/10/2022,10,6,Oct-22
,December-2022,11,14/12/2022,4,2,Dec-22
,May-2022,4,05/05/2022,5,3,May-22
,April-2023,5,06/04/2023,5,3,Apr-23
,May-2022,5,06/05/2022,5,3,May-22
,May-2022,7,10/05/2022,5,3,May-22
,August-2022,8,09/08/2022,3,1,Aug-22
,October-2022,12,17/10/2022,9,5,Oct-22
,November-2023,9,10/11/2023,4,2,Nov-23
,July-2022,7,08/07/2022,5,3,Jul-22
,May-2023,6,09/05/2023,20,11,May-23
,July-2023,7,10/07/2023,13,7,Jul-23
,April-2023,18,27/04/2023,7,5,Apr-23
,June-2022,10,15/06/2022,2,1,Jun-22
,March-2023,9,10/03/2023,2,1,Mar-23
,October-2022,6,07/10/2022,1,0,Oct-22
,February-2023,12,15/02/2023,4,2,Feb-23
,February-2022,20,25/02/2022,4,2,Feb-22
,February-2023,16,21/02/2023,4,2,Feb-23
,December-2022,17,22/12/2022,7,5,Dec-22
,March-2022,21,28/03/2022,11,7,Mar-22
,October-2022,3,04/10/2022,3,1,Oct-22
,December-2023,4,05/12/2023,6,4,Dec-23
,October-2023,14,18/10/2023,3,1,Oct-23
,August-2023,2,01/08/2023,7,5,Aug-23
,November-2022,6,07/11/2022,10,4,Nov-22
,August-2023,15,18/08/2023,6,4,Aug-23
,February-2022,1,31/01/2022,14,8,Feb-22
,June-2023,15,20/06/2023,4,2,Jun-23
,January-2023,12,17/01/2023,6,4,Jan-23
,August-2023,17,22/08/2023,5,3,Aug-23
,May-2023,17,24/05/2023,5,3,May-23
,May-2022,15,20/05/2022,6,4,May-22
,April-2023,11,18/04/2023,4,2,Apr-23
,November-2022,7,08/11/2022,7,5,Nov-22
,November-2023,20,27/11/2023,16,10,Nov-23
,April-2022,11,14/04/2022,6,3,Apr-22
,August-2022,10,11/08/2022,5,3,Aug-22
,April-2023,15,24/04/2023,15,10,Apr-23
,May-2022,13,18/05/2022,10,7,May-22
,January-2023,5,06/01/2023,5,3,Jan-23
,July-2023,1,30/06/2023,12,8,Jul-23
,August-2022,11,12/08/2022,8,6,Aug-22
,May-2022,10,13/05/2022,6,3,May-22
,February-2023,10,13/02/2023,17,10,Feb-23
,July-2023,20,27/07/2023,2,1,Jul-23
,February-2022,9,10/02/2022,6,3,Feb-22
,July-2022,9,12/07/2022,8,6,Jul-22
,May-2023,1,28/04/2023,9,6,May-23
,November-2022,3,02/11/2022,3,1,Nov-22
,July-2023,4,05/07/2023,5,3,Jul-23
,November-2022,11,14/11/2022,16,10,Nov-22
,August-2023,12,15/08/2023,7,4,Aug-23
,April-2023,1,31/03/2023,6,4,Apr-23
,April-2022,9,12/04/2022,4,2,Apr-22
,August-2022,4,03/08/2022,4,2,Aug-22
,January-2022,8,12/01/2022,6,4,Jan-22
,July-2023,21,28/07/2023,7,5,Jul-23
,March-2023,12,15/03/2023,8,6,Mar-23
,January-2022,2,04/01/2022,20,12,Jan-22
,May-2023,5,05/05/2023,1,0,May-23
,April-2022,14,21/04/2022,6,4,Apr-22
,July-2022,3,04/07/2022,16,9,Jul-22
,January-2023,3,04/01/2023,5,3,Jan-23
,May-2023,12,17/05/2023,6,4,May-23
,July-2023,16,21/07/2023,6,3,Jul-23
,May-2023,4,04/05/2023,3,1,May-23
,May-2023,15,22/05/2023,21,14,May-23
X,June-2023,4,05/06/2023,19,0,
,September-2023,15,20/09/2023,5,3,Sept-23
,October-2022,7,10/10/2022,17,10,Oct-22
,September-2023,17,22/09/2023,7,5,Sept-23
,November-2022,22,29/11/2022,7,4,Nov-22
,June-2022,9,14/06/2022,4,2,Jun-22
,March-2022,1,28/02/2022,15,9,Mar-22
,April-2022,18,27/04/2022,2,1,Apr-22
,March-2023,1,28/02/2023,4,2,Mar-23
,November-2023,2,01/11/2023,7,4,Nov-23
,November-2023,3,02/11/2023,5,3,Nov-23
,May-2023,19,26/05/2023,5,3,May-23
,September-2022,12,15/09/2022,4,2,Sept-22
,April-2023,17,26/04/2023,3,1,Apr-23
,April-2023,3,04/04/2023,2,1,Apr-23
,March-2023,20,27/03/2023,16,10,Mar-23
,April-2022,13,20/04/2022,10,7,Apr-22
,September-2022,1,31/08/2022,3,1,Sept-22
,July-2022,18,25/07/2022,13,7,Jul-22
,December-2023,17,22/12/2023,5,3,Dec-23
,March-2022,2,01/03/2022,8,5,Mar-22
,January-2023,10,13/01/2023,3,1,Jan-23
,February-2022,2,01/02/2022,5,3,Feb-22
,March-2022,8,09/03/2022,2,1,Mar-22
,May-2023,2,02/05/2023,13,7,May-23
,July-2022,2,01/07/2022,8,5,Jul-22
,August-2022,12,15/08/2022,10,5,Aug-22
,November-2022,18,23/11/2022,7,4,Nov-22
,June-2023,12,15/06/2023,1,0,Jun-23
,June-2023,18,23/06/2023,6,3,Jun-23
,April-2023,8,13/04/2023,5,3,Apr-23
,July-2022,8,11/07/2022,12,7,Jul-22
,August-2022,21,26/08/2022,4,3,Aug-22
,September-2023,20,27/09/2023,4,2,Sept-23
,January-2023,7,10/01/2023,4,2,Jan-23
,June-2022,6,09/06/2022,4,2,Jun-22
,March-2023,11,14/03/2023,5,3,Mar-23
,April-2023,2,03/04/2023,21,13,Apr-23
,August-2023,5,04/08/2023,9,6,Aug-23
,January-2023,14,19/01/2023,3,2,Jan-23
X,March-2023,14,17/03/2023,4,0,
,January-2023,18,25/01/2023,3,1,Jan-23
,October-2023,20,26/10/2023,4,2,Oct-23
,August-2022,14,17/08/2022,7,5,Aug-22
,April-2022,2,01/04/2022,2,1,Apr-22
,March-2023,2,01/03/2023,4,2,Mar-23
,September-2022,15,21/09/2022,6,4,Sept-22
,March-2022,5,04/03/2022,4,2,Mar-22
,December-2023,12,15/12/2023,4,3,Dec-23
X,November-2022,1,31/10/2022,14,0,
,March-2023,4,03/03/2023,9,6,Mar-23
,August-2023,8,09/08/2023,2,1,Aug-23
,January-2022,16,24/01/2022,13,7,Jan-22
