"Stage_1","Stage_2","Stage_3","pokedex_number","gen_introduced","initial_combat_power","final_combat_power","combat_power_increase"
"Machop","Machoke","Machamp",66,1,305,505,0.655737704918033
"Timburr","Gurdurr","Conkeldurr",532,5,305,505,0.655737704918033
"Litten","Torracat","Incineroar",725,7,320,530,0.65625
"Popplio","Brionne","Primarina",728,7,320,530,0.65625
"Rowlet","Dartrix","Decidueye",722,7,320,530,0.65625
"Helioptile","Heliolisk","",694,6,289,481,0.664359861591695
"Baltoy","Claydol","",343,3,300,500,0.666666666666667
"Bronzor","Bronzong","",436,4,300,500,0.666666666666667
"Grubbin","Charjabug","Vikavolt",736,7,300,500,0.666666666666667
"Poliwag","Poliwhirl","Politoed",60,1,300,500,0.666666666666667
"Teddiursa","Ursaring","Ursaluna",216,2,330,550,0.666666666666667
"Munna","Musharna","",517,5,292,487,0.667808219178082
"Skwovet","Greedent","",819,8,275,460,0.672727272727273
"Inkay","Malamar","",686,6,288,482,0.673611111111111
"Mime Jr.","Mr. Mime","Mr. Rime",439,4,310,520,0.67741935483871
"Blitzle","Zebstrika","",522,5,295,497,0.684745762711864
"Taillow","Swellow","",276,3,270,455,0.685185185185185
"Spearow","Fearow","",21,1,262,442,0.687022900763359
"Axew","Fraxure","Haxorus",610,5,320,540,0.6875
"Dewpider","Araquanid","",751,7,269,454,0.687732342007435
"Surskit","Masquerain","",283,3,269,454,0.687732342007435
"Froakie","Frogadier","Greninja",656,6,314,530,0.687898089171975
"Piplup","Prinplup","Empoleon",393,4,314,530,0.687898089171975
"Squirtle","Wartortle","Blastoise",7,1,314,530,0.687898089171975
"Totodile","Croconaw","Feraligatr",158,2,314,530,0.687898089171975
"Vulpix","Ninetales","",37,1,299,505,0.688963210702341
"Gothita","Gothorita","Gothitelle",574,5,290,490,0.689655172413793
"Solosis","Duosion","Reuniclus",577,5,290,490,0.689655172413793
"Bergmite","Avalugg","",712,6,304,514,0.690789473684211
"Chespin","Quilladin","Chesnaught",650,6,313,530,0.693290734824281
"Poliwag","Poliwhirl","Poliwrath",60,1,300,510,0.7
"Chewtle","Drednaw","",833,8,284,485,0.707746478873239
"Grookey","Thwackey","Rillaboom",810,8,310,530,0.709677419354839
"Scorbunny","Raboot","Cinderace",813,8,310,530,0.709677419354839
"Sobble","Drizzile","Inteleon",816,8,310,530,0.709677419354839
"Torchic","Combusken","Blaziken",255,3,310,530,0.709677419354839
"Treecko","Grovyle","Sceptile",252,3,310,530,0.709677419354839
"Cottonee","Whimsicott","",546,5,280,480,0.714285714285714
"Nincada","Ninjask","",290,3,266,456,0.714285714285714
"Oshawott","Dewott","Samurott",501,5,308,528,0.714285714285714
"Petilil","Lilligant","",548,5,280,480,0.714285714285714
"Snivy","Servine","Serperior",495,5,308,528,0.714285714285714
"Tepig","Pignite","Emboar",498,5,308,528,0.714285714285714
"Slugma","Magcargo","",218,2,250,430,0.72
"Shellder","Cloyster","",90,1,305,525,0.721311475409836
"Sizzlipede","Centiskorch","",850,8,305,525,0.721311475409836
"Hoothoot","Noctowl","",163,2,262,452,0.725190839694656
"Mudkip","Marshtomp","Swampert",258,3,310,535,0.725806451612903
"Charmander","Charmeleon","Charizard",4,1,309,534,0.728155339805825
"Chimchar","Monferno","Infernape",390,4,309,534,0.728155339805825
"Cyndaquil","Quilava","Typhlosion",155,2,309,534,0.728155339805825
"Tympole","Palpitoad","Seismitoad",535,5,294,509,0.731292517006803
"Klink","Klang","Klinklang",599,5,300,520,0.733333333333333
"Rockruff","Lycanroc","",744,7,280,487,0.739285714285714
"Fennekin","Braixen","Delphox",653,6,307,534,0.739413680781759
"Arrokuda","Barraskewda","",846,8,280,490,0.75
"Vanillite","Vanillish","Vanilluxe",582,5,305,535,0.754098360655738
"Sandile","Krokorok","Krookodile",551,5,292,519,0.777397260273973
"Duskull","Dusclops","Dusknoir",355,3,295,525,0.779661016949152
"Bunnelby","Diggersby","",659,6,237,423,0.784810126582278
"Trapinch","Vibrava","Flygon",328,3,290,520,0.793103448275862
"Fletchling","Fletchinder","Talonflame",661,6,278,499,0.794964028776978
"Wooloo","Dubwool","",831,8,270,490,0.814814814814815
"Yamper","Boltund","",835,8,270,490,0.814814814814815
"Lillipup","Herdier","Stoutland",506,5,275,500,0.818181818181818
"Mareep","Flaaffy","Ampharos",179,2,280,510,0.821428571428571
"Flabébé","Floette","Florges",669,6,303,552,0.821782178217822
"Spheal","Sealeo","Walrein",363,3,290,530,0.827586206896552
"Pikipek","Trumbeak","Toucannon",731,7,265,485,0.830188679245283
"Horsea","Seadra","Kingdra",116,1,295,540,0.830508474576271
"Milcery","Alcremie","",868,8,270,495,0.833333333333333
"Nidoran F","Nidorina","Nidoqueen",29,1,275,505,0.836363636363636
"Budew","Roselia","Roserade",406,4,280,515,0.839285714285714
"Roggenrola","Boldore","Gigalith",524,5,280,515,0.839285714285714
"Gossifleur","Eldegoss","",829,8,250,460,0.84
"Hoppip","Skiploom","Jumpluff",187,2,250,460,0.84
"Riolu","Lucario","",447,4,285,525,0.842105263157895
"Pidove","Tranquill","Unfezant",519,5,264,488,0.848484848484848
"Nidoran M","Nidorino","Nidoking",32,1,273,505,0.84981684981685
"Nickit","Thievul","",827,8,245,455,0.857142857142857
"Applin","Appletun","",840,8,260,485,0.865384615384615
"Applin","Flapple","",840,8,260,485,0.865384615384615
"Venipede","Whirlipede","Scolipede",543,5,260,485,0.865384615384615
"Tynamo","Eelektrik","Eelektross",602,5,275,515,0.872727272727273
"Litwick","Lampent","Chandelure",607,5,275,520,0.890909090909091
"Burmy","Mothim","",412,4,224,424,0.892857142857143
"Burmy","Wormadam","",412,4,224,424,0.892857142857143
"Pidgey","Pidgeotto","Pidgeot",16,1,251,479,0.908366533864542
"Poochyena","Mightyena","",261,3,220,420,0.909090909090909
"Fomantis","Lurantis","",753,7,250,480,0.92
"Hatenna","Hattrem","Hatterene",856,8,265,510,0.924528301886792
"Impidimp","Morgrem","Grimmsnarl",859,8,265,510,0.924528301886792
"Sentret","Furret","",161,2,215,415,0.930232558139535
"Combee","Vespiquen","",415,4,244,474,0.942622950819672
"Wurmple","Cascoon","Dustox",265,3,195,385,0.974358974358974
"Kricketot","Kricketune","",401,4,194,384,0.979381443298969
"Starly","Staravia","Staraptor",396,4,245,485,0.979591836734694
"Shinx","Luxio","Luxray",403,4,263,523,0.988593155893536
"Bagon","Shelgon","Salamence",371,3,300,600,1
"Beldum","Metang","Metagross",374,3,300,600,1
"Deino","Zweilous","Hydreigon",633,5,300,600,1
"Dratini","Dragonair","Dragonite",147,1,300,600,1
"Gible","Gabite","Garchomp",443,4,300,600,1
"Goomy","Sliggoo","Goodra",704,6,300,600,1
"Jangmo-o","Hakamo-o","Kommo-o",782,7,300,600,1
"Larvitar","Pupitar","Tyranitar",246,2,300,600,1
"Makuhita","Hariyama","",296,3,237,474,1
"Meltan","Melmetal","",808,7,300,600,1
"Rookidee","Corvisquire","Corviknight",821,8,245,495,1.02040816326531
"Caterpie","Metapod","Butterfree",10,1,195,395,1.02564102564103
"Weedle","Kakuna","Beedrill",13,1,195,395,1.02564102564103
"Wurmple","Silcoon","Beautifly",265,3,195,395,1.02564102564103
"Whismur","Loudred","Exploud",293,3,240,490,1.04166666666667
"Wooper","Quagsire","",194,2,210,430,1.04761904761905
"Scatterbug","Spewpa","Vivillon",664,6,200,411,1.055
"Igglybuff","Jigglypuff","Wigglytuff",174,2,210,435,1.07142857142857
"Toxel","Toxtricity","",848,8,242,502,1.07438016528926
"Swinub","Piloswine","Mamoswine",220,2,250,530,1.12
"Rolycoly","Carkol","Coalossal",837,8,240,510,1.125
"Tyrogue","Hitmonchan","",236,2,210,455,1.16666666666667
"Tyrogue","Hitmonlee","",236,2,210,455,1.16666666666667
"Tyrogue","Hitmontop","",236,2,210,455,1.16666666666667
"Zigzagoon","Linoone","Obstagoon",263,3,240,520,1.16666666666667
"Lotad","Lombre","Ludicolo",270,3,220,480,1.18181818181818
"Seedot","Nuzleaf","Shiftry",273,3,220,480,1.18181818181818
"Noibat","Noivern","",714,6,245,535,1.18367346938776
"Zubat","Golbat","Crobat",41,1,245,535,1.18367346938776
"Azurill","Marill","Azumarill",298,3,190,420,1.21052631578947
"Cleffa","Clefairy","Clefable",173,2,218,483,1.21559633027523
"Dreepy","Drakloak","Dragapult",885,8,270,600,1.22222222222222
"Togepi","Togetic","Togekiss",175,2,245,545,1.22448979591837
"Wimpod","Golisopod","",767,7,230,530,1.30434782608696
"Sunkern","Sunflora","",191,2,180,425,1.36111111111111
"Pichu","Pikachu","Raichu",172,2,205,485,1.36585365853659
"Slakoth","Vigoroth","Slaking",287,3,280,670,1.39285714285714
"Bounsweet","Steenee","Tsareena",761,7,210,510,1.42857142857143
"Happiny","Chansey","Blissey",440,4,220,540,1.45454545454545
"Snom","Frosmoth","",872,8,185,475,1.56756756756757
"Ralts","Kirlia","Gallade",280,3,198,518,1.61616161616162
"Ralts","Kirlia","Gardevoir",280,3,198,518,1.61616161616162
"Feebas","Milotic","",349,3,200,540,1.7
"Magikarp","Gyarados","",129,1,200,540,1.7
"Blipbug","Dottler","Orbeetle",824,8,180,505,1.80555555555556
"Cosmog","Cosmoem","Lunala",789,7,200,680,2.4
"Cosmog","Cosmoem","Solgaleo",789,7,200,680,2.4
