Stage_1,Stage_2,Stage_3,pokedex_number,gen_introduced,initial_combat_power,final_combat_power,combat_power_increase
Sobble,Drizzile,Inteleon,816,8,310,530,0.709677419354839
Frillish,Jellicent,,592,5,335,480,0.432835820895522
Eevee,Jolteon,,133,1,325,525,0.615384615384615
Hoppip,Skiploom,Jumpluff,187,2,250,460,0.84
Smoochum,Jynx,,238,2,305,455,0.491803278688525
Kabuto,Kabutops,,140,1,355,495,0.394366197183099
Horsea,Seadra,Kingdra,116,1,295,540,0.830508474576271
Krabby,Kingler,,98,1,325,475,0.461538461538461
Scyther,Kleavor,,123,1,500,500,0
Klink,Klang,Klinklang,599,5,300,520,0.733333333333333
Jangmo-o,Hakamo-o,Kommo-o,782,7,300,600,1
Kricketot,Kricketune,,401,4,194,384,0.979381443298969
Sandile,Krokorok,Krookodile,551,5,292,519,0.777397260273973
Chinchou,Lanturn,,170,2,330,460,0.393939393939394
Eevee,Leafeon,,133,1,325,525,0.615384615384615
Sewaddle,Swadloon,Leavanny,540,5,310,500,0.612903225806452
Ledyba,Ledian,,165,2,265,390,0.471698113207547
Lickitung,Lickilicky,,108,1,385,515,0.337662337662338
Purrloin,Liepard,,509,5,281,446,0.587188612099644
Petilil,Lilligant,,548,5,280,480,0.714285714285714
Buneary,Lopunny,,427,4,350,480,0.371428571428571
Riolu,Lucario,,447,4,285,525,0.842105263157895
Lotad,Lombre,Ludicolo,270,3,220,480,1.18181818181818
Finneon,Lumineon,,456,4,330,460,0.393939393939394
Cosmog,Cosmoem,Lunala,789,7,200,680,2.4
Fomantis,Lurantis,,753,7,250,480,0.92
Shinx,Luxio,Luxray,403,4,263,523,0.988593155893536
Rockruff,Lycanroc,,744,7,280,487,0.739285714285714
Machop,Machoke,Machamp,66,1,305,505,0.655737704918033
Slugma,Magcargo,,218,2,250,430,0.72
Magby,Magmar,Magmortar,240,2,365,540,0.47945205479452
Magnemite,Magneton,Magnezone,81,1,325,535,0.646153846153846
Inkay,Malamar,,686,6,288,482,0.673611111111111
Swinub,Piloswine,Mamoswine,220,2,250,530,1.12
Vullaby,Mandibuzz,,629,5,370,510,0.378378378378378
Electrike,Manectric,,309,3,295,475,0.610169491525424
Mantyke,Mantine,,458,4,345,485,0.405797101449275
Cubone,Marowak,,104,1,320,425,0.328125
Surskit,Masquerain,,283,3,269,454,0.687732342007435
Meditite,Medicham,,307,3,280,410,0.464285714285714
Chikorita,Bayleef,Meganium,152,2,318,525,0.650943396226415
Meltan,Melmetal,,808,7,300,600,1
Espurr,Meowstic,,677,6,355,466,0.312676056338028
Beldum,Metang,Metagross,374,3,300,600,1
Mienfoo,Mienshao,,619,5,350,510,0.457142857142857
Poochyena,Mightyena,,261,3,220,420,0.909090909090909
Feebas,Milotic,,349,3,200,540,1.7
Misdreavus,Mismagius,,200,2,435,495,0.137931034482759
Burmy,Mothim,,412,4,224,424,0.892857142857143
Mime Jr.,Mr. Mime,Mr. Rime,439,4,310,520,0.67741935483871
Mudbray,Mudsdale,,749,7,385,500,0.298701298701299
Grimer,Muk,,88,1,325,500,0.538461538461539
Munna,Musharna,,517,5,292,487,0.667808219178082
Poipole,Naganadel,,803,7,420,540,0.285714285714286
Nidoran M,Nidorino,Nidoking,32,1,273,505,0.84981684981685
Nidoran F,Nidorina,Nidoqueen,29,1,275,505,0.836363636363636
Vulpix,Ninetales,,37,1,299,505,0.688963210702341
Nincada,Ninjask,,290,3,266,456,0.714285714285714
Hoothoot,Noctowl,,163,2,262,452,0.725190839694656
Noibat,Noivern,,714,6,245,535,1.18367346938776
Zigzagoon,Linoone,Obstagoon,263,3,240,520,1.16666666666667
Remoraid,Octillery,,223,2,300,480,0.6
Omanyte,Omastar,,138,1,355,495,0.394366197183099
Blipbug,Dottler,Orbeetle,824,8,180,505,1.80555555555556
Qwilfish,Overqwil,,211,2,440,510,0.159090909090909
Sandygast,Palossand,,769,7,320,480,0.5
Pancham,Pangoro,,674,6,348,495,0.422413793103448
Paras,Parasect,,46,1,285,405,0.421052631578947
Wingull,Pelipper,,278,3,270,440,0.62962962962963
Meowth,Perrserker,,52,1,290,440,0.517241379310345
Meowth,Persian,,52,1,290,440,0.517241379310345
Pidgey,Pidgeotto,Pidgeot,16,1,251,479,0.908366533864542
Poliwag,Poliwhirl,Politoed,60,1,300,500,0.666666666666667
Poliwag,Poliwhirl,Poliwrath,60,1,300,510,0.7
Sinistea,Polteageist,,854,8,308,508,0.649350649350649
Porygon,Porygon2,Porygon Z,137,1,395,535,0.354430379746835
Popplio,Brionne,Primarina,728,7,320,530,0.65625
Mankey,Primeape,,56,1,305,455,0.491803278688525
Nosepass,Probopass,,299,3,375,525,0.4
Glameow,Purugly,,431,4,310,452,0.458064516129032
Litleo,Pyroar,,667,6,369,507,0.373983739837398
Wooper,Quagsire,,194,2,210,430,1.04761904761905
Pichu,Pikachu,Raichu,172,2,205,485,1.36585365853659
Cranidos,Rampardos,,408,4,350,495,0.414285714285714
Ponyta,Rapidash,,77,1,410,500,0.219512195121951
Rattata,Raticate,,19,1,253,413,0.632411067193676
Solosis,Duosion,Reuniclus,577,5,290,490,0.689655172413793
Rhyhorn,Rhydon,Rhyperior,111,1,345,535,0.550724637681159
Cutiefly,Ribombee,,742,7,304,464,0.526315789473684
Grookey,Thwackey,Rillaboom,810,8,310,530,0.709677419354839
Budew,Roselia,Roserade,406,4,280,515,0.839285714285714
Yamask,Runerigus,,562,5,303,483,0.594059405940594
Bagon,Shelgon,Salamence,371,3,300,600,1
Salandit,Salazzle,,757,7,320,480,0.5
Oshawott,Dewott,Samurott,501,5,308,528,0.714285714285714
Silicobra,Sandaconda,,843,8,315,510,0.619047619047619
Sandshrew,Sandslash,,27,1,300,450,0.5
Deerling,Sawsbuck,,585,5,335,475,0.417910447761194
Treecko,Grovyle,Sceptile,252,3,310,530,0.709677419354839
Scyther,Scizor,,123,1,500,500,0
Venipede,Whirlipede,Scolipede,543,5,260,485,0.865384615384615
Scraggy,Scrafty,,559,5,348,488,0.402298850574713
Goldeen,Seaking,,118,1,320,450,0.40625
Tympole,Palpitoad,Seismitoad,535,5,294,509,0.731292517006803
Snivy,Servine,Serperior,495,5,308,528,0.714285714285714
Carvanha,Sharpedo,,318,3,305,460,0.508196721311475
Nincada,Shedinja,,290,3,266,236,-0.112781954887218
Seedot,Nuzleaf,Shiftry,273,3,220,480,1.18181818181818
Morelull,Shiinotic,,755,7,285,405,0.421052631578947
Type: Null,Silvally,,772,7,534,570,6.74157303370786e-02
Panpour,Simipour,,515,5,316,498,0.575949367088608
Pansage,Simisage,,511,5,316,498,0.575949367088608
Pansear,Simisear,,513,5,316,498,0.575949367088608
"Farfetch'd","Sirfetch'd",,83,1,377,507,0.344827586206897
Stunky,Skuntank,,434,4,329,479,0.455927051671732
Slakoth,Vigoroth,Slaking,287,3,280,670,1.39285714285714
Slowpoke,Slowbro,,79,1,315,490,0.555555555555556
Slowpoke,Slowking,,79,1,315,490,0.555555555555556
Swirlix,Slurpuff,,684,6,341,480,0.407624633431085
Sneasel,Sneasler,,215,2,430,510,0.186046511627907
Munchlax,Snorlax,,446,4,390,540,0.384615384615385
Cosmog,Cosmoem,Solgaleo,789,7,200,680,2.4
Starly,Staravia,Staraptor,396,4,245,485,0.979591836734694
Staryu,Starmie,,120,1,340,520,0.529411764705882
Onix,Steelix,,95,1,385,510,0.324675324675325
Lillipup,Herdier,Stoutland,506,5,275,500,0.818181818181818
Bonsly,Sudowoodo,,438,4,290,410,0.413793103448276
Sunkern,Sunflora,,191,2,180,425,1.36111111111111
Gulpin,Swalot,,316,3,302,467,0.54635761589404
Mudkip,Marshtomp,Swampert,258,3,310,535,0.725806451612903
Ducklett,Swanna,,580,5,305,473,0.550819672131148
Taillow,Swellow,,276,3,270,455,0.685185185185185
Woobat,Swoobat,,527,5,323,425,0.315789473684211
Eevee,Sylveon,,133,1,325,525,0.615384615384615
Fletchling,Fletchinder,Talonflame,661,6,278,499,0.794964028776978
Tangela,Tangrowth,,114,1,435,535,0.229885057471264
Tentacool,Tentacruel,,72,1,335,515,0.537313432835821
Nickit,Thievul,,827,8,245,455,0.857142857142857
Togepi,Togetic,Togekiss,175,2,245,545,1.22448979591837
Turtwig,Grotle,Torterra,387,4,318,525,0.650943396226415
Pikipek,Trumbeak,Toucannon,731,7,265,485,0.830188679245283
Mareanie,Toxapex,,747,7,305,495,0.622950819672131
Croagunk,Toxicroak,,453,4,300,490,0.633333333333333
Toxel,Toxtricity,,848,8,242,502,1.07438016528926
Phantump,Trevenant,,708,6,309,474,0.533980582524272
Bounsweet,Steenee,Tsareena,761,7,210,510,1.42857142857143
Cyndaquil,Quilava,Typhlosion,155,2,309,534,0.728155339805825
Larvitar,Pupitar,Tyranitar,246,2,300,600,1
Tyrunt,Tyrantrum,,696,6,362,521,0.439226519337017
Eevee,Umbreon,,133,1,325,525,0.615384615384615
Pidove,Tranquill,Unfezant,519,5,264,488,0.848484848484848
Teddiursa,Ursaring,Ursaluna,216,2,330,550,0.666666666666667
Kubfu,Urshifu,,891,8,385,550,0.428571428571429
Vanillite,Vanillish,Vanilluxe,582,5,305,535,0.754098360655738
Eevee,Vaporeon,,133,1,325,525,0.615384615384615
Venonat,Venomoth,,48,1,305,450,0.475409836065574
Bulbasaur,Ivysaur,Venusaur,1,1,318,525,0.650943396226415
Combee,Vespiquen,,415,4,244,474,0.942622950819672
Bellsprout,Weepinbell,Victreebel,69,1,300,490,0.633333333333333
Grubbin,Charjabug,Vikavolt,736,7,300,500,0.666666666666667
Oddish,Gloom,Vileplume,43,1,320,490,0.53125
Scatterbug,Spewpa,Vivillon,664,6,200,411,1.055
Larvesta,Volcarona,,636,5,360,550,0.527777777777778
Wailmer,Wailord,,320,3,400,500,0.25
Spheal,Sealeo,Walrein,363,3,290,530,0.827586206896552
Patrat,Watchog,,504,5,255,420,0.647058823529412
Sneasel,Weavile,,215,2,430,510,0.186046511627907
Koffing,Weezing,,109,1,340,490,0.441176470588235
Cottonee,Whimsicott,,546,5,280,480,0.714285714285714
Barboach,Whiscash,,339,3,288,468,0.625
Igglybuff,Jigglypuff,Wigglytuff,174,2,210,435,1.07142857142857
Wynaut,Wobbuffet,,360,3,260,405,0.557692307692308
Burmy,Wormadam,,412,4,224,424,0.892857142857143
Stantler,Wyrdeer,,234,2,465,525,0.129032258064516
Natu,Xatu,,177,2,320,470,0.46875
Yanma,Yanmega,,193,2,390,515,0.32051282051282
Blitzle,Zebstrika,,522,5,295,497,0.684745762711864
Zorua,Zoroark,,570,5,330,510,0.545454545454545
