Document Index (generated),conn_country,Album Name,Artist Name,Track Name,ms_played,reason_end,reason_start,shuffle,skipped,spotify_track_uri,ts
15,GB,Lunula,Lungfulls,Lunula,271453,trackdone,trackdone,False,,spotify:track:6NORN9APVDcOfMCMIX6OZ9,2021-06-25T16:04:25Z
16,GB,The Best: Loggins & Messina Sittin' In Again,Loggins & Messina,A Love Song,190562,trackdone,trackdone,False,False,spotify:track:02ozRCoTjCxJXCyuFW8QUi,2015-04-20T22:52:58Z
17,GB,Junior,Röyksopp,The Girl and the Robot,270893,trackdone,trackdone,True,,spotify:track:78vK0z54wURN02MlwUjqH0,2021-08-31T11:35:38Z
18,GB,JINSEI KAKETE BOKU WA,ONE OK ROCK,Clock Strikes,235346,trackdone,trackdone,False,,spotify:track:30CenAPBR2VmH91r4Um32b,2016-11-12T10:19:10Z
19,GB,Niche Syndrome,ONE OK ROCK,Kanzen kankaku Dreamer,252200,trackdone,trackdone,False,,spotify:track:1XT0cpl9g0GuRQJao2nqXd,2017-09-22T14:36:26Z
20,GB,Seether: 2002-2013,Seether,Seether,216370,endplay,trackdone,False,False,spotify:track:7ue3k6z2dm8G4fd92dkX8P,2016-02-06T12:10:36Z
21,GB,Sisargas,Huma,Roncudo,205000,trackdone,trackdone,True,,spotify:track:6vxsTyUImTPvkmzXTX7ivf,2021-10-09T08:22:14Z
22,GB,STORY,never young beach,STORY,156176,trackdone,trackdone,True,,spotify:track:6OT9omn5yllzveU0cyuQdk,2019-04-29T13:31:24Z
23,GB,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",Five Finger Death Punch,Anywhere But Here,225691,trackdone,trackdone,False,,spotify:track:2jPHd4fHNhm2QnJPqK130V,2017-06-23T09:10:54Z
24,GB,Leave This Town,Daughtry,Call Your Name,25402,endplay,trackdone,False,True,spotify:track:2KsKqXIPJP0LUrZh3FP4Ut,2015-10-01T00:34:43Z
25,GB,Kamikaze,Eminem,Kamikaze,216029,trackdone,trackdone,True,,spotify:track:2gsNpSn7VvvJuSrIDfRoYy,2018-11-20T08:00:22Z
26,GB,Kamikaze,Eminem,Kamikaze,216029,trackdone,trackdone,False,,spotify:track:2gsNpSn7VvvJuSrIDfRoYy,2019-04-25T20:33:59Z
27,GB,Underworld,VAMPS,Underworld,202680,trackdone,playbtn,False,,spotify:track:4Y6PLpvamof6i5TqPdML8K,2019-08-19T10:58:33Z
28,GB,Something You Got,Tinez Roots Club,More Happiness,218533,trackdone,trackdone,False,False,spotify:track:3iIr6kPimek6fXrIa6jGXn,2015-07-01T20:10:55Z
29,GB,WORD? - Side C,Atmosphere,Carousel (feat. Nikki Jean),216413,trackdone,trackdone,False,,spotify:track:7KWT6u7tGbpxXyyI9vqh0S,2021-09-17T18:52:26Z
30,GB,Recovery,Eminem,Love The Way You Lie,262333,trackdone,trackdone,False,True,spotify:track:6UaRii9AH6Zss9xNMEQ2M9,2016-01-03T20:22:54Z
31,GB,Battle of destiny,KOKIA,aisiteuresiinyan,170493,trackdone,trackdone,False,False,spotify:track:1YigbZXzadmdlZyy6r0w6y,2015-07-10T17:17:07Z
32,GB,YO2 _ RUSTLIN,Lorn,YO2 _ RUSTLIN,121891,trackdone,trackdone,False,,spotify:track:0n95sFntqwUyMerIRk0o0n,2021-09-14T05:45:23Z
33,GB,Sad Clown Bad Summer Number 9,Atmosphere,Sunshine,144409,trackdone,appload,True,,spotify:track:5OmcnFH77xm4IETrbEvhlq,2018-11-22T06:38:04Z
34,GB,Satellite,P.O.D.,Youth of the Nation,0,trackdone,trackdone,False,False,spotify:track:0UrWr7Jnu1heq1o99ZwUd0,2015-02-08T01:54:55Z
35,GB,Outlaw Gentlemen & Shady Ladies,Volbeat,Lola Montez,266295,trackdone,appload,False,,spotify:track:34rCwPVIy1OZKfIbXC9KmN,2019-10-23T19:43:23Z
36,GB,Hoobastank,Hoobastank,Crawling In The Dark,174840,trackdone,trackdone,False,,spotify:track:75ZeuL6pHGAd7OxnttwJVm,2018-01-03T15:41:29Z
37,GB,The Eminem Show,Eminem,Curtains Close,60666,trackdone,trackdone,True,,spotify:track:0f6OpMpPZDM6FXf4f73FOj,2017-06-15T15:20:05Z
38,GB,Bu-ikikaesu,MAXIMUM THE HORMONE,Bu-ikikaesu!!,234840,trackdone,trackdone,False,,spotify:track:0aO3OoQ9VdjiefNa2lwLnn,2017-12-12T09:44:55Z
39,GB,War Is The Answer,Five Finger Death Punch,Far From Home,212493,trackdone,trackdone,False,,spotify:track:6V4xwPaWrTKGcCdWFLjffE,2017-03-16T09:53:43Z
40,GB,Us and Them,Shinedown,Shed Some Light,221700,trackdone,trackdone,False,False,spotify:track:15QtTgLOGHUxYSFLQ2y5UW,2015-03-21T01:41:43Z
41,GB,Ambitions,ONE OK ROCK,Bon Voyage,245946,trackdone,trackdone,False,,spotify:track:6uE9SHkGFAvAyXZdIOgXBV,2017-11-10T17:32:10Z
42,GB,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 2",Five Finger Death Punch,My Heart Lied,217068,endplay,trackdone,False,False,spotify:track:6TN51HPGm9Peuek0KEBHpK,2016-03-13T21:14:18Z
43,GB,Zankyō Reference,ONE OK ROCK,NO SCARED,219186,trackdone,trackdone,False,,spotify:track:5SIt7sjeHZU9cqo4Re8S9s,2018-02-16T16:21:09Z
44,GB,Tri-Polar,Sick Puppies,You're Going Down,0,trackdone,trackdone,False,False,spotify:track:3PgAALbop8jxkXSZPyd0ct,2015-01-21T19:54:52Z
45,GB,I Am the Night,Perturbator,Retrogenesis,295444,trackdone,trackdone,False,,spotify:track:1uGiyFyuPrEY8fFIAI7H3N,2020-07-29T18:49:21Z
46,GB,Another Brick In The Wall,Fury Weekend,Another Brick In The Wall,251591,trackdone,trackdone,False,,spotify:track:0SLVrAsEqTYcHFOKoDQGzb,2020-03-13T12:41:05Z
47,GB,Friday Knight,Four Stroke Baron,Friday Knight (Abridged),194630,trackdone,trackdone,False,,spotify:track:0zPemR0svgdiafAUoAfO9t,2022-05-04T16:20:46Z
48,GB,Waves,Hugar,Waves - Instrumental,213684,trackdone,trackdone,False,,spotify:track:5NfuCZxb6Spl2AusazvZq2,2021-03-04T19:04:18Z
49,GB,The Hunting Party,Linkin Park,All for Nothing (feat. Page Hamilton),213653,trackdone,trackdone,False,,spotify:track:5Rcs3fREgibWujLUlUb8KA,2016-05-28T11:00:31Z
50,GB,Transistor Original Soundtrack,Darren Korb,We All Become (feat. Ashley Barrett),149897,trackdone,trackdone,True,,spotify:track:5WZh4sv62fSXNgmhb1aU0C,2018-09-11T14:47:42Z
51,GB,TAXI DRIVER,Rkomi,CANCELLI DI MEZZANOTTE (con CHIELLO),213636,trackdone,trackdone,False,,spotify:track:3tWjdQHkeqgFQCydN5N241,2021-06-17T16:21:50Z
52,GB,Golden Dandelions,Barns Courtney,Golden Dandelions - Acoustic,202576,trackdone,trackdone,False,,spotify:track:5H7Z2DdWYT9ctLSuKzqkSb,2021-01-16T22:23:57Z
53,GB,The Human Condition,Black Stone Cherry,Ride - Live,196793,trackdone,trackdone,True,,spotify:track:2GT7zvRoYgvQuVNMNLDr0N,2021-08-28T20:58:07Z
54,GB,Death of a Bachelor,Panic! At The Disco,Emperor's New Clothes,158666,trackdone,trackdone,True,False,spotify:track:3px2rAPu74ltbkf9eZsZ8h,2016-02-17T10:47:14Z
55,GB,Paramore,Paramore,Ain't It Fun,296520,trackdone,trackdone,False,,spotify:track:1j8z4TTjJ1YOdoFEDwJTQa,2016-04-23T17:26:58Z
56,GB,UNDO -8years later-,COOL JOKE,UNDO -8years later-,247626,trackdone,trackdone,False,,spotify:track:59YO01pMIKH0v4S34zz0bC,2017-07-25T15:12:27Z
57,GB,MEGALOBOX2ORIGINAL SOUNDTRACK,mabanua,Determination,121714,trackdone,clickrow,False,,spotify:track:1VxRkfxvW5LcBQMT42NK7K,2022-05-12T07:44:59Z
58,GB,Instant Gratification,Dance Gavin Dance,We Own The Night,205706,trackdone,trackdone,True,,spotify:track:4rc2WNOt2w8BHfQjBC8PO0,2019-08-07T21:31:46Z
59,GB,Instrumental Anime,Jajnov,Sen no Tsubasa (Re: Hamatora Opening),99000,trackdone,trackdone,True,,spotify:track:2aB5LEAt7YTBYZPbkrJPwT,2018-12-03T07:43:02Z
60,GB,Retro'd,Marcus D,Fillmore Forest,199540,trackdone,trackdone,True,,spotify:track:1r5fAKqMOthkgFvoUOnSfy,2019-08-25T17:52:55Z
61,GB,War is the Answer,Five Finger Death Punch,Bad Company,262440,trackdone,trackdone,True,,spotify:track:1UWGkn34CD31VQfdi4D8Zp,2020-03-02T12:21:20Z
62,GB,Jujutsu Kaisen (Original Television Soundtrack),Alisa Okehazama,A Curse Born From Mankind,164298,trackdone,trackdone,False,,spotify:track:21JmwIQfqpFO592CjUVeyB,2021-05-31T19:17:18Z
63,GB,Vitamin String Quartet Performs Jason Mraz,Vitamin String Quartet,I'm Yours,219819,trackdone,trackdone,False,False,spotify:track:7g5oISO4ErqRfyfWDZPEVc,2015-03-28T15:56:01Z
64,GB,New Found Glory,New Found Glory,Hit Or Miss,203933,trackdone,trackdone,False,,spotify:track:7FeEApyMHjYUFd8KMJ9Sis,2016-07-03T14:30:10Z
65,GB,Atomic,Lit,Over My Head,220426,trackdone,trackdone,False,True,spotify:track:6GLqXoHnhwCPvW3JEgPUTW,2015-07-04T15:29:43Z
66,GB,Getting Away With Murder,Papa Roach,Scars,4380,logout,fwdbtn,False,,spotify:track:3TAtUJc4Sj913Cs5gBUeu0,2021-08-26T11:01:22Z
67,GB,Avalon,Sully Erna,The Departed,176339,endplay,appload,False,,spotify:track:5dp6Rys0ajeerDiiWYwnnj,2016-06-16T16:28:35Z
68,GB,Tell Me I'm Pretty,Cage The Elephant,Trouble,225973,trackdone,trackdone,False,,spotify:track:5n0CTysih20NYdT2S0Wpe8,2017-03-31T14:42:42Z
69,GB,Re(Disc)overed,Puddle Of Mudd,Gimme Shelter,305826,trackdone,trackdone,False,False,spotify:track:7olmCTzjNrW3SECjpiuRGy,2015-05-31T15:01:37Z
70,GB,Borders & Boundaries,Less Than Jake,Gainesville Rock City,187600,trackdone,trackdone,False,False,spotify:track:5H11O6qzEzK9Gd0fUWUHPW,2015-12-27T22:55:10Z
71,GB,Albumas Iš Ateities,Jama&W,Ruda Dėmė,431556,trackdone,trackdone,False,,spotify:track:5GGfOpiYrZX4CQOhmUa2bM,2019-06-02T16:18:29Z
72,GB,Dead Silence,Billy Talent,Hanging by a Thread,233480,trackdone,trackdone,False,False,spotify:track:3PkwmJN4wng1iJSRiLfu9s,2015-06-07T01:50:54Z
73,GB,Dead Silence,Billy Talent,Hanging by a Thread,233480,trackdone,trackdone,False,False,spotify:track:3PkwmJN4wng1iJSRiLfu9s,2015-07-02T23:04:46Z
74,GB,The Great Divide,Scott Stapp,Hard Way,222493,trackdone,trackdone,False,,spotify:track:6I87JLpBhXoFW5sD9nw7MO,2016-06-29T08:37:15Z
75,GB,Breathe Again,Samyra,Breathe Again,204444,trackdone,trackdone,True,,spotify:track:3nCNIVtbZ9IvAzyrsjRu05,2019-08-16T09:37:59Z
76,GB,Billy Talent - 10th Anniversary Edition,Billy Talent,Living in the Shadows,195559,trackdone,trackdone,False,False,spotify:track:3WIpewnon2Rr1gUoUUp3cJ,2015-07-04T12:46:31Z
77,GB,The Boy Who Died Wolf,Highly Suspect,My Name Is Human,258613,trackdone,trackdone,False,,spotify:track:6lYkFYPKdyOSSZ5xHCJbYg,2020-06-16T15:55:11Z
78,GB,「双星の陰陽師」オープニング&エンディングテーマ〜Valkyrie-戦乙女- / アイズ〜,WagakkiBand,Valkyrie-戦乙女-,262640,trackdone,trackdone,False,,spotify:track:7ydjzkY9iUItQ4LWT7FfMH,2017-11-16T15:31:40Z
79,GB,How To Be A Human Being,Glass Animals,Youth,230693,trackdone,trackdone,False,,spotify:track:1LPGwuFgIzbJoShfDdw7MY,2019-12-07T17:08:11Z
80,GB,Curtain Call,Eminem,When I'm Gone,281133,trackdone,trackdone,False,False,spotify:track:2ye824NM1m7Nc2UPXtwZjL,2016-01-10T23:55:04Z
81,GB,Internal Revolution,Diecast,Fractured,0,unknown,trackdone,False,False,spotify:track:5CucaLpN0VEg8KenCR1dGh,2015-03-25T20:54:33Z
82,GB,The Dirty Boogie,The Brian Setzer Orchestra,This Cat's On A Hot Tin Roof,139466,trackdone,trackdone,True,False,spotify:track:5dZO5CrhvtFFI3SDjvIDlo,2015-12-26T18:00:27Z
83,GB,Kiss Bang,grandson,Kiss Bang,172941,trackdone,trackdone,False,,spotify:track:20UffSyFaybW0xW04IhSbL,2019-02-11T16:38:16Z
84,GB,The Original Albums…Plus,Jim Croce,I Got A Name,194428,trackdone,trackdone,False,False,spotify:track:7v96H8RQtRWJWHiemsqHck,2015-04-20T21:08:17Z
85,GB,Hail to the King,Avenged Sevenfold,Hail to the King,304880,trackdone,trackdone,False,,spotify:track:5anCkDvJ17aznvK5TED5uo,2017-11-07T16:24:29Z
86,GB,Samuel Barber - Adagio (100th anniversary),Samuel Barber,"Barber: Adagio for Strings, Op. 11",537426,trackdone,trackdone,False,,spotify:track:1CSaCKPIp2yCIDL3t7Fyau,2020-10-18T22:52:56Z
87,GB,"VSQ Performs Modern Rock Hits 2012, Vol. 2",Vitamin String Quartet,I Will Wait,281207,trackdone,trackdone,False,False,spotify:track:0thqd2HLR7OxhSOGNMvU3p,2015-02-28T21:22:31Z
88,GB,Time For Annihilation: On the Record & On the Road,Papa Roach,Kick In The Teeth,191398,trackdone,trackdone,False,False,spotify:track:4z1YRT2pdtzDKfuJoU8w3k,2015-02-17T15:13:14Z
89,GB,The Marshall Mathers LP2,Eminem,Desperation,236658,trackdone,trackdone,True,,spotify:track:0CmhVlweAn8kTFQNIisF7r,2016-10-17T15:29:42Z
90,GB,Summerland,The Herd,The King is Dead,251506,trackdone,trackerror,True,,spotify:track:0CX3U3R4YgdoEA75UKOjX1,2019-01-07T12:23:14Z
91,GB,Us and Them,Shinedown,Save Me,213863,trackdone,trackdone,False,False,spotify:track:23SlyxzUtQtExgEButcOtR,2015-03-12T12:47:17Z
92,GB,Trapt,Trapt,Made Of Glass,209493,trackdone,trackdone,False,False,spotify:track:68RovRAHIrkUwASqN0tE2H,2016-02-09T19:31:47Z
93,GB,The Elder Scrolls V: Skyrim: Original Game Soundtrack,Jeremy Soule,Dragonborn,235636,trackdone,trackdone,False,,spotify:track:2gaZJDgE71VL9PzzUUlpMg,2019-10-15T07:02:07Z
94,GB,Mass Effect 3,Sam Hulick,I Was Lost Without You,154080,trackdone,trackdone,False,,spotify:track:2Xu6G4c0BxiFHZyjRJPdnI,2016-09-07T09:29:23Z
95,GB,Carnival of Rust,Poets of the Fall,Carnival of Rust,262946,trackdone,trackdone,False,,spotify:track:2DtPEKs3Pj7E06EoWW4vw8,2020-12-04T21:41:07Z
96,GB,Local 604,Sweatshop Union,Dirty Work,331280,trackdone,trackdone,False,,spotify:track:1GA1jBNTMrou6wHk0Ga7zZ,2016-03-22T23:41:33Z
97,GB,LION,Beissoul,LION,219296,trackdone,appload,True,,spotify:track:4cDe2ASRm5ErmSRj9dbBPf,2019-11-13T16:24:06Z
98,GB,Isolate And Medicate,Seether,Words As Weapons,240195,trackdone,trackdone,False,False,spotify:track:6MvfKM5sFPoZG23OpCjsjj,2015-03-19T15:26:46Z
99,GB,ONE,Rev Theory,ONE,208195,trackdone,trackdone,False,,spotify:track:5EKUb1FKsyYVaSXb41YBIj,2021-06-11T22:36:06Z
100,GB,War is the Answer,Five Finger Death Punch,Far From Home,212493,trackdone,trackdone,False,,spotify:track:70WpP83384wgKixTKbt3Nb,2019-10-10T15:22:34Z
101,GB,You Don't Get Me High Anymore,Three Days Grace,You Don't Get Me High Anymore,230513,trackdone,trackdone,False,,spotify:track:3yzrIC7yDuUjwtU7xdt16m,2021-02-24T17:24:45Z
102,GB,A Fever You Can't Sweat Out,Panic! At The Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,200226,trackdone,trackdone,True,,spotify:track:7wOmQJeVX6qjNXqqsKOkPx,2019-09-24T14:39:03Z
103,GB,Две Войны,Slot,Две Войны,225293,trackdone,trackdone,False,,spotify:track:53z39gCdwT5xQLy2VeADiO,2021-02-20T21:15:01Z
104,GB,Dog House Music,Seasick Steve,Things Go Up,214040,trackdone,trackdone,True,,spotify:track:7oOW3CrlpbFBD7fQOUjOwT,2019-08-05T22:04:27Z
105,GB,Dark Of The Daylight,Crash Kings,Hot Fire,224146,trackdone,trackdone,True,,spotify:track:3ReJhk7hj2gdgIX5ONdBPN,2016-11-29T14:04:50Z
106,GB,Interstellar (Original Motion Picture Soundtrack),Hans Zimmer,Coward,506853,trackdone,trackdone,False,False,spotify:track:3wa4t4bc0UjG2eSGgXHcaR,2015-03-02T02:09:02Z
107,GB,21st Century Breakdown,Green Day,21 Guns,321093,trackdone,trackdone,False,False,spotify:track:64yrDBpcdwEdNY9loyEGbX,2016-01-31T15:20:24Z
108,GB,Make Me (As Featured In the Trailer for 'Devil May Cry 4') - Single,Kristen Agee,Make Me (As Featured In the Trailer for 'Devil May Cry 4'),218570,trackdone,trackdone,True,,spotify:track:6Ey79fvoL8H8GjuFrpCZFn,2018-11-02T08:17:12Z
109,GB,Your Name (Original Motion Picture Soundtrack),RADWIMPS,First View of Tokyo,76978,trackdone,trackdone,False,,spotify:track:1ZJx7gMNfCkHxNlcvOHUh6,2016-11-12T11:33:20Z
110,GB,Tell All Your Friends (Re-Issue),Taking Back Sunday,"Cute Without the ""E"" (Cut From the Team)",211546,trackdone,trackdone,True,False,spotify:track:1aYWQrIT8XPdtV4hhUjczN,2016-02-16T09:38:21Z
111,GB,Welcome,Daði Freyr,Clear My Head,187653,trackdone,trackdone,False,,spotify:track:1lg7XJ4bUim9ge3Kd5uQiz,2021-06-17T13:06:01Z
112,GB,Billy Talent II,Billy Talent,This Suffering,236960,trackdone,trackdone,False,,spotify:track:3KHWn7QiFWTK6d5hiE1Hbe,2016-03-28T17:14:27Z
113,GB,Recovery,Eminem,25 To Life,241586,trackdone,trackdone,False,,spotify:track:0dyWQoMOU9oERL6c9vxtRp,2020-06-18T23:38:57Z
114,GB,One-X,Three Days Grace,Riot,207586,trackdone,trackdone,False,,spotify:track:1Q2fYlSdwuutWj3QplhY9q,2017-10-20T09:00:27Z
115,GB,MCID,Highly Suspect,16,278656,trackdone,trackdone,False,,spotify:track:7jHJ2MzIKO1kIMxGamKRKn,2021-04-02T21:47:12Z
116,GB,ボカロ三昧,WagakkiBand,吉原ラメント,233280,trackdone,trackdone,False,,spotify:track:3F4DRSsrYQEeAKRHt2Lg14,2017-11-11T12:18:42Z
117,GB,Battle of destiny,KOKIA,Battle of destiny,233906,trackdone,trackdone,False,False,spotify:track:3w8UmX7FGYol2ipoXfIB2j,2015-06-11T12:39:36Z
118,GB,Eminem Presents The Re-Up,Eminem,We're Back,80461,fwdbtn,trackdone,True,,spotify:track:2z4bJAPjNYLTTX7Hlaci6H,2016-07-14T14:42:25Z
119,GB,Cocoon,Jeff Tuohy,Crucify,258637,trackdone,trackdone,False,False,spotify:track:2snxEmw5EjovINFtvfVdfY,2015-03-26T18:47:52Z
120,GB,OutRun,Kavinsky,First Blood,184706,trackdone,trackdone,True,,spotify:track:3fGcMJNaGMxzfm0N1PkCVu,2016-08-15T08:49:58Z
121,GB,the WORLD Ruler,Nightmare,the WORLD,228120,trackdone,appload,False,,spotify:track:4kjzcX1eDtgNelODulCwK6,2016-10-20T08:35:42Z
122,GB,Saints of the Sinners,The Faim,Saints of the Sinners,182989,trackdone,trackdone,False,,spotify:track:0vI4E9advbgPGvRt7RImvK,2019-11-04T18:21:19Z
123,GB,One-X,Three Days Grace,Riot,207586,trackdone,trackdone,False,,spotify:track:1Q2fYlSdwuutWj3QplhY9q,2017-10-31T09:44:44Z
124,GB,This Is War,Thirty Seconds To Mars,Alibi,359600,trackdone,trackdone,False,False,spotify:track:0VMGkTgqqW2QRhjLPFqLVv,2015-10-09T21:10:22Z
125,GB,How Big Can You Get?: The Music Of Cab Calloway,Big Bad Voodoo Daddy,Minnie The Moocher,299146,trackdone,trackdone,False,False,spotify:track:0LFIogdKLhuH3y1Tf78EYW,2015-12-28T23:35:28Z
126,GB,Stay What You Are,Saves The Day,Freakish,227026,trackdone,trackdone,False,False,spotify:track:3MOZH8MLW0z7VACDTM7JFi,2015-12-28T13:16:25Z
127,GB,The Queen Is Dead,The Smiths,Vicar in a Tutu - 2017 Master,142320,trackdone,trackdone,False,,spotify:track:7cBzXrGRXhRHPLysmb2nKi,2019-06-15T18:51:13Z
128,GB,CIGARETTE & ALCOHOL,LUCKY TAPES,レイディ・ブルース,260360,trackdone,trackdone,False,,spotify:track:6AKoio5a5qRiIK6QvYJJrr,2019-02-15T20:51:10Z
129,GB,This Is War,Thirty Seconds To Mars,Stronger - Live,361680,trackdone,trackdone,False,False,spotify:track:2728QcZxNHBFTb4gnPsU4X,2015-10-09T23:03:43Z
130,GB,She Wants Revenge,She Wants Revenge,Tear You Apart,284613,trackdone,trackdone,False,,spotify:track:3urJUvRhgMrwydaTQFVEg9,2021-05-28T13:52:10Z
131,GB,The Greatest Hits,3 Doors Down,Here Without You,235640,trackdone,trackdone,False,False,spotify:track:135cNW8kQtiTId7qcsJfVC,2016-01-20T11:22:07Z
132,GB,Midnight Boom,The Kills,Black Balloon,230920,trackdone,trackdone,True,,spotify:track:3N5GWxRqVRfKWwMs0vxFWu,2021-05-25T10:34:16Z
133,GB,JINSEI KAKETE BOKU WA,ONE OK ROCK,Be the light,338920,trackdone,trackdone,False,,spotify:track:21hiz49utFR9rm3DxqsvzX,2017-04-22T20:48:51Z
134,GB,Humanz,Gorillaz,Andromeda (feat. DRAM),197546,trackdone,trackdone,False,,spotify:track:2C0KFbb4v9CNWR5c9jWcKC,2018-11-12T20:20:20Z
135,GB,Hyperfall (Remixed),Yotto,Turn It Around - Ruede Hagelstein's Extended Rise Again Mix,474219,trackdone,trackdone,False,,spotify:track:7EV999f6L4uNkMHV3OCYO4,2020-06-13T22:16:27Z
136,GB,To Be Loved: The Best Of Papa Roach,Papa Roach,...To Be Loved,181211,trackdone,trackdone,False,False,spotify:track:50kypkfAkqg0d2YXQwe7mt,2015-02-20T13:45:22Z
137,GB,Threat to Survival,Shinedown,Misfits,245613,trackdone,trackdone,False,False,spotify:track:6rENDtivS1C4j2k3nLQLgG,2015-10-18T11:51:16Z
138,GB,Disintegration,KOTOKO,Wing My Way,398946,trackdone,trackdone,False,False,spotify:track:2gO02TVyKG19rhCGD3sfRl,2015-07-09T22:38:05Z
139,GB,"Farewell, Starlite!",Francis and the Lights,See Her Out (Thats Just Life),210944,trackdone,trackdone,False,,spotify:track:5zheSFviZNgeZLvZCOxQnE,2020-12-30T20:24:39Z
140,GB,Defcon 5...4...3...2...1,Man Or Astro-Man?,Defcon 5,193796,trackdone,trackdone,False,,spotify:track:5Esuk5nhe9nBgTDLXZWh0V,2018-02-06T14:01:53Z
141,GB,Light My Fire,KOTOKO,Light My Fire,228962,trackdone,trackdone,False,False,spotify:track:4lvxofi0SOziS2NaQAfHLS,2015-05-08T00:58:12Z
142,GB,Choke,I DONT KNOW HOW BUT THEY FOUND ME,Choke - Acoustic,201000,trackdone,trackdone,True,,spotify:track:7DAUTcJYMybdyEC033uT9e,2019-09-28T21:54:40Z
143,GB,Hallelujah,Igorrr,Tout petit moineau,302374,trackdone,trackdone,False,,spotify:track:6DUvpC2bFViefEhZ65NGgk,2021-02-11T19:46:47Z
144,GB,Seether: 2002 - 2013,Seether,Driven Under,273841,trackdone,trackdone,False,False,spotify:track:2FheSCAsL2HxH2zsrFp4NQ,2015-03-07T23:14:33Z
145,GB,Kind Of Blue (Legacy Edition),Miles Davis,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",20062,endplay,trackdone,True,,spotify:track:5o3DSHw1ORhM3lWxqGRvEf,2018-08-21T12:49:58Z
146,GB,The Wrath of Code,Dan Terminus,Pegasus Pro Ultra Fusion,306890,trackdone,trackdone,False,,spotify:track:0R3tIY8XWAlJ73GEAE5IgV,2018-06-26T08:44:40Z
147,GB,Ambitions,ONE OK ROCK,Taking Off,84489,logout,trackdone,False,,spotify:track:6rH7DwITrq2MhxSSuL91r9,2017-09-15T10:51:08Z
148,GB,All Hope Is Gone,Slipknot,Psychosocial,7933,endplay,trackdone,False,,spotify:track:2MvIMgtWyK88OiPi0J8Dg3,2016-04-24T19:01:55Z
149,GB,Us and Them,Shinedown,I Dare You,233977,trackdone,trackdone,False,False,spotify:track:2b86QdcYHnO4YRXqfqlmGH,2015-01-24T22:07:52Z
150,GB,Come Clean,Puddle Of Mudd,Control,230066,trackdone,trackdone,False,,spotify:track:5BIrgOmmKAWMVYJ9WPykim,2017-12-21T09:53:22Z
151,GB,ABANDONSYSTEM__,a crowd of rebellion,TATSUMAKI,253906,trackdone,trackdone,True,,spotify:track:6ecdsPGuG6q1j5JLX9TWsl,2022-02-12T10:01:44Z
