Cumulative Monthly Cost,ID,Country,City,Address,Company,Office Size,Contract Start,Contract End,Contract Length,Months Until Expiry,People,Per Person,Rent per Month,Month Divider
416000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/04/2022
442000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/05/2022
468000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/06/2022
494000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/07/2022
520000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/08/2022
546000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/09/2022
572000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/10/2022
598000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/11/2022
624000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/12/2022
650000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/01/2023
676000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/02/2023
702000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/03/2023
728000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/04/2023
754000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/05/2023
780000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/06/2023
806000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/07/2023
832000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/08/2023
858000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/09/2023
884000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/10/2023
910000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/11/2023
936000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/12/2023
962000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/01/2024
988000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/02/2024
1014000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/03/2024
1040000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/04/2024
1066000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/05/2024
1092000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/06/2024
1118000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/07/2024
1144000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/08/2024
1170000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/09/2024
1196000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/10/2024
1222000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/11/2024
1248000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/12/2024
1274000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,08/01/2025
26000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/10/2021
52000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/11/2021
78000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/12/2021
104000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/01/2022
130000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/02/2022
156000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/03/2022
182000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/04/2022
208000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/05/2022
234000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/06/2022
260000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/07/2022
286000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/08/2022
312000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/09/2022
338000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/10/2022
364000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/11/2022
390000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/12/2022
416000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/01/2023
442000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/02/2023
468000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/03/2023
494000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/04/2023
520000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/05/2023
546000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/06/2023
572000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/07/2023
598000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/08/2023
624000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/09/2023
650000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/10/2023
676000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/11/2023
702000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/12/2023
728000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/01/2024
754000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/02/2024
780000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/03/2024
806000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/04/2024
832000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/05/2024
858000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/06/2024
884000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/07/2024
910000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/08/2024
936000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/09/2024
962000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/10/2024
988000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/11/2024
1014000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/12/2024
1040000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/01/2025
1066000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/02/2025
1092000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/03/2025
1118000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/04/2025
1144000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/05/2025
1170000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/06/2025
1196000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/07/2025
1222000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/08/2025
1248000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,22/09/2025
1274000,10,United Kingdom,London,6969 Blackbird Terrace,Vandervort and Sons,Medium,22/10/2021,21/10/2025,48,42,50,520,26000,21/10/2025
8600,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/09/2021
17200,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/10/2021
25800,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/11/2021
34400,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/12/2021
43000,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/01/2022
51600,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/02/2022
60200,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/03/2022
68800,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/04/2022
77400,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/05/2022
86000,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/06/2022
94600,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/07/2022
103200,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/08/2022
111800,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/09/2022
120400,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/10/2022
129000,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/11/2022
137600,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/12/2022
146200,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/01/2023
154800,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/02/2023
163400,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/03/2023
172000,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/04/2023
180600,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/05/2023
189200,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/06/2023
197800,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/07/2023
206400,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,08/08/2023
215000,11,United Kingdom,Manchester,63246 Thackeray Crossing,"Maggio, Halvorson and Morissette",Small,08/09/2021,07/09/2023,24,17,20,430,8600,07/09/2023
21500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/05/2021
43000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/06/2021
64500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/07/2021
86000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/08/2021
107500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/09/2021
129000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/10/2021
150500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/11/2021
172000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/12/2021
193500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/01/2022
215000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/02/2022
236500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/03/2022
258000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/04/2022
279500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/05/2022
301000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/06/2022
322500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/07/2022
344000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/08/2022
365500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/09/2022
387000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/10/2022
408500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/11/2022
430000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/12/2022
451500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/01/2023
473000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/02/2023
494500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/03/2023
516000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/04/2023
537500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/05/2023
559000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/06/2023
580500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/07/2023
602000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/08/2023
623500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/09/2023
645000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/10/2023
666500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/11/2023
688000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/12/2023
709500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/01/2024
731000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/02/2024
752500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/03/2024
774000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/04/2024
795500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/05/2024
817000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/06/2024
838500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/07/2024
860000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/08/2024
881500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/09/2024
903000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/10/2024
924500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/11/2024
946000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/12/2024
967500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/01/2025
989000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/02/2025
1010500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/03/2025
1032000,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,06/04/2025
1053500,12,United Kingdom,Manchester,6939 Glendale Point,"Yost, Bogan and Smith",Medium,06/05/2021,05/05/2025,48,37,50,430,21500,05/05/2025
41000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/09/2021
82000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/10/2021
123000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/11/2021
164000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/12/2021
205000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/01/2022
