7 letter word,% Chance,Total Points,Points Rank,Likelihood Rank
chymify,5.7600000000000E-12,23,6,80
circuit,4.6656000000000E-10,11,18,38
classes,5.5296000000000E-10,9,20,35
classic,2.0736000000000E-10,11,18,46
climate,9.3312000000000E-10,11,18,29
cliquey,6.9120000000000E-11,21,8,58
closing,4.1472000000000E-10,10,19,39
closure,7.3728000000000E-10,9,20,32
clothes,3.6864000000000E-10,12,17,40
cockshy,5.1200000000000E-12,21,8,81
collect,3.6864000000000E-10,11,18,40
college,1.1059200000000E-9,10,19,27
combine,4.1472000000000E-10,13,16,39
comfort,1.8432000000000E-10,14,15,47
command,1.3824000000000E-10,14,15,50
comment,2.7648000000000E-10,13,16,42
compact,6.9120000000000E-11,15,14,58
company,6.9120000000000E-11,16,13,58
compare,4.1472000000000E-10,13,16,39
compete,5.5296000000000E-10,13,16,35
complex,3.0720000000000E-11,20,9,66
concept,2.7648000000000E-10,13,16,42
concern,8.2944000000000E-10,11,18,30
concert,8.2944000000000E-10,11,18,30
conduct,1.8432000000000E-10,12,17,47
confirm,2.0736000000000E-10,14,15,46
connect,8.2944000000000E-10,11,18,30
consent,1.6588800000000E-9,9,20,22
consist,8.2944000000000E-10,9,20,30
contact,6.2208000000000E-10,11,18,34
contain,2.7993600000000E-9,9,20,17
content,2.4883200000000E-9,9,20,18
contest,1.6588800000000E-9,9,20,22
context,4.1472000000000E-10,16,13,39
control,1.1059200000000E-9,9,20,27
convert,8.2944000000000E-10,12,17,30
correct,8.2944000000000E-10,11,18,30
coryzal,6.9120000000000E-11,21,8,58
coryzas,6.9120000000000E-11,21,8,58
council,2.7648000000000E-10,11,18,42
counsel,7.3728000000000E-10,9,20,32
counter,1.6588800000000E-9,9,20,22
country,2.7648000000000E-10,12,17,42
coxcomb,1.0240000000000E-11,22,7,76
cozying,5.1840000000000E-11,22,7,61
crazily,7.7760000000000E-11,21,8,57
crucial,3.1104000000000E-10,11,18,41
crystal,2.0736000000000E-10,12,17,46
culture,5.5296000000000E-10,9,20,35
current,1.2441600000000E-9,9,20,26
cutting,4.6656000000000E-10,10,19,38
cyanize,2.3328000000000E-10,21,8,45
cyclize,3.4560000000000E-11,23,6,65
czapkas,1.2960000000000E-11,24,5,74
czardom,6.9120000000000E-11,21,8,58
dazedly,1.3824000000000E-10,21,8,50
dealing,2.7993600000000E-9,9,20,17
decided,1.6588800000000E-9,12,17,22
decline,2.4883200000000E-9,10,19,18
default,8.2944000000000E-10,11,18,30
defence,1.6588800000000E-9,13,16,22
deficit,9.3312000000000E-10,13,16,29
defuzed,1.8432000000000E-10,21,8,47
deliver,2.4883200000000E-9,11,18,18
density,1.2441600000000E-9,11,18,26
deposit,1.6588800000000E-9,10,19,22
desktop,1.8432000000000E-10,14,15,47
despite,2.4883200000000E-9,10,19,18
destroy,1.1059200000000E-9,11,18,27
develop,7.3728000000000E-10,13,16,32
devoted,2.2118400000000E-9,12,17,19
diamond,1.2441600000000E-9,11,18,26
digital,2.0995200000000E-9,9,20,20
diquark,7.7760000000000E-11,21,8,57
discuss,1.8432000000000E-10,10,19,47
disease,7.4649600000000E-9,8,21,7
display,2.0736000000000E-10,13,16,46
dispute,8.2944000000000E-10,10,19,30
distant,2.7993600000000E-9,8,21,17
diverse,2.4883200000000E-9,11,18,18
divided,1.2441600000000E-9,13,16,26
djibbah,2.5920000000000E-11,22,7,68
dockize,6.9120000000000E-11,23,6,58
drawing,6.9984000000000E-10,12,17,33
driving,6.9984000000000E-10,12,17,33
dynamic,1.5552000000000E-10,15,14,49
eastern,1.1197440000000E-8,7,22,3
echoize,4.1472000000000E-10,21,8,39
economy,3.6864000000000E-10,14,15,40
edition,1.1197440000000E-8,8,21,3
elderly,1.1059200000000E-9,11,18,27
element,4.9766400000000E-9,9,20,10
engaged,2.7993600000000E-9,10,19,17
enhance,1.8662400000000E-9,12,17,21
enzymes,1.3824000000000E-10,21,8,50
enzymic,5.1840000000000E-11,23,6,61
equably,6.9120000000000E-11,21,8,58
equinox,2.0736000000000E-10,23,6,46
essence,3.3177600000000E-9,9,20,14
evening,2.7993600000000E-9,11,18,17
evident,3.7324800000000E-9,11,18,13
exactly,1.0368000000000E-10,19,10,53
examine,1.3996800000000E-9,16,13,25
example,2.0736000000000E-10,18,11,46
exarchy,5.1840000000000E-11,22,7,61
excited,6.2208000000000E-10,17,12,34
exclude,1.8432000000000E-10,17,12,47
exhibit,2.3328000000000E-10,19,10,45
expense,8.2944000000000E-10,16,13,30
explain,4.6656000000000E-10,16,13,38
explore,5.5296000000000E-10,16,13,35
express,2.7648000000000E-10,16,13,42
extreme,1.2441600000000E-9,16,13,26
factory,2.0736000000000E-10,15,14,46
faculty,6.9120000000000E-11,15,14,58
fahlerz,1.0368000000000E-10,22,7,53
failing,1.0497600000000E-9,11,18,28
failure,1.8662400000000E-9,10,19,21
fashion,6.2208000000000E-10,13,16,34
feature,3.7324800000000E-9,10,19,13
federal,2.4883200000000E-9,11,18,18
feeling,1.8662400000000E-9,11,18,21
fiction,9.3312000000000E-10,12,17,29
fifteen,1.8662400000000E-9,13,16,21
filling,4.6656000000000E-10,11,18,38
finance,1.3996800000000E-9,12,17,25
finding,6.9984000000000E-10,12,17,33
fishing,2.3328000000000E-10,14,15,45
fitness,1.2441600000000E-9,10,19,26
fixedly,6.9120000000000E-11,21,8,58
fizgigs,5.8320000000000E-11,21,8,60
flummox,1.0240000000000E-11,21,8,76
flyback,5.7600000000000E-12,21,8,80
foreign,1.8662400000000E-9,11,18,21
forever,1.6588800000000E-9,13,16,22
formula,2.7648000000000E-10,12,17,42
fortune,1.6588800000000E-9,10,19,22
forward,4.1472000000000E-10,14,15,39
founder,1.1059200000000E-9,11,18,27
fowlpox,2.0480000000000E-11,22,7,70
foxfish,2.3040000000000E-11,23,6,69
foxlike,6.9120000000000E-11,21,8,58
foxship,2.3040000000000E-11,22,7,69
foxskin,3.4560000000000E-11,21,8,65
frawzey,5.1840000000000E-11,25,4,61
freedom,1.1059200000000E-9,13,16,27
further,4.1472000000000E-10,13,16,39
gallery,6.2208000000000E-10,11,18,34
gateway,6.9984000000000E-10,14,15,33
gazooka,1.5552000000000E-10,21,8,49
gazumps,1.7280000000000E-11,21,8,72
general,5.5987200000000E-9,8,21,9
genetic,2.7993600000000E-9,10,19,17
genuine,5.5987200000000E-9,8,21,9
gigabit,7.8732000000000E-10,11,18,31
greater,8.3980800000000E-9,8,21,6
hafizes,1.5552000000000E-10,22,7,49
hamzahs,2.5920000000000E-11,24,5,68
hanging,5.2488000000000E-10,12,17,36
hawbuck,5.7600000000000E-12,21,8,80
haycock,1.1520000000000E-11,21,8,75
hazanim,1.7496000000000E-10,21,8,48
hazelly,6.9120000000000E-11,22,7,58
hazmats,7.7760000000000E-11,21,8,57
heading,1.3996800000000E-9,12,17,25
healthy,2.0736000000000E-10,16,13,46
hearing,2.0995200000000E-9,11,18,20
heavily,3.1104000000000E-10,16,13,41
helpful,6.1440000000000E-11,15,14,59
helping,3.1104000000000E-10,13,16,41
herself,5.5296000000000E-10,13,16,35
hexarch,5.1840000000000E-11,22,7,61
hexylic,3.4560000000000E-11,22,7,65
highway,3.8880000000000E-11,20,9,64
hijacks,1.2960000000000E-11,23,6,74
hijinks,3.8880000000000E-11,21,8,64
himself,1.3824000000000E-10,15,14,50
history,4.1472000000000E-10,13,16,39
hobjobs,2.0480000000000E-11,21,8,70
holding,4.1472000000000E-10,12,17,39
holiday,4.1472000000000E-10,14,15,39
housing,4.1472000000000E-10,11,18,39
however,5.5296000000000E-10,16,13,35
hundred,5.5296000000000E-10,12,17,35
husband,1.3824000000000E-10,13,16,50
hutzpah,1.7280000000000E-11,24,5,72
hutzpas,3.4560000000000E-11,21,8,65
hydroxy,1.5360000000000E-11,24,5,73
hypoxia,5.1840000000000E-11,22,7,61
hypoxic,1.1520000000000E-11,24,5,75
illegal,1.8662400000000E-9,8,21,21
illness,1.6588800000000E-9,7,22,22
imagine,3.1492800000000E-9,10,19,15
imaging,7.8732000000000E-10,11,18,31
improve,4.1472000000000E-10,14,15,39
include,8.2944000000000E-10,10,19,30
initial,9.4478400000000E-9,7,22,5
inquiry,2.3328000000000E-10,19,10,45
insight,6.9984000000000E-10,11,18,33
install,1.8662400000000E-9,7,22,21
instant,4.1990400000000E-9,7,22,12
instead,5.5987200000000E-9,8,21,9
intense,1.1197440000000E-8,7,22,3
interim,4.1990400000000E-9,9,20,12
involve,8.2944000000000E-10,13,16,30
isozyme,1.3824000000000E-10,21,8,50
jacchus,1.1520000000000E-11,21,8,75
jackdaw,1.2960000000000E-11,24,5,74
jacking,2.9160000000000E-11,21,8,67
jackleg,2.5920000000000E-11,21,8,68
jackman,1.9440000000000E-11,22,7,71
jackmen,2.5920000000000E-11,22,7,68
jackpot,1.7280000000000E-11,22,7,72
jaloppy,2.3040000000000E-11,21,8,69
jambeux,1.7280000000000E-11,25,4,72
jambiya,5.8320000000000E-11,21,8,60
jamboks,1.1520000000000E-11,22,7,75
janizar,2.6244000000000E-10,23,6,43
janskys,1.7280000000000E-11,21,8,72
jawlike,7.7760000000000E-11,21,8,57
jaywalk,1.2960000000000E-11,24,5,74
jeffing,7.7760000000000E-11,21,8,57
jerkily,5.1840000000000E-11,21,8,61
jerqued,1.3824000000000E-10,24,5,50
jerquer,2.0736000000000E-10,23,6,46
jerques,1.3824000000000E-10,23,6,50
jewfish,3.4560000000000E-11,23,6,65
jezails,1.5552000000000E-10,23,6,49
jezebel,1.3824000000000E-10,25,4,50
jhatkas,3.8880000000000E-11,21,8,64
jibbahs,2.5920000000000E-11,21,8,68
jimminy,3.8880000000000E-11,21,8,64
jinxing,8.7480000000000E-11,22,7,55
jipyapa,5.8320000000000E-11,21,8,60
jobbery,4.6080000000000E-11,21,8,62
jockeys,1.5360000000000E-11,23,6,73
jockney,2.3040000000000E-11,23,6,69
jointly,2.0736000000000E-10,17,12,46
jonquil,6.9120000000000E-11,23,6,58
jookery,9.2160000000000E-11,21,8,54
joukery,4.6080000000000E-11,21,8,62
journal,4.1472000000000E-10,14,15,39
journey,2.7648000000000E-10,17,12,42
joypops,2.0480000000000E-11,21,8,70
jubbahs,1.1520000000000E-11,21,8,75
jubhahs,1.1520000000000E-11,22,7,75
jukebox,7.6800000000000E-12,27,2,78
jumbuck,1.2800000000000E-12,24,5,83
jumpily,1.1520000000000E-11,21,8,75
jumpoff,5.1200000000000E-12,24,5,81
justice,2.0736000000000E-10,16,13,46
justify,3.4560000000000E-11,20,9,65
kachcha,1.2960000000000E-11,21,8,74
kajawah,2.9160000000000E-11,24,5,67
keeping,4.6656000000000E-10,14,15,38
khanjar,5.8320000000000E-11,21,8,60
khazens,5.1840000000000E-11,23,6,61
khodjas,2.3040000000000E-11,22,7,69
kibbitz,1.9440000000000E-11,24,5,71
kibbutz,8.6400000000000E-12,24,5,77
killing,2.3328000000000E-10,12,17,45
killjoy,2.3040000000000E-11,21,8,69
kingdom,1.0368000000000E-10,15,14,53
kitchen,1.5552000000000E-10,16,13,49
klezmer,6.9120000000000E-11,22,7,58
knowing,1.5552000000000E-10,15,14,49
kolhozy,1.0240000000000E-11,26,3,76
kuchcha,5.7600000000000E-12,21,8,80
kumquat,1.7280000000000E-11,22,7,72
kvetchy,1.1520000000000E-11,22,7,75
kwanzas,3.8880000000000E-11,23,6,64
kyanize,1.1664000000000E-10,23,6,52
lacquey,6.9120000000000E-11,21,8,58
landing,1.3996800000000E-9,9,20,25
largely,6.2208000000000E-10,11,18,34
lasting,1.3996800000000E-9,8,21,25
lazyish,5.1840000000000E-11,22,7,61
leading,2.7993600000000E-9,9,20,17
learned,7.4649600000000E-9,8,21,7
leisure,4.9766400000000E-9,7,22,10
liberal,1.8662400000000E-9,9,20,21
liberty,6.2208000000000E-10,12,17,34
library,4.6656000000000E-10,12,17,38
license,2.4883200000000E-9,9,20,18
limited,1.8662400000000E-9,10,19,21
liquefy,6.9120000000000E-11,22,7,58
liquify,5.1840000000000E-11,22,7,61
listing,1.3996800000000E-9,8,21,25
lockbox,1.0240000000000E-11,22,7,76
lockjaw,1.1520000000000E-11,23,6,75
logical,6.2208000000000E-10,10,19,34
loyalty,2.7648000000000E-10,13,16,42
machine,4.6656000000000E-10,14,15,38
machzor,3.4560000000000E-11,23,6,65
maffick,1.2960000000000E-11,21,8,74
mahzors,6.9120000000000E-11,21,8,58
manager,2.0995200000000E-9,10,19,20
manjack,1.9440000000000E-11,22,7,71
married,2.7993600000000E-9,10,19,17
massive,6.2208000000000E-10,12,17,34
matzahs,7.7760000000000E-11,21,8,57
matzohs,6.9120000000000E-11,21,8,58
matzoth,1.0368000000000E-10,21,8,53
mazedly,6.9120000000000E-11,22,7,58
mazeful,6.9120000000000E-11,21,8,58
mazhbis,2.5920000000000E-11,23,6,68
mazurka,3.8880000000000E-11,22,7,64
meaning,2.0995200000000E-9,10,19,20
measure,2.4883200000000E-9,9,20,18
medical,6.2208000000000E-10,12,17,34
meeting,2.7993600000000E-9,10,19,17
mention,3.7324800000000E-9,9,20,13
message,1.2441600000000E-9,10,19,26
methoxy,4.6080000000000E-11,22,7,62
mezquit,5.1840000000000E-11,27,2,61
million,1.2441600000000E-9,9,20,26
mineral,2.7993600000000E-9,9,20,17
minimal,6.9984000000000E-10,11,18,33
missing,4.6656000000000E-10,10,19,38
mission,1.2441600000000E-9,9,20,26
mistake,4.6656000000000E-10,13,16,38
mitzvah,3.8880000000000E-11,24,5,64
mixture,3.1104000000000E-10,16,13,41
monitor,2.4883200000000E-9,9,20,18
monthly,9.2160000000000E-11,15,14,54
morning,9.3312000000000E-10,10,19,29
musical,2.0736000000000E-10,11,18,46
muzhiks,5.7600000000000E-12,25,4,80
muzjiks,2.8800000000000E-12,29,1,82
mystery,1.3824000000000E-10,15,14,50
mythize,5.1840000000000E-11,24,5,61
myxomas,2.3040000000000E-11,21,8,69
natural,2.7993600000000E-9,7,22,17
neither,5.5987200000000E-9,10,19,9
nervous,1.1059200000000E-9,10,19,27
network,4.1472000000000E-10,14,15,39
neutral,3.7324800000000E-9,7,22,13
notable,2.4883200000000E-9,9,20,18
nothing,9.3312000000000E-10,11,18,29
nowhere,1.6588800000000E-9,13,16,22
nuclear,1.2441600000000E-9,9,20,26
nudzhed,9.2160000000000E-11,21,8,54
nursing,9.3312000000000E-10,8,21,29
obloquy,4.0960000000000E-11,21,8,63
obsequy,6.1440000000000E-11,21,8,59
obvious,3.6864000000000E-10,12,17,40
odzooks,8.1920000000000E-11,21,8,56
offense,1.1059200000000E-9,13,16,27
officer,4.1472000000000E-10,15,14,39
ongoing,1.8662400000000E-9,9,20,21
opening,1.8662400000000E-9,10,19,21
operate,7.4649600000000E-9,9,20,7
opinion,3.7324800000000E-9,9,20,13
optical,6.2208000000000E-10,11,18,34
organic,1.3996800000000E-9,10,19,25
outcome,7.3728000000000E-10,11,18,32
outdoor,2.9491200000000E-9,8,21,16
outjinx,1.0368000000000E-10,21,8,53
outlook,4.9152000000000E-10,11,18,37
outside,3.3177600000000E-9,8,21,14
overall,1.6588800000000E-9,10,19,22
oxazine,4.6656000000000E-10,23,6,38
oxidize,3.1104000000000E-10,24,5,41
oxyphil,2.3040000000000E-11,22,7,69
pacific,1.1664000000000E-10,16,13,52
package,1.1664000000000E-10,16,13,52
packwax,6.4800000000000E-12,25,4,79
packway,1.2960000000000E-11,21,8,74
painted,2.7993600000000E-9,10,19,17
pajocke,3.4560000000000E-11,22,7,65
pajocks,1.1520000000000E-11,22,7,75
panchax,3.8880000000000E-11,21,8,64
parking,1.7496000000000E-10,14,15,48
partial,2.0995200000000E-9,9,20,20
partner,2.7993600000000E-9,9,20,17
passage,9.3312000000000E-10,10,19,29
passing,4.6656000000000E-10,10,19,38
passion,1.2441600000000E-9,9,20,26
passive,6.2208000000000E-10,12,17,34
patient,4.1990400000000E-9,9,20,12
pattern,2.7993600000000E-9,9,20,17
payable,3.1104000000000E-10,14,15,41
payment,3.1104000000000E-10,14,15,41
pemphix,1.7280000000000E-11,23,6,72
penalty,6.2208000000000E-10,12,17,34
pending,9.3312000000000E-10,11,18,29
pension,2.4883200000000E-9,9,20,18
percent,1.2441600000000E-9,11,18,26
perfect,4.1472000000000E-10,14,15,39
perform,2.7648000000000E-10,14,15,42
perhaps,2.0736000000000E-10,14,15,46
pharynx,2.5920000000000E-11,22,7,68
pheazar,2.3328000000000E-10,21,8,45
pheezed,2.7648000000000E-10,22,7,42
pheezes,2.7648000000000E-10,21,8,42
phenoxy,4.6080000000000E-11,22,7,62
phizogs,3.4560000000000E-11,22,7,65
phoenix,2.0736000000000E-10,19,10,46
pickaxe,3.8880000000000E-11,22,7,64
picking,5.8320000000000E-11,16,13,60
pickoff,1.1520000000000E-11,21,8,75
picture,6.2208000000000E-10,11,18,34
pioneer,7.4649600000000E-9,9,20,7
pixyish,2.5920000000000E-11,22,7,68
plastic,3.1104000000000E-10,11,18,41
pointed,2.4883200000000E-9,10,19,18
polyzoa,9.2160000000000E-11,21,8,54
popjoys,2.0480000000000E-11,21,8,70
popular,2.7648000000000E-10,11,18,42
portion,2.4883200000000E-9,9,20,18
poverty,2.7648000000000E-10,15,14,42
precise,1.2441600000000E-9,11,18,26
predict,6.2208000000000E-10,12,17,34
premier,1.8662400000000E-9,11,18,21
premium,2.0736000000000E-10,13,16,46
prepare,1.8662400000000E-9,11,18,21
present,2.4883200000000E-9,9,20,18
prevent,1.2441600000000E-9,12,17,26
primary,2.3328000000000E-10,14,15,45
printer,2.7993600000000E-9,9,20,17
privacy,7.7760000000000E-11,17,12,57
private,1.3996800000000E-9,12,17,25
problem,1.8432000000000E-10,13,16,47
proceed,1.1059200000000E-9,12,17,27
process,3.6864000000000E-10,11,18,40
produce,3.6864000000000E-10,12,17,40
product,1.8432000000000E-10,12,17,47
profile,8.2944000000000E-10,12,17,30
program,3.1104000000000E-10,12,17,41
project,1.3824000000000E-10,18,11,50
promise,8.2944000000000E-10,11,18,30
promote,1.1059200000000E-9,11,18,27
protect,8.2944000000000E-10,11,18,30
protein,3.7324800000000E-9,9,20,13
protest,1.6588800000000E-9,9,20,22
provide,8.2944000000000E-10,13,16,30
publish,4.6080000000000E-11,14,15,62
purpose,3.6864000000000E-10,11,18,40
pushing,1.0368000000000E-10,13,16,53
pyjamas,2.5920000000000E-11,21,8,68
pyrexic,5.1840000000000E-11,21,8,61
qabalah,1.1664000000000E-10,21,8,52
qawwali,1.1664000000000E-10,22,7,52
qawwals,5.1840000000000E-11,22,7,61
quacked,3.4560000000000E-11,23,6,65
quacker,5.1840000000000E-11,22,7,61
quackle,3.4560000000000E-11,22,7,65
quaffed,6.9120000000000E-11,23,6,58
quaffer,1.0368000000000E-10,22,7,53
quaichs,5.1840000000000E-11,21,8,61
quakily,2.5920000000000E-11,23,6,68
quaking,5.8320000000000E-11,21,8,60
qualify,5.1840000000000E-11,22,7,61
quality,1.5552000000000E-10,19,10,49
quamash,5.1840000000000E-11,21,8,61
quarter,9.3312000000000E-10,16,13,29
quavery,1.0368000000000E-10,22,7,53
qubytes,4.6080000000000E-11,21,8,62
queachy,3.4560000000000E-11,24,5,65
queechy,4.6080000000000E-11,24,5,62
quetsch,4.6080000000000E-11,21,8,62
quetzal,1.0368000000000E-10,25,4,53
quezals,6.9120000000000E-11,25,4,58
quiched,6.9120000000000E-11,22,7,58
quiches,6.9120000000000E-11,21,8,58
quicken,5.1840000000000E-11,22,7,61
quicker,5.1840000000000E-11,22,7,61
quickie,7.7760000000000E-11,22,7,57
quickly,5.7600000000000E-12,25,4,80
quinche,1.0368000000000E-10,21,8,53
quinzes,1.0368000000000E-10,25,4,53
quipped,6.9120000000000E-11,21,8,58
quirked,1.0368000000000E-10,21,8,53
quivery,1.0368000000000E-10,22,7,53
quixote,2.0736000000000E-10,23,6,46
quonked,9.2160000000000E-11,21,8,54
quopped,6.1440000000000E-11,21,8,59
qwertys,6.9120000000000E-11,22,7,58
radical,1.3996800000000E-9,10,19,25
railway,6.9984000000000E-10,13,16,33
readily,1.8662400000000E-9,11,18,21
reality,2.7993600000000E-9,10,19,17
realize,2.7993600000000E-9,16,13,17
receipt,1.8662400000000E-9,11,18,21
receive,3.7324800000000E-9,12,17,13
recover,1.6588800000000E-9,12,17,22
reflect,8.2944000000000E-10,12,17,30
regular,1.8662400000000E-9,8,21,21
related,7.4649600000000E-9,8,21,7
release,1.4929920000000E-8,7,22,1
remains,2.7993600000000E-9,9,20,17
removal,8.2944000000000E-10,12,17,30
removed,1.1059200000000E-9,13,16,27
replace,1.2441600000000E-9,11,18,26
request,8.2944000000000E-10,16,13,30
require,1.8662400000000E-9,16,13,21
reserve,4.9766400000000E-9,10,19,10
resolve,2.2118400000000E-9,10,19,19
respect,8.2944000000000E-10,11,18,30
respond,1.1059200000000E-9,10,19,27
restore,9.9532800000000E-9,7,22,4
retired,1.1197440000000E-8,8,21,3
revenue,4.9766400000000E-9,10,19,10
reverse,4.9766400000000E-9,10,19,10
rhizoma,1.5552000000000E-10,21,8,49
rhizome,2.0736000000000E-10,21,8,46
rhizopi,1.5552000000000E-10,21,8,49
rollout,1.4745600000000E-9,7,22,24
routine,7.4649600000000E-9,7,22,7
running,1.3996800000000E-9,8,21,25
satisfy,3.1104000000000E-10,13,16,41
schmalz,1.1520000000000E-11,23,6,75
schmelz,1.5360000000000E-11,23,6,73
schmooz,2.0480000000000E-11,23,6,70
science,1.2441600000000E-9,11,18,26
section,2.4883200000000E-9,9,20,18
segment,1.2441600000000E-9,10,19,26
serious,3.3177600000000E-9,7,22,14
service,1.2441600000000E-9,12,17,26
serving,9.3312000000000E-10,11,18,29
session,3.3177600000000E-9,7,22,14
setting,2.7993600000000E-9,8,21,17
seventh,8.2944000000000E-10,13,16,30
several,2.4883200000000E-9,10,19,18
shortly,1.8432000000000E-10,13,16,47
showbiz,2.3040000000000E-11,24,5,69
showbox,2.0480000000000E-11,22,7,70
showing,2.0736000000000E-10,14,15,46
silence,2.4883200000000E-9,9,20,18
silicon,1.2441600000000E-9,9,20,26
similar,1.3996800000000E-9,9,20,25
sitting,2.0995200000000E-9,8,21,20
sixteen,1.8662400000000E-9,14,15,21
sjambok,1.1520000000000E-11,22,7,75
skilled,2.7648000000000E-10,12,17,42
smoking,1.0368000000000E-10,14,15,53
society,8.2944000000000E-10,12,17,30
somehow,2.4576000000000E-10,15,14,44
someone,4.4236800000000E-9,9,20,11
