Points Rank,Likelihood Rank,7 letter word,% Chance,Total Points
6,138,khazens,5.184e-11,23
6,138,chametz,5.184e-11,23
6,138,zincked,5.184e-11,23
6,168,schmalz,1.152e-11,23
6,163,jockeys,1.536e-11,23
6,162,chutzpa,1.728e-11,23
6,80,oxazine,4.6656e-10,23
6,168,lockjaw,1.152e-11,23
6,152,mazhbis,2.592e-11,23
6,138,zecchin,5.184e-11,23
6,154,foxfish,2.304e-11,23
6,119,kyanize,1.1664e-10,23
6,162,pemphix,1.728e-11,23
6,168,squabby,1.152e-11,23
6,136,avyzing,5.832e-11,23
6,147,cyclize,3.456e-11,23
6,131,jonquil,6.912e-11,23
6,131,quaffed,6.912e-11,23
6,131,dockize,6.912e-11,23
6,147,quacked,3.456e-11,23
6,113,azulejo,1.3824e-10,23
6,160,syzygal,1.728e-11,23
6,148,jewfish,3.456e-11,23
6,148,zymotic,3.456e-11,23
6,148,machzor,3.456e-11,23
6,149,zymomes,3.072e-11,23
6,151,quakily,2.592e-11,23
6,175,chymify,5.76e-12,23
6,101,jerquer,2.0736e-10,23
6,89,zeuxite,3.1104e-10,23
6,89,zanjero,3.1104e-10,23
6,136,vizying,5.832e-11,23
6,155,jockney,2.304e-11,23
6,131,zelkova,6.912e-11,23
6,93,wheezed,2.7648e-10,23
6,103,equinox,2.0736e-10,23
6,115,jerques,1.3824e-10,23
6,100,quixote,2.0736e-10,23
6,163,workbox,1.536e-11,23
7,120,bazooka,1.0368e-10,22
7,140,bazouki,5.184e-11,22
7,121,zaffers,1.0368e-10,22
7,121,zaffres,1.0368e-10,22
7,121,quivery,1.0368e-10,22
7,137,liquify,5.184e-11,22
7,121,quaffer,1.0368e-10,22
7,121,fahlerz,1.0368e-10,22
7,153,buzukia,2.592e-11,22
7,129,zanyish,7.776e-11,22
7,129,zaffirs,7.776e-11,22
7,129,tzaddik,7.776e-11,22
7,129,zaffars,7.776e-11,22
7,129,quickie,7.776e-11,22
7,121,quavery,1.0368e-10,22
7,153,djibbah,2.592e-11,22
7,154,squashy,2.304e-11,22
7,154,squishy,2.304e-11,22
7,111,hafizes,1.5552e-10,22
7,131,zoogamy,6.912e-11,22
7,131,mazedly,6.912e-11,22
7,111,whaizle,1.5552e-10,22
7,131,hazelly,6.912e-11,22
7,154,boxfish,2.304e-11,22
7,125,woozily,9.216e-11,22
7,131,quiched,6.912e-11,22
7,126,jinxing,8.748e-11,22
7,131,zymogen,6.912e-11,22
7,84,wheezer,4.1472e-10,22
7,169,lockbox,1.024e-11,22
7,169,coxcomb,1.024e-11,22
7,155,foxship,2.304e-11,22
7,132,qwertys,6.912e-11,22
7,155,oxyphil,2.304e-11,22
7,155,khodjas,2.304e-11,22
7,93,wheezes,2.7648e-10,22
7,93,wheezle,2.7648e-10,22
7,132,klezmer,6.912e-11,22
7,93,pheezed,2.7648e-10,22
7,152,jackmen,2.592e-11,22
7,157,fowlpox,2.048e-11,22
7,151,pixyish,2.592e-11,22
7,157,showbox,2.048e-11,22
7,132,liquefy,6.912e-11,22
7,158,manjack,1.944e-11,22
7,158,jackman,1.944e-11,22
7,148,phizogs,3.456e-11,22
7,133,zydecos,6.144e-11,22
7,148,hexylic,3.456e-11,22
7,159,carjack,1.944e-11,22
7,133,blowzed,6.144e-11,22
7,147,bumbaze,3.456e-11,22
7,147,pajocke,3.456e-11,22
7,161,kumquat,1.728e-11,22
7,147,zygomas,3.456e-11,22
7,162,jackpot,1.728e-11,22
7,147,waxworm,3.456e-11,22
7,168,jubhahs,1.152e-11,22
7,147,quackle,3.456e-11,22
7,152,pharynx,2.592e-11,22
7,146,pickaxe,3.888e-11,22
7,118,qawwali,1.1664e-10,22
7,136,britzka,5.832e-11,22
7,137,qawwals,5.184e-11,22
7,145,mazurka,3.888e-11,22
7,143,zuffolo,4.096e-11,22
7,138,hexarch,5.184e-11,22
7,142,zuffoli,4.608e-11,22
7,142,methoxy,4.608e-11,22
7,142,phenoxy,4.608e-11,22
7,140,lazyish,5.184e-11,22
7,168,jamboks,1.152e-11,22
7,168,pajocks,1.152e-11,22
7,138,exarchy,5.184e-11,22
7,168,kvetchy,1.152e-11,22
7,138,zaddiks,5.184e-11,22
7,168,buzukis,1.152e-11,22
7,138,quacker,5.184e-11,22
7,138,zimocca,5.184e-11,22
7,138,ziffius,5.184e-11,22
7,140,cozying,5.184e-11,22
7,139,quicker,5.184e-11,22
7,140,qualify,5.184e-11,22
7,140,zygotic,5.184e-11,22
7,140,quicken,5.184e-11,22
7,140,hypoxia,5.184e-11,22
7,168,sjambok,1.152e-11,22
8,170,flummox,1.024e-11,21
8,122,matzoth,1.0368e-10,21
8,168,jacchus,1.152e-11,21
8,140,adzukis,5.184e-11,21
8,140,pyrexic,5.184e-11,21
8,145,panchax,3.888e-11,21
8,121,outjinx,1.0368e-10,21
8,152,jackleg,2.592e-11,21
8,141,jobbery,4.608e-11,21
8,167,chylify,1.152e-11,21
8,166,pickoff,1.152e-11,21
8,166,boychik,1.152e-11,21
8,138,byzants,5.184e-11,21
8,138,quaichs,5.184e-11,21
8,138,chamoix,5.184e-11,21
8,142,quetsch,4.608e-11,21
8,142,qubytes,4.608e-11,21
8,142,azymous,4.608e-11,21
8,142,joukery,4.608e-11,21
8,142,benzyls,4.608e-11,21
8,138,jerkily,5.184e-11,21
8,144,obloquy,4.096e-11,21
8,145,hijinks,3.888e-11,21
8,168,jumpily,1.152e-11,21
8,145,jhatkas,3.888e-11,21
8,145,jimminy,3.888e-11,21
8,137,quamash,5.184e-11,21
8,165,kachcha,1.296e-11,21
8,165,maffick,1.296e-11,21
8,168,haycock,1.152e-11,21
8,118,qabalah,1.1664e-10,21
8,165,chachka,1.296e-11,21
8,147,foxskin,3.456e-11,21
8,136,quaking,5.832e-11,21
8,164,packway,1.296e-11,21
8,98,cyanize,2.3328e-10,21
8,135,fizgigs,5.832e-11,21
8,135,jipyapa,5.832e-11,21
8,135,jambiya,5.832e-11,21
8,99,azymite,2.3328e-10,21
8,134,khanjar,5.832e-11,21
8,160,gazumps,1.728e-11,21
8,148,chalutz,3.456e-11,21
8,160,janskys,1.728e-11,21
8,118,chalaza,1.1664e-10,21
8,133,obsequy,6.144e-11,21
8,174,kuchcha,5.76e-12,21
8,148,hutzpas,3.456e-11,21
8,133,quopped,6.144e-11,21
8,133,blowzes,6.144e-11,21
8,176,flyback,5.76e-12,21
8,99,pheazar,2.3328e-10,21
8,132,foxlike,6.912e-11,21
8,150,jacking,2.916e-11,21
8,132,cliquey,6.912e-11,21
8,151,pyjamas,2.592e-11,21
8,132,mahzors,6.912e-11,21
8,156,popjoys,2.048e-11,21
8,132,czardom,6.912e-11,21
8,176,hawbuck,5.76e-12,21
8,156,hobjobs,2.048e-11,21
8,176,chyacks,5.76e-12,21
8,100,bemazed,2.0736e-10,21
8,93,pheezes,2.7648e-10,21
8,177,cockshy,5.12e-12,21
8,132,fixedly,6.912e-11,21
8,152,jibbahs,2.592e-11,21
8,156,blowjob,2.048e-11,21
8,132,quiches,6.912e-11,21
8,156,joypops,2.048e-11,21
8,168,jubbahs,1.152e-11,21
8,132,coryzal,6.912e-11,21
8,155,myxomas,2.304e-11,21
8,155,cashbox,2.304e-11,21
8,132,matzohs,6.912e-11,21
8,155,jaloppy,2.304e-11,21
8,132,quipped,6.912e-11,21
8,89,cerveza,3.1104e-10,21
8,155,buqshas,2.304e-11,21
8,115,chequer,1.3824e-10,21
8,169,buxomly,1.024e-11,21
8,129,charqui,7.776e-11,21
8,81,echoize,4.1472e-10,21
8,129,jawlike,7.776e-11,21
8,129,azimuth,7.776e-11,21
8,128,hazmats,7.776e-11,21
8,128,matzahs,7.776e-11,21
8,128,chazans,7.776e-11,21
8,127,odzooks,8.192e-11,21
8,131,lacquey,6.912e-11,21
8,106,defuzed,1.8432e-10,21
8,129,crazily,7.776e-11,21
8,129,jeffing,7.776e-11,21
8,107,hazanim,1.7496e-10,21
8,125,jookery,9.216e-11,21
8,125,benzoyl,9.216e-11,21
8,154,killjoy,2.304e-11,21
8,110,rhizopi,1.5552e-10,21
8,131,coryzas,6.912e-11,21
8,125,polyzoa,9.216e-11,21
8,125,quonked,9.216e-11,21
8,131,mazeful,6.912e-11,21
8,111,affixed,1.5552e-10,21
8,125,cheques,9.216e-11,21
8,111,gazooka,1.5552e-10,21
8,122,quirked,1.0368e-10,21
8,111,agryzed,1.5552e-10,21
8,112,rhizoma,1.5552e-10,21
8,124,boozily,9.216e-11,21
8,124,nudzhed,9.216e-11,21
8,113,isozyme,1.3824e-10,21
8,113,dazedly,1.3824e-10,21
8,123,quinche,1.0368e-10,21
8,131,equably,6.912e-11,21
8,113,enzymes,1.3824e-10,21
8,130,diquark,7.776e-11,21
8,114,chorizo,1.3824e-10,21
8,101,rhizome,2.0736e-10,21
9,149,complex,3.072e-11,20
9,148,justify,3.456e-11,20
9,146,highway,3.888e-11,20
10,110,quality,1.5552e-10,19
10,121,exactly,1.0368e-10,19
10,103,phoenix,2.0736e-10,19
10,99,exhibit,2.3328e-10,19
10,99,inquiry,2.3328e-10,19
10,141,checked,4.608e-11,19
11,79,acquire,4.6656e-10,18
11,115,whereby,1.3824e-10,18
11,103,example,2.0736e-10,18
11,115,project,1.3824e-10,18
11,141,subject,4.608e-11,18
11,138,chicken,5.184e-11,18
12,106,exclude,1.8432e-10,17
12,70,excited,6.2208e-10,17
12,129,privacy,7.776e-11,17
12,67,anxiety,6.9984e-10,17
12,93,journey,2.7648e-10,17
12,100,jointly,2.0736e-10,17
13,80,explain,4.6656e-10,16
13,82,whether,4.1472e-10,16
13,75,explore,5.5296e-10,16
13,118,package,1.1664e-10,16
13,118,pacific,1.1664e-10,16
13,75,however,5.5296e-10,16
13,57,quarter,9.3312e-10,16
13,59,request,8.2944e-10,16
13,62,expense,8.2944e-10,16
13,135,backing,5.832e-11,16
13,136,picking,5.832e-11,16
13,50,extreme,1.24416e-09,16
13,100,healthy,2.0736e-10,16
13,121,chamber,1.0368e-10,16
13,131,company,6.912e-11,16
13,91,express,2.7648e-10,16
13,114,anybody,1.3824e-10,16
13,101,justice,2.0736e-10,16
13,89,heavily,3.1104e-10,16
13,112,kitchen,1.5552e-10,16
13,89,mixture,3.1104e-10,16
13,37,require,1.86624e-09,16
13,84,context,4.1472e-10,16
13,46,examine,1.39968e-09,16
13,27,realize,2.79936e-09,16
14,101,factory,2.0736e-10,15
14,115,himself,1.3824e-10,15
14,111,knowing,1.5552e-10,15
14,111,dynamic,1.5552e-10,15
14,124,monthly,9.216e-11,15
14,89,therapy,3.1104e-10,15
14,88,academy,3.1104e-10,15
14,122,kingdom,1.0368e-10,15
14,93,poverty,2.7648e-10,15
14,100,victory,2.0736e-10,15
14,119,walking,1.1664e-10,15
14,57,achieve,9.3312e-10,15
14,115,mystery,1.3824e-10,15
14,83,officer,4.1472e-10,15
14,111,working,1.5552e-10,15
14,60,weekend,8.2944e-10,15
14,95,somehow,2.4576e-10,15
14,82,thereby,4.1472e-10,15
14,132,faculty,6.912e-11,15
14,81,vehicle,4.1472e-10,15
14,132,compact,6.912e-11,15
14,98,traffic,2.3328e-10,15
14,98,charity,2.3328e-10,15
14,133,helpful,6.144e-11,15
15,89,payment,3.1104e-10,14
15,103,showing,2.0736e-10,14
15,66,viewing,6.9984e-10,14
15,81,journal,4.1472e-10,14
15,81,improve,4.1472e-10,14
15,99,fishing,2.3328e-10,14
15,97,primary,2.3328e-10,14
15,115,unknown,1.3824e-10,14
15,81,holiday,4.1472e-10,14
15,82,forward,4.1472e-10,14
15,83,perfect,4.1472e-10,14
15,142,publish,4.608e-11,14
15,70,anxious,6.2208e-10,14
15,121,smoking,1.0368e-10,14
15,131,summary,6.912e-11,14
15,84,network,4.1472e-10,14
15,105,comfort,1.8432e-10,14
15,100,webcast,2.0736e-10,14
15,100,chronic,2.0736e-10,14
15,106,desktop,1.8432e-10,14
15,100,perhaps,2.0736e-10,14
15,92,perform,2.7648e-10,14
15,87,welcome,3.6864e-10,14
15,114,through,1.3824e-10,14
15,114,command,1.3824e-10,14
15,112,typical,1.5552e-10,14
15,113,thought,1.3824e-10,14
15,79,machine,4.6656e-10,14
15,87,economy,3.6864e-10,14
15,79,keeping,4.6656e-10,14
15,102,confirm,2.0736e-10,14
15,37,sixteen,1.86624e-09,14
15,89,chapter,3.1104e-10,14
15,89,payable,3.1104e-10,14
15,108,banking,1.7496e-10,14
15,109,parking,1.7496e-10,14
15,67,gateway,6.9984e-10,14
16,100,premium,2.0736e-10,13
16,48,divided,1.24416e-09,13
16,92,loyalty,2.7648e-10,13
16,88,capable,3.1104e-10,13
16,79,mistake,4.6656e-10,13
16,89,satisfy,3.1104e-10,13
16,89,helping,3.1104e-10,13
16,53,freedom,1.10592e-09,13
16,123,pushing,1.0368e-10,13
16,37,weather,1.86624e-09,13
16,106,problem,1.8432e-10,13
16,53,removed,1.10592e-09,13
16,103,display,2.0736e-10,13
16,53,offense,1.10592e-09,13
16,93,comment,2.7648e-10,13
16,56,advance,9.3312e-10,13
16,56,deficit,9.3312e-10,13
16,93,concept,2.7648e-10,13
16,36,fifteen,1.86624e-09,13
16,75,compete,5.5296e-10,13
16,85,touched,3.6864e-10,13
16,75,herself,5.5296e-10,13
16,71,speaker,6.2208e-10,13
16,38,nowhere,1.65888e-09,13
16,39,forever,1.65888e-09,13
16,104,shortly,1.8432e-10,13
16,59,seventh,8.2944e-10,13
16,70,fashion,6.2208e-10,13
16,50,welfare,1.24416e-09,13
16,83,survive,4.1472e-10,13
16,82,further,4.1472e-10,13
16,70,wedding,6.2208e-10,13
16,60,provide,8.2944e-10,13
16,40,defence,1.65888e-09,13
16,115,husband,1.3824e-10,13
16,81,combine,4.1472e-10,13
16,60,involve,8.2944e-10,13
16,81,without,4.1472e-10,13
16,81,history,4.1472e-10,13
16,81,compare,4.1472e-10,13
16,66,railway,6.9984e-10,13
16,49,whereas,1.24416e-09,13
16,115,brought,1.3824e-10,13
16,65,develop,7.3728e-10,13
16,46,variety,1.39968e-09,13
17,87,obvious,3.6864e-10,12
17,80,library,4.6656e-10,12
17,49,service,1.24416e-09,12
17,61,profile,8.2944e-10,12
17,62,convert,8.2944e-10,12
17,49,prevent,1.24416e-09,12
17,49,advised,1.24416e-09,12
17,49,website,1.24416e-09,12
17,64,bedroom,7.3728e-10,12
17,46,heading,1.39968e-09,12
17,81,careful,4.1472e-10,12
17,66,ability,6.9984e-10,12
17,81,uniform,4.1472e-10,12
17,66,drawing,6.9984e-10,12
17,46,finance,1.39968e-09,12
17,67,driving,6.9984e-10,12
17,67,finding,6.9984e-10,12
17,30,between,2.48832e-09,12
17,81,surface,4.1472e-10,12
17,46,private,1.39968e-09,12
17,61,reflect,8.2944e-10,12
17,60,society,8.2944e-10,12
17,32,devoted,2.21184e-09,12
17,98,killing,2.3328e-10,12
17,39,recover,1.65888e-09,12
17,36,enhance,1.86624e-09,12
17,82,holding,4.1472e-10,12
17,70,medical,6.2208e-10,12
17,70,passive,6.2208e-10,12
17,93,accused,2.7648e-10,12
17,70,penalty,6.2208e-10,12
17,59,removal,8.2944e-10,12
17,70,massive,6.2208e-10,12
17,70,applied,6.2208e-10,12
17,93,country,2.7648e-10,12
17,70,channel,6.2208e-10,12
17,70,visible,6.2208e-10,12
17,83,stretch,4.1472e-10,12
17,29,believe,2.48832e-09,12
17,70,predict,6.2208e-10,12
17,57,fiction,9.3312e-10,12
17,71,liberty,6.2208e-10,12
17,84,century,4.1472e-10,12
17,57,battery,9.3312e-10,12
17,57,charlie,9.3312e-10,12
17,36,teacher,1.86624e-09,12
17,104,product,1.8432e-10,12
17,57,charter,9.3312e-10,12
17,74,hundred,5.5296e-10,12
17,93,formula,2.7648e-10,12
17,85,succeed,3.6864e-10,12
17,85,produce,3.6864e-10,12
17,93,skilled,2.7648e-10,12
17,104,conduct,1.8432e-10,12
17,100,crystal,2.0736e-10,12
17,76,hanging,5.2488e-10,12
17,86,alcohol,3.6864e-10,12
17,38,decided,1.65888e-09,12
17,36,beneath,1.86624e-09,12
17,20,receive,3.73248e-09,12
17,36,benefit,1.86624e-09,12
17,89,program,3.1104e-10,12
17,87,clothes,3.6864e-10,12
17,53,proceed,1.10592e-09,12
17,61,brother,8.2944e-10,12
18,87,process,3.6864e-10,11
18,96,suppose,2.4576e-10,11
18,79,willing,4.6656e-10,11
18,49,diamond,1.24416e-09,11
18,79,circuit,4.6656e-10,11
18,106,suspect,1.8432e-10,11
18,79,filling,4.6656e-10,11
18,53,destroy,1.10592e-09,11
18,36,foreign,1.86624e-09,11
18,116,success,1.2288e-10,11
18,53,founder,1.10592e-09,11
18,77,outlook,4.9152e-10,11
18,54,captain,1.04976e-09,11
18,54,wanting,1.04976e-09,11
18,54,failing,1.04976e-09,11
18,54,warning,1.04976e-09,11
18,54,writing,1.04976e-09,11
18,55,winning,1.04976e-09,11
18,75,supreme,5.5296e-10,11
18,36,readily,1.86624e-09,11
18,56,balance,9.3312e-10,11
18,34,hearing,2.09952e-09,11
18,57,caption,9.3312e-10,11
18,33,wearing,2.09952e-09,11
18,81,account,4.1472e-10,11
18,42,waiting,1.57464e-09,11
18,57,attempt,9.3312e-10,11
18,36,feeling,1.86624e-09,11
18,29,diverse,2.48832e-09,11
18,57,climate,9.3312e-10,11
18,72,optical,6.2208e-10,11
18,71,picture,6.2208e-10,11
18,57,village,9.3312e-10,11
18,57,caliber,9.3312e-10,11
18,81,surgery,4.1472e-10,11
18,57,centric,9.3312e-10,11
18,70,largely,6.2208e-10,11
18,57,nothing,9.3312e-10,11
18,58,serving,9.3312e-10,11
18,84,housing,4.1472e-10,11
18,58,tonight,9.3312e-10,11
18,58,pending,9.3312e-10,11
18,29,adverse,2.48832e-09,11
18,87,collect,3.6864e-10,11
18,70,gallery,6.2208e-10,11
18,59,towards,8.2944e-10,11
18,59,default,8.2944e-10,11
18,59,concern,8.2944e-10,11
18,59,promise,8.2944e-10,11
18,59,connect,8.2944e-10,11
18,70,special,6.2208e-10,11
18,59,because,8.2944e-10,11
18,70,contact,6.2208e-10,11
18,87,purpose,3.6864e-10,11
18,59,correct,8.2944e-10,11
18,70,capture,6.2208e-10,11
18,37,premier,1.86624e-09,11
18,70,upgrade,6.2208e-10,11
18,89,crucial,3.1104e-10,11
18,60,species,8.2944e-10,11
18,90,plastic,3.1104e-10,11
18,68,insight,6.9984e-10,11
18,61,respect,8.2944e-10,11
18,67,minimal,6.9984e-10,11
18,29,deliver,2.48832e-09,11
18,67,binding,6.9984e-10,11
18,67,capital,6.9984e-10,11
18,36,adviser,1.86624e-09,11
18,19,evident,3.73248e-09,11
18,65,outcome,7.3728e-10,11
18,17,average,4.19904e-09,11
18,36,receipt,1.86624e-09,11
18,46,cabinet,1.39968e-09,11
18,29,federal,2.48832e-09,11
18,26,evening,2.79936e-09,11
18,91,upscale,2.7648e-10,11
18,101,classic,2.0736e-10,11
18,92,popular,2.7648e-10,11
18,53,promote,1.10592e-09,11
18,53,telecom,1.10592e-09,11
18,49,absence,1.24416e-09,11
18,36,already,1.86624e-09,11
18,52,elderly,1.10592e-09,11
18,49,science,1.24416e-09,11
18,49,precise,1.24416e-09,11
18,63,imaging,7.8732e-10,11
18,63,gigabit,7.8732e-10,11
18,49,percent,1.24416e-09,11
18,50,density,1.24416e-09,11
18,93,council,2.7648e-10,11
18,103,musical,2.0736e-10,11
18,104,support,1.8432e-10,11
18,61,protect,8.2944e-10,11
18,49,replace,1.24416e-09,11
18,61,concert,8.2944e-10,11
18,36,prepare,1.86624e-09,11
19,49,segment,1.24416e-09,10
19,12,neither,5.59872e-09,10
19,49,witness,1.24416e-09,10
19,49,various,1.24416e-09,10
19,50,message,1.24416e-09,10
19,50,fitness,1.24416e-09,10
19,27,engaged,2.79936e-09,10
19,27,written,2.79936e-09,10
19,51,college,1.10592e-09,10
19,51,nervous,1.10592e-09,10
19,80,cutting,4.6656e-10,10
19,29,despite,2.48832e-09,10
19,27,painted,2.79936e-09,10
19,27,married,2.79936e-09,10
19,20,feature,3.73248e-09,10
19,29,violent,2.48832e-09,10
19,24,imagine,3.14928e-09,10
19,27,reality,2.79936e-09,10
19,27,genetic,2.79936e-09,10
19,46,organic,1.39968e-09,10
19,19,another,3.73248e-09,10
19,60,totally,8.2944e-10,10
19,69,logical,6.2208e-10,10
19,60,dispute,8.2944e-10,10
19,29,decline,2.48832e-09,10
19,37,opening,1.86624e-09,10
19,59,include,8.2944e-10,10
19,104,discuss,1.8432e-10,10
19,29,venture,2.48832e-09,10
19,29,version,2.48832e-09,10
19,38,overall,1.65888e-09,10
19,14,reverse,4.97664e-09,10
19,84,closing,4.1472e-10,10
19,29,western,2.48832e-09,10
19,29,several,2.48832e-09,10
19,58,passage,9.3312e-10,10
19,39,besides,1.65888e-09,10
19,14,revenue,4.97664e-09,10
19,57,virtual,9.3312e-10,10
19,40,deposit,1.65888e-09,10
19,57,morning,9.3312e-10,10
19,57,utility,9.3312e-10,10
19,80,burning,4.6656e-10,10
19,41,fortune,1.65888e-09,10
19,14,reserve,4.97664e-09,10
19,44,radical,1.39968e-09,10
19,73,assumed,5.5296e-10,10
19,31,pointed,2.48832e-09,10
19,32,resolve,2.21184e-09,10
19,80,passing,4.6656e-10,10
19,27,meeting,2.79936e-09,10
19,33,bearing,2.09952e-09,10
19,33,beating,2.09952e-09,10
19,33,warrant,2.09952e-09,10
19,33,arrival,2.09952e-09,10
19,34,meaning,2.09952e-09,10
19,34,manager,2.09952e-09,10
19,57,analyst,9.3312e-10,10
19,12,veteran,5.59872e-09,10
19,80,missing,4.6656e-10,10
19,13,theatre,5.59872e-09,10
19,78,calling,4.6656e-10,10
19,36,limited,1.86624e-09,10
19,36,failure,1.86624e-09,10
19,53,respond,1.10592e-09,10
19,47,ceiling,1.39968e-09,10
20,41,counter,1.65888e-09,9
20,26,airport,2.79936e-09,9
20,40,consent,1.65888e-09,9
20,33,digital,2.09952e-09,9
20,117,surplus,1.2288e-10,9
20,9,operate,7.46496e-09,9
20,8,pioneer,7.46496e-09,9
20,33,partial,2.09952e-09,9
20,53,control,1.10592e-09,9
20,45,similar,1.39968e-09,9
20,75,culture,5.5296e-10,9
20,73,classes,5.5296e-10,9
20,40,protest,1.65888e-09,9
20,17,ancient,4.19904e-09,9
20,33,attract,2.09952e-09,9
20,40,contest,1.65888e-09,9
20,81,suggest,4.1472e-10,9
20,29,notable,2.48832e-09,9
20,39,address,1.65888e-09,9
20,29,measure,2.48832e-09,9
20,29,present,2.48832e-09,9
20,16,someone,4.42368e-09,9
20,38,studied,1.65888e-09,9
20,29,silence,2.48832e-09,9
20,15,element,4.97664e-09,9
20,59,consist,8.2944e-10,9
20,29,portion,2.48832e-09,9
20,37,ongoing,1.86624e-09,9
20,37,caution,1.86624e-09,9
20,37,auction,1.86624e-09,9
20,29,monitor,2.48832e-09,9
20,29,license,2.48832e-09,9
20,19,mention,3.73248e-09,9
20,36,central,1.86624e-09,9
20,29,alleged,2.48832e-09,9
20,53,trouble,1.10592e-09,9
20,29,pension,2.48832e-09,9
20,50,current,1.24416e-09,9
20,30,content,2.48832e-09,9
20,31,section,2.48832e-09,9
20,50,passion,1.24416e-09,9
20,27,article,2.79936e-09,9
20,27,remains,2.79936e-09,9
20,27,leading,2.79936e-09,9
20,49,nuclear,1.24416e-09,9
20,49,million,1.24416e-09,9
20,49,mission,1.24416e-09,9
20,27,dealing,2.79936e-09,9
20,64,sponsor,7.3728e-10,9
20,48,silicon,1.24416e-09,9
20,48,billion,1.24416e-09,9
20,28,mineral,2.79936e-09,9
20,46,landing,1.39968e-09,9
20,28,contain,2.79936e-09,9
20,28,partner,2.79936e-09,9
20,18,patient,4.19904e-09,9
20,18,interim,4.19904e-09,9
20,28,printer,2.79936e-09,9
20,28,pattern,2.79936e-09,9
20,19,opinion,3.73248e-09,9
20,17,certain,4.19904e-09,9
20,20,protein,3.73248e-09,9
20,65,closure,7.3728e-10,9
20,17,carrier,4.19904e-09,9
20,65,counsel,7.3728e-10,9
20,17,Reading,4.19904e-09,9
20,23,essence,3.31776e-09,9
20,17,barrier,4.19904e-09,9
20,35,liberal,1.86624e-09,9
21,3,retired,1.119744e-08,8
21,36,illegal,1.86624e-09,8
21,47,lasting,1.39968e-09,8
21,4,edition,1.119744e-08,8
21,46,turning,1.39968e-09,8
21,47,listing,1.39968e-09,8
21,22,outside,3.31776e-09,8
21,7,greater,8.39808e-09,8
21,8,learned,7.46496e-09,8
21,8,related,7.46496e-09,8
21,28,setting,2.79936e-09,8
21,28,distant,2.79936e-09,8
21,28,strange,2.79936e-09,8
21,24,against,3.14928e-09,8
21,46,running,1.39968e-09,8
21,36,telling,1.86624e-09,8
21,19,storage,3.73248e-09,8
21,8,disease,7.46496e-09,8
21,37,regular,1.86624e-09,8
21,13,general,5.59872e-09,8
21,58,nursing,9.3312e-10,8
21,41,student,1.65888e-09,8
21,38,assured,1.65888e-09,8
21,34,sitting,2.09952e-09,8
21,25,outdoor,2.94912e-09,8
21,10,arrange,6.29856e-09,8
21,11,genuine,5.59872e-09,8
21,12,instead,5.59872e-09,8
22,19,neutral,3.73248e-09,7
22,17,instant,4.19904e-09,7
22,39,illness,1.65888e-09,7
22,73,unusual,5.5296e-10,7
22,14,leisure,4.97664e-09,7
22,13,station,5.59872e-09,7
