Account Name,Number of Opportunities,Amount
Young486 Inc,2,1047240
Abbott358 Inc,1,98850
Ortega682 Inc,2,3340040
Wilkerson769 Inc,1,274656
Graves147 Inc,4,715781
Benson689 Inc,1,594760
Benson594 Inc,1,201720
Nguyen156 Inc,1,605000
Armstrong345 Inc,2,2449416
Thomas631 Inc,1,2340210
Hall758 Inc,1,498520
Ramsey114 Inc,2,1152730
Mendoza936 Inc,2,2280350
Cannon212 Inc,1,278337
Morales516 Inc,1,2604140
Reynolds298 Inc,1,141300
Luna900 Inc,1,1750
Hunter88 Inc,1,355680
Ferguson738 Inc,1,363901
Hodges632 Inc,1,965700
Patton86 Inc,1,150043
Butler152 Inc,3,7551530
Ellis805 Inc,1,476918
Christensen840 Inc,1,683100
Bush454 Inc,3,5916790
Johnson960 Inc,1,218204
Tran798 Inc,1,43355
Holloway455 Inc,1,411185
Hines651 Inc,2,2511280
Doyle498 Inc,1,3712300
Stone414 Inc,1,116360
Lowe496 Inc,1,744440
Thompson622 Inc,2,2108570
Thomas208 Inc,1,1648300
Dawson161 Inc,1,3463920
Cox450 Inc,3,4255300
Watkins561 Inc,2,1693467
Evans674 Inc,1,577250
Russell560 Inc,1,3145700
Hill331 Inc,1,457656
Hansen313 Inc,1,377520
Wise175 Inc,1,2243150
Christensen164 Inc,1,1684050
Abbott372 Inc,1,1498260
Hanson683 Inc,1,1542350
Soto36 Inc,2,1695215
Daniel415 Inc,1,7747190
Munoz802 Inc,1,720520
Webb232 Inc,1,436500
Harrison279 Inc,1,466560
Webb165 Inc,3,828785
Bass271 Inc,1,15760
Holmes945 Inc,1,701400
Reeves844 Inc,1,76800
Gutierrez48 Inc,1,279405
Bradley715 Inc,2,663696
Figueroa68 Inc,1,1318960
Walsh54 Inc,2,138297
Porter466 Inc,1,333830
Stone504 Inc,1,480891
Cohen28 Inc,2,2205998
Thornton799 Inc,1,844100
Lambert452 Inc,3,2747300
Bryant250 Inc,2,661785
Ford835 Inc,2,3275510
Walters918 Inc,1,3498250
Glover937 Inc,1,1193160
Diaz190 Inc,1,493255
Fleming389 Inc,1,236610
McKenzie143 Inc,1,3960350
Todd690 Inc,2,2839875
Gordon294 Inc,1,975175
Duncan187 Inc,1,318600
Salazar257 Inc,1,40900
McKenzie887 Inc,1,1134385
Greer746 Inc,1,1979000
Sharp69 Inc,1,5188750
Robertson5 Inc,2,4332610
Griffith580 Inc,2,2094351
Owens588 Inc,1,163110
McCarthy162 Inc,1,499733
Banks163 Inc,1,488860
Rodgers461 Inc,2,3573300
Rogers668 Inc,1,11883
Nash380 Inc,1,288925
Long659 Inc,2,1013770
Murphy861 Inc,2,3300801
Hines107 Inc,1,3836040
Summers458 Inc,1,171660
Knight146 Inc,1,69240
Allison992 Inc,1,2592000
Gordon814 Inc,1,898800
Rodgers79 Inc,2,5406870
Adkins42 Inc,1,773640
Wagner421 Inc,1,110986
Rodriguez422 Inc,1,2102240
Romero210 Inc,1,1390500
Hughes308 Inc,1,2129900
Cain574 Inc,1,3960970
Morton128 Inc,1,1415700
Robertson721 Inc,1,2217555
Keller1 Inc,2,2482120
Ferguson911 Inc,1,2183750
Thompson136 Inc,1,847450
Figueroa166 Inc,1,679555
Stevenson884 Inc,1,94283
Bowen938 Inc,1,2641175
Cohen950 Inc,1,114000
Munoz724 Inc,1,88200
Roberts804 Inc,2,1318873
Graves33 Inc,3,3167260
Hoffman761 Inc,1,499523
Bowers460 Inc,2,2181537
Black702 Inc,1,449660
Gibson62 Inc,2,1067840
Beck370 Inc,2,1458554
Bradley791 Inc,1,1630580
Conner513 Inc,2,442950
James431 Inc,1,87240
Alvarez72 Inc,1,52440
Lee192 Inc,4,5184005
Moody613 Inc,1,61500
Crawford701 Inc,1,2942705
Hopkins739 Inc,1,1667600
Crawford536 Inc,2,613925
Mitchell570 Inc,1,1202450
Freeman751 Inc,1,1578500
Paul453 Inc,1,128265
Morris541 Inc,1,193757
Simmons211 Inc,1,1314400
Underwood142 Inc,3,7905100
Lawrence93 Inc,1,17000
Carson909 Inc,1,2276590
Reed186 Inc,2,619000
Medina246 Inc,1,165000
Mendez595 Inc,2,3759040
Perkins198 Inc,1,657600
Joseph988 Inc,3,6573140
Joseph361 Inc,1,1879190
Woods306 Inc,2,96419
Turner924 Inc,1,1314185
Bridges776 Inc,1,1337090
Hopkins600 Inc,1,123280
Hudson506 Inc,1,1840000
Vaughn229 Inc,1,1885475
Flowers529 Inc,1,103690
Fletcher429 Inc,2,2238655
Dawson277 Inc,1,537880
Graves925 Inc,2,801750
Doyle59 Inc,2,874660
Graham705 Inc,1,60160
Grant712 Inc,1,987000
Schneider843 Inc,1,156655
Hernandez713 Inc,2,3008080
Leonard91 Inc,1,852720
Wise244 Inc,1,846000
Obrien994 Inc,2,1428745
Roberson601 Inc,1,1518190
Armstrong378 Inc,2,1268620
Bennett922 Inc,1,412385
Pittman528 Inc,1,1379300
Chapman475 Inc,1,198000
Marsh836 Inc,2,2585238
Rios830 Inc,3,7325111
Santos84 Inc,1,2477275
McGuire26 Inc,1,62400
Maxwell619 Inc,1,112000
Nichols662 Inc,2,5140365
Morales41 Inc,2,4155680
Sims815 Inc,1,650350
Morton698 Inc,1,368530
Fitzgerald503 Inc,1,2158750
Joseph730 Inc,3,3062194
Ross559 Inc,1,165920
Munoz282 Inc,1,466200
Brock75 Inc,1,1750200
Stone207 Inc,1,435960
Torres548 Inc,1,4090880
Silva224 Inc,3,1005131
Goodwin856 Inc,1,152400
Alexander704 Inc,1,637600
Phillips552 Inc,1,32400
West49 Inc,2,2220500
Austin22 Inc,1,273090
Allen182 Inc,1,4067300
Vasquez483 Inc,1,1010900
Simpson342 Inc,1,1489210
Fowler322 Inc,5,3429902
Medina110 Inc,1,2628850
Cortez324 Inc,1,21640
Webster349 Inc,3,2164400
Webster87 Inc,1,105210
King177 Inc,1,112725
Scott708 Inc,1,1595250
Fox517 Inc,2,2310795
Olson171 Inc,1,66246
Green672 Inc,1,237840
Vega20 Inc,1,93733
Beck894 Inc,1,470865
Conner538 Inc,1,1488450
Lawrence491 Inc,1,1420100
Pittman556 Inc,1,807800
Watts685 Inc,2,12484570
Hampton15 Inc,2,2580315
Rodriguez608 Inc,1,3513380
Floyd832 Inc,1,1093390
Herrera637 Inc,3,4813060
Buchanan609 Inc,1,3168250
Reid29 Inc,1,376955
Collins522 Inc,1,1994920
Shelton873 Inc,1,104940
Holmes7 Inc,2,2267050
Pena964 Inc,1,1639550
Hansen264 Inc,1,78400
Robinson912 Inc,2,499603
Crawford184 Inc,3,8125885
Gutierrez305 Inc,2,3421000
Tyler418 Inc,1,401291
Arnold813 Inc,2,2083337
Gardner499 Inc,1,1241900
Bryant456 Inc,1,1269390
Fleming710 Inc,2,3426900
Phelps304 Inc,1,193500
Beck266 Inc,1,1132600
Moore470 Inc,1,392207
McCarthy602 Inc,4,2684974
Barnett543 Inc,3,2832970
Norton790 Inc,1,365072
Medina510 Inc,1,1598060
Romero457 Inc,1,58840
Fleming816 Inc,1,3709600
Martin56 Inc,1,2210350
Peters785 Inc,1,3503360
Brewer941 Inc,1,1049880
Black598 Inc,1,1683760
Taylor238 Inc,1,48440
Parker16 Inc,1,439380
Weber794 Inc,1,360800
Vargas578 Inc,1,558860
Goodman21 Inc,1,51920
Flores159 Inc,1,65070
Evans281 Inc,2,4169710
Lawson921 Inc,1,2632925
McKinney995 Inc,2,596340
Floyd100 Inc,1,446461
Ross388 Inc,1,680
Oliver444 Inc,1,18960
Schmidt289 Inc,2,3716070
Ortiz520 Inc,1,1518400
Gomez871 Inc,2,1366300
Lindsey633 Inc,1,3847700
Strickland686 Inc,1,1471800
Stephens391 Inc,2,4776610
Lopez275 Inc,1,792270
Rivera752 Inc,1,138690
Roy360 Inc,1,377690
Perez590 Inc,2,572811
Sharp764 Inc,3,3510985
Becker488 Inc,1,761000
Snyder527 Inc,1,623750
Kim800 Inc,1,208375
Newman145 Inc,3,4331140
Walton636 Inc,2,2518300
Rodgers956 Inc,1,122200
Chambers869 Inc,2,3247560
Nelson829 Inc,1,84329
Dean902 Inc,2,2767008
Roberts979 Inc,1,18900
Holloway471 Inc,1,1241600
Medina787 Inc,2,1505940
Gutierrez801 Inc,1,142400
Perez237 Inc,1,309686
Jefferson859 Inc,3,3259767
Wells423 Inc,1,3618750
Rodriquez412 Inc,1,1348890
Fox572 Inc,1,206640
King818 Inc,1,491550
Hunt786 Inc,1,329425
Norris77 Inc,1,1023320
Steele90 Inc,2,2574700
Sutton709 Inc,1,397710
Myers320 Inc,3,938869
Cummings974 Inc,2,1513850
Cobb132 Inc,1,1411200
Morton537 Inc,1,786875
Brewer763 Inc,3,1825496
Jensen353 Inc,1,830400
Lopez215 Inc,1,804275
Long31 Inc,3,7885840
Byrd23 Inc,1,3426450
