Account Name,Number of Opportunities,Amount
Harris13 Inc,3,12766150
Harrison279 Inc,1,466560
Hart717 Inc,1,3729975
Hart828 Inc,2,1199740
Hawkins276 Inc,1,791500
Haynes326 Inc,1,532950
Haynes623 Inc,1,57510
Henderson891 Inc,2,784105
Henry405 Inc,1,261400
Hernandez713 Inc,2,3008080
Herrera2 Inc,1,23642
Herrera637 Inc,3,4813060
Hicks332 Inc,1,459280
Higgins494 Inc,1,524400
Higgins666 Inc,1,583800
Hill331 Inc,1,457656
Hill463 Inc,1,3209120
Hines107 Inc,1,3836040
Hines651 Inc,2,2511280
Hodges632 Inc,1,965700
Hoffman697 Inc,1,802240
Hoffman761 Inc,1,499523
Hogan989 Inc,3,2763955
Holloway455 Inc,1,411185
Holloway471 Inc,1,1241600
Holmes7 Inc,2,2267050
Holmes945 Inc,1,701400
Hopkins600 Inc,1,123280
Hopkins739 Inc,1,1667600
Horton569 Inc,1,802000
Hudson506 Inc,1,1840000
Hughes308 Inc,1,2129900
Hunt786 Inc,1,329425
Hunter88 Inc,1,355680
Ingram217 Inc,1,460956
Ingram644 Inc,2,1160706
Jackson589 Inc,2,5385720
James431 Inc,1,87240
Jefferson859 Inc,3,3259767
Jensen353 Inc,1,830400
Jensen729 Inc,1,2745600
Johnson960 Inc,1,218204
Johnston241 Inc,1,2371900
Joseph361 Inc,1,1879190
Joseph419 Inc,1,327600
Joseph730 Inc,3,3062194
Joseph775 Inc,1,1313950
Joseph988 Inc,3,6573140
Keller1 Inc,2,2482120
Kim800 Inc,1,208375
King177 Inc,1,112725
King818 Inc,1,491550
Klein591 Inc,1,254500
Knight146 Inc,1,69240
Lambert452 Inc,3,2747300
Lane81 Inc,1,376862
Lawrence491 Inc,1,1420100
Lawrence50 Inc,1,3164200
Lawrence93 Inc,1,17000
Lawson921 Inc,1,2632925
Lee192 Inc,4,5184005
Leonard91 Inc,1,852720
Lindsey633 Inc,1,3847700
Lloyd845 Inc,1,2254450
Long31 Inc,3,7885840
Long659 Inc,2,1013770
Lopez140 Inc,2,2932425
Lopez215 Inc,1,804275
Lopez275 Inc,1,792270
Lopez524 Inc,1,1128970
Lopez621 Inc,1,39960
Love256 Inc,1,65920
Lowe352 Inc,1,776540
Lowe496 Inc,1,744440
Luna900 Inc,1,1750
Lynch943 Inc,1,2058100
Maldonado464 Inc,2,773740
Mann154 Inc,1,3198400
Mann440 Inc,4,4466616
Marsh614 Inc,2,219600
Marsh836 Inc,2,2585238
Marshall977 Inc,1,1918900
Martin56 Inc,1,2210350
Martin949 Inc,1,51480
Martinez181 Inc,1,205489
Martinez649 Inc,1,800000
Maxwell619 Inc,1,112000
Maxwell670 Inc,1,364760
May967 Inc,1,835870
McCarthy162 Inc,1,499733
McCarthy602 Inc,4,2684974
McDaniel467 Inc,1,710500
McGuire151 Inc,1,2623525
McGuire26 Inc,1,62400
McKenzie143 Inc,1,3960350
McKenzie531 Inc,1,73600
McKenzie887 Inc,1,1134385
McKinney542 Inc,1,1817815
McKinney995 Inc,2,596340
Medina110 Inc,1,2628850
Medina246 Inc,1,165000
Medina510 Inc,1,1598060
Medina787 Inc,2,1505940
Mendez595 Inc,2,3759040
Mendoza936 Inc,2,2280350
Mitchell570 Inc,1,1202450
Mitchell743 Inc,1,197075
Moody613 Inc,1,61500
Moore470 Inc,1,392207
Morales41 Inc,2,4155680
Morales516 Inc,1,2604140
Moran300 Inc,2,4962370
Morris541 Inc,1,193757
Morton128 Inc,1,1415700
Morton537 Inc,1,786875
Morton698 Inc,1,368530
Moss489 Inc,1,72720
Munoz282 Inc,1,466200
Munoz724 Inc,1,88200
Munoz802 Inc,1,720520
Murphy861 Inc,2,3300801
Myers320 Inc,3,938869
Myers408 Inc,1,902400
Myers448 Inc,1,339815
Myers581 Inc,4,7739533
Nash380 Inc,1,288925
Nelson829 Inc,1,84329
Newman145 Inc,3,4331140
Newman432 Inc,1,3077200
Nguyen156 Inc,1,605000
Nichols134 Inc,1,431073
Nichols662 Inc,2,5140365
Norman484 Inc,1,398311
Norris77 Inc,1,1023320
Norton790 Inc,1,365072
Norton877 Inc,2,187880
Obrien994 Inc,2,1428745
Oliver444 Inc,1,18960
Olson171 Inc,1,66246
Ortega682 Inc,2,3340040
Ortiz520 Inc,1,1518400
Owen872 Inc,1,1438500
Owens400 Inc,1,219000
Owens441 Inc,2,1719298
Owens588 Inc,1,163110
Padilla472 Inc,1,179225
Page703 Inc,1,1132470
Parker16 Inc,1,439380
Parks99 Inc,1,240747
Patrick806 Inc,2,2646340
Patton86 Inc,1,150043
Paul453 Inc,1,128265
Payne411 Inc,1,1052275
Pena964 Inc,1,1639550
Perez237 Inc,1,309686
Perez590 Inc,2,572811
Perkins198 Inc,1,657600
Peters785 Inc,1,3503360
Phelps304 Inc,1,193500
Phillips253 Inc,1,3612800
Phillips552 Inc,1,32400
Phillips722 Inc,1,822800
Pittman399 Inc,1,206000
Pittman435 Inc,1,991350
Pittman528 Inc,1,1379300
Pittman556 Inc,1,807800
Pope139 Inc,1,2049800
Porter466 Inc,1,333830
Pratt392 Inc,1,313425
Quinn144 Inc,1,3251640
Ramirez137 Inc,3,8489495
Ramsey114 Inc,2,1152730
Reed186 Inc,2,619000
Reese490 Inc,1,458680
Reeves202 Inc,3,2661145
Reeves844 Inc,1,76800
Reid29 Inc,1,376955
Reynolds298 Inc,1,141300
Riley999 Inc,4,5941315
Rios384 Inc,1,857500
Rios830 Inc,3,7325111
Rivera395 Inc,1,448068
Rivera752 Inc,1,138690
Rivera969 Inc,3,3664330
Robbins449 Inc,2,3370695
Roberson601 Inc,1,1518190
Roberson8 Inc,1,3626550
Roberts804 Inc,2,1318873
Roberts979 Inc,1,18900
Robertson5 Inc,2,4332610
Robertson721 Inc,1,2217555
Robinson912 Inc,2,499603
Rodgers461 Inc,2,3573300
Rodgers79 Inc,2,5406870
Rodgers956 Inc,1,122200
Rodriguez422 Inc,1,2102240
Rodriguez608 Inc,1,3513380
Rodriguez768 Inc,3,1241930
Rodriquez412 Inc,1,1348890
Rodriquez626 Inc,1,475597
Rogers668 Inc,1,11883
Romero210 Inc,1,1390500
Romero457 Inc,1,58840
Rose673 Inc,1,384840
Ross364 Inc,2,765047
Ross388 Inc,1,680
Ross559 Inc,1,165920
Rowe333 Inc,2,2129345
Roy360 Inc,1,377690
Russell560 Inc,1,3145700
Salazar150 Inc,2,2106574
Salazar257 Inc,1,40900
Santos84 Inc,1,2477275
Schmidt289 Inc,2,3716070
Schneider736 Inc,1,2221650
Schneider841 Inc,2,1885780
Schneider843 Inc,1,156655
Schwartz492 Inc,1,2601440
Scott708 Inc,1,1595250
Sharp69 Inc,1,5188750
Sharp764 Inc,3,3510985
Shaw160 Inc,1,466000
Shelton873 Inc,1,104940
Silva224 Inc,3,1005131
Simmons211 Inc,1,1314400
Simmons663 Inc,3,879911
Simpson342 Inc,1,1489210
Sims815 Inc,1,650350
Sims952 Inc,1,2719000
Smith558 Inc,1,809810
Snyder527 Inc,1,623750
Soto36 Inc,2,1695215
Steele90 Inc,2,2574700
Stephens391 Inc,2,4776610
Stevenson884 Inc,1,94283
Stevenson954 Inc,2,5100920
Stokes200 Inc,1,27800
Stokes80 Inc,1,230520
Stokes935 Inc,1,538820
Stone167 Inc,1,2169600
Stone207 Inc,1,435960
Stone414 Inc,1,116360
Stone504 Inc,1,480891
Stone533 Inc,1,2303500
Stone555 Inc,1,3306425
Strickland686 Inc,1,1471800
Summers458 Inc,1,171660
Summers987 Inc,1,155600
Sutton709 Inc,1,397710
Tate321 Inc,1,130230
Taylor238 Inc,1,48440
Thomas208 Inc,1,1648300
Thomas631 Inc,1,2340210
Thompson136 Inc,1,847450
Thompson622 Inc,2,2108570
Thornton799 Inc,1,844100
Todd566 Inc,2,1009350
Todd690 Inc,2,2839875
Torres548 Inc,1,4090880
Tran514 Inc,2,742049
Tran645 Inc,1,1163610
Tran798 Inc,1,43355
Tran866 Inc,3,1882242
Tucker284 Inc,2,4131840
Tucker401 Inc,2,1595650
Turner924 Inc,1,1314185
Tyler418 Inc,1,401291
Underwood142 Inc,3,7905100
Valdez792 Inc,1,39600
Vargas578 Inc,1,558860
Vasquez483 Inc,1,1010900
Vaughn229 Inc,1,1885475
Vega20 Inc,1,93733
Vega214 Inc,1,352350
Vega718 Inc,2,2672000
Wade312 Inc,1,1454500
Wade723 Inc,4,4406560
Wagner421 Inc,1,110986
Walsh54 Inc,2,138297
Walters918 Inc,1,3498250
Walton636 Inc,2,2518300
Warner699 Inc,1,327145
Warren397 Inc,1,620200
Warren653 Inc,3,3210075
Watkins561 Inc,2,1693467
Watts685 Inc,2,12484570
Watts76 Inc,1,1535500
Weaver350 Inc,1,2669875
Webb165 Inc,3,828785
Webb232 Inc,1,436500
Webb96 Inc,1,179700
Weber794 Inc,1,360800
Webster118 Inc,2,2859405
Webster349 Inc,3,2164400
Webster87 Inc,1,105210
Wells259 Inc,1,646400
Wells423 Inc,1,3618750
West416 Inc,2,2166778
West49 Inc,2,2220500
West706 Inc,1,22240
West990 Inc,1,728525
Wilkerson769 Inc,1,274656
Williamson530 Inc,1,3351780
Wise175 Inc,1,2243150
Wise244 Inc,1,846000
Wood74 Inc,1,430330
Woods306 Inc,2,96419
Wright507 Inc,2,1598800
Yates593 Inc,1,196890
Young486 Inc,2,1047240
