Calendar Date,Reporting Day,Reporting Week,Reporting Month,Reporting Year
17/05/2023,108,16,4,2023
18/05/2023,109,16,4,2023
19/05/2023,110,16,4,2023
20/05/2023,111,16,4,2023
21/05/2023,112,16,4,2023
22/05/2023,113,17,5,2023
23/05/2023,114,17,5,2023
24/05/2023,115,17,5,2023
25/05/2023,116,17,5,2023
26/05/2023,117,17,5,2023
27/05/2023,118,17,5,2023
28/05/2023,119,17,5,2023
29/05/2023,120,18,5,2023
30/05/2023,121,18,5,2023
31/05/2023,122,18,5,2023
01/06/2023,123,18,5,2023
02/06/2023,124,18,5,2023
03/06/2023,125,18,5,2023
04/06/2023,126,18,5,2023
05/06/2023,127,19,5,2023
06/06/2023,128,19,5,2023
07/06/2023,129,19,5,2023
08/06/2023,130,19,5,2023
09/06/2023,131,19,5,2023
10/06/2023,132,19,5,2023
11/06/2023,133,19,5,2023
12/06/2023,134,20,5,2023
13/06/2023,135,20,5,2023
14/06/2023,136,20,5,2023
15/06/2023,137,20,5,2023
16/06/2023,138,20,5,2023
17/06/2023,139,20,5,2023
18/06/2023,140,20,5,2023
19/06/2023,141,21,6,2023
20/06/2023,142,21,6,2023
21/06/2023,143,21,6,2023
22/06/2023,144,21,6,2023
23/06/2023,145,21,6,2023
24/06/2023,146,21,6,2023
25/06/2023,147,21,6,2023
26/06/2023,148,22,6,2023
27/06/2023,149,22,6,2023
28/06/2023,150,22,6,2023
29/06/2023,151,22,6,2023
30/06/2023,152,22,6,2023
01/07/2023,153,22,6,2023
02/07/2023,154,22,6,2023
03/07/2023,155,23,6,2023
04/07/2023,156,23,6,2023
05/07/2023,157,23,6,2023
06/07/2023,158,23,6,2023
07/07/2023,159,23,6,2023
08/07/2023,160,23,6,2023
09/07/2023,161,23,6,2023
10/07/2023,162,24,6,2023
11/07/2023,163,24,6,2023
12/07/2023,164,24,6,2023
13/07/2023,165,24,6,2023
14/07/2023,166,24,6,2023
15/07/2023,167,24,6,2023
16/07/2023,168,24,6,2023
17/07/2023,169,25,7,2023
18/07/2023,170,25,7,2023
19/07/2023,171,25,7,2023
20/07/2023,172,25,7,2023
21/07/2023,173,25,7,2023
22/07/2023,174,25,7,2023
23/07/2023,175,25,7,2023
24/07/2023,176,26,7,2023
25/07/2023,177,26,7,2023
26/07/2023,178,26,7,2023
27/07/2023,179,26,7,2023
28/07/2023,180,26,7,2023
29/07/2023,181,26,7,2023
30/07/2023,182,26,7,2023
31/07/2023,183,27,7,2023
01/08/2023,184,27,7,2023
02/08/2023,185,27,7,2023
03/08/2023,186,27,7,2023
04/08/2023,187,27,7,2023
05/08/2023,188,27,7,2023
06/08/2023,189,27,7,2023
07/08/2023,190,28,7,2023
08/08/2023,191,28,7,2023
09/08/2023,192,28,7,2023
10/08/2023,193,28,7,2023
11/08/2023,194,28,7,2023
12/08/2023,195,28,7,2023
13/08/2023,196,28,7,2023
14/08/2023,197,29,8,2023
15/08/2023,198,29,8,2023
16/08/2023,199,29,8,2023
17/08/2023,200,29,8,2023
18/08/2023,201,29,8,2023
19/08/2023,202,29,8,2023
20/08/2023,203,29,8,2023
21/08/2023,204,30,8,2023
22/08/2023,205,30,8,2023
23/08/2023,206,30,8,2023
24/08/2023,207,30,8,2023
25/08/2023,208,30,8,2023
26/08/2023,209,30,8,2023
27/08/2023,210,30,8,2023
28/08/2023,211,31,8,2023
29/08/2023,212,31,8,2023
30/08/2023,213,31,8,2023
31/08/2023,214,31,8,2023
01/09/2023,215,31,8,2023
02/09/2023,216,31,8,2023
03/09/2023,217,31,8,2023
04/09/2023,218,32,8,2023
05/09/2023,219,32,8,2023
06/09/2023,220,32,8,2023
07/09/2023,221,32,8,2023
08/09/2023,222,32,8,2023
09/09/2023,223,32,8,2023
10/09/2023,224,32,8,2023
11/09/2023,225,33,9,2023
12/09/2023,226,33,9,2023
13/09/2023,227,33,9,2023
14/09/2023,228,33,9,2023
15/09/2023,229,33,9,2023
16/09/2023,230,33,9,2023
17/09/2023,231,33,9,2023
18/09/2023,232,34,9,2023
19/09/2023,233,34,9,2023
20/09/2023,234,34,9,2023
21/09/2023,235,34,9,2023
22/09/2023,236,34,9,2023
23/09/2023,237,34,9,2023
24/09/2023,238,34,9,2023
25/09/2023,239,35,9,2023
26/09/2023,240,35,9,2023
27/09/2023,241,35,9,2023
28/09/2023,242,35,9,2023
29/09/2023,243,35,9,2023
30/09/2023,244,35,9,2023
01/10/2023,245,35,9,2023
02/10/2023,246,36,9,2023
03/10/2023,247,36,9,2023
04/10/2023,248,36,9,2023
05/10/2023,249,36,9,2023
06/10/2023,250,36,9,2023
07/10/2023,251,36,9,2023
08/10/2023,252,36,9,2023
09/10/2023,253,37,10,2023
10/10/2023,254,37,10,2023
11/10/2023,255,37,10,2023
12/10/2023,256,37,10,2023
13/10/2023,257,37,10,2023
14/10/2023,258,37,10,2023
15/10/2023,259,37,10,2023
16/10/2023,260,38,10,2023
17/10/2023,261,38,10,2023
18/10/2023,262,38,10,2023
19/10/2023,263,38,10,2023
20/10/2023,264,38,10,2023
21/10/2023,265,38,10,2023
22/10/2023,266,38,10,2023
23/10/2023,267,39,10,2023
24/10/2023,268,39,10,2023
25/10/2023,269,39,10,2023
26/10/2023,270,39,10,2023
27/10/2023,271,39,10,2023
28/10/2023,272,39,10,2023
29/10/2023,273,39,10,2023
30/10/2023,274,40,10,2023
31/10/2023,275,40,10,2023
01/11/2023,276,40,10,2023
02/11/2023,277,40,10,2023
03/11/2023,278,40,10,2023
04/11/2023,279,40,10,2023
05/11/2023,280,40,10,2023
06/11/2023,281,41,11,2023
07/11/2023,282,41,11,2023
08/11/2023,283,41,11,2023
09/11/2023,284,41,11,2023
10/11/2023,285,41,11,2023
11/11/2023,286,41,11,2023
12/11/2023,287,41,11,2023
13/11/2023,288,42,11,2023
14/11/2023,289,42,11,2023
15/11/2023,290,42,11,2023
16/11/2023,291,42,11,2023
17/11/2023,292,42,11,2023
18/11/2023,293,42,11,2023
19/11/2023,294,42,11,2023
20/11/2023,295,43,11,2023
21/11/2023,296,43,11,2023
22/11/2023,297,43,11,2023
23/11/2023,298,43,11,2023
24/11/2023,299,43,11,2023
25/11/2023,300,43,11,2023
26/11/2023,301,43,11,2023
27/11/2023,302,44,11,2023
28/11/2023,303,44,11,2023
29/11/2023,304,44,11,2023
30/11/2023,305,44,11,2023
01/12/2023,306,44,11,2023
02/12/2023,307,44,11,2023
03/12/2023,308,44,11,2023
04/12/2023,309,45,12,2023
05/12/2023,310,45,12,2023
06/12/2023,311,45,12,2023
07/12/2023,312,45,12,2023
08/12/2023,313,45,12,2023
09/12/2023,314,45,12,2023
10/12/2023,315,45,12,2023
11/12/2023,316,46,12,2023
12/12/2023,317,46,12,2023
13/12/2023,318,46,12,2023
14/12/2023,319,46,12,2023
15/12/2023,320,46,12,2023
16/12/2023,321,46,12,2023
17/12/2023,322,46,12,2023
18/12/2023,323,47,12,2023
19/12/2023,324,47,12,2023
20/12/2023,325,47,12,2023
21/12/2023,326,47,12,2023
22/12/2023,327,47,12,2023
23/12/2023,328,47,12,2023
24/12/2023,329,47,12,2023
25/12/2023,330,48,12,2023
26/12/2023,331,48,12,2023
27/12/2023,332,48,12,2023
28/12/2023,333,48,12,2023
29/12/2023,334,48,12,2023
30/12/2023,335,48,12,2023
31/12/2023,336,48,12,2023
