Series,Week,Couple,Scores,Dance,Music,Result,Film,Broadway musical,Musical,Country,CelebratingBBC
2,Week 1,Sarah & Brendan,"28 (6, 7, 7, 8)",Waltz,"""I Wonder Why"" —Curtis Stigers",Safe,,,,,
2,Week 1,Roger & Camilla,"25 (6, 6, 7, 6)",Cha-cha-cha,"""Get The Party Started"" —P!nk",Safe,,,,,
2,Week 1,Denise & Ian,"31 (7, 8, 8, 8)",Waltz,"""True Love"" —Pat Boone",Safe,,,,,
2,Week 1,Aled & Lilia,"29 (7, 7, 8, 7)",Cha-cha-cha,"""She Bangs"" —Ricky Martin",Safe,,,,,
2,Week 1,Jill & Darren,"27 (6, 7, 7, 7)",Waltz,"""Weekend in New England"" —Barry Manilow",Safe,,,,,
2,Week 2,Couple,Scores,Dance,Music,Result,,,,,
2,Week 2,Jill & Darren,"32 (8, 8, 8, 8)",Rumba,"""Lady in Red"" —Chris de Burgh",Safe,,,,,
2,Week 2,Aled & Lilia,"27 (7, 6, 7, 7)",Quickstep,"""Cabaret"" —Liza Minnelli",Safe,,,,,
2,Week 2,Sarah & Brendan,"23 (5, 6, 6, 6)",Rumba,"""I Don't Want To Miss A Thing"" —Aerosmith",Safe,,,,,
2,Week 2,Roger & Camilla,"22 (5, 5, 6, 6)",Quickstep,"""Mack The Knife"" —Bobby Darin",Safe,,,,,
2,Week 2,Esther & Anton,"16 (2, 4, 5, 5)",Rumba,"""The Look of Love"" —Dusty Springfield",Bottom two,,,,,
2,Week 2,Diarmuid & Nicole,"12 (2, 3, 4, 3)",Quickstep,"""I'll Be There For You"" —The Rembrandts",Safe,,,,,
2,Week 2,Carol & Paul,"20 (5, 4, 5, 6)",Rumba,"""Truly"" —Lionel Richie",Eliminated,,,,,
2,Week 2,Julian & Erin,"27 (6, 7, 7, 7)",Quickstep,"""Diamonds Are A Girl's Best Friend"" —Marilyn Monroe",Safe,,,,,
2,Week 2,Denise & Ian,"32 (8, 8, 8, 8)",Rumba,"""My Heart Will Go On"" —Celine Dion",Safe,,,,,
2,Week 3,Couple,Scores,Dance,Music,Result,,,,,
2,Week 3,Roger & Camilla,"25 (6, 6, 7, 6)",Jive,"""Teenage Wedding"" —fromJohnny Angel",Safe,,,,,
2,Week 3,Julian & Erin,"27 (6, 7, 7, 7)",Tango,"""Roxanne"" —The Police",Safe,,,,,
2,Week 3,Jill & Darren,"35 (8, 9, 9, 9)",Jive,"""I'm Still Standing"" —Elton John",Safe,,,,,
2,Week 3,Esther & Anton,"16 (2, 4, 5, 5)",Tango,"""Tanguera"" —Mariano Mores",Eliminated,,,,,
2,Week 3,Denise & Ian,"25 (6, 6, 6, 7)",Jive,"""Some Girls"" —Rachel Stevens",Bottom two,,,,,
2,Week 3,Diarmuid & Nicole,"14 (2, 3, 5, 4)",Tango,"""Por Una Cabeza"" — Quintango",Safe,,,,,
2,Week 3,Aled & Lilia,"32 (8, 8, 8, 8)",Jive,"""Crazy Little Thing Called Love"" —Queen",Safe,,,,,
2,Week 3,Sarah & Brendan,"31 (7, 8, 8, 8)",Tango,"""Hernando's Hideaway"" —Alma Cogan",Safe,,,,,
2,Week 4,Couple,Scores,Dance,Music,Result,,,,,
2,Week 4,Denise & Ian,"30 (7, 7, 8, 8)",Foxtrot,"""Let There Be Love"" —Nat King Cole",Safe,,,,,
2,Week 4,Sarah & Brendan,"29 (8, 7, 6, 8)",Paso doble,"""Bring Me To Life"" —Evanescence",Bottom two,,,,,
2,Week 4,Aled & Lilia,"25 (7, 6, 6, 6)",Foxtrot,"""T'ain't What You Do"" —Cleo Laine",Safe,,,,,
2,Week 4,Julian & Erin,"20 (4, 5, 6, 5)",Paso doble,"""Les toreadors"" —Georges Bizet",Safe,,,,,
2,Week 4,Roger & Camilla,"29 (6, 8, 8, 7)",Foxtrot,"""Why Don't You Do Right"" —Peggy Lee",Safe,,,,,
2,Week 4,Diarmuid & Nicole,"17 (3, 4, 5, 5)",Paso doble,"""L'amour est un oiseau rebelle"" —Georges Bizet",Eliminated,,,,,
2,Week 4,Jill & Darren,"34 (8, 9, 9, 8)",Foxtrot,"""All That Jazz"" —Catherine Zeta-Jones",Safe,,,,,
2,Week 5: Blackpool Week,Couple,Scores,Dance,Music,Result,,,,,
2,Week 5: Blackpool Week,Sarah & Brendan,"23 (5, 6, 6, 6)",Samba,"""Kiss Kiss"" —Holly Valance",Eliminated,,,,,
2,Week 5: Blackpool Week,Julian & Erin,"24 (5, 5, 7, 7)",Samba,"""Conga"" —Gloria Estefan",Bottom two,,,,,
2,Week 5: Blackpool Week,Denise & Ian,"32 (7, 8, 8, 9)",Samba,"""Tequila"" —The Champs",Safe,,,,,
2,Week 5: Blackpool Week,Roger & Camilla,"23 (4, 5, 7, 7)",Samba,"""Whenever, Wherever"" —Shakira",Safe,,,,,
2,Week 5: Blackpool Week,Jill & Darren,"35 (8, 9, 9, 9)",Samba,"""Copacabana"" —Barry Manilow",Safe,,,,,
2,Week 5: Blackpool Week,Aled & Lilia,"30 (6, 8, 8, 8)",Samba,"""It's Not Unusual"" —Tom Jones",Safe,,,,,
2,Week 6: Quarterfinal,Couple,Scores,Dance,Music,Result,,,,,
2,Week 6: Quarterfinal,Roger & Camilla,"22 (6, 4, 6, 6)",Waltz,"""She's The One"" —Robbie Williams",Eliminated,,,,,
2,Week 6: Quarterfinal,Roger & Camilla,"19 (3, 4, 6, 6)",Rumba,"""We've Got Tonight"" —Kenny Rogers",Eliminated,,,,,
2,Week 6: Quarterfinal,Jill & Darren,"32 (8, 8, 8, 8)",Quickstep,"""Get Happy"" —Judy Garland",Safe,,,,,
2,Week 6: Quarterfinal,Jill & Darren,"36 (9, 9, 9, 9)",Cha-cha-cha,"""She's A Lady"" —Tom Jones",Safe,,,,,
2,Week 6: Quarterfinal,Julian & Erin,"28 (7, 7, 7, 7)",Waltz,"""You Light Up My Life"" —Debby Boone",Bottom two,,,,,
2,Week 6: Quarterfinal,Julian & Erin,"27 (6, 7, 7, 7)",Rumba,"""You're Still The One"" —Shania Twain",Bottom two,,,,,
2,Week 6: Quarterfinal,Denise & Ian,"34 (7, 9, 9, 9)",Quickstep,"""Sing, Sing, Sing"" —Benny Goodman",Safe,,,,,
2,Week 6: Quarterfinal,Denise & Ian,"33 (8, 8, 8, 9)",Cha-cha-cha,"""Uptown Girl"" —Billy Joel",Safe,,,,,
2,Week 6: Quarterfinal,Aled & Lilia,"29 (7, 7, 7, 8)",Waltz,"""Love Ain't Here Anymore"" —Take That",Safe,,,,,
2,Week 6: Quarterfinal,Aled & Lilia,"27 (5, 6, 8, 8)",Rumba,"""When You Say Nothing at All"" —Ronan Keating",Safe,,,,,
2,Week 7: Semifinal,Couple,Scores,Dance,Music,Result,,,,,
2,Week 7: Semifinal,Aled & Lilia,"27 (6, 7, 7, 7)",Tango,"""Cell Block Tango"" —Catherine Zeta-Jones",Eliminated,,,,,
2,Week 7: Semifinal,Aled & Lilia,"30 (7, 7, 8, 8)",Paso doble,"""Malaguena"" —Connie Francis",Eliminated,,,,,
2,Week 7: Semifinal,Jill & Darren,"29 (7, 8, 7, 7)",Tango,"""Objection Tango"" — Vio Friedmann",Safe,,,,,
2,Week 7: Semifinal,Jill & Darren,"37 (9, 10, 9, 9)",Paso doble,"""Espana Cani"" —André Rieu",Safe,,,,,
2,Week 7: Semifinal,Julian & Erin,"24 (5, 5, 8, 6)",Foxtrot,"""Fever"" —Peggy Lee",Safe,,,,,
2,Week 7: Semifinal,Julian & Erin,"21 (4, 3, 7, 7)",Jive,"""Wake Me Up Before You Go-Go"" —Wham!",Safe,,,,,
2,Week 7: Semifinal,Denise & Ian,"35 (8, 9, 9, 9)",Tango,"""Goldfinger"" —Shirley Bassey",Bottom two,,,,,
2,Week 7: Semifinal,Denise & Ian,"36 (9, 9, 9, 9)",Paso doble,"""Don't Cry For Me Argentina"" —Madonna",Bottom two,,,,,
2,Week 8: Final,Couple,Scores,Dance,Music,Result,,,,,
2,Week 8: Final,Denise & Ian,"38 (9, 10, 9, 10)",Quickstep,"""Sing, Sing, Sing"" —Benny Goodman",Runners-up,,,,,
2,Week 8: Final,Denise & Ian,"33 (8, 8, 8, 9)",Samba,"""Tequila"" —The Champs",Runners-up,,,,,
2,Week 8: Final,Denise & Ian,No scores received,Showdance,"""I Wanna Dance with Somebody"" —Whitney Houston",Runners-up,,,,,
2,Week 8: Final,Jill & Darren,"34 (9, 8, 9, 8)",Foxtrot,"""All That Jazz"" —Catherine Zeta-Jones",Winners,,,,,
2,Week 8: Final,Jill & Darren,"40 (10, 10, 10, 10)",Jive,"""I'm Still Standing"" —Elton John",Winners,,,,,
2,Week 8: Final,Jill & Darren,No scores received,Showdance,"""Can't Take My Eyes Off You"" —Frankie Valli",Winners,,,,,
2,Week 8: Final,Julian & Erin,"29 (7, 7, 8, 7)",Quickstep,"""Diamonds Are A Girl's Best Friend"" —Marilyn Monroe",Third place,,,,,
2,Week 8: Final,Julian & Erin,"23 (5, 5, 7, 6)",Samba,"""Conga"" —Gloria Estefan",Third place,,,,,
2,Week 8: Final,Julian & Erin,No scores received,Showdance,"""Take My Breath Away"" —Berlin",Third place,,,,,
3,Week 1,Couple,Scores,Dance,Music,Result,,,,,
3,Week 1,Darren & Lilia,"19 (3, 4, 6, 6)",Cha-cha-cha,"""Hot Stuff"" —Donna Summer",Safe,,,,,
3,Week 1,Patsy & Anton,"19 (3, 4, 6, 6)",Waltz,"""Fly Me to the Moon"" —Frank Sinatra",Safe,,,,,
3,Week 1,Colin & Erin,"32 (8, 8, 8, 8)",Cha-cha-cha,"""Save the Last Dance for Me"" —Michael Bublé",Safe,,,,,
3,Week 1,Siobhan & Matthew,"15 (2, 4, 5, 4)",Waltz,"""When the Girl in Your Arms Is the Girl in Your Heart"" —Cliff Richard",Eliminated,,,,,
3,Week 1,James & Camilla,"22 (4, 5, 6, 7)",Cha-cha-cha,"""Something Got Me Started"" —Simply Red",Safe,,,,,
3,Week 1,Gloria & Darren,"22 (4, 5, 7, 6)",Waltz,"""Lady"" —Kenny Rogers",Safe,,,,,
3,Week 1,Will & Hanna,"18 (3, 3, 7, 5)",Cha-cha-cha,"""Crazy Chick"" —Charlotte Church",Bottom two,,,,,
3,Week 1,Jaye & Andrew,"25 (6, 5, 7, 7)",Waltz,"""When I Need You"" —Leo Sayer",Safe,,,,,
3,Week 1,Bill & Karen,"29 (7, 7, 8, 7)",Cha-cha-cha,"""Love Potion No. 9"" —The Coasters",Safe,,,,,
3,Week 1,Fiona & Brendan,"11 (2, 2, 4, 3)",Waltz,"""Sam"" —Olivia Newton-John",Safe,,,,,
3,Week 1,Dennis & Izabela,"20 (5, 5, 5, 5)",Cha-cha-cha,"""Music"" —Madonna",Safe,,,,,
3,Week 1,Zoe & Ian,"35 (8, 9, 9, 9)",Waltz,"""Take It to the Limit"" —Eagles",Safe,,,,,
3,Week 2,Couple,Scores,Dance,Music,Result,,,,,
3,Week 2,James & Camilla,"29 (6, 7, 8, 8)",Quickstep,"""Luck Be A Lady"" —Frank Sinatra",Safe,,,,,
3,Week 2,Jaye & Andrew,"21 (4, 4, 7, 6)",Rumba,"""How Could an Angel Break My Heart"" —Kenny G, feat.Toni Braxton",Eliminated,,,,,
3,Week 2,Dennis & Izabela,"18 (4, 5, 5, 4)",Quickstep,"""I'm So Excited"" —The Pointer Sisters",Safe,,,,,
3,Week 2,Patsy & Anton,"26 (6, 6, 7, 7)",Rumba,"""She"" —Elvis Costello",Safe,,,,,
3,Week 2,Darren & Lilia,"30 (7, 7, 8, 8)",Quickstep,"""Let Me Entertain You"" —Robbie Williams",Safe,,,,,
3,Week 2,Zoe & Ian,"32 (7, 8, 8, 9)",Rumba,"""One Moment in Time"" —Whitney Houston",Safe,,,,,
3,Week 2,Will & Hanna,"29 (7, 7, 8, 7)",Quickstep,"""You Can't Hurry Love"" —Phil Collins",Safe,,,,,
3,Week 2,Gloria & Darren,"17 (2, 4, 5, 6)",Rumba,"""Holding Back the Years"" —Simply Red",Bottom two,,,,,
3,Week 2,Bill & Karen,"23 (5, 6, 6, 6)",Quickstep,"""Do Your Thing"" —Basement Jaxx",Safe,,,,,
3,Week 2,Fiona & Brendan,"13 (1, 2, 6, 4)",Rumba,"""Almost Here"" —Brian McFadden, feat.Delta Goodrem",Safe,,,,,
3,Week 2,Colin & Erin,"36 (9, 9, 9, 9)",Quickstep,"""Nice Work If You Can Get It"" —Bing Crosby",Safe,,,,,
3,Week 3,Couple,Scores,Dance,Music,Result,,,,,
3,Week 3,Zoe & Ian,"29 (7, 6, 8, 8)",Jive,"""Part Time Lover"" —Stevie Wonder",Safe,,,,,
3,Week 3,Bill & Karen,"20 (4, 5, 6, 5)",Tango,"""Perhaps, Perhaps, Perhaps"" —Doris Day",Safe,,,,,
3,Week 3,Dennis & Izabela,"22 (4, 6, 6, 6)",Jive,"""Jailhouse Rock"" —Elvis Presley",Safe,,,,,
3,Week 3,Patsy & Anton,"34 (8, 8, 9, 9)",Tango,"""Una Musica Brutal"" —Gotan Project",Safe,,,,,
3,Week 3,Will & Hanna,"25 (6, 5, 7, 7)",Jive,"""Man! I Feel Like a Woman!"" —Shania Twain",Bottom two,,,,,
3,Week 3,Colin & Erin,"26 (7, 5, 7, 7)",Tango,"""Ride It"" —Geri Halliwell",Safe,,,,,
3,Week 3,Gloria & Darren,"19 (3, 4, 6, 6)",Jive,"""Build Me Up Buttercup"" —The Foundations",Eliminated,,,,,
3,Week 3,James & Camilla,"28 (6, 7, 8, 7)",Tango,"""Mein Herr"" —Liza Minnelli",Safe,,,,,
3,Week 3,Fiona & Brendan,"16 (2, 4, 5, 5)",Jive,"""Hit the Road Jack"" —Ray Charles",Safe,,,,,
3,Week 3,Darren & Lilia,"33 (8, 9, 8, 8)",Tango,"""From Russia with Love"" —Matt Monro",Safe,,,,,
3,Week 4,Couple,Scores,Dance,Music,Result,,,,,
3,Week 4,Colin & Erin,"31 (8, 7, 8, 8)",Paso doble,"""Thriller"" —Michael Jackson",Safe,,,,,
3,Week 4,Zoe & Ian,"36 (9, 9, 9, 9)",Foxtrot,"""Isn't She Lovely"" —Stevie Wonder",Safe,,,,,
3,Week 4,Dennis & Izabela,"15 (2, 3, 5, 5)",Paso doble,"""Eye of the Tiger"" —Survivor",Bottom two,,,,,
3,Week 4,Will & Hanna,"34 (8, 8, 9, 9)",Foxtrot,"""Dream a Little Dream of Me"" —The Beautiful South",Safe,,,,,
3,Week 4,James & Camilla,"29 (7, 8, 7, 7)",Paso doble,"""Romeo and Juliet"" —Royal Philharmonic Orchestra",Safe,,,,,
3,Week 4,Fiona & Brendan,"20 (3, 5, 6, 6)",Foxtrot,"""Ain't That a Kick in the Head?"" —Robbie Williams",Eliminated,,,,,
3,Week 4,Bill & Karen,"25 (5, 6, 7, 7)",Paso doble,"""Carnaval de Paris"" —Dario G",Safe,,,,,
3,Week 4,Patsy & Anton,"31 (7, 8, 8, 8)",Foxtrot,"""You're Nobody till Somebody Loves You"" —Dean Martin",Safe,,,,,
3,Week 4,Darren & Lilia,"34 (8, 9, 9, 8)",Paso doble,"""Don't Let Me Be Misunderstood"" —The Animals",Safe,,,,,
3,Week 5,Couple,Scores,Dance,Music,Result,,,,,
3,Week 5,Darren & Lilia,"28 (6, 7, 8, 7)",Viennese waltz,"""End of the Road"" —Boyz II Men",Safe,,,,,
3,Week 5,Dennis & Izabela,"23 (5, 5, 6, 7)",Samba,"""La Bamba"" —Los Lobos",Eliminated,,,,,
3,Week 5,Will & Hanna,"23 (4, 6, 6, 7)",Viennese waltz,"""Somebody to Love"" —Queen",Bottom two,,,,,
3,Week 5,Colin & Erin,"32 (8, 8, 8, 8)",Samba,"""Naughty Girl"" —Beyoncé",Safe,,,,,
3,Week 5,Bill & Karen,"27 (6, 7, 7, 7)",Viennese waltz,"""Golden Brown"" —The Stranglers",Safe,,,,,
3,Week 5,Patsy & Anton,"26 (6, 6, 7, 7)",Samba,"""Going Back to My Roots"" —Odyssey",Safe,,,,,
3,Week 5,James & Camilla,"29 (5, 8, 8, 8)",Viennese waltz,"""Mr. Bojangles"" —Neil Diamond",Safe,,,,,
3,Week 5,Zoe & Ian,"35 (8, 9, 9, 9)",Samba,"""Aquarius"" —The Fifth Dimension",Safe,,,,,
3,Week 6,Couple,Scores,Dance,Music,Result,,,,,
3,Week 6,James & Camilla,"20 (5, 4, 6, 5)",Jive,"""Why Do Fools Fall in Love"" —Diana Ross",Safe,,,,,
3,Week 6,Zoe & Ian,"36 (8, 9, 9, 10)",Quickstep,"""Almost Like Being in Love"" —Nat King Cole",Safe,,,,,
3,Week 6,Bill & Karen,"17 (2, 5, 6, 4)",Rumba,"""Ain't No Sunshine"" —Bill Withers",Safe,,,,,
3,Week 6,Will & Hanna,"28 (6, 6, 9, 7)",Tango,"""Pretty Woman"" —Roy Orbison",Eliminated,,,,,
3,Week 6,Patsy & Anton,"31 (7, 8, 8, 8)",Quickstep,"""Lover Come Back to Me"" —Barbra Streisand",Bottom two,,,,,
3,Week 6,Darren & Lilia,"30 (7, 7, 8, 8)",Jive,"""Everybody Needs Somebody to Love"" —The Blues Brothers",Safe,,,,,
3,Week 6,Colin & Erin,"32 (8, 8, 8, 8)",Foxtrot,"""New York, New York"" —Frank Sinatra",Safe,,,,,
3,Week 7,Couple,Scores,Dance,Music,Result,,,,,
3,Week 7,Bill & Karen,"25 (6, 6, 7, 6)",Waltz,"""What the World Needs Now Is Love"" —Dionne Warwick",Eliminated,,,,,
3,Week 7,Patsy & Anton,"24 (6, 4, 7, 7)",Cha-cha-cha,"""A Little Less Conversation"" —JXL",Bottom two,,,,,
3,Week 7,Colin & Erin,"34 (9, 9, 8, 8)",Viennese waltz,"""Stop!"" —Sam Brown",Safe,,,,,
3,Week 7,Zoe & Ian,"38 (9, 10, 9, 10)",Tango,"""Tango Argentino"" — Mario Battaini",Safe,,,,,
3,Week 7,Darren & Lilia,"34 (8, 8, 9, 9)",Foxtrot,"""Big Spender"" —Shirley Bassey",Safe,,,,,
3,Week 7,James & Camilla,"32 (7, 8, 9, 8)",Waltz,"""Together Again"" —Buck Owens",Safe,,,,,
3,Week 8: Quarterfinal,Couple,Scores,Dance,Music,Result,,,,,
3,Week 8: Quarterfinal,Colin & Erin,"36 (9, 9, 9, 9)",Rumba,"""You're Beautiful"" —James Blunt",Safe,,,,,
3,Week 8: Quarterfinal,Colin & Erin,"37 (9, 10, 9, 9)",American Smooth,"""Me and My Shadow"" —Frank Sinatra&Sammy Davis, Jr.",Safe,,,,,
3,Week 8: Quarterfinal,James & Camilla,"20 (4, 5, 6, 5)",Samba,"""All Night Long"" —Lionel Richie",Safe,,,,,
