Destination,Date,Rolling Week Avg,Rolling Week Total
Perth,29/01/2021,107630.714285714,753415
New York,25/02/2021,169305.285714286,1185137
London,23/01/2021,176976.857142857,1238838
Perth,18/01/2021,110305,772135
New York,21/02/2021,158305,1108135
Perth,25/03/2021,102665.285714286,718657
London,01/02/2021,165984,1161888
Perth,24/03/2021,97477.285714286,682341
New York,17/01/2021,174810.285714286,1223672
London,20/02/2021,179297,1255079
New York,11/03/2021,209920.571428571,1469444
Perth,14/02/2021,96870.428571429,678093
New York,28/02/2021,176221.571428571,1233551
New York,19/03/2021,171929.714285714,1203508
New York,22/01/2021,153377.285714286,1073641
Perth,01/01/2021,112465.25,449861
Perth,08/02/2021,117607.714285714,823254
London,13/03/2021,158965.142857143,1112756
New York,18/01/2021,170375.285714286,1192627
London,28/02/2021,170775.142857143,1195426
Perth,10/02/2021,107074,749518
New York,28/01/2021,211059.857142857,1477419
London,27/02/2021,177171.142857143,1240198
New York,20/01/2021,150529.857142857,1053709
New York,23/01/2021,165281.714285714,1156972
Perth,25/01/2021,99480.571428571,696364
Perth,14/03/2021,113777.571428571,796443
Perth,17/03/2021,113998.285714286,797988
New York,14/02/2021,166494.571428571,1165462
Perth,23/03/2021,93621.571428571,655351
New York,08/03/2021,223918.142857143,1567427
Perth,18/03/2021,105232.857142857,736630
New York,20/03/2021,174599.285714286,1222195
Perth,03/03/2021,113612.714285714,795289
London,02/03/2021,178324.857142857,1248274
London,28/03/2021,168414.714285714,1178903
New York,18/02/2021,157932.142857143,1105525
London,21/03/2021,128622.857142857,900360
Perth,06/01/2021,99049.428571429,693346
New York,19/01/2021,165764.142857143,1160349
London,27/01/2021,193409.571428571,1353867
New York,06/01/2021,192934.714285714,1350543
London,23/02/2021,211172.142857143,1478205
New York,24/03/2021,180108.142857143,1260757
New York,05/01/2021,191463.714285714,1340246
Perth,25/02/2021,94389.857142857,660729
Perth,11/02/2021,107830.285714286,754812
Perth,20/03/2021,89889.428571429,629226
New York,12/03/2021,205905.714285714,1441340
Perth,15/01/2021,106131.857142857,742923
London,11/02/2021,153001.857142857,1071013
Perth,07/02/2021,112861.714285714,790032
New York,25/01/2021,177166.142857143,1240163
New York,05/03/2021,192492.571428571,1347448
New York,08/02/2021,183861.142857143,1287028
New York,23/02/2021,168117,1176819
London,14/03/2021,155349.285714286,1087445
London,25/01/2021,177712,1243984
London,14/01/2021,197201.571428571,1380411
London,17/02/2021,161375.714285714,1129630
Perth,28/02/2021,116719.571428571,817037
London,18/03/2021,144379.714285714,1010658
New York,09/03/2021,234442,1641094
Perth,27/03/2021,100556.428571429,703895
London,16/03/2021,159116.428571429,1113815
New York,30/03/2021,170670.2,853351
New York,26/02/2021,179988.714285714,1259921
New York,01/01/2021,210739.25,842957
London,25/03/2021,149029.285714286,1043205
New York,27/03/2021,178532.285714286,1249726
New York,13/03/2021,193205.571428571,1352439
Perth,14/01/2021,106718.857142857,747032
Perth,05/02/2021,107928.571428571,755500
New York,02/01/2021,215581.4,1077907
Perth,29/03/2021,95822.166666667,574933
London,19/02/2021,182774.428571429,1279421
New York,04/03/2021,191333.857142857,1339337
London,08/01/2021,175575.714285714,1229030
Perth,09/01/2021,84829.857142857,593809
London,12/03/2021,162090.714285714,1134635
New York,08/01/2021,191771.571428571,1342401
Perth,12/02/2021,99174.714285714,694223
London,07/01/2021,166073.285714286,1162513
Perth,01/03/2021,112910.428571429,790373
London,21/01/2021,164534.714285714,1151743
New York,24/02/2021,165609,1159263
Perth,12/01/2021,90146.142857143,631023
New York,17/02/2021,158114.714285714,1106803
New York,02/03/2021,171303.714285714,1199126
London,07/02/2021,153392.714285714,1073749
London,21/02/2021,193265.285714286,1352857
New York,10/03/2021,218427.714285714,1528994
Perth,09/02/2021,107207,750449
Perth,08/03/2021,109140.857142857,763986
London,15/02/2021,156798,1097586
London,06/02/2021,150394.714285714,1052763
New York,16/01/2021,175302,1227114
London,09/01/2021,190765.714285714,1335360
London,03/01/2021,168986.666666667,1013920
New York,28/03/2021,174800.428571429,1223603
Perth,30/03/2021,98884.2,494421
London,26/01/2021,194421,1360947
New York,15/02/2021,157503.142857143,1102522
New York,23/03/2021,183617.285714286,1285321
London,22/02/2021,205891.571428571,1441241
London,31/01/2021,164203.285714286,1149423
London,05/03/2021,177119.142857143,1239834
Perth,08/01/2021,94916.714285714,664417
New York,03/03/2021,188505.714285714,1319540
New York,11/02/2021,170641.142857143,1194488
London,24/01/2021,187127.571428571,1309893
New York,22/03/2021,195217.571428571,1366523
Perth,20/02/2021,93885.571428571,657199
London,04/01/2021,159290.857142857,1115036
London,13/01/2021,196013.142857143,1372092
Perth,27/02/2021,111077.285714286,777541
New York,12/02/2021,163974.428571429,1147821
New York,07/02/2021,176731.714285714,1237122
London,24/02/2021,192058.714285714,1344411
Perth,26/02/2021,99178.857142857,694252
Perth,19/02/2021,102599.714285714,718198
Perth,19/03/2021,99109.571428571,693767
Perth,04/03/2021,109054.142857143,763379
London,18/01/2021,165661.285714286,1159629
New York,10/01/2021,188669.571428571,1320687
New York,10/02/2021,169251,1184757
London,12/02/2021,151300.857142857,1059106
New York,13/01/2021,192440.428571429,1347083
London,10/01/2021,188118.285714286,1316828
Perth,26/03/2021,100450.142857143,703151
London,10/02/2021,163038,1141266
London,28/01/2021,196276.857142857,1373938
Perth,06/02/2021,107826,754782
New York,03/01/2021,202301.833333333,1213811
Perth,13/01/2021,98592.428571429,690147
New York,16/03/2021,167111,1169777
Perth,03/01/2021,108085,648510
All,05/01/2021,148287.333333333,3114034
All,04/02/2021,145073.523809524,3046544
All,01/02/2021,149505.19047619,3139609
All,11/01/2021,160949.19047619,3379933
All,14/01/2021,162468.571428571,3411840
All,15/01/2021,159969.047619048,3359350
All,17/01/2021,152451.476190476,3201481
All,22/01/2021,135700.238095238,2849705
All,08/02/2021,151467.428571429,3180816
All,08/03/2021,164768.047619048,3460129
All,30/03/2021,150081.733333333,2251226
All,24/02/2021,150946.333333333,3169873
All,17/03/2021,143252.238095238,3008297
All,06/03/2021,164263.523809524,3449534
All,02/02/2021,150078.714285714,3151653
All,27/03/2021,146433.571428571,3075105
All,07/01/2021,153463.142857143,3222726
All,08/01/2021,154088,3235848
All,18/01/2021,148780.523809524,3124391
All,02/03/2021,155656.761904762,3268792
All,28/01/2021,169919.238095238,3568304
All,11/02/2021,143824.428571429,3020313
All,27/01/2021,163229.142857143,3427812
All,23/02/2021,158915.142857143,3337218
All,06/01/2021,150330.952380952,3156950
All,22/03/2021,137072.857142857,2878530
All,18/02/2021,146188.333333333,3069955
All,19/01/2021,142520.19047619,2992924
All,23/01/2021,142810.333333333,2999017
All,19/03/2021,134765.619047619,2830078
All,06/02/2021,145615.428571429,3057924
All,30/01/2021,161896.619047619,3399829
All,18/03/2021,143683.476190476,3017353
All,12/02/2021,138150,2901150
All,13/01/2021,162348.666666667,3409322
All,13/02/2021,141085,2962785
All,03/03/2021,163185.619047619,3426898
All,02/01/2021,162309.466666667,2434642
All,10/01/2021,154798.095238095,3250760
All,10/02/2021,146454.333333333,3075541
All,20/01/2021,138158.666666667,2901332
All,31/03/2021,153181.666666667,1838180
All,28/02/2021,154572.095238095,3246014
All,26/01/2021,159494.857142857,3349392
All,09/02/2021,148601,3120621
All,03/02/2021,151046.761904762,3171982
All,01/03/2021,157705.523809524,3311816
All,21/01/2021,132837.714285714,2789592
All,23/03/2021,133735.619047619,2808448
All,04/03/2021,163407.19047619,3431551
All,16/02/2021,136491.857142857,2866329
All,04/01/2021,154286.285714286,3240012
All,13/03/2021,155972.571428571,3275424
All,07/02/2021,147662.047619048,3100903
All,21/02/2021,147670.952380952,3101090
All,24/03/2021,136583.333333333,2868250
All,15/03/2021,147099.714285714,3089094
All,25/02/2021,147743.142857143,3102606
All,22/02/2021,150731.333333333,3165358
All,28/03/2021,148683.857142857,3122361
All,11/03/2021,153913.476190476,3232183
All,12/01/2021,160681.904761905,3374320
All,21/03/2021,133928.571428571,2812500
All,20/03/2021,129550.047619048,2720551
All,27/02/2021,155307.476190476,3261457
All,15/02/2021,138779.428571429,2914368
All,29/03/2021,144335.666666667,2598042
All,25/01/2021,151452.904761905,3180511
All,09/01/2021,153688.666666667,3227462
All,29/01/2021,169598.619047619,3561571
All,07/03/2021,164840.476190476,3461650
All,20/02/2021,143679.333333333,3017266
All,26/03/2021,142381.80952381,2990018
All,16/01/2021,156681.714285714,3290316
All,26/02/2021,155359.666666667,3262553
All,25/03/2021,139533.428571429,2930202
All,17/02/2021,139513.333333333,2929780
All,12/03/2021,158967.666666667,3338321
All,03/01/2021,159791.166666667,2876241
All,16/03/2021,145308,3051468
All,14/02/2021,140986.619047619,2960719
All,05/03/2021,158881.142857143,3336504
All,19/02/2021,148397.047619048,3116338
All,09/03/2021,160451.047619048,3369472
All,31/01/2021,156228.047619048,3280789
All,01/01/2021,162109.333333333,1945312
All,14/03/2021,148967.571428571,3128319
All,10/03/2021,154615.095238095,3246917
All,05/02/2021,142931.19047619,3001555
All,24/01/2021,148561.047619048,3119782
