Bike Type,Store,Order Date,Quantity,Value per Bike,Shipping Date,Model
Mountain,York,28/05/2020,5,1413,30/05/2020,GIA21312/003
Road,Birmingham,02/07/2020,5,1016,04/07/2020,GIA94221/131
Road,Birmingham,26/06/2020,5,2524,27/06/2020,GIA12442/122
Gravel,Birmingham,28/01/2020,3,2496,05/02/2020,GIA12492/125
Road,Manchester,08/11/2020,5,3701,13/11/2020,GIA14293/005
Road,York,09/05/2020,4,1090,11/05/2020,GIA31292/006
Mountain,York,17/11/2020,5,1428,28/11/2020,GIA21312/004
Gravel,London,29/05/2020,2,2895,03/06/2020,GIA94221/132
Road,Birmingham,14/11/2020,4,2155,24/11/2020,GIA12442/123
Mountain,York,23/07/2020,1,3426,24/07/2020,GIA12492/126
Gravel,London,19/10/2020,2,1202,29/10/2020,GIA14293/006
Road,Birmingham,22/11/2020,2,3799,23/11/2020,GIA31292/007
Mountain,Leeds,13/10/2020,1,2268,16/10/2020,GIA31292/006
Mountain,Leeds,28/01/2020,1,3334,16/02/2020,GIA21312/004
Gravel,York,26/12/2020,5,3608,11/01/2021,GIA94221/132
Gravel,Birmingham,18/05/2020,2,2813,28/05/2020,GIA12442/123
Road,London,06/07/2020,2,1887,22/07/2020,GIA12492/126
Mountain,York,27/06/2020,2,3800,14/07/2020,GIA14293/006
Road,Leeds,14/02/2020,3,3963,25/02/2020,GIA31292/007
Road,Birmingham,24/05/2020,1,1848,13/06/2020,GIA21312/005
Mountain,London,14/06/2020,4,3109,01/07/2020,GIA94221/133
Gravel,York,07/08/2020,3,3728,22/08/2020,GIA12442/124
Road,Birmingham,24/10/2020,1,2882,08/11/2020,GIA12492/127
Road,Leeds,14/08/2020,3,1404,19/08/2020,GIA14293/007
Gravel,Manchester,28/11/2020,3,3113,01/12/2020,GIA31292/008
Mountain,Manchester,06/09/2020,2,2739,17/09/2020,GIA31292/007
Mountain,Birmingham,10/02/2020,5,1591,15/02/2020,GIA21312/005
Mountain,York,15/10/2020,2,1788,04/11/2020,GIA94221/133
Gravel,York,01/05/2020,5,2032,17/05/2020,GIA12442/124
Road,Birmingham,16/09/2020,4,3287,19/09/2020,GIA12492/127
Road,London,12/01/2020,1,3549,18/01/2020,GIA14293/007
Road,Manchester,23/04/2020,4,1318,27/04/2020,GIA31292/008
Road,Manchester,21/06/2020,4,1360,07/07/2020,GIA21312/006
Road,York,07/10/2020,2,2651,26/10/2020,GIA94221/134
Gravel,London,23/10/2020,1,3627,28/10/2020,GIA12442/125
Mountain,Manchester,16/10/2020,2,1696,30/10/2020,GIA12492/128
Road,Manchester,01/10/2020,2,2225,15/10/2020,GIA14293/008
Gravel,Manchester,18/09/2020,2,1009,23/09/2020,GIA31292/009
Gravel,London,09/11/2020,5,3495,18/11/2020,GIA31292/008
Road,York,17/04/2020,1,1506,28/04/2020,GIA21312/006
Mountain,Leeds,11/09/2020,2,1818,19/09/2020,GIA94221/134
Road,Leeds,28/02/2020,2,2557,11/03/2020,GIA12442/125
Mountain,Leeds,17/03/2020,3,3188,26/03/2020,GIA12492/128
Road,York,10/09/2020,1,3824,16/09/2020,GIA14293/008
Road,Birmingham,14/09/2020,3,1068,04/10/2020,GIA31292/009
Road,Leeds,20/12/2020,4,2500,08/01/2021,GIA21312/007
Gravel,York,13/08/2020,1,1428,28/08/2020,GIA94221/135
Mountain,Leeds,19/03/2020,3,1100,23/03/2020,GIA12442/126
Gravel,York,13/01/2020,1,1462,24/01/2020,GIA12492/129
Gravel,Manchester,23/05/2020,1,1023,10/06/2020,GIA14293/009
Mountain,Birmingham,10/09/2020,2,3324,30/09/2020,GIA31292/010
Road,London,15/10/2020,1,3193,23/10/2020,GIA31292/009
Mountain,Birmingham,01/04/2020,3,3842,09/04/2020,GIA21312/007
Gravel,York,10/03/2020,4,911,11/03/2020,GIA94221/135
Mountain,London,20/07/2020,2,2511,09/08/2020,GIA12442/126
Road,Leeds,19/12/2020,2,1107,21/12/2020,GIA12492/129
Road,Manchester,20/06/2020,2,1415,27/06/2020,GIA14293/009
Mountain,York,17/05/2020,2,3093,29/05/2020,GIA31292/010
Road,London,04/11/2020,3,869,11/11/2020,GIA21312/008
Mountain,London,15/02/2020,4,2320,19/02/2020,GIA94221/136
Mountain,Birmingham,27/10/2020,3,3674,12/11/2020,GIA12442/127
Road,York,05/01/2020,5,3197,18/01/2020,GIA12492/130
Gravel,Leeds,09/03/2020,3,1253,13/03/2020,GIA14293/010
Mountain,York,15/03/2020,1,1388,24/03/2020,GIA31292/011
Mountain,Leeds,24/04/2020,2,2855,30/04/2020,GIA31292/010
Gravel,York,04/07/2020,2,940,11/07/2020,GIA21312/008
Road,Manchester,09/04/2020,4,947,12/04/2020,GIA94221/136
Mountain,Birmingham,20/04/2020,4,3838,29/04/2020,GIA12442/127
Gravel,London,21/11/2020,4,1135,10/12/2020,GIA12492/130
Road,Manchester,21/09/2020,1,1831,29/09/2020,GIA14293/010
Road,London,17/12/2020,5,3067,28/12/2020,GIA31292/011
Gravel,Leeds,02/06/2020,3,2074,04/06/2020,220SPEC12402
Gravel,Leeds,02/08/2020,4,3035,16/08/2020,012SPEC24021
Mountain,London,15/05/2020,5,3994,02/06/2020,043SPEC12400
Road,York,21/08/2020,2,792,10/09/2020,032SPEC29124
Mountain,Birmingham,07/06/2020,2,2821,12/06/2020,021SPEC01442
Mountain,Manchester,03/08/2020,3,3347,16/08/2020,102SPEC84223
Mountain,Manchester,08/10/2020,2,1246,26/10/2020,012SPEC93581
Mountain,London,12/06/2020,4,1829,18/06/2020,943SPEC24912
Mountain,York,24/03/2020,3,2580,12/04/2020,429SPEC21312
Road,Manchester,18/05/2020,3,1641,26/05/2020,942SPEC34342
Mountain,York,27/11/2020,5,3439,05/12/2020,120SPEC13492
Road,Leeds,10/08/2020,1,3835,11/08/2020,220SPEC12403
Gravel,Leeds,10/12/2020,5,2932,16/12/2020,012SPEC24022
Gravel,Leeds,09/03/2020,1,3374,18/03/2020,043SPEC12401
Gravel,York,12/10/2020,1,3681,14/10/2020,032SPEC29125
Road,Birmingham,07/01/2020,4,1345,08/01/2020,021SPEC01443
Gravel,London,07/12/2020,2,2560,20/12/2020,102SPEC84224
Road,Leeds,09/12/2020,5,3352,26/12/2020,012SPEC93582
Mountain,York,13/08/2020,5,1014,14/08/2020,943SPEC24913
Mountain,London,09/07/2020,2,3923,21/07/2020,429SPEC21313
Mountain,Manchester,10/12/2020,5,2723,21/12/2020,942SPEC34343
Gravel,London,29/04/2020,3,953,11/05/2020,120SPEC13493
Road,York,13/05/2020,4,2869,29/05/2020,220SPEC12404
Mountain,London,11/11/2020,5,2176,23/11/2020,012SPEC24023
Mountain,Leeds,05/08/2020,5,3205,11/08/2020,043SPEC12402
Mountain,London,18/09/2020,1,2765,02/10/2020,032SPEC29126
Gravel,York,16/12/2020,4,3488,19/12/2020,021SPEC01444
Gravel,York,12/08/2020,2,1591,16/08/2020,102SPEC84225
Gravel,Birmingham,04/10/2020,2,935,10/10/2020,012SPEC93583
Gravel,York,05/01/2020,3,2424,08/01/2020,943SPEC24914
Gravel,Leeds,17/11/2020,4,3148,27/11/2020,429SPEC21314
Gravel,York,17/10/2020,1,1413,04/11/2020,942SPEC34344
Mountain,Birmingham,07/10/2020,4,1749,15/10/2020,120SPEC13494
Mountain,Leeds,08/02/2020,5,3665,28/02/2020,220SPEC12405
Gravel,York,09/03/2020,5,1824,16/03/2020,012SPEC24024
Mountain,Birmingham,25/06/2020,5,1465,11/07/2020,043SPEC12403
Road,London,28/03/2020,4,1991,12/04/2020,032SPEC29127
Road,Leeds,28/04/2020,2,1982,01/05/2020,021SPEC01445
Mountain,Manchester,19/01/2020,4,1791,27/01/2020,102SPEC84226
Mountain,Leeds,02/08/2020,4,3089,20/08/2020,012SPEC93584
Road,York,10/09/2020,1,3785,14/09/2020,943SPEC24915
Gravel,London,02/12/2020,3,1040,10/12/2020,429SPEC21315
Gravel,London,30/06/2020,4,2001,02/07/2020,942SPEC34345
Mountain,London,01/07/2020,3,1557,05/07/2020,120SPEC13495
Gravel,London,24/08/2020,1,795,30/08/2020,220SPEC12406
Mountain,York,20/03/2020,3,1204,07/04/2020,012SPEC24025
Gravel,London,21/03/2020,1,800,10/04/2020,043SPEC12404
Gravel,Birmingham,24/01/2020,4,1291,06/02/2020,032SPEC29128
Gravel,York,30/09/2020,3,1147,08/10/2020,021SPEC01446
Road,Leeds,13/09/2020,1,3465,27/09/2020,102SPEC84227
Gravel,Leeds,27/08/2020,5,3352,05/09/2020,012SPEC93585
Mountain,Leeds,30/11/2020,4,3575,18/12/2020,943SPEC24916
Road,London,15/02/2020,5,3825,28/02/2020,429SPEC21316
Road,York,28/05/2020,1,3955,06/06/2020,942SPEC34346
Road,Leeds,12/07/2020,5,1778,21/07/2020,120SPEC13496
Road,London,12/04/2020,2,2172,27/04/2020,220SPEC12407
Gravel,Birmingham,11/02/2020,5,3839,14/02/2020,012SPEC24026
Gravel,Birmingham,27/11/2020,4,777,03/12/2020,043SPEC12405
Road,Manchester,30/12/2020,4,2032,11/01/2021,032SPEC29129
Road,Leeds,02/07/2020,5,1698,20/07/2020,021SPEC01447
Mountain,Birmingham,05/04/2020,2,1558,18/04/2020,102SPEC84228
Mountain,London,10/04/2020,4,3368,19/04/2020,012SPEC93586
Mountain,Leeds,20/06/2020,3,2881,22/06/2020,943SPEC24917
Mountain,London,05/02/2020,2,1007,11/02/2020,429SPEC21317
Gravel,York,05/06/2020,3,860,15/06/2020,942SPEC34347
Gravel,York,12/10/2020,1,1583,15/10/2020,120SPEC13497
Gravel,Birmingham,26/12/2020,5,1072,07/01/2021,220SPEC12408
Mountain,Birmingham,23/03/2020,3,3479,06/04/2020,012SPEC24027
Road,Leeds,03/12/2020,3,3167,18/12/2020,043SPEC12406
Road,London,21/07/2020,4,2072,31/07/2020,032SPEC29130
Road,York,30/10/2020,1,3268,01/11/2020,021SPEC01448
Road,York,16/05/2020,1,3880,03/06/2020,102SPEC84229
Mountain,York,03/02/2020,2,3376,12/02/2020,012SPEC93587
Gravel,Leeds,03/03/2020,3,2032,07/03/2020,943SPEC24918
Mountain,Leeds,24/09/2020,1,2219,11/10/2020,429SPEC21318
Gravel,Leeds,08/10/2020,2,3260,16/10/2020,942SPEC34348
Gravel,Birmingham,22/09/2020,1,1357,01/10/2020,120SPEC13498
Road,Leeds,23/05/2020,3,1454,28/05/2020,220SPEC12409
Gravel,Birmingham,26/02/2020,3,1771,03/03/2020,012SPEC24028
Mountain,London,13/04/2020,2,1056,22/04/2020,043SPEC12407
Road,Leeds,02/03/2020,2,3500,15/03/2020,032SPEC29131
Gravel,Manchester,11/10/2020,3,3420,26/10/2020,021SPEC01449
Gravel,Birmingham,30/11/2020,5,1532,06/12/2020,102SPEC84230
Gravel,Leeds,08/07/2020,5,1457,24/07/2020,012SPEC93588
Mountain,Birmingham,20/11/2020,4,1322,05/12/2020,943SPEC24919
Gravel,Manchester,27/06/2020,2,1182,10/07/2020,429SPEC21319
Gravel,Manchester,23/12/2020,5,1396,27/12/2020,942SPEC34349
Mountain,Birmingham,30/10/2020,3,2507,12/11/2020,120SPEC13499
Road,London,11/11/2020,3,1266,22/11/2020,220SPEC12410
Road,Manchester,27/06/2020,4,3663,05/07/2020,012SPEC24029
Road,York,27/12/2020,5,1442,28/12/2020,043SPEC12408
Road,Birmingham,03/06/2020,1,2982,16/06/2020,032SPEC29132
Road,Manchester,14/08/2020,4,1374,18/08/2020,021SPEC01450
Road,York,09/07/2020,3,2096,10/07/2020,102SPEC84231
Mountain,London,07/11/2020,5,967,15/11/2020,012SPEC93589
Gravel,Birmingham,07/09/2020,5,2481,19/09/2020,943SPEC24920
Gravel,Leeds,08/07/2020,1,3045,17/07/2020,429SPEC21320
Road,London,16/11/2020,1,1992,06/12/2020,942SPEC34350
Gravel,Leeds,09/09/2020,1,1607,19/09/2020,120SPEC13500
Road,Manchester,17/02/2020,3,1695,01/03/2020,220SPEC12411
Mountain,Manchester,07/05/2020,4,2130,22/05/2020,012SPEC24030
Mountain,London,01/03/2020,3,1925,20/03/2020,043SPEC12409
Mountain,Leeds,26/09/2020,3,1835,07/10/2020,032SPEC29133
Road,London,14/09/2020,4,2764,29/09/2020,021SPEC01451
Road,Birmingham,19/01/2020,2,2468,01/02/2020,102SPEC84232
Road,Birmingham,30/05/2020,1,3848,10/06/2020,012SPEC93590
Road,Leeds,29/01/2020,4,2976,31/01/2020,943SPEC24921
Gravel,Leeds,23/03/2020,5,1953,25/03/2020,429SPEC21321
Gravel,York,08/02/2020,2,1359,23/02/2020,942SPEC34351
Road,Birmingham,23/02/2020,5,3577,08/03/2020,120SPEC13501
Road,London,05/06/2020,3,1159,07/06/2020,220SPEC12412
Mountain,Birmingham,05/05/2020,1,2250,14/05/2020,012SPEC24031
Gravel,Leeds,07/07/2020,1,1926,27/07/2020,043SPEC12410
Gravel,Birmingham,13/09/2020,3,2771,17/09/2020,032SPEC29134
Mountain,York,27/06/2020,4,3683,14/07/2020,021SPEC01452
Mountain,Leeds,20/06/2020,4,1503,09/07/2020,102SPEC84233
Road,London,04/07/2020,1,3370,10/07/2020,012SPEC93591
Road,London,05/10/2020,5,2265,19/10/2020,943SPEC24922
Road,Birmingham,07/08/2020,3,3132,25/08/2020,429SPEC21322
Mountain,Manchester,10/12/2020,3,3731,16/12/2020,942SPEC34352
Gravel,Manchester,07/12/2020,4,2873,15/12/2020,120SPEC13502
Road,Birmingham,28/08/2020,3,763,14/09/2020,220SPEC12413
Gravel,Birmingham,24/03/2020,3,2662,29/03/2020,012SPEC24032
Road,Manchester,26/07/2020,2,3820,28/07/2020,043SPEC12411
Gravel,Birmingham,04/11/2020,3,3193,09/11/2020,032SPEC29135
Gravel,Birmingham,04/11/2020,3,1210,12/11/2020,021SPEC01453
Gravel,Birmingham,08/09/2020,3,2942,10/09/2020,102SPEC84234
Gravel,London,15/07/2020,4,2763,02/08/2020,012SPEC93592
Gravel,York,14/10/2020,3,1871,18/10/2020,943SPEC24923
Gravel,Birmingham,23/02/2020,3,1204,09/03/2020,429SPEC21323
Road,Birmingham,07/02/2020,4,1104,21/02/2020,942SPEC34353
Mountain,Birmingham,27/09/2020,5,1347,05/10/2020,120SPEC13503
Road,Leeds,22/12/2020,5,3016,28/12/2020,220SPEC12414
Mountain,Birmingham,05/11/2020,4,1838,10/11/2020,012SPEC24033
Gravel,Manchester,20/11/2020,4,2107,21/11/2020,043SPEC12412
Gravel,Manchester,18/11/2020,1,3893,25/11/2020,032SPEC29136
Gravel,York,17/06/2020,5,1729,07/07/2020,021SPEC01454
Mountain,York,01/06/2020,4,2279,08/06/2020,102SPEC84235
Mountain,Manchester,18/04/2020,3,1708,28/04/2020,012SPEC93593
Road,Leeds,17/04/2020,2,1248,25/04/2020,943SPEC24924
Gravel,York,05/11/2020,1,1617,07/11/2020,429SPEC21324
Gravel,Manchester,04/12/2020,2,3174,22/12/2020,942SPEC34354
Gravel,Birmingham,16/02/2020,4,1939,26/02/2020,120SPEC13504
Mountain,York,30/04/2020,1,2407,20/05/2020,220SPEC12415
Gravel,Leeds,09/05/2020,2,1767,21/05/2020,012SPEC24034
Mountain,London,25/05/2020,2,849,07/06/2020,043SPEC12413
Road,Birmingham,06/09/2020,1,2407,20/09/2020,032SPEC29137
Gravel,Leeds,27/06/2020,5,1748,11/07/2020,021SPEC01455
Mountain,Birmingham,22/03/2020,2,3687,24/03/2020,102SPEC84236
Mountain,Leeds,08/02/2020,3,2250,27/02/2020,012SPEC93594
Gravel,Leeds,18/10/2020,4,3458,01/11/2020,943SPEC24925
Road,Birmingham,18/08/2020,2,1026,03/09/2020,429SPEC21325
Mountain,Manchester,29/09/2020,5,1920,12/10/2020,942SPEC34355
Gravel,Leeds,05/04/2020,5,2169,09/04/2020,120SPEC13505
Road,London,22/04/2020,4,1728,27/04/2020,220SPEC12416
Mountain,York,20/02/2020,3,2777,02/03/2020,012SPEC24035
Road,York,18/04/2020,5,1844,19/04/2020,043SPEC12414
Mountain,London,25/06/2020,2,3283,03/07/2020,032SPEC29138
Road,York,24/01/2020,4,2368,27/01/2020,021SPEC01456
Road,York,01/07/2020,1,2713,06/07/2020,102SPEC84237
Road,London,08/06/2020,4,4000,28/06/2020,012SPEC93595
Road,Birmingham,26/01/2020,2,1290,06/02/2020,943SPEC24926
Gravel,Leeds,12/06/2020,5,993,01/07/2020,429SPEC21326
Gravel,Manchester,14/06/2020,5,2065,21/06/2020,942SPEC34356
Road,Birmingham,30/11/2020,3,2955,12/12/2020,120SPEC13506
Road,York,21/02/2020,1,1624,04/03/2020,220SPEC12417
Road,Birmingham,20/11/2020,1,3847,23/11/2020,012SPEC24036
Gravel,Birmingham,31/07/2020,4,3489,12/08/2020,043SPEC12415
Road,London,31/07/2020,1,1709,14/08/2020,032SPEC29139
Road,Birmingham,18/01/2020,2,3814,26/01/2020,021SPEC01457
Road,Birmingham,17/03/2020,1,2834,21/03/2020,102SPEC84238
Gravel,Manchester,10/01/2020,2,3451,11/01/2020,012SPEC93596
Gravel,London,03/12/2020,1,1258,20/12/2020,943SPEC24927
Mountain,York,06/07/2020,5,2333,26/07/2020,429SPEC21327
Mountain,Birmingham,21/11/2020,3,3360,02/12/2020,942SPEC34357
Road,London,25/03/2020,2,3065,10/04/2020,120SPEC13507
Mountain,Leeds,07/05/2020,2,887,10/05/2020,220SPEC12418
Mountain,Birmingham,01/11/2020,5,3012,05/11/2020,012SPEC24037
Mountain,Birmingham,18/07/2020,5,3817,28/07/2020,043SPEC12416
Road,Manchester,14/01/2020,4,807,27/01/2020,032SPEC29140
Road,Leeds,16/04/2020,1,1882,30/04/2020,021SPEC01458
Mountain,London,03/12/2020,3,2080,13/12/2020,102SPEC84239
Road,Leeds,26/03/2020,4,3169,29/03/2020,012SPEC93597
Mountain,York,12/10/2020,4,2011,22/10/2020,943SPEC24928
Road,Manchester,21/08/2020,3,2052,10/09/2020,429SPEC21328
Gravel,Leeds,25/03/2020,4,2431,13/04/2020,942SPEC34358
Road,York,18/11/2020,3,3304,01/12/2020,120SPEC13508
Mountain,Leeds,04/07/2020,3,1002,05/07/2020,220SPEC12419
Mountain,York,27/11/2020,4,1596,28/11/2020,012SPEC24038
Gravel,York,07/01/2020,3,3617,15/01/2020,043SPEC12417
Mountain,Leeds,07/06/2020,4,3150,13/06/2020,032SPEC29141
Mountain,Leeds,20/09/2020,5,2443,05/10/2020,021SPEC01459
Mountain,Manchester,21/11/2020,5,2839,10/12/2020,102SPEC84240
Road,London,03/09/2020,2,1271,06/09/2020,012SPEC93598
Road,London,26/03/2020,3,1343,31/03/2020,943SPEC24929
Mountain,Birmingham,13/05/2020,5,3793,14/05/2020,429SPEC21329
Road,Leeds,07/09/2020,2,3276,21/09/2020,942SPEC34359
Road,Leeds,02/02/2020,1,2407,17/02/2020,120SPEC13509
Road,Birmingham,15/08/2020,3,2450,19/08/2020,220SPEC12420
Gravel,Manchester,15/04/2020,1,2608,03/05/2020,012SPEC24039
Gravel,Leeds,05/07/2020,4,2044,06/07/2020,043SPEC12418
Gravel,London,07/04/2020,2,1145,16/04/2020,032SPEC29142
Gravel,London,28/03/2020,3,3490,03/04/2020,021SPEC01460
Gravel,Birmingham,11/07/2020,2,3309,26/07/2020,102SPEC84241
Gravel,London,10/01/2020,5,1133,14/01/2020,012SPEC93599
Gravel,Birmingham,11/09/2020,3,2419,16/09/2020,943SPEC24930
Mountain,York,05/12/2020,5,2528,13/12/2020,429SPEC21330
Gravel,Leeds,20/05/2020,1,1888,07/06/2020,942SPEC34360
Gravel,Birmingham,02/07/2020,3,3862,11/07/2020,120SPEC13510
Mountain,Birmingham,31/01/2020,5,1097,04/02/2020,220SPEC12421
Gravel,London,11/12/2020,5,1813,28/12/2020,012SPEC24040
Road,Manchester,27/09/2020,2,3343,13/10/2020,043SPEC12419
Gravel,London,10/05/2020,5,2150,25/05/2020,032SPEC29143
Gravel,Manchester,28/09/2020,1,3773,04/10/2020,021SPEC01461
Gravel,London,29/06/2020,1,1871,09/07/2020,102SPEC84242
Mountain,Leeds,03/01/2020,3,2212,12/01/2020,012SPEC93600
Gravel,Birmingham,03/04/2020,3,3482,11/04/2020,943SPEC24931
Mountain,Leeds,05/02/2020,5,2916,21/02/2020,429SPEC21331
Road,London,16/12/2020,5,3213,17/12/2020,942SPEC34361
Road,Leeds,23/12/2020,4,2551,02/01/2021,120SPEC13511
Road,Birmingham,04/03/2020,5,3285,18/03/2020,220SPEC12422
Mountain,London,17/03/2020,4,2673,05/04/2020,012SPEC24041
Road,York,24/09/2020,5,1690,11/10/2020,043SPEC12420
Road,Birmingham,28/04/2020,2,1985,04/05/2020,032SPEC29144
Gravel,Birmingham,03/11/2020,4,1009,17/11/2020,021SPEC01462
Road,Birmingham,02/12/2020,1,920,17/12/2020,102SPEC84243
Road,Leeds,08/10/2020,3,1245,24/10/2020,012SPEC93601
Gravel,Manchester,11/03/2020,5,2427,30/03/2020,943SPEC24932
Gravel,Birmingham,16/02/2020,4,3672,01/03/2020,429SPEC21332
Gravel,London,05/04/2020,4,869,14/04/2020,942SPEC34362
Gravel,York,24/03/2020,5,3652,13/04/2020,120SPEC13512
Gravel,York,26/08/2020,1,3056,28/08/2020,220SPEC12423
Gravel,Leeds,14/07/2020,3,3167,03/08/2020,012SPEC24042
Mountain,Manchester,26/12/2020,3,1442,27/12/2020,043SPEC12421
Road,Manchester,09/04/2020,5,2964,16/04/2020,032SPEC29145
Road,Manchester,25/05/2020,1,1394,12/06/2020,021SPEC01463
Mountain,York,29/06/2020,5,2046,13/07/2020,102SPEC84244
Mountain,Manchester,04/07/2020,5,3207,22/07/2020,012SPEC93602
Road,York,14/12/2020,2,1471,28/12/2020,943SPEC24933
Gravel,Birmingham,20/04/2020,1,1712,30/04/2020,429SPEC21333
Gravel,London,06/07/2020,1,1150,21/07/2020,942SPEC34363
Mountain,York,19/11/2020,4,2954,30/11/2020,120SPEC13513
Mountain,Birmingham,07/12/2020,2,903,13/12/2020,220SPEC12424
Gravel,York,07/08/2020,2,3871,22/08/2020,012SPEC24043
Gravel,Birmingham,18/08/2020,5,1585,02/09/2020,043SPEC12422
Road,Leeds,21/08/2020,1,1773,29/08/2020,032SPEC29146
Mountain,York,06/11/2020,5,3227,08/11/2020,021SPEC01464
Road,Birmingham,10/05/2020,2,2891,15/05/2020,102SPEC84245
Mountain,London,12/04/2020,3,2593,27/04/2020,012SPEC93603
Road,York,28/07/2020,4,1020,29/07/2020,943SPEC24934
Road,Manchester,03/07/2020,1,2039,06/07/2020,429SPEC21334
Road,London,06/08/2020,2,2510,21/08/2020,942SPEC34364
Road,Birmingham,07/01/2020,5,3640,18/01/2020,120SPEC13514
Gravel,Birmingham,28/07/2020,3,3247,16/08/2020,220SPEC12425
Mountain,Birmingham,28/06/2020,1,2744,11/07/2020,012SPEC24044
Mountain,Manchester,07/09/2020,4,1195,10/09/2020,043SPEC12423
Road,Birmingham,12/04/2020,5,1148,25/04/2020,032SPEC29147
Mountain,Manchester,15/11/2020,4,1921,19/11/2020,021SPEC01465
Mountain,London,22/05/2020,4,3331,26/05/2020,102SPEC84246
Mountain,London,16/05/2020,4,2440,22/05/2020,012SPEC93604
Mountain,London,24/01/2020,4,2703,01/02/2020,943SPEC24935
Mountain,London,09/10/2020,1,1944,28/10/2020,429SPEC21335
Road,Birmingham,24/02/2020,4,2553,12/03/2020,942SPEC34365
Mountain,London,03/04/2020,1,2891,15/04/2020,120SPEC13515
Road,Leeds,23/02/2020,4,3589,09/03/2020,220SPEC12426
Road,London,20/10/2020,3,2162,07/11/2020,012SPEC24045
Mountain,Leeds,06/01/2020,1,3654,26/01/2020,043SPEC12424
Mountain,Manchester,22/07/2020,3,3930,09/08/2020,032SPEC29148
Mountain,Manchester,21/08/2020,5,1269,07/09/2020,021SPEC01466
Road,Manchester,29/02/2020,4,3720,18/03/2020,102SPEC84247
Road,Birmingham,18/05/2020,3,948,19/05/2020,012SPEC93605
Gravel,Leeds,01/12/2020,3,3343,15/12/2020,943SPEC24936
Mountain,York,09/05/2020,4,3626,18/05/2020,429SPEC21336
Mountain,Leeds,02/09/2020,3,760,20/09/2020,942SPEC34366
Gravel,Manchester,26/06/2020,1,1375,06/07/2020,120SPEC13516
Mountain,London,09/11/2020,1,2425,24/11/2020,220SPEC12427
Road,London,15/04/2020,4,2430,22/04/2020,012SPEC24046
Road,London,03/03/2020,3,2638,17/03/2020,043SPEC12425
Mountain,Birmingham,04/02/2020,4,3528,13/02/2020,032SPEC29149
Mountain,Leeds,17/09/2020,1,768,29/09/2020,021SPEC01467
Mountain,York,20/10/2020,2,3112,31/10/2020,102SPEC84248
Mountain,Leeds,24/06/2020,5,2820,13/07/2020,03913/012ORRO
Road,Birmingham,04/04/2020,3,2903,23/04/2020,03913/012ORRO
Mountain,Birmingham,27/10/2020,5,2780,08/11/2020,48321/001ORRO
Mountain,Birmingham,03/09/2020,2,3615,05/09/2020,84123/002ORRO
Gravel,Leeds,23/12/2020,4,2379,05/01/2021,12349/014ORRO
Gravel,Leeds,20/09/2020,1,2041,24/09/2020,19312/032ORRO
Mountain,Manchester,07/06/2020,2,2262,21/06/2020,23144/014ORRO
Road,Birmingham,12/03/2020,3,2147,28/03/2020,03913/012ORRO
Gravel,London,24/09/2020,3,2281,26/09/2020,03913/012ORRO
Gravel,Leeds,12/04/2020,1,2345,30/04/2020,48321/001ORRO
Gravel,Manchester,09/02/2020,5,3031,27/02/2020,84123/002ORRO
Gravel,York,07/12/2020,3,2944,25/12/2020,12349/014ORRO
Mountain,London,27/01/2020,1,1849,10/02/2020,19312/032ORRO
Mountain,Birmingham,24/02/2020,1,1591,01/03/2020,23144/014ORRO
