Order ID,Customer Age,Bike Value,Existing Customer?,Date,Store - Bike
41,28,768,Yes,18/04/2021,Birmingham - Road
42,56,1737,Yes,07/03/2021,Leeds - Road
43,47,826,No,16/04/2021,Birmingham - Road
44,28,1824,No,01/07/2021,Manchester - Road
45,18,1706,No,18/01/2021,Manchester - Mountain
46,38,1411,No,30/03/2021,York - Mountain
47,37,415,Yes,13/05/2021,York - Mountain
48,56,1894,Yes,03/11/2021,York - Mountain
49,15,653,Yes,16/02/2021,York - Gravel
50,56,1666,No,30/06/2021,York - Gravel
51,53,714,No,01/06/2021,London - Road
52,16,1557,No,31/03/2021,London - Road
53,21,653,No,25/01/2021,London - Road
54,42,936,Yes,21/07/2021,London - Road
55,22,1401,Yes,21/08/2021,Leeds - Mountain
56,18,638,Yes,25/04/2021,York - Mountain
57,25,1406,No,25/04/2021,York - Mountain
58,30,1948,No,27/06/2021,York - Mountain
59,28,1327,No,17/04/2021,York - Gravel
60,17,831,No,09/11/2021,York - Gravel
61,17,1081,Yes,19/10/2021,London - Road
62,73,1074,Yes,17/10/2021,London - Rood
63,57,993,Yes,10/01/2021,London - Road
64,54,1569,No,20/08/2021,London - Road
65,26,683,No,14/02/2021,Leeds - Mountain
66,40,1579,No,11/07/2021,Birmingham - Mountain
67,22,871,No,30/06/2021,Leeds - Mountain
68,54,1136,Yes,29/08/2021,Birmingham - Mountain
69,21,1659,Yes,16/09/2021,Manchester - Gravel
70,24,1545,Yes,22/02/2021,Manchester - Gravel
71,60,887,No,03/03/2021,York - Road
72,32,433,No,24/01/2021,York - Road
73,37,675,No,10/10/2021,York - Road
74,39,516,No,01/04/2021,York - Road
75,23,1960,Yes,30/08/2021,York - Mountain
76,15,780,Yes,14/04/2021,London - Mountain
77,16,1858,Yes,09/07/2021,London - Mountain
78,20,429,No,19/03/2021,London - Mountain
79,47,1319,No,26/07/2021,London - Gravel
80,37,1988,No,01/03/2021,Leeds - Gravle
81,40,1605,No,13/11/2021,Birmingham - Road
82,52,870,Yes,01/03/2021,Leeds - Road
83,28,894,Yes,24/06/2021,Birmingham - Road
84,20,895,Yes,26/08/2021,Manchester - Road
85,60,681,No,29/06/2021,Manchester - Mountain
86,21,1841,No,13/04/2021,York - Mountain
87,57,487,No,11/11/2021,York - Mountaen
88,44,574,No,25/11/2021,York - Mountain
89,56,1093,Yes,01/12/2021,York - Gravel
90,27,453,Yes,17/04/2021,York - Gravel
91,50,629,Yes,27/08/2021,London - Road
92,51,808,No,15/03/2021,London - Road
93,54,1661,No,06/02/2021,London - Road
94,31,1957,No,17/07/2021,London - Road
95,39,437,No,08/08/2021,Leeds - Mountain
96,31,1667,Yes,08/09/2021,Birmingham - Mountain
97,60,1779,Yes,21/07/2021,Leeds - Mountain
98,50,1892,Yes,25/04/2021,Birmingham - Mountain
99,58,1772,No,21/05/2021,Manchester - Gravel
100,25,1155,No,23/02/2021,Manchester - Gravel
101,35,896,No,29/07/2021,York - Road
102,24,602,No,26/10/2021,York - Road
103,22,993,Yes,24/09/2021,York - Road
104,18,1973,Yes,04/05/2021,York - Road
105,39,789,Yes,19/02/2021,York - Mountain
106,28,1283,No,06/04/2021,London - Mountain
107,43,1246,No,18/10/2021,London - Mountain
108,44,1163,No,11/04/2021,London - Mountain
109,29,564,No,08/02/2021,London - Gravel
110,18,792,Yes,19/02/2021,Leeds - Gravel
111,45,1749,Yes,24/11/2021,York - Road
112,47,883,Yes,08/11/2021,York - Road
113,40,1877,No,04/07/2021,York - Road
114,17,420,No,08/07/2021,York - Road
115,47,1018,No,17/09/2021,York - Mountain
116,27,480,No,12/09/2021,London - Mountain
117,26,678,Yes,25/03/2021,London - Mountain
118,30,1830,Yes,06/09/2021,London - Mountain
119,39,1722,Yes,09/07/2021,London - Gravel
120,39,891,No,31/05/2021,Leeds - Gravel
121,46,1404,No,28/06/2021,Birmingham - Road
122,44,1767,No,25/05/2021,Leeds - Road
123,54,470,No,15/09/2021,Birmingham - Road
124,37,1572,Yes,07/03/2021,Manchester - Rood
125,20,1898,Yes,10/02/2021,Manchester - Mountain
126,18,1158,Yes,16/03/2021,York - Mountain
127,37,654,No,21/10/2021,York - Mountain
128,41,955,No,07/04/2021,York - Mountain
129,39,1786,No,02/06/2021,York - Gravle
130,26,1387,No,28/08/2021,York - Gravel
131,58,432,Yes,08/06/2021,London - Road
132,58,658,Yes,22/10/2021,London - Road
133,40,1006,Yes,20/01/2021,London - Road
134,49,971,No,12/01/2021,London - Road
135,60,1175,No,16/06/2021,Leeds - Mountain
136,59,1224,No,22/01/2021,Birmingham - Mountain
137,57,1994,No,30/06/2021,Leeds - Mountain
138,44,1434,Yes,23/03/2021,Birmingham - Mountain
139,41,472,Yes,14/07/2021,Manchester - Gravel
140,27,1625,Yes,07/07/2021,Manchester - Graval
141,48,638,No,29/06/2021,York - Road
142,35,1183,No,17/11/2021,York - Road
143,30,1415,No,23/04/2021,York - Road
144,36,718,No,19/08/2021,York - Road
145,59,1108,Yes,26/01/2021,York - Mountain
146,25,1399,Yes,01/10/2021,London - Mountain
147,21,1442,Yes,26/09/2021,London - Mountain
148,40,874,No,29/05/2021,London - Mountain
149,36,461,No,28/04/2021,London - Gravel
150,34,1947,No,16/08/2021,Leeds - Gravel
151,40,1283,No,05/03/2021,Birmingham - Road
152,57,1567,Yes,18/04/2021,Leeds - Road
153,49,1333,Yes,08/12/2021,Birmingham - Road
154,31,905,Yes,02/11/2021,Manchester - Road
155,28,1277,No,03/06/2021,Manchester - Mountain
156,36,1548,No,09/09/2021,York - Mountain
157,18,1020,No,16/01/2021,York - Mountain
158,59,534,No,21/02/2021,York - Mountain
159,29,795,Yes,03/02/2021,York - Gravle
160,27,1400,Yes,04/07/2021,York - Gravle
161,54,1663,Yes,28/01/2021,London - Road
162,17,471,No,24/01/2021,London - Road
163,32,857,No,18/09/2021,London - Road
164,17,1889,No,04/10/2021,London - Road
165,52,1830,No,25/03/2021,Leeds - Mountain
166,15,975,Yes,01/05/2021,York - Mountain
167,39,861,Yes,01/06/2021,York - Mountain
168,41,1898,Yes,06/07/2021,York - Mountain
169,15,611,No,20/03/2021,York - Gravel
170,36,1021,No,30/07/2021,York - Gravel
171,37,1520,No,02/02/2021,London - Road
172,22,1778,No,26/11/2021,London - Road
173,59,933,Yes,16/05/2021,London - Road
174,57,443,Yes,16/05/2021,London - Road
175,37,923,Yes,12/03/2021,Leeds - Mountain
176,48,696,No,18/10/2021,Birmingham - Mountain
177,41,789,No,30/04/2021,Leeds - Mountain
178,47,1352,No,28/06/2021,Birmingham - Mountain
179,30,1426,No,22/07/2021,Manchester - Gravel
180,36,1011,Yes,12/04/2021,Manchester - Gravel
181,44,1506,Yes,27/03/2021,York - Rood
182,31,1205,Yes,28/10/2021,York - Rowd
183,36,660,No,13/11/2021,York - Road
184,38,1052,No,09/07/2021,York - Road
185,50,1742,No,28/10/2021,York - Mountain
186,47,765,No,10/06/2021,London - Mountain
187,29,1195,Yes,02/10/2021,London - Mountain
188,31,1343,Yes,24/08/2021,London - Mountain
189,42,725,Yes,21/06/2021,London - Gravel
190,44,928,No,25/01/2021,Leeds - Gravel
191,28,1736,No,08/03/2021,Birmingham - Road
192,26,1653,No,26/04/2021,Leeds - Road
193,34,1045,No,26/01/2021,Birmingham - Road
194,35,1245,Yes,14/06/2021,Manchester - Road
195,47,1980,Yes,20/03/2021,Manchester - Mountain
196,43,1881,Yes,18/10/2021,York - Mountain
197,49,1691,No,05/11/2021,York - Mountain
198,37,535,No,18/08/2021,York - Mountain
199,25,816,No,06/09/2021,York - Gravel
200,30,999,No,07/10/2021,York - Gravel
201,34,1255,Yes,26/01/2021,London - Road
202,41,1998,Yes,06/04/2021,London - Road
203,37,1610,Yes,14/08/2021,London - Road
204,25,1438,No,19/05/2021,London - Road
205,27,1203,No,24/04/2021,Leeds - Mountain
206,29,1626,No,05/04/2021,Birmingham - Mountain
207,32,1833,No,29/07/2021,Leeds - Mountain
208,46,1133,Yes,18/05/2021,Birmingham - Mountain
209,30,1113,Yes,04/02/2021,Manchester - Gravle
210,34,1544,Yes,02/02/2021,Manchester - Gravel
211,41,787,No,19/04/2021,York - Road
212,38,641,No,30/11/2021,York - Road
213,30,596,No,21/02/2021,York - Road
214,49,645,No,07/06/2021,York - Road
215,50,1906,Yes,14/05/2021,York - Mountaen
216,33,1923,Yes,13/05/2021,London - Mountain
217,44,607,Yes,04/10/2021,London - Mountain
218,36,1773,No,26/02/2021,London - Mountain
219,34,936,No,02/04/2021,London - Gravel
220,33,1399,No,04/04/2021,Leeds - Gravel
221,48,433,No,18/09/2021,York - Road
222,29,1415,Yes,13/06/2021,York - Road
223,30,1327,Yes,26/06/2021,York - Road
224,35,1105,Yes,15/04/2021,York - Road
225,39,1496,No,30/05/2021,York - Mountain
226,35,1949,No,09/07/2021,London - Mountain
227,43,910,No,10/03/2021,London - Mountain
228,36,1317,No,27/08/2021,London - Mountain
229,27,646,Yes,16/01/2021,London - Gravel
230,27,419,Yes,29/10/2021,Leeds - Gravel
231,25,1593,Yes,21/03/2021,Birmingham - Road
232,37,889,No,04/05/2021,Leeds - Road
233,29,877,No,23/10/2021,Birmingham - Rood
234,46,1073,No,01/04/2021,Manchester - Road
235,35,1360,No,02/08/2021,Manchester - Mountain
236,40,1482,Yes,12/09/2021,York - Mountain
237,40,545,Yes,16/10/2021,York - Mountain
238,34,1644,Yes,20/06/2021,York - Mountain
239,34,1899,No,28/11/2021,York - Gravel
240,36,1108,No,19/02/2021,York - Gravel
241,37,1024,No,22/11/2021,London - Road
242,28,1404,No,11/04/2021,London - Road
243,29,1549,Yes,26/02/2021,London - Road
244,36,1189,Yes,15/04/2021,London - Road
245,42,1076,Yes,05/10/2021,Leeds - Mountain
246,43,976,No,15/11/2021,Birmingham - Mountain
247,31,1284,No,01/03/2021,Leeds - Mountain
248,48,532,No,19/04/2021,Birmingham - Mountain
249,25,1070,No,13/02/2021,Manchester - Gravel
250,38,1132,Yes,08/01/2021,Manchester - Gravel
251,33,633,Yes,18/09/2021,York - Road
252,40,1237,Yes,12/11/2021,York - Road
253,31,533,No,09/06/2021,York - Road
254,32,1758,No,03/09/2021,York - Road
255,33,843,No,03/10/2021,York - Mountain
256,48,736,No,30/08/2021,London - Mountain
257,49,1755,Yes,26/01/2021,London - Mountain
258,42,1014,Yes,14/10/2021,London - Mountain
259,35,995,Yes,11/09/2021,London - Gravel
260,41,572,No,28/09/2021,Leeds - Gravel
261,31,537,No,27/06/2021,Birmingham - Road
262,47,1493,No,03/07/2021,Leeds - Road
263,25,1979,No,23/06/2021,Birmingham - Road
264,45,525,Yes,22/04/2021,Manchester - Road
265,25,1620,Yes,30/01/2021,Manchester - Mountain
266,45,1761,Yes,10/04/2021,York - Mountain
267,29,1628,No,15/04/2021,York - Mountain
268,35,1490,No,26/09/2021,York - Mountain
269,34,656,No,16/06/2021,York - Gravel
270,25,1721,No,15/02/2021,York - Gravle
271,50,1526,Yes,24/03/2021,London - Road
272,32,913,Yes,07/09/2021,London - Road
273,26,1472,Yes,26/05/2021,London - Road
274,26,979,No,02/04/2021,London - Road
275,43,1587,No,27/07/2021,Leeds - Mountain
276,47,1794,No,08/11/2021,York - Mountain
277,40,1697,No,26/10/2021,York - Mountain
278,48,1833,Yes,03/04/2021,York - Mountaen
279,35,520,Yes,03/06/2021,York - Gravel
280,33,659,Yes,29/06/2021,York - Gravel
281,44,1888,No,28/07/2021,London - Road
282,43,1677,No,09/10/2021,London - Rood
283,48,1486,No,18/09/2021,London - Road
284,40,1913,No,04/03/2021,London - Road
285,37,839,Yes,23/08/2021,Leeds - Mountain
286,45,1652,Yes,15/02/2021,Birmingham - Mountain
287,46,1833,Yes,29/06/2021,Leeds - Mountain
288,29,765,No,11/06/2021,Birmingham - Mountain
289,33,990,No,25/03/2021,Manchester - Gravel
290,37,1116,No,16/01/2021,Manchester - Gravel
291,34,657,No,22/11/2021,York - Road
292,36,567,Yes,04/08/2021,York - Road
293,42,1839,Yes,06/10/2021,York - Road
294,33,770,Yes,09/06/2021,York - Road
295,45,649,No,05/06/2021,York - Mountain
296,34,1120,No,27/03/2021,London - Mountain
297,49,1266,No,12/02/2021,London - Mountain
298,41,828,No,08/03/2021,London - Mountain
299,35,1968,Yes,06/06/2021,London - Graval
300,49,602,Yes,26/09/2021,Leeds - Gravel
301,33,1076,Yes,12/10/2021,Birmingham - Road
302,48,1840,No,29/06/2021,Leeds - Road
303,39,620,No,24/02/2021,Birmingham - Road
304,40,1305,No,08/10/2021,Manchester - Road
305,50,655,No,13/03/2021,Manchester - Mountain
306,29,1785,Yes,02/06/2021,York - Mountain
307,43,1086,Yes,10/11/2021,York - Mountain
308,26,1769,Yes,20/03/2021,York - Mountain
309,33,1468,No,04/11/2021,York - Gravel
310,35,1020,No,12/04/2021,York - Gravel
311,29,453,No,18/04/2021,London - Road
312,50,1560,No,29/10/2021,London - Road
313,39,680,Yes,28/02/2021,London - Road
314,38,1520,Yes,12/05/2021,London - Road
315,38,1010,Yes,15/05/2021,Leeds - Mountain
316,33,460,No,02/02/2021,Birmingham - Mountain
317,41,631,No,07/07/2021,Leeds - Mountain
318,40,1581,No,23/04/2021,Birmingham - Mountain
319,40,1370,No,14/04/2021,Manchester - Gravel
320,35,1499,Yes,10/03/2021,Manchester - Gravel
321,26,446,Yes,08/09/2021,York - Rowd
322,28,417,Yes,27/10/2021,York - Road
323,50,1452,No,31/05/2021,York - Road
324,40,416,No,05/03/2021,York - Road
325,50,508,No,06/03/2021,York - Mountain
326,47,1863,No,15/11/2021,London - Mountain
327,40,1018,Yes,12/08/2021,London - Mountain
328,37,583,Yes,14/08/2021,London - Mountain
329,38,1288,Yes,11/09/2021,London - Gravel
330,35,1945,No,19/08/2021,Leeds - Gravel
331,26,673,No,02/12/2021,York - Road
332,50,1566,No,30/07/2021,York - Road
333,47,841,No,06/05/2021,York - Road
334,33,1595,Yes,05/03/2021,York - Road
335,31,1837,Yes,07/03/2021,York - Mountain
336,40,1153,Yes,21/03/2021,London - Mountain
337,47,477,No,19/07/2021,London - Mountaen
338,41,1248,No,04/12/2021,London - Mountain
339,46,984,No,17/09/2021,London - Gravel
340,33,1444,No,07/06/2021,Leeds - Gravle
341,40,1309,Yes,03/03/2021,Birmingham - Road
342,31,1769,Yes,17/02/2021,Leeds - Road
343,33,1081,Yes,01/09/2021,Birmingham - Road
344,34,413,No,18/04/2021,Manchester - Road
345,35,1985,No,19/10/2021,Manchester - Mountain
346,76,1304,No,29/10/2021,York - Mountain
347,46,1093,No,29/03/2021,York - Mountain
348,29,1952,Yes,23/09/2021,York - Mountain
349,37,1915,Yes,17/08/2021,York - Gravel
350,47,461,Yes,06/03/2021,York - Gravel
351,36,1702,No,26/09/2021,London - Road
352,40,981,No,29/08/2021,London - Road
353,47,1898,No,12/01/2021,London - Road
354,35,1428,No,18/02/2021,London - Road
355,45,1715,Yes,02/02/2021,Leeds - Mountain
356,44,1479,Yes,13/07/2021,Birmingham - Mountain
357,47,839,Yes,05/04/2021,Leeds - Mountain
358,39,1429,No,03/11/2021,Birmingham - Mountain
359,28,1682,No,20/05/2021,Manchester - Gravel
360,45,778,No,04/04/2021,Manchester - Gravel
361,38,498,No,24/03/2021,York - Road
362,25,536,Yes,17/06/2021,York - Rood
363,43,1234,Yes,10/10/2021,York - Road
364,26,1983,Yes,02/12/2021,York - Road
365,44,1737,No,24/10/2021,York - Mountain
366,47,1040,No,23/03/2021,London - Mountain
367,28,1027,No,13/04/2021,London - Mountain
368,36,1490,No,11/06/2021,London - Mountain
369,30,1794,Yes,26/08/2021,London - Gravel
370,45,1566,Yes,05/06/2021,Leeds - Gravel
371,41,1427,Yes,20/02/2021,Birmingham - Road
372,27,1420,No,13/11/2021,Leeds - Road
373,28,897,No,26/03/2021,Birmingham - Road
374,32,778,No,24/08/2021,Manchester - Road
375,35,1615,No,12/02/2021,Manchester - Mountain
376,50,1177,Yes,11/02/2021,York - Mountain
377,25,1301,Yes,04/08/2021,York - Mountain
378,25,1848,Yes,07/07/2021,York - Mountain
379,27,1638,No,17/06/2021,York - Gravel
380,26,1134,No,10/10/2021,York - Gravel
381,43,1465,No,20/03/2021,London - Road
382,29,1298,No,27/06/2021,London - Road
383,43,701,Yes,03/10/2021,London - Road
384,50,646,Yes,20/10/2021,London - Road
385,42,1293,Yes,29/05/2021,Leeds - Mountain
386,35,644,No,29/08/2021,York - Mountain
387,27,1411,No,03/04/2021,York - Mountain
388,28,1810,No,05/04/2021,York - Mountain
389,46,1107,No,04/05/2021,York - Gravel
390,48,1226,Yes,13/05/2021,York - Gravel
391,27,1278,Yes,12/08/2021,London - Road
392,50,1968,Yes,18/11/2021,London - Road
393,38,1499,No,05/08/2021,London - Road
394,35,632,No,21/06/2021,London - Road
395,44,1180,No,14/11/2021,Leeds - Mountain
396,34,1565,No,02/03/2021,Birmingham - Mountain
397,36,1941,Yes,15/10/2021,Leeds - Mountain
398,46,1539,Yes,11/09/2021,Birmingham - Mountain
399,34,1695,Yes,16/02/2021,Manchester - Gravel
400,25,1562,No,10/10/2021,Manchester - Gravel
401,49,1262,No,27/11/2021,York - Road
402,44,951,No,06/05/2021,York - Road
403,25,1814,No,10/07/2021,York - Road
404,49,1817,Yes,06/11/2021,York - Road
405,43,1921,Yes,31/07/2021,York - Mountain
406,39,1877,Yes,06/11/2021,London - Mountain
407,47,528,No,19/09/2021,London - Mountain
408,42,1033,No,15/06/2021,London - Mountain
409,47,1145,No,10/07/2021,London - Gravel
410,34,1803,No,06/08/2021,Leeds - Gravel
411,36,616,Yes,03/02/2021,Birmingham - Road
412,49,893,Yes,22/09/2021,Leeds - Road
413,25,478,Yes,01/11/2021,Birmingham - Road
414,43,827,No,08/06/2021,Manchester - Road
415,27,1513,No,12/06/2021,Manchester - Mountain
416,37,1365,No,06/05/2021,York - Mountain
417,46,1610,No,13/03/2021,York - Mountain
418,40,606,Yes,01/03/2021,York - Mountain
419,41,588,Yes,21/02/2021,York - Gravle
420,25,1807,Yes,08/02/2021,York - Gravel
421,36,1621,No,11/05/2021,London - Road
422,37,959,No,31/03/2021,London - Road
423,44,1730,No,05/07/2021,London - Road
424,44,465,No,31/07/2021,London - Road
425,50,1133,Yes,07/10/2021,Leeds - Mountain
426,47,1315,Yes,14/05/2021,Birmingham - Mountain
427,50,1738,Yes,05/10/2021,Leeds - Mountain
428,45,1378,No,11/06/2021,Birmingham - Mountain
429,34,879,No,14/06/2021,Manchester - Gravle
430,39,1816,No,29/11/2021,Manchester - Gravel
431,37,643,No,14/05/2021,York - Road
432,32,1279,Yes,13/04/2021,York - Road
433,31,991,Yes,03/02/2021,York - Road
434,26,884,Yes,21/07/2021,York - Rowd
435,34,850,No,15/07/2021,York - Mountain
436,25,1524,No,27/04/2021,London - Mountain
437,30,1723,No,04/06/2021,London - Mountain
438,35,858,No,23/10/2021,London - Mountain
439,31,405,Yes,20/06/2021,London - Graval
440,31,839,Yes,13/02/2021,Leeds - Gravle
441,26,1500,Yes,02/11/2021,York - Road
442,35,1697,No,15/05/2021,York - Road
443,45,518,No,16/03/2021,York - Road
444,39,1893,No,04/03/2021,York - Road
445,48,1422,No,13/07/2021,York - Mountain
446,29,1573,Yes,11/09/2021,London - Mountain
447,46,1409,Yes,11/09/2021,London - Mountain
448,41,1097,Yes,07/11/2021,London - Mountaen
449,38,1704,No,15/02/2021,London - Gravel
450,32,1145,No,30/06/2021,Leeds - Gravel
451,40,1023,No,26/02/2021,Birmingham - Road
452,26,1864,No,04/10/2021,Leeds - Road
453,35,1574,Yes,01/06/2021,Birmingham - Road
454,45,731,Yes,19/04/2021,Manchester - Road
455,47,1895,Yes,04/10/2021,Manchester - Mountain
456,49,687,No,16/08/2021,York - Mountain
457,33,1731,No,23/04/2021,York - Mountain
458,39,771,No,03/05/2021,York - Mountain
459,33,1473,No,14/02/2021,York - Gravel
460,34,1499,Yes,08/08/2021,York - Gravel
461,36,874,Yes,10/04/2021,London - Road
462,40,406,Yes,04/11/2021,London - Road
463,34,822,No,20/07/2021,London - Road
464,43,463,No,17/09/2021,London - Road
465,38,594,No,12/09/2021,Leeds - Mountain
466,36,559,No,26/06/2021,Birmingham - Mountain
467,30,1397,Yes,07/08/2021,Leeds - Mountain
468,41,651,Yes,28/09/2021,Birmingham - Mountain
469,33,1357,Yes,16/05/2021,Manchester - Gravel
470,27,744,No,22/10/2021,Manchester - Gravel
471,46,1595,No,31/01/2021,York - Rood
472,31,1180,No,15/11/2021,York - Road
473,30,1459,No,05/04/2021,York - Road
474,38,1588,Yes,08/09/2021,York - Road
475,37,401,Yes,23/02/2021,York - Mountain
476,32,1830,Yes,05/08/2021,London - Mountain
477,28,1685,No,08/08/2021,London - Mountain
478,39,1494,No,27/06/2021,London - Mountain
479,47,1434,No,13/05/2021,London - Gravel
480,45,542,No,08/11/2021,Leeds - Gravel
481,38,1158,Yes,11/10/2021,Birmingham - Road
482,47,1835,Yes,23/01/2021,Leeds - Road
483,48,1474,Yes,30/10/2021,Birmingham - Road
484,31,1619,No,08/11/2021,Manchester - Road
485,35,693,No,30/06/2021,Manchester - Mountain
486,41,1892,No,17/06/2021,York - Mountain
487,46,820,No,13/10/2021,York - Mountain
488,25,1599,Yes,17/03/2021,York - Mountain
489,44,1567,Yes,24/06/2021,York - Gravel
490,41,1944,Yes,06/03/2021,York - Gravel
491,28,1147,No,25/05/2021,London - Road
492,42,1859,No,23/11/2021,London - Road
493,31,794,No,21/10/2021,London - Road
494,27,1306,No,07/12/2021,London - Road
495,27,1784,Yes,28/10/2021,Leeds - Mountain
496,25,1302,Yes,30/10/2021,York - Mountain
497,44,437,Yes,23/04/2021,York - Mountain
498,33,940,No,10/11/2021,York - Mountain
499,30,921,No,30/07/2021,York - Gravel
500,31,1378,No,12/01/2021,York - Gravel
501,25,838,No,11/06/2021,London - Road
502,45,1428,Yes,06/10/2021,London - Road
503,32,652,Yes,06/05/2021,London - Road
504,48,1616,Yes,01/07/2021,London - Road
505,34,885,No,15/09/2021,Leeds - Mountain
506,31,1913,No,02/08/2021,Birmingham - Mountain
507,46,742,No,12/03/2021,Leeds - Mountain
508,34,1083,No,17/06/2021,Birmingham - Mountain
509,26,1628,Yes,14/03/2021,Manchester - Gravel
510,32,1234,Yes,08/03/2021,Manchester - Gravel
511,43,1656,Yes,14/09/2021,York - Road
512,33,786,No,12/11/2021,York - Road
513,50,1931,No,30/04/2021,York - Road
514,49,1238,No,23/08/2021,York - Road
515,41,927,No,02/04/2021,York - Mountain
516,43,804,Yes,25/06/2021,London - Mountain
517,44,889,Yes,11/06/2021,London - Mountain
518,38,1489,Yes,03/05/2021,London - Mountain
519,29,989,No,28/07/2021,London - Gravel
520,40,767,No,13/03/2021,Leeds - Gravel
521,41,1301,No,04/04/2021,Birmingham - Road
522,27,574,No,16/06/2021,Leeds - Road
523,33,563,Yes,11/07/2021,Birmingham - Road
524,44,1497,Yes,15/10/2021,Manchester - Road
525,25,903,Yes,09/12/2021,Manchester - Mountain
526,48,417,No,30/05/2021,York - Mountain
527,29,1327,No,26/04/2021,York - Mountain
528,28,1195,No,07/08/2021,York - Mountain
529,26,1687,No,08/05/2021,York - Gravel
530,49,805,Yes,30/05/2021,York - Gravel
531,29,1146,Yes,15/04/2021,London - Road
532,37,803,Yes,05/07/2021,London - Road
533,40,785,No,20/02/2021,London - Road
534,38,524,No,19/10/2021,London - Road
535,48,1599,No,12/07/2021,Leeds - Mountain
536,38,1532,No,14/03/2021,Birmingham - Mountaen
537,37,453,Yes,22/10/2021,Leeds - Mountain
538,30,1137,Yes,14/04/2021,Birmingham - Mountain
539,31,1884,Yes,23/11/2021,Manchester - Graval
540,35,1966,No,17/03/2021,Manchester - Gravel
541,39,1430,No,19/11/2021,York - Road
542,42,1772,No,28/07/2021,York - Road
543,50,1219,No,08/05/2021,York - Road
544,32,955,Yes,12/09/2021,York - Road
545,43,410,Yes,09/06/2021,York - Mountain
546,28,961,Yes,27/04/2021,London - Mountain
547,82,1854,No,02/07/2021,London - Mountain
548,31,1697,No,07/07/2021,London - Mountain
549,40,1507,No,25/02/2021,London - Gravel
550,33,1119,No,05/10/2021,Leeds - Gravel
551,28,1972,Yes,12/02/2021,York - Road
552,39,1609,Yes,25/01/2021,York - Road
553,41,836,Yes,13/07/2021,York - Road
554,35,464,No,21/04/2021,York - Road
555,48,1820,No,18/10/2021,York - Mountain
556,28,1008,No,30/07/2021,London - Mountain
557,50,1312,No,21/10/2021,London - Mountain
558,31,809,Yes,10/02/2021,London - Mountain
559,50,1953,Yes,24/01/2021,London - Gravel
560,38,1605,Yes,11/09/2021,Leeds - Gravel
561,40,1562,No,21/02/2021,Birmingham - Road
562,29,798,No,13/09/2021,Leeds - Road
563,38,1699,No,05/09/2021,Birmingham - Road
564,40,1394,No,25/05/2021,Manchester - Road
565,50,879,Yes,04/07/2021,Manchester - Mountain
566,37,622,Yes,03/04/2021,York - Mountain
567,41,1568,Yes,08/08/2021,York - Mountaen
568,25,990,No,04/10/2021,York - Mountain
569,27,1704,No,09/03/2021,York - Gravel
570,25,1406,No,17/11/2021,York - Gravel
571,29,888,No,18/11/2021,London - Road
572,25,1570,Yes,07/06/2021,London - Road
573,48,1146,Yes,21/10/2021,London - Road
574,39,472,Yes,18/08/2021,London - Road
575,45,1593,No,09/03/2021,Leeds - Mountain
576,34,662,No,10/07/2021,Birmingham - Mountain
577,38,1861,No,22/11/2021,Leeds - Mountain
578,40,1703,No,10/09/2021,Birmingham - Mountain
579,50,652,Yes,28/03/2021,Manchester - Gravel
580,36,1970,Yes,27/05/2021,Manchester - Gravel
581,27,974,Yes,07/11/2021,York - Road
582,33,1375,No,07/04/2021,York - Rowd
583,41,474,No,29/10/2021,York - Road
584,25,1442,No,07/05/2021,York - Road
