Session #,Customer ID,Song Order,Date,Artist,Song
120,0cf9e6,3,07/01/2021 04:05:00,Robbie Williams,Angels
298,cdda70,1,01/02/2021 22:00:00,Estelle Ft. Kanye West,American Boy
298,cdda70,2,01/02/2021 22:03:00,Moana,How Far I’ll Go
298,cdda70,3,01/02/2021 22:06:00,The Proclaimers,I’m Gonna Be (500 Miles)
298,cdda70,4,01/02/2021 22:09:00,Kings Of Leon,Sex Is On Fire
298,cdda70,5,01/02/2021 22:11:00,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
298,cdda70,6,01/02/2021 22:14:00,Lil Nas X,Old Town Road
298,cdda70,7,01/02/2021 22:17:00,Ike And Tina Turner,Proud Mary
298,cdda70,8,01/02/2021 22:19:00,Bon Jovi,Livin’ On A Prayer
78,140940,1,02/01/2021 04:00:00,Mark Ronson Ft. Amy Winehouse,Valerie
78,140940,2,02/01/2021 04:03:00,Elton John,Your Song
284,31034a,1,29/01/2021 15:00:00,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
284,31034a,2,29/01/2021 15:03:00,Frozen,Let It Go
284,31034a,3,29/01/2021 15:05:00,Dolly Parton,Jolene
284,31034a,4,29/01/2021 15:07:00,Ed Sheeran,Castle On The Hill
284,31034a,5,29/01/2021 15:10:00,A-Ha,Take On Me
284,31034a,6,29/01/2021 15:12:00,Backstreet Boys,Everybody
18,6eb0e1,1,24/12/2020 16:00:00,Oasis,Don’t Look Back In Anger
18,6eb0e1,2,24/12/2020 16:03:00,Shania Twain,Man! I Feel Like A Woman
18,6eb0e1,3,24/12/2020 16:06:00,Frozen,Let It Go
18,6eb0e1,4,24/12/2020 16:08:00,Pinkfong,Baby Shark
18,6eb0e1,5,24/12/2020 16:11:00,High School Musical,Breaking Free
18,6eb0e1,6,24/12/2020 16:14:00,Bryan Adams,Summer Of ’69
18,6eb0e1,7,24/12/2020 16:17:00,Ed Sheeran,Shape Of You
18,6eb0e1,8,24/12/2020 16:20:00,Dirty Dancing,The Time Of My Life
18,6eb0e1,9,24/12/2020 16:23:00,Ed Sheeran & Justin Bieber,I Don’t Care
18,6eb0e1,10,24/12/2020 16:26:00,Lewis Capaldi,Someone You Loved
114,4b11b8,1,06/01/2021 10:00:00,Oasis,Wonderwall
288,896f04,1,30/01/2021 20:00:00,Frank Sinatra,My Way
288,896f04,2,30/01/2021 20:03:00,Estelle Ft. Kanye West,American Boy
288,896f04,3,30/01/2021 20:06:00,Mariah Carey,All I Want For Christmas Is You
288,896f04,4,30/01/2021 20:08:00,Estelle Ft. Kanye West,American Boy
173,abae4d,1,13/01/2021 19:00:00,Dolly Parton,Jolene
168,75594b,1,12/01/2021 22:00:00,Alexandra Burke,Hallelujah
20,bdc39c,1,25/12/2020 03:00:00,Backstreet Boys,Everybody
20,bdc39c,2,25/12/2020 03:02:00,Dolly Parton,Jolene
20,bdc39c,3,25/12/2020 03:04:00,Dua Lipa,New Rules
20,bdc39c,4,25/12/2020 03:07:00,Loren Allred,Never Enough (The Greatest Showman)
20,bdc39c,5,25/12/2020 03:09:00,John Denver,"Take Me Home, Country Roads"
20,bdc39c,6,25/12/2020 03:12:00,TLC,No Scrubs
20,bdc39c,7,25/12/2020 03:15:00,Lil Nas X,Old Town Road
20,bdc39c,8,25/12/2020 03:18:00,The Lion King,I Just Can’t Wait To Be King
20,bdc39c,9,25/12/2020 03:20:00,The Little Mermaid,Part Of Your World
20,bdc39c,10,25/12/2020 03:23:00,The Lion King,I Just Can’t Wait To Be King
20,bdc39c,11,25/12/2020 03:25:00,A-Ha,Take On Me
20,bdc39c,12,25/12/2020 03:27:00,Grease,Summer Nights
157,749ebe,1,11/01/2021 11:00:00,Aladdin,A Whole New World
65,2bb0da,1,31/12/2020 17:00:00,Shania Twain,Man! I Feel Like A Woman
275,758060,1,27/01/2021 14:00:00,Gloria Gaynor,I Will Survive
176,8bc93d,1,14/01/2021 05:00:00,Dolly Parton,Jolene
176,8bc93d,2,14/01/2021 05:02:00,Dirty Dancing,The Time Of My Life
176,8bc93d,3,14/01/2021 05:05:00,Backstreet Boys,Everybody
199,b0c352,1,17/01/2021 10:00:00,Tones And I,Dance Monkey
199,b0c352,2,17/01/2021 10:03:00,Mark Ronson Ft. Amy Winehouse,Valerie
199,b0c352,3,17/01/2021 10:06:00,John Denver,"Take Me Home, Country Roads"
199,b0c352,4,17/01/2021 10:09:00,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
199,b0c352,5,17/01/2021 10:12:00,Loren Allred,Never Enough (The Greatest Showman)
199,b0c352,6,17/01/2021 10:14:00,High School Musical,Breaking Free
234,2bb0da,1,22/01/2021 05:00:00,The Little Mermaid,Part Of Your World
234,2bb0da,2,22/01/2021 05:03:00,Alexandra Burke,Hallelujah
234,2bb0da,3,22/01/2021 05:06:00,Bonnie Tyler,Total Eclipse Of The Heart
234,2bb0da,4,22/01/2021 05:09:00,The Beatles,Hey Jude
234,2bb0da,5,22/01/2021 05:12:00,Estelle Ft. Kanye West,American Boy
32,cd2834,1,27/12/2020 06:00:00,Ed Sheeran,Perfect
180,2f626e,1,14/01/2021 16:00:00,Frank Sinatra,My Way
180,2f626e,2,14/01/2021 16:03:00,ABBA,Dancing Queen
49,b919e0,1,29/12/2020 20:00:00,Ava Max,Sweet But Psycho
49,b919e0,2,29/12/2020 20:03:00,ABBA,Gimme Gimme Gimme
115,98b4b4,1,06/01/2021 11:00:00,Gloria Gaynor,I Will Survive
115,98b4b4,2,06/01/2021 11:02:00,Billie Eilish,Bad Guy
115,98b4b4,3,06/01/2021 11:04:00,Elvis Presley,Suspicious Minds
115,98b4b4,4,06/01/2021 11:07:00,Kesha,This Is Me (Greatest Showman)
289,80244a,1,31/01/2021 00:00:00,Ike And Tina Turner,Proud Mary
289,80244a,2,31/01/2021 00:02:00,George Ezra,Shotgun
289,80244a,3,31/01/2021 00:04:00,Lil Nas X,Old Town Road
289,80244a,4,31/01/2021 00:07:00,Britney Spears,Toxic
240,01fc7c,1,22/01/2021 20:00:00,The Lion King,Can You Feel The Love Tonight
240,01fc7c,2,22/01/2021 20:02:00,Dolly Parton,Jolene
240,01fc7c,3,22/01/2021 20:04:00,Dirty Dancing,The Time Of My Life
240,01fc7c,4,22/01/2021 20:07:00,Backstreet Boys,Everybody
240,01fc7c,5,22/01/2021 20:09:00,Outkast,Hey Ya
240,01fc7c,6,22/01/2021 20:12:00,Little Mix,Shout Out To My Ex
149,74e4cd,1,10/01/2021 19:00:00,The Little Mermaid,Part Of Your World
149,74e4cd,2,10/01/2021 19:03:00,Eminem,Lose Yourself
149,74e4cd,3,10/01/2021 19:06:00,Oasis,Wonderwall
149,74e4cd,4,10/01/2021 19:08:00,Will Smith,The Fresh Prince Of Bel Air
62,0b032a,1,31/12/2020 08:00:00,Mariah Carey,All I Want For Christmas Is You
244,316313,1,23/01/2021 13:00:00,Wheatus,Teenage Dirtbag
244,316313,2,23/01/2021 13:03:00,Bonnie Tyler,Total Eclipse Of The Heart
244,316313,3,23/01/2021 13:06:00,Pinkfong,Baby Shark
217,47a375,1,19/01/2021 21:00:00,Vanilla Ice,Ice Ice Baby
217,47a375,2,19/01/2021 21:03:00,Bryan Adams,Summer Of ’69
217,47a375,3,19/01/2021 21:06:00,Queen,I Want To Break Free
33,3fdc46,1,27/12/2020 07:00:00,High School Musical,Breaking Free
33,3fdc46,2,27/12/2020 07:03:00,Dolly Parton,9 To 5
158,14e19f,1,11/01/2021 12:00:00,Frozen,Let It Go
242,2e5db7,1,23/01/2021 07:00:00,Lil Nas X,Old Town Road
242,2e5db7,2,23/01/2021 07:03:00,Anne-Marie,2002
242,2e5db7,3,23/01/2021 07:06:00,ABBA,Gimme Gimme Gimme
151,7caaf5,1,11/01/2021 00:00:00,Queen,I Want To Break Free
151,7caaf5,2,11/01/2021 00:03:00,Whitney Houston,I Wanna Dance With Somebody
151,7caaf5,3,11/01/2021 00:06:00,The Lion King,I Just Can’t Wait To Be King
151,7caaf5,4,11/01/2021 00:08:00,Billie Eilish,Bad Guy
151,7caaf5,5,11/01/2021 00:10:00,Backstreet Boys,Everybody
112,140940,1,06/01/2021 01:00:00,Neil Diamond,Sweet Caroline
112,140940,2,06/01/2021 01:03:00,TLC,No Scrubs
112,140940,3,06/01/2021 01:06:00,Aladdin,A Whole New World
290,b15e9b,1,31/01/2021 04:00:00,John Denver,"Take Me Home, Country Roads"
290,b15e9b,2,31/01/2021 04:03:00,TLC,No Scrubs
290,b15e9b,3,31/01/2021 04:06:00,Journey,Don’t Stop Believin’
290,b15e9b,4,31/01/2021 04:09:00,Kesha,This Is Me (Greatest Showman)
290,b15e9b,5,31/01/2021 04:12:00,Toto,Africa
290,b15e9b,6,31/01/2021 04:15:00,Backstreet Boys,Everybody
290,b15e9b,7,31/01/2021 04:17:00,Spice Girls,Wannabe
290,b15e9b,8,31/01/2021 04:19:00,Outkast,Hey Ya
290,b15e9b,9,31/01/2021 04:22:00,Queen,I Want To Break Free
290,b15e9b,10,31/01/2021 04:25:00,The Pogues,Fairytale Of New York
136,8dc987,1,09/01/2021 12:00:00,Wham!,Last Christmas
136,8dc987,2,09/01/2021 12:02:00,ABBA,Mamma Mia
136,8dc987,3,09/01/2021 12:04:00,Mark Ronson Ft. Bruno Mars,Uptown Funk
136,8dc987,4,09/01/2021 12:07:00,Wham!,Last Christmas
136,8dc987,5,09/01/2021 12:09:00,Spice Girls,Wannabe
143,47a375,1,10/01/2021 08:00:00,Dua Lipa,New Rules
143,47a375,2,10/01/2021 08:03:00,Dolly Parton & Kenny Rogers,Islands In The Stream
68,732ed3,1,31/12/2020 23:00:00,Beyonce,Single Ladies (Put A Ring On It)
68,732ed3,2,31/12/2020 23:03:00,Outkast,Hey Ya
68,732ed3,3,31/12/2020 23:06:00,Oasis,Don’t Look Back In Anger
68,732ed3,4,31/12/2020 23:09:00,Robbie Williams,Angels
68,732ed3,5,31/12/2020 23:12:00,Moana,How Far I’ll Go
278,08c83a,1,28/01/2021 00:00:00,Journey,Don’t Stop Believin’
278,08c83a,2,28/01/2021 00:03:00,Moana,How Far I’ll Go
278,08c83a,3,28/01/2021 00:06:00,Wheatus,Teenage Dirtbag
278,08c83a,4,28/01/2021 00:09:00,Alexandra Burke,Hallelujah
278,08c83a,5,28/01/2021 00:12:00,Queen,We Will Rock You
278,08c83a,6,28/01/2021 00:15:00,Ed Sheeran & Justin Bieber,I Don’t Care
278,08c83a,7,28/01/2021 00:18:00,Toto,Africa
278,08c83a,8,28/01/2021 00:21:00,Robbie Williams,Angels
278,08c83a,9,28/01/2021 00:24:00,George Ezra,Shotgun
278,08c83a,10,28/01/2021 00:26:00,Beyonce,Single Ladies (Put A Ring On It)
278,08c83a,11,28/01/2021 00:29:00,The Pogues,Fairytale Of New York
252,d93ab5,1,24/01/2021 09:00:00,Ike And Tina Turner,Proud Mary
252,d93ab5,2,24/01/2021 09:02:00,A-Ha,Take On Me
252,d93ab5,3,24/01/2021 09:04:00,Frozen,Let It Go
252,d93ab5,4,24/01/2021 09:06:00,ABBA,Dancing Queen
252,d93ab5,5,24/01/2021 09:08:00,Dolly Parton,9 To 5
252,d93ab5,6,24/01/2021 09:10:00,Outkast,Hey Ya
252,d93ab5,7,24/01/2021 09:13:00,TLC,No Scrubs
171,a0a25c,1,13/01/2021 08:00:00,The Lion King,Can You Feel The Love Tonight
171,a0a25c,2,13/01/2021 08:02:00,Elton John,Your Song
171,a0a25c,3,13/01/2021 08:04:00,Ike And Tina Turner,Proud Mary
223,0becb9,1,20/01/2021 16:00:00,Britney Spears,Baby One More Time
223,0becb9,2,20/01/2021 16:02:00,Backstreet Boys,I Want It That Way
223,0becb9,3,20/01/2021 16:04:00,Ava Max,Sweet But Psycho
129,1d80ad,1,08/01/2021 19:00:00,Frank Sinatra,New York New York
69,793a1c,1,01/01/2021 04:00:00,The Proclaimers,I’m Gonna Be (500 Miles)
69,793a1c,2,01/01/2021 04:03:00,The Lion King,I Just Can’t Wait To Be King
279,bdc39c,1,28/01/2021 11:00:00,The Lion King,Hakuna Matata
279,bdc39c,2,28/01/2021 11:02:00,Little Mix,Shout Out To My Ex
279,bdc39c,3,28/01/2021 11:05:00,Beyonce,Single Ladies (Put A Ring On It)
212,8c876d,1,19/01/2021 02:00:00,Dua Lipa,New Rules
212,8c876d,2,19/01/2021 02:03:00,Camilla Cabello Ft. Young Thug,Havana
140,c01ecb,1,10/01/2021 01:00:00,Lady Gaga & Bradley Cooper,Shallow
1,cd2834,1,22/12/2020 14:00:00,Wham!,Last Christmas
88,,1,03/01/2021 08:00:00,Dua Lipa,New Rules
88,,2,03/01/2021 08:03:00,The Weather Girls,It’s Raining Men
266,98b4b4,1,26/01/2021 01:00:00,Little Mix,Shout Out To My Ex
266,98b4b4,2,26/01/2021 01:03:00,A-Ha,Take On Me
266,98b4b4,3,26/01/2021 01:05:00,Ava Max,Sweet But Psycho
266,98b4b4,4,26/01/2021 01:08:00,Billie Eilish,Bad Guy
266,98b4b4,5,26/01/2021 01:10:00,Taylor Swift,Shake It Off
266,98b4b4,6,26/01/2021 01:12:00,Dolly Parton,9 To 5
23,793a1c,1,25/12/2020 17:00:00,Eminem,Lose Yourself
23,793a1c,2,25/12/2020 17:03:00,Elton John & Kiki Dee,Don’t Go Breaking My Heart
23,793a1c,3,25/12/2020 17:05:00,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
81,a242ac,1,02/01/2021 14:00:00,Guns N’ Roses,Sweet Child O’ Mine
81,a242ac,2,02/01/2021 14:02:00,Mark Ronson Ft. Amy Winehouse,Valerie
81,a242ac,3,02/01/2021 14:05:00,Will Smith,The Fresh Prince Of Bel Air
81,a242ac,4,02/01/2021 14:07:00,Queen,We Will Rock You
81,a242ac,5,02/01/2021 14:10:00,Ed Sheeran,Shape Of You
81,a242ac,6,02/01/2021 14:13:00,Spice Girls,Wannabe
81,a242ac,7,02/01/2021 14:15:00,Eminem,Lose Yourself
81,a242ac,8,02/01/2021 14:18:00,Lil Nas X,Old Town Road
259,08c83a,1,25/01/2021 12:00:00,The Beatles,Hey Jude
192,7da7c9,1,16/01/2021 09:00:00,George Ezra,Shotgun
192,7da7c9,2,16/01/2021 09:02:00,Backstreet Boys,I Want It That Way
192,7da7c9,3,16/01/2021 09:04:00,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
192,7da7c9,4,16/01/2021 09:07:00,Elton John,Your Song
43,90980,1,28/12/2020 17:00:00,Grease,Summer Nights
43,90980,2,28/12/2020 17:02:00,Mark Ronson Ft. Amy Winehouse,Valerie
43,90980,3,28/12/2020 17:05:00,Ed Sheeran & Justin Bieber,I Don’t Care
163,6eb0e1,1,11/01/2021 22:00:00,Britney Spears,Toxic
193,c02782,1,16/01/2021 13:00:00,Frank Sinatra,My Way
193,c02782,2,16/01/2021 13:03:00,The Pogues,Fairytale Of New York
193,c02782,3,16/01/2021 13:05:00,Queen,Don’t Stop Me Now
21,b5f816,1,25/12/2020 15:00:00,Ed Sheeran,Shape Of You
167,a2bde8,1,12/01/2021 19:00:00,Bryan Adams,Summer Of ’69
167,a2bde8,2,12/01/2021 19:03:00,Ava Max,Sweet But Psycho
167,a2bde8,3,12/01/2021 19:06:00,Queen,We Will Rock You
103,a8ed24,1,04/01/2021 23:00:00,Grease,You’re The One That I Want
103,a8ed24,2,04/01/2021 23:02:00,High School Musical,Breaking Free
224,14e19f,1,20/01/2021 19:00:00,ABBA,Dancing Queen
224,14e19f,2,20/01/2021 19:02:00,Cher,Believe
224,14e19f,3,20/01/2021 19:05:00,Lewis Capaldi,Someone You Loved
224,14e19f,4,20/01/2021 19:08:00,Ed Sheeran,Shape Of You
224,14e19f,5,20/01/2021 19:11:00,Beyonce,Single Ladies (Put A Ring On It)
247,452d87,1,23/01/2021 18:00:00,Oasis,Don’t Look Back In Anger
134,896f04,1,09/01/2021 08:00:00,Gloria Gaynor,I Will Survive
139,509ec8,1,09/01/2021 21:00:00,The Lion King,Can You Feel The Love Tonight
139,509ec8,2,09/01/2021 21:02:00,Kesha,This Is Me (Greatest Showman)
139,509ec8,3,09/01/2021 21:05:00,The Weather Girls,It’s Raining Men
139,509ec8,4,09/01/2021 21:07:00,Ava Max,Sweet But Psycho
187,0b032a,1,15/01/2021 13:00:00,Dolly Parton,Jolene
187,0b032a,2,15/01/2021 13:02:00,Luis Fonsi & Daddy Yankee,Despacito
187,0b032a,3,15/01/2021 13:04:00,Outkast,Hey Ya
187,0b032a,4,15/01/2021 13:07:00,Frozen,Let It Go
250,498a45,1,24/01/2021 04:00:00,Little Mix,Shout Out To My Ex
195,74e4cd,1,16/01/2021 20:00:00,Elton John,Your Song
70,80244a,1,01/01/2021 06:00:00,Frozen,Let It Go
70,80244a,2,01/01/2021 06:02:00,Ava Max,Sweet But Psycho
70,80244a,3,01/01/2021 06:05:00,The Lion King,Can You Feel The Love Tonight
70,80244a,4,01/01/2021 06:07:00,Loren Allred,Never Enough (The Greatest Showman)
70,80244a,5,01/01/2021 06:09:00,Outkast,Hey Ya
70,80244a,6,01/01/2021 06:12:00,Will Smith,The Fresh Prince Of Bel Air
276,62f99c,1,27/01/2021 15:00:00,Outkast,Hey Ya
276,62f99c,2,27/01/2021 15:03:00,Anne-Marie,2002
276,62f99c,3,27/01/2021 15:06:00,ABBA,Mamma Mia
2,2de3d7,1,22/12/2020 15:00:00,Dolly Parton,9 To 5
2,2de3d7,2,22/12/2020 15:02:00,Camilla Cabello Ft. Young Thug,Havana
2,2de3d7,3,22/12/2020 15:04:00,Moana,How Far I’ll Go
63,ffa716,1,31/12/2020 09:00:00,Elton John,Your Song
63,ffa716,2,31/12/2020 09:02:00,Little Mix,Shout Out To My Ex
63,ffa716,3,31/12/2020 09:05:00,The Human League,Don’t You Want Me Baby
63,ffa716,4,31/12/2020 09:08:00,Bon Jovi,Livin’ On A Prayer
64,ef2c80,1,31/12/2020 13:00:00,Oasis,Don’t Look Back In Anger
64,ef2c80,2,31/12/2020 13:03:00,Elton John & Kiki Dee,Don’t Go Breaking My Heart
64,ef2c80,3,31/12/2020 13:05:00,Bon Jovi,Livin’ On A Prayer
64,ef2c80,4,31/12/2020 13:07:00,The Lion King,Hakuna Matata
274,5ddb51,1,27/01/2021 03:00:00,ABBA,Dancing Queen
274,5ddb51,2,27/01/2021 03:02:00,The Lion King,I Just Can’t Wait To Be King
274,5ddb51,3,27/01/2021 03:04:00,Mark Ronson Ft. Amy Winehouse,Valerie
274,5ddb51,4,27/01/2021 03:07:00,A-Ha,Take On Me
274,5ddb51,5,27/01/2021 03:09:00,ABBA,Dancing Queen
274,5ddb51,6,27/01/2021 03:11:00,Wheatus,Teenage Dirtbag
274,5ddb51,7,27/01/2021 03:14:00,Eminem,Lose Yourself
274,5ddb51,8,27/01/2021 03:17:00,The Weather Girls,It’s Raining Men
274,5ddb51,9,27/01/2021 03:19:00,Luis Fonsi & Daddy Yankee,Despacito
274,5ddb51,10,27/01/2021 03:21:00,Lewis Capaldi,Someone You Loved
274,5ddb51,11,27/01/2021 03:24:00,The Proclaimers,I’m Gonna Be (500 Miles)
230,0ec5f7,1,21/01/2021 15:00:00,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
230,0ec5f7,2,21/01/2021 15:02:00,Mark Ronson Ft. Bruno Mars,Uptown Funk
255,,1,24/01/2021 23:00:00,A-Ha,Take On Me
29,b919e0,1,26/12/2020 19:00:00,ABBA,Mamma Mia
39,19c2ae,1,27/12/2020 20:00:00,Ed Sheeran,Perfect
39,19c2ae,2,27/12/2020 20:02:00,The Little Mermaid,Part Of Your World
39,19c2ae,3,27/12/2020 20:05:00,Bonnie Tyler,Total Eclipse Of The Heart
39,19c2ae,4,27/12/2020 20:08:00,Aladdin,A Whole New World
39,19c2ae,5,27/12/2020 20:11:00,Luis Fonsi & Daddy Yankee,Despacito
39,19c2ae,6,27/12/2020 20:13:00,Estelle Ft. Kanye West,American Boy
39,19c2ae,7,27/12/2020 20:16:00,The Human League,Don’t You Want Me Baby
219,8dc987,1,20/01/2021 01:00:00,Destiny’s Child,Say My Name
219,8dc987,2,20/01/2021 01:02:00,ABBA,Gimme Gimme Gimme
219,8dc987,3,20/01/2021 01:04:00,Moana,How Far I’ll Go
178,,1,14/01/2021 14:00:00,Taylor Swift,Shake It Off
104,758060,1,05/01/2021 01:00:00,Shania Twain,Man! I Feel Like A Woman
153,058fcc,1,11/01/2021 06:00:00,Elton John,Your Song
153,058fcc,2,11/01/2021 06:02:00,Aladdin,A Whole New World
206,aa0846,1,18/01/2021 05:00:00,The Lion King,I Just Can’t Wait To Be King
206,aa0846,2,18/01/2021 05:02:00,ABBA,Gimme Gimme Gimme
206,aa0846,3,18/01/2021 05:04:00,Outkast,Hey Ya
206,aa0846,4,18/01/2021 05:07:00,Destiny’s Child,Say My Name
84,40581f,1,03/01/2021 01:00:00,Neil Diamond,Sweet Caroline
262,f97dbd,1,25/01/2021 15:00:00,Queen,I Want To Break Free
262,f97dbd,2,25/01/2021 15:03:00,A-Ha,Take On Me
239,b0b55f,1,22/01/2021 19:00:00,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
183,74e4cd,1,14/01/2021 21:00:00,Dirty Dancing,The Time Of My Life
183,74e4cd,2,14/01/2021 21:03:00,Elton John & Kiki Dee,Don’t Go Breaking My Heart
202,452d87,1,17/01/2021 19:00:00,Luis Fonsi & Daddy Yankee,Despacito
202,452d87,2,17/01/2021 19:02:00,Wham!,Last Christmas
11,2e5db7,1,24/12/2020 01:00:00,John Denver,"Take Me Home, Country Roads"
83,bf513b,1,02/01/2021 23:00:00,Moana,How Far I’ll Go
83,bf513b,2,02/01/2021 23:03:00,Loren Allred,Never Enough (The Greatest Showman)
257,bfe6b6,1,25/01/2021 04:00:00,Ed Sheeran & Justin Bieber,I Don’t Care
257,bfe6b6,2,25/01/2021 04:03:00,Backstreet Boys,I Want It That Way
257,bfe6b6,3,25/01/2021 04:05:00,Eminem,Lose Yourself
257,bfe6b6,4,25/01/2021 04:08:00,Robbie Williams,Angels
257,bfe6b6,5,25/01/2021 04:11:00,Anne-Marie,2002
257,bfe6b6,6,25/01/2021 04:14:00,The Little Mermaid,Part Of Your World
257,bfe6b6,7,25/01/2021 04:17:00,Shawn Mendes & Camila Cabello,Senorita
216,bdc39c,1,19/01/2021 19:00:00,Eminem,Lose Yourself
216,bdc39c,2,19/01/2021 19:03:00,ABBA,Mamma Mia
228,15885d,1,21/01/2021 11:00:00,The Lion King,Can You Feel The Love Tonight
34,817c35,1,27/12/2020 09:00:00,George Ezra,Shotgun
34,817c35,2,27/12/2020 09:02:00,Dua Lipa,New Rules
201,8c876d,1,17/01/2021 17:00:00,Ariana Grande,7 Rings
201,8c876d,2,17/01/2021 17:03:00,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
237,301133,1,22/01/2021 14:00:00,The Pogues,Fairytale Of New York
237,301133,2,22/01/2021 14:02:00,Cher,Believe
237,301133,3,22/01/2021 14:05:00,The Proclaimers,I’m Gonna Be (500 Miles)
237,301133,4,22/01/2021 14:08:00,Backstreet Boys,I Want It That Way
238,b5f816,1,22/01/2021 18:00:00,Frozen,Let It Go
108,f17170,1,05/01/2021 13:00:00,Queen,Don’t Stop Me Now
80,3fdc46,1,02/01/2021 09:00:00,The Greatest Showman,A Million Dreams
80,3fdc46,2,02/01/2021 09:03:00,Aqua,Barbie Girl
80,3fdc46,3,02/01/2021 09:05:00,Ed Sheeran,Castle On The Hill
80,3fdc46,4,02/01/2021 09:08:00,Robbie Williams,Angels
80,3fdc46,5,02/01/2021 09:11:00,Toto,Africa
258,,1,25/01/2021 11:00:00,Britney Spears,Toxic
241,6640b1,1,23/01/2021 02:00:00,Pinkfong,Baby Shark
241,6640b1,2,23/01/2021 02:03:00,Pinkfong,Baby Shark
241,6640b1,3,23/01/2021 02:06:00,Anne-Marie,2002
241,6640b1,4,23/01/2021 02:09:00,Queen,Don’t Stop Me Now
181,058fcc,1,14/01/2021 18:00:00,Ike And Tina Turner,Proud Mary
181,058fcc,2,14/01/2021 18:02:00,Neil Diamond,Sweet Caroline
142,509ec8,1,10/01/2021 04:00:00,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
142,509ec8,2,10/01/2021 04:03:00,ABBA,Waterloo
142,509ec8,3,10/01/2021 04:06:00,John Denver,"Take Me Home, Country Roads"
142,509ec8,4,10/01/2021 04:09:00,Elvis Presley,Suspicious Minds
218,498a45,1,20/01/2021 00:00:00,The Little Mermaid,Under The Sea
38,41c5b3,1,27/12/2020 18:00:00,Kesha,This Is Me (Greatest Showman)
38,41c5b3,2,27/12/2020 18:03:00,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
5,aa0846,1,22/12/2020 23:00:00,Lil Nas X,Old Town Road
5,aa0846,2,22/12/2020 23:03:00,ABBA,Dancing Queen
5,aa0846,3,22/12/2020 23:05:00,Alexandra Burke,Hallelujah
5,aa0846,4,22/12/2020 23:08:00,Aladdin,A Whole New World
5,aa0846,5,22/12/2020 23:11:00,Loren Allred,Never Enough (The Greatest Showman)
5,aa0846,6,22/12/2020 23:13:00,Aqua,Barbie Girl
5,aa0846,7,22/12/2020 23:15:00,Vanilla Ice,Ice Ice Baby
