Trade Order,Sector,Purchase Price,Previous_Trades
604,Capital Goods,76585.29,12
605,Capital Goods,55108.31,13
606,Capital Goods,85249.33,14
607,Capital Goods,75381.45,15
608,Capital Goods,32408.01,16
609,Capital Goods,78632.09,17
610,Capital Goods,56522.97,18
611,Capital Goods,51079.33,19
612,Capital Goods,5767.69,20
613,Capital Goods,57498.12,21
614,Capital Goods,10969.49,22
615,Capital Goods,40007.57,23
616,Capital Goods,5485.29,24
617,Capital Goods,71198.27,25
618,Capital Goods,46928.52,26
619,Capital Goods,42478.57,27
620,Capital Goods,70991.46,28
621,Capital Goods,13518.24,29
622,Capital Goods,31594.05,30
623,Capital Goods,78291.81,31
624,Capital Goods,7695.56,32
625,Capital Goods,70628.86,33
626,Capital Goods,75357.02,34
627,Capital Goods,82889.76,35
628,Capital Goods,72159.36,36
629,Capital Goods,63294.83,37
630,Capital Goods,40205.85,38
631,Capital Goods,75041.97,39
632,Capital Goods,81956.36,40
633,Capital Goods,47461.04,41
634,Capital Goods,5291.89,42
635,Capital Goods,78575.05,43
636,Capital Goods,91982.04,44
637,Capital Goods,48873.06,45
638,Capital Goods,97025.19,46
639,Capital Goods,51362.56,47
640,Capital Goods,32553.72,48
641,Capital Goods,44432.13,49
642,Capital Goods,96035.78,50
643,Capital Goods,11105.44,51
644,Capital Goods,55604.1,52
645,Capital Goods,11367.47,53
646,Capital Goods,34401.39,54
647,Capital Goods,46681.46,55
648,Capital Goods,86701.02,56
649,Capital Goods,85754.06,57
650,Capital Goods,10580.58,58
651,Capital Goods,65816.72,59
652,Capital Goods,25498.97,60
653,Capital Goods,26718.29,61
654,Capital Goods,89893.36,62
655,Capital Goods,81258.6,63
656,Capital Goods,37831.9,64
657,Capital Goods,69061.31,65
658,Capital Goods,48858.34,66
659,Capital Goods,13116.62,67
660,Capital Goods,12410.32,68
661,Capital Goods,98615.62,69
662,Capital Goods,3909.0,70
663,Capital Goods,21090.16,71
664,Capital Goods,27274.62,72
665,Capital Goods,62965.91,73
666,Capital Goods,93181.53,74
667,Capital Goods,88006.25,75
668,Capital Goods,92779.4,76
669,Capital Goods,77585.29,77
670,Capital Goods,46538.62,78
671,Capital Goods,6551.15,79
672,Capital Goods,1094.12,80
673,Capital Goods,28753.87,81
674,Capital Goods,44191.91,82
675,Capital Goods,69618.44,83
676,Capital Goods,64219.75,84
677,Capital Goods,78375.88,85
678,Capital Goods,90918.59,86
679,Capital Goods,77639.01,87
680,Capital Goods,60447.0,88
681,Capital Goods,1409.97,89
682,Capital Goods,9797.43,90
683,Capital Goods,277.44,91
684,Capital Goods,68222.13,92
685,Capital Goods,47862.89,93
686,Capital Goods,99977.7,94
687,Capital Goods,84998.31,95
688,Capital Goods,10298.59,96
689,Capital Goods,13122.38,97
690,Capital Goods,50709.72,98
691,Capital Goods,75739.86,99
692,Capital Goods,2508.8,100
174,Consumer Durables,23482.33,1
175,Consumer Durables,4982.68,2
176,Consumer Durables,63888.32,3
177,Consumer Durables,88700.9,4
178,Consumer Durables,13597.57,5
179,Consumer Durables,32407.77,6
180,Consumer Durables,72965.48,7
181,Consumer Durables,17245.72,8
182,Consumer Durables,48955.83,9
183,Consumer Durables,92784.17,10
184,Consumer Durables,2296.89,11
185,Consumer Durables,66589.62,12
186,Consumer Durables,86608.14,13
187,Consumer Durables,95026.33,14
188,Consumer Durables,36445.74,15
189,Consumer Durables,1020.06,16
190,Consumer Durables,40608.48,17
191,Consumer Durables,96194.37,18
192,Consumer Durables,44870.44,19
193,Consumer Durables,39550.95,20
194,Consumer Durables,91097.74,21
195,Consumer Durables,74248.21,22
196,Consumer Durables,6930.73,23
197,Consumer Durables,40983.14,24
198,Consumer Durables,39993.1,25
199,Consumer Durables,42812.97,26
200,Consumer Durables,37928.67,27
201,Consumer Durables,75300.59,28
202,Consumer Durables,67772.73,29
203,Consumer Durables,85429.35,30
204,Consumer Durables,59238.24,31
205,Consumer Durables,78451.07,32
206,Consumer Durables,79279.73,33
207,Consumer Durables,15293.33,34
208,Consumer Durables,69270.38,35
209,Consumer Durables,60448.27,36
210,Consumer Durables,44825.7,37
211,Consumer Durables,15637.86,38
212,Consumer Durables,45434.56,39
213,Consumer Durables,55983.5,40
214,Consumer Durables,42242.57,41
215,Consumer Durables,64470.55,42
216,Consumer Durables,60980.96,43
217,Consumer Durables,93962.68,44
218,Consumer Durables,5272.16,45
219,Consumer Durables,80034.36,46
220,Consumer Durables,71135.59,47
221,Consumer Durables,33535.95,48
222,Consumer Durables,18876.04,49
223,Consumer Durables,61242.8,50
224,Consumer Durables,81874.44,51
225,Consumer Durables,88679.37,52
226,Consumer Durables,57355.67,53
227,Consumer Durables,95258.35,54
228,Consumer Durables,60473.65,55
229,Consumer Durables,91320.97,56
230,Consumer Durables,62722.73,57
231,Consumer Durables,97289.79,58
232,Consumer Durables,92559.31,59
233,Consumer Durables,95132.17,60
234,Consumer Durables,59785.6,61
235,Consumer Durables,78893.72,62
236,Consumer Durables,43475.36,63
237,Consumer Durables,94057.48,64
238,Consumer Durables,59181.75,65
239,Consumer Durables,16581.32,66
240,Consumer Durables,60781.76,67
241,Consumer Durables,36993.98,68
242,Consumer Durables,72045.32,69
243,Consumer Durables,86476.49,70
244,Consumer Durables,8446.64,71
245,Consumer Durables,10783.38,72
246,Consumer Durables,94637.35,73
247,Consumer Durables,55884.46,74
248,Consumer Durables,71721.95,75
249,Consumer Durables,43238.73,76
250,Consumer Durables,33950.05,77
251,Consumer Durables,39892.81,78
252,Consumer Durables,42355.25,79
253,Consumer Durables,97372.45,80
254,Consumer Durables,12780.21,81
255,Consumer Durables,35690.09,82
256,Consumer Durables,87904.49,83
257,Consumer Durables,16515.47,84
258,Consumer Durables,96612.8,85
259,Consumer Durables,54759.06,86
260,Consumer Durables,82172.38,87
261,Consumer Durables,37711.07,88
262,Consumer Durables,63303.59,89
263,Consumer Durables,14640.45,90
264,Consumer Durables,46970.15,91
265,Consumer Durables,58980.26,92
266,Consumer Durables,266.91,93
267,Consumer Durables,91143.73,94
268,Consumer Durables,11846.34,95
269,Consumer Durables,95753.77,96
270,Consumer Durables,26145.82,97
271,Consumer Durables,58052.93,98
272,Consumer Durables,8944.42,99
273,Consumer Durables,62579.49,100
318,Consumer Non-Durables,20746.0,1
319,Consumer Non-Durables,97151.46,2
320,Consumer Non-Durables,64523.37,3
321,Consumer Non-Durables,98740.9,4
322,Consumer Non-Durables,50116.58,5
323,Consumer Non-Durables,22604.98,6
324,Consumer Non-Durables,70273.33,7
325,Consumer Non-Durables,25340.46,8
326,Consumer Non-Durables,37723.61,9
327,Consumer Non-Durables,8877.89,10
328,Consumer Non-Durables,28880.82,11
329,Consumer Non-Durables,32374.8,12
330,Consumer Non-Durables,51488.24,13
331,Consumer Non-Durables,42795.57,14
332,Consumer Non-Durables,67754.55,15
333,Consumer Non-Durables,83833.27,16
334,Consumer Non-Durables,44147.46,17
335,Consumer Non-Durables,39458.09,18
336,Consumer Non-Durables,93818.51,19
337,Consumer Non-Durables,63302.33,20
338,Consumer Non-Durables,85543.24,21
339,Consumer Non-Durables,55202.64,22
340,Consumer Non-Durables,43982.43,23
341,Consumer Non-Durables,49304.34,24
342,Consumer Non-Durables,3223.0,25
343,Consumer Non-Durables,7401.6,26
344,Consumer Non-Durables,93537.15,27
345,Consumer Non-Durables,63222.22,28
346,Consumer Non-Durables,77188.25,29
347,Consumer Non-Durables,10490.48,30
348,Consumer Non-Durables,62789.52,31
349,Consumer Non-Durables,38306.33,32
350,Consumer Non-Durables,66673.26,33
351,Consumer Non-Durables,90910.03,34
352,Consumer Non-Durables,16111.18,35
353,Consumer Non-Durables,52525.37,36
354,Consumer Non-Durables,51881.11,37
355,Consumer Non-Durables,99981.8,38
356,Consumer Non-Durables,21023.5,39
357,Consumer Non-Durables,32654.95,40
358,Consumer Non-Durables,12130.9,41
359,Consumer Non-Durables,64346.84,42
360,Consumer Non-Durables,21908.14,43
361,Consumer Non-Durables,39836.7,44
362,Consumer Non-Durables,78817.3,45
363,Consumer Non-Durables,95019.84,46
364,Consumer Non-Durables,52540.94,47
365,Consumer Non-Durables,86972.18,48
366,Consumer Non-Durables,3975.39,49
367,Consumer Non-Durables,43313.09,50
368,Consumer Non-Durables,98151.21,51
369,Consumer Non-Durables,26267.12,52
370,Consumer Non-Durables,40094.72,53
371,Consumer Non-Durables,72121.47,54
372,Consumer Non-Durables,31049.72,55
373,Consumer Non-Durables,15342.26,56
374,Consumer Non-Durables,62595.72,57
375,Consumer Non-Durables,72366.29,58
376,Consumer Non-Durables,19289.87,59
377,Consumer Non-Durables,61295.95,60
378,Consumer Non-Durables,16473.67,61
379,Consumer Non-Durables,32005.64,62
380,Consumer Non-Durables,64518.47,63
381,Consumer Non-Durables,86503.32,64
382,Consumer Non-Durables,28902.72,65
383,Consumer Non-Durables,63514.49,66
384,Consumer Non-Durables,7898.8,67
385,Consumer Non-Durables,93583.48,68
386,Consumer Non-Durables,99994.59,69
387,Consumer Non-Durables,40516.42,70
388,Consumer Non-Durables,23825.81,71
389,Consumer Non-Durables,50600.8,72
390,Consumer Non-Durables,21529.92,73
391,Consumer Non-Durables,93064.63,74
392,Consumer Non-Durables,78113.35,75
393,Consumer Non-Durables,80247.47,76
394,Consumer Non-Durables,31850.9,77
395,Consumer Non-Durables,26497.52,78
396,Consumer Non-Durables,30241.82,79
397,Consumer Non-Durables,32802.15,80
398,Consumer Non-Durables,24269.42,81
399,Consumer Non-Durables,65263.3,82
400,Consumer Non-Durables,28044.51,83
401,Consumer Non-Durables,35942.49,84
402,Consumer Non-Durables,60311.2,85
403,Consumer Non-Durables,22165.7,86
404,Consumer Non-Durables,35781.78,87
405,Consumer Non-Durables,55343.34,88
406,Consumer Non-Durables,10951.54,89
407,Consumer Non-Durables,8576.2,90
408,Consumer Non-Durables,27363.43,91
409,Consumer Non-Durables,8552.17,92
410,Consumer Non-Durables,38055.94,93
411,Consumer Non-Durables,36376.63,94
412,Consumer Non-Durables,88825.42,95
413,Consumer Non-Durables,19745.84,96
414,Consumer Non-Durables,22765.61,97
415,Consumer Non-Durables,2033.08,98
416,Consumer Non-Durables,88206.89,99
417,Consumer Non-Durables,80084.77,100
1427,Consumer Services,33051.41,1
1428,Consumer Services,10963.23,2
1429,Consumer Services,43413.4,3
1430,Consumer Services,87671.93,4
1431,Consumer Services,80424.91,5
1432,Consumer Services,53873.39,6
1433,Consumer Services,48955.96,7
1434,Consumer Services,18776.66,8
1435,Consumer Services,720.08,9
1436,Consumer Services,51561.62,10
1437,Consumer Services,26601.1,11
1438,Consumer Services,45577.95,12
1439,Consumer Services,49548.7,13
1440,Consumer Services,53020.82,14
1441,Consumer Services,89748.37,15
1442,Consumer Services,36510.2,16
1443,Consumer Services,45613.21,17
1444,Consumer Services,16749.46,18
1445,Consumer Services,68231.0,19
1446,Consumer Services,32132.43,20
1447,Consumer Services,50049.71,21
1448,Consumer Services,45004.91,22
1449,Consumer Services,37694.03,23
1450,Consumer Services,93948.86,24
1451,Consumer Services,99234.0,25
1452,Consumer Services,90118.23,26
1453,Consumer Services,54099.45,27
1454,Consumer Services,74002.46,28
1455,Consumer Services,22451.18,29
1456,Consumer Services,91376.25,30
1457,Consumer Services,74981.51,31
1458,Consumer Services,64979.53,32
1459,Consumer Services,31893.43,33
1460,Consumer Services,84652.56,34
1461,Consumer Services,9049.81,35
1462,Consumer Services,35028.3,36
1463,Consumer Services,51804.21,37
1464,Consumer Services,28035.48,38
1465,Consumer Services,26951.73,39
1466,Consumer Services,97671.88,40
1467,Consumer Services,70204.4,41
1468,Consumer Services,66738.53,42
1469,Consumer Services,98630.94,43
1470,Consumer Services,7755.39,44
1471,Consumer Services,1986.22,45
1472,Consumer Services,44292.78,46
1473,Consumer Services,34774.52,47
1474,Consumer Services,25690.31,48
1475,Consumer Services,17847.64,49
1476,Consumer Services,30792.13,50
1477,Consumer Services,48663.28,51
1478,Consumer Services,9301.47,52
1479,Consumer Services,37342.67,53
1480,Consumer Services,56909.4,54
1481,Consumer Services,30558.35,55
1482,Consumer Services,61823.6,56
1483,Consumer Services,92564.48,57
1484,Consumer Services,63112.86,58
1485,Consumer Services,47254.42,59
1486,Consumer Services,35192.98,60
1487,Consumer Services,53464.67,61
1488,Consumer Services,74178.51,62
1489,Consumer Services,59249.1,63
1490,Consumer Services,94043.05,64
1491,Consumer Services,26466.4,65
1492,Consumer Services,9918.3,66
1493,Consumer Services,64534.54,67
1494,Consumer Services,49186.9,68
1495,Consumer Services,97964.98,69
1496,Consumer Services,89383.07,70
1497,Consumer Services,54123.76,71
1498,Consumer Services,20793.51,72
1499,Consumer Services,99520.02,73
1500,Consumer Services,21282.49,74
1501,Consumer Services,61126.06,75
1502,Consumer Services,18457.51,76
1503,Consumer Services,56186.88,77
1504,Consumer Services,23821.64,78
1505,Consumer Services,42827.55,79
1506,Consumer Services,46698.2,80
1507,Consumer Services,59081.64,81
1508,Consumer Services,32544.69,82
1509,Consumer Services,5758.77,83
1510,Consumer Services,8220.92,84
1511,Consumer Services,98708.29,85
1512,Consumer Services,34337.49,86
1513,Consumer Services,44570.87,87
1514,Consumer Services,41377.14,88
1515,Consumer Services,93772.64,89
1516,Consumer Services,67787.54,90
1517,Consumer Services,56659.35,91
1518,Consumer Services,95088.66,92
1519,Consumer Services,57054.34,93
1520,Consumer Services,3564.55,94
1521,Consumer Services,17234.29,95
1522,Consumer Services,30418.09,96
1523,Consumer Services,75374.71,97
1524,Consumer Services,73847.65,98
1525,Consumer Services,25831.98,99
1526,Consumer Services,42.56,100
437,Energy,54564.39,1
438,Energy,90165.71,2
439,Energy,38304.67,3
440,Energy,84273.31,4
441,Energy,65454.64,5
442,Energy,75103.95,6
443,Energy,71147.78,7
444,Energy,37723.51,8
445,Energy,7675.7,9
446,Energy,4493.88,10
447,Energy,49733.13,11
448,Energy,66968.38,12
449,Energy,73764.73,13
450,Energy,9275.51,14
451,Energy,41101.9,15
452,Energy,5226.69,16
453,Energy,77437.56,17
454,Energy,40515.82,18
455,Energy,94423.25,19
456,Energy,51139.17,20
457,Energy,57114.3,21
458,Energy,31917.98,22
459,Energy,1107.77,23
460,Energy,28390.35,24
461,Energy,58266.54,25
462,Energy,45657.1,26
463,Energy,97984.82,27
464,Energy,32679.21,28
465,Energy,2448.01,29
466,Energy,53742.49,30
467,Energy,17575.24,31
468,Energy,28410.89,32
469,Energy,25297.89,33
470,Energy,38712.79,34
471,Energy,38526.29,35
472,Energy,96634.53,36
473,Energy,30635.19,37
474,Energy,95908.55,38
475,Energy,15596.5,39
476,Energy,85447.85,40
477,Energy,85557.13,41
478,Energy,57561.28,42
479,Energy,76822.51,43
480,Energy,68300.83,44
481,Energy,71863.86,45
482,Energy,36146.65,46
483,Energy,79325.17,47
484,Energy,19261.32,48
485,Energy,84555.64,49
486,Energy,67700.28,50
487,Energy,40174.58,51
488,Energy,18747.11,52
489,Energy,15341.79,53
490,Energy,10346.14,54
491,Energy,89538.26,55
492,Energy,48834.11,56
493,Energy,23474.77,57
494,Energy,67664.83,58
495,Energy,26874.9,59
496,Energy,82987.62,60
497,Energy,1315.73,61
498,Energy,36528.12,62
499,Energy,58272.25,63
500,Energy,20492.87,64
501,Energy,67412.48,65
502,Energy,37766.91,66
503,Energy,81526.92,67
504,Energy,98115.49,68
505,Energy,63318.42,69
506,Energy,1656.52,70
507,Energy,16941.88,71
508,Energy,22218.31,72
509,Energy,91641.69,73
510,Energy,61538.96,74
511,Energy,75486.8,75
512,Energy,98705.43,76
513,Energy,57601.5,77
514,Energy,61255.67,78
515,Energy,39439.86,79
516,Energy,18064.56,80
517,Energy,56318.15,81
518,Energy,91326.45,82
519,Energy,52116.68,83
520,Energy,23512.6,84
521,Energy,13111.88,85
522,Energy,51896.44,86
523,Energy,36460.68,87
524,Energy,6357.16,88
525,Energy,21851.41,89
526,Energy,26349.58,90
527,Energy,41746.35,91
528,Energy,84748.34,92
529,Energy,4531.62,93
530,Energy,7382.02,94
531,Energy,80152.68,95
532,Energy,57349.23,96
533,Energy,9254.95,97
534,Energy,52063.27,98
535,Energy,4434.1,99
536,Energy,48925.34,100
1776,Finance,86501.49,1
1777,Finance,39320.04,2
1778,Finance,97293.93,3
1779,Finance,15881.29,4
1780,Finance,39753.84,5
1781,Finance,28878.94,6
1782,Finance,67865.72,7
1783,Finance,29102.69,8
1784,Finance,82190.19,9
1785,Finance,73131.66,10
1786,Finance,54278.75,11
1787,Finance,28112.07,12
1788,Finance,82646.84,13
1789,Finance,24834.62,14
1790,Finance,25317.66,15
1791,Finance,76027.53,16
1792,Finance,48886.22,17
1793,Finance,16345.3,18
1794,Finance,56017.23,19
1795,Finance,48421.1,20
1796,Finance,36639.96,21
1797,Finance,34528.9,22
1798,Finance,31676.62,23
1799,Finance,50862.69,24
1800,Finance,71253.68,25
1801,Finance,60905.19,26
1802,Finance,55836.64,27
1803,Finance,79268.17,28
1804,Finance,27411.1,29
1805,Finance,87214.67,30
1806,Finance,18957.08,31
1807,Finance,72226.66,32
1808,Finance,56995.66,33
1809,Finance,98418.26,34
1810,Finance,28974.71,35
1811,Finance,51966.87,36
1812,Finance,36112.29,37
1813,Finance,34054.13,38
1814,Finance,64328.05,39
1815,Finance,57221.22,40
1816,Finance,45726.41,41
1817,Finance,93924.96,42
1818,Finance,71838.33,43
1819,Finance,50946.57,44
1820,Finance,93443.83,45
1821,Finance,30473.23,46
1822,Finance,2222.54,47
1823,Finance,14268.13,48
1824,Finance,44578.3,49
1825,Finance,95448.77,50
1826,Finance,12186.07,51
1827,Finance,7212.2,52
1828,Finance,15460.71,53
1829,Finance,40076.29,54
1830,Finance,10668.5,55
1831,Finance,29573.7,56
1832,Finance,98217.64,57
1833,Finance,14777.62,58
1834,Finance,14287.24,59
1835,Finance,11225.38,60
1836,Finance,48237.47,61
1837,Finance,62603.28,62
1838,Finance,2543.68,63
1839,Finance,53721.84,64
1840,Finance,68922.17,65
1841,Finance,65668.78,66
1842,Finance,22113.1,67
1843,Finance,60766.31,68
1844,Finance,32038.54,69
1845,Finance,36062.69,70
1846,Finance,86086.62,71
1847,Finance,63940.45,72
1848,Finance,84680.37,73
1849,Finance,78370.21,74
1850,Finance,63619.41,75
1851,Finance,5134.54,76
1852,Finance,67232.45,77
1853,Finance,7944.99,78
1854,Finance,10790.52,79
1855,Finance,5688.56,80
1856,Finance,76712.14,81
1857,Finance,21210.7,82
1858,Finance,6182.09,83
1859,Finance,67848.52,84
1860,Finance,67988.13,85
1861,Finance,81196.31,86
1862,Finance,38940.6,87
1863,Finance,89313.81,88
1864,Finance,97285.15,89
1865,Finance,63246.26,90
1866,Finance,95821.97,91
1867,Finance,85369.78,92
1868,Finance,9068.18,93
1869,Finance,45059.91,94
1870,Finance,70774.55,95
1871,Finance,38108.09,96
1872,Finance,71889.02,97
1873,Finance,43471.92,98
1874,Finance,27065.73,99
1875,Finance,62388.63,100
1315,Health Care,32301.97,1
1316,Health Care,41926.65,2
1317,Health Care,8967.88,3
1318,Health Care,97805.55,4
1319,Health Care,35907.82,5
1320,Health Care,96353.22,6
1321,Health Care,44624.97,7
1322,Health Care,24673.59,8
1323,Health Care,35747.98,9
1324,Health Care,56374.52,10
1325,Health Care,6659.35,11
1326,Health Care,29668.81,12
1327,Health Care,40392.58,13
1328,Health Care,57694.29,14
1329,Health Care,45042.35,15
1330,Health Care,55624.57,16
1331,Health Care,53106.33,17
1332,Health Care,46333.18,18
1333,Health Care,50910.09,19
1334,Health Care,73471.57,20
1335,Health Care,5593.01,21
1336,Health Care,11943.67,22
1337,Health Care,97813.76,23
1338,Health Care,45969.15,24
1339,Health Care,12636.27,25
1340,Health Care,85324.31,26
1341,Health Care,77180.09,27
1342,Health Care,98315.46,28
1343,Health Care,5552.0,29
1344,Health Care,4789.33,30
1345,Health Care,37245.35,31
1346,Health Care,72649.11,32
1347,Health Care,56618.1,33
1348,Health Care,40533.39,34
1349,Health Care,25679.29,35
1350,Health Care,19730.54,36
1351,Health Care,99965.64,37
1352,Health Care,94741.56,38
1353,Health Care,56583.77,39
1354,Health Care,86244.42,40
1355,Health Care,50949.47,41
1356,Health Care,11038.84,42
1357,Health Care,2042.11,43
1358,Health Care,71818.58,44
1359,Health Care,26381.74,45
1360,Health Care,91707.96,46
1361,Health Care,57784.83,47
1362,Health Care,43546.75,48
1363,Health Care,72462.01,49
1364,Health Care,93832.64,50
1365,Health Care,33629.11,51
1366,Health Care,25704.4,52
1367,Health Care,64631.17,53
1368,Health Care,20604.46,54
1369,Health Care,16776.18,55
1370,Health Care,3244.85,56
1371,Health Care,91500.21,57
1372,Health Care,68303.93,58
1373,Health Care,1016.87,59
1374,Health Care,64656.47,60
1375,Health Care,54923.38,61
1376,Health Care,82363.79,62
1377,Health Care,113.28,63
1378,Health Care,33882.96,64
1379,Health Care,44336.9,65
1380,Health Care,37176.51,66
1381,Health Care,59780.23,67
1382,Health Care,98709.71,68
1383,Health Care,14935.88,69
1384,Health Care,44776.57,70
1385,Health Care,18099.91,71
1386,Health Care,82774.4,72
1387,Health Care,39317.49,73
1388,Health Care,82510.56,74
1389,Health Care,8183.08,75
1390,Health Care,85608.4,76
1391,Health Care,64431.91,77
1392,Health Care,92208.28,78
1393,Health Care,8831.88,79
1394,Health Care,63720.0,80
1395,Health Care,10793.3,81
1396,Health Care,87718.53,82
1397,Health Care,62766.75,83
1398,Health Care,22252.75,84
1399,Health Care,6473.85,85
1400,Health Care,6419.44,86
1401,Health Care,17320.02,87
1402,Health Care,30599.33,88
1403,Health Care,88046.96,89
1404,Health Care,93245.28,90
1405,Health Care,90988.0,91
1406,Health Care,57163.03,92
1407,Health Care,67481.25,93
1408,Health Care,60084.87,94
1409,Health Care,612.75,95
1410,Health Care,98696.95,96
1411,Health Care,44545.82,97
1412,Health Care,54588.36,98
1413,Health Care,77188.29,99
1414,Health Care,40070.82,100
195,Miscellaneous,60914.93,1
196,Miscellaneous,36008.94,2
197,Miscellaneous,18704.73,3
198,Miscellaneous,61738.47,4
199,Miscellaneous,81728.79,5
200,Miscellaneous,85680.43,6
201,Miscellaneous,43355.21,7
202,Miscellaneous,19406.87,8
203,Miscellaneous,66982.67,9
204,Miscellaneous,97883.17,10
205,Miscellaneous,61903.93,11
206,Miscellaneous,86919.14,12
207,Miscellaneous,4391.22,13
208,Miscellaneous,26537.41,14
209,Miscellaneous,94296.99,15
210,Miscellaneous,90447.18,16
211,Miscellaneous,53194.47,17
212,Miscellaneous,92504.76,18
213,Miscellaneous,26832.66,19
214,Miscellaneous,68819.65,20
215,Miscellaneous,1936.63,21
216,Miscellaneous,96763.0,22
217,Miscellaneous,73220.7,23
218,Miscellaneous,78665.68,24
219,Miscellaneous,44456.08,25
220,Miscellaneous,15715.59,26
221,Miscellaneous,77264.71,27
222,Miscellaneous,37971.32,28
223,Miscellaneous,78894.22,29
224,Miscellaneous,33322.76,30
225,Miscellaneous,35991.38,31
226,Miscellaneous,36003.21,32
227,Miscellaneous,29399.03,33
228,Miscellaneous,10879.38,34
229,Miscellaneous,78146.31,35
230,Miscellaneous,93733.06,36
231,Miscellaneous,33437.64,37
232,Miscellaneous,71756.81,38
233,Miscellaneous,36699.32,39
234,Miscellaneous,27457.24,40
235,Miscellaneous,20581.67,41
236,Miscellaneous,62524.23,42
237,Miscellaneous,45727.58,43
238,Miscellaneous,65282.8,44
239,Miscellaneous,33538.5,45
240,Miscellaneous,69885.14,46
241,Miscellaneous,18976.94,47
242,Miscellaneous,15873.31,48
243,Miscellaneous,66788.87,49
244,Miscellaneous,75500.51,50
245,Miscellaneous,31888.97,51
246,Miscellaneous,72988.63,52
247,Miscellaneous,23283.24,53
248,Miscellaneous,31399.21,54
249,Miscellaneous,65119.7,55
250,Miscellaneous,70820.95,56
251,Miscellaneous,72226.73,57
252,Miscellaneous,86343.56,58
253,Miscellaneous,10281.45,59
254,Miscellaneous,85025.84,60
255,Miscellaneous,69421.39,61
256,Miscellaneous,89962.02,62
257,Miscellaneous,48353.48,63
258,Miscellaneous,92057.0,64
259,Miscellaneous,19432.48,65
260,Miscellaneous,19263.96,66
261,Miscellaneous,6629.85,67
262,Miscellaneous,10603.73,68
