Previous Trades,Trade Order,Sector,Rolling Avg. Purchase Price
21,147,Transportation,50251.8
22,148,Transportation,57305.82
23,149,Transportation,51543.25
24,150,Transportation,27801.57
25,151,Transportation,43742.44
26,152,Transportation,32631.49
27,153,Transportation,30957.95
28,154,Transportation,23304.35
29,155,Transportation,38881.3
30,156,Transportation,57850.19
31,157,Transportation,68637.45
32,158,Transportation,55024.71
33,159,Transportation,60896.19
34,160,Transportation,36681.12
35,161,Transportation,31571.89
36,162,Transportation,26273.84
37,163,Transportation,39001.99
38,164,Transportation,69750.69
39,165,Transportation,66965.54
40,166,Transportation,69115.15
41,167,Transportation,47097.83
42,168,Transportation,58087.82
43,169,Transportation,47244.29
44,170,Transportation,57575.11
45,171,Transportation,30569.62
46,172,Transportation,54478.43
47,173,Transportation,44741.85
48,174,Transportation,42925
49,175,Transportation,34178.93
50,176,Transportation,22936.56
51,177,Transportation,33162.1
52,178,Transportation,23493.35
53,179,Transportation,29840.73
54,180,Transportation,41711
55,181,Transportation,38325.07
56,182,Transportation,56623.77
57,183,Transportation,40120.1
58,184,Transportation,39923.98
59,185,Transportation,15211.92
60,186,Transportation,37565.56
61,187,Transportation,62600.21
62,188,Transportation,70144.4
63,189,Transportation,53541.1
64,190,Transportation,23112.4
65,191,Transportation,24013.89
66,192,Transportation,33802.46
67,193,Transportation,55731.14
68,194,Transportation,67647.13
69,195,Transportation,73786.34
70,196,Transportation,76143.06
71,197,Transportation,60510
72,198,Transportation,35490.49
73,199,Transportation,34938.31
74,200,Transportation,44999.57
75,201,Transportation,47301.45
76,202,Transportation,48201.25
77,203,Transportation,45694.69
78,204,Transportation,64976.52
79,205,Transportation,56800.1
80,206,Transportation,75190.36
81,207,Transportation,73793.55
82,208,Transportation,66988.84
83,209,Transportation,59905.83
84,210,Transportation,68250.38
85,211,Transportation,87344.65
86,212,Transportation,73642.98
87,213,Transportation,66075.9
88,214,Transportation,66838.56
89,215,Transportation,78470.4
90,216,Transportation,82826.87
91,217,Transportation,75915.98
92,218,Transportation,66863.45
93,219,Transportation,57461.1
94,220,Transportation,37754.46
95,221,Transportation,47916.96
96,222,Transportation,44523.95
97,223,Transportation,71285.06
98,224,Transportation,49130.9
99,225,Transportation,64168.27
100,226,Transportation,34855.54
1,593,Capital Goods,37403.89
2,594,Capital Goods,40261.69
3,595,Capital Goods,55987.67
4,596,Capital Goods,53252.35
5,597,Capital Goods,51232.5
6,598,Capital Goods,40156.78
7,599,Capital Goods,50935.87
8,600,Capital Goods,30834.12
9,601,Capital Goods,39778.75
10,602,Capital Goods,39136.33
11,603,Capital Goods,43918.64
12,604,Capital Goods,41858.7
13,605,Capital Goods,49137.67
14,606,Capital Goods,72314.31
15,607,Capital Goods,71913.03
16,608,Capital Goods,64346.26
17,609,Capital Goods,62140.52
18,610,Capital Goods,55854.36
19,611,Capital Goods,62078.13
20,612,Capital Goods,37790
21,613,Capital Goods,38115.05
22,614,Capital Goods,24745.1
23,615,Capital Goods,36158.39
24,616,Capital Goods,18820.78
25,617,Capital Goods,38897.04
26,618,Capital Goods,41204.03
27,619,Capital Goods,53535.12
28,620,Capital Goods,53466.18
29,621,Capital Goods,42329.42
30,622,Capital Goods,38701.25
31,623,Capital Goods,41134.7
32,624,Capital Goods,39193.81
33,625,Capital Goods,52205.41
34,626,Capital Goods,51227.15
35,627,Capital Goods,76291.88
36,628,Capital Goods,76802.05
37,629,Capital Goods,72781.32
38,630,Capital Goods,58553.35
39,631,Capital Goods,59514.22
40,632,Capital Goods,65734.73
41,633,Capital Goods,68153.12
42,634,Capital Goods,44903.1
43,635,Capital Goods,43775.99
44,636,Capital Goods,58616.33
45,637,Capital Goods,73143.38
46,638,Capital Goods,79293.43
47,639,Capital Goods,65753.6
48,640,Capital Goods,60313.82
49,641,Capital Goods,42782.8
50,642,Capital Goods,57673.88
51,643,Capital Goods,50524.45
52,644,Capital Goods,54248.44
53,645,Capital Goods,26025.67
54,646,Capital Goods,33790.99
55,647,Capital Goods,30816.77
56,648,Capital Goods,55927.96
57,649,Capital Goods,73045.51
58,650,Capital Goods,61011.89
59,651,Capital Goods,54050.45
60,652,Capital Goods,33965.42
61,653,Capital Goods,39344.66
62,654,Capital Goods,47370.21
63,655,Capital Goods,65956.75
64,656,Capital Goods,69661.29
65,657,Capital Goods,62717.27
66,658,Capital Goods,51917.18
67,659,Capital Goods,43678.76
68,660,Capital Goods,24795.09
69,661,Capital Goods,41380.85
70,662,Capital Goods,38311.65
71,663,Capital Goods,41204.93
72,664,Capital Goods,17424.59
73,665,Capital Goods,37110.23
74,666,Capital Goods,61140.69
75,667,Capital Goods,81384.56
76,668,Capital Goods,91322.39
77,669,Capital Goods,86123.65
78,670,Capital Goods,72301.1
79,671,Capital Goods,43558.35
80,672,Capital Goods,18061.3
81,673,Capital Goods,12133.05
82,674,Capital Goods,24679.97
83,675,Capital Goods,47521.41
84,676,Capital Goods,59343.37
85,677,Capital Goods,70738.02
86,678,Capital Goods,77838.07
87,679,Capital Goods,82311.16
88,680,Capital Goods,76334.87
89,681,Capital Goods,46498.66
90,682,Capital Goods,23884.8
91,683,Capital Goods,3828.28
92,684,Capital Goods,26099
93,685,Capital Goods,38787.49
94,686,Capital Goods,72020.91
95,687,Capital Goods,77612.97
96,688,Capital Goods,65091.53
97,689,Capital Goods,36139.76
98,690,Capital Goods,24710.23
99,691,Capital Goods,46523.99
100,692,Capital Goods,42986.13
1,318,Consumer Non-Durables,47014.52
2,319,Consumer Non-Durables,69238.73
3,320,Consumer Non-Durables,60806.94
4,321,Consumer Non-Durables,86805.24
5,322,Consumer Non-Durables,71126.95
6,323,Consumer Non-Durables,57154.15
7,324,Consumer Non-Durables,47664.96
8,325,Consumer Non-Durables,39406.26
9,326,Consumer Non-Durables,44445.8
10,327,Consumer Non-Durables,23980.65
11,328,Consumer Non-Durables,25160.77
12,329,Consumer Non-Durables,23377.84
13,330,Consumer Non-Durables,37581.29
14,331,Consumer Non-Durables,42219.54
15,332,Consumer Non-Durables,54012.79
16,333,Consumer Non-Durables,64794.46
17,334,Consumer Non-Durables,65245.09
18,335,Consumer Non-Durables,55812.94
19,336,Consumer Non-Durables,59141.35
20,337,Consumer Non-Durables,65526.31
21,338,Consumer Non-Durables,80888.03
22,339,Consumer Non-Durables,68016.07
23,340,Consumer Non-Durables,61576.1
24,341,Consumer Non-Durables,49496.47
25,342,Consumer Non-Durables,32169.92
26,343,Consumer Non-Durables,19976.31
27,344,Consumer Non-Durables,34720.58
28,345,Consumer Non-Durables,54720.32
29,346,Consumer Non-Durables,77982.54
30,347,Consumer Non-Durables,50300.32
31,348,Consumer Non-Durables,50156.08
32,349,Consumer Non-Durables,37195.44
33,350,Consumer Non-Durables,55923.04
34,351,Consumer Non-Durables,65296.54
35,352,Consumer Non-Durables,57898.16
36,353,Consumer Non-Durables,53182.19
37,354,Consumer Non-Durables,40172.55
38,355,Consumer Non-Durables,68129.43
39,356,Consumer Non-Durables,57628.8
40,357,Consumer Non-Durables,51220.08
41,358,Consumer Non-Durables,21936.45
42,359,Consumer Non-Durables,36377.56
43,360,Consumer Non-Durables,32795.29
44,361,Consumer Non-Durables,42030.56
45,362,Consumer Non-Durables,46854.05
46,363,Consumer Non-Durables,71224.61
47,364,Consumer Non-Durables,75459.36
48,365,Consumer Non-Durables,78177.65
49,366,Consumer Non-Durables,47829.5
50,367,Consumer Non-Durables,44753.55
51,368,Consumer Non-Durables,48479.9
52,369,Consumer Non-Durables,55910.47
53,370,Consumer Non-Durables,54837.68
54,371,Consumer Non-Durables,46161.1
55,372,Consumer Non-Durables,47755.3
56,373,Consumer Non-Durables,39504.48
57,374,Consumer Non-Durables,36329.23
58,375,Consumer Non-Durables,50101.42
59,376,Consumer Non-Durables,51417.29
60,377,Consumer Non-Durables,50984.04
61,378,Consumer Non-Durables,32353.16
62,379,Consumer Non-Durables,36591.75
63,380,Consumer Non-Durables,37665.93
64,381,Consumer Non-Durables,61009.14
65,382,Consumer Non-Durables,59974.84
66,383,Consumer Non-Durables,59640.18
67,384,Consumer Non-Durables,33438.67
68,385,Consumer Non-Durables,54998.92
69,386,Consumer Non-Durables,67158.96
70,387,Consumer Non-Durables,78031.5
71,388,Consumer Non-Durables,54778.94
72,389,Consumer Non-Durables,38314.34
73,390,Consumer Non-Durables,31985.51
74,391,Consumer Non-Durables,55065.12
75,392,Consumer Non-Durables,64235.97
76,393,Consumer Non-Durables,83808.48
77,394,Consumer Non-Durables,63403.91
78,395,Consumer Non-Durables,46198.63
79,396,Consumer Non-Durables,29530.08
80,397,Consumer Non-Durables,29847.16
81,398,Consumer Non-Durables,29104.46
82,399,Consumer Non-Durables,40778.29
83,400,Consumer Non-Durables,39192.41
84,401,Consumer Non-Durables,43083.43
85,402,Consumer Non-Durables,41432.73
86,403,Consumer Non-Durables,39473.13
87,404,Consumer Non-Durables,39419.56
88,405,Consumer Non-Durables,37763.61
89,406,Consumer Non-Durables,34025.55
90,407,Consumer Non-Durables,24957.03
91,408,Consumer Non-Durables,15630.39
92,409,Consumer Non-Durables,14830.6
93,410,Consumer Non-Durables,24657.18
94,411,Consumer Non-Durables,27661.58
95,412,Consumer Non-Durables,54419.33
96,413,Consumer Non-Durables,48315.96
97,414,Consumer Non-Durables,43778.96
98,415,Consumer Non-Durables,14848.18
99,416,Consumer Non-Durables,37668.53
100,417,Consumer Non-Durables,56774.91
1,1315,Health Care,54956.06
2,1316,Health Care,35936.02
3,1317,Health Care,27732.17
4,1318,Health Care,49566.69
5,1319,Health Care,47560.42
6,1320,Health Care,76688.86
7,1321,Health Care,58962
8,1322,Health Care,55217.26
9,1323,Health Care,35015.51
10,1324,Health Care,38932.03
11,1325,Health Care,32927.28
12,1326,Health Care,30900.89
13,1327,Health Care,25573.58
14,1328,Health Care,42585.23
15,1329,Health Care,47709.74
16,1330,Health Care,52787.07
17,1331,Health Care,51257.75
18,1332,Health Care,51688.03
19,1333,Health Care,50116.53
20,1334,Health Care,56904.95
21,1335,Health Care,43324.89
22,1336,Health Care,30336.08
23,1337,Health Care,38450.15
24,1338,Health Care,51908.86
25,1339,Health Care,52139.73
26,1340,Health Care,47976.58
27,1341,Health Care,58380.22
28,1342,Health Care,86939.95
29,1343,Health Care,60349.18
30,1344,Health Care,36218.93
31,1345,Health Care,15862.23
32,1346,Health Care,38227.93
33,1347,Health Care,55504.19
34,1348,Health Care,56600.2
35,1349,Health Care,40943.59
36,1350,Health Care,28647.74
37,1351,Health Care,48458.49
38,1352,Health Care,71479.25
39,1353,Health Care,83763.66
40,1354,Health Care,79189.92
41,1355,Health Care,64592.55
42,1356,Health Care,49410.91
43,1357,Health Care,21343.47
44,1358,Health Care,28299.84
45,1359,Health Care,33414.14
46,1360,Health Care,63302.76
47,1361,Health Care,58624.84
48,1362,Health Care,64346.51
49,1363,Health Care,57931.2
50,1364,Health Care,69947.13
51,1365,Health Care,66641.25
52,1366,Health Care,51055.38
53,1367,Health Care,41321.56
54,1368,Health Care,36980.01
55,1369,Health Care,34003.94
56,1370,Health Care,13541.83
57,1371,Health Care,37173.75
58,1372,Health Care,54349.66
59,1373,Health Care,53607
60,1374,Health Care,44659.09
61,1375,Health Care,40198.91
62,1376,Health Care,67314.55
63,1377,Health Care,45800.15
64,1378,Health Care,38786.68
65,1379,Health Care,26111.05
66,1380,Health Care,38465.46
67,1381,Health Care,47097.88
68,1382,Health Care,65222.15
69,1383,Health Care,57808.61
70,1384,Health Care,52807.39
71,1385,Health Care,25937.45
72,1386,Health Care,48550.29
73,1387,Health Care,46730.6
74,1388,Health Care,68200.82
75,1389,Health Care,43337.04
76,1390,Health Care,58767.35
77,1391,Health Care,52741.13
78,1392,Health Care,80749.53
79,1393,Health Care,55157.36
80,1394,Health Care,54920.05
81,1395,Health Care,27781.73
82,1396,Health Care,54077.28
83,1397,Health Care,53759.53
84,1398,Health Care,57579.34
85,1399,Health Care,30497.78
86,1400,Health Care,11715.35
87,1401,Health Care,10071.1
88,1402,Health Care,18112.93
89,1403,Health Care,45322.1
90,1404,Health Care,70630.52
91,1405,Health Care,90760.08
92,1406,Health Care,80465.44
93,1407,Health Care,71877.43
94,1408,Health Care,61576.38
95,1409,Health Care,42726.29
96,1410,Health Care,53131.52
97,1411,Health Care,47951.84
98,1412,Health Care,65943.71
99,1413,Health Care,58774.16
100,1414,Health Care,57282.49
1,2523,n/a,47159.93
2,2524,n/a,66477.8
3,2525,n/a,84260.8
4,2526,n/a,77265
5,2527,n/a,75346.47
6,2528,n/a,73811.98
7,2529,n/a,64192.39
8,2530,n/a,58306.88
9,2531,n/a,56016.45
10,2532,n/a,60237.08
11,2533,n/a,43568.02
12,2534,n/a,39240.12
13,2535,n/a,30924.28
14,2536,n/a,55743.05
15,2537,n/a,53363.26
16,2538,n/a,64458.94
17,2539,n/a,43545.49
18,2540,n/a,37304.84
19,2541,n/a,23822.19
20,2542,n/a,25926.37
21,2543,n/a,33004.45
22,2544,n/a,33819.41
23,2545,n/a,34676.29
24,2546,n/a,30939.93
25,2547,n/a,50489.38
26,2548,n/a,65440.85
27,2549,n/a,89554.3
28,2550,n/a,81264.63
29,2551,n/a,65327.74
30,2552,n/a,39034.96
31,2553,n/a,18919.42
32,2554,n/a,17070.67
33,2555,n/a,26930.76
34,2556,n/a,34878.92
35,2557,n/a,33997.26
36,2558,n/a,51174.44
37,2559,n/a,51196.48
38,2560,n/a,40316.29
39,2561,n/a,25643.93
40,2562,n/a,21364.36
41,2563,n/a,44975.91
42,2564,n/a,37167.33
43,2565,n/a,62430.02
44,2566,n/a,47032.5
45,2567,n/a,41133.54
46,2568,n/a,41255.56
47,2569,n/a,51044.46
48,2570,n/a,61708.77
49,2571,n/a,60159.96
50,2572,n/a,66363.76
51,2573,n/a,76116.88
52,2574,n/a,52877.03
53,2575,n/a,52581.12
54,2576,n/a,63004.38
55,2577,n/a,81471.43
56,2578,n/a,73464.5
57,2579,n/a,45385.02
58,2580,n/a,29564.74
59,2581,n/a,18430.17
60,2582,n/a,26838.56
61,2583,n/a,34328.69
62,2584,n/a,50636.84
63,2585,n/a,39977.63
64,2586,n/a,27706.36
65,2587,n/a,14458.17
66,2588,n/a,43821.06
67,2589,n/a,63042.8
68,2590,n/a,55513.4
69,2591,n/a,33188.5
70,2592,n/a,11637.27
71,2593,n/a,31312.94
72,2594,n/a,39265.31
73,2595,n/a,46554.49
74,2596,n/a,36930.94
75,2597,n/a,21151.39
76,2598,n/a,37686.95
77,2599,n/a,49096.1
78,2600,n/a,72072.08
79,2601,n/a,67959
80,2602,n/a,75953.3
81,2603,n/a,79730.88
82,2604,n/a,82375.62
83,2605,n/a,70296.13
84,2606,n/a,44233.17
85,2607,n/a,38458.43
86,2608,n/a,35174
87,2609,n/a,56034.01
88,2610,n/a,71244.05
89,2611,n/a,64725.07
90,2612,n/a,53852.21
91,2613,n/a,42133.96
92,2614,n/a,40618.94
93,2615,n/a,58238.85
94,2616,n/a,38472.59
95,2617,n/a,57622.89
96,2618,n/a,45277.87
97,2619,n/a,67330.93
98,2620,n/a,50968.88
99,2621,n/a,61880.08
100,2622,n/a,53702.8
1,1022,Technology,37239.61
2,1023,Technology,21620.36
3,1024,Technology,47468.97
4,1025,Technology,56813.71
5,1026,Technology,87670.66
6,1027,Technology,71473.23
7,1028,Technology,51659.75
8,1029,Technology,26977.96
9,1030,Technology,30902.23
10,1031,Technology,52627.6
11,1032,Technology,74453.51
12,1033,Technology,61393.61
13,1034,Technology,51476
14,1035,Technology,23901.08
15,1036,Technology,45740.22
16,1037,Technology,40236.15
17,1038,Technology,61384.21
18,1039,Technology,66677.7
19,1040,Technology,64067.17
20,1041,Technology,47369.81
21,1042,Technology,17538.39
22,1043,Technology,24071.63
23,1044,Technology,18871.01
24,1045,Technology,26377.42
25,1046,Technology,34147.96
26,1047,Technology,49165.08
27,1048,Technology,64434.01
28,1049,Technology,58800.1
29,1050,Technology,59938.1
30,1051,Technology,44857.91
31,1052,Technology,47649.93
32,1053,Technology,54734.97
33,1054,Technology,66336.29
34,1055,Technology,70270.18
35,1056,Technology,69417
36,1057,Technology,82624.83
37,1058,Technology,63243.54
38,1059,Technology,68882.57
39,1060,Technology,49127.79
40,1061,Technology,60692.16
41,1062,Technology,62206.94
42,1063,Technology,73117.88
43,1064,Technology,64792.77
44,1065,Technology,47762.6
45,1066,Technology,32694.12
46,1067,Technology,41255.92
47,1068,Technology,46020.5
48,1069,Technology,69143.82
49,1070,Technology,56939.39
50,1071,Technology,49721.4
51,1072,Technology,21148.7
52,1073,Technology,22607.88
53,1074,Technology,43591.28
54,1075,Technology,41060.06
55,1076,Technology,63861.74
56,1077,Technology,36408.02
57,1078,Technology,68035.24
58,1079,Technology,61514.43
59,1080,Technology,90348.81
60,1081,Technology,90531.67
61,1082,Technology,80165.1
62,1083,Technology,65622.65
63,1084,Technology,58298.15
64,1085,Technology,65503.76
65,1086,Technology,68356.58
66,1087,Technology,54794.38
67,1088,Technology,62755.55
68,1089,Technology,60571.4
69,1090,Technology,76101.24
70,1091,Technology,58291.61
71,1092,Technology,60089.31
72,1093,Technology,54479.73
73,1094,Technology,69101.05
74,1095,Technology,71996.86
75,1096,Technology,78743.8
76,1097,Technology,81124.92
77,1098,Technology,80906.91
78,1099,Technology,52825.75
79,1100,Technology,45801.63
80,1101,Technology,34497.13
81,1102,Technology,45238.46
82,1103,Technology,25974.69
83,1104,Technology,17697.92
84,1105,Technology,17937.41
85,1106,Technology,38856.37
86,1107,Technology,67708.78
87,1108,Technology,71457.33
88,1109,Technology,67108.38
89,1110,Technology,57353.73
90,1111,Technology,53083.25
