id,Series-Measure,Hierarchy-Breakdown,Unit-Detail,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
1121,Tourist arrivals from the United Kingdom,Real Sector / Tourism / Tourist arrivals / Europe,Tourists,8405,10422,11394,9529,9460,6728,9053,10259,9917,10419,9614,8958,8435,9661,9637,11167,7988,6338,7795,8855,8896,9537,8310,7889,7001,9006,8388,8934,6670,6146,7286,7450,7106,8666,7164,7959,6367,7745,8438,8654,6886,5100,6945,7409,6688,7714,6694,7229,6710,7913,8674,9462,7081,5415,6567,7742,7038,8017,6442,7643,7150,8752,9256,8793,6867,5923,7174,7805,6799,7724,7001,9531,7728,10603,11095,8964,7253,5893,7898,8852,7797,9111,8073,8576,8630,10395,10063,9417,7151,6081,7705,8565,7499,9173,9579,9719,9442,11362,11829,10866,7577,6459,8421,9249,8106,9989,10518,10784,10175,13564,12377,12876,8655,7145,8470,9827,7876,11321,11936,11977,10734,14796,7288,0,0,1,256,715,628,1780,2091,14431
1122,Tourist arrivals from China,Real Sector / Tourism / Tourist arrivals / Asia,Tourists,6069,13345,6144,7060,8964,8615,12449,14998,13028,13476,8313,6500,12367,18759,8968,10165,14889,15410,23176,22827,20107,22595,16897,12495,28008,12237,6417,10523,16154,17809,27653,25138,25178,26301,18450,15683,19208,33592,17770,20329,23613,28007,36551,35814,35026,35041,26008,20760,30612,33213,23705,24034,29685,30000,43269,37895,34425,33828,24729,18231,20469,43349,25069,26398,30864,31965,41527,40850,32198,30714,19856,16255,23241,34330,21741,24794,25005,28653,36456,36217,29242,29444,18954,16249,30669,24263,18203,20975,23225,24160,34276,33743,27214,28689,21195,19918,25830,33506,13203,15093,16927,22853,33227,33472,27997,25803,18465,16740,25804,31285,19479,18704,21010,23983,32569,32757,24758,21926,15600,16154,31744,1647,498,0,0,0,16,34,33,41,61,171
1241,Tourist arrivals from India,Real Sector / Tourism / Tourist arrivals / Asia,Tourists,1742,1594,1385,1802,2400,1999,1871,1419,1838,2387,3110,4209,2786,2078,2030,2109,2813,2659,2359,1963,1820,3007,3232,4122,2303,2219,1657,1877,2766,2495,2039,2264,2103,2546,3930,5522,3483,3493,2769,2521,3951,3214,2335,2576,2179,2703,3588,5202,3426,3596,3080,3622,4612,3847,3222,3119,3258,4646,3117,6042,3922,4235,3654,3750,5387,4390,3376,3467,3323,4344,4857,7663,5182,4650,4339,4619,6651,4660,4783,4175,5009,6301,6895,9691,6043,6105,5008,5362,8092,6919,5386,6024,6788,7414,7231,12647,8481,6038,4916,5588,8711,7348,5694,4299,5244,7905,11590,14660,11633,12584,11836,12823,17389,15875,11035,11067,11265,15110,14430,20983,13845,15521,5496,1,1,0,31,115,308,1396,7609,18637
1242,Travel receipts,Real Sector / Tourism,US dollar,na,na,na,na,na,na,na,na,na,na,na,na,218706556.0664,201307070.75942,198296236.2064,174147978.3564,125459227.32925,96928485.306395,119241630.16639,144051730.87068,133920756.61925,163128186.07925,175885795.55639,189286892.22211,254759781.38071,219517874.57071,186465007.02405,166501961.37405,107886653.28738,99351561.79738,120705986.68071,134277170.05071,130405708.42405,169675491.30405,173359656.42738,195109044.38071,257364188.87813,237280733.84936,253890762.762,191885828.33492,145360001.31644,127916911.96403,137887023.12553,181660082.39208,181705559.30757,196758294.37016,192601269.51432,230876095.34144,215405722.34,360194892.495,284814916.415,214979234.225,175621079.25,83233743.355,263724522.205,181910712.19,196585896.02,217151879.14,242587786.26,259536528.66667,195636363.10333,346175809.83333,285763368.63333,211503270.03667,181753453.16333,160857859.01,181540704.56333,203169847.40333,169107490.31,195488886.91333,194186162.13667,243941820.74,256170609.04333,259718495.76667,247928075.84,228814939.35667,165536408.39667,122669017.42333,195838756.60333,177736059.03,194567325.35667,201953704.57,210396316.59667,245338025.75733,289995826.53667,281194885.60333,257474662.40333,243028429.03,101968775.57667,191985252.04556,172900278.03667,189006195.21333,194936085.11667,240837966.22333,249880304.35667,330476245.80333,372304123.82,344676625.30333,301306661.25333,247663443.02333,167614659.49,163440458.51,195076164.44667,189019646.25,225339394.89667,258933743.21667,253289388.69,309427246.47667,360413227.21667,324739972.60333,365840371.01333,281385475.79667,192236787.98667,173288023.08,181564334.43333,204189210.06333,197086158.73667,267793616.91667,278486333.45,330033003.85333,314740862.98,269976433.22333,85448659.086667,32795829.756667,24215407.01,29991478.34618,21298534.584996,41847122.25658,36510465.859035,81516821.305824,141246830.15591,na
1243,Total number of arrival flights,Real Sector / Tourism,Flights,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1021,772,769,782,716,701,729,709,710,784,798,854,918,873,931,903,850,824,867,869,844,947,959,1046,1121,988,1055,973,937,870,908,946,892,992,968,1064,1146,1034,1093,985,947,889,917,894,834,945,943,1017,1127,1013,1062,1011,957,853,944,946,887,999,955,1057,1109,917,942,938,882,822,943,993,927,989,1020,1104,1207,1059,1034,959,855,830,902,862,826,991,1143,1267,1360,1166,1295,1190,1030,983,1046,1070,1016,1112,1164,1349,1444,1102,749,91,134,131,154,228,213,349,491,810
1244,Total number of scheduled flights,Real Sector / Tourism / Total number of arrival flights,Flights,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,849,707,690,688,662,653,691,675,673,712,707,751,794,807,834,811,794,784,822,832,820,906,900,922,949,885,926,874,871,844,879,904,856,939,910,944,990,956,984,884,870,822,874,862,807,893,890,923,966,924,978,911,889,815,896,904,850,926,885,943,910,807,848,825,818,801,906,930,892,926,951,1004,1047,978,964,863,807,806,866,833,809,928,1066,1145,1180,1078,1179,1081,958,951,1000,1026,983,1049,1096,1219,1265,1001,666,51,85,92,111,165,149,235,328,647
1245,Total number of general flights,Real Sector / Tourism / Total number of arrival flights,Flights,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,172,65,79,94,54,48,38,34,37,72,91,103,124,66,97,92,56,40,45,37,24,41,59,124,172,103,129,99,66,26,29,42,36,53,58,120,156,78,109,101,77,67,43,32,27,52,53,94,161,89,84,100,68,38,48,42,37,73,70,114,199,110,94,113,64,21,37,63,35,63,69,100,160,81,70,96,48,24,36,29,17,63,77,122,180,88,116,109,72,32,46,44,33,63,68,130,179,101,83,40,49,39,43,63,64,114,163,163
1252,Tourist arrivals from France,Real Sector / Tourism / Tourist arrivals / Europe,Tourists,6899,8464,7190,5459,2920,1155,1464,2257,2061,4159,5930,6831,7606,9286,8646,6557,2842,1758,1550,2588,2169,4355,5258,7079,7578,9742,7875,6587,2705,1251,1632,2785,2042,3815,4942,5821,6688,7666,7990,6021,3540,1081,1501,2692,2036,4388,4632,6093,6395,7943,7602,5537,3290,1203,1337,2437,1955,4001,3516,5440,5694,6690,5272,4973,2815,749,1081,2162,1664,3077,2846,5001,5127,6500,4798,4753,2286,778,1200,2322,1765,3565,2678,4715,4868,6785,5192,4938,2161,701,1504,2695,1515,3170,3345,5491,6335,8058,6452,5903,2555,1057,2043,2714,1853,3743,3349,6414,7153,10730,8809,7244,2008,1439,2242,3173,1924,3940,4229,6847,6955,10787,4042,0,1,0,58,301,279,1093,517,3998
1253,Tourist arrivals from Australia,Real Sector / Tourism / Tourist arrivals / Oceania,Tourists,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2040,1388,0,0,0,17,49,61,160,209,607
1254,Tourist arrivals from United States,Real Sector / Tourism / Tourist arrivals / Americas,Tourists,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4543,1820,0,0,0,189,674,935,1449,2093,3005
