Engagement Start Date,Engagement End Date,Initials,Engagement Order,Grade Name,Day Rate
12/09/2024,25/12/2024,ZJ,2,Junior Consultant,500
25/01/2024,21/06/2024,EY,1,Junior Consultant,500
13/09/2024,25/12/2024,EY,2,Junior Consultant,500
23/08/2024,13/09/2024,IG,1,Junior Consultant,500
17/09/2024,22/12/2024,IG,2,Junior Consultant,500
07/03/2024,14/06/2024,AV,1,Junior Consultant,500
11/07/2024,11/09/2024,ND,1,Manager,1000
21/08/2024,04/11/2024,SX,1,Senior Consultant,750
01/03/2024,25/05/2024,VB,1,Junior Consultant,500
21/01/2024,07/06/2024,GA,1,Senior Consultant,750
14/08/2024,21/10/2024,OH,1,Senior Consultant,750
28/02/2024,06/05/2024,RT,1,Senior Consultant,750
14/08/2024,27/12/2024,RT,2,Senior Consultant,750
22/03/2024,05/04/2024,LJ,1,Junior Consultant,500
14/09/2024,27/10/2024,LJ,2,Junior Consultant,500
10/04/2024,21/04/2024,QV,1,Senior Consultant,750
25/09/2024,08/12/2024,QV,2,Senior Consultant,750
15/03/2024,03/05/2024,SB,1,Junior Consultant,500
01/08/2024,27/11/2024,SB,3,Junior Consultant,500
16/07/2024,16/11/2024,NJ,1,Senior Consultant,750
20/09/2024,19/12/2024,SV,1,Senior Consultant,750
27/09/2024,04/11/2024,II,1,Manager,1000
06/01/2024,29/05/2024,TU,1,Junior Consultant,500
12/09/2024,20/12/2024,TU,3,Junior Consultant,500
25/04/2024,28/06/2024,FQ,1,Junior Consultant,500
19/07/2024,26/10/2024,FQ,2,Junior Consultant,500
03/01/2024,22/05/2024,KG,1,Junior Consultant,500
02/02/2024,16/04/2024,FE,1,Junior Consultant,500
14/07/2024,17/12/2024,FE,3,Junior Consultant,500
27/01/2024,09/05/2024,MT,1,Manager,1000
24/09/2024,26/11/2024,PH,1,Junior Consultant,500
09/07/2024,27/11/2024,LD,1,Junior Consultant,500
15/04/2024,06/05/2024,LA,1,Junior Consultant,500
04/09/2024,17/09/2024,LA,2,Junior Consultant,500
01/03/2024,16/04/2024,FZ,1,Junior Consultant,500
17/04/2024,11/04/2024,FZ,2,Junior Consultant,500
11/09/2024,23/12/2024,FZ,3,Junior Consultant,500
22/09/2024,10/09/2024,IC,1,Junior Consultant,500
13/04/2024,17/04/2024,HS,1,Senior Consultant,750
21/07/2024,17/09/2024,UO,1,Junior Consultant,500
18/07/2024,21/11/2024,AL,1,Junior Consultant,500
23/03/2024,16/06/2024,LP,1,Junior Consultant,500
07/09/2024,21/09/2024,QL,1,Senior Consultant,750
13/01/2024,30/06/2024,CR,1,Junior Consultant,500
01/01/2024,16/06/2024,OO,1,Junior Consultant,500
15/01/2024,29/04/2024,RS,1,Junior Consultant,500
29/07/2024,25/11/2024,RS,2,Junior Consultant,500
07/03/2024,08/05/2024,GX,1,Manager,1000
11/09/2024,27/09/2024,ZD,1,Manager,1000
08/04/2024,02/04/2024,LB,1,Junior Consultant,500
19/07/2024,23/12/2024,LB,2,Junior Consultant,500
21/04/2024,02/06/2024,VD,1,Junior Consultant,500
09/04/2024,25/05/2024,AT,1,Junior Consultant,500
05/07/2024,18/11/2024,AT,2,Junior Consultant,500
12/04/2024,23/04/2024,BH,1,Senior Consultant,750
04/08/2024,07/10/2024,BH,3,Senior Consultant,750
03/03/2024,19/04/2024,NG,1,Manager,1000
21/07/2024,15/10/2024,IM,1,Junior Consultant,500
22/02/2024,28/05/2024,TQ,1,Junior Consultant,500
01/07/2024,23/09/2024,YE,1,Junior Consultant,500
20/03/2024,30/06/2024,PG,1,Junior Consultant,500
20/08/2024,27/10/2024,PG,2,Junior Consultant,500
15/01/2024,08/06/2024,ZG,1,Manager,1000
18/07/2024,10/09/2024,ZG,2,Manager,1000
04/01/2024,12/04/2024,MH,1,Junior Consultant,500
17/03/2024,12/06/2024,PT,1,Manager,1000
06/01/2024,20/06/2024,AB,1,Junior Consultant,500
12/08/2024,04/11/2024,AB,2,Junior Consultant,500
01/07/2024,28/10/2024,HP,1,Senior Consultant,750
28/08/2024,13/09/2024,UL,1,Junior Consultant,500
07/03/2024,06/04/2024,YB,1,Junior Consultant,500
06/07/2024,16/11/2024,YB,2,Junior Consultant,500
20/03/2024,02/04/2024,LC,1,Senior Consultant,750
08/07/2024,14/09/2024,LC,3,Senior Consultant,750
24/07/2024,30/11/2024,GN,1,Junior Consultant,500
11/04/2024,25/04/2024,ZR,1,Junior Consultant,500
30/07/2024,20/10/2024,ZR,2,Junior Consultant,500
30/07/2024,06/10/2024,LR,1,Junior Consultant,500
09/08/2024,26/09/2024,QN,1,Junior Consultant,500
09/03/2024,14/06/2024,JO,1,Senior Consultant,750
03/07/2024,04/09/2024,JO,2,Senior Consultant,750
10/09/2024,30/12/2024,HE,1,Senior Consultant,750
01/02/2024,21/04/2024,UY,1,Junior Consultant,500
22/07/2024,24/11/2024,UY,2,Junior Consultant,500
04/09/2024,22/11/2024,LN,1,Manager,1000
07/04/2024,22/04/2024,QR,1,Manager,1000
22/01/2024,06/05/2024,TB,1,Senior Consultant,750
25/07/2024,20/10/2024,TB,2,Senior Consultant,750
02/03/2024,27/05/2024,CD,1,Senior Consultant,750
12/07/2024,30/10/2024,CD,2,Senior Consultant,750
07/09/2024,02/09/2024,DL,1,Manager,1000
28/07/2024,10/09/2024,YP,1,Junior Consultant,500
19/09/2024,15/11/2024,YP,2,Junior Consultant,500
05/02/2024,19/05/2024,FW,1,Junior Consultant,500
20/07/2024,28/11/2024,VQ,1,Junior Consultant,500
15/04/2024,18/05/2024,PN,1,Junior Consultant,500
13/02/2024,05/06/2024,DS,1,Manager,1000
30/08/2024,14/11/2024,YO,1,Junior Consultant,500
16/01/2024,02/06/2024,MA,1,Manager,1000
15/04/2024,01/05/2024,SL,1,Junior Consultant,500
29/03/2024,10/06/2024,YA,1,Junior Consultant,500
11/07/2024,14/10/2024,YA,2,Junior Consultant,500
06/07/2024,30/10/2024,HZ,1,Senior Consultant,750
22/01/2024,15/04/2024,JB,1,Junior Consultant,500
26/07/2024,16/09/2024,JB,2,Junior Consultant,500
28/02/2024,16/05/2024,JZ,1,Junior Consultant,500
15/08/2024,20/11/2024,JZ,3,Junior Consultant,500
20/04/2024,17/05/2024,NV,1,Senior Consultant,750
02/07/2024,29/09/2024,NV,3,Senior Consultant,750
14/08/2024,11/09/2024,SJ,1,Senior Consultant,750
18/02/2024,25/04/2024,FJ,1,Junior Consultant,500
25/09/2024,20/11/2024,FJ,2,Junior Consultant,500
20/01/2024,19/05/2024,EV,1,Junior Consultant,500
23/08/2024,09/09/2024,EV,2,Junior Consultant,500
01/02/2024,19/04/2024,XJ,1,Senior Consultant,750
29/08/2024,17/09/2024,XJ,2,Senior Consultant,750
23/08/2024,24/12/2024,DW,1,Junior Consultant,500
28/03/2024,17/06/2024,YK,1,Junior Consultant,500
24/03/2024,23/05/2024,GK,1,Junior Consultant,500
11/09/2024,09/12/2024,GK,2,Junior Consultant,500
29/04/2024,30/05/2024,CZ,1,Junior Consultant,500
10/09/2024,06/11/2024,CB,1,Junior Consultant,500
04/09/2024,09/11/2024,PY,1,Junior Consultant,500
14/01/2024,15/05/2024,UC,1,Senior Consultant,750
12/02/2024,02/05/2024,SS,1,Senior Consultant,750
17/09/2024,12/12/2024,SS,2,Senior Consultant,750
17/08/2024,19/10/2024,RN,1,Junior Consultant,500
15/07/2024,10/10/2024,BI,1,Senior Consultant,750
27/01/2024,18/06/2024,JV,1,Junior Consultant,500
12/08/2024,10/12/2024,JV,4,Junior Consultant,500
09/03/2024,24/05/2024,EN,1,Junior Consultant,500
03/09/2024,05/11/2024,CA,1,Manager,1000
21/03/2024,26/04/2024,NK,1,Junior Consultant,500
02/09/2024,05/10/2024,NK,3,Junior Consultant,500
20/07/2024,13/11/2024,SW,1,Junior Consultant,500
12/03/2024,06/06/2024,AG,1,Manager,1000
29/09/2024,08/11/2024,AG,2,Manager,1000
06/02/2024,14/05/2024,ED,1,Junior Consultant,500
03/08/2024,18/11/2024,ED,2,Junior Consultant,500
06/08/2024,14/12/2024,XX,1,Junior Consultant,500
03/01/2024,26/05/2024,MW,1,Manager,1000
15/04/2024,02/05/2024,PK,1,Manager,1000
25/07/2024,14/09/2024,PK,2,Manager,1000
11/01/2024,12/05/2024,MX,1,Manager,1000
17/07/2024,21/10/2024,MX,2,Manager,1000
03/01/2024,02/06/2024,PD,1,Junior Consultant,500
20/07/2024,17/11/2024,PD,2,Junior Consultant,500
29/03/2024,29/06/2024,ZO,1,Junior Consultant,500
28/02/2024,15/05/2024,LV,1,Senior Consultant,750
05/08/2024,04/09/2024,QJ,1,Senior Consultant,750
15/07/2024,02/11/2024,EM,1,Junior Consultant,500
14/04/2024,03/04/2024,XQ,1,Junior Consultant,500
29/07/2024,21/11/2024,XQ,2,Junior Consultant,500
15/07/2024,29/11/2024,IR,1,Junior Consultant,500
14/09/2024,01/09/2024,TN,1,Senior Consultant,750
30/08/2024,17/09/2024,OQ,1,Senior Consultant,750
20/01/2024,30/05/2024,RM,1,Junior Consultant,500
25/04/2024,14/04/2024,RM,3,Junior Consultant,500
18/07/2024,07/11/2024,RM,4,Junior Consultant,500
10/08/2024,21/09/2024,OJ,1,Senior Consultant,750
19/01/2024,30/05/2024,AW,1,Manager,1000
13/03/2024,05/05/2024,HU,1,Manager,1000
16/07/2024,02/12/2024,UI,1,Senior Consultant,750
05/03/2024,18/06/2024,DO,1,Manager,1000
24/02/2024,10/06/2024,YS,1,Junior Consultant,500
17/04/2024,02/04/2024,ID,1,Senior Consultant,750
13/02/2024,02/04/2024,TX,1,Junior Consultant,500
08/07/2024,03/12/2024,FV,1,Junior Consultant,500
02/07/2024,28/10/2024,HH,1,Senior Consultant,750
30/04/2024,05/06/2024,PA,1,Senior Consultant,750
17/09/2024,20/12/2024,PA,2,Senior Consultant,750
21/03/2024,16/04/2024,RD,1,Manager,1000
25/03/2024,04/06/2024,IW,1,Senior Consultant,750
03/09/2024,09/12/2024,IW,2,Senior Consultant,750
22/01/2024,10/06/2024,TK,1,Junior Consultant,500
05/04/2024,12/04/2024,TK,3,Junior Consultant,500
08/08/2024,15/10/2024,TK,4,Junior Consultant,500
04/02/2024,05/06/2024,WC,1,Manager,1000
08/08/2024,05/09/2024,LY,1,Senior Consultant,750
22/02/2024,25/06/2024,JF,1,Junior Consultant,500
12/07/2024,13/12/2024,JF,3,Junior Consultant,500
17/09/2024,01/12/2024,EA,1,Junior Consultant,500
02/09/2024,06/09/2024,ZU,1,Junior Consultant,500
24/01/2024,01/05/2024,SK,1,Senior Consultant,750
18/07/2024,24/09/2024,SK,2,Senior Consultant,750
03/02/2024,19/05/2024,BR,1,Senior Consultant,750
19/07/2024,14/11/2024,BR,2,Senior Consultant,750
06/03/2024,14/06/2024,EU,1,Junior Consultant,500
05/07/2024,11/09/2024,EU,2,Junior Consultant,500
24/01/2024,01/06/2024,XI,1,Junior Consultant,500
23/07/2024,23/09/2024,XI,3,Junior Consultant,500
12/09/2024,06/09/2024,QP,1,Senior Consultant,750
15/02/2024,24/04/2024,IH,1,Junior Consultant,500
29/04/2024,30/05/2024,IH,2,Junior Consultant,500
22/09/2024,14/12/2024,IH,3,Junior Consultant,500
29/02/2024,19/05/2024,KL,1,Junior Consultant,500
13/07/2024,21/10/2024,VP,1,Junior Consultant,500
30/07/2024,06/09/2024,OM,1,Senior Consultant,750
05/01/2024,15/05/2024,RQ,1,Junior Consultant,500
26/08/2024,05/10/2024,RQ,3,Junior Consultant,500
19/02/2024,09/05/2024,EK,1,Junior Consultant,500
02/08/2024,01/11/2024,EK,2,Junior Consultant,500
16/08/2024,10/12/2024,XW,1,Senior Consultant,750
09/02/2024,04/04/2024,JR,1,Junior Consultant,500
02/07/2024,13/11/2024,GW,1,Manager,1000
04/02/2024,27/06/2024,ZK,1,Manager,1000
08/02/2024,29/05/2024,XS,1,Manager,1000
20/09/2024,01/10/2024,XS,2,Manager,1000
09/03/2024,05/06/2024,IB,1,Junior Consultant,500
25/01/2024,16/06/2024,AE,1,Junior Consultant,500
10/07/2024,27/10/2024,NN,1,Junior Consultant,500
06/07/2024,05/12/2024,SR,1,Junior Consultant,500
23/01/2024,05/04/2024,JC,1,Junior Consultant,500
27/01/2024,05/04/2024,CY,1,Manager,1000
05/08/2024,27/12/2024,CY,2,Manager,1000
09/03/2024,10/04/2024,DK,1,Junior Consultant,500
19/09/2024,05/10/2024,DK,3,Junior Consultant,500
19/01/2024,17/06/2024,MJ,1,Senior Consultant,750
09/08/2024,07/12/2024,MJ,2,Senior Consultant,750
07/09/2024,30/09/2024,AP,1,Senior Consultant,750
02/07/2024,19/09/2024,HB,1,Senior Consultant,750
10/04/2024,19/06/2024,SZ,1,Junior Consultant,500
22/07/2024,01/09/2024,SZ,2,Junior Consultant,500
07/01/2024,10/06/2024,GM,1,Junior Consultant,500
21/07/2024,16/09/2024,GM,2,Junior Consultant,500
22/04/2024,04/05/2024,ZQ,1,Senior Consultant,750
07/09/2024,09/11/2024,EQ,1,Manager,1000
11/01/2024,12/04/2024,XM,1,Junior Consultant,500
02/07/2024,30/12/2024,XM,2,Junior Consultant,500
13/01/2024,07/05/2024,AR,1,Junior Consultant,500
07/07/2024,30/10/2024,AR,2,Junior Consultant,500
12/07/2024,17/12/2024,BB,1,Junior Consultant,500
22/07/2024,16/11/2024,SE,1,Junior Consultant,500
06/01/2024,15/04/2024,CE,1,Senior Consultant,750
12/07/2024,22/12/2024,CE,2,Senior Consultant,750
25/04/2024,10/05/2024,BV,1,Junior Consultant,500
26/03/2024,26/05/2024,PO,1,Senior Consultant,750
15/09/2024,23/09/2024,PO,2,Senior Consultant,750
02/07/2024,18/11/2024,PE,1,Junior Consultant,500
10/07/2024,14/11/2024,NZ,1,Senior Consultant,750
01/08/2024,02/11/2024,DZ,1,Junior Consultant,500
29/01/2024,10/04/2024,YF,1,Junior Consultant,500
07/08/2024,26/09/2024,YF,3,Junior Consultant,500
27/07/2024,14/12/2024,MP,1,Manager,1000
18/01/2024,02/06/2024,PL,1,Senior Consultant,750
23/09/2024,11/11/2024,RE,1,Manager,1000
24/01/2024,10/06/2024,JU,1,Junior Consultant,500
23/03/2024,24/05/2024,MZ,1,Junior Consultant,500
28/08/2024,28/09/2024,MZ,3,Junior Consultant,500
02/07/2024,03/12/2024,PF,1,Junior Consultant,500
14/01/2024,14/05/2024,IU,1,Senior Consultant,750
09/08/2024,15/10/2024,TI,1,Senior Consultant,750
18/08/2024,19/12/2024,JI,1,Senior Consultant,750
17/03/2024,26/06/2024,WU,1,Junior Consultant,500
17/07/2024,21/12/2024,FS,1,Senior Consultant,750
02/02/2024,24/04/2024,NC,1,Junior Consultant,500
13/09/2024,07/10/2024,DV,1,Manager,1000
26/04/2024,05/06/2024,YJ,1,Junior Consultant,500
30/09/2024,07/11/2024,YJ,2,Junior Consultant,500
14/04/2024,05/05/2024,QA,1,Manager,1000
30/09/2024,10/09/2024,HO,1,Junior Consultant,500
26/04/2024,08/04/2024,US,1,Senior Consultant,750
01/08/2024,26/11/2024,US,2,Senior Consultant,750
06/07/2024,20/12/2024,UG,1,Junior Consultant,500
05/07/2024,27/11/2024,RC,1,Manager,1000
26/03/2024,21/06/2024,YX,1,Junior Consultant,500
11/08/2024,06/12/2024,YX,2,Junior Consultant,500
18/09/2024,05/12/2024,DF,1,Senior Consultant,750
08/07/2024,22/09/2024,YZ,1,Senior Consultant,750
02/02/2024,29/04/2024,MG,1,Manager,1000
17/02/2024,12/05/2024,KZ,1,Junior Consultant,500
24/07/2024,12/12/2024,FB,1,Manager,1000
30/03/2024,11/06/2024,OP,1,Manager,1000
16/02/2024,07/04/2024,KV,1,Manager,1000
05/09/2024,04/09/2024,NB,1,Manager,1000
04/02/2024,04/05/2024,IA,1,Senior Consultant,750
20/08/2024,27/10/2024,KU,1,Junior Consultant,500
03/01/2024,24/04/2024,VI,1,Junior Consultant,500
18/07/2024,14/12/2024,VI,3,Junior Consultant,500
13/03/2024,27/06/2024,WK,1,Senior Consultant,750
12/07/2024,12/09/2024,LG,1,Senior Consultant,750
10/03/2024,28/05/2024,CL,1,Manager,1000
16/09/2024,07/12/2024,CL,2,Manager,1000
26/09/2024,07/09/2024,GB,1,Junior Consultant,500
19/04/2024,05/05/2024,MD,1,Manager,1000
22/07/2024,05/09/2024,MD,2,Manager,1000
13/04/2024,15/04/2024,PX,1,Junior Consultant,500
28/08/2024,19/11/2024,PX,2,Junior Consultant,500
05/01/2024,26/06/2024,FO,1,Junior Consultant,500
01/08/2024,07/12/2024,OZ,1,Senior Consultant,750
16/01/2024,14/04/2024,RF,1,Junior Consultant,500
20/07/2024,29/10/2024,RF,3,Junior Consultant,500
08/07/2024,03/10/2024,QG,1,Senior Consultant,750
27/01/2024,13/04/2024,QS,1,Junior Consultant,500
06/08/2024,12/11/2024,QS,2,Junior Consultant,500
18/09/2024,08/10/2024,GJ,1,Manager,1000
14/02/2024,23/06/2024,ZV,1,Junior Consultant,500
17/08/2024,11/11/2024,ZV,2,Junior Consultant,500
07/01/2024,26/04/2024,CQ,1,Senior Consultant,750
14/01/2024,20/05/2024,IX,1,Junior Consultant,500
15/07/2024,02/09/2024,IX,2,Junior Consultant,500
14/01/2024,19/06/2024,BL,1,Senior Consultant,750
17/07/2024,08/12/2024,BL,3,Senior Consultant,750
06/01/2024,14/05/2024,IQ,1,Junior Consultant,500
30/08/2024,01/09/2024,IQ,2,Junior Consultant,500
05/08/2024,30/09/2024,TM,1,Senior Consultant,750
21/07/2024,05/11/2024,AF,1,Junior Consultant,500
06/01/2024,18/04/2024,FT,1,Manager,1000
07/02/2024,03/06/2024,EE,1,Junior Consultant,500
02/02/2024,09/04/2024,XY,1,Senior Consultant,750
05/03/2024,21/04/2024,DR,1,Junior Consultant,500
28/07/2024,28/11/2024,DR,3,Junior Consultant,500
04/01/2024,30/04/2024,YN,1,Junior Consultant,500
01/09/2024,22/12/2024,YN,2,Junior Consultant,500
02/03/2024,30/05/2024,GU,1,Junior Consultant,500
19/04/2024,19/05/2024,ZI,1,Manager,1000
12/07/2024,02/11/2024,MB,1,Senior Consultant,750
25/08/2024,29/11/2024,VZ,1,Junior Consultant,500
08/08/2024,08/11/2024,AY,1,Junior Consultant,500
21/09/2024,10/12/2024,WT,1,Junior Consultant,500
22/07/2024,23/12/2024,YR,1,Senior Consultant,750
23/01/2024,27/06/2024,PB,1,Senior Consultant,750
02/08/2024,20/11/2024,PB,3,Senior Consultant,750
16/09/2024,12/12/2024,YC,1,Manager,1000
14/07/2024,21/09/2024,EX,1,Manager,1000
26/07/2024,26/11/2024,XD,1,Senior Consultant,750
20/07/2024,04/09/2024,KR,1,Manager,1000
21/08/2024,24/12/2024,FP,1,Manager,1000
20/01/2024,10/06/2024,FH,1,Senior Consultant,750
19/08/2024,22/09/2024,FH,2,Senior Consultant,750
06/08/2024,20/11/2024,HV,1,Junior Consultant,500
18/07/2024,04/09/2024,UJ,1,Manager,1000
17/03/2024,04/04/2024,DG,1,Junior Consultant,500
11/09/2024,15/12/2024,DG,2,Junior Consultant,500
11/01/2024,21/06/2024,MF,1,Junior Consultant,500
02/09/2024,14/10/2024,MF,3,Junior Consultant,500
21/08/2024,09/12/2024,PZ,1,Manager,1000
03/07/2024,25/09/2024,IV,1,Junior Consultant,500
04/03/2024,02/04/2024,TJ,1,Senior Consultant,750
09/08/2024,09/12/2024,OE,1,Manager,1000
28/04/2024,03/04/2024,RY,1,Junior Consultant,500
11/07/2024,02/09/2024,RY,2,Junior Consultant,500
18/04/2024,14/06/2024,IE,1,Senior Consultant,750
23/03/2024,14/06/2024,TY,1,Junior Consultant,500
12/07/2024,23/12/2024,TY,2,Junior Consultant,500
08/02/2024,04/04/2024,AO,1,Junior Consultant,500
30/08/2024,01/09/2024,AO,2,Junior Consultant,500
14/07/2024,03/12/2024,NH,1,Junior Consultant,500
28/01/2024,22/04/2024,ST,1,Senior Consultant,750
30/03/2024,25/05/2024,NQ,1,Junior Consultant,500
03/07/2024,24/09/2024,NQ,2,Junior Consultant,500
24/07/2024,27/11/2024,GC,1,Junior Consultant,500
12/01/2024,21/05/2024,AQ,1,Junior Consultant,500
23/08/2024,06/09/2024,AQ,5,Junior Consultant,500
09/09/2024,18/11/2024,AQ,6,Junior Consultant,500
13/08/2024,25/11/2024,LF,1,Junior Consultant,500
30/04/2024,18/06/2024,QZ,1,Junior Consultant,500
12/07/2024,06/09/2024,QZ,2,Junior Consultant,500
06/08/2024,03/12/2024,XC,1,Junior Consultant,500
21/02/2024,22/05/2024,JT,1,Manager,1000
05/09/2024,23/10/2024,JT,2,Manager,1000
21/02/2024,22/04/2024,CT,1,Junior Consultant,500
08/01/2024,08/04/2024,MU,1,Senior Consultant,750
09/09/2024,27/12/2024,MU,2,Senior Consultant,750
11/08/2024,27/11/2024,PI,1,Manager,1000
26/03/2024,15/05/2024,LX,1,Junior Consultant,500
17/07/2024,12/11/2024,LX,2,Junior Consultant,500
12/01/2024,08/04/2024,QD,1,Junior Consultant,500
23/02/2024,12/05/2024,BF,1,Junior Consultant,500
08/08/2024,30/12/2024,BF,2,Junior Consultant,500
08/07/2024,18/12/2024,GZ,1,Junior Consultant,500
27/01/2024,08/04/2024,ZF,1,Junior Consultant,500
18/04/2024,30/06/2024,ZF,3,Junior Consultant,500
24/02/2024,20/05/2024,IL,1,Junior Consultant,500
11/07/2024,02/10/2024,IL,3,Junior Consultant,500
28/04/2024,16/06/2024,TP,1,Junior Consultant,500
21/08/2024,08/10/2024,TP,2,Junior Consultant,500
25/08/2024,24/11/2024,FL,1,Junior Consultant,500
18/01/2024,25/06/2024,IY,1,Junior Consultant,500
23/03/2024,20/05/2024,TE,1,Junior Consultant,500
28/02/2024,04/05/2024,JE,1,Junior Consultant,500
12/08/2024,28/12/2024,JE,2,Junior Consultant,500
21/09/2024,30/12/2024,WY,1,Junior Consultant,500
16/07/2024,24/12/2024,KQ,1,Junior Consultant,500
12/07/2024,01/12/2024,VM,1,Junior Consultant,500
10/02/2024,14/04/2024,DM,1,Senior Consultant,750
03/07/2024,11/09/2024,YQ,1,Manager,1000
01/01/2024,21/06/2024,HR,1,Manager,1000
19/02/2024,29/05/2024,UN,1,Junior Consultant,500
24/04/2024,23/05/2024,LQ,1,Manager,1000
05/01/2024,07/04/2024,QM,1,Senior Consultant,750
03/07/2024,15/12/2024,QM,2,Senior Consultant,750
18/01/2024,18/04/2024,GL,1,Senior Consultant,750
07/07/2024,17/09/2024,GL,3,Senior Consultant,750
28/03/2024,12/04/2024,ZP,1,Senior Consultant,750
30/08/2024,25/09/2024,ZP,2,Senior Consultant,750
01/03/2024,21/04/2024,RG,1,Junior Consultant,500
01/09/2024,05/09/2024,RG,3,Junior Consultant,500
11/01/2024,14/04/2024,IP,1,Senior Consultant,750
04/08/2024,25/10/2024,IP,2,Senior Consultant,750
08/09/2024,04/11/2024,QQ,1,Junior Consultant,500
06/04/2024,03/04/2024,CJ,1,Senior Consultant,750
29/07/2024,26/09/2024,BD,1,Manager,1000
08/04/2024,29/04/2024,NT,1,Senior Consultant,750
