Calculation1,Easter Sunday
261,17/04/1960
323,17/04/2022
46,18/04/1745
57,18/04/1756
103,18/04/1802
114,18/04/1813
125,18/04/1824
198,18/04/1897
255,18/04/1954
266,18/04/1965
277,18/04/1976
68,19/04/1767
73,19/04/1772
79,19/04/1778
130,19/04/1829
136,19/04/1835
141,19/04/1840
209,19/04/1908
282,19/04/1981
288,19/04/1987
293,19/04/1992
11,20/04/1710
84,20/04/1783
95,20/04/1794
152,20/04/1851
163,20/04/1862
220,20/04/1919
225,20/04/1924
231,20/04/1930
304,20/04/2003
315,20/04/2014
16,21/04/1715
27,21/04/1726
38,21/04/1737
168,21/04/1867
179,21/04/1878
190,21/04/1889
236,21/04/1935
247,21/04/1946
258,21/04/1957
320,21/04/2019
54,22/04/1753
65,22/04/1764
111,22/04/1810
122,22/04/1821
133,22/04/1832
263,22/04/1962
274,22/04/1973
285,22/04/1984
149,23/04/1848
206,23/04/1905
217,23/04/1916
301,23/04/2000
8,24/04/1707
92,24/04/1791
160,24/04/1859
312,24/04/2011
35,25/04/1734
187,25/04/1886
244,25/04/1943
