Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
14/02/2024,PA002,New York,London,First Class,296,Yes,0,Vegetarian
17/05/2024,PA003,London,Perth,Business Class,379.2,Yes,3,Nut Free
02/06/2024,PA007,New York,Perth,First Class,612,Yes,0,Nut Free
23/07/2024,PA005,London,Tokyo,Premium Economy,1015,Yes,3,Nut Free
21/08/2024,PA012,Tokyo,Perth,Business Class,572.4,Yes,0,None
17/03/2024,PA005,London,Tokyo,Economy,2380,Yes,1,Egg Free
27/11/2024,PA007,New York,Perth,Premium Economy,692.5,Yes,0,Nut Free
25/07/2024,PA009,New York,Tokyo,Business Class,734.4,Yes,2,Vegetarian
13/05/2024,PA006,Tokyo,London,Premium Economy,1520,Yes,3,Vegetarian
28/09/2024,PA011,Perth,Tokyo,Premium Economy,1397.5,Yes,2,Dairy Free
14/06/2024,PA009,New York,Tokyo,First Class,383,Yes,0,Dairy Free
08/06/2024,PA007,New York,Perth,Economy,2825,Yes,2,Vegetarian
09/01/2024,PA002,New York,London,First Class,342,Yes,2,Dairy Free
22/11/2024,PA003,London,Perth,Economy,2245,Yes,1,None
04/09/2024,PA002,New York,London,Premium Economy,1387.5,Yes,2,Vegetarian
19/09/2024,PA009,New York,Tokyo,Premium Economy,675,Yes,2,Egg Free
27/02/2024,PA004,Perth,London,First Class,535,Yes,3,Dairy Free
19/10/2024,PA001,London,New York,Premium Economy,545,Yes,0,Nut Free
26/03/2024,PA012,Tokyo,Perth,First Class,566,Yes,0,Dairy Free
27/09/2024,PA002,New York,London,Premium Economy,625,Yes,2,Dairy Free
11/05/2024,PA006,Tokyo,London,First Class,208,Yes,0,None
25/06/2024,PA012,Tokyo,Perth,Economy,2080,Yes,0,Vegetarian
03/08/2024,PA002,New York,London,First Class,284,Yes,0,None
27/04/2024,PA011,Perth,Tokyo,Economy,3245,Yes,3,Vegetarian
09/04/2024,PA006,Tokyo,London,Premium Economy,710,Yes,2,Egg Free
19/11/2024,PA003,London,Perth,Premium Economy,1357.5,Yes,3,Vegan
24/06/2024,PA006,Tokyo,London,First Class,245,Yes,1,Nut Free
12/02/2024,PA011,Perth,Tokyo,Business Class,505.2,Yes,1,Vegetarian
04/03/2024,PA008,Perth,New York,Business Class,538.8,Yes,0,Egg Free
15/12/2024,PA009,New York,Tokyo,Economy,1310,Yes,0,Egg Free
25/09/2024,PA008,Perth,New York,First Class,642,Yes,3,Vegan
23/02/2024,PA002,New York,London,Premium Economy,547.5,Yes,2,Nut Free
27/01/2024,PA004,Perth,London,Premium Economy,1147.5,Yes,2,Nut Free
20/06/2024,PA008,Perth,New York,First Class,217,Yes,2,Egg Free
14/10/2024,PA011,Perth,Tokyo,Economy,2180,Yes,1,Nut Free
01/04/2024,PA004,Perth,London,Business Class,261.6,Yes,0,Dairy Free
04/08/2024,PA011,Perth,Tokyo,Economy,1005,Yes,1,Dairy Free
09/04/2024,PA007,New York,Perth,Premium Economy,842.5,Yes,3,Egg Free
18/08/2024,PA002,New York,London,Premium Economy,1360,Yes,0,None
17/04/2024,PA002,New York,London,Economy,1630,Yes,1,Vegan
15/01/2024,PA004,Perth,London,Premium Economy,1472.5,Yes,0,Nut Free
10/02/2024,PA009,New York,Tokyo,First Class,368,Yes,3,Vegan
02/06/2024,PA006,Tokyo,London,Premium Economy,1735,Yes,3,Vegan
06/10/2024,PA010,Tokyo,New York,Premium Economy,992.5,Yes,3,Vegan
03/06/2024,PA011,Perth,Tokyo,First Class,201,Yes,1,Vegetarian
10/12/2024,PA002,New York,London,Economy,3030,Yes,2,Dairy Free
21/12/2024,PA001,London,New York,Business Class,655.2,Yes,2,None
10/09/2024,PA011,Perth,Tokyo,Business Class,306,Yes,0,Dairy Free
12/03/2024,PA006,Tokyo,London,Economy,3010,Yes,3,Egg Free
17/10/2024,PA005,London,Tokyo,First Class,228,Yes,1,None
24/08/2024,PA003,London,Perth,Economy,1780,Yes,3,Dairy Free
11/12/2024,PA004,Perth,London,First Class,595,Yes,2,Vegan
01/08/2024,PA003,London,Perth,Economy,2170,Yes,3,Nut Free
31/07/2024,PA010,Tokyo,New York,Premium Economy,1412.5,Yes,0,Vegan
08/10/2024,PA008,Perth,New York,Business Class,249.6,Yes,2,Nut Free
12/12/2024,PA010,Tokyo,New York,Premium Economy,1437.5,Yes,1,Egg Free
14/10/2024,PA009,New York,Tokyo,Economy,1360,Yes,1,Dairy Free
25/10/2024,PA008,Perth,New York,First Class,575,Yes,0,Nut Free
07/08/2024,PA002,New York,London,Premium Economy,832.5,Yes,0,None
04/12/2024,PA004,Perth,London,Economy,2540,Yes,3,Vegan
28/07/2024,PA005,London,Tokyo,First Class,263,Yes,2,None
12/03/2024,PA007,New York,Perth,Economy,2640,Yes,0,Vegan
11/05/2024,PA003,London,Perth,Economy,2885,Yes,3,Vegetarian
05/12/2024,PA008,Perth,New York,Economy,2200,Yes,1,Nut Free
13/03/2024,PA001,London,New York,Premium Economy,1422.5,Yes,0,Dairy Free
05/12/2024,PA012,Tokyo,Perth,Economy,2230,Yes,3,None
21/08/2024,PA008,Perth,New York,First Class,300,Yes,0,Vegan
31/10/2024,PA010,Tokyo,New York,Premium Economy,780,Yes,2,None
01/11/2024,PA009,New York,Tokyo,Premium Economy,1585,Yes,1,Dairy Free
04/06/2024,PA010,Tokyo,New York,First Class,389,Yes,1,Egg Free
12/06/2024,PA012,Tokyo,Perth,Business Class,318,Yes,1,Nut Free
13/08/2024,PA011,Perth,Tokyo,Economy,1165,Yes,0,None
03/02/2024,PA003,London,Perth,Premium Economy,1095,Yes,3,None
20/08/2024,PA005,London,Tokyo,Premium Economy,1632.5,Yes,2,Vegan
20/01/2024,PA004,Perth,London,First Class,440,Yes,3,Dairy Free
04/05/2024,PA007,New York,Perth,Premium Economy,1680,Yes,1,Nut Free
03/01/2024,PA006,Tokyo,London,Economy,1280,Yes,1,Dairy Free
11/04/2024,PA008,Perth,New York,First Class,676,Yes,1,Egg Free
21/03/2024,PA004,Perth,London,Business Class,836.4,Yes,1,Egg Free
09/10/2024,PA011,Perth,Tokyo,Economy,3065,Yes,3,Dairy Free
31/05/2024,PA007,New York,Perth,Premium Economy,725,Yes,3,Dairy Free
19/05/2024,PA005,London,Tokyo,Business Class,424.8,Yes,2,Nut Free
25/01/2024,PA012,Tokyo,Perth,Business Class,358.8,Yes,0,None
02/01/2024,PA003,London,Perth,Premium Economy,1200,Yes,3,Dairy Free
15/05/2024,PA008,Perth,New York,Business Class,427.2,Yes,0,Vegan
24/04/2024,PA010,Tokyo,New York,Economy,2130,Yes,0,Dairy Free
28/04/2024,PA002,New York,London,Business Class,241.2,Yes,2,Vegetarian
13/12/2024,PA003,London,Perth,Premium Economy,505,Yes,2,None
20/10/2024,PA011,Perth,Tokyo,First Class,385,Yes,2,Dairy Free
27/08/2024,PA002,New York,London,First Class,573,Yes,1,Vegan
12/11/2024,PA003,London,Perth,Economy,2190,Yes,3,Vegetarian
23/07/2024,PA009,New York,Tokyo,Business Class,339.6,Yes,1,Vegetarian
22/02/2024,PA005,London,Tokyo,Business Class,468,Yes,1,None
18/09/2024,PA001,London,New York,Economy,1020,Yes,0,Vegetarian
06/12/2024,PA011,Perth,Tokyo,Business Class,601.2,Yes,3,Dairy Free
10/10/2024,PA001,London,New York,Economy,3035,Yes,3,Vegetarian
14/12/2024,PA007,New York,Perth,Premium Economy,1305,Yes,2,Nut Free
07/11/2024,PA006,Tokyo,London,First Class,252,Yes,0,None
21/03/2024,PA003,London,Perth,Business Class,272.4,Yes,2,Nut Free
26/02/2024,PA009,New York,Tokyo,Premium Economy,1085,Yes,2,Vegan
31/07/2024,PA012,Tokyo,Perth,Premium Economy,817.5,Yes,1,Egg Free
20/01/2024,PA008,Perth,New York,Economy,2330,Yes,1,Egg Free
26/08/2024,PA007,New York,Perth,Economy,2235,Yes,1,None
05/04/2024,PA005,London,Tokyo,Economy,3005,Yes,0,None
05/01/2024,PA010,Tokyo,New York,First Class,681,Yes,0,None
02/03/2024,PA006,Tokyo,London,Business Class,558,Yes,2,Vegetarian
06/03/2024,PA009,New York,Tokyo,Economy,1840,Yes,3,Vegetarian
16/04/2024,PA012,Tokyo,Perth,First Class,506,Yes,2,Nut Free
29/05/2024,PA007,New York,Perth,Business Class,240,Yes,1,Vegetarian
04/01/2024,PA002,New York,London,Premium Economy,1635,Yes,2,Egg Free
07/07/2024,PA011,Perth,Tokyo,Economy,2590,Yes,1,Vegetarian
06/10/2024,PA003,London,Perth,Business Class,783.6,Yes,2,Vegan
03/05/2024,PA001,London,New York,Economy,3160,Yes,2,None
09/08/2024,PA011,Perth,Tokyo,First Class,512,Yes,0,Egg Free
27/10/2024,PA010,Tokyo,New York,Economy,1715,Yes,0,Nut Free
10/06/2024,PA009,New York,Tokyo,First Class,517,Yes,2,Vegan
20/12/2024,PA006,Tokyo,London,Economy,2725,Yes,0,Vegetarian
27/11/2024,PA012,Tokyo,Perth,Economy,2500,Yes,1,Dairy Free
23/03/2024,PA009,New York,Tokyo,Economy,2300,Yes,1,Dairy Free
06/07/2024,PA003,London,Perth,First Class,305,Yes,1,Egg Free
05/12/2024,PA002,New York,London,Business Class,499.2,Yes,0,Vegetarian
09/07/2024,PA012,Tokyo,Perth,Economy,1420,Yes,0,Nut Free
31/03/2024,PA006,Tokyo,London,First Class,300,Yes,0,None
06/05/2024,PA004,Perth,London,First Class,591,Yes,3,None
10/04/2024,PA001,London,New York,Premium Economy,1042.5,Yes,0,None
16/05/2024,PA003,London,Perth,Economy,2925,Yes,1,Vegan
01/12/2024,PA008,Perth,New York,First Class,340,Yes,1,Egg Free
26/06/2024,PA003,London,Perth,Business Class,463.2,Yes,1,Vegan
21/12/2024,PA001,London,New York,Business Class,325.2,Yes,3,Vegetarian
10/07/2024,PA007,New York,Perth,Economy,1600,Yes,1,Vegetarian
16/12/2024,PA006,Tokyo,London,Premium Economy,1582.5,Yes,0,Nut Free
23/05/2024,PA003,London,Perth,Economy,2045,Yes,2,None
14/08/2024,PA004,Perth,London,Premium Economy,742.5,Yes,2,Vegan
19/09/2024,PA011,Perth,Tokyo,Business Class,332.4,Yes,2,Dairy Free
06/07/2024,PA004,Perth,London,Premium Economy,595,Yes,2,Vegan
23/01/2024,PA001,London,New York,Premium Economy,1290,Yes,3,Vegan
07/07/2024,PA008,Perth,New York,First Class,348,Yes,2,Vegetarian
06/11/2024,PA001,London,New York,Economy,1245,Yes,2,None
19/08/2024,PA005,London,Tokyo,Business Class,421.2,Yes,0,Nut Free
06/05/2024,PA002,New York,London,Premium Economy,912.5,Yes,0,Dairy Free
17/12/2024,PA011,Perth,Tokyo,First Class,511,Yes,1,Dairy Free
29/07/2024,PA011,Perth,Tokyo,Business Class,337.2,Yes,1,Vegan
08/01/2024,PA008,Perth,New York,Economy,3065,Yes,1,Vegan
29/12/2024,PA003,London,Perth,Premium Economy,1107.5,Yes,1,None
29/08/2024,PA006,Tokyo,London,First Class,476,Yes,2,Vegan
04/04/2024,PA012,Tokyo,Perth,Business Class,818.4,Yes,1,Egg Free
09/08/2024,PA010,Tokyo,New York,First Class,665,Yes,3,Dairy Free
03/04/2024,PA004,Perth,London,First Class,427,Yes,1,None
06/10/2024,PA009,New York,Tokyo,Economy,3165,Yes,1,None
14/07/2024,PA006,Tokyo,London,First Class,630,Yes,1,Egg Free
05/01/2024,PA012,Tokyo,Perth,First Class,436,Yes,3,Nut Free
22/03/2024,PA007,New York,Perth,Economy,2240,Yes,0,Dairy Free
25/05/2024,PA010,Tokyo,New York,Business Class,674.4,Yes,3,None
20/03/2024,PA007,New York,Perth,Economy,1170,Yes,0,None
22/10/2024,PA001,London,New York,Premium Economy,952.5,Yes,1,None
24/12/2024,PA005,London,Tokyo,First Class,244,Yes,0,Vegetarian
01/02/2024,PA005,London,Tokyo,First Class,586,Yes,0,Dairy Free
20/02/2024,PA002,New York,London,Premium Economy,1737.5,Yes,3,Vegan
15/07/2024,PA006,Tokyo,London,Premium Economy,1342.5,Yes,2,Dairy Free
07/01/2024,PA003,London,Perth,Business Class,462,Yes,2,None
11/07/2024,PA002,New York,London,First Class,494,Yes,3,Vegan
08/01/2024,PA007,New York,Perth,Economy,2300,Yes,1,Vegetarian
19/08/2024,PA002,New York,London,First Class,213,Yes,0,Vegetarian
28/06/2024,PA009,New York,Tokyo,Economy,2850,Yes,1,Vegetarian
23/11/2024,PA003,London,Perth,First Class,646,Yes,1,Vegan
11/08/2024,PA012,Tokyo,Perth,Premium Economy,1140,Yes,2,Egg Free
02/05/2024,PA009,New York,Tokyo,Business Class,706.8,Yes,0,Egg Free
18/07/2024,PA007,New York,Perth,Business Class,709.2,Yes,2,Nut Free
25/11/2024,PA003,London,Perth,Economy,2155,Yes,2,Nut Free
10/06/2024,PA001,London,New York,Premium Economy,665,Yes,0,None
20/10/2024,PA001,London,New York,Business Class,451.2,Yes,2,Dairy Free
16/04/2024,PA009,New York,Tokyo,Business Class,282,Yes,2,Vegan
26/12/2024,PA006,Tokyo,London,Economy,2395,Yes,0,Dairy Free
26/03/2024,PA011,Perth,Tokyo,First Class,645,Yes,3,Egg Free
23/06/2024,PA007,New York,Perth,First Class,666,Yes,1,Egg Free
09/09/2024,PA012,Tokyo,Perth,Business Class,265.2,Yes,1,None
15/08/2024,PA006,Tokyo,London,Economy,1515,Yes,0,Egg Free
09/09/2024,PA009,New York,Tokyo,Premium Economy,1557.5,Yes,1,Dairy Free
07/04/2024,PA003,London,Perth,Premium Economy,1727.5,Yes,1,None
30/04/2024,PA009,New York,Tokyo,Economy,1220,Yes,3,Vegetarian
28/10/2024,PA010,Tokyo,New York,Business Class,796.8,Yes,2,Dairy Free
16/04/2024,PA008,Perth,New York,Economy,2235,Yes,1,Egg Free
27/08/2024,PA003,London,Perth,First Class,694,Yes,0,Dairy Free
06/02/2024,PA012,Tokyo,Perth,Premium Economy,570,Yes,2,Dairy Free
03/09/2024,PA009,New York,Tokyo,Premium Economy,840,Yes,0,Nut Free
31/12/2024,PA002,New York,London,Premium Economy,677.5,Yes,3,Nut Free
28/08/2024,PA003,London,Perth,Premium Economy,505,Yes,3,None
23/10/2024,PA001,London,New York,Economy,1155,Yes,1,Egg Free
02/10/2024,PA011,Perth,Tokyo,Business Class,679.2,Yes,3,Nut Free
01/04/2024,PA008,Perth,New York,Premium Economy,1530,Yes,1,Vegetarian
09/05/2024,PA002,New York,London,Economy,2585,Yes,1,Egg Free
25/04/2024,PA006,Tokyo,London,Economy,1650,Yes,3,Egg Free
03/05/2024,PA011,Perth,Tokyo,Business Class,627.6,Yes,2,Egg Free
20/06/2024,PA001,London,New York,First Class,456,Yes,3,Vegetarian
09/10/2024,PA012,Tokyo,Perth,Premium Economy,980,Yes,1,Egg Free
06/05/2024,PA006,Tokyo,London,Premium Economy,832.5,Yes,3,Egg Free
05/08/2024,PA007,New York,Perth,Economy,1765,Yes,1,Vegetarian
19/10/2024,PA002,New York,London,Premium Economy,650,Yes,1,Vegan
03/10/2024,PA007,New York,Perth,First Class,694,Yes,3,Nut Free
24/08/2024,PA006,Tokyo,London,Premium Economy,1447.5,Yes,3,None
19/11/2024,PA005,London,Tokyo,First Class,238,Yes,0,Vegetarian
19/06/2024,PA006,Tokyo,London,Economy,1705,Yes,2,Dairy Free
11/09/2024,PA004,Perth,London,Premium Economy,922.5,Yes,2,Vegetarian
18/07/2024,PA008,Perth,New York,First Class,395,Yes,2,Dairy Free
03/05/2024,PA001,London,New York,First Class,567,Yes,2,Vegan
07/02/2024,PA009,New York,Tokyo,Business Class,421.2,Yes,0,Vegetarian
06/08/2024,PA002,New York,London,Business Class,586.8,Yes,1,Vegetarian
13/12/2024,PA009,New York,Tokyo,Business Class,604.8,Yes,1,Vegan
04/07/2024,PA007,New York,Perth,Premium Economy,1080,Yes,3,Vegan
01/07/2024,PA004,Perth,London,Economy,1235,Yes,1,Vegan
13/08/2024,PA011,Perth,Tokyo,Business Class,768,Yes,3,Nut Free
16/12/2024,PA002,New York,London,Premium Economy,620,Yes,2,Egg Free
28/02/2024,PA006,Tokyo,London,Economy,1695,Yes,0,Dairy Free
19/11/2024,PA002,New York,London,Business Class,375.6,Yes,0,Nut Free
27/02/2024,PA009,New York,Tokyo,Business Class,369.6,Yes,1,Dairy Free
08/02/2024,PA006,Tokyo,London,Economy,1310,Yes,1,Dairy Free
14/02/2024,PA010,Tokyo,New York,Premium Economy,1107.5,Yes,1,Vegetarian
15/08/2024,PA012,Tokyo,Perth,Business Class,507.6,Yes,1,Vegan
07/03/2024,PA001,London,New York,Economy,2960,Yes,1,Egg Free
30/10/2024,PA010,Tokyo,New York,Business Class,402,Yes,2,Nut Free
01/05/2024,PA002,New York,London,First Class,277,Yes,3,Dairy Free
26/12/2024,PA008,Perth,New York,Business Class,475.2,Yes,1,Vegan
25/07/2024,PA012,Tokyo,Perth,Economy,3115,Yes,2,None
07/09/2024,PA009,New York,Tokyo,Economy,3310,Yes,0,Vegetarian
22/07/2024,PA006,Tokyo,London,Premium Economy,602.5,Yes,2,None
14/03/2024,PA005,London,Tokyo,Premium Economy,1457.5,Yes,3,Dairy Free
27/08/2024,PA007,New York,Perth,Business Class,726,Yes,3,Dairy Free
23/09/2024,PA009,New York,Tokyo,Premium Economy,1275,Yes,2,Nut Free
10/10/2024,PA002,New York,London,Economy,3000,Yes,1,Vegan
12/06/2024,PA009,New York,Tokyo,Premium Economy,1715,Yes,0,Vegan
31/08/2024,PA004,Perth,London,First Class,599,Yes,0,Egg Free
28/01/2024,PA001,London,New York,Premium Economy,1395,Yes,0,Vegetarian
26/05/2024,PA003,London,Perth,Economy,2455,Yes,3,Dairy Free
28/08/2024,PA004,Perth,London,Economy,3050,Yes,3,Egg Free
03/01/2024,PA011,Perth,Tokyo,Economy,3500,Yes,2,Nut Free
23/12/2024,PA006,Tokyo,London,Business Class,480,Yes,2,Dairy Free
10/11/2024,PA007,New York,Perth,Premium Economy,1070,Yes,3,Vegetarian
26/03/2024,PA003,London,Perth,Business Class,508.8,Yes,1,Dairy Free
14/12/2024,PA011,Perth,Tokyo,Premium Economy,1310,Yes,3,Vegetarian
10/07/2024,PA005,London,Tokyo,Business Class,787.2,Yes,3,Dairy Free
31/10/2024,PA002,New York,London,First Class,275,Yes,1,Nut Free
14/05/2024,PA008,Perth,New York,Premium Economy,1477.5,Yes,1,Nut Free
04/04/2024,PA009,New York,Tokyo,Economy,3175,Yes,0,Vegetarian
20/06/2024,PA006,Tokyo,London,First Class,200,Yes,2,Dairy Free
13/02/2024,PA004,Perth,London,Premium Economy,752.5,Yes,0,None
14/05/2024,PA006,Tokyo,London,Premium Economy,990,Yes,2,Egg Free
29/10/2024,PA001,London,New York,First Class,216,Yes,0,Nut Free
10/02/2024,PA005,London,Tokyo,First Class,681,Yes,1,Vegetarian
13/08/2024,PA008,Perth,New York,First Class,506,Yes,2,Nut Free
03/04/2024,PA001,London,New York,Business Class,298.8,Yes,0,Vegan
19/06/2024,PA009,New York,Tokyo,Premium Economy,1275,Yes,1,None
07/03/2024,PA009,New York,Tokyo,Business Class,332.4,Yes,3,Egg Free
30/08/2024,PA005,London,Tokyo,Economy,3315,Yes,3,Nut Free
03/06/2024,PA002,New York,London,Economy,1230,Yes,0,Vegetarian
01/10/2024,PA002,New York,London,Economy,2415,Yes,0,Vegan
24/04/2024,PA012,Tokyo,Perth,Premium Economy,535,Yes,2,Vegan
20/06/2024,PA001,London,New York,Premium Economy,930,Yes,0,Vegan
09/10/2024,PA003,London,Perth,Economy,3415,Yes,3,Vegetarian
20/10/2024,PA005,London,Tokyo,First Class,514,Yes,1,Nut Free
15/02/2024,PA009,New York,Tokyo,Economy,2980,Yes,0,None
15/01/2024,PA008,Perth,New York,Business Class,502.8,Yes,3,Vegan
16/08/2024,PA010,Tokyo,New York,Economy,3265,Yes,2,Vegetarian
02/08/2024,PA008,Perth,New York,Premium Economy,1550,Yes,1,Dairy Free
13/07/2024,PA005,London,Tokyo,Economy,1480,Yes,1,Vegetarian
27/01/2024,PA002,New York,London,Business Class,489.6,Yes,1,None
19/09/2024,PA002,New York,London,Premium Economy,635,Yes,1,Vegetarian
16/08/2024,PA007,New York,Perth,Premium Economy,757.5,Yes,3,Egg Free
15/10/2024,PA009,New York,Tokyo,Premium Economy,870,Yes,0,Dairy Free
12/03/2024,PA007,New York,Perth,Business Class,434.4,Yes,1,Nut Free
15/04/2024,PA003,London,Perth,Business Class,249.6,Yes,3,Egg Free
13/05/2024,PA004,Perth,London,Economy,2785,Yes,3,Vegan
30/08/2024,PA005,London,Tokyo,Business Class,811.2,Yes,3,Vegan
01/10/2024,PA004,Perth,London,First Class,510,Yes,1,Vegetarian
19/05/2024,PA010,Tokyo,New York,Premium Economy,1555,Yes,2,Egg Free
01/06/2024,PA009,New York,Tokyo,First Class,274,Yes,3,Vegetarian
11/05/2024,PA005,London,Tokyo,Business Class,706.8,Yes,1,Egg Free
12/09/2024,PA008,Perth,New York,Economy,1315,Yes,0,Dairy Free
23/08/2024,PA011,Perth,Tokyo,Economy,1160,Yes,1,Dairy Free
23/09/2024,PA012,Tokyo,Perth,Economy,3495,Yes,0,Egg Free
27/07/2024,PA003,London,Perth,Premium Economy,1232.5,Yes,1,None
22/11/2024,PA001,London,New York,Economy,1030,Yes,1,None
29/05/2024,PA010,Tokyo,New York,Economy,2765,Yes,3,Dairy Free
04/02/2024,PA008,Perth,New York,Economy,1295,Yes,2,Egg Free
10/09/2024,PA012,Tokyo,Perth,Business Class,420,Yes,2,Nut Free
21/12/2024,PA002,New York,London,Business Class,379.2,Yes,0,Dairy Free
25/12/2024,PA003,London,Perth,First Class,473,Yes,0,None
15/07/2024,PA011,Perth,Tokyo,Premium Economy,1670,Yes,1,Vegan
09/12/2024,PA003,London,Perth,First Class,602,Yes,2,Egg Free
20/09/2024,PA010,Tokyo,New York,First Class,214,Yes,3,Dairy Free
23/12/2024,PA009,New York,Tokyo,Premium Economy,952.5,Yes,2,Egg Free
28/11/2024,PA005,London,Tokyo,Economy,2830,Yes,3,Vegan
03/12/2024,PA002,New York,London,Business Class,710.4,Yes,1,Dairy Free
05/03/2024,PA004,Perth,London,Economy,2655,Yes,2,Egg Free
08/12/2024,PA009,New York,Tokyo,First Class,644,Yes,0,Egg Free
23/07/2024,PA004,Perth,London,Economy,1360,Yes,3,Nut Free
23/03/2024,PA011,Perth,Tokyo,Premium Economy,572.5,Yes,2,Vegetarian
25/03/2024,PA004,Perth,London,Premium Economy,885,Yes,3,Egg Free
18/05/2024,PA008,Perth,New York,First Class,625,Yes,2,Egg Free
29/03/2024,PA002,New York,London,Economy,1515,Yes,2,None
29/05/2024,PA008,Perth,New York,Economy,3435,Yes,2,Egg Free
16/03/2024,PA011,Perth,Tokyo,Economy,2305,Yes,2,Vegetarian
07/08/2024,PA006,Tokyo,London,Business Class,460.8,Yes,1,Dairy Free
16/09/2024,PA001,London,New York,Premium Economy,507.5,Yes,0,Nut Free
22/09/2024,PA012,Tokyo,Perth,Economy,1550,Yes,1,Nut Free
04/04/2024,PA012,Tokyo,Perth,Business Class,583.2,Yes,1,Vegetarian
28/08/2024,PA011,Perth,Tokyo,Premium Economy,780,Yes,2,Vegan
14/06/2024,PA005,London,Tokyo,Business Class,421.2,Yes,0,None
27/06/2024,PA007,New York,Perth,Economy,2060,Yes,1,Nut Free
08/11/2024,PA002,New York,London,Premium Economy,865,Yes,3,Vegetarian
27/10/2024,PA002,New York,London,Economy,2780,Yes,2,Egg Free
24/11/2024,PA011,Perth,Tokyo,Business Class,415.2,Yes,3,Vegan
27/03/2024,PA003,London,Perth,Business Class,426,Yes,0,Egg Free
11/09/2024,PA010,Tokyo,New York,First Class,692,Yes,2,Vegetarian
23/12/2024,PA006,Tokyo,London,Premium Economy,1380,Yes,1,Egg Free
14/05/2024,PA008,Perth,New York,Economy,2435,Yes,0,Vegetarian
03/07/2024,PA012,Tokyo,Perth,Premium Economy,1582.5,Yes,1,Egg Free
