Year Week Number,Scent,Size,Product Type,Sales
202003,Lemongrass,0.5l,Liquid,411.87
202003,Lemongrass,100g,Bar,20.59
202003,Lemongrass,50g,Bar,82.37
202004,Lemongrass,0.5l,Liquid,5518.16
202004,Lemongrass,100g,Bar,2759.08
202004,Lemongrass,250ml,Liquid,551.82
202004,Lemongrass,50g,Bar,367.88
202005,Lemongrass,0.5l,Liquid,3239.62
202005,Lemongrass,100g,Bar,3599.58
202005,Lemongrass,250ml,Liquid,143.98
202005,Lemongrass,50g,Bar,215.97
202006,Lemongrass,0.5l,Liquid,41.08
202006,Lemongrass,100g,Bar,164.34
202006,Lemongrass,250ml,Liquid,3081.3
202006,Lemongrass,50g,Bar,821.68
202007,Lemongrass,0.5l,Liquid,478.76
202007,Lemongrass,100g,Bar,889.12
202007,Lemongrass,250ml,Liquid,2051.81
202007,Lemongrass,50g,Bar,3419.68
202008,Lemongrass,0.5l,Liquid,651.43
202008,Lemongrass,100g,Bar,256.63
202008,Lemongrass,250ml,Liquid,394.81
202008,Lemongrass,50g,Bar,671.17
202009,Lemongrass,0.5l,Liquid,1282.29
202009,Lemongrass,100g,Bar,64.11
202009,Lemongrass,50g,Bar,256.46
202010,Lemongrass,0.5l,Liquid,3072.19
202010,Lemongrass,100g,Bar,1536.1
202010,Lemongrass,250ml,Liquid,307.22
202010,Lemongrass,50g,Bar,204.81
202011,Lemongrass,0.5l,Liquid,1546.38
202011,Lemongrass,100g,Bar,1718.2
202011,Lemongrass,250ml,Liquid,68.73
202011,Lemongrass,50g,Bar,103.09
202002,Tea Tree,0.5l,Liquid,76.29
202002,Tea Tree,100g,Bar,305.18
202002,Tea Tree,250ml,Liquid,5722.11
202002,Tea Tree,50g,Bar,1525.9
202003,Tea Tree,0.5l,Liquid,94.54
202003,Tea Tree,100g,Bar,175.57
202003,Tea Tree,250ml,Liquid,405.16
202003,Tea Tree,50g,Bar,675.28
202004,Tea Tree,0.5l,Liquid,777.51
202004,Tea Tree,100g,Bar,306.29
202004,Tea Tree,250ml,Liquid,471.22
202004,Tea Tree,50g,Bar,801.07
202005,Tea Tree,0.5l,Liquid,2288.46
202005,Tea Tree,100g,Bar,114.42
202005,Tea Tree,50g,Bar,457.69
202006,Tea Tree,0.5l,Liquid,4359.94
202006,Tea Tree,100g,Bar,2179.97
202006,Tea Tree,250ml,Liquid,435.99
202006,Tea Tree,50g,Bar,290.66
202007,Tea Tree,0.5l,Liquid,3752.17
202007,Tea Tree,100g,Bar,4169.08
202007,Tea Tree,250ml,Liquid,166.76
202007,Tea Tree,50g,Bar,250.14
202008,Tea Tree,0.5l,Liquid,30.54
202008,Tea Tree,100g,Bar,122.15
202008,Tea Tree,250ml,Liquid,2290.26
202008,Tea Tree,50g,Bar,610.74
202009,Tea Tree,0.5l,Liquid,24.54
202009,Tea Tree,100g,Bar,45.58
202009,Tea Tree,250ml,Liquid,105.19
202009,Tea Tree,50g,Bar,175.31
202010,Tea Tree,0.5l,Liquid,218.45
202010,Tea Tree,100g,Bar,2657.78
202010,Tea Tree,250ml,Liquid,364.08
202010,Tea Tree,50g,Bar,400.49
202011,Tea Tree,0.5l,Liquid,1292.24
202011,Tea Tree,100g,Bar,2385.67
202011,Tea Tree,250ml,Liquid,5964.17
202011,Tea Tree,50g,Bar,298.21
