Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
26/11/2024,PA006,Tokyo,London,Economy,1550,No,1,Egg Free
04/11/2024,PA008,Perth,New York,Business Class,764.4,No,0,Vegan
14/09/2024,PA003,London,Perth,Business Class,654,No,0,Vegan
17/03/2024,PA004,Perth,London,Premium Economy,1230,No,0,Dairy Free
31/12/2024,PA006,Tokyo,London,Business Class,783.6,No,1,Nut Free
13/05/2024,PA010,Tokyo,New York,First Class,493,No,3,Vegetarian
07/08/2024,PA004,Perth,London,Economy,2025,No,3,Vegan
05/12/2024,PA007,New York,Perth,First Class,523,No,3,None
29/11/2024,PA010,Tokyo,New York,Business Class,325.2,No,0,Vegan
30/05/2024,PA003,London,Perth,Business Class,828,No,0,Vegetarian
06/03/2024,PA010,Tokyo,New York,First Class,563,No,3,Dairy Free
21/04/2024,PA001,London,New York,First Class,202,No,2,Nut Free
07/08/2024,PA006,Tokyo,London,First Class,468,No,3,Egg Free
05/05/2024,PA002,New York,London,Premium Economy,850,No,3,Vegan
10/06/2024,PA004,Perth,London,Economy,1710,No,0,Vegetarian
11/05/2024,PA009,New York,Tokyo,Premium Economy,1497.5,No,3,Vegan
21/11/2024,PA007,New York,Perth,Business Class,715.2,No,3,Egg Free
12/06/2024,PA007,New York,Perth,Premium Economy,817.5,No,3,Dairy Free
14/10/2024,PA005,London,Tokyo,Economy,1490,No,1,Vegan
31/03/2024,PA010,Tokyo,New York,Premium Economy,1282.5,No,3,Nut Free
14/02/2024,PA009,New York,Tokyo,First Class,473,No,1,Egg Free
04/09/2024,PA012,Tokyo,Perth,Premium Economy,1177.5,No,1,Dairy Free
29/06/2024,PA005,London,Tokyo,Business Class,639.6,No,3,Egg Free
18/06/2024,PA004,Perth,London,First Class,443,No,0,Dairy Free
04/08/2024,PA006,Tokyo,London,Business Class,832.8,No,2,Nut Free
03/08/2024,PA005,London,Tokyo,First Class,590,No,0,Nut Free
02/03/2024,PA003,London,Perth,Business Class,439.2,No,1,Dairy Free
07/07/2024,PA004,Perth,London,Business Class,242.4,No,0,Nut Free
18/10/2024,PA010,Tokyo,New York,Premium Economy,1642.5,No,0,Nut Free
10/07/2024,PA012,Tokyo,Perth,First Class,287,No,1,Nut Free
15/06/2024,PA009,New York,Tokyo,First Class,500,No,3,Vegetarian
02/03/2024,PA006,Tokyo,London,Economy,3070,No,3,Egg Free
17/03/2024,PA012,Tokyo,Perth,Premium Economy,587.5,No,3,Vegetarian
28/10/2024,PA012,Tokyo,Perth,Economy,1235,No,1,Nut Free
06/11/2024,PA001,London,New York,Premium Economy,1270,No,1,None
13/08/2024,PA004,Perth,London,Premium Economy,735,No,2,Nut Free
22/05/2024,PA007,New York,Perth,Economy,2645,No,3,Dairy Free
18/05/2024,PA008,Perth,New York,Business Class,271.2,No,3,Egg Free
01/04/2024,PA005,London,Tokyo,Premium Economy,1597.5,No,3,Egg Free
20/07/2024,PA006,Tokyo,London,First Class,215,No,3,None
15/02/2024,PA012,Tokyo,Perth,First Class,208,No,0,Vegan
08/02/2024,PA009,New York,Tokyo,Premium Economy,610,No,3,Nut Free
05/03/2024,PA001,London,New York,Economy,2685,No,3,Dairy Free
17/06/2024,PA004,Perth,London,Premium Economy,1487.5,No,0,Dairy Free
08/09/2024,PA005,London,Tokyo,Business Class,422.4,No,0,Dairy Free
01/10/2024,PA005,London,Tokyo,Economy,1225,No,0,Vegetarian
10/09/2024,PA006,Tokyo,London,First Class,670,No,1,Dairy Free
25/05/2024,PA001,London,New York,Economy,1745,No,1,Dairy Free
27/09/2024,PA008,Perth,New York,Economy,1770,No,0,Nut Free
08/10/2024,PA008,Perth,New York,Economy,3090,No,0,Dairy Free
15/11/2024,PA003,London,Perth,Premium Economy,735,No,0,Vegan
29/01/2024,PA004,Perth,London,Business Class,435.6,No,2,Egg Free
26/01/2024,PA001,London,New York,First Class,381,No,2,Vegan
20/04/2024,PA003,London,Perth,Business Class,688.8,No,2,Egg Free
12/08/2024,PA005,London,Tokyo,Economy,1050,No,1,None
04/07/2024,PA003,London,Perth,Premium Economy,1307.5,No,0,Vegetarian
01/04/2024,PA001,London,New York,Business Class,512.4,No,1,Egg Free
21/04/2024,PA004,Perth,London,Business Class,679.2,No,3,Nut Free
30/01/2024,PA004,Perth,London,Business Class,246,No,0,Vegetarian
11/02/2024,PA005,London,Tokyo,Premium Economy,1567.5,No,1,Dairy Free
17/11/2024,PA009,New York,Tokyo,First Class,340,No,1,Nut Free
08/08/2024,PA012,Tokyo,Perth,First Class,426,No,1,Vegetarian
20/12/2024,PA002,New York,London,Business Class,574.8,No,3,Dairy Free
02/07/2024,PA006,Tokyo,London,First Class,522,No,3,Dairy Free
25/10/2024,PA010,Tokyo,New York,Economy,1170,No,3,Egg Free
18/11/2024,PA005,London,Tokyo,Economy,3305,No,0,Vegetarian
02/06/2024,PA011,Perth,Tokyo,Premium Economy,1177.5,No,3,Dairy Free
09/08/2024,PA009,New York,Tokyo,First Class,612,No,3,Nut Free
24/08/2024,PA010,Tokyo,New York,Economy,2145,No,2,None
11/11/2024,PA008,Perth,New York,Economy,2980,No,1,Vegetarian
02/11/2024,PA011,Perth,Tokyo,First Class,441,No,1,Vegan
06/04/2024,PA011,Perth,Tokyo,Premium Economy,960,No,2,Dairy Free
03/01/2024,PA007,New York,Perth,Economy,3300,No,1,None
02/01/2024,PA009,New York,Tokyo,Business Class,793.2,No,0,Vegetarian
17/09/2024,PA006,Tokyo,London,Business Class,543.6,No,0,None
11/03/2024,PA009,New York,Tokyo,Business Class,446.4,No,2,None
11/10/2024,PA002,New York,London,Business Class,602.4,No,2,Egg Free
31/10/2024,PA011,Perth,Tokyo,Economy,2915,No,2,Nut Free
25/08/2024,PA001,London,New York,First Class,673,No,2,Vegan
15/08/2024,PA003,London,Perth,Premium Economy,555,No,0,Dairy Free
18/10/2024,PA009,New York,Tokyo,Premium Economy,1372.5,No,1,None
20/03/2024,PA008,Perth,New York,First Class,357,No,2,Nut Free
12/01/2024,PA008,Perth,New York,Business Class,601.2,No,3,Vegetarian
13/06/2024,PA003,London,Perth,Premium Economy,1382.5,No,1,Vegan
01/04/2024,PA007,New York,Perth,First Class,359,No,2,Nut Free
22/03/2024,PA010,Tokyo,New York,Premium Economy,1135,No,0,Dairy Free
18/01/2024,PA010,Tokyo,New York,First Class,415,No,2,Vegetarian
12/12/2024,PA006,Tokyo,London,Economy,1640,No,0,Egg Free
07/12/2024,PA009,New York,Tokyo,First Class,662,No,1,Egg Free
03/11/2024,PA012,Tokyo,Perth,First Class,242,No,2,None
22/09/2024,PA009,New York,Tokyo,Economy,1690,No,1,Dairy Free
07/06/2024,PA007,New York,Perth,Premium Economy,570,No,3,Egg Free
24/06/2024,PA012,Tokyo,Perth,Premium Economy,1597.5,No,3,Vegetarian
06/04/2024,PA005,London,Tokyo,Economy,2465,No,2,Vegan
11/09/2024,PA007,New York,Perth,Business Class,602.4,No,2,Vegetarian
30/08/2024,PA002,New York,London,Economy,3095,No,0,Egg Free
05/11/2024,PA002,New York,London,First Class,652,No,1,Vegan
07/08/2024,PA010,Tokyo,New York,Business Class,392.4,No,2,Nut Free
03/06/2024,PA007,New York,Perth,Premium Economy,1390,No,1,Vegan
21/11/2024,PA003,London,Perth,First Class,599,No,2,Vegetarian
16/02/2024,PA009,New York,Tokyo,Premium Economy,675,No,1,None
30/05/2024,PA007,New York,Perth,Business Class,417.6,No,2,None
27/12/2024,PA012,Tokyo,Perth,First Class,606,No,2,Vegan
31/10/2024,PA008,Perth,New York,Economy,1785,No,0,Egg Free
14/02/2024,PA007,New York,Perth,Business Class,408,No,2,Vegetarian
24/08/2024,PA003,London,Perth,First Class,294,No,3,Vegan
22/11/2024,PA012,Tokyo,Perth,Business Class,598.8,No,2,Dairy Free
27/03/2024,PA003,London,Perth,Business Class,756,No,3,Egg Free
30/04/2024,PA012,Tokyo,Perth,Economy,1600,No,1,Nut Free
06/09/2024,PA006,Tokyo,London,First Class,489,No,0,Vegetarian
01/02/2024,PA005,London,Tokyo,Premium Economy,1480,No,2,Vegetarian
25/11/2024,PA012,Tokyo,Perth,Premium Economy,1432.5,No,3,Egg Free
12/05/2024,PA012,Tokyo,Perth,Business Class,744,No,2,Dairy Free
16/07/2024,PA010,Tokyo,New York,Economy,1460,No,1,Vegetarian
19/08/2024,PA006,Tokyo,London,Economy,2000,No,3,Vegetarian
01/08/2024,PA011,Perth,Tokyo,Business Class,452.4,No,3,None
28/12/2024,PA001,London,New York,Economy,1105,No,2,Vegan
02/11/2024,PA006,Tokyo,London,Economy,2225,No,2,Egg Free
25/09/2024,PA007,New York,Perth,Premium Economy,522.5,No,0,Nut Free
01/07/2024,PA012,Tokyo,Perth,Business Class,655.2,No,3,Nut Free
20/12/2024,PA004,Perth,London,Business Class,760.8,No,0,Nut Free
24/07/2024,PA005,London,Tokyo,Business Class,246,No,1,Nut Free
25/12/2024,PA002,New York,London,Economy,2905,No,3,None
18/08/2024,PA005,London,Tokyo,Economy,1975,No,1,Vegan
12/01/2024,PA011,Perth,Tokyo,Business Class,780,No,1,Dairy Free
03/12/2024,PA011,Perth,Tokyo,Premium Economy,945,No,1,Egg Free
30/12/2024,PA011,Perth,Tokyo,Premium Economy,745,No,2,Dairy Free
06/05/2024,PA004,Perth,London,First Class,318,No,1,Vegan
09/10/2024,PA007,New York,Perth,Premium Economy,875,No,1,Vegetarian
17/02/2024,PA008,Perth,New York,Economy,1340,No,3,Vegetarian
27/10/2024,PA005,London,Tokyo,First Class,683,No,0,Egg Free
18/06/2024,PA001,London,New York,Business Class,280.8,No,0,None
05/12/2024,PA009,New York,Tokyo,Business Class,799.2,No,2,None
31/12/2024,PA010,Tokyo,New York,Premium Economy,690,No,3,Vegetarian
08/02/2024,PA006,Tokyo,London,Business Class,534,No,3,Vegetarian
21/02/2024,PA004,Perth,London,First Class,317,No,0,None
01/05/2024,PA011,Perth,Tokyo,Economy,2780,No,0,Dairy Free
10/10/2024,PA009,New York,Tokyo,Business Class,718.8,No,0,Vegan
05/07/2024,PA007,New York,Perth,Business Class,838.8,No,1,Nut Free
10/02/2024,PA005,London,Tokyo,Business Class,574.8,No,1,Vegan
09/06/2024,PA001,London,New York,Premium Economy,1045,No,0,None
04/02/2024,PA005,London,Tokyo,Business Class,328.8,No,3,Dairy Free
12/07/2024,PA004,Perth,London,Economy,2430,No,3,Egg Free
08/02/2024,PA008,Perth,New York,Business Class,506.4,No,2,Nut Free
21/10/2024,PA008,Perth,New York,Premium Economy,1677.5,No,1,Vegan
20/04/2024,PA003,London,Perth,Economy,2030,No,2,Vegetarian
26/06/2024,PA004,Perth,London,Business Class,632.4,No,3,None
31/12/2024,PA001,London,New York,First Class,598,No,1,Nut Free
24/10/2024,PA002,New York,London,First Class,691,No,3,Dairy Free
25/06/2024,PA009,New York,Tokyo,First Class,224,No,1,Vegan
27/10/2024,PA012,Tokyo,Perth,Premium Economy,1357.5,No,0,Vegan
23/04/2024,PA004,Perth,London,First Class,276,No,3,Dairy Free
21/10/2024,PA010,Tokyo,New York,Premium Economy,1125,No,1,None
20/03/2024,PA005,London,Tokyo,Premium Economy,1577.5,No,3,None
10/05/2024,PA010,Tokyo,New York,Economy,1820,No,2,Dairy Free
19/03/2024,PA012,Tokyo,Perth,Economy,2145,No,1,Vegan
30/10/2024,PA011,Perth,Tokyo,Economy,2500,No,1,Dairy Free
05/07/2024,PA004,Perth,London,Premium Economy,1242.5,No,0,Vegan
20/04/2024,PA009,New York,Tokyo,Economy,2535,No,2,Nut Free
28/11/2024,PA009,New York,Tokyo,Business Class,240,No,3,Dairy Free
16/08/2024,PA011,Perth,Tokyo,Economy,1810,No,3,Vegetarian
29/12/2024,PA005,London,Tokyo,Business Class,745.2,No,0,Vegetarian
01/06/2024,PA012,Tokyo,Perth,First Class,368,No,0,Dairy Free
26/08/2024,PA009,New York,Tokyo,Premium Economy,1452.5,No,3,None
25/05/2024,PA006,Tokyo,London,First Class,336,No,2,Dairy Free
11/11/2024,PA001,London,New York,Premium Economy,1680,No,3,Vegan
04/04/2024,PA010,Tokyo,New York,First Class,266,No,1,Dairy Free
24/10/2024,PA003,London,Perth,Economy,3235,No,2,Nut Free
27/06/2024,PA011,Perth,Tokyo,First Class,358,No,0,Vegan
08/08/2024,PA011,Perth,Tokyo,Business Class,258,No,3,Egg Free
10/08/2024,PA011,Perth,Tokyo,Premium Economy,1512.5,No,0,Nut Free
13/05/2024,PA009,New York,Tokyo,Premium Economy,1160,No,3,None
05/04/2024,PA012,Tokyo,Perth,First Class,336,No,1,Nut Free
22/06/2024,PA007,New York,Perth,Premium Economy,1127.5,No,1,Egg Free
13/09/2024,PA001,London,New York,Economy,2270,No,3,Vegan
26/02/2024,PA002,New York,London,Premium Economy,1382.5,No,3,Vegan
03/04/2024,PA008,Perth,New York,First Class,548,No,3,Vegan
06/06/2024,PA004,Perth,London,Economy,3120,No,3,Egg Free
27/12/2024,PA001,London,New York,Economy,1390,No,3,Vegetarian
18/04/2024,PA005,London,Tokyo,Premium Economy,927.5,No,3,Nut Free
16/03/2024,PA009,New York,Tokyo,Economy,1235,No,0,Vegan
07/06/2024,PA008,Perth,New York,Business Class,735.6,No,1,Dairy Free
26/08/2024,PA007,New York,Perth,Economy,3360,No,3,Vegetarian
13/12/2024,PA006,Tokyo,London,Economy,2715,No,0,Egg Free
23/09/2024,PA001,London,New York,Economy,2400,No,1,None
09/07/2024,PA009,New York,Tokyo,Economy,1815,No,3,Nut Free
15/06/2024,PA003,London,Perth,Economy,2600,No,0,Vegan
13/10/2024,PA012,Tokyo,Perth,Premium Economy,1092.5,No,2,Nut Free
11/12/2024,PA010,Tokyo,New York,Premium Economy,1572.5,No,0,None
31/12/2024,PA010,Tokyo,New York,Economy,1355,No,3,Nut Free
10/06/2024,PA002,New York,London,Business Class,642,No,0,Vegan
11/11/2024,PA006,Tokyo,London,First Class,565,No,2,Dairy Free
14/09/2024,PA008,Perth,New York,Premium Economy,1070,No,0,Vegetarian
05/07/2024,PA011,Perth,Tokyo,Economy,2490,No,2,Nut Free
03/12/2024,PA011,Perth,Tokyo,Economy,2195,No,3,Vegetarian
25/09/2024,PA001,London,New York,Premium Economy,1375,No,2,None
20/07/2024,PA009,New York,Tokyo,First Class,470,No,3,None
25/10/2024,PA001,London,New York,First Class,633,No,1,Vegetarian
08/04/2024,PA002,New York,London,Business Class,752.4,No,0,Dairy Free
16/03/2024,PA012,Tokyo,Perth,First Class,618,No,2,Vegan
05/08/2024,PA012,Tokyo,Perth,Economy,3475,No,1,None
29/08/2024,PA006,Tokyo,London,Premium Economy,670,No,2,Egg Free
13/06/2024,PA007,New York,Perth,Business Class,402,No,1,Vegetarian
06/11/2024,PA011,Perth,Tokyo,Business Class,271.2,No,0,Nut Free
04/05/2024,PA005,London,Tokyo,Economy,1205,No,0,Nut Free
28/02/2024,PA007,New York,Perth,Business Class,645.6,No,0,None
27/07/2024,PA012,Tokyo,Perth,Business Class,466.8,No,3,Nut Free
27/11/2024,PA011,Perth,Tokyo,Economy,1210,No,2,Vegetarian
20/08/2024,PA006,Tokyo,London,Business Class,504,No,0,Egg Free
30/11/2024,PA002,New York,London,Premium Economy,1327.5,No,0,Vegetarian
14/04/2024,PA007,New York,Perth,Economy,2650,No,1,Vegan
10/04/2024,PA003,London,Perth,First Class,376,No,3,Dairy Free
29/03/2024,PA007,New York,Perth,Business Class,730.8,No,0,Vegetarian
12/06/2024,PA008,Perth,New York,Business Class,820.8,No,2,None
26/01/2024,PA011,Perth,Tokyo,Premium Economy,1627.5,No,3,Egg Free
13/06/2024,PA005,London,Tokyo,Economy,3045,No,1,Vegetarian
02/09/2024,PA006,Tokyo,London,Economy,1265,No,0,Nut Free
12/01/2024,PA009,New York,Tokyo,Premium Economy,1230,No,0,Vegan
06/02/2024,PA003,London,Perth,Business Class,742.8,No,3,None
20/03/2024,PA009,New York,Tokyo,Premium Economy,722.5,No,0,Vegan
23/04/2024,PA003,London,Perth,Economy,1915,No,1,Nut Free
03/02/2024,PA004,Perth,London,Economy,2150,No,0,Nut Free
11/01/2024,PA005,London,Tokyo,Premium Economy,542.5,No,1,None
03/12/2024,PA012,Tokyo,Perth,First Class,681,No,1,Egg Free
21/10/2024,PA008,Perth,New York,Business Class,793.2,No,0,Vegetarian
11/02/2024,PA012,Tokyo,Perth,First Class,453,No,3,None
01/09/2024,PA006,Tokyo,London,Economy,2645,No,1,Nut Free
26/01/2024,PA001,London,New York,Economy,1185,No,0,Dairy Free
29/10/2024,PA002,New York,London,Premium Economy,1627.5,No,0,Nut Free
27/06/2024,PA012,Tokyo,Perth,Premium Economy,1260,No,3,Egg Free
10/04/2024,PA007,New York,Perth,Economy,1935,No,2,Egg Free
16/04/2024,PA007,New York,Perth,First Class,425,No,0,Egg Free
02/08/2024,PA003,London,Perth,Business Class,273.6,No,0,Dairy Free
08/09/2024,PA012,Tokyo,Perth,First Class,389,No,0,Egg Free
15/09/2024,PA001,London,New York,Business Class,392.4,No,1,Dairy Free
04/01/2024,PA010,Tokyo,New York,Economy,2495,No,0,Vegetarian
24/04/2024,PA008,Perth,New York,Business Class,532.8,No,3,Egg Free
27/08/2024,PA001,London,New York,First Class,421,No,2,Nut Free
23/04/2024,PA001,London,New York,Business Class,246,No,3,None
07/08/2024,PA006,Tokyo,London,Premium Economy,607.5,No,3,Egg Free
09/12/2024,PA009,New York,Tokyo,Economy,1995,No,3,Nut Free
22/05/2024,PA009,New York,Tokyo,First Class,389,No,3,None
19/04/2024,PA010,Tokyo,New York,First Class,601,No,2,Vegetarian
05/12/2024,PA002,New York,London,First Class,665,No,0,Vegan
28/07/2024,PA006,Tokyo,London,Premium Economy,1180,No,3,Vegetarian
11/07/2024,PA009,New York,Tokyo,Premium Economy,1402.5,No,1,Vegan
25/02/2024,PA002,New York,London,Economy,1690,No,1,Egg Free
16/12/2024,PA010,Tokyo,New York,Business Class,331.2,No,2,None
14/04/2024,PA004,Perth,London,Economy,1315,No,1,Vegan
30/11/2024,PA002,New York,London,Business Class,634.8,No,1,Vegan
14/05/2024,PA012,Tokyo,Perth,Business Class,811.2,No,1,None
06/06/2024,PA011,Perth,Tokyo,Economy,1000,No,1,Vegan
28/02/2024,PA010,Tokyo,New York,Economy,1105,No,0,Nut Free
09/03/2024,PA004,Perth,London,Economy,2160,No,3,Vegan
26/01/2024,PA009,New York,Tokyo,Economy,3150,No,0,Dairy Free
17/07/2024,PA001,London,New York,First Class,210,No,1,Vegetarian
19/08/2024,PA007,New York,Perth,Premium Economy,862.5,No,1,Vegan
02/01/2024,PA011,Perth,Tokyo,First Class,495,No,0,Dairy Free
24/11/2024,PA010,Tokyo,New York,Premium Economy,1155,No,2,None
22/02/2024,PA011,Perth,Tokyo,Business Class,534,No,2,Nut Free
25/12/2024,PA012,Tokyo,Perth,First Class,506,No,3,Nut Free
21/09/2024,PA008,Perth,New York,Business Class,445.2,No,2,None
27/05/2024,PA004,Perth,London,Economy,3020,No,2,Vegan
30/10/2024,PA008,Perth,New York,Business Class,423.6,No,3,Dairy Free
03/05/2024,PA012,Tokyo,Perth,Economy,1395,No,0,Vegan
29/03/2024,PA001,London,New York,First Class,208,No,2,Nut Free
25/10/2024,PA010,Tokyo,New York,Business Class,382.8,No,0,Vegan
07/08/2024,PA004,Perth,London,Premium Economy,710,No,1,Dairy Free
13/07/2024,PA005,London,Tokyo,Premium Economy,927.5,No,3,Nut Free
20/05/2024,PA004,Perth,London,Business Class,807.6,No,0,Nut Free
19/09/2024,PA012,Tokyo,Perth,Premium Economy,717.5,No,0,Egg Free
10/11/2024,PA011,Perth,Tokyo,First Class,266,No,1,Vegetarian
17/12/2024,PA011,Perth,Tokyo,Business Class,272.4,No,3,Egg Free
10/11/2024,PA007,New York,Perth,Business Class,646.8,No,2,Egg Free
21/04/2024,PA003,London,Perth,First Class,594,No,3,Nut Free
18/01/2024,PA005,London,Tokyo,First Class,649,No,0,None
30/04/2024,PA011,Perth,Tokyo,First Class,693,No,2,Vegan
06/12/2024,PA003,London,Perth,First Class,436,No,0,None
11/02/2024,PA005,London,Tokyo,First Class,427,No,0,Nut Free
19/05/2024,PA011,Perth,Tokyo,First Class,660,No,2,Dairy Free
23/01/2024,PA010,Tokyo,New York,Business Class,554.4,No,0,Vegan
07/10/2024,PA006,Tokyo,London,Premium Economy,1572.5,No,1,Nut Free
02/07/2024,PA007,New York,Perth,Business Class,338.4,No,0,Egg Free
13/03/2024,PA008,Perth,New York,Premium Economy,662.5,No,2,None
22/07/2024,PA010,Tokyo,New York,Premium Economy,1540,No,0,Dairy Free
07/05/2024,PA012,Tokyo,Perth,Business Class,609.6,No,3,Egg Free
10/06/2024,PA011,Perth,Tokyo,Premium Economy,1260,No,0,Vegan
25/01/2024,PA001,London,New York,First Class,224,No,0,Vegan
15/06/2024,PA009,New York,Tokyo,First Class,470,No,0,Vegetarian
20/07/2024,PA010,Tokyo,New York,Economy,2535,No,0,Nut Free
06/11/2024,PA001,London,New York,Premium Economy,965,No,1,None
28/06/2024,PA006,Tokyo,London,Economy,1885,No,1,Nut Free
10/05/2024,PA003,London,Perth,Economy,1350,No,2,Egg Free
16/01/2024,PA009,New York,Tokyo,Business Class,670.8,No,1,Dairy Free
20/01/2024,PA004,Perth,London,First Class,470,No,0,None
30/10/2024,PA005,London,Tokyo,Premium Economy,1187.5,No,2,Nut Free
17/12/2024,PA002,New York,London,Economy,3085,No,0,Dairy Free
19/04/2024,PA009,New York,Tokyo,Economy,2475,No,0,Nut Free
02/07/2024,PA001,London,New York,First Class,554,No,0,None
23/09/2024,PA004,Perth,London,Economy,3230,No,2,Egg Free
30/08/2024,PA008,Perth,New York,Business Class,482.4,No,0,Vegetarian
08/06/2024,PA007,New York,Perth,Business Class,490.8,No,2,None
11/04/2024,PA007,New York,Perth,First Class,661,No,1,Vegetarian
13/02/2024,PA003,London,Perth,First Class,572,No,3,None
20/06/2024,PA011,Perth,Tokyo,Business Class,259.2,No,1,Vegetarian
28/08/2024,PA003,London,Perth,Economy,1475,No,3,Vegetarian
18/04/2024,PA011,Perth,Tokyo,Business Class,327.6,No,0,Dairy Free
31/08/2024,PA003,London,Perth,Economy,3055,No,3,Dairy Free
30/04/2024,PA008,Perth,New York,Economy,3265,No,2,None
03/07/2024,PA005,London,Tokyo,Business Class,374.4,No,3,Nut Free
30/07/2024,PA005,London,Tokyo,Premium Economy,1347.5,No,1,Nut Free
06/12/2024,PA011,Perth,Tokyo,Economy,2705,No,1,Nut Free
29/07/2024,PA005,London,Tokyo,Business Class,262.8,No,1,None
21/01/2024,PA006,Tokyo,London,First Class,647,No,2,Egg Free
06/04/2024,PA010,Tokyo,New York,First Class,324,No,1,Vegetarian
19/04/2024,PA011,Perth,Tokyo,Business Class,394.8,No,1,Egg Free
18/01/2024,PA007,New York,Perth,First Class,554,No,0,None
24/08/2024,PA011,Perth,Tokyo,Business Class,780,No,3,Vegan
09/08/2024,PA011,Perth,Tokyo,First Class,420,No,3,Nut Free
23/12/2024,PA008,Perth,New York,Economy,1905,No,2,None
27/10/2024,PA006,Tokyo,London,Premium Economy,1360,No,3,Egg Free
02/12/2024,PA001,London,New York,Economy,2530,No,0,Dairy Free
04/03/2024,PA006,Tokyo,London,Premium Economy,1257.5,No,1,Vegetarian
19/09/2024,PA008,Perth,New York,First Class,495,No,3,Vegan
20/12/2024,PA005,London,Tokyo,First Class,646,No,1,Nut Free
23/12/2024,PA004,Perth,London,Economy,2635,No,2,Nut Free
18/06/2024,PA001,London,New York,Economy,1390,No,0,Dairy Free
17/01/2024,PA006,Tokyo,London,Economy,2140,No,3,Vegetarian
19/12/2024,PA006,Tokyo,London,First Class,296,No,2,Egg Free
04/01/2024,PA003,London,Perth,First Class,443,No,2,Nut Free
05/10/2024,PA009,New York,Tokyo,Business Class,787.2,No,2,Vegetarian
23/12/2024,PA009,New York,Tokyo,First Class,630,No,2,Dairy Free
04/12/2024,PA011,Perth,Tokyo,First Class,295,No,3,Vegan
22/07/2024,PA004,Perth,London,Economy,3170,No,1,Vegan
11/03/2024,PA011,Perth,Tokyo,Business Class,560.4,No,0,None
24/05/2024,PA008,Perth,New York,First Class,553,No,3,Vegetarian
02/02/2024,PA005,London,Tokyo,Business Class,793.2,No,2,Egg Free
30/03/2024,PA003,London,Perth,Premium Economy,537.5,No,1,Dairy Free
03/10/2024,PA012,Tokyo,Perth,Premium Economy,682.5,No,2,None
23/03/2024,PA010,Tokyo,New York,Economy,1755,No,1,Vegan
15/08/2024,PA008,Perth,New York,Business Class,596.4,No,1,Dairy Free
03/03/2024,PA003,London,Perth,Business Class,334.8,No,3,Vegan
05/02/2024,PA012,Tokyo,Perth,Business Class,578.4,No,0,Nut Free
09/01/2024,PA012,Tokyo,Perth,First Class,406,No,1,Nut Free
