Customer ID,Mobile App - Ease of Use,Mobile App - Ease of Access,Mobile App - Navigation,Mobile App - Likelihood to Recommend,Mobile App - Overall Rating,Online Interface - Ease of Use,Online Interface - Ease of Access,Online Interface - Navigation,Online Interface - Likelihood to Recommend,Online Interface - Overall Rating
970839,3,5,3,4,4,4,5,5,3,1
968317,5,3,4,5,4,3,5,5,3,2
430708,4,3,5,4,3,5,1,4,3,4
140190,5,3,1,5,5,5,3,3,5,1
914106,4,1,3,5,3,1,3,1,4,4
122130,1,2,4,1,3,4,3,5,1,4
872199,1,1,2,3,2,5,2,5,2,1
188019,2,3,2,3,5,3,3,2,5,2
395970,2,4,3,3,4,2,1,5,1,5
976013,4,2,5,4,1,1,2,1,5,3
442943,1,4,4,2,2,4,5,1,1,5
732668,3,1,3,3,5,5,4,3,3,2
330730,1,2,5,3,4,1,4,2,5,2
248104,4,4,3,3,2,2,2,3,3,2
608466,3,5,5,2,4,5,4,1,2,4
831798,3,4,3,5,3,5,2,2,5,3
532774,4,1,4,4,3,3,1,5,3,5
771255,2,2,5,3,4,2,3,5,1,3
222599,1,2,2,2,1,4,4,5,1,4
503737,1,4,3,1,1,1,4,1,4,4
267224,5,1,4,4,4,1,1,2,2,1
883359,2,5,5,2,4,4,4,3,2,4
538350,4,4,5,1,1,5,2,2,5,3
317095,2,3,1,4,2,3,2,4,3,5
997785,4,3,5,3,5,4,4,1,3,5
974161,2,1,3,2,3,2,2,1,3,2
811653,4,2,5,4,2,2,3,1,1,3
506315,1,5,5,2,5,3,2,5,1,3
342305,5,2,3,3,5,5,2,2,1,2
126946,4,2,5,5,2,5,5,1,4,2
279048,4,3,1,4,3,1,1,2,4,5
799868,4,4,4,2,2,2,5,2,4,5
117509,3,5,5,2,1,3,3,4,2,3
773967,1,5,3,5,4,5,4,2,3,4
349959,4,4,2,3,1,2,5,2,4,5
553063,2,4,4,2,5,2,5,1,3,4
766762,1,4,3,2,4,4,3,4,2,2
146722,4,2,5,2,1,4,1,2,4,1
397089,5,4,5,1,3,1,3,3,1,1
340996,5,2,3,1,2,4,5,4,4,2
647288,2,4,1,3,4,2,4,5,1,4
480529,1,2,4,2,4,2,1,1,3,1
530914,5,5,5,5,3,1,5,3,3,3
888017,1,4,2,5,3,1,4,3,2,1
781774,4,5,2,1,3,5,5,1,1,1
589124,2,2,4,4,2,3,5,1,2,3
323429,1,2,4,3,4,3,2,1,3,4
699010,5,4,3,2,3,3,4,5,1,5
997926,1,3,5,5,5,3,3,5,4,2
957754,1,2,5,5,3,3,1,2,5,1
634273,2,4,3,2,2,3,5,2,5,1
867229,3,3,1,5,2,4,4,4,1,3
210252,1,4,3,4,3,1,5,3,5,1
948511,2,1,5,4,1,2,1,2,3,3
123357,2,1,3,5,5,5,3,1,5,2
724416,2,4,5,1,1,1,2,1,3,4
715277,4,2,1,3,4,4,4,5,5,4
187041,2,1,2,3,1,1,2,5,5,1
372754,4,4,4,4,5,3,2,1,5,4
763392,4,3,5,2,3,5,3,1,4,4
911695,3,2,1,4,5,5,4,3,4,4
346337,4,4,2,1,3,5,1,2,2,1
161046,4,4,5,4,4,5,2,4,5,1
500189,2,3,5,3,2,1,5,1,2,4
299823,3,2,5,1,4,5,5,1,3,3
596654,4,3,5,1,2,4,1,5,1,2
531644,5,3,2,1,5,5,4,1,3,3
559683,3,4,3,4,1,3,1,5,3,4
771531,1,1,3,5,1,1,4,5,5,3
441944,4,5,1,3,2,3,5,1,3,4
540952,2,1,5,4,4,5,4,5,5,2
798768,2,1,5,4,2,3,2,5,3,1
741586,1,1,3,2,5,2,4,3,4,3
912479,3,2,3,5,3,3,4,3,5,5
210931,4,4,2,1,2,5,1,1,2,4
372058,2,4,3,2,5,4,5,5,1,5
561195,2,2,4,2,5,1,3,3,4,2
445575,2,5,3,1,1,3,4,4,2,5
127553,2,3,2,3,4,1,4,1,4,3
723113,1,2,3,4,3,1,3,3,4,3
437840,2,3,4,4,1,1,1,5,3,3
561435,5,2,1,2,2,3,5,1,4,4
248222,5,4,5,3,2,5,5,5,4,5
828860,5,1,1,1,5,1,1,3,2,3
490528,3,5,3,1,1,1,3,5,1,5
281958,5,3,3,2,3,5,5,4,2,3
325665,1,3,1,4,1,5,5,5,5,5
298420,1,2,4,2,1,3,4,2,1,5
867090,4,5,4,5,3,1,1,5,3,5
503510,3,1,2,1,4,3,3,1,2,4
580223,2,5,1,3,5,2,4,2,3,2
649195,3,4,1,2,2,3,1,4,3,2
507722,5,3,5,1,4,4,1,3,5,4
329448,1,3,1,4,1,1,1,1,4,5
487085,3,3,4,1,4,5,2,1,4,1
892982,3,4,4,3,3,4,1,5,5,4
303287,1,3,3,5,3,5,5,1,3,3
549011,4,3,4,1,5,1,5,2,1,5
199414,2,3,1,5,2,1,5,5,1,2
320241,4,2,1,4,4,5,3,2,5,5
994742,1,3,5,3,3,2,4,4,4,4
931646,3,3,4,2,3,5,3,4,2,5
846929,1,3,1,4,1,1,4,2,1,4
150012,5,5,4,2,1,2,1,5,4,5
410078,3,1,4,5,5,1,3,4,1,4
629428,2,3,3,4,3,4,4,5,2,4
490778,5,2,5,2,3,2,3,5,3,1
788464,2,5,4,5,4,2,2,3,1,4
675739,1,3,2,2,5,1,5,4,2,1
442446,2,1,4,3,5,4,4,4,2,3
321382,1,1,2,5,1,4,2,2,5,2
680886,4,1,4,4,1,1,5,3,5,1
835408,3,1,5,2,4,5,5,5,5,1
115710,3,5,3,5,4,1,4,5,3,1
180099,3,2,5,2,3,5,2,2,4,3
815293,4,3,2,4,4,3,5,4,1,1
120768,2,4,4,4,2,2,5,2,2,4
449768,2,2,4,1,3,5,2,5,2,3
471324,5,1,3,3,2,1,3,5,3,1
864070,3,4,3,3,5,3,4,1,2,2
240155,2,5,2,5,3,2,4,5,5,4
901574,1,2,2,2,2,2,5,4,2,1
896150,1,2,3,4,1,1,1,2,4,5
162282,2,1,3,5,4,4,3,2,2,1
482377,3,2,1,4,5,3,3,5,5,2
542263,1,1,1,5,5,5,3,4,3,4
121672,3,3,1,3,5,2,5,2,4,3
191156,1,5,4,1,4,2,4,5,1,1
925615,1,1,1,5,1,4,1,3,3,3
702319,3,5,4,4,4,3,5,2,5,3
879260,5,4,5,4,2,4,2,2,3,3
865715,2,4,5,2,2,1,3,5,4,4
311169,1,1,5,4,3,5,3,5,2,5
254934,1,1,1,1,1,5,3,1,4,3
325040,5,5,2,2,2,5,4,5,4,3
978955,4,1,5,5,3,4,4,4,5,2
250375,4,3,3,2,5,2,5,4,4,3
356934,5,5,1,1,2,1,5,3,4,3
922308,1,1,2,1,4,2,1,3,4,2
287711,5,4,3,3,5,4,1,1,1,3
576411,1,2,5,1,3,1,4,3,4,4
479049,3,1,2,5,3,4,2,1,4,5
840208,4,3,4,4,4,3,1,2,4,2
985112,1,3,4,3,3,4,1,2,3,2
437535,1,4,1,4,2,5,4,1,3,2
555174,3,2,1,3,2,2,5,5,3,5
947669,3,4,3,2,3,4,3,3,2,4
371496,3,2,4,5,1,1,4,5,5,4
798023,3,5,5,5,4,4,2,5,5,5
963973,2,4,3,2,2,3,1,1,3,2
550349,1,5,4,1,3,2,2,1,3,4
787670,1,3,4,3,1,5,5,5,2,1
993378,5,5,1,1,2,3,3,2,2,5
141487,3,4,1,1,5,2,1,3,4,4
648144,4,2,3,5,4,1,1,1,4,1
660612,1,2,3,5,2,4,1,3,5,4
257463,3,2,4,3,3,4,5,1,2,2
469127,5,3,3,3,3,1,2,3,3,4
750126,2,1,2,3,5,2,2,3,5,3
689533,2,2,3,2,4,1,2,4,3,4
481597,3,4,5,3,3,5,4,3,4,4
713295,2,4,3,5,3,3,5,5,1,4
498442,3,5,2,4,3,1,5,3,3,1
519884,3,3,3,3,3,1,3,2,2,3
150201,2,4,3,5,3,4,1,3,2,5
137100,2,2,2,5,4,3,4,4,2,1
861433,3,4,4,5,4,1,3,2,2,2
988829,3,3,5,5,2,3,5,2,5,1
715560,5,2,2,2,4,3,4,5,1,5
645243,1,3,2,2,1,1,2,3,3,1
156265,4,3,1,2,3,2,1,2,5,1
764105,4,3,3,1,2,4,3,4,3,2
101646,3,5,2,4,5,2,4,3,4,2
650760,2,5,5,5,3,3,4,3,1,5
192871,1,2,1,1,3,2,3,2,3,5
577740,3,2,1,3,4,3,1,2,2,5
534469,3,1,4,4,4,1,3,2,4,5
666603,3,3,2,5,5,2,5,1,1,3
449075,4,3,2,4,4,2,2,2,3,4
980693,1,3,3,2,3,1,5,5,5,5
794387,3,1,3,3,2,2,2,1,3,3
321686,2,5,2,5,5,4,2,1,1,2
404153,5,3,5,3,1,3,3,4,3,4
524586,4,4,3,5,5,5,5,5,4,2
853706,2,2,4,1,2,1,4,2,1,4
507778,1,3,5,4,5,5,2,5,2,3
743736,3,4,2,1,3,2,4,2,4,4
242068,4,4,1,1,3,2,4,3,4,4
524236,4,5,3,5,1,1,2,5,5,5
711436,3,1,2,3,4,2,1,3,3,2
184633,2,4,5,2,3,1,5,2,4,3
842279,1,4,1,5,3,5,2,2,2,3
423328,5,1,1,4,3,5,1,1,2,4
738031,2,5,3,1,3,3,2,4,3,2
694798,5,4,1,2,4,3,5,5,3,3
986111,4,2,5,2,3,2,3,5,3,4
395027,2,5,4,5,1,1,4,3,3,2
279900,2,1,1,5,5,5,4,2,2,3
269595,3,1,2,1,3,5,3,2,1,4
277488,5,5,5,3,5,2,3,5,4,1
987128,3,2,3,2,3,2,4,3,4,5
996508,3,4,1,2,3,1,4,3,4,2
105088,5,1,5,3,1,5,5,5,2,5
333730,5,3,4,5,3,1,5,5,3,3
603115,3,2,5,5,1,2,1,2,2,3
823274,4,1,2,4,2,1,5,2,1,3
173687,3,4,5,5,4,2,2,5,1,3
943672,2,4,5,2,5,1,3,3,1,5
137716,3,3,4,2,3,2,2,3,1,5
397922,2,2,2,3,1,2,2,2,1,5
617387,3,1,1,1,2,5,3,3,4,1
115507,2,2,1,3,5,3,5,3,3,5
378596,3,2,3,1,2,2,5,1,4,3
648132,4,1,2,5,2,3,3,1,1,4
140984,5,5,2,5,5,3,5,3,2,3
791907,5,2,4,4,3,3,5,1,2,1
282186,2,1,3,5,4,3,4,3,1,3
578341,3,3,1,2,2,5,4,2,5,5
766520,2,1,3,2,2,3,1,4,2,1
879462,1,1,4,3,2,1,5,4,4,3
222988,2,1,5,4,4,2,5,4,3,1
420949,1,4,3,2,1,5,5,1,3,1
143461,3,1,4,3,4,4,2,5,3,5
374832,5,4,3,3,1,4,1,3,5,5
367520,2,2,4,4,5,5,2,4,2,3
621956,4,3,1,2,2,4,2,5,3,1
219201,1,1,1,4,5,3,1,5,2,5
229260,4,2,3,1,4,2,3,1,4,2
795501,1,2,2,1,3,4,1,4,1,3
167404,2,2,1,5,2,1,4,3,3,1
824599,3,2,3,2,5,2,3,4,1,4
638652,2,3,5,5,2,2,3,4,2,4
633613,4,1,2,1,3,4,4,3,3,3
630677,2,2,1,4,1,4,3,4,4,1
912828,4,3,2,4,4,4,2,1,3,3
613356,1,3,1,3,3,3,2,1,3,2
937407,2,3,4,2,1,1,3,3,3,3
812936,1,2,2,1,1,3,2,1,1,4
131634,3,5,2,3,4,3,4,3,5,2
956336,1,2,4,5,2,3,5,1,5,2
816772,3,2,4,3,1,3,1,3,2,3
405138,1,3,1,1,2,1,4,3,2,1
648449,4,2,2,1,5,1,4,1,5,1
393199,4,3,4,1,3,5,2,5,3,4
206075,5,5,1,3,1,2,4,2,2,3
960709,1,5,4,2,3,5,3,3,4,3
679234,4,1,4,5,1,3,5,5,3,5
180715,4,2,1,1,4,1,3,1,1,2
609581,4,3,5,3,3,4,1,2,1,3
354904,2,2,4,2,4,1,5,1,1,3
649225,4,5,2,2,3,4,5,5,2,4
794060,4,3,3,4,5,1,2,1,2,4
602513,4,2,1,2,1,1,3,2,5,4
874942,4,3,5,4,5,5,1,5,5,3
462630,5,3,1,3,4,1,1,3,2,2
130721,4,2,4,3,1,2,3,2,5,1
862678,1,5,3,5,5,1,3,1,3,5
236746,5,3,1,1,3,4,2,4,5,2
274513,4,4,1,5,1,1,5,3,3,4
864327,4,1,1,1,2,2,3,3,1,3
770785,2,5,5,2,5,1,5,4,1,3
148957,3,2,3,5,5,5,5,2,1,5
533766,5,3,2,3,3,5,1,3,3,4
570562,3,2,1,3,5,4,5,3,5,2
527868,1,4,5,4,5,3,3,4,5,3
998229,4,4,5,3,2,5,4,4,2,4
478692,2,3,2,3,2,1,5,3,3,4
393881,4,5,2,2,2,4,1,2,2,2
673681,2,1,5,3,3,1,1,4,4,3
167908,1,5,5,2,2,2,3,5,3,3
724788,2,2,2,3,4,5,4,1,4,4
357556,4,3,3,1,5,5,2,3,2,1
489326,5,5,4,1,5,2,2,2,2,1
362955,4,5,1,2,5,5,5,2,2,5
702596,5,4,5,3,2,1,5,2,5,5
607631,4,4,4,3,4,1,3,3,3,4
671523,3,1,1,3,5,1,1,2,2,1
229328,5,1,3,3,2,2,4,2,1,4
241204,1,1,1,4,5,3,4,5,4,1
534169,3,3,3,2,3,4,2,3,4,4
174652,2,4,4,3,3,2,4,2,3,5
270799,3,4,2,5,5,2,4,4,4,3
720229,3,5,3,3,2,4,3,1,2,5
483436,3,2,5,5,5,3,1,5,5,3
594440,4,4,1,4,3,4,5,2,2,1
357315,1,5,5,5,4,5,2,3,3,4
161489,3,5,1,1,3,3,5,2,2,4
168615,2,2,4,4,4,1,5,5,2,1
273599,2,1,3,1,2,4,4,5,3,2
344566,1,2,3,1,4,3,2,2,4,2
738280,5,2,5,5,1,2,4,3,2,1
513000,4,3,1,2,2,1,5,1,3,1
250017,2,5,3,1,2,4,5,2,1,5
437606,5,2,4,3,2,1,2,4,1,2
475886,2,3,1,1,2,1,2,2,1,4
733925,5,3,1,5,1,5,3,3,1,3
325028,3,1,3,5,2,5,5,5,4,1
326417,5,2,5,2,4,1,5,3,3,3
702224,4,1,1,5,3,2,1,3,2,1
900568,1,4,4,2,4,2,3,5,4,3
325718,2,5,5,5,4,2,1,1,4,1
444846,2,3,5,1,4,5,4,3,1,2
856236,1,3,3,5,5,1,3,2,5,5
420425,2,5,4,2,4,1,4,4,2,3
388512,5,1,3,4,4,4,4,3,1,5
439374,5,5,4,1,1,1,4,2,2,5
762499,2,2,4,3,4,4,3,5,1,1
277142,1,3,5,1,2,4,3,1,1,4
119429,1,1,1,2,2,1,2,3,5,5
645207,2,3,4,5,1,1,1,5,5,4
553460,3,5,5,4,4,4,5,4,4,5
682147,5,2,4,4,4,5,1,4,2,3
196816,2,3,3,2,1,4,1,2,5,5
910632,2,4,1,3,1,5,4,2,4,2
336200,4,5,4,3,1,3,3,3,4,4
700409,3,5,2,3,3,2,4,5,2,1
818208,5,5,1,5,4,3,1,1,1,5
178231,4,3,4,3,5,4,1,1,3,5
234678,4,1,2,2,3,3,5,4,2,5
911703,5,1,5,3,1,5,2,5,2,4
326842,1,4,4,2,5,4,5,2,3,5
828339,4,3,4,1,3,3,4,5,5,3
641446,5,1,4,3,1,2,5,5,1,4
293792,4,2,1,5,4,5,4,2,5,5
856239,5,2,3,5,4,2,5,4,3,3
864367,2,3,5,5,1,5,1,1,1,1
262091,5,1,2,4,2,5,3,3,2,2
808956,1,2,3,1,2,2,2,1,3,2
201048,2,5,4,4,5,2,4,4,1,1
455486,1,1,4,3,2,4,3,5,1,5
400289,3,3,2,3,3,1,1,4,5,3
507598,1,2,4,4,3,3,3,2,5,4
733106,4,4,3,5,4,1,2,5,4,1
486526,1,5,1,5,1,3,4,5,5,2
564179,5,3,5,4,4,4,5,5,2,1
395176,3,5,3,4,4,4,5,4,2,3
811024,2,3,1,3,2,3,4,1,1,3
594217,2,5,3,1,4,5,5,3,2,1
967623,3,4,2,3,2,3,2,2,2,3
942734,3,1,3,3,2,2,1,2,5,1
948371,4,4,2,3,3,3,2,1,3,3
336000,3,3,5,3,5,1,2,5,2,3
624358,2,3,2,4,4,4,2,1,4,2
296499,2,3,1,5,2,1,4,4,3,5
236456,1,3,5,5,2,5,4,5,1,2
391934,4,2,4,1,4,4,3,2,1,4
441583,5,2,2,2,5,2,2,4,5,1
361405,1,1,1,5,2,2,1,5,5,5
411621,4,1,4,5,4,2,4,2,2,1
922696,2,1,4,3,5,4,1,1,4,3
328443,5,1,3,4,1,4,5,2,5,4
614449,3,4,5,1,4,4,5,2,4,1
179552,3,3,4,4,4,5,4,1,3,3
231050,1,2,3,4,2,2,2,5,3,3
795629,5,5,2,1,5,2,2,2,3,2
702594,5,2,2,5,3,1,4,2,2,2
256011,4,1,3,5,2,3,3,2,3,5
168938,4,4,2,3,4,3,1,5,5,2
933583,3,3,2,1,1,1,3,2,3,5
340329,4,3,4,4,2,4,5,3,5,3
183434,2,5,1,2,4,2,4,5,4,2
225678,1,4,4,1,4,2,5,5,3,4
482277,4,1,4,2,2,3,1,4,4,4
335732,4,5,4,2,4,2,3,5,4,2
991617,5,4,4,5,1,2,2,5,5,1
447164,4,2,5,5,4,5,3,1,5,3
164979,1,3,5,3,2,1,2,1,3,4
319674,5,3,3,5,4,1,5,4,2,2
696461,2,2,2,2,3,2,5,1,3,5
138425,1,5,3,3,1,2,2,5,3,4
352329,1,4,2,3,3,3,1,2,4,5
929193,3,2,5,2,1,3,1,2,5,5
926047,1,2,1,3,3,3,3,2,5,4
275436,5,5,1,5,5,4,3,1,3,5
455263,3,1,3,3,4,5,4,5,1,3
242853,1,3,2,3,1,3,2,2,2,4
575483,3,2,2,4,3,5,2,2,3,5
877875,4,4,4,1,2,2,3,3,2,2
485366,2,4,3,5,5,3,2,2,2,3
460278,1,4,5,2,3,3,5,5,4,2
597097,3,5,5,2,3,3,4,5,3,3
268961,1,1,1,1,1,3,3,4,2,1
140723,4,5,3,4,2,3,5,4,4,4
157102,2,3,2,2,5,1,2,3,3,5
663100,2,3,2,5,5,5,2,5,2,3
187118,3,3,1,4,3,2,2,1,4,2
982121,2,3,4,5,3,5,2,3,2,2
708272,3,3,1,2,3,3,5,2,5,3
727450,1,1,4,4,1,3,4,1,1,4
350860,3,5,1,4,5,4,2,1,2,4
540088,3,1,1,4,3,3,1,5,4,4
947089,3,4,5,4,4,3,2,5,3,2
578857,4,1,1,4,4,1,3,2,3,5
893995,3,3,4,1,5,4,3,1,5,4
861832,5,1,3,5,1,1,2,2,1,2
722046,4,2,4,4,3,2,5,3,5,2
859253,4,1,5,3,2,1,1,3,1,3
705989,2,4,2,3,1,5,1,3,3,1
748283,2,2,3,5,1,2,5,1,2,4
875165,2,5,4,4,1,2,3,2,4,3
606955,3,2,4,3,1,5,3,3,5,3
683674,3,3,1,1,5,5,4,3,4,4
547748,4,1,1,5,4,1,1,2,3,5
268081,2,4,4,2,3,4,4,3,4,3
163848,1,3,2,5,1,2,1,3,5,4
508516,2,3,4,2,1,4,2,1,3,4
399606,5,3,1,4,3,1,2,2,2,3
495353,2,4,5,2,1,3,2,2,3,1
278227,4,4,4,5,4,3,3,4,3,5
921220,1,4,3,2,3,2,3,1,1,3
273533,3,4,3,1,3,5,2,3,2,4
390877,3,4,1,3,1,4,2,2,3,5
687737,4,3,4,2,2,3,1,3,2,2
250165,2,4,1,3,4,3,1,2,2,2
341388,3,3,2,4,3,1,4,4,3,3
464892,1,4,3,4,3,2,5,5,5,2
923685,5,1,4,2,2,4,3,1,3,3
895965,1,1,4,2,1,5,2,3,2,1
282540,3,3,1,5,3,4,2,3,1,1
183390,2,1,2,2,4,1,4,5,1,1
451156,2,3,5,1,1,2,5,3,1,4
181830,1,1,1,4,2,3,2,3,1,2
648876,1,3,1,5,3,3,3,4,1,3
982968,1,3,3,2,5,1,2,5,1,5
698651,3,1,5,3,1,5,5,2,1,3
290913,3,1,5,4,5,3,4,4,3,2
342275,2,1,5,5,2,1,3,5,3,3
429403,5,4,2,4,4,5,1,1,5,1
331463,4,4,2,5,5,3,3,4,2,2
384985,5,5,3,5,1,1,4,3,5,5
121404,1,1,4,3,5,4,1,5,2,4
929882,1,4,4,3,1,4,3,2,2,4
213412,2,2,3,5,4,2,1,1,5,2
848621,2,1,4,2,5,4,1,1,4,4
803126,5,3,1,5,2,4,1,5,5,3
139008,1,2,2,1,3,5,2,1,3,2
830430,3,4,4,4,1,4,4,3,5,4
820862,5,5,2,2,4,1,4,4,1,2
204256,5,3,4,4,4,3,5,2,1,2
522250,2,3,1,3,1,5,4,4,3,3
112474,1,4,1,2,4,1,3,5,1,2
908971,4,2,2,1,5,1,3,2,5,3
192322,2,2,5,3,1,5,3,3,5,4
801511,5,2,4,4,5,3,3,5,1,2
281516,2,3,2,2,5,3,3,4,5,5
527984,5,3,5,3,3,5,3,3,2,2
543339,5,5,3,5,1,5,3,3,5,3
370277,4,3,1,1,2,3,1,5,1,3
297961,2,3,1,4,5,3,3,4,2,2
328350,2,4,4,3,1,3,3,4,1,4
185153,4,2,4,1,1,4,4,2,3,4
734451,4,4,2,4,1,5,3,3,2,2
198134,4,4,2,1,1,3,4,2,3,5
583346,4,1,5,2,1,2,1,4,5,2
255450,2,5,3,2,5,3,5,4,3,3
124485,1,1,2,3,5,3,5,3,1,1
452926,2,3,3,4,1,4,4,2,4,5
965598,3,4,1,4,1,5,2,1,2,4
205657,2,2,5,5,2,5,4,5,2,3
657556,4,5,3,2,3,1,3,4,1,1
593553,1,2,1,3,3,4,3,1,3,2
363596,4,1,3,5,5,1,1,2,3,3
247918,2,2,3,3,3,5,3,1,2,3
395752,2,4,2,5,3,2,2,5,2,5
762874,5,5,2,2,2,4,4,5,4,2
724618,3,5,4,1,1,5,3,4,4,5
398134,4,3,1,5,5,4,5,1,5,4
962433,1,3,3,2,3,4,4,5,5,3
333320,2,5,5,5,5,3,3,2,4,2
457514,2,2,5,3,4,4,1,4,1,2
172231,5,1,5,5,2,5,1,2,5,2
428798,4,5,1,5,2,1,4,1,1,1
729254,1,1,3,4,3,3,5,5,1,2
833110,2,3,2,4,4,2,2,1,4,5
318580,5,5,4,1,4,4,1,1,2,4
926082,3,3,3,3,1,3,2,5,1,1
254689,4,2,1,1,2,1,1,3,1,2
645345,3,2,3,2,3,5,2,3,5,5
866859,2,1,4,4,5,5,3,4,5,2
462436,1,3,5,4,1,2,3,2,2,5
560610,2,1,3,5,4,1,1,4,4,1
921377,1,4,2,2,1,4,1,2,2,2
182092,5,5,1,2,5,1,4,2,3,3
397800,2,2,2,1,3,2,5,3,2,2
676667,4,2,1,3,3,1,1,3,3,2
496423,4,1,2,4,5,4,5,4,1,3
321286,3,5,1,2,5,3,2,3,1,4
490319,1,2,4,2,5,4,4,5,2,3
681513,5,4,1,2,4,2,1,2,4,4
180957,5,1,4,3,5,4,4,4,5,4
286696,1,1,2,5,3,1,1,2,4,4
796226,5,4,4,5,4,5,3,2,5,2
318985,1,5,3,3,3,4,1,1,1,1
987784,5,1,2,5,5,4,2,3,5,5
548299,4,3,3,1,3,2,4,3,3,1
233720,2,4,1,1,5,3,3,5,4,3
187284,2,5,3,4,1,3,2,3,1,3
348019,3,2,2,3,3,2,4,2,1,2
808994,4,5,3,4,3,5,2,5,5,3
895179,4,1,1,3,3,5,5,1,4,5
850584,3,3,2,5,3,1,5,3,2,1
324927,5,1,3,1,3,1,1,5,1,5
967722,5,3,3,4,3,3,4,4,4,1
721449,3,2,3,5,1,2,1,2,1,3
454988,3,3,3,4,5,5,4,2,2,4
