Evolution Group,#,Name,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed,Evolving from,Evolving to,Level,Condition,Evolution Type,First Evolution
Gastly, 092,Gastly,310,30,35,30,100,35,80,,Haunter,25.0,,Level,
Gastly, 093,Haunter,405,45,50,45,115,55,95,Gastly,Gengar,,,Trade,
Gastly, 094,Gengar,500,60,65,60,130,75,110,Haunter,,,,,Gastly
Onix, 095,Onix,385,35,45,160,30,45,70,,Steelix,,Metal Coat,Trade,
Drowzee, 096,Drowzee,328,60,48,45,43,90,42,,Hypno,26.0,,Level,
Drowzee, 097,Hypno,483,85,73,70,73,115,67,Drowzee,,,,,
Krabby, 098,Krabby,325,30,105,90,25,25,50,,Kingler,28.0,,Level,
Krabby, 099,Kingler,475,55,130,115,50,50,75,Krabby,,,,,
Voltorb, 100,Voltorb,330,40,30,50,55,55,100,,Electrode,30.0,,Level,
Voltorb, 101,Electrode,480,60,50,70,80,80,140,Voltorb,,,,,
Exeggcute, 102,Exeggcute,325,60,40,80,60,45,40,,Exeggutor,,Leaf Stone,Stone,
Exeggcute, 103,Exeggutor,520,95,95,85,125,65,55,Exeggcute,,,,,
Cubone, 104,Cubone,320,50,50,95,40,50,35,,Marowak,28.0,,Level,
Cubone, 105,Marowak,425,60,80,110,50,80,45,Cubone,,,,,
Tyrogue, 106,Hitmonlee,455,50,120,53,35,110,87,Tyrogue,,,,,
Tyrogue, 107,Hitmonchan,455,50,105,79,35,110,76,Tyrogue,,,,,
Lickitung, 108,Lickitung,385,90,55,75,60,75,30,,,,,,
Koffing, 109,Koffing,340,40,65,95,60,45,35,,Weezing,35.0,,Level,
Koffing, 110,Weezing,490,65,90,120,85,70,60,Koffing,,,,,
Rhyhorn, 111,Rhyhorn,345,80,85,95,30,30,25,,Rhydon,42.0,,Level,
Rhyhorn, 112,Rhydon,485,105,130,120,45,45,40,Rhyhorn,,,,,
Chansey, 113,Chansey,450,250,5,5,35,105,50,,Blissey,,,Happiness,
Tangela, 114,Tangela,435,65,55,115,100,40,60,,,,,,
Kangaskhan, 115,Kangaskhan,490,105,95,80,40,80,90,,,,,,
Horsea, 116,Horsea,295,30,40,70,70,25,60,,Seadra,32.0,,Level,
Horsea, 117,Seadra,440,55,65,95,95,45,85,Horsea,Kingdra,,Dragon Scale,Trade,
Goldeen, 118,Goldeen,320,45,67,60,35,50,63,,Seaking,33.0,,Level,
Goldeen, 119,Seaking,450,80,92,65,65,80,68,Goldeen,,,,,
Staryu, 120,Staryu,340,30,45,55,70,55,85,,Starmie,,Water Stone,Stone,
Staryu, 121,Starmie,520,60,75,85,100,85,115,Staryu,,,,,
Mr. Mime, 122,Mr. Mime,460,40,45,65,100,120,90,,,,,,
Scyther, 123,Scyther,500,70,110,80,55,80,105,,Scizor,,Metal Coat,Trade,
Smoochum, 124,Jynx,455,65,50,35,115,95,95,Smoochum,,,,,
Elekid, 125,Electabuzz,490,65,83,57,95,85,105,Elekid,,,,,
Magby, 126,Magmar,495,65,95,57,100,85,93,Magby,,,,,
Pinsir, 127,Pinsir,500,65,125,100,55,70,85,,,,,,
Tauros, 128,Tauros,490,75,100,95,40,70,110,,,,,,
Magikarp, 129,Magikarp,200,20,10,55,15,20,80,,Gyarados,20.0,,Level,
Magikarp, 130,Gyarados,540,95,125,79,60,100,81,Magikarp,,,,,
Lapras, 131,Lapras,535,130,85,80,85,95,60,,,,,,
Ditto, 132,Ditto,288,48,48,48,48,48,48,,,,,,
Eevee, 133,Eevee,325,55,55,50,45,65,55,,Espeon,,Daytime,Happiness,
Eevee, 133,Eevee,325,55,55,50,45,65,55,,Umbreon,,Nighttime,Happiness,
Eevee, 133,Eevee,325,55,55,50,45,65,55,,Flareon,,Fire Stone,Stone,
Eevee, 133,Eevee,325,55,55,50,45,65,55,,Vaporeon,,Water Stone,Stone,
Eevee, 133,Eevee,325,55,55,50,45,65,55,,Jolteon,,Thunderstone,Stone,
Eevee, 134,Vaporeon,525,130,65,60,110,95,65,Eevee,,,,,
Eevee, 135,Jolteon,525,65,65,60,110,95,130,Eevee,,,,,
Eevee, 136,Flareon,525,65,130,60,95,110,65,Eevee,,,,,
Porygon, 137,Porygon,395,65,60,70,85,75,40,,Porygon2,,Up-Grade,Trade,
Omanyte, 138,Omanyte,355,35,40,100,90,55,35,,Omastar,40.0,,Level,
Omanyte, 139,Omastar,495,70,60,125,115,70,55,Omanyte,,,,,
Kabuto, 140,Kabuto,355,30,80,90,55,45,55,,Kabutops,40.0,,Level,
Kabuto, 141,Kabutops,495,60,115,105,65,70,80,Kabuto,,,,,
Aerodactyl, 142,Aerodactyl,515,80,105,65,60,75,130,,,,,,
Snorlax, 143,Snorlax,540,160,110,65,65,110,30,,,,,,
Articuno, 144,Articuno,580,90,85,100,95,125,85,,,,,,
Zapdos, 145,Zapdos,580,90,90,85,125,90,100,,,,,,
Moltres, 146,Moltres,580,90,100,90,125,85,90,,,,,,
Dratini, 147,Dratini,300,41,64,45,50,50,50,,Dragonair,30.0,,Level,
Dratini, 148,Dragonair,420,61,84,65,70,70,70,Dratini,Dragonite,55.0,,Level,
Dratini, 149,Dragonite,600,91,134,95,100,100,80,Dragonair,,,,,Dratini
Mewtwo, 150,Mewtwo,680,106,110,90,154,90,130,,,,,,
Mew, 151,Mew,600,100,100,100,100,100,100,,,,,,
Chikorita, 152,Chikorita,318,45,49,65,49,65,45,,Bayleef,16.0,,Level,
Chikorita, 153,Bayleef,405,60,62,80,63,80,60,Chikorita,Meganium,32.0,,Level,
Chikorita, 154,Meganium,525,80,82,100,83,100,80,Bayleef,,,,,Chikorita
Cyndaquil, 155,Cyndaquil,309,39,52,43,60,50,65,,Quilava,14.0,,Level,
Cyndaquil, 156,Quilava,405,58,64,58,80,65,80,Cyndaquil,Typhlosion,36.0,,Level,
Cyndaquil, 157,Typhlosion,534,78,84,78,109,85,100,Quilava,,,,,Cyndaquil
Totodile, 158,Totodile,314,50,65,64,44,48,43,,Croconaw,18.0,,Level,
Totodile, 159,Croconaw,405,65,80,80,59,63,58,Totodile,Feraligatr,30.0,,Level,
Totodile, 160,Feraligatr,530,85,105,100,79,83,78,Croconaw,,,,,Totodile
Sentret, 161,Sentret,215,35,46,34,35,45,20,,Furret,15.0,,Level,
Sentret, 162,Furret,415,85,76,64,45,55,90,Sentret,,,,,
Hoothoot, 163,Hoothoot,262,60,30,30,36,56,50,,Noctowl,20.0,,Level,
Hoothoot, 164,Noctowl,442,100,50,50,76,96,70,Hoothoot,,,,,
Ledyba, 165,Ledyba,265,40,20,30,40,80,55,,Ledian,18.0,,Level,
Ledyba, 166,Ledian,390,55,35,50,55,110,85,Ledyba,,,,,
Spinarak, 167,Spinarak,250,40,60,40,40,40,30,,Ariados,22.0,,Level,
Spinarak, 168,Ariados,390,70,90,70,60,60,40,Spinarak,,,,,
Zubat, 169,Crobat,535,85,90,80,70,80,130,Golbat,,,,,Zubat
Chinchou, 170,Chinchou,330,75,38,38,56,56,67,,Lanturn,27.0,,Level,
Chinchou, 171,Lanturn,460,125,58,58,76,76,67,Chinchou,,,,,
Pichu, 172,Pichu,205,20,40,15,35,35,60,,Pikachu,,,Happiness,
Cleffa, 173,Cleffa,218,50,25,28,45,55,15,,Clefairy,,,Happiness,
Igglybuff, 174,Igglybuff,210,90,30,15,40,20,15,,Jigglypuff,,,Happiness,
Togepi, 175,Togepi,245,35,20,65,40,65,20,,Togetic,,,Happiness,
Togepi, 176,Togetic,405,55,40,85,80,105,40,Togepi,,,,,
Natu, 177,Natu,320,40,50,45,70,45,70,,Xatu,25.0,,Level,
Natu, 178,Xatu,470,65,75,70,95,70,95,Natu,,,,,
Mareep, 179,Mareep,280,55,40,40,65,45,35,,Flaaffy,15.0,,Level,
Mareep, 180,Flaaffy,365,70,55,55,80,60,45,Mareep,Ampharos,30.0,,Level,
Mareep, 181,Ampharos,500,90,75,75,115,90,55,Flaaffy,,,,,Mareep
Oddish, 182,Bellossom,480,75,80,85,90,100,50,Gloom,,,,,Oddish
Azurill, 183,Marill,250,70,20,50,20,50,40,Azurill,Azumarill,18.0,,Level,
Azurill, 184,Azumarill,410,100,50,80,50,80,50,Marill,,,,,Azurill
Sudowoodo, 185,Sudowoodo,410,70,100,115,30,65,30,,,,,,
Poliwag, 186,Politoed,500,90,75,75,90,100,70,Poliwhirl,,,,,Poliwag
Hoppip, 187,Hoppip,250,35,35,40,35,55,50,,Skiploom,18.0,,Level,
Hoppip, 188,Skiploom,340,55,45,50,45,65,80,Hoppip,Jumpluff,27.0,,Level,
Hoppip, 189,Jumpluff,450,75,55,70,55,85,110,Skiploom,,,,,Hoppip
Aipom, 190,Aipom,360,55,70,55,40,55,85,,,,,,
Sunkern, 191,Sunkern,180,30,30,30,30,30,30,,Sunflora,,Sun Stone,Stone,
Sunkern, 192,Sunflora,425,75,75,55,105,85,30,Sunkern,,,,,
Yanma, 193,Yanma,390,65,65,45,75,45,95,,,,,,
Wooper, 194,Wooper,210,55,45,45,25,25,15,,Quagsire,20.0,,Level,
Wooper, 195,Quagsire,430,95,85,85,65,65,35,Wooper,,,,,
Eevee, 196,Espeon,525,65,65,60,130,95,110,Eevee,,,,,
Eevee, 197,Umbreon,525,95,65,110,60,130,65,Eevee,,,,,
Murkrow, 198,Murkrow,405,60,85,42,85,42,91,,,,,,
Slowpoke, 199,Slowking,490,95,75,80,100,110,30,Slowpoke,,,,,
Misdreavus, 200,Misdreavus,435,60,60,60,85,85,85,,,,,,
Unown, 201,Unown,336,48,72,48,72,48,48,,,,,,
Wynaut, 202,Wobbuffet,405,190,33,58,33,58,33,Wynaut,,,,,
Girafarig, 203,Girafarig,455,70,80,65,90,65,85,,,,,,
Pineco, 204,Pineco,290,50,65,90,35,35,15,,Forretress,31.0,,Level,
Pineco, 205,Forretress,465,75,90,140,60,60,40,Pineco,,,,,
Dunsparce, 206,Dunsparce,415,100,70,70,65,65,45,,,,,,
Gligar, 207,Gligar,430,65,75,105,35,65,85,,,,,,
Onix, 208,Steelix,510,75,85,200,55,65,30,Onix,,,,,
Snubbull, 209,Snubbull,300,60,80,50,40,40,30,,Granbull,23.0,,Level,
Snubbull, 210,Granbull,450,90,120,75,60,60,45,Snubbull,,,,,
Qwilfish, 211,Qwilfish,430,65,95,75,55,55,85,,,,,,
Scyther, 212,Scizor,500,70,130,100,55,80,65,Scyther,,,,,
Shuckle, 213,Shuckle,505,20,10,230,10,230,5,,,,,,
Heracross, 214,Heracross,500,80,125,75,40,95,85,,,,,,
Sneasel, 215,Sneasel,430,55,95,55,35,75,115,,,,,,
Teddiursa, 216,Teddiursa,330,60,80,50,50,50,40,,Ursaring,30.0,,Level,
Teddiursa, 217,Ursaring,500,90,130,75,75,75,55,Teddiursa,,,,,
Slugma, 218,Slugma,250,40,40,40,70,40,20,,Magcargo,38.0,,Level,
Slugma, 219,Magcargo,410,50,50,120,80,80,30,Slugma,,,,,
Swinub, 220,Swinub,250,50,50,40,30,30,50,,Piloswine,33.0,,Level,
Swinub, 221,Piloswine,450,100,100,80,60,60,50,Swinub,,,,,
Corsola, 222,Corsola,380,55,55,85,65,85,35,,,,,,
Remoraid, 223,Remoraid,300,35,65,35,65,35,65,,Octillery,25.0,,Level,
Remoraid, 224,Octillery,480,75,105,75,105,75,45,Remoraid,,,,,
Delibird, 225,Delibird,330,45,55,45,65,45,75,,,,,,
Mantine, 226,Mantine,465,65,40,70,80,140,70,,,,,,
Skarmory, 227,Skarmory,465,65,80,140,40,70,70,,,,,,
Houndour, 228,Houndour,330,45,60,30,80,50,65,,Houndoom,24.0,,Level,
Houndour, 229,Houndoom,500,75,90,50,110,80,95,Houndour,,,,,
Horsea, 230,Kingdra,540,75,95,95,95,95,85,Seadra,,,,,Horsea
Phanpy, 231,Phanpy,330,90,60,60,40,40,40,,Donphan,25.0,,Level,
Phanpy, 232,Donphan,500,90,120,120,60,60,50,Phanpy,,,,,
Porygon, 233,Porygon2,515,85,80,90,105,95,60,Porygon,,,,,
Stantler, 234,Stantler,465,73,95,62,85,65,85,,,,,,
Smeargle, 235,Smeargle,250,55,20,35,20,45,75,,,,,,
Tyrogue, 236,Tyrogue,210,35,35,35,35,35,35,,Hitmonlee,20.0,Attack > Defense,Level,
Tyrogue, 236,Tyrogue,210,35,35,35,35,35,35,,Hitmonchan,20.0,Attack < Defense,Level,
Tyrogue, 236,Tyrogue,210,35,35,35,35,35,35,,Hitmontop,20.0,Attack = Defense,Level,
Tyrogue, 237,Hitmontop,455,50,95,95,35,110,70,Tyrogue,,,,,
Smoochum, 238,Smoochum,305,45,30,15,85,65,65,,Jynx,30.0,,Level,
Elekid, 239,Elekid,360,45,63,37,65,55,95,,Electabuzz,30.0,,Level,
Magby, 240,Magby,365,45,75,37,70,55,83,,Magmar,30.0,,Level,
Miltank, 241,Miltank,490,95,80,105,40,70,100,,,,,,
Chansey, 242,Blissey,540,255,10,10,75,135,55,Chansey,,,,,
Raikou, 243,Raikou,580,90,85,75,115,100,115,,,,,,
Entei, 244,Entei,580,115,115,85,90,75,100,,,,,,
Suicune, 245,Suicune,580,100,75,115,90,115,85,,,,,,
Larvitar, 246,Larvitar,300,50,64,50,45,50,41,,Pupitar,30.0,,Level,
Larvitar, 247,Pupitar,410,70,84,70,65,70,51,Larvitar,Tyranitar,55.0,,Level,
Larvitar, 248,Tyranitar,600,100,134,110,95,100,61,Pupitar,,,,,Larvitar
Lugia, 249,Lugia,680,106,90,130,90,154,110,,,,,,
Ho-oh, 250,Ho-oh,680,106,130,90,110,154,90,,,,,,
Celebi, 251,Celebi,600,100,100,100,100,100,100,,,,,,
Treecko, 252,Treecko,310,40,45,35,65,55,70,,Grovyle,16.0,,Level,
Treecko, 253,Grovyle,405,50,65,45,85,65,95,Treecko,Sceptile,36.0,,Level,
Treecko, 254,Sceptile,530,70,85,65,105,85,120,Grovyle,,,,,Treecko
Torchic, 255,Torchic,310,45,60,40,70,50,45,,Combusken,16.0,,Level,
Torchic, 256,Combusken,405,60,85,60,85,60,55,Torchic,Blaziken,36.0,,Level,
Torchic, 257,Blaziken,530,80,120,70,110,70,80,Combusken,,,,,Torchic
Mudkip, 258,Mudkip,310,50,70,50,50,50,40,,Marshtomp,16.0,,Level,
Mudkip, 259,Marshtomp,405,70,85,70,60,70,50,Mudkip,Swampert,36.0,,Level,
Mudkip, 260,Swampert,535,100,110,90,85,90,60,Marshtomp,,,,,Mudkip
Poochyena, 261,Poochyena,220,35,55,35,30,30,35,,Mightyena,18.0,,Level,
Poochyena, 262,Mightyena,420,70,90,70,60,60,70,Poochyena,,,,,
Zigzagoon, 263,Zigzagoon,240,38,30,41,30,41,60,,Linoone,20.0,,Level,
Zigzagoon, 264,Linoone,420,78,70,61,50,61,100,Zigzagoon,,,,,
Wurmple, 265,Wurmple,195,45,45,35,20,30,20,,Silcoon,7.0,"Random, based on personality",Level,
Wurmple, 265,Wurmple,195,45,45,35,20,30,20,,Cascoon,7.0,"Random, based on personality",Level,
Wurmple, 266,Silcoon,205,50,35,55,25,25,15,Wurmple,Beautifly,10.0,,Level,
Wurmple, 267,Beautifly,385,60,70,50,90,50,65,Silcoon,,,,,Wurmple
Wurmple, 268,Cascoon,205,50,35,55,25,25,15,Wurmple,Dustox,10.0,,Level,
Wurmple, 269,Dustox,385,60,50,70,50,90,65,Cascoon,,,,,Wurmple
Lotad, 270,Lotad,220,40,30,30,40,50,30,,Lombre,14.0,,Level,
Lotad, 271,Lombre,340,60,50,50,60,70,50,Lotad,Ludicolo,,Water Stone,Stone,
Lotad, 272,Ludicolo,480,80,70,70,90,100,70,Lombre,,,,,Lotad
Seedot, 273,Seedot,220,40,40,50,30,30,30,,Nuzleaf,14.0,,Level,
Seedot, 274,Nuzleaf,340,70,70,40,60,40,60,Seedot,Shiftry,,Leaf Stone,Stone,
Seedot, 275,Shiftry,480,90,100,60,90,60,80,Nuzleaf,,,,,Seedot
Taillow, 276,Taillow,270,40,55,30,30,30,85,,Swellow,22.0,,Level,
Taillow, 277,Swellow,430,60,85,60,50,50,125,Taillow,,,,,
Wingull, 278,Wingull,270,40,30,30,55,30,85,,Pelipper,25.0,,Level,
Wingull, 279,Pelipper,430,60,50,100,85,70,65,Wingull,,,,,
Ralts, 280,Ralts,198,28,25,25,45,35,40,,Kirlia,20.0,,Level,
Ralts, 281,Kirlia,278,38,35,35,65,55,50,Ralts,Gardevoir,30.0,,Level,
Ralts, 282,Gardevoir,518,68,65,65,125,115,80,Kirlia,,,,,Ralts
Surskit, 283,Surskit,269,40,30,32,50,52,65,,Masquerain,22.0,,Level,
Surskit, 284,Masquerain,414,70,60,62,80,82,60,Surskit,,,,,
Shroomish, 285,Shroomish,295,60,40,60,40,60,35,,Breloom,23.0,,Level,
Shroomish, 286,Breloom,460,60,130,80,60,60,70,Shroomish,,,,,
Slakoth, 287,Slakoth,280,60,60,60,35,35,30,,Vigoroth,18.0,,Level,
Slakoth, 288,Vigoroth,440,80,80,80,55,55,90,Slakoth,Slaking,36.0,,Level,
Slakoth, 289,Slaking,670,150,160,100,95,65,100,Vigoroth,,,,,Slakoth
Nincada, 290,Nincada,266,31,45,90,30,30,40,,Ninjask,20.0,,Level,
Nincada, 290,Nincada,266,31,45,90,30,30,40,,Shedinja,20.0,with empty spot in party,Level,
Nincada, 291,Ninjask,456,61,90,45,50,50,160,Nincada,,,,,
Nincada, 292,Shedinja,236,1,90,45,30,30,40,Nincada,,,,,
Whismur, 293,Whismur,240,64,51,23,51,23,28,,Loudred,20.0,,Level,
Whismur, 294,Loudred,360,84,71,43,71,43,48,Whismur,Exploud,40.0,,Level,
Whismur, 295,Exploud,480,104,91,63,91,63,68,Loudred,,,,,Whismur
Makuhita, 296,Makuhita,237,72,60,30,20,30,25,,Hariyama,24.0,,Level,
Makuhita, 297,Hariyama,474,144,120,60,40,60,50,Makuhita,,,,,
Azurill, 298,Azurill,190,50,20,40,20,40,20,,Marill,,,Happiness,
Nosepass, 299,Nosepass,375,30,45,135,45,90,30,,,,,,
Skitty, 300,Skitty,260,50,45,45,35,35,50,,Delcatty,,Moon Stone,Stone,
Skitty, 301,Delcatty,380,70,65,65,55,55,70,Skitty,,,,,
Sableye, 302,Sableye,380,50,75,75,65,65,50,,,,,,
Mawile, 303,Mawile,380,50,85,85,55,55,50,,,,,,
Aron, 304,Aron,330,50,70,100,40,40,30,,Lairon,32.0,,Level,
Aron, 305,Lairon,430,60,90,140,50,50,40,Aron,Aggron,42.0,,Level,
Aron, 306,Aggron,530,70,110,180,60,60,50,Lairon,,,,,Aron
Meditite, 307,Meditite,280,30,40,55,40,55,60,,Medicham,37.0,,Level,
Meditite, 308,Medicham,410,60,60,75,60,75,80,Meditite,,,,,
Electrike, 309,Electrike,295,40,45,40,65,40,65,,Manectric,26.0,,Level,
Electrike, 310,Manectric,475,70,75,60,105,60,105,Electrike,,,,,
Plusle, 311,Plusle,405,60,50,40,85,75,95,,,,,,
Minun, 312,Minun,405,60,40,50,75,85,95,,,,,,
Volbeat, 313,Volbeat,400,65,73,55,47,75,85,,,,,,
Illumise, 314,Illumise,400,65,47,55,73,75,85,,,,,,
Roselia, 315,Roselia,400,50,60,45,100,80,65,,,,,,
Gulpin, 316,Gulpin,302,70,43,53,43,53,40,,Swalot,26.0,,Level,
