Evolution Group,#,Name,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed,Evolving from,Evolving to,Level,Condition,Evolution Type,First Evolution
Oddish, 044,Gloom,395,60,65,70,85,75,40,Oddish,Vileplume,,Leaf Stone,Stone,
Corphish, 341,Corphish,308,43,80,65,50,35,35,,Crawdaunt,30,,Level,
Snorunt, 361,Snorunt,300,50,50,50,50,50,50,,Glalie,42,,Level,
Skitty, 301,Delcatty,380,70,65,65,55,55,70,Skitty,,,,,
Poliwag, 186,Politoed,500,90,75,75,90,100,70,Poliwhirl,,,,,Poliwag
Bagon, 372,Shelgon,420,65,95,100,60,50,50,Bagon,Salamence,50,,Level,
Bellsprout, 071,Victreebel,480,80,105,65,100,60,70,Weepinbell,,,,,Bellsprout
Totodile, 160,Feraligatr,530,85,105,100,79,83,78,Croconaw,,,,,Totodile
Shuppet, 354,Banette,455,64,115,65,83,63,65,Shuppet,,,,,
Shellder, 090,Shellder,305,30,65,100,45,25,40,,Cloyster,,Water Stone,Stone,
Raikou, 243,Raikou,580,90,85,75,115,100,115,,,,,,
Wingull, 279,Pelipper,430,60,50,100,85,70,65,Wingull,,,,,
Whismur, 293,Whismur,240,64,51,23,51,23,28,,Loudred,20,,Level,
Kangaskhan, 115,Kangaskhan,490,105,95,80,40,80,90,,,,,,
Spinda, 327,Spinda,360,60,60,60,60,60,60,,,,,,
Nidoran♂, 032,Nidoran♂,273,46,57,40,40,40,50,,Nidorino,16,,Level,
Poliwag, 060,Poliwag,300,40,50,40,40,40,90,,Poliwhirl,25,,Level,
Wynaut, 360,Wynaut,260,95,23,48,23,48,23,,Wobbuffet,15,,Level,
Slowpoke, 079,Slowpoke,315,90,65,65,40,40,15,,Slowking,,King's Rock,Trade,
Snubbull, 209,Snubbull,300,60,80,50,40,40,30,,Granbull,23,,Level,
Larvitar, 246,Larvitar,300,50,64,50,45,50,41,,Pupitar,30,,Level,
Dratini, 149,Dragonite,600,91,134,95,100,100,80,Dragonair,,,,,Dratini
Cleffa, 173,Cleffa,218,50,25,28,45,55,15,,Clefairy,,,Happiness,
Dratini, 147,Dratini,300,41,64,45,50,50,50,,Dragonair,30,,Level,
Regice, 378,Regice,580,80,50,100,100,200,50,,,,,,
Stantler, 234,Stantler,465,73,95,62,85,65,85,,,,,,
Volbeat, 313,Volbeat,400,65,73,55,47,75,85,,,,,,
Bulbasaur, 002,Ivysaur,405,60,62,63,80,80,60,Bulbasaur,Venusaur,32,,Level,
Sableye, 302,Sableye,380,50,75,75,65,65,50,,,,,,
Groudon, 383,Groudon,670,100,150,140,100,90,90,,,,,,
Igglybuff, 174,Igglybuff,210,90,30,15,40,20,15,,Jigglypuff,,,Happiness,
Koffing, 109,Koffing,340,40,65,95,60,45,35,,Weezing,35,,Level,
Mareep, 179,Mareep,280,55,40,40,65,45,35,,Flaaffy,15,,Level,
Yanma, 193,Yanma,390,65,65,45,75,45,95,,,,,,
Lileep, 346,Cradily,495,86,81,97,81,107,43,Lileep,,,,,
Entei, 244,Entei,580,115,115,85,90,75,100,,,,,,
Kyogre, 382,Kyogre,670,100,100,90,150,140,90,,,,,,
Meowth, 053,Persian,440,65,70,60,65,65,115,Meowth,,,,,
Pidgey, 017,Pidgeotto,349,63,60,55,50,50,71,Pidgey,Pidgeot,36,,Level,
Smeargle, 235,Smeargle,250,55,20,35,20,45,75,,,,,,
Sentret, 161,Sentret,215,35,46,34,35,45,20,,Furret,15,,Level,
Tyrogue, 236,Tyrogue,210,35,35,35,35,35,35,,Hitmonlee,20,Attack > Defense,Level,
Taillow, 276,Taillow,270,40,55,30,30,30,85,,Swellow,22,,Level,
Zapdos, 145,Zapdos,580,90,90,85,125,90,100,,,,,,
Voltorb, 101,Electrode,480,60,50,70,80,80,140,Voltorb,,,,,
Wurmple, 267,Beautifly,385,60,70,50,90,50,65,Silcoon,,,,,Wurmple
Makuhita, 297,Hariyama,474,144,120,60,40,60,50,Makuhita,,,,,
Wailmer, 320,Wailmer,400,130,70,35,70,35,60,,Wailord,40,,Level,
Azurill, 183,Marill,250,70,20,50,20,50,40,Azurill,Azumarill,18,,Level,
Suicune, 245,Suicune,580,100,75,115,90,115,85,,,,,,
Unown, 201,Unown,336,48,72,48,72,48,48,,,,,,
Swablu, 333,Swablu,310,45,40,60,40,75,50,,Altaria,35,,Level,
Ledyba, 165,Ledyba,265,40,20,30,40,80,55,,Ledian,18,,Level,
Nidoran♀, 031,Nidoqueen,495,90,82,87,75,85,76,Nidorina,,,,,Nidoran♀
Ditto, 132,Ditto,288,48,48,48,48,48,48,,,,,,
Girafarig, 203,Girafarig,455,70,80,65,90,65,85,,,,,,
Weedle, 013,Weedle,195,40,35,30,20,20,50,,Kakuna,7,,Level,
Aron, 305,Lairon,430,60,90,140,50,50,40,Aron,Aggron,42,,Level,
Caterpie, 010,Caterpie,195,45,30,35,20,20,45,,Metapod,7,,Level,
Cleffa, 036,Clefable,473,95,70,73,85,90,60,Clefairy,,,,,Cleffa
Mewtwo, 150,Mewtwo,680,106,110,90,154,90,130,,,,,,
Abra, 063,Abra,310,25,20,15,105,55,90,,Kadabra,16,,Level,
Abra, 065,Alakazam,490,55,50,45,135,85,120,Kadabra,,,,,Abra
Ponyta, 078,Rapidash,500,65,100,70,80,80,105,Ponyta,,,,,
Carvanha, 319,Sharpedo,460,70,120,40,95,40,95,Carvanha,,,,,
Teddiursa, 216,Teddiursa,330,60,80,50,50,50,40,,Ursaring,30,,Level,
Electrike, 309,Electrike,295,40,45,40,65,40,65,,Manectric,26,,Level,
Caterpie, 011,Metapod,205,50,20,55,25,25,30,Caterpie,Butterfree,10,,Level,
Onix, 208,Steelix,510,75,85,200,55,65,30,Onix,,,,,
Wurmple, 268,Cascoon,205,50,35,55,25,25,15,Wurmple,Dustox,10,,Level,
Lickitung, 108,Lickitung,385,90,55,75,60,75,30,,,,,,
Wooper, 195,Quagsire,430,95,85,85,65,65,35,Wooper,,,,,
Pineco, 204,Pineco,290,50,65,90,35,35,15,,Forretress,31,,Level,
Wingull, 278,Wingull,270,40,30,30,55,30,85,,Pelipper,25,,Level,
Porygon, 137,Porygon,395,65,60,70,85,75,40,,Porygon2,,Up-Grade,Trade,
Treecko, 252,Treecko,310,40,45,35,65,55,70,,Grovyle,16,,Level,
Psyduck, 055,Golduck,500,80,82,78,95,80,85,Psyduck,,,,,
Kabuto, 141,Kabutops,495,60,115,105,65,70,80,Kabuto,,,,,
Heracross, 214,Heracross,500,80,125,75,40,95,85,,,,,,
Torkoal, 324,Torkoal,470,70,85,140,85,70,20,,,,,,
Seel, 087,Dewgong,475,90,70,80,70,95,70,Seel,,,,,
Aerodactyl, 142,Aerodactyl,515,80,105,65,60,75,130,,,,,,
Pinsir, 127,Pinsir,500,65,125,100,55,70,85,,,,,,
Pichu, 172,Pichu,205,20,40,15,35,35,60,,Pikachu,,,Happiness,
Ralts, 281,Kirlia,278,38,35,35,65,55,50,Ralts,Gardevoir,30,,Level,
Hoppip, 188,Skiploom,340,55,45,50,45,65,80,Hoppip,Jumpluff,27,,Level,
Tropius, 357,Tropius,460,99,68,83,72,87,51,,,,,,
Slakoth, 289,Slaking,670,150,160,100,95,65,100,Vigoroth,,,,,Slakoth
Torchic, 256,Combusken,405,60,85,60,85,60,55,Torchic,Blaziken,36,,Level,
Rayquaza, 384,Rayquaza,680,105,150,90,150,90,95,,,,,,
Snorunt, 362,Glalie,480,80,80,80,80,80,80,Snorunt,,,,,
Pineco, 205,Forretress,465,75,90,140,60,60,40,Pineco,,,,,
Oddish, 044,Gloom,395,60,65,70,85,75,40,Oddish,Bellossom,,Sun Stone,Stone,
Remoraid, 224,Octillery,480,75,105,75,105,75,45,Remoraid,,,,,
Rattata, 020,Raticate,413,55,81,60,50,70,97,Rattata,,,,,
Krabby, 099,Kingler,475,55,130,115,50,50,75,Krabby,,,,,
Geodude, 074,Geodude,300,40,80,100,30,30,20,,Graveler,25,,Level,
Latios, 381,Latios,600,80,90,80,130,110,110,,,,,,
Regirock, 377,Regirock,580,80,100,200,50,100,50,,,,,,
Totodile, 159,Croconaw,405,65,80,80,59,63,58,Totodile,Feraligatr,30,,Level,
Poliwag, 061,Poliwhirl,385,65,65,65,50,50,90,Poliwag,Politoed,,King's Rock,Trade,
Togepi, 176,Togetic,405,55,40,85,80,105,40,Togepi,,,,,
Cubone, 105,Marowak,425,60,80,110,50,80,45,Cubone,,,,,
Chansey, 113,Chansey,450,250,5,5,35,105,50,,Blissey,,,Happiness,
Tyrogue, 107,Hitmonchan,455,50,105,79,35,110,76,Tyrogue,,,,,
Togepi, 175,Togepi,245,35,20,65,40,65,20,,Togetic,,,Happiness,
Rattata, 019,Rattata,253,30,56,35,25,35,72,,Raticate,20,,Level,
Poliwag, 062,Poliwrath,500,90,85,95,70,90,70,Poliwhirl,,,,,Poliwag
Articuno, 144,Articuno,580,90,85,100,95,125,85,,,,,,
Porygon, 233,Porygon2,515,85,80,90,105,95,60,Porygon,,,,,
Absol, 359,Absol,465,65,130,60,75,60,75,,,,,,
Zigzagoon, 264,Linoone,420,78,70,61,50,61,100,Zigzagoon,,,,,
Lugia, 249,Lugia,680,106,90,130,90,154,110,,,,,,
Aipom, 190,Aipom,360,55,70,55,40,55,85,,,,,,
Oddish, 043,Oddish,320,45,50,55,75,65,30,,Gloom,21,,Level,
Sandshrew, 027,Sandshrew,300,50,75,85,20,30,40,,Sandslash,22,,Level,
Clamperl, 366,Clamperl,345,35,64,85,74,55,32,,,,,,
Skarmory, 227,Skarmory,465,65,80,140,40,70,70,,,,,,
Squirtle, 008,Wartortle,405,59,63,80,65,80,58,Squirtle,Blastoise,36,,Level,
Ralts, 282,Gardevoir,518,68,65,65,125,115,80,Kirlia,,,,,Ralts
Spheal, 364,Sealeo,410,90,60,70,75,70,45,Spheal,Walrein,44,,Level,
Dratini, 148,Dragonair,420,61,84,65,70,70,70,Dratini,Dragonite,55,,Level,
Rhyhorn, 111,Rhyhorn,345,80,85,95,30,30,25,,Rhydon,42,,Level,
Misdreavus, 200,Misdreavus,435,60,60,60,85,85,85,,,,,,
Whismur, 295,Exploud,480,104,91,63,91,63,68,Loudred,,,,,Whismur
Eevee, 134,Vaporeon,525,130,65,60,110,95,65,Eevee,,,,,
Weedle, 015,Beedrill,385,65,80,40,45,80,75,Kakuna,,,,,Weedle
Torchic, 257,Blaziken,530,80,120,70,110,70,80,Combusken,,,,,Torchic
Diglett, 051,Dugtrio,405,35,80,50,50,70,120,Diglett,,,,,
Meditite, 307,Meditite,280,30,40,55,40,55,60,,Medicham,37,,Level,
Goldeen, 118,Goldeen,320,45,67,60,35,50,63,,Seaking,33,,Level,
Sunkern, 191,Sunkern,180,30,30,30,30,30,30,,Sunflora,,Sun Stone,Stone,
Numel, 322,Numel,305,60,60,40,65,45,35,,Camerupt,33,,Level,
Tauros, 128,Tauros,490,75,100,95,40,70,110,,,,,,
Baltoy, 343,Baltoy,300,40,40,55,40,70,55,,Claydol,36,,Level,
Illumise, 314,Illumise,400,65,47,55,73,75,85,,,,,,
Treecko, 254,Sceptile,530,70,85,65,105,85,120,Grovyle,,,,,Treecko
Phanpy, 232,Donphan,500,90,120,120,60,60,50,Phanpy,,,,,
Skitty, 300,Skitty,260,50,45,45,35,35,50,,Delcatty,,Moon Stone,Stone,
Mudkip, 258,Mudkip,310,50,70,50,50,50,40,,Marshtomp,16,,Level,
Shellder, 091,Cloyster,525,50,95,180,85,45,70,Shellder,,,,,
Nidoran♂, 033,Nidorino,365,61,72,57,55,55,65,Nidoran♂,Nidoking,,Moon Stone,Stone,
Weedle, 014,Kakuna,205,45,25,50,25,25,35,Weedle,Beedrill,10,,Level,
Dunsparce, 206,Dunsparce,415,100,70,70,65,65,45,,,,,,
Goldeen, 119,Seaking,450,80,92,65,65,80,68,Goldeen,,,,,
Paras, 046,Paras,285,35,70,55,45,55,25,,Parasect,24,,Level,
Castform, 351,Castform,420,70,70,70,70,70,70,,,,,,
Beldum, 376,Metagross,600,80,135,130,95,90,70,Metang,,,,,Beldum
Sandshrew, 028,Sandslash,450,75,100,110,45,55,65,Sandshrew,,,,,
Barboach, 340,Whiscash,468,110,78,73,76,71,60,Barboach,,,,,
Spheal, 365,Walrein,530,110,80,90,95,90,65,Sealeo,,,,,Spheal
Seedot, 273,Seedot,220,40,40,50,30,30,30,,Nuzleaf,14,,Level,
Trapinch, 330,Flygon,520,80,100,80,80,80,100,Vibrava,,,,,Trapinch
Whismur, 294,Loudred,360,84,71,43,71,43,48,Whismur,Exploud,40,,Level,
Tyrogue, 106,Hitmonlee,455,50,120,53,35,110,87,Tyrogue,,,,,
Pichu, 025,Pikachu,300,35,55,30,50,40,90,Pichu,Raichu,,Thunderstone,Stone,
Growlithe, 059,Arcanine,555,90,110,80,100,80,95,Growlithe,,,,,
Remoraid, 223,Remoraid,300,35,65,35,65,35,65,,Octillery,25,,Level,
Staryu, 120,Staryu,340,30,45,55,70,55,85,,Starmie,,Water Stone,Stone,
Azurill, 184,Azumarill,410,100,50,80,50,80,50,Marill,,,,,Azurill
Meowth, 052,Meowth,290,40,45,35,40,40,90,,Persian,28,,Level,
Spoink, 326,Grumpig,470,80,45,65,90,110,80,Spoink,,,,,
Doduo, 085,Dodrio,460,60,110,70,60,60,100,Doduo,,,,,
Jirachi, 385,Jirachi,600,100,100,100,100,100,100,,,,,,
Luvdisc, 370,Luvdisc,330,43,30,55,40,65,97,,,,,,
Lotad, 272,Ludicolo,480,80,70,70,90,100,70,Lombre,,,,,Lotad
Gastly, 094,Gengar,500,60,65,60,130,75,110,Haunter,,,,,Gastly
Shroomish, 286,Breloom,460,60,130,80,60,60,70,Shroomish,,,,,
Squirtle, 007,Squirtle,314,44,48,65,50,64,43,,Wartortle,16,,Level,
Charmander, 006,Charizard,534,78,84,78,109,85,100,Charmeleon,,,,,Charmander
Taillow, 277,Swellow,430,60,85,60,50,50,125,Taillow,,,,,
Bonsly, 185,Sudowoodo,410,70,100,115,30,65,30,Bonsly,,,,,
Kecleon, 352,Kecleon,440,60,90,70,60,120,40,,,,,,
Anorith, 348,Armaldo,495,75,125,100,70,80,45,Anorith,,,,,
Duskull, 355,Duskull,295,20,40,90,30,90,25,,Dusclops,37,,Level,
Machop, 067,Machoke,405,80,100,70,50,60,45,Machop,Machamp,,,Trade,
Machop, 068,Machamp,505,90,130,80,65,85,55,Machoke,,,,,Machop
Nidoran♂, 034,Nidoking,495,81,92,77,85,75,85,Nidorino,,,,,Nidoran♂
Chansey, 242,Blissey,540,255,10,10,75,135,55,Chansey,,,,,
Nincada, 290,Nincada,266,31,45,90,30,30,40,,Ninjask,20,,Level,
Bulbasaur, 001,Bulbasaur,318,45,49,49,65,65,45,,Ivysaur,16,,Level,
Wurmple, 265,Wurmple,195,45,45,35,20,30,20,,Cascoon,7,"Random, based on personality",Level,
Feebas, 349,Feebas,200,20,15,20,10,55,80,,Milotic,,Beauty,Other,
Scyther, 212,Scizor,500,70,130,100,55,80,65,Scyther,,,,,
Rhyhorn, 112,Rhydon,485,105,130,120,45,45,40,Rhyhorn,,,,,
Paras, 047,Parasect,405,60,95,80,60,80,30,Paras,,,,,
Onix, 095,Onix,385,35,45,160,30,45,70,,Steelix,,Metal Coat,Trade,
Kabuto, 140,Kabuto,355,30,80,90,55,45,55,,Kabutops,40,,Level,
Lotad, 271,Lombre,340,60,50,50,60,70,50,Lotad,Ludicolo,,Water Stone,Stone,
Wurmple, 269,Dustox,385,60,50,70,50,90,65,Cascoon,,,,,Wurmple
Surskit, 284,Masquerain,414,70,60,62,80,82,60,Surskit,,,,,
Trapinch, 329,Vibrava,340,50,70,50,50,50,70,Trapinch,Flygon,45,,Level,
Slugma, 219,Magcargo,410,50,50,120,80,80,30,Slugma,,,,,
Spinarak, 167,Spinarak,250,40,60,40,40,40,30,,Ariados,22,,Level,
Mudkip, 260,Swampert,535,100,110,90,85,90,60,Marshtomp,,,,,Mudkip
Spheal, 363,Spheal,290,70,40,50,55,50,25,,Sealeo,32,,Level,
Budew, 315,Roselia,400,50,60,45,100,80,65,Budew,,,,,
Magikarp, 130,Gyarados,540,95,125,79,60,100,81,Magikarp,,,,,
Spearow, 021,Spearow,262,40,60,30,31,31,70,,Fearow,20,,Level,
Plusle, 311,Plusle,405,60,50,40,85,75,95,,,,,,
Eevee, 133,Eevee,325,55,55,50,45,65,55,,Jolteon,,Thunderstone,Stone,
Diglett, 050,Diglett,265,10,55,25,35,45,95,,Dugtrio,26,,Level,
Eevee, 196,Espeon,525,65,65,60,130,95,110,Eevee,,,,,
Houndour, 228,Houndour,330,45,60,30,80,50,65,,Houndoom,24,,Level,
Zubat, 041,Zubat,245,40,45,35,30,40,55,,Golbat,22,,Level,
Corphish, 342,Crawdaunt,468,63,120,85,90,55,55,Corphish,,,,,
Meditite, 308,Medicham,410,60,60,75,60,75,80,Meditite,,,,,
Horsea, 117,Seadra,440,55,65,95,95,45,85,Horsea,Kingdra,,Dragon Scale,Trade,
Hoppip, 187,Hoppip,250,35,35,40,35,55,50,,Skiploom,18,,Level,
Cleffa, 035,Clefairy,323,70,45,48,60,65,35,Cleffa,Clefable,,Moon Stone,Stone,
Poochyena, 261,Poochyena,220,35,55,35,30,30,35,,Mightyena,18,,Level,
Barboach, 339,Barboach,288,50,48,43,46,41,60,,Whiscash,30,,Level,
Celebi, 251,Celebi,600,100,100,100,100,100,100,,,,,,
Abra, 064,Kadabra,400,40,35,30,120,70,105,Abra,Alakazam,,,Trade,
Hoppip, 189,Jumpluff,450,75,55,70,55,85,110,Skiploom,,,,,Hoppip
Houndour, 229,Houndoom,500,75,90,50,110,80,95,Houndour,,,,,
Mantyke, 226,Mantine,465,65,40,70,80,140,70,Mantyke,,,,,
Zigzagoon, 263,Zigzagoon,240,38,30,41,30,41,60,,Linoone,20,,Level,
Tyrogue, 237,Hitmontop,455,50,95,95,35,110,70,Tyrogue,,,,,
Gastly, 093,Haunter,405,45,50,45,115,55,95,Gastly,Gengar,,,Trade,
Cyndaquil, 156,Quilava,405,58,64,58,80,65,80,Cyndaquil,Typhlosion,36,,Level,
Ekans, 024,Arbok,438,60,85,69,65,79,80,Ekans,,,,,
Lapras, 131,Lapras,535,130,85,80,85,95,60,,,,,,
Omanyte, 139,Omastar,495,70,60,125,115,70,55,Omanyte,,,,,
Growlithe, 058,Growlithe,350,55,70,45,70,50,60,,Arcanine,,Fire Stone,Stone,
Horsea, 116,Horsea,295,30,40,70,70,25,60,,Seadra,32,,Level,
Nosepass, 299,Nosepass,375,30,45,135,45,90,30,,,,,,
Slugma, 218,Slugma,250,40,40,40,70,40,20,,Magcargo,38,,Level,
Geodude, 075,Graveler,390,55,95,115,45,45,35,Geodude,Golem,,,Trade,
Ralts, 280,Ralts,198,28,25,25,45,35,40,,Kirlia,20,,Level,
Smoochum, 124,Jynx,455,65,50,35,115,95,95,Smoochum,,,,,
Mankey, 057,Primeape,455,65,105,60,60,70,95,Mankey,,,,,
Scyther, 123,Scyther,500,70,110,80,55,80,105,,Scizor,,Metal Coat,Trade,
Sneasel, 215,Sneasel,430,55,95,55,35,75,115,,,,,,
Huntail, 367,Huntail,485,55,104,105,94,75,52,,,,,,
Magnemite, 082,Magneton,465,50,60,95,120,70,70,Magnemite,,,,,
Oddish, 045,Vileplume,480,75,80,85,100,90,50,Gloom,,,,,Oddish
Charmander, 004,Charmander,309,39,52,43,60,50,65,,Charmeleon,16,,Level,
Eevee, 133,Eevee,325,55,55,50,45,65,55,,Espeon,,Daytime,Happiness,
Murkrow, 198,Murkrow,405,60,85,42,85,42,91,,,,,,
Wurmple, 266,Silcoon,205,50,35,55,25,25,15,Wurmple,Beautifly,10,,Level,
Tyrogue, 236,Tyrogue,210,35,35,35,35,35,35,,Hitmonchan,20,Attack < Defense,Level,
Magnemite, 081,Magnemite,325,25,35,70,95,55,45,,Magneton,30,,Level,
Mareep, 181,Ampharos,500,90,75,75,115,90,55,Flaaffy,,,,,Mareep
Deoxys- Normal Forme, 386,Deoxys- Normal Forme,600,50,150,50,150,50,150,,,,,,
Smoochum, 238,Smoochum,305,45,30,15,85,65,65,,Jynx,30,,Level,
Azurill, 298,Azurill,190,50,20,40,20,40,20,,Marill,,,Happiness,
Nincada, 292,Shedinja,236,1,90,45,30,30,40,Nincada,,,,,
Bagon, 373,Salamence,600,95,135,80,110,80,100,Shelgon,,,,,Bagon
Gorebyss, 368,Gorebyss,485,55,84,105,114,75,52,,,,,,
Mudkip, 259,Marshtomp,405,70,85,70,60,70,50,Mudkip,Swampert,36,,Level,
Bulbasaur, 003,Venusaur,525,80,82,83,100,100,80,Ivysaur,,,,,Bulbasaur
Geodude, 076,Golem,485,80,110,130,55,65,45,Graveler,,,,,Geodude
Slowpoke, 079,Slowpoke,315,90,65,65,40,40,15,,Slowbro,37,,Level,
Chinchou, 171,Lanturn,460,125,58,58,76,76,67,Chinchou,,,,,
Slowpoke, 199,Slowking,490,95,75,80,100,110,30,Slowpoke,,,,,
Natu, 178,Xatu,470,65,75,70,95,70,95,Natu,,,,,
Caterpie, 012,Butterfree,385,60,45,50,80,80,70,Metapod,,,,,Caterpie
Anorith, 347,Anorith,355,45,95,50,40,50,75,,Armaldo,40,,Level,
Miltank, 241,Miltank,490,95,80,105,40,70,100,,,,,,
Chingling, 358,Chimecho,425,65,50,70,95,80,65,Chingling,,,,,
Poliwag, 061,Poliwhirl,385,65,65,65,50,50,90,Poliwag,Poliwrath,,Water Stone,Stone,
Bagon, 371,Bagon,300,45,75,60,40,30,50,,Shelgon,30,,Level,
Mankey, 056,Mankey,305,40,80,35,35,45,70,,Primeape,28,,Level,
Magikarp, 129,Magikarp,200,20,10,55,15,20,80,,Gyarados,20,,Level,
Shroomish, 285,Shroomish,295,60,40,60,40,60,35,,Breloom,23,,Level,
Swablu, 334,Altaria,490,75,70,90,70,105,80,Swablu,,,,,
Minun, 312,Minun,405,60,40,50,75,85,95,,,,,,
Hoothoot, 164,Noctowl,442,100,50,50,76,96,70,Hoothoot,,,,,
Eevee, 197,Umbreon,525,95,65,110,60,130,65,Eevee,,,,,
Ponyta, 077,Ponyta,410,50,85,55,65,65,90,,Rapidash,40,,Level,
Chikorita, 152,Chikorita,318,45,49,65,49,65,45,,Bayleef,16,,Level,
Bellsprout, 070,Weepinbell,390,65,90,50,85,45,55,Bellsprout,Victreebel,,Leaf Stone,Stone,
Gligar, 207,Gligar,430,65,75,105,35,65,85,,,,,,
Natu, 177,Natu,320,40,50,45,70,45,70,,Xatu,25,,Level,
Machop, 066,Machop,305,70,80,50,35,35,35,,Machoke,28,,Level,
Charmander, 005,Charmeleon,405,58,64,58,80,65,80,Charmander,Charizard,36,,Level,
Ekans, 023,Ekans,288,35,60,44,40,54,55,,Arbok,22,,Level,
