Source Row Number,Matchday,Date,Home Score,Home Team,Away Score,Away Team
132,22,30/01/2024,0,Fulham,0,Everton
133,22,30/01/2024,1,Aston Villa,3,Newcastle
134,22,31/01/2024,3,Tottenham,2,Brentford
135,22,01/02/2024,1,West Ham,1,Bournemouth
137,23,03/02/2024,2,Everton,2,Tottenham
138,23,03/02/2024,4,Newcastle,4,Luton Town
139,23,03/02/2024,0,Sheffield United,5,Aston Villa
140,23,04/02/2024,3,Man United,0,West Ham
141,23,04/02/2024,3,Arsenal,1,Liverpool
143,24,10/02/2024,2,Man City,0,Everton
144,24,10/02/2024,3,Fulham,1,Bournemouth
145,24,10/02/2024,1,Luton Town,3,Sheffield United
146,24,10/02/2024,2,Nottm Forest,3,Newcastle
147,24,11/02/2024,1,Aston Villa,2,Man United
149,25,17/02/2024,1,Brentford,4,Liverpool
150,25,17/02/2024,2,Newcastle,2,Bournemouth
151,25,17/02/2024,2,Nottm Forest,0,West Ham
152,25,17/02/2024,1,Man City,1,Chelsea
153,25,18/02/2024,1,Luton Town,2,Man United
155,18,20/02/2024,1,Man City,0,Brentford
157,26,21/02/2024,4,Liverpool,1,Luton Town
158,26,24/02/2024,4,Aston Villa,2,Nottm Forest
159,26,24/02/2024,1,Brighton,1,Everton
160,26,24/02/2024,4,Arsenal,1,Newcastle
161,26,26/02/2024,4,West Ham,2,Brentford
163,27,02/03/2024,0,Nottm Forest,1,Liverpool
164,27,02/03/2024,1,Everton,3,West Ham
165,27,02/03/2024,3,Newcastle,0,Wolves
166,27,02/03/2024,2,Luton Town,3,Aston Villa
167,27,03/03/2024,3,Man City,1,Man United
169,28,09/03/2024,2,Man United,0,Everton
170,28,09/03/2024,2,Bournemouth,2,Sheffield United
171,28,09/03/2024,2,Arsenal,1,Brentford
172,28,10/03/2024,2,West Ham,2,Burnley
173,28,10/03/2024,1,Liverpool,1,Man City
175,17,13/03/2024,4,Bournemouth,3,Luton Town
177,29,16/03/2024,2,Burnley,1,Brentford
178,29,16/03/2024,3,Fulham,0,Tottenham
180,30,30/03/2024,4,Newcastle,3,West Ham
181,30,30/03/2024,3,Sheffield United,3,Fulham
182,30,30/03/2024,2,Bournemouth,1,Everton
183,30,30/03/2024,2,Aston Villa,0,Wolves
184,30,31/03/2024,2,Liverpool,1,Brighton
186,31,02/04/2024,1,Newcastle,1,Everton
187,31,02/04/2024,1,Burnley,1,Wolves
188,31,02/04/2024,1,West Ham,1,Tottenham
189,31,03/04/2024,2,Arsenal,0,Luton Town
190,31,04/04/2024,3,Liverpool,1,Sheffield United
192,32,06/04/2024,2,Crystal Palace,4,Man City
193,32,06/04/2024,1,Everton,0,Burnley
194,32,06/04/2024,0,Fulham,1,Newcastle
195,32,06/04/2024,0,Brighton,3,Arsenal
196,32,07/04/2024,2,Sheffield United,2,Chelsea
198,33,13/04/2024,4,Newcastle,0,Tottenham
199,33,13/04/2024,5,Man City,1,Luton Town
200,33,13/04/2024,1,Burnley,1,Brighton
201,33,14/04/2024,0,Liverpool,1,Crystal Palace
202,33,14/04/2024,0,Arsenal,2,Aston Villa
204,34,20/04/2024,1,Luton Town,5,Brentford
205,34,20/04/2024,0,Wolves,2,Arsenal
206,34,21/04/2024,5,Crystal Palace,2,West Ham
207,34,21/04/2024,1,Fulham,3,Liverpool
209,29,23/04/2024,5,Arsenal,0,Chelsea
210,29,24/04/2024,2,Crystal Palace,0,Newcastle
211,29,24/04/2024,2,Everton,0,Liverpool
213,35,27/04/2024,2,West Ham,2,Liverpool
214,35,27/04/2024,5,Newcastle,1,Sheffield United
215,35,27/04/2024,2,Wolves,1,Luton Town
216,35,27/04/2024,2,Aston Villa,2,Chelsea
217,35,28/04/2024,2,Tottenham,3,Arsenal
219,26,02/05/2024,2,Chelsea,0,Tottenham
221,36,03/05/2024,1,Luton Town,1,Everton
222,36,04/05/2024,0,Brentford,0,Fulham
223,36,04/05/2024,1,Sheffield United,3,Nottm Forest
224,36,05/05/2024,5,Chelsea,0,West Ham
225,36,05/05/2024,4,Liverpool,2,Tottenham
227,37,11/05/2024,0,Fulham,4,Man City
228,37,11/05/2024,3,West Ham,1,Luton Town
229,37,11/05/2024,1,Wolves,3,Crystal Palace
230,37,11/05/2024,1,Newcastle,1,Brighton
231,37,12/05/2024,0,Man United,1,Arsenal
233,34,14/05/2024,0,Tottenham,2,Man City
234,34,15/05/2024,3,Man United,2,Newcastle
236,38,19/05/2024,2,Liverpool,0,Wolves
237,38,19/05/2024,2,Luton Town,4,Fulham
238,38,19/05/2024,3,Man City,1,West Ham
239,38,19/05/2024,2,Brentford,4,Newcastle
240,38,19/05/2024,1,Burnley,2,Nottm Forest
1,1,12/08/2023,2,Arsenal,1,Nottm Forest
2,1,12/08/2023,1,Bournemouth,1,West Ham
3,1,12/08/2023,0,Everton,1,Fulham
4,1,13/08/2023,2,Brentford,2,Tottenham
5,1,14/08/2023,1,Man United,0,Wolves
7,2,19/08/2023,3,Liverpool,1,Bournemouth
8,2,19/08/2023,0,Fulham,3,Brentford
9,2,19/08/2023,1,Man City,0,Newcastle
10,2,20/08/2023,3,West Ham,1,Chelsea
13,3,26/08/2023,0,Bournemouth,2,Tottenham
14,3,26/08/2023,2,Arsenal,2,Fulham
15,3,26/08/2023,0,Everton,1,Wolves
16,3,27/08/2023,1,Sheffield United,2,Man City
17,3,27/08/2023,1,Newcastle,2,Liverpool
20,4,02/09/2023,5,Man City,1,Fulham
21,4,02/09/2023,2,Burnley,5,Tottenham
22,4,02/09/2023,3,Brighton,1,Newcastle
23,4,03/09/2023,3,Liverpool,0,Aston Villa
26,5,16/09/2023,1,Fulham,0,Luton Town
27,5,16/09/2023,1,West Ham,3,Man City
28,5,16/09/2023,3,Aston Villa,1,Crystal Palace
29,5,17/09/2023,0,Bournemouth,0,Chelsea
30,5,18/09/2023,1,Nottm Forest,1,Burnley
32,6,23/09/2023,0,Crystal Palace,0,Fulham
33,6,23/09/2023,1,Brentford,3,Everton
34,6,24/09/2023,0,Chelsea,1,Aston Villa
35,6,24/09/2023,3,Liverpool,1,West Ham
36,6,24/09/2023,0,Sheffield United,8,Newcastle
38,7,30/09/2023,0,Man United,1,Crystal Palace
39,7,30/09/2023,2,Wolves,1,Man City
40,7,30/09/2023,2,West Ham,0,Sheffield United
41,7,30/09/2023,2,Tottenham,1,Liverpool
42,7,02/10/2023,0,Fulham,2,Chelsea
46,8,07/10/2023,3,Fulham,1,Sheffield United
47,8,07/10/2023,2,Man United,1,Brentford
48,8,07/10/2023,0,Crystal Palace,0,Nottm Forest
49,8,08/10/2023,2,West Ham,2,Newcastle
50,8,08/10/2023,1,Arsenal,0,Man City
52,9,21/10/2023,3,Brentford,0,Burnley
53,9,21/10/2023,2,Nottm Forest,2,Luton Town
54,9,21/10/2023,4,Newcastle,0,Crystal Palace
55,9,21/10/2023,1,Sheffield United,2,Man United
56,9,23/10/2023,2,Tottenham,0,Fulham
58,10,28/10/2023,0,Chelsea,2,Brentford
59,10,28/10/2023,2,Bournemouth,1,Burnley
60,10,29/10/2023,0,West Ham,1,Everton
61,10,29/10/2023,3,Aston Villa,1,Luton Town
62,10,29/10/2023,0,Man United,3,Man City
64,11,04/11/2023,3,Brentford,2,West Ham
65,11,04/11/2023,2,Sheffield United,1,Wolves
66,11,04/11/2023,1,Everton,1,Brighton
67,11,05/11/2023,2,Nottm Forest,0,Aston Villa
68,11,06/11/2023,1,Tottenham,4,Chelsea
70,12,11/11/2023,1,Man United,0,Luton Town
71,12,11/11/2023,2,Crystal Palace,3,Everton
72,12,12/11/2023,3,Aston Villa,1,Fulham
73,12,12/11/2023,3,West Ham,2,Nottm Forest
74,12,12/11/2023,4,Chelsea,4,Man City
76,13,25/11/2023,1,Sheffield United,3,Bournemouth
77,13,25/11/2023,1,Burnley,2,West Ham
78,13,25/11/2023,4,Newcastle,1,Chelsea
79,13,26/11/2023,1,Tottenham,2,Aston Villa
80,13,27/11/2023,3,Fulham,2,Wolves
82,14,02/12/2023,2,Arsenal,1,Wolves
83,14,02/12/2023,0,Nottm Forest,1,Everton
84,14,03/12/2023,3,Chelsea,2,Brighton
85,14,03/12/2023,1,West Ham,1,Crystal Palace
86,14,03/12/2023,3,Man City,3,Tottenham
88,15,05/12/2023,3,Luton Town,4,Arsenal
89,15,06/12/2023,5,Fulham,0,Nottm Forest
90,15,06/12/2023,2,Brighton,1,Brentford
92,15,07/12/2023,3,Everton,0,Newcastle
95,16,09/12/2023,1,Wolves,1,Nottm Forest
96,16,09/12/2023,1,Sheffield United,0,Brentford
97,16,09/12/2023,1,Aston Villa,0,Arsenal
98,16,10/12/2023,5,Fulham,0,West Ham
99,16,10/12/2023,4,Tottenham,1,Newcastle
101,17,16/12/2023,2,Chelsea,0,Sheffield United
102,17,16/12/2023,3,Newcastle,0,Fulham
103,17,17/12/2023,3,West Ham,0,Wolves
104,17,17/12/2023,2,Arsenal,0,Brighton
107,18,22/12/2023,1,Aston Villa,1,Sheffield United
108,18,23/12/2023,2,Tottenham,1,Everton
109,18,23/12/2023,0,Fulham,2,Burnley
110,18,23/12/2023,1,Liverpool,1,Arsenal
113,19,26/12/2023,2,Sheffield United,3,Luton Town
114,19,26/12/2023,0,Burnley,2,Liverpool
115,19,27/12/2023,2,Chelsea,1,Crystal Palace
116,19,27/12/2023,1,Everton,3,Man City
117,19,28/12/2023,0,Arsenal,2,West Ham
119,20,30/12/2023,3,Crystal Palace,1,Brentford
120,20,30/12/2023,3,Aston Villa,2,Burnley
121,20,30/12/2023,2,Nottm Forest,1,Man United
122,20,31/12/2023,3,Tottenham,1,Bournemouth
123,20,02/01/2024,0,West Ham,0,Brighton
125,21,13/01/2024,1,Chelsea,0,Fulham
126,21,14/01/2024,0,Everton,0,Aston Villa
127,21,20/01/2024,5,Arsenal,0,Crystal Palace
128,21,21/01/2024,2,Sheffield United,2,West Ham
129,21,22/01/2024,0,Brighton,0,Wolves
131,22,30/01/2024,4,Luton Town,0,Brighton
132,22,30/01/2024,3,Crystal Palace,2,Sheffield United
133,22,31/01/2024,3,Man City,1,Burnley
134,22,31/01/2024,4,Liverpool,1,Chelsea
135,22,01/02/2024,3,Wolves,4,Man United
137,23,03/02/2024,4,Brighton,1,Crystal Palace
138,23,03/02/2024,2,Burnley,2,Fulham
139,23,04/02/2024,1,Bournemouth,1,Nottm Forest
140,23,04/02/2024,2,Chelsea,4,Wolves
141,23,05/02/2024,1,Brentford,3,Man City
143,24,10/02/2024,0,Wolves,2,Brentford
144,24,10/02/2024,2,Tottenham,1,Brighton
145,24,10/02/2024,3,Liverpool,1,Burnley
146,24,11/02/2024,0,West Ham,6,Arsenal
147,24,12/02/2024,1,Crystal Palace,3,Chelsea
149,25,17/02/2024,0,Burnley,5,Arsenal
150,25,17/02/2024,1,Fulham,2,Aston Villa
151,25,17/02/2024,1,Tottenham,2,Wolves
152,25,18/02/2024,0,Sheffield United,5,Brighton
153,25,19/02/2024,1,Everton,1,Crystal Palace
157,26,24/02/2024,3,Crystal Palace,0,Burnley
158,26,24/02/2024,1,Man United,2,Fulham
159,26,24/02/2024,0,Bournemouth,1,Man City
160,26,25/02/2024,1,Wolves,0,Sheffield United
163,27,02/03/2024,2,Brentford,2,Chelsea
164,27,02/03/2024,3,Fulham,0,Brighton
165,27,02/03/2024,3,Tottenham,1,Crystal Palace
166,27,03/03/2024,0,Burnley,2,Bournemouth
167,27,04/03/2024,0,Sheffield United,6,Arsenal
169,28,09/03/2024,1,Crystal Palace,1,Luton Town
170,28,09/03/2024,2,Wolves,1,Fulham
171,28,10/03/2024,0,Aston Villa,4,Tottenham
172,28,10/03/2024,1,Brighton,0,Nottm Forest
173,28,11/03/2024,3,Chelsea,2,Newcastle
177,29,16/03/2024,1,Luton Town,1,Nottm Forest
178,29,17/03/2024,1,West Ham,1,Aston Villa
180,30,30/03/2024,2,Chelsea,2,Burnley
181,30,30/03/2024,1,Nottm Forest,1,Crystal Palace
182,30,30/03/2024,2,Tottenham,1,Luton Town
183,30,30/03/2024,1,Brentford,1,Man United
184,30,31/03/2024,0,Man City,0,Arsenal
186,31,02/04/2024,3,Nottm Forest,1,Fulham
187,31,02/04/2024,1,Bournemouth,0,Crystal Palace
188,31,03/04/2024,0,Brentford,0,Brighton
189,31,03/04/2024,4,Man City,1,Aston Villa
190,31,04/04/2024,4,Chelsea,3,Man United
192,32,06/04/2024,1,Wolves,2,West Ham
193,32,06/04/2024,3,Aston Villa,3,Brentford
194,32,06/04/2024,2,Luton Town,1,Bournemouth
195,32,07/04/2024,2,Man United,2,Liverpool
196,32,07/04/2024,3,Tottenham,1,Nottm Forest
198,33,13/04/2024,2,Brentford,0,Sheffield United
199,33,13/04/2024,2,Nottm Forest,2,Wolves
200,33,13/04/2024,2,Bournemouth,2,Man United
201,33,14/04/2024,0,West Ham,2,Fulham
202,33,15/04/2024,6,Chelsea,0,Everton
204,34,20/04/2024,1,Sheffield United,4,Burnley
205,34,21/04/2024,2,Everton,0,Nottm Forest
206,34,21/04/2024,3,Aston Villa,1,Bournemouth
209,29,24/04/2024,0,Wolves,1,Bournemouth
210,29,24/04/2024,4,Man United,2,Sheffield United
211,29,25/04/2024,0,Brighton,4,Man City
213,35,27/04/2024,1,Fulham,1,Crystal Palace
214,35,27/04/2024,1,Man United,1,Burnley
215,35,27/04/2024,1,Everton,0,Brentford
216,35,28/04/2024,3,Bournemouth,0,Brighton
217,35,28/04/2024,0,Nottm Forest,2,Man City
221,36,04/05/2024,3,Arsenal,0,Bournemouth
222,36,04/05/2024,1,Burnley,4,Newcastle
223,36,04/05/2024,5,Man City,1,Wolves
224,36,05/05/2024,1,Brighton,0,Aston Villa
225,36,06/05/2024,4,Crystal Palace,0,Man United
227,37,11/05/2024,1,Everton,0,Sheffield United
228,37,11/05/2024,1,Bournemouth,2,Brentford
229,37,11/05/2024,2,Tottenham,1,Burnley
230,37,11/05/2024,2,Nottm Forest,3,Chelsea
231,37,13/05/2024,3,Aston Villa,3,Liverpool
233,34,15/05/2024,1,Brighton,2,Chelsea
236,38,19/05/2024,0,Sheffield United,3,Tottenham
237,38,19/05/2024,0,Brighton,2,Man United
238,38,19/05/2024,2,Arsenal,1,Everton
239,38,19/05/2024,5,Crystal Palace,0,Aston Villa
240,38,19/05/2024,2,Chelsea,1,Bournemouth
